stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #11, 2011571(1%)
minecraft.custom.time_since_death: #17, 2011571(1%)
minecraft.custom.play_one_minute: #36, 2011571(0%)
minecraft.custom.leave_game: #37, 66(0%)
minecraft.custom.fly_one_cm: #37, 4616829(0%)
minecraft.custom.crouch_one_cm: #39, 59(0%)
minecraft.custom.sprint_one_cm: #39, 621(0%)
minecraft.custom.sneak_time: #40, 12886(0%)
minecraft.custom.jump: #40, 8(0%)
minecraft.custom.walk_under_water_one_cm: #41, 51196(0%)
minecraft.custom.walk_on_water_one_cm: #43, 11507(0%)
minecraft.custom.walk_one_cm: #45, 148(0%)
