stat, rank, value, (percentage) 
minecraft.picked_up.blue_orchid: #5, 64(1%)
minecraft.picked_up.green_wool: #5, 78(1%)
minecraft.used.lime_glazed_terracotta: #5, 4(2%)
minecraft.crafted.red_glazed_terracotta: #5, 16(2%)
minecraft.dropped.prismarine_brick_slab: #5, 6(1%)
minecraft.used.birch_boat: #6, 90(5%)
minecraft.dropped.beetroot: #5, 1(1%)
minecraft.crafted.blue_glazed_terracotta: #5, 8(1%)
minecraft.dropped.acacia_stairs: #5, 2(1%)
minecraft.used.blue_glazed_terracotta: #5, 4(0%)
minecraft.picked_up.birch_boat: #6, 89(5%)
minecraft.dropped.melon: #5, 1(0%)
minecraft.used.snowball: #6, 142(5%)
minecraft.mined.beetroots: #6, 73(5%)
minecraft.used.nether_bricks: #6, 1421(5%)
minecraft.used.prismarine: #6, 873(4%)
minecraft.dropped.spruce_log: #6, 173(2%)
minecraft.crafted.nether_bricks: #6, 1652(4%)
minecraft.mined.nether_wart: #6, 365(2%)
minecraft.picked_up.redstone_ore: #6, 804(2%)
minecraft.used.gray_glazed_terracotta: #6, 4(5%)
minecraft.crafted.oak_door: #7, 39(7%)
minecraft.used.lily_pad: #6, 9(2%)
minecraft.picked_up.light_gray_glazed_terracotta: #6, 71(2%)
minecraft.crafted.cyan_glazed_terracotta: #6, 8(4%)
minecraft.killed.wither_skeleton: #6, 323(1%)
minecraft.picked_up.orange_wool: #6, 86(1%)
minecraft.used.yellow_glazed_terracotta: #6, 10(2%)
minecraft.picked_up.melon: #6, 43(1%)
minecraft.dropped.nether_brick_slab: #6, 4(1%)
minecraft.used.black_glazed_terracotta: #6, 4(0%)
minecraft.picked_up.potato: #7, 4726(4%)
minecraft.used.lapis_ore: #7, 163(4%)
minecraft.used.magenta_shulker_box: #7, 130(4%)
minecraft.crafted.coal_block: #7, 1021(4%)
minecraft.picked_up.dark_prismarine: #7, 287(5%)
minecraft.mined.magenta_shulker_box: #7, 129(4%)
minecraft.picked_up.magenta_shulker_box: #7, 130(4%)
minecraft.mined.snow_block: #7, 381(4%)
minecraft.killed_by.phantom: #7, 4(4%)
minecraft.picked_up.cooked_mutton: #7, 68(3%)
minecraft.mined.orange_tulip: #7, 28(3%)
minecraft.picked_up.packed_ice: #7, 5698(2%)
minecraft.dropped.fishing_rod: #7, 13(2%)
minecraft.picked_up.conduit: #7, 3(3%)
minecraft.mined.packed_ice: #7, 5009(2%)
minecraft.dropped.white_terracotta: #7, 64(2%)
minecraft.picked_up.nether_wart: #7, 1158(1%)
minecraft.picked_up.light_gray_terracotta: #7, 1946(1%)
minecraft.mined.nether_brick_slab: #7, 54(2%)
minecraft.mined.light_gray_terracotta: #7, 1921(1%)
minecraft.mined.yellow_glazed_terracotta: #7, 6(2%)
minecraft.dropped.jungle_stairs: #7, 2(3%)
minecraft.dropped.detector_rail: #7, 1(2%)
minecraft.used.orange_glazed_terracotta: #7, 10(2%)
minecraft.picked_up.pink_wool: #7, 68(1%)
minecraft.mined.red_glazed_terracotta: #7, 6(1%)
minecraft.dropped.saddle: #7, 5(1%)
minecraft.dropped.item_frame: #7, 7(1%)
