stat, rank, value, (percentage) 
minecraft.mined.stone_brick_slab: #14, 234(1%)
minecraft.mined.gold_block: #14, 91(1%)
minecraft.picked_up.oak_fence_gate: #14, 9(1%)
minecraft.picked_up.allium: #14, 16(1%)
minecraft.mined.brown_mushroom: #14, 11(1%)
minecraft.crafted.sandstone_stairs: #14, 88(1%)
minecraft.dropped.golden_helmet: #14, 2(1%)
minecraft.mined.dead_bush: #14, 8(1%)
minecraft.used.diamond_block: #14, 29(1%)
minecraft.picked_up.red_mushroom: #14, 18(1%)
minecraft.crafted.bread: #14, 40(1%)
minecraft.mined.dark_oak_log: #14, 611(0%)
minecraft.mined.pink_tulip: #14, 3(1%)
minecraft.picked_up.jungle_planks: #14, 13(1%)
minecraft.used.cocoa_beans: #14, 94(1%)
minecraft.mined.nether_bricks: #14, 152(1%)
minecraft.picked_up.nether_bricks: #14, 144(1%)
minecraft.dropped.powered_rail: #14, 5(1%)
minecraft.mined.birch_sapling: #14, 3(1%)
minecraft.picked_up.pink_shulker_box: #14, 15(1%)
minecraft.dropped.acacia_planks: #14, 2(0%)
minecraft.picked_up.chiseled_stone_bricks: #14, 8(0%)
minecraft.crafted.dried_kelp: #14, 427(0%)
minecraft.used.mossy_stone_bricks: #14, 15(0%)
minecraft.dropped.cut_sandstone: #14, 1(0%)
minecraft.picked_up.cooked_porkchop: #14, 5(0%)
minecraft.dropped.sandstone: #14, 18(0%)
minecraft.used.peony: #14, 1(0%)
minecraft.crafted.gold_nugget: #14, 234(0%)
minecraft.dropped.spruce_stairs: #14, 3(0%)
minecraft.crafted.chiseled_stone_bricks: #14, 14(0%)
minecraft.picked_up.lime_stained_glass: #14, 3(0%)
minecraft.used.purple_stained_glass: #14, 3(0%)
minecraft.picked_up.seagrass: #14, 3(0%)
minecraft.picked_up.purple_stained_glass: #14, 3(0%)
minecraft.mined.cyan_stained_glass: #14, 3(0%)
minecraft.picked_up.cyan_stained_glass: #14, 3(0%)
minecraft.used.lime_stained_glass: #14, 3(0%)
minecraft.used.red_stained_glass: #14, 3(0%)
minecraft.crafted.ender_chest: #15, 13(3%)
minecraft.mined.iron_ore: #15, 2577(2%)
minecraft.picked_up.iron_ore: #15, 2650(2%)
minecraft.picked_up.leather_chestplate: #15, 8(2%)
minecraft.crafted.oak_boat: #15, 10(2%)
minecraft.picked_up.coal_ore: #15, 1310(2%)
minecraft.killed.zombie_villager: #15, 7(2%)
minecraft.custom.interact_with_beacon: #15, 28(2%)
minecraft.used.stone_sword: #15, 42(2%)
minecraft.killed.creeper: #15, 129(2%)
minecraft.used.ladder: #15, 282(2%)
minecraft.picked_up.furnace: #15, 69(1%)
minecraft.picked_up.iron_boots: #15, 4(1%)
minecraft.crafted.enchanting_table: #15, 1(2%)
minecraft.picked_up.iron_bars: #15, 228(1%)
minecraft.mined.soul_sand: #15, 621(1%)
minecraft.picked_up.soul_sand: #15, 558(1%)
minecraft.custom.enchant_item: #15, 65(1%)
minecraft.used.stone_brick_slab: #15, 1109(1%)
minecraft.picked_up.diamond_ore: #15, 118(1%)
minecraft.custom.player_kills: #15, 1(2%)
minecraft.picked_up.baked_potato: #15, 102(1%)
minecraft.used.damaged_anvil: #15, 3(1%)
minecraft.picked_up.beacon: #15, 8(1%)
minecraft.mined.damaged_anvil: #15, 3(1%)
minecraft.crafted.jungle_boat: #15, 1(1%)
minecraft.picked_up.glowstone: #15, 199(1%)
minecraft.picked_up.damaged_anvil: #15, 3(1%)
minecraft.dropped.arrow: #15, 276(1%)
minecraft.crafted.stone_axe: #15, 2(1%)
minecraft.dropped.trident: #15, 2(1%)
minecraft.dropped.bone: #15, 165(1%)
minecraft.mined.bookshelf: #15, 47(1%)
minecraft.dropped.iron_leggings: #15, 1(1%)
minecraft.crafted.oak_fence_gate: #15, 10(1%)
minecraft.used.black_shulker_box: #15, 28(1%)
minecraft.used.iron_block: #15, 429(1%)
minecraft.mined.black_shulker_box: #15, 27(1%)
minecraft.picked_up.gold_block: #15, 93(1%)
minecraft.picked_up.black_shulker_box: #15, 27(1%)
minecraft.dropped.birch_log: #15, 22(1%)
minecraft.used.cobblestone_slab: #15, 209(1%)
minecraft.dropped.iron_boots: #15, 1(1%)
minecraft.dropped.stick: #15, 135(1%)
minecraft.picked_up.porkchop: #15, 10(1%)
minecraft.picked_up.cocoa_beans: #15, 232(1%)
minecraft.mined.glass: #15, 144(1%)
minecraft.picked_up.snowball: #15, 522(1%)
minecraft.picked_up.diamond_block: #15, 29(1%)
minecraft.used.cooked_chicken: #15, 53(0%)
minecraft.picked_up.cobweb: #15, 64(1%)
minecraft.dropped.white_carpet: #15, 4(1%)
minecraft.picked_up.spider_eye: #15, 49(0%)
minecraft.used.sugar_cane: #15, 113(0%)
minecraft.mined.spruce_sapling: #15, 4(0%)
minecraft.used.gold_block: #15, 83(0%)
minecraft.dropped.dark_oak_planks: #15, 10(0%)
minecraft.picked_up.nether_quartz_ore: #15, 206(0%)
minecraft.used.packed_ice: #15, 310(0%)
minecraft.mined.emerald_block: #15, 4(0%)
minecraft.crafted.iron_block: #15, 328(0%)
minecraft.used.birch_sapling: #15, 21(0%)
minecraft.used.sandstone: #15, 100(0%)
minecraft.used.pumpkin_seeds: #15, 9(0%)
minecraft.picked_up.filled_map: #15, 7(0%)
minecraft.picked_up.dark_oak_sapling: #15, 21(0%)
minecraft.picked_up.dark_oak_leaves: #15, 14(0%)
minecraft.dropped.diamond_block: #15, 2(0%)
minecraft.used.emerald_block: #15, 4(0%)
minecraft.mined.red_stained_glass: #15, 3(0%)
minecraft.used.yellow_terracotta: #15, 6(0%)
minecraft.dropped.bread: #15, 3(0%)
minecraft.mined.light_blue_stained_glass: #15, 11(0%)
minecraft.picked_up.blaze_powder: #15, 2(0%)
minecraft.picked_up.light_blue_stained_glass: #15, 11(0%)
minecraft.dropped.pumpkin_seeds: #15, 14(0%)
minecraft.picked_up.brown_terracotta: #15, 22(0%)
minecraft.mined.jungle_slab: #15, 1(0%)
minecraft.picked_up.snow: #15, 42(0%)
minecraft.mined.brown_terracotta: #15, 18(0%)
minecraft.picked_up.red_stained_glass: #15, 3(0%)
minecraft.picked_up.blue_stained_glass: #15, 3(0%)
minecraft.killed.zombie: #16, 297(1%)
minecraft.picked_up.golden_boots: #16, 8(2%)
minecraft.killed.chicken: #16, 52(2%)
minecraft.mined.furnace: #16, 67(1%)
minecraft.crafted.diamond_leggings: #16, 2(2%)
minecraft.killed.ghast: #16, 39(2%)
minecraft.used.cobblestone: #16, 4108(1%)
minecraft.picked_up.white_bed: #16, 37(1%)
minecraft.killed.spider: #16, 54(1%)
minecraft.mined.chest: #16, 266(1%)
minecraft.picked_up.oak_log: #16, 1605(1%)
minecraft.mined.oak_log: #16, 1447(1%)
minecraft.used.furnace: #16, 101(1%)
minecraft.picked_up.netherrack: #16, 10033(1%)
minecraft.picked_up.diamond_chestplate: #16, 3(1%)
minecraft.picked_up.detector_rail: #16, 8(1%)
minecraft.picked_up.coal_block: #16, 51(1%)
minecraft.mined.white_carpet: #16, 26(1%)
minecraft.crafted.birch_door: #16, 3(1%)
minecraft.mined.ladder: #16, 45(1%)
minecraft.broken.stone_pickaxe: #16, 1(1%)
minecraft.dropped.leather_leggings: #16, 3(1%)
minecraft.dropped.iron_pickaxe: #16, 1(1%)
minecraft.dropped.oak_boat: #16, 3(1%)
minecraft.picked_up.clock: #16, 1(1%)
minecraft.broken.diamond_pickaxe: #16, 1(1%)
minecraft.picked_up.string: #16, 349(1%)
minecraft.picked_up.stone_brick_slab: #16, 248(1%)
minecraft.picked_up.gunpowder: #16, 173(1%)
minecraft.picked_up.chainmail_helmet: #16, 1(1%)
minecraft.picked_up.trident: #16, 6(1%)
minecraft.used.cooked_porkchop: #16, 5(1%)
minecraft.picked_up.white_carpet: #16, 30(1%)
minecraft.picked_up.ghast_tear: #16, 7(1%)
minecraft.used.spruce_sapling: #16, 71(1%)
minecraft.picked_up.rose_bush: #16, 64(1%)
minecraft.killed.horse: #16, 1(1%)
minecraft.dropped.potion: #16, 4(1%)
minecraft.picked_up.red_tulip: #16, 9(0%)
minecraft.mined.cracked_stone_bricks: #16, 12(0%)
minecraft.mined.light_gray_shulker_box: #16, 21(0%)
minecraft.used.light_gray_shulker_box: #16, 21(0%)
minecraft.dropped.glass: #16, 53(0%)
minecraft.picked_up.light_gray_shulker_box: #16, 21(0%)
minecraft.picked_up.azure_bluet: #16, 29(0%)
minecraft.crafted.gold_block: #16, 77(0%)
minecraft.killed.drowned: #16, 58(0%)
minecraft.mined.light_blue_shulker_box: #16, 39(0%)
minecraft.used.light_blue_shulker_box: #16, 39(0%)
minecraft.picked_up.light_blue_shulker_box: #16, 39(0%)
minecraft.custom.play_noteblock: #16, 18(0%)
minecraft.mined.birch_planks: #16, 13(0%)
minecraft.mined.snow: #16, 567(0%)
minecraft.crafted.stone_slab: #16, 90(0%)
minecraft.dropped.iron_ore: #16, 45(0%)
minecraft.picked_up.pink_tulip: #16, 3(0%)
minecraft.mined.gray_shulker_box: #16, 10(0%)
minecraft.picked_up.gray_shulker_box: #16, 10(0%)
minecraft.picked_up.emerald_block: #16, 4(0%)
minecraft.crafted.wooden_shovel: #16, 1(0%)
minecraft.mined.yellow_terracotta: #16, 33(0%)
minecraft.used.cooked_cod: #16, 16(0%)
minecraft.picked_up.cooked_cod: #16, 51(0%)
minecraft.killed.enderman: #16, 13(0%)
minecraft.picked_up.jungle_leaves: #16, 8(0%)
minecraft.mined.red_terracotta: #16, 24(0%)
minecraft.used.blue_stained_glass: #16, 3(0%)
minecraft.mined.lime_terracotta: #16, 2(0%)
minecraft.crafted.shulker_box: #16, 1(0%)
minecraft.picked_up.melon_slice: #16, 8(0%)
minecraft.killed.witch: #16, 4(0%)
minecraft.picked_up.gold_nugget: #16, 27(0%)
minecraft.mined.coal_ore: #17, 5728(3%)
minecraft.custom.open_enderchest: #17, 1821(2%)
minecraft.used.iron_pickaxe: #17, 2247(2%)
minecraft.crafted.ender_eye: #17, 13(2%)
minecraft.picked_up.diamond: #17, 710(1%)
minecraft.crafted.torch: #17, 3440(1%)
minecraft.mined.poppy: #17, 84(1%)
minecraft.custom.swim_one_cm: #17, 3200087(1%)
minecraft.used.stripped_oak_log: #17, 41(2%)
minecraft.used.white_bed: #17, 41(1%)
minecraft.crafted.ladder: #17, 213(2%)
minecraft.picked_up.iron_helmet: #17, 5(1%)
minecraft.mined.mossy_cobblestone: #17, 44(2%)
minecraft.crafted.crafting_table: #17, 36(1%)
minecraft.dropped.written_book: #17, 16(1%)
minecraft.mined.cobblestone_stairs: #17, 40(1%)
minecraft.mined.obsidian: #17, 348(1%)
minecraft.crafted.iron_ingot: #17, 3997(1%)
minecraft.used.spruce_stairs: #17, 251(1%)
minecraft.picked_up.spruce_boat: #17, 17(1%)
minecraft.picked_up.obsidian: #17, 370(1%)
minecraft.used.diorite: #17, 195(1%)
minecraft.crafted.cobblestone_wall: #17, 186(1%)
minecraft.picked_up.chicken: #17, 45(1%)
minecraft.picked_up.rotten_flesh: #17, 661(1%)
minecraft.used.oak_planks: #17, 209(1%)
minecraft.mined.flower_pot: #17, 2(1%)
minecraft.mined.blue_shulker_box: #17, 28(1%)
minecraft.used.blue_shulker_box: #17, 28(1%)
minecraft.picked_up.blue_shulker_box: #17, 28(1%)
minecraft.dropped.bow: #17, 32(1%)
minecraft.mined.netherrack: #17, 10325(1%)
minecraft.used.oak_slab: #17, 173(1%)
minecraft.crafted.oak_stairs: #17, 80(1%)
minecraft.picked_up.ladder: #17, 95(1%)
minecraft.used.obsidian: #17, 152(1%)
minecraft.dropped.golden_leggings: #17, 2(1%)
minecraft.picked_up.chainmail_boots: #17, 1(1%)
minecraft.picked_up.sugar_cane: #17, 1030(1%)
minecraft.picked_up.dark_oak_log: #17, 604(0%)
minecraft.crafted.hopper: #17, 99(0%)
minecraft.mined.dark_oak_fence: #17, 20(0%)
minecraft.used.flint_and_steel: #17, 20(0%)
minecraft.picked_up.feather: #17, 46(0%)
minecraft.crafted.shield: #17, 3(0%)
minecraft.used.hopper: #17, 109(0%)
minecraft.picked_up.totem_of_undying: #17, 2(0%)
minecraft.crafted.minecart: #17, 10(0%)
minecraft.picked_up.flint_and_steel: #17, 1(0%)
minecraft.dropped.oak_leaves: #17, 15(0%)
minecraft.crafted.stone_pressure_plate: #17, 12(0%)
minecraft.picked_up.flower_pot: #17, 3(0%)
minecraft.used.gray_shulker_box: #17, 11(0%)
minecraft.crafted.sandstone: #17, 47(0%)
minecraft.used.nether_quartz_ore: #17, 103(0%)
minecraft.mined.yellow_stained_glass: #17, 3(0%)
minecraft.crafted.brewing_stand: #17, 1(0%)
minecraft.used.terracotta: #17, 14(0%)
minecraft.used.apple: #17, 2(0%)
minecraft.used.sandstone_stairs: #17, 12(0%)
minecraft.mined.sandstone: #17, 227(0%)
minecraft.picked_up.yellow_terracotta: #17, 37(0%)
minecraft.custom.damage_blocked_by_shield: #17, 130(0%)
minecraft.killed.guardian: #17, 203(0%)
minecraft.picked_up.pumpkin_seeds: #17, 28(0%)
minecraft.picked_up.ice: #17, 80(0%)
minecraft.dropped.stone_brick_slab: #17, 3(0%)
minecraft.picked_up.yellow_stained_glass: #17, 3(0%)
minecraft.crafted.cake: #17, 1(0%)
minecraft.used.acacia_planks: #17, 1(0%)
minecraft.used.ice: #17, 27(0%)
minecraft.used.yellow_stained_glass: #17, 3(0%)
minecraft.used.snow_block: #17, 8(0%)
minecraft.mined.cut_sandstone: #17, 1(0%)
minecraft.picked_up.cut_sandstone: #17, 1(0%)
minecraft.used.snow: #17, 17(0%)
minecraft.crafted.emerald_block: #17, 7(0%)
minecraft.picked_up.red_terracotta: #17, 22(0%)
minecraft.crafted.purple_dye: #17, 2(0%)
minecraft.picked_up.lime_terracotta: #17, 2(0%)
minecraft.mined.ice: #17, 30(0%)
minecraft.dropped.carrot: #17, 8(0%)
minecraft.crafted.golden_carrot: #17, 7(0%)
minecraft.crafted.cyan_terracotta: #17, 8(0%)
minecraft.used.red_terracotta: #17, 1(0%)
minecraft.used.iron_shovel: #18, 787(2%)
minecraft.used.torch: #18, 4284(1%)
minecraft.broken.iron_pickaxe: #18, 5(2%)
minecraft.picked_up.cobblestone: #18, 24018(1%)
minecraft.custom.boat_one_cm: #18, 7974541(1%)
minecraft.crafted.white_bed: #18, 6(1%)
minecraft.picked_up.crafting_table: #18, 98(1%)
minecraft.crafted.chest: #18, 582(1%)
minecraft.picked_up.iron_shovel: #18, 4(1%)
minecraft.mined.white_bed: #18, 24(1%)
minecraft.picked_up.written_book: #18, 20(1%)
minecraft.picked_up.chest: #18, 244(1%)
minecraft.picked_up.bone_block: #18, 196(1%)
minecraft.picked_up.mossy_cobblestone: #18, 44(1%)
minecraft.crafted.spruce_stairs: #18, 272(1%)
minecraft.used.shulker_box: #18, 379(1%)
minecraft.mined.shulker_box: #18, 370(1%)
minecraft.used.cobblestone_wall: #18, 158(1%)
minecraft.picked_up.shulker_box: #18, 374(1%)
minecraft.crafted.bone_meal: #18, 9520(1%)
minecraft.used.writable_book: #18, 32(1%)
minecraft.mined.stripped_oak_log: #18, 45(1%)
minecraft.picked_up.stripped_oak_log: #18, 45(1%)
minecraft.crafted.anvil: #18, 10(1%)
minecraft.custom.inspect_hopper: #18, 419(1%)
minecraft.used.potion: #18, 10(1%)
minecraft.picked_up.leather: #18, 200(1%)
minecraft.mined.anvil: #18, 7(1%)
minecraft.picked_up.birch_planks: #18, 58(1%)
minecraft.picked_up.cobblestone_stairs: #18, 44(1%)
minecraft.picked_up.beef: #18, 176(1%)
minecraft.picked_up.writable_book: #18, 4(1%)
minecraft.mined.dark_oak_planks: #18, 67(1%)
minecraft.used.oak_fence_gate: #18, 10(1%)
minecraft.picked_up.anvil: #18, 7(1%)
minecraft.used.cobblestone_stairs: #18, 82(1%)
minecraft.killed.slime: #18, 100(1%)
minecraft.mined.spruce_log: #18, 1022(1%)
minecraft.mined.iron_block: #18, 213(1%)
minecraft.mined.oak_stairs: #18, 22(1%)
minecraft.picked_up.iron_block: #18, 277(1%)
minecraft.custom.aviate_one_cm: #18, 31656187(0%)
minecraft.used.oak_trapdoor: #18, 49(0%)
minecraft.crafted.bow: #18, 29(0%)
minecraft.dropped.wheat: #18, 10(0%)
minecraft.picked_up.kelp: #18, 1490(0%)
minecraft.used.ender_pearl: #18, 48(0%)
minecraft.picked_up.dark_oak_fence: #18, 20(0%)
minecraft.picked_up.ender_pearl: #18, 97(0%)
minecraft.used.brewing_stand: #18, 2(0%)
minecraft.picked_up.spruce_trapdoor: #18, 27(0%)
minecraft.used.sea_lantern: #18, 215(0%)
minecraft.dropped.spruce_planks: #18, 16(0%)
minecraft.picked_up.oak_leaves: #18, 326(0%)
minecraft.mined.spruce_trapdoor: #18, 21(0%)
minecraft.dropped.oak_planks: #18, 14(0%)
minecraft.crafted.blaze_powder: #18, 24(0%)
minecraft.crafted.dark_oak_fence: #18, 39(0%)
minecraft.used.oak_stairs: #18, 21(0%)
minecraft.used.spruce_fence: #18, 44(0%)
minecraft.custom.traded_with_villager: #18, 507(0%)
minecraft.custom.pot_flower: #18, 3(0%)
minecraft.mined.white_shulker_box: #18, 21(0%)
minecraft.dropped.torch: #18, 21(0%)
minecraft.mined.dark_oak_leaves: #18, 27(0%)
minecraft.mined.jungle_log: #18, 93(0%)
minecraft.dropped.furnace: #18, 1(0%)
minecraft.picked_up.sandstone: #18, 305(0%)
minecraft.used.flower_pot: #18, 3(0%)
minecraft.picked_up.golden_apple: #18, 1(0%)
minecraft.dropped.enchanted_book: #18, 1(0%)
minecraft.dropped.chest: #18, 2(0%)
minecraft.dropped.dark_oak_log: #18, 4(0%)
minecraft.dropped.glass_bottle: #18, 2(0%)
minecraft.picked_up.prismarine_crystals: #18, 95(0%)
minecraft.used.birch_planks: #18, 8(0%)
minecraft.picked_up.prismarine_shard: #18, 256(0%)
minecraft.mined.sandstone_stairs: #18, 2(0%)
minecraft.used.white_terracotta: #18, 7(0%)
minecraft.used.dark_oak_planks: #18, 15(0%)
minecraft.used.cracked_stone_bricks: #18, 8(0%)
minecraft.dropped.soul_sand: #18, 2(0%)
minecraft.dropped.kelp: #18, 52(0%)
minecraft.dropped.white_wool: #18, 1(0%)
minecraft.picked_up.spruce_leaves: #18, 46(0%)
minecraft.dropped.gold_nugget: #18, 7(0%)
minecraft.dropped.sand: #18, 106(0%)
minecraft.dropped.cobblestone_stairs: #18, 1(0%)
minecraft.used.pumpkin: #18, 5(0%)
minecraft.mined.stone_slab: #18, 2(0%)
minecraft.dropped.feather: #18, 3(0%)
minecraft.dropped.netherrack: #18, 76(0%)
minecraft.crafted.magenta_dye: #18, 2(0%)
minecraft.picked_up.polished_granite: #18, 1(0%)
minecraft.used.stone_slab: #18, 3(0%)
minecraft.crafted.air: #18, 0(0%)
minecraft.used.iron_axe: #19, 584(2%)
minecraft.mined.cobblestone: #19, 1698(2%)
minecraft.crafted.iron_pickaxe: #19, 8(1%)
minecraft.crafted.oak_planks: #19, 4012(1%)
minecraft.picked_up.golden_helmet: #19, 5(1%)
minecraft.custom.damage_dealt: #19, 198202(1%)
minecraft.used.crafting_table: #19, 108(1%)
minecraft.custom.walk_under_water_one_cm: #19, 3108309(1%)
minecraft.crafted.stick: #19, 3955(1%)
minecraft.used.diamond_sword: #19, 3448(1%)
minecraft.picked_up.iron_chestplate: #19, 3(1%)
minecraft.mined.crafting_table: #19, 82(1%)
minecraft.picked_up.oak_sapling: #19, 315(1%)
minecraft.used.anvil: #19, 17(1%)
minecraft.mined.wall_torch: #19, 192(1%)
minecraft.crafted.stone_pickaxe: #19, 3(1%)
minecraft.dropped.diamond_sword: #19, 2(1%)
minecraft.used.water_bucket: #19, 517(1%)
minecraft.picked_up.granite: #19, 2032(1%)
minecraft.crafted.oak_slab: #19, 204(1%)
minecraft.used.iron_bars: #19, 230(1%)
minecraft.picked_up.iron_leggings: #19, 2(1%)
minecraft.picked_up.spruce_log: #19, 1171(1%)
minecraft.mined.spruce_stairs: #19, 46(1%)
minecraft.picked_up.red_shulker_box: #19, 55(1%)
minecraft.custom.mob_kills: #19, 10412(0%)
minecraft.mined.red_shulker_box: #19, 55(1%)
minecraft.used.red_shulker_box: #19, 55(1%)
minecraft.crafted.furnace: #19, 42(0%)
minecraft.custom.damage_absorbed: #19, 43(1%)
minecraft.crafted.oak_trapdoor: #19, 52(1%)
minecraft.used.spruce_door: #19, 8(1%)
minecraft.mined.oak_slab: #19, 34(0%)
minecraft.crafted.lapis_lazuli: #19, 207(0%)
minecraft.crafted.armor_stand: #19, 17(1%)
minecraft.crafted.stone_bricks: #19, 2112(0%)
minecraft.crafted.wooden_pickaxe: #19, 1(0%)
minecraft.picked_up.diamond_axe: #19, 5(0%)
minecraft.picked_up.dark_oak_boat: #19, 5(0%)
minecraft.picked_up.stone: #19, 10022(0%)
minecraft.picked_up.bucket: #19, 5(0%)
minecraft.crafted.spruce_door: #19, 6(0%)
minecraft.mined.stone_brick_stairs: #19, 74(0%)
minecraft.crafted.gold_ingot: #19, 734(0%)
minecraft.used.dark_oak_boat: #19, 5(0%)
minecraft.picked_up.spruce_sapling: #19, 76(0%)
minecraft.picked_up.stone_bricks: #19, 557(0%)
minecraft.picked_up.spruce_door: #19, 4(0%)
minecraft.mined.kelp_plant: #19, 125(0%)
minecraft.mined.sand: #19, 4516(0%)
minecraft.picked_up.brown_mushroom: #19, 15(0%)
minecraft.picked_up.sand: #19, 4670(0%)
minecraft.mined.nether_quartz_ore: #19, 696(0%)
minecraft.custom.interact_with_brewingstand: #19, 27(0%)
minecraft.used.stone_bricks: #19, 884(0%)
minecraft.picked_up.cactus: #19, 128(0%)
minecraft.crafted.stone_sword: #19, 1(0%)
minecraft.used.stone_hoe: #19, 15(0%)
minecraft.used.white_shulker_box: #19, 21(0%)
minecraft.picked_up.white_shulker_box: #19, 21(0%)
minecraft.mined.pumpkin: #19, 8(0%)
minecraft.used.glowstone: #19, 27(0%)
minecraft.picked_up.quartz: #19, 782(0%)
minecraft.crafted.spruce_fence: #19, 42(0%)
minecraft.mined.brewing_stand: #19, 1(0%)
minecraft.picked_up.iron_axe: #19, 1(0%)
minecraft.custom.damage_resisted: #19, 900(0%)
minecraft.picked_up.brewing_stand: #19, 1(0%)
minecraft.mined.spruce_fence: #19, 12(0%)
minecraft.picked_up.birch_sapling: #19, 23(0%)
minecraft.used.dark_oak_fence: #19, 19(0%)
minecraft.picked_up.cooked_beef: #19, 23(0%)
minecraft.crafted.emerald: #19, 370(0%)
minecraft.used.written_book: #19, 47(0%)
minecraft.picked_up.spruce_fence: #19, 10(0%)
minecraft.crafted.powered_rail: #19, 24(0%)
minecraft.used.cake: #19, 1(0%)
minecraft.picked_up.glass: #19, 181(0%)
minecraft.mined.fern: #19, 2(0%)
minecraft.crafted.rail: #19, 32(0%)
minecraft.picked_up.stone_button: #19, 6(0%)
minecraft.picked_up.gold_ingot: #19, 8(0%)
minecraft.mined.black_stained_glass: #19, 3(0%)
minecraft.picked_up.cracked_stone_bricks: #19, 8(0%)
minecraft.mined.jungle_leaves: #19, 12(0%)
minecraft.picked_up.stone_slab: #19, 4(0%)
minecraft.picked_up.black_carpet: #19, 1(0%)
minecraft.picked_up.black_stained_glass: #19, 3(0%)
minecraft.dropped.grass_block: #19, 9(0%)
minecraft.dropped.ender_pearl: #19, 5(0%)
minecraft.used.bone_block: #19, 4(0%)
minecraft.crafted.white_wool: #19, 3(0%)
minecraft.mined.polished_granite: #19, 1(0%)
minecraft.crafted.observer: #19, 2(0%)
minecraft.used.black_stained_glass: #19, 3(0%)
minecraft.custom.walk_on_water_one_cm: #20, 1888835(1%)
minecraft.custom.climb_one_cm: #20, 796603(1%)
minecraft.crafted.diamond_chestplate: #20, 1(1%)
minecraft.crafted.iron_sword: #20, 4(1%)
minecraft.crafted.spruce_planks: #20, 3800(1%)
minecraft.used.diamond_pickaxe: #20, 87907(1%)
minecraft.picked_up.diorite: #20, 2354(1%)
minecraft.picked_up.andesite: #20, 2487(1%)
minecraft.picked_up.spruce_slab: #20, 160(1%)
minecraft.used.wheat_seeds: #20, 585(1%)
minecraft.mined.diorite: #20, 2285(1%)
minecraft.custom.crouch_one_cm: #20, 1102958(0%)
minecraft.dropped.leather_helmet: #20, 2(1%)
minecraft.mined.granite: #20, 1967(1%)
minecraft.used.bucket: #20, 523(1%)
minecraft.picked_up.player_head: #20, 79(0%)
minecraft.picked_up.cooked_chicken: #20, 64(0%)
minecraft.dropped.elytra: #20, 1(1%)
minecraft.picked_up.diamond_sword: #20, 6(0%)
minecraft.picked_up.diamond_helmet: #20, 4(0%)
minecraft.used.spruce_boat: #20, 7(0%)
minecraft.picked_up.ink_sac: #20, 71(0%)
minecraft.used.oak_log: #20, 112(0%)
minecraft.custom.time_since_rest: #20, 295364(0%)
minecraft.crafted.birch_planks: #20, 488(0%)
minecraft.picked_up.spruce_stairs: #20, 43(0%)
minecraft.custom.talked_to_villager: #20, 165(0%)
minecraft.picked_up.slime_ball: #20, 155(0%)
minecraft.picked_up.diamond_leggings: #20, 3(0%)
minecraft.mined.magma_block: #20, 76(0%)
minecraft.mined.kelp: #20, 46(0%)
minecraft.picked_up.magma_block: #20, 72(0%)
minecraft.picked_up.dark_oak_planks: #20, 42(0%)
minecraft.used.stone_brick_stairs: #20, 165(0%)
minecraft.picked_up.minecart: #20, 14(0%)
minecraft.dropped.gravel: #20, 70(0%)
minecraft.mined.spruce_planks: #20, 61(0%)
minecraft.used.firework_rocket: #20, 34(0%)
minecraft.dropped.rotten_flesh: #20, 92(0%)
minecraft.used.jungle_log: #20, 17(0%)
minecraft.picked_up.poppy: #20, 85(0%)
minecraft.used.spruce_trapdoor: #20, 40(0%)
minecraft.used.stone: #20, 1207(0%)
minecraft.picked_up.jungle_log: #20, 93(0%)
minecraft.mined.dark_oak_stairs: #20, 8(0%)
minecraft.mined.stone_bricks: #20, 187(0%)
minecraft.mined.cactus: #20, 4(0%)
minecraft.crafted.spruce_trapdoor: #20, 30(0%)
minecraft.picked_up.shears: #20, 1(0%)
minecraft.crafted.paper: #20, 771(0%)
minecraft.mined.dispenser: #20, 2(0%)
minecraft.dropped.cooked_beef: #20, 2(0%)
minecraft.dropped.spruce_slab: #20, 2(0%)
minecraft.crafted.note_block: #20, 2(0%)
minecraft.picked_up.dispenser: #20, 2(0%)
minecraft.used.note_block: #20, 2(0%)
minecraft.picked_up.light_gray_carpet: #20, 5(0%)
minecraft.crafted.redstone: #20, 117(0%)
minecraft.crafted.dispenser: #20, 3(0%)
minecraft.picked_up.emerald: #20, 27(0%)
minecraft.crafted.pink_dye: #20, 3(0%)
minecraft.picked_up.glass_bottle: #20, 1(0%)
minecraft.crafted.orange_dye: #20, 2(0%)
minecraft.used.black_carpet: #20, 1(0%)
minecraft.used.powered_rail: #20, 4(0%)
minecraft.crafted.lime_dye: #20, 2(0%)
minecraft.custom.open_chest: #21, 6861(1%)
minecraft.custom.sprint_one_cm: #21, 22736018(1%)
minecraft.mined.grass: #21, 745(1%)
minecraft.crafted.diamond_axe: #21, 2(1%)
minecraft.custom.sneak_time: #21, 364906(0%)
minecraft.picked_up.golden_chestplate: #21, 3(1%)
minecraft.picked_up.apple: #21, 45(1%)
minecraft.mined.andesite: #21, 2355(1%)
minecraft.mined.stone: #21, 32124(1%)
minecraft.crafted.stone_hoe: #21, 1(1%)
minecraft.mined.oak_leaves: #21, 898(1%)
minecraft.crafted.diamond_shovel: #21, 2(1%)
minecraft.picked_up.wheat: #21, 403(1%)
minecraft.mined.torch: #21, 229(0%)
minecraft.custom.damage_taken: #21, 26119(0%)
minecraft.crafted.spruce_slab: #21, 282(0%)
minecraft.used.wooden_pickaxe: #21, 5(0%)
