stat, rank, value, (percentage) 
minecraft.mined.oak_log: #26, 60(0%)
minecraft.crafted.crafting_table: #26, 1(0%)
minecraft.picked_up.oak_boat: #26, 1(0%)
minecraft.used.furnace: #26, 2(0%)
minecraft.used.crafting_table: #26, 2(0%)
minecraft.mined.furnace: #26, 1(0%)
minecraft.picked_up.furnace: #26, 1(0%)
minecraft.picked_up.bow: #26, 1(0%)
minecraft.custom.interact_with_furnace: #26, 16(0%)
minecraft.crafted.furnace: #26, 1(0%)
minecraft.custom.swim_one_cm: #26, 25563(0%)
minecraft.picked_up.oak_planks: #26, 2(0%)
minecraft.mined.cobblestone: #26, 5(0%)
minecraft.used.cobblestone: #26, 6(0%)
minecraft.dropped.dirt: #26, 2(0%)
minecraft.crafted.birch_planks: #27, 80(0%)
minecraft.custom.boat_one_cm: #27, 225179(0%)
minecraft.custom.interact_with_crafting_table: #27, 15(0%)
minecraft.picked_up.arrow: #27, 12(0%)
minecraft.custom.crouch_one_cm: #27, 16919(0%)
minecraft.picked_up.dirt: #27, 39(0%)
minecraft.killed.skeleton: #27, 3(0%)
minecraft.picked_up.cobblestone: #27, 59(0%)
minecraft.mined.dirt: #27, 16(0%)
minecraft.mined.stone: #27, 28(0%)
minecraft.used.sand: #27, 2(0%)
minecraft.picked_up.sand: #27, 4(0%)
minecraft.custom.drop: #28, 43(0%)
minecraft.custom.damage_taken: #28, 1714(0%)
minecraft.crafted.stick: #28, 48(0%)
minecraft.dropped.rotten_flesh: #28, 3(0%)
minecraft.custom.mob_kills: #28, 26(0%)
minecraft.mined.sand: #28, 2(0%)
minecraft.crafted.oak_planks: #29, 72(0%)
minecraft.custom.sprint_one_cm: #29, 372367(0%)
minecraft.killed.zombie: #29, 3(0%)
minecraft.custom.damage_dealt: #29, 2225(0%)
minecraft.picked_up.bone: #29, 9(0%)
minecraft.custom.climb_one_cm: #29, 1889(0%)
minecraft.used.dirt: #30, 17(0%)
minecraft.custom.jump: #31, 942(0%)
minecraft.mined.grass_block: #31, 3(0%)
minecraft.custom.walk_one_cm: #32, 227602(0%)
minecraft.custom.fall_one_cm: #32, 14540(0%)
minecraft.picked_up.rotten_flesh: #32, 3(0%)
minecraft.custom.open_shulker_box: #32, 8(0%)
minecraft.custom.open_chest: #33, 16(0%)
minecraft.custom.walk_on_water_one_cm: #39, 39941(0%)
minecraft.custom.walk_under_water_one_cm: #39, 75823(0%)
minecraft.custom.leave_game: #40, 35(0%)
minecraft.custom.sneak_time: #42, 10784(0%)
minecraft.custom.play_one_minute: #44, 442484(0%)
minecraft.custom.time_since_death: #45, 89135(0%)
minecraft.custom.fly_one_cm: #48, 342656(0%)
