stat, rank, value, (percentage) 
minecraft.used.written_book: #1, 21172(49%)
minecraft.mined.lime_wool: #1, 421(62%)
minecraft.mined.black_stained_glass: #1, 2457(40%)
minecraft.used.stone_axe: #1, 4001(38%)
minecraft.crafted.leather_leggings: #1, 445(47%)
minecraft.used.armor_stand: #1, 1221(36%)
minecraft.killed.cod: #1, 548(41%)
minecraft.crafted.leather_chestplate: #1, 484(49%)
minecraft.picked_up.chicken: #1, 1533(29%)
minecraft.dropped.obsidian: #1, 662(38%)
minecraft.used.stone_sword: #1, 621(28%)
minecraft.picked_up.black_stained_glass: #1, 2311(28%)
minecraft.crafted.armor_stand: #1, 878(27%)
minecraft.mined.red_wool: #1, 656(30%)
minecraft.picked_up.armor_stand: #1, 372(25%)
minecraft.crafted.leather_boots: #1, 260(33%)
minecraft.picked_up.beef: #1, 6230(21%)
minecraft.used.red_wool: #1, 1303(28%)
minecraft.picked_up.phantom_membrane: #1, 1113(24%)
minecraft.mined.purple_wool: #1, 391(43%)
minecraft.killed.chicken: #1, 552(17%)
minecraft.mined.orange_wool: #1, 173(34%)
minecraft.used.wooden_shovel: #1, 361(37%)
minecraft.broken.stone_axe: #1, 27(44%)
minecraft.used.wooden_axe: #1, 238(26%)
minecraft.killed.cow: #2, 1638(15%)
minecraft.mined.blue_wool: #2, 430(26%)
minecraft.dropped.beef: #2, 2332(23%)
minecraft.used.lime_wool: #2, 570(23%)
minecraft.picked_up.feather: #2, 2058(14%)
minecraft.crafted.iron_sword: #2, 57(14%)
minecraft.picked_up.leather: #2, 4178(14%)
minecraft.dropped.polished_andesite_slab: #1, 165(33%)
minecraft.picked_up.egg: #3, 3296(15%)
minecraft.mined.orange_glazed_terracotta: #1, 54(28%)
minecraft.crafted.stone_axe: #2, 32(16%)
minecraft.broken.wooden_axe: #1, 4(40%)
minecraft.dropped.chicken: #2, 258(18%)
minecraft.broken.iron_pickaxe: #2, 48(15%)
minecraft.dropped.brown_wool: #2, 64(29%)
minecraft.used.iron_pickaxe: #2, 12768(13%)
minecraft.broken.stone_sword: #1, 3(43%)
minecraft.used.brown_wool: #2, 369(24%)
minecraft.crafted.player_head: #2, 938(15%)
minecraft.mined.dead_fire_coral_wall_fan: #1, 14(32%)
minecraft.mined.light_blue_wool: #2, 234(22%)
minecraft.dropped.armor_stand: #2, 37(18%)
minecraft.mined.pink_wool: #2, 106(26%)
minecraft.used.campfire: #2, 218(16%)
minecraft.broken.wooden_shovel: #1, 6(55%)
minecraft.crafted.wooden_hoe: #2, 9(18%)
minecraft.killed.phantom: #3, 840(16%)
minecraft.broken.diamond_shovel: #2, 13(22%)
minecraft.used.purple_wool: #2, 672(18%)
minecraft.picked_up.red_wool: #2, 825(11%)
minecraft.picked_up.smoker: #2, 48(19%)
minecraft.used.blue_wool: #2, 1087(13%)
minecraft.used.black_wool: #3, 1906(20%)
minecraft.crafted.wooden_axe: #2, 5(15%)
minecraft.mined.smoker: #2, 48(19%)
minecraft.used.smoker: #3, 82(18%)
minecraft.crafted.fern: #1, 2(100%)
minecraft.picked_up.stone_axe: #2, 6(12%)
minecraft.crafted.cooked_chicken: #2, 867(13%)
minecraft.killed.skeleton: #2, 6692(7%)
minecraft.used.egg: #3, 3015(11%)
minecraft.picked_up.lime_wool: #2, 816(10%)
minecraft.used.orange_wool: #2, 247(14%)
minecraft.used.stone_shovel: #2, 1985(8%)
minecraft.killed.dolphin: #2, 3(25%)
minecraft.used.oak_slab: #3, 2374(10%)
minecraft.mined.black_shulker_box: #3, 454(14%)
minecraft.mined.andesite_stairs: #2, 17(14%)
minecraft.picked_up.black_shulker_box: #3, 460(14%)
minecraft.broken.stone_shovel: #2, 15(9%)
minecraft.picked_up.dark_oak_fence: #3, 636(11%)
minecraft.used.black_shulker_box: #3, 455(14%)
minecraft.dropped.black_concrete_powder: #2, 256(14%)
minecraft.picked_up.purple_wool: #3, 889(14%)
minecraft.dropped.barrel: #2, 26(17%)
minecraft.picked_up.leather_chestplate: #3, 35(9%)
minecraft.dropped.coal_block: #2, 85(11%)
minecraft.picked_up.leather_leggings: #3, 43(9%)
minecraft.used.dark_oak_sign: #3, 72(12%)
minecraft.picked_up.stone_pickaxe: #3, 12(14%)
minecraft.dropped.wooden_axe: #2, 2(20%)
minecraft.mined.dark_oak_fence: #3, 454(10%)
minecraft.crafted.iron_leggings: #3, 27(8%)
minecraft.picked_up.brown_wool: #2, 520(6%)
minecraft.picked_up.orange_wool: #2, 558(8%)
minecraft.crafted.cooked_beef: #3, 1176(10%)
minecraft.crafted.dark_oak_sign: #3, 57(11%)
minecraft.used.orange_glazed_terracotta: #2, 74(14%)
minecraft.used.oak_planks: #4, 2862(11%)
minecraft.mined.sea_pickle: #3, 259(11%)
minecraft.crafted.iron_chestplate: #4, 34(10%)
minecraft.used.white_glazed_terracotta: #2, 78(11%)
minecraft.mined.acacia_wood: #3, 167(14%)
minecraft.dropped.cod: #3, 6613(9%)
minecraft.custom.animals_bred: #4, 1884(11%)
minecraft.picked_up.acacia_wood: #3, 163(13%)
minecraft.used.birch_pressure_plate: #3, 38(10%)
minecraft.broken.chainmail_helmet: #2, 1(25%)
minecraft.crafted.stone_sword: #3, 27(7%)
minecraft.mined.spruce_wood: #3, 129(8%)
minecraft.used.dead_fire_coral_fan: #3, 32(16%)
minecraft.broken.iron_sword: #3, 2(10%)
minecraft.dropped.dead_brain_coral_block: #2, 1(20%)
minecraft.mined.blue_glazed_terracotta: #2, 12(9%)
minecraft.crafted.iron_pickaxe: #4, 56(9%)
minecraft.dropped.pink_carpet: #2, 2(11%)
minecraft.custom.interact_with_campfire: #2, 51(16%)
minecraft.mined.black_wool: #4, 253(14%)
minecraft.crafted.blue_glazed_terracotta: #2, 64(6%)
minecraft.dropped.lime_stained_glass: #2, 2(4%)
minecraft.picked_up.spruce_wood: #3, 159(8%)
minecraft.picked_up.wooden_axe: #3, 3(20%)
minecraft.mined.spruce_planks: #4, 2292(9%)
minecraft.picked_up.cod_bucket: #3, 2(29%)
minecraft.used.sea_pickle: #3, 723(6%)
minecraft.dropped.oak_boat: #3, 17(5%)
minecraft.crafted.cyan_banner: #3, 11(13%)
minecraft.mined.cyan_wall_banner: #3, 3(15%)
minecraft.picked_up.wooden_hoe: #3, 3(13%)
minecraft.picked_up.yellow_wool: #3, 441(5%)
minecraft.crafted.yellow_glazed_terracotta: #3, 64(13%)
minecraft.broken.diamond_axe: #3, 1(25%)
minecraft.used.bubble_coral: #3, 15(8%)
minecraft.crafted.cyan_glazed_terracotta: #3, 32(14%)
minecraft.used.smooth_sandstone_slab: #3, 342(6%)
minecraft.crafted.campfire: #4, 192(11%)
minecraft.dropped.golden_boots: #4, 24(8%)
minecraft.used.yellow_stained_glass: #4, 555(9%)
minecraft.crafted.orange_glazed_terracotta: #3, 64(8%)
minecraft.custom.interact_with_smoker: #4, 44(8%)
minecraft.dropped.stone_pickaxe: #4, 12(10%)
