stat, rank, value, (percentage) 
minecraft.dropped.flower_pot: #1, 125(57%)
minecraft.mined.redstone_torch: #1, 613(26%)
minecraft.picked_up.lime_concrete_powder: #1, 954(44%)
minecraft.dropped.bookshelf: #1, 258(81%)
minecraft.dropped.yellow_shulker_box: #1, 93(52%)
minecraft.dropped.string: #1, 2427(24%)
minecraft.dropped.dirt: #1, 24732(21%)
minecraft.crafted.clock: #1, 30(39%)
minecraft.dropped.dark_oak_trapdoor: #1, 128(46%)
minecraft.used.spruce_sign: #1, 499(25%)
minecraft.dropped.book: #1, 177(34%)
minecraft.picked_up.yellow_stained_glass: #1, 1120(30%)
minecraft.picked_up.comparator: #1, 1248(26%)
minecraft.dropped.gunpowder: #1, 2214(25%)
minecraft.crafted.smooth_sandstone_slab: #1, 4054(68%)
minecraft.dropped.white_concrete: #1, 2639(30%)
minecraft.mined.blue_wool: #1, 587(36%)
minecraft.dropped.sandstone_stairs: #1, 214(44%)
minecraft.dropped.rail: #1, 1050(28%)
minecraft.dropped.prismarine_crystals: #1, 8263(29%)
minecraft.used.gray_concrete: #1, 24364(25%)
minecraft.picked_up.blue_ice: #1, 5071(31%)
minecraft.killed_by.guardian: #1, 124(44%)
minecraft.dropped.iron_door: #1, 62(38%)
minecraft.used.redstone_torch: #1, 3523(24%)
minecraft.crafted.iron_nugget: #1, 25203(25%)
minecraft.custom.drop: #1, 27873(15%)
minecraft.dropped.lime_stained_glass: #1, 41(87%)
minecraft.crafted.smooth_sandstone_stairs: #1, 4824(87%)
minecraft.dropped.birch_log: #1, 818(27%)
minecraft.picked_up.gray_concrete_powder: #1, 14140(29%)
minecraft.mined.blue_ice: #1, 5342(34%)
minecraft.mined.prismarine: #1, 8951(28%)
minecraft.dropped.stone_shovel: #1, 56(34%)
minecraft.mined.smooth_sandstone_stairs: #1, 279(64%)
minecraft.crafted.white_shulker_box: #1, 133(28%)
minecraft.mined.cyan_carpet: #1, 102(42%)
minecraft.mined.cyan_terracotta: #1, 12429(23%)
minecraft.picked_up.sandstone_stairs: #1, 752(25%)
minecraft.picked_up.ender_pearl: #2, 7886(23%)
minecraft.used.packed_ice: #2, 28730(27%)
minecraft.mined.sandstone_stairs: #1, 613(26%)
minecraft.crafted.iron_axe: #1, 57(19%)
minecraft.picked_up.baked_potato: #2, 2405(25%)
minecraft.crafted.brown_shulker_box: #1, 51(33%)
minecraft.picked_up.dropper: #1, 967(26%)
minecraft.custom.damage_dealt: #2, 3569770(15%)
minecraft.mined.smooth_sandstone: #1, 3371(29%)
minecraft.dropped.slime_ball: #2, 2685(31%)
minecraft.dropped.shulker_shell: #1, 483(60%)
minecraft.mined.redstone_wall_torch: #1, 440(22%)
minecraft.crafted.diamond_pickaxe: #1, 113(20%)
minecraft.dropped.grass_block: #1, 8532(24%)
minecraft.dropped.bamboo: #2, 9525(36%)
minecraft.custom.play_noteblock: #2, 1282(29%)
minecraft.picked_up.light_gray_concrete_powder: #1, 6596(24%)
minecraft.dropped.acacia_planks: #1, 139(28%)
minecraft.used.mycelium: #1, 2613(43%)
minecraft.dropped.chest: #2, 398(27%)
minecraft.dropped.coal_ore: #1, 2286(28%)
minecraft.picked_up.blue_stained_glass: #1, 1663(32%)
minecraft.used.golden_carrot: #1, 10201(17%)
minecraft.crafted.oak_sign: #1, 2213(19%)
minecraft.mined.redstone_wire: #1, 3495(20%)
minecraft.picked_up.ice: #2, 28793(25%)
minecraft.crafted.crafting_table: #1, 510(17%)
minecraft.mined.redstone_lamp: #1, 407(26%)
minecraft.dropped.iron_pickaxe: #1, 23(26%)
minecraft.picked_up.cyan_carpet: #1, 113(29%)
minecraft.crafted.prismarine: #1, 6784(46%)
minecraft.mined.repeater: #1, 1300(22%)
minecraft.dropped.nether_brick_slab: #1, 315(58%)
minecraft.mined.yellow_carpet: #1, 154(27%)
minecraft.picked_up.wither_rose: #1, 1856(57%)
minecraft.picked_up.packed_ice: #2, 77509(26%)
minecraft.used.redstone: #1, 12567(20%)
minecraft.used.hopper: #1, 6009(19%)
minecraft.custom.walk_on_water_one_cm: #2, 21497051(11%)
minecraft.mined.potted_poppy: #1, 28(64%)
minecraft.dropped.iron_ingot: #2, 4041(25%)
minecraft.dropped.cyan_terracotta: #1, 2450(32%)
minecraft.mined.prismarine_bricks: #1, 8419(24%)
minecraft.dropped.brick: #1, 397(44%)
minecraft.picked_up.prismarine_bricks: #1, 9721(26%)
minecraft.dropped.stone_pickaxe: #1, 33(27%)
minecraft.used.redstone_lamp: #1, 1175(23%)
minecraft.dropped.cod: #2, 21896(28%)
minecraft.crafted.stone_pressure_plate: #1, 970(22%)
minecraft.mined.dropper: #1, 618(23%)
minecraft.dropped.lantern: #1, 131(48%)
minecraft.crafted.diamond_hoe: #1, 22(33%)
minecraft.dropped.chiseled_stone_bricks: #1, 830(48%)
minecraft.used.repeater: #1, 4054(20%)
minecraft.picked_up.smooth_sandstone_stairs: #1, 276(61%)
minecraft.picked_up.light_blue_dye: #1, 360(33%)
minecraft.mined.packed_ice: #2, 71206(26%)
minecraft.dropped.green_carpet: #1, 40(61%)
minecraft.picked_up.iron_shovel: #1, 62(18%)
minecraft.mined.powered_rail: #1, 2010(21%)
minecraft.picked_up.cookie: #1, 808(22%)
minecraft.mined.mossy_cobblestone: #1, 534(21%)
minecraft.mined.gray_stained_glass_pane: #1, 453(42%)
minecraft.picked_up.yellow_shulker_box: #1, 1530(19%)
minecraft.crafted.orange_bed: #1, 23(46%)
minecraft.dropped.diamond_shovel: #1, 37(21%)
minecraft.picked_up.gold_ingot: #1, 2294(20%)
minecraft.mined.hopper: #1, 2074(18%)
minecraft.custom.inspect_hopper: #1, 8339(17%)
minecraft.picked_up.iron_block: #1, 9173(18%)
minecraft.used.magenta_wool: #1, 111(34%)
minecraft.mined.purpur_slab: #1, 205(27%)
minecraft.dropped.iron_boots: #1, 29(24%)
minecraft.picked_up.purpur_slab: #1, 201(27%)
minecraft.used.lectern: #2, 1547(26%)
minecraft.mined.detector_rail: #1, 66(23%)
minecraft.used.observer: #1, 3800(19%)
minecraft.picked_up.repeater: #1, 1993(18%)
minecraft.used.black_glazed_terracotta: #1, 402(49%)
minecraft.dropped.dark_oak_fence_gate: #1, 38(43%)
minecraft.crafted.gray_wool: #1, 388(28%)
minecraft.dropped.birch_sign: #1, 82(30%)
minecraft.picked_up.black_stained_glass: #2, 1845(22%)
minecraft.used.yellow_shulker_box: #1, 1382(18%)
minecraft.picked_up.string: #2, 8974(18%)
minecraft.custom.player_kills: #1, 15(23%)
minecraft.crafted.cookie: #2, 3704(35%)
minecraft.crafted.spruce_sign: #2, 508(25%)
minecraft.dropped.snow: #1, 1980(25%)
minecraft.dropped.packed_ice: #2, 5113(30%)
minecraft.used.detector_rail: #1, 146(20%)
minecraft.picked_up.cod: #2, 21174(19%)
minecraft.dropped.lime_carpet: #1, 53(47%)
minecraft.dropped.birch_slab: #1, 204(38%)
minecraft.custom.aviate_one_cm: #2, 1407993715(18%)
minecraft.dropped.potato: #2, 4203(24%)
minecraft.crafted.spruce_boat: #1, 61(18%)
minecraft.picked_up.redstone_torch: #1, 1792(16%)
minecraft.picked_up.hopper: #1, 2114(16%)
minecraft.dropped.purpur_slab: #1, 92(28%)
minecraft.used.cyan_carpet: #1, 239(22%)
minecraft.killed.ghast: #1, 384(19%)
minecraft.crafted.enchanted_book: #2, 853(22%)
minecraft.crafted.cyan_shulker_box: #1, 24(28%)
minecraft.dropped.white_shulker_box: #1, 40(40%)
minecraft.dropped.diamond_boots: #1, 22(17%)
minecraft.killed.shulker: #1, 1477(25%)
minecraft.killed_by.vindicator: #1, 11(35%)
minecraft.mined.quartz_slab: #1, 2466(17%)
minecraft.mined.lectern: #2, 1490(27%)
minecraft.mined.diamond_block: #2, 757(23%)
minecraft.crafted.orange_wool: #1, 128(39%)
minecraft.picked_up.lectern: #2, 1492(27%)
minecraft.crafted.snow_block: #1, 5516(20%)
minecraft.dropped.powered_rail: #1, 195(23%)
minecraft.picked_up.cyan_terracotta: #2, 15654(20%)
minecraft.mined.black_shulker_box: #1, 656(21%)
minecraft.picked_up.shulker_shell: #1, 3623(23%)
minecraft.custom.swim_one_cm: #2, 39495754(14%)
minecraft.dropped.paper: #1, 1642(16%)
minecraft.used.black_shulker_box: #1, 661(20%)
minecraft.picked_up.black_shulker_box: #1, 658(20%)
minecraft.used.dropper: #2, 1555(21%)
minecraft.mined.purple_concrete_powder: #1, 39(49%)
minecraft.crafted.light_blue_wool: #1, 255(28%)
minecraft.picked_up.gunpowder: #1, 3426(13%)
minecraft.picked_up.tropical_fish_bucket: #1, 49(84%)
minecraft.mined.gray_concrete: #2, 21207(22%)
minecraft.mined.nether_wart_block: #1, 49(42%)
minecraft.crafted.stone_pickaxe: #2, 56(18%)
minecraft.mined.yellow_banner: #1, 25(28%)
minecraft.dropped.iron_block: #1, 951(21%)
minecraft.dropped.carrot: #2, 21505(21%)
minecraft.custom.jump: #3, 1097347(12%)
minecraft.crafted.acacia_planks: #2, 13372(19%)
minecraft.picked_up.red_stained_glass: #2, 1457(28%)
minecraft.picked_up.prismarine: #2, 6900(24%)
minecraft.killed.pufferfish: #1, 17(27%)
minecraft.picked_up.smooth_stone: #2, 6608(19%)
minecraft.picked_up.gray_wool: #2, 682(20%)
minecraft.used.hopper_minecart: #1, 181(17%)
minecraft.used.spruce_boat: #2, 292(17%)
minecraft.crafted.hopper_minecart: #1, 181(17%)
minecraft.dropped.melon: #1, 816(64%)
minecraft.dropped.apple: #2, 336(24%)
minecraft.picked_up.nether_wart_block: #1, 45(31%)
minecraft.used.light_weighted_pressure_plate: #1, 43(35%)
minecraft.dropped.diamond_leggings: #1, 20(19%)
minecraft.dropped.wither_skeleton_skull: #1, 57(62%)
minecraft.dropped.cyan_wool: #1, 191(31%)
minecraft.dropped.dark_oak_pressure_plate: #1, 36(51%)
minecraft.picked_up.note_block: #1, 214(15%)
minecraft.mined.redstone_block: #1, 781(15%)
minecraft.crafted.iron_boots: #2, 54(16%)
minecraft.picked_up.quartz_slab: #1, 2768(15%)
minecraft.picked_up.lime_stained_glass_pane: #1, 237(20%)
minecraft.mined.note_block: #1, 180(17%)
minecraft.used.gray_concrete_powder: #2, 25981(21%)
minecraft.dropped.nether_brick_fence: #1, 98(43%)
minecraft.crafted.sea_lantern: #2, 26841(31%)
minecraft.crafted.gray_concrete_powder: #2, 25144(21%)
minecraft.picked_up.orange_concrete_powder: #1, 966(30%)
minecraft.used.diamond_sword: #2, 46536(12%)
minecraft.dropped.lime_stained_glass_pane: #1, 112(60%)
minecraft.picked_up.diamond_block: #2, 1015(19%)
minecraft.dropped.birch_button: #1, 86(30%)
minecraft.mined.black_glazed_terracotta: #1, 57(42%)
minecraft.crafted.yellow_bed: #2, 29(33%)
minecraft.used.oak_sign: #2, 2337(16%)
minecraft.dropped.light_blue_stained_glass_pane: #1, 28(58%)
minecraft.dropped.stone_slab: #2, 546(24%)
minecraft.dropped.purpur_pillar: #1, 166(32%)
minecraft.used.prismarine: #2, 4219(22%)
minecraft.picked_up.diamond_chestplate: #1, 31(14%)
minecraft.dropped.birch_fence_gate: #1, 23(41%)
minecraft.dropped.beacon: #1, 14(29%)
minecraft.dropped.andesite_slab: #1, 67(32%)
minecraft.dropped.chainmail_helmet: #1, 14(22%)
minecraft.broken.iron_helmet: #1, 6(32%)
minecraft.crafted.apple: #2, 553(35%)
minecraft.dropped.ice: #2, 1890(26%)
minecraft.used.cyan_terracotta: #2, 35388(17%)
minecraft.mined.yellow_shulker_box: #2, 1345(17%)
minecraft.used.oak_log: #2, 4847(15%)
minecraft.picked_up.iron_pickaxe: #1, 28(12%)
minecraft.dropped.shield: #1, 15(20%)
minecraft.crafted.white_wool: #2, 3497(20%)
minecraft.mined.emerald_block: #2, 253(21%)
minecraft.picked_up.brown_mushroom: #2, 785(15%)
minecraft.dropped.magenta_wool: #1, 58(92%)
minecraft.used.powered_rail: #1, 5319(14%)
minecraft.mined.gray_glazed_terracotta: #1, 22(39%)
