stat, rank, value, (percentage) 
minecraft.used.stone: #24, 207(0%)
minecraft.mined.birch_leaves: #24, 5(0%)
minecraft.picked_up.stone: #24, 380(0%)
minecraft.crafted.stone_bricks: #24, 64(0%)
minecraft.mined.seagrass: #24, 1(0%)
minecraft.dropped.arrow: #24, 1(0%)
minecraft.mined.sandstone: #24, 5(0%)
minecraft.picked_up.sandstone: #24, 5(0%)
minecraft.custom.minecart_one_cm: #24, 254(0%)
minecraft.crafted.iron_axe: #25, 1(0%)
minecraft.used.iron_sword: #25, 55(0%)
minecraft.used.bone_meal: #25, 368(0%)
minecraft.custom.interact_with_furnace: #25, 202(0%)
minecraft.crafted.iron_sword: #25, 1(0%)
minecraft.custom.sprint_one_cm: #25, 3455944(0%)
minecraft.custom.jump: #25, 10737(0%)
minecraft.picked_up.bone_meal: #25, 45(0%)
minecraft.custom.damage_taken: #25, 5861(0%)
minecraft.crafted.oak_sign: #25, 12(0%)
minecraft.mined.oak_log: #25, 116(0%)
minecraft.picked_up.oak_log: #25, 111(0%)
minecraft.crafted.torch: #25, 196(0%)
minecraft.custom.deaths: #25, 2(0%)
minecraft.used.oak_boat: #25, 2(0%)
minecraft.picked_up.dirt: #25, 622(0%)
minecraft.mined.torch: #25, 27(0%)
minecraft.used.dirt: #25, 338(0%)
minecraft.custom.open_chest: #25, 251(0%)
minecraft.killed.creeper: #25, 4(0%)
minecraft.dropped.diorite: #25, 39(0%)
minecraft.picked_up.torch: #25, 66(0%)
minecraft.mined.dirt: #25, 285(0%)
minecraft.mined.kelp_plant: #25, 11(0%)
minecraft.used.chest: #25, 8(0%)
minecraft.mined.redstone_ore: #25, 24(0%)
minecraft.dropped.granite: #25, 16(0%)
minecraft.picked_up.flint: #25, 5(0%)
minecraft.picked_up.redstone: #25, 94(0%)
minecraft.picked_up.kelp: #25, 68(0%)
minecraft.picked_up.gunpowder: #25, 4(0%)
minecraft.mined.chest: #25, 3(0%)
minecraft.crafted.redstone_block: #25, 7(0%)
minecraft.mined.gravel: #25, 88(0%)
minecraft.picked_up.gravel: #25, 68(0%)
minecraft.mined.dark_oak_log: #25, 11(0%)
minecraft.picked_up.dark_oak_log: #25, 11(0%)
minecraft.used.ender_pearl: #25, 1(0%)
minecraft.mined.kelp: #25, 1(0%)
minecraft.crafted.iron_block: #25, 3(0%)
minecraft.dropped.sand: #25, 1(0%)
minecraft.killed.zombie: #26, 13(0%)
minecraft.used.torch: #26, 239(0%)
minecraft.crafted.bone_meal: #26, 576(0%)
minecraft.picked_up.arrow: #26, 18(0%)
minecraft.picked_up.apple: #26, 1(0%)
minecraft.picked_up.white_wool: #26, 2(0%)
minecraft.mined.grass_block: #26, 84(0%)
minecraft.picked_up.chest: #26, 3(0%)
minecraft.crafted.iron_ingot: #26, 36(0%)
minecraft.picked_up.string: #26, 3(0%)
minecraft.crafted.chest: #26, 3(0%)
minecraft.picked_up.ender_pearl: #26, 1(0%)
minecraft.crafted.oak_planks: #27, 356(0%)
minecraft.custom.fall_one_cm: #27, 116001(0%)
minecraft.crafted.birch_planks: #28, 72(0%)
minecraft.mined.oak_leaves: #28, 8(0%)
minecraft.picked_up.oak_sapling: #31, 4(0%)
minecraft.custom.walk_on_water_one_cm: #32, 201435(0%)
minecraft.custom.play_one_minute: #34, 2369599(0%)
minecraft.custom.leave_game: #35, 79(0%)
minecraft.custom.walk_under_water_one_cm: #37, 288107(0%)
minecraft.custom.time_since_rest: #37, 16009(0%)
minecraft.custom.fly_one_cm: #43, 931356(0%)
minecraft.custom.time_since_death: #51, 15787(0%)
