stat, rank, value, (percentage) 
minecraft.used.green_concrete: #12, 8(0%)
minecraft.dropped.end_stone_bricks: #12, 1(0%)
minecraft.used.smooth_sandstone_slab: #12, 1(0%)
minecraft.used.dark_oak_fence: #13, 128(1%)
minecraft.crafted.tripwire_hook: #13, 32(1%)
minecraft.crafted.wooden_pickaxe: #13, 1(0%)
minecraft.used.dark_oak_fence_gate: #13, 5(0%)
minecraft.crafted.yellow_stained_glass: #13, 8(0%)
minecraft.picked_up.leather: #14, 486(2%)
minecraft.used.writable_book: #14, 54(1%)
minecraft.mined.oak_slab: #14, 97(1%)
minecraft.used.glass: #14, 1388(1%)
minecraft.crafted.player_head: #14, 91(1%)
minecraft.mined.loom: #14, 2(1%)
minecraft.mined.brewing_stand: #14, 5(1%)
minecraft.mined.spruce_log: #14, 1587(1%)
minecraft.mined.tnt: #14, 14(1%)
minecraft.mined.end_stone_bricks: #14, 52(1%)
minecraft.mined.spruce_sapling: #14, 4(0%)
minecraft.crafted.lime_dye: #14, 112(0%)
minecraft.used.spruce_leaves: #14, 200(0%)
minecraft.picked_up.cookie: #14, 14(0%)
minecraft.used.sea_pickle: #14, 41(0%)
minecraft.used.purple_shulker_box: #14, 6(0%)
minecraft.picked_up.purple_shulker_box: #14, 6(0%)
minecraft.mined.purple_shulker_box: #14, 6(0%)
minecraft.killed_by.zombie: #14, 1(0%)
minecraft.used.pufferfish_bucket: #14, 1(0%)
minecraft.mined.lectern: #14, 2(0%)
minecraft.picked_up.lectern: #14, 2(0%)
minecraft.picked_up.leather_helmet: #15, 8(3%)
minecraft.picked_up.leather_boots: #15, 14(3%)
minecraft.mined.spruce_planks: #15, 283(1%)
minecraft.used.oak_slab: #15, 255(1%)
minecraft.picked_up.loom: #15, 2(1%)
minecraft.picked_up.brewing_stand: #15, 5(1%)
minecraft.picked_up.spruce_log: #15, 1672(1%)
minecraft.used.brewing_stand: #15, 4(1%)
minecraft.picked_up.dark_oak_boat: #15, 7(1%)
minecraft.used.spruce_sapling: #15, 76(1%)
minecraft.crafted.white_banner: #15, 7(1%)
minecraft.crafted.smooth_stone: #15, 225(0%)
minecraft.mined.piston_head: #15, 1(0%)
minecraft.used.black_concrete_powder: #15, 221(0%)
minecraft.crafted.lectern: #15, 1(0%)
minecraft.picked_up.campfire: #15, 1(0%)
minecraft.mined.campfire: #15, 1(0%)
minecraft.killed.silverfish: #15, 1(0%)
minecraft.used.lectern: #15, 5(0%)
minecraft.crafted.dark_oak_fence_gate: #15, 2(0%)
minecraft.picked_up.green_concrete: #15, 8(0%)
minecraft.mined.black_concrete_powder: #15, 2(0%)
minecraft.mined.nether_wart: #15, 8(0%)
minecraft.used.blue_carpet: #15, 10(0%)
minecraft.used.stone_stairs: #15, 1(0%)
minecraft.used.nether_wart: #15, 8(0%)
minecraft.mined.green_concrete: #15, 2(0%)
minecraft.picked_up.leather_leggings: #16, 12(3%)
minecraft.crafted.glass: #16, 1577(1%)
minecraft.crafted.oak_slab: #16, 256(1%)
minecraft.mined.blue_shulker_box: #16, 31(1%)
minecraft.used.blue_shulker_box: #16, 31(1%)
minecraft.picked_up.blue_shulker_box: #16, 31(1%)
minecraft.custom.open_barrel: #16, 336(1%)
minecraft.used.spruce_trapdoor: #16, 214(1%)
minecraft.used.obsidian: #16, 158(1%)
minecraft.crafted.spruce_trapdoor: #16, 176(1%)
minecraft.mined.lantern: #16, 13(1%)
minecraft.picked_up.end_stone_bricks: #16, 52(1%)
minecraft.used.vine: #16, 19(1%)
minecraft.dropped.leather_boots: #16, 2(0%)
minecraft.picked_up.lantern: #16, 16(0%)
minecraft.picked_up.birch_pressure_plate: #16, 1(0%)
minecraft.picked_up.gray_wool: #16, 12(0%)
minecraft.used.yellow_stained_glass: #16, 17(0%)
minecraft.picked_up.tnt: #16, 13(0%)
minecraft.crafted.white_wool: #16, 42(0%)
minecraft.mined.sandstone_stairs: #16, 5(0%)
minecraft.crafted.sandstone_stairs: #16, 16(0%)
minecraft.used.sandstone_stairs: #16, 12(0%)
minecraft.picked_up.brown_shulker_box: #16, 6(0%)
minecraft.mined.brown_shulker_box: #16, 6(0%)
minecraft.picked_up.lapis_block: #16, 2(0%)
minecraft.mined.spruce_wood: #16, 1(0%)
minecraft.crafted.spruce_stairs: #17, 272(1%)
minecraft.picked_up.oak_slab: #17, 99(1%)
minecraft.used.spruce_planks: #17, 456(1%)
minecraft.picked_up.spruce_sapling: #17, 145(1%)
minecraft.crafted.oak_fence: #17, 78(1%)
minecraft.used.spruce_log: #17, 240(1%)
minecraft.used.cooked_beef: #17, 123(1%)
minecraft.used.lantern: #17, 62(1%)
minecraft.used.magenta_shulker_box: #17, 15(0%)
minecraft.mined.magenta_shulker_box: #17, 15(0%)
minecraft.picked_up.magenta_shulker_box: #17, 15(0%)
minecraft.mined.comparator: #17, 9(0%)
minecraft.dropped.potion: #17, 3(0%)
minecraft.crafted.dark_oak_fence: #17, 54(0%)
minecraft.mined.light_gray_shulker_box: #17, 16(0%)
minecraft.used.lava_bucket: #17, 8(0%)
minecraft.used.light_gray_shulker_box: #17, 16(0%)
minecraft.mined.tripwire_hook: #17, 1(0%)
minecraft.picked_up.light_gray_shulker_box: #17, 16(0%)
minecraft.used.white_stained_glass: #17, 259(0%)
minecraft.mined.light_blue_shulker_box: #17, 21(0%)
minecraft.used.light_blue_shulker_box: #17, 21(0%)
minecraft.picked_up.light_blue_shulker_box: #17, 21(0%)
minecraft.picked_up.sandstone_stairs: #17, 6(0%)
minecraft.used.campfire: #17, 2(0%)
minecraft.mined.coal_block: #17, 3(0%)
minecraft.used.brown_shulker_box: #17, 6(0%)
minecraft.picked_up.emerald_block: #17, 2(0%)
minecraft.picked_up.stone_stairs: #17, 1(0%)
minecraft.picked_up.nether_wart: #17, 23(0%)
minecraft.mined.polished_granite: #17, 1(0%)
minecraft.picked_up.black_concrete_powder: #17, 2(0%)
minecraft.custom.animals_bred: #18, 188(1%)
minecraft.used.oak_fence: #18, 92(1%)
minecraft.crafted.writable_book: #18, 7(1%)
minecraft.crafted.cobblestone_wall: #18, 150(1%)
minecraft.used.loom: #18, 2(1%)
minecraft.picked_up.red_shulker_box: #18, 59(1%)
minecraft.mined.red_shulker_box: #18, 59(1%)
minecraft.used.red_shulker_box: #18, 59(1%)
minecraft.mined.barrel: #18, 7(1%)
minecraft.used.white_banner: #18, 6(0%)
minecraft.mined.dark_oak_fence: #18, 18(0%)
minecraft.used.jungle_boat: #18, 1(0%)
minecraft.picked_up.barrel: #18, 7(0%)
minecraft.picked_up.potion: #18, 7(0%)
minecraft.used.barrel: #18, 11(0%)
minecraft.used.flint_and_steel: #18, 13(0%)
minecraft.picked_up.red_mushroom: #18, 7(0%)
minecraft.mined.tripwire: #18, 6(0%)
minecraft.mined.white_stained_glass: #18, 43(0%)
minecraft.mined.white_concrete_powder: #18, 14(0%)
minecraft.picked_up.comparator: #18, 9(0%)
minecraft.crafted.white_stained_glass: #18, 264(0%)
minecraft.mined.infested_stone: #18, 2(0%)
minecraft.crafted.barrel: #18, 4(0%)
minecraft.used.black_concrete: #18, 120(0%)
minecraft.mined.yellow_stained_glass: #18, 1(0%)
minecraft.picked_up.yellow_carpet: #18, 1(0%)
minecraft.mined.white_wool: #18, 1(0%)
minecraft.used.white_wool: #18, 1(0%)
minecraft.picked_up.spruce_planks: #19, 284(1%)
minecraft.picked_up.painting: #19, 27(1%)
minecraft.used.oak_log: #19, 211(1%)
minecraft.custom.trigger_trapped_chest: #19, 13(0%)
minecraft.picked_up.dark_oak_fence: #19, 18(0%)
minecraft.mined.spruce_trapdoor: #19, 20(0%)
minecraft.crafted.spruce_boat: #19, 1(0%)
minecraft.mined.cracked_stone_bricks: #19, 7(0%)
minecraft.picked_up.spruce_trapdoor: #19, 20(0%)
minecraft.mined.quartz_stairs: #19, 16(0%)
minecraft.custom.interact_with_smoker: #19, 1(0%)
minecraft.picked_up.white_stained_glass: #19, 38(0%)
minecraft.used.comparator: #19, 11(0%)
minecraft.used.stripped_oak_log: #19, 3(0%)
minecraft.crafted.white_concrete_powder: #19, 384(0%)
minecraft.used.white_concrete_powder: #19, 344(0%)
minecraft.used.string: #19, 8(0%)
minecraft.mined.white_concrete: #19, 119(0%)
minecraft.used.gray_concrete: #19, 34(0%)
minecraft.dropped.paper: #19, 2(0%)
minecraft.picked_up.blue_wool: #19, 4(0%)
minecraft.crafted.black_dye: #19, 2(0%)
minecraft.used.painting: #20, 26(1%)
minecraft.crafted.iron_boots: #20, 2(1%)
minecraft.used.spruce_stairs: #20, 126(1%)
minecraft.used.end_rod: #20, 80(0%)
minecraft.mined.cobblestone_wall: #20, 14(0%)
minecraft.used.andesite: #20, 176(0%)
minecraft.mined.oxeye_daisy: #20, 4(0%)
minecraft.crafted.bucket: #20, 10(0%)
minecraft.picked_up.writable_book: #20, 2(0%)
minecraft.used.dark_oak_boat: #20, 4(0%)
minecraft.mined.stripped_oak_log: #20, 13(0%)
minecraft.used.spruce_door: #20, 4(0%)
minecraft.custom.aviate_one_cm: #20, 17369340(0%)
minecraft.picked_up.stripped_oak_log: #20, 12(0%)
minecraft.picked_up.cobblestone_wall: #20, 13(0%)
minecraft.crafted.flint_and_steel: #20, 1(0%)
minecraft.crafted.spruce_door: #20, 3(0%)
minecraft.picked_up.spruce_door: #20, 2(0%)
minecraft.used.white_stained_glass_pane: #20, 62(0%)
minecraft.crafted.white_stained_glass_pane: #20, 64(0%)
minecraft.mined.redstone_wall_torch: #20, 3(0%)
minecraft.crafted.enchanted_book: #20, 6(0%)
minecraft.used.cooked_chicken: #20, 15(0%)
minecraft.used.dispenser: #20, 5(0%)
minecraft.picked_up.vine: #20, 25(0%)
minecraft.picked_up.quartz_stairs: #20, 16(0%)
minecraft.used.quartz_stairs: #20, 34(0%)
minecraft.picked_up.smooth_stone: #20, 39(0%)
minecraft.used.coal_ore: #20, 28(0%)
minecraft.crafted.quartz_stairs: #20, 16(0%)
minecraft.crafted.dark_oak_trapdoor: #20, 6(0%)
minecraft.used.white_shulker_box: #20, 6(0%)
minecraft.mined.white_shulker_box: #20, 6(0%)
minecraft.picked_up.white_shulker_box: #20, 6(0%)
minecraft.crafted.smooth_stone_slab: #20, 194(0%)
minecraft.mined.polished_andesite: #20, 12(0%)
minecraft.used.dark_oak_trapdoor: #20, 4(0%)
minecraft.picked_up.cracked_stone_bricks: #20, 7(0%)
minecraft.picked_up.white_concrete: #20, 119(0%)
minecraft.mined.stripped_spruce_log: #20, 1(0%)
minecraft.picked_up.stripped_spruce_log: #20, 1(0%)
minecraft.picked_up.polished_andesite: #20, 9(0%)
minecraft.mined.white_stained_glass_pane: #20, 2(0%)
minecraft.used.white_concrete: #20, 100(0%)
minecraft.mined.sandstone_slab: #20, 3(0%)
minecraft.picked_up.sandstone_slab: #20, 3(0%)
minecraft.used.cracked_stone_bricks: #20, 3(0%)
minecraft.picked_up.white_stained_glass_pane: #20, 2(0%)
minecraft.mined.scaffolding: #20, 8(0%)
minecraft.crafted.light_gray_carpet: #20, 3(0%)
minecraft.picked_up.white_concrete_powder: #20, 13(0%)
minecraft.mined.cobblestone: #21, 951(1%)
minecraft.crafted.iron_leggings: #21, 2(1%)
minecraft.crafted.diamond_sword: #21, 1(1%)
minecraft.mined.wheat: #21, 355(1%)
minecraft.crafted.iron_helmet: #21, 2(0%)
minecraft.used.cobblestone: #21, 1416(0%)
minecraft.picked_up.golden_boots: #21, 2(0%)
minecraft.mined.obsidian: #21, 141(0%)
minecraft.used.diorite: #21, 85(0%)
minecraft.used.spruce_slab: #21, 238(0%)
minecraft.used.cobblestone_wall: #21, 62(0%)
minecraft.mined.spruce_stairs: #21, 28(0%)
minecraft.used.potion: #21, 4(0%)
minecraft.mined.shulker_box: #21, 93(0%)
minecraft.used.shulker_box: #21, 93(0%)
minecraft.mined.yellow_shulker_box: #21, 20(0%)
minecraft.used.yellow_shulker_box: #21, 20(0%)
minecraft.picked_up.shulker_box: #21, 93(0%)
minecraft.picked_up.yellow_shulker_box: #21, 20(0%)
minecraft.custom.open_enderchest: #21, 166(0%)
minecraft.picked_up.water_bucket: #21, 2(0%)
minecraft.used.shears: #21, 474(0%)
minecraft.crafted.white_dye: #21, 158(0%)
minecraft.used.tripwire_hook: #21, 5(0%)
minecraft.dropped.rotten_flesh: #21, 78(0%)
minecraft.mined.player_wall_head: #21, 2(0%)
minecraft.picked_up.ender_chest: #21, 15(0%)
minecraft.used.ender_chest: #21, 16(0%)
minecraft.mined.ender_chest: #21, 15(0%)
minecraft.custom.interact_with_brewingstand: #21, 10(0%)
minecraft.mined.vine: #21, 20(0%)
minecraft.dropped.flint: #21, 8(0%)
minecraft.broken.shears: #21, 1(0%)
minecraft.picked_up.end_rod: #21, 12(0%)
minecraft.mined.end_rod: #21, 7(0%)
minecraft.mined.dead_bush: #21, 1(0%)
minecraft.crafted.emerald: #21, 189(0%)
minecraft.picked_up.oxeye_daisy: #21, 4(0%)
minecraft.crafted.blue_dye: #21, 18(0%)
minecraft.killed.drowned: #21, 9(0%)
minecraft.mined.dispenser: #21, 1(0%)
minecraft.crafted.glass_bottle: #21, 3(0%)
minecraft.mined.smooth_stone: #21, 7(0%)
minecraft.mined.glass: #21, 14(0%)
minecraft.used.glass_bottle: #21, 3(0%)
minecraft.crafted.blaze_powder: #21, 4(0%)
minecraft.used.birch_sign: #21, 1(0%)
minecraft.picked_up.glass: #21, 93(0%)
minecraft.custom.traded_with_villager: #21, 87(0%)
minecraft.picked_up.dispenser: #21, 1(0%)
minecraft.crafted.dark_oak_slab: #21, 6(0%)
minecraft.picked_up.scaffolding: #21, 10(0%)
minecraft.used.scaffolding: #21, 10(0%)
minecraft.picked_up.gold_ingot: #21, 1(0%)
minecraft.used.sandstone: #21, 5(0%)
minecraft.used.polished_andesite: #21, 6(0%)
minecraft.picked_up.gold_block: #21, 1(0%)
minecraft.custom.horse_one_cm: #21, 2064(0%)
minecraft.used.dark_oak_slab: #21, 1(0%)
minecraft.picked_up.black_concrete: #21, 1(0%)
minecraft.mined.black_concrete: #21, 1(0%)
minecraft.mined.furnace: #22, 31(1%)
minecraft.picked_up.furnace: #22, 31(1%)
minecraft.picked_up.wheat_seeds: #22, 962(1%)
minecraft.custom.open_shulker_box: #22, 3303(0%)
minecraft.used.wheat_seeds: #22, 355(0%)
minecraft.crafted.spruce_planks: #22, 1912(0%)
minecraft.picked_up.wheat: #22, 355(0%)
minecraft.crafted.spruce_slab: #22, 270(0%)
minecraft.custom.crouch_one_cm: #22, 656108(0%)
minecraft.picked_up.obsidian: #22, 141(0%)
minecraft.mined.white_bed: #22, 7(0%)
minecraft.killed.skeleton: #22, 264(0%)
minecraft.used.diamond_sword: #22, 564(0%)
minecraft.picked_up.stick: #22, 79(0%)
minecraft.crafted.lapis_block: #22, 22(0%)
minecraft.custom.talked_to_villager: #22, 79(0%)
minecraft.used.player_head: #22, 8(0%)
minecraft.mined.anvil: #22, 1(0%)
minecraft.picked_up.spruce_slab: #22, 19(0%)
minecraft.picked_up.sand: #22, 1447(0%)
minecraft.mined.sand: #22, 1329(0%)
minecraft.mined.spruce_slab: #22, 15(0%)
minecraft.picked_up.anvil: #22, 1(0%)
minecraft.mined.player_head: #22, 2(0%)
minecraft.picked_up.pufferfish: #22, 2(0%)
minecraft.picked_up.cod: #22, 78(0%)
minecraft.crafted.oak_stairs: #22, 8(0%)
minecraft.mined.redstone_wire: #22, 13(0%)
minecraft.picked_up.book: #22, 9(0%)
minecraft.used.dark_oak_log: #22, 35(0%)
minecraft.picked_up.brown_mushroom: #22, 3(0%)
minecraft.mined.stone_bricks: #22, 72(0%)
minecraft.mined.bookshelf: #22, 3(0%)
minecraft.used.stone_bricks: #22, 153(0%)
minecraft.used.redstone: #22, 27(0%)
minecraft.mined.redstone_torch: #22, 1(0%)
minecraft.picked_up.redstone_torch: #22, 4(0%)
minecraft.used.redstone_torch: #22, 5(0%)
minecraft.used.sand: #22, 104(0%)
minecraft.crafted.quartz_block: #22, 28(0%)
minecraft.dropped.redstone: #22, 2(0%)
minecraft.mined.dark_oak_stairs: #22, 1(0%)
minecraft.custom.damage_resisted: #22, 79(0%)
minecraft.used.sticky_piston: #22, 2(0%)
minecraft.picked_up.sticky_piston: #22, 1(0%)
minecraft.picked_up.dark_oak_stairs: #22, 1(0%)
minecraft.used.smooth_stone: #22, 7(0%)
minecraft.crafted.sticky_piston: #22, 1(0%)
