stat, rank, value, (percentage) 
minecraft.used.cod: #6, 18(3%)
minecraft.crafted.heavy_weighted_pressure_plate: #6, 16(3%)
minecraft.used.powered_rail: #7, 2739(7%)
minecraft.crafted.black_terracotta: #6, 648(3%)
minecraft.dropped.stripped_acacia_log: #6, 2(4%)
minecraft.used.rail: #7, 5168(6%)
minecraft.mined.sweet_berry_bush: #6, 79(3%)
minecraft.used.gray_concrete: #7, 6258(6%)
minecraft.picked_up.acacia_sapling: #6, 245(2%)
minecraft.crafted.ladder: #7, 807(6%)
minecraft.mined.melon: #6, 43(2%)
minecraft.mined.gray_concrete: #7, 6508(7%)
minecraft.dropped.anvil: #6, 2(3%)
minecraft.picked_up.smithing_table: #6, 11(4%)
minecraft.used.magenta_wool: #6, 9(3%)
minecraft.picked_up.rabbit_foot: #6, 1(5%)
minecraft.dropped.pufferfish_bucket: #6, 1(5%)
minecraft.used.dark_prismarine: #6, 386(2%)
minecraft.dropped.jungle_trapdoor: #6, 4(3%)
minecraft.used.oak_log: #7, 1664(5%)
minecraft.killed.vex: #6, 12(3%)
minecraft.killed.blaze: #6, 403(2%)
minecraft.mined.blue_shulker_box: #7, 182(6%)
minecraft.used.blue_shulker_box: #7, 182(6%)
minecraft.picked_up.stone: #7, 131343(5%)
minecraft.picked_up.blue_shulker_box: #7, 183(6%)
minecraft.mined.light_blue_shulker_box: #7, 567(6%)
minecraft.picked_up.magenta_terracotta: #6, 28(3%)
minecraft.picked_up.light_blue_shulker_box: #7, 572(6%)
minecraft.dropped.beef: #6, 117(1%)
minecraft.used.light_blue_shulker_box: #7, 565(6%)
minecraft.used.brewing_stand: #7, 32(5%)
minecraft.crafted.oak_sign: #7, 555(5%)
minecraft.dropped.crafting_table: #7, 29(6%)
minecraft.dropped.flint: #7, 474(5%)
minecraft.dropped.spruce_fence_gate: #6, 5(2%)
minecraft.dropped.dark_prismarine_slab: #6, 2(2%)
minecraft.picked_up.pufferfish: #7, 117(5%)
minecraft.used.pumpkin_pie: #6, 49(2%)
minecraft.crafted.melon_seeds: #6, 52(1%)
minecraft.mined.dark_prismarine_slab: #6, 48(1%)
minecraft.crafted.cookie: #6, 108(1%)
minecraft.mined.dark_prismarine_stairs: #6, 17(1%)
minecraft.used.stone: #7, 37819(4%)
minecraft.picked_up.gray_concrete: #7, 4969(6%)
minecraft.dropped.red_concrete_powder: #6, 1(2%)
minecraft.picked_up.tipped_arrow: #6, 6(1%)
minecraft.mined.white_bed: #7, 100(5%)
minecraft.used.prismarine_stairs: #6, 11(1%)
minecraft.picked_up.dark_prismarine_stairs: #6, 15(1%)
minecraft.mined.smooth_sandstone_stairs: #6, 4(1%)
minecraft.used.dark_prismarine_stairs: #6, 43(1%)
minecraft.crafted.iron_hoe: #7, 5(7%)
minecraft.dropped.cyan_stained_glass: #6, 7(1%)
minecraft.used.brown_concrete_powder: #7, 500(7%)
minecraft.picked_up.smooth_sandstone_stairs: #6, 4(1%)
minecraft.dropped.golden_carrot: #7, 275(5%)
minecraft.dropped.beetroot: #6, 1(1%)
minecraft.used.redstone_block: #7, 723(5%)
minecraft.mined.dark_oak_fence_gate: #7, 31(7%)
minecraft.picked_up.dead_brain_coral_block: #6, 6(0%)
minecraft.used.dead_brain_coral_block: #6, 6(1%)
minecraft.mined.brown_bed: #6, 1(1%)
minecraft.picked_up.cyan_concrete: #7, 312(8%)
minecraft.dropped.gray_stained_glass_pane: #6, 1(0%)
minecraft.dropped.golden_helmet: #7, 15(6%)
minecraft.crafted.stone_shovel: #7, 22(4%)
minecraft.broken.diamond_pickaxe: #7, 5(6%)
minecraft.used.white_concrete_powder: #7, 16463(4%)
minecraft.crafted.gray_concrete_powder: #7, 5640(5%)
minecraft.picked_up.brewing_stand: #7, 22(5%)
minecraft.picked_up.porkchop: #7, 69(4%)
minecraft.crafted.white_banner: #7, 54(4%)
minecraft.used.gray_concrete_powder: #7, 5480(4%)
minecraft.crafted.leather_helmet: #7, 9(5%)
minecraft.crafted.green_dye: #7, 2530(4%)
minecraft.picked_up.book: #7, 405(3%)
minecraft.crafted.cyan_stained_glass_pane: #7, 144(6%)
minecraft.picked_up.gray_shulker_box: #7, 157(4%)
minecraft.mined.gray_shulker_box: #7, 154(4%)
minecraft.crafted.iron_leggings: #8, 22(7%)
minecraft.used.gray_shulker_box: #7, 155(4%)
minecraft.picked_up.emerald_block: #7, 73(4%)
minecraft.custom.play_noteblock: #7, 139(3%)
minecraft.mined.cyan_terracotta: #7, 1533(3%)
minecraft.dropped.cod: #7, 2529(3%)
minecraft.crafted.detector_rail: #7, 36(3%)
minecraft.used.purple_banner: #7, 6(6%)
minecraft.dropped.nether_quartz_ore: #7, 33(6%)
minecraft.crafted.cyan_carpet: #7, 36(4%)
minecraft.dropped.spruce_fence: #7, 40(4%)
minecraft.dropped.redstone_torch: #7, 43(3%)
minecraft.used.redstone_ore: #7, 655(3%)
minecraft.used.purple_stained_glass: #7, 129(3%)
minecraft.crafted.cyan_dye: #7, 924(2%)
minecraft.mined.light_blue_terracotta: #7, 84(3%)
minecraft.picked_up.cyan_terracotta: #7, 1772(2%)
minecraft.mined.glass: #8, 1859(7%)
minecraft.crafted.golden_apple: #7, 35(4%)
minecraft.crafted.purple_concrete_powder: #7, 376(4%)
minecraft.mined.brown_carpet: #7, 28(3%)
minecraft.used.lilac: #7, 39(3%)
minecraft.killed.wolf: #7, 1(6%)
minecraft.dropped.acacia_boat: #7, 1(6%)
minecraft.used.red_mushroom: #7, 20(4%)
minecraft.mined.terracotta: #7, 4852(2%)
minecraft.picked_up.terracotta: #7, 4829(2%)
minecraft.crafted.purple_banner: #7, 9(6%)
minecraft.picked_up.cyan_wool: #7, 224(2%)
minecraft.used.sunflower: #7, 3(4%)
minecraft.crafted.golden_carrot: #7, 1861(2%)
minecraft.crafted.brewing_stand: #7, 11(2%)
minecraft.crafted.cyan_stained_glass: #7, 1728(3%)
minecraft.mined.dark_oak_button: #7, 3(3%)
minecraft.mined.smithing_table: #7, 10(4%)
minecraft.mined.spruce_stairs: #8, 430(5%)
minecraft.used.light_blue_terracotta: #7, 329(2%)
minecraft.picked_up.gray_concrete_powder: #7, 767(2%)
minecraft.dropped.stone_button: #7, 74(1%)
minecraft.mined.crafting_table: #8, 378(5%)
minecraft.picked_up.black_carpet: #8, 153(7%)
minecraft.mined.gravel: #8, 36276(5%)
minecraft.picked_up.yellow_concrete_powder: #7, 117(2%)
minecraft.picked_up.feather: #8, 685(5%)
minecraft.mined.torch: #8, 2290(5%)
minecraft.mined.black_terracotta: #7, 63(2%)
minecraft.used.light_gray_terracotta: #7, 107(1%)
minecraft.crafted.light_blue_shulker_box: #7, 6(1%)
minecraft.crafted.cyan_bed: #7, 2(2%)
minecraft.dropped.white_concrete_powder: #7, 64(2%)
minecraft.dropped.red_terracotta: #7, 47(1%)
minecraft.broken.iron_shovel: #8, 7(6%)
minecraft.picked_up.mycelium: #7, 411(1%)
minecraft.picked_up.purple_concrete: #7, 100(1%)
minecraft.used.music_disc_blocks: #7, 1(3%)
minecraft.picked_up.gravel: #8, 35704(5%)
minecraft.mined.mycelium: #7, 427(1%)
minecraft.dropped.dark_oak_button: #7, 2(2%)
minecraft.crafted.acacia_fence: #7, 30(2%)
minecraft.used.acacia_sapling: #7, 86(1%)
minecraft.crafted.prismarine_stairs: #7, 28(2%)
minecraft.used.stone_button: #7, 410(1%)
minecraft.crafted.cooked_chicken: #7, 69(1%)
minecraft.crafted.chainmail_helmet: #7, 1(2%)
minecraft.dropped.acacia_sapling: #7, 7(1%)
minecraft.crafted.glistering_melon_slice: #7, 5(1%)
minecraft.used.acacia_fence: #7, 17(1%)
minecraft.used.cyan_stained_glass: #7, 339(1%)
minecraft.used.black_stained_glass_pane: #7, 38(0%)
minecraft.dropped.dark_oak_planks: #8, 148(6%)
minecraft.picked_up.white_bed: #8, 113(4%)
minecraft.killed.turtle: #7, 2(0%)
minecraft.used.dead_brain_coral_fan: #7, 1(1%)
minecraft.used.brown_bed: #7, 1(0%)
minecraft.used.hopper_minecart: #8, 57(5%)
minecraft.picked_up.spectral_arrow: #7, 2(0%)
minecraft.crafted.hopper_minecart: #8, 57(5%)
minecraft.mined.prismarine_slab: #7, 1(0%)
minecraft.picked_up.stone_brick_stairs: #8, 1026(4%)
minecraft.used.spruce_planks: #8, 2242(4%)
minecraft.mined.cobblestone_stairs: #8, 136(4%)
minecraft.picked_up.coal_block: #8, 198(4%)
minecraft.custom.traded_with_villager: #8, 9788(4%)
minecraft.picked_up.grass: #8, 119(4%)
minecraft.used.glass_pane: #8, 479(4%)
minecraft.picked_up.white_concrete: #8, 11278(4%)
minecraft.custom.enchant_item: #8, 185(4%)
minecraft.mined.green_concrete: #8, 693(5%)
minecraft.crafted.diamond_shovel: #8, 12(4%)
minecraft.used.oak_planks: #8, 843(3%)
minecraft.crafted.lead: #8, 24(4%)
minecraft.dropped.spruce_trapdoor: #8, 28(4%)
minecraft.crafted.iron_bars: #8, 1152(3%)
minecraft.crafted.black_wool: #8, 128(5%)
minecraft.crafted.player_head: #8, 249(4%)
minecraft.used.bone_meal: #8, 3759(3%)
minecraft.used.stripped_spruce_log: #8, 36(4%)
minecraft.crafted.dark_oak_sign: #8, 21(4%)
minecraft.picked_up.grass_block: #8, 16317(3%)
minecraft.used.chipped_anvil: #8, 15(4%)
minecraft.mined.chipped_anvil: #8, 16(4%)
minecraft.picked_up.fishing_rod: #8, 11(3%)
minecraft.crafted.lectern: #8, 24(4%)
minecraft.mined.green_shulker_box: #8, 92(4%)
minecraft.mined.stone_slab: #8, 233(4%)
minecraft.used.activator_rail: #8, 25(5%)
minecraft.killed.horse: #8, 6(4%)
minecraft.picked_up.ink_sac: #8, 510(3%)
minecraft.picked_up.green_shulker_box: #8, 92(4%)
minecraft.used.green_shulker_box: #8, 92(4%)
minecraft.picked_up.dark_oak_fence_gate: #8, 30(5%)
minecraft.used.cooked_chicken: #8, 308(3%)
minecraft.used.painting: #8, 100(3%)
minecraft.used.cyan_terracotta: #8, 5922(3%)
minecraft.used.white_shulker_box: #8, 280(3%)
minecraft.picked_up.painting: #8, 91(3%)
minecraft.mined.white_shulker_box: #8, 280(3%)
minecraft.picked_up.white_shulker_box: #8, 282(3%)
minecraft.dropped.baked_potato: #8, 84(3%)
minecraft.picked_up.clay_ball: #8, 1740(3%)
minecraft.picked_up.green_banner: #8, 2(6%)
minecraft.picked_up.green_concrete: #8, 480(4%)
minecraft.picked_up.diamond_horse_armor: #8, 1(6%)
minecraft.picked_up.pumpkin_seeds: #8, 926(3%)
minecraft.custom.aviate_one_cm: #9, 457632310(6%)
minecraft.used.light_gray_stained_glass: #8, 1050(3%)
minecraft.used.flint_and_steel: #8, 119(2%)
minecraft.dropped.carrot: #8, 2564(3%)
minecraft.crafted.cyan_terracotta: #8, 5080(3%)
minecraft.used.diamond_ore: #8, 208(2%)
minecraft.picked_up.iron_horse_armor: #8, 1(5%)
minecraft.dropped.wooden_hoe: #8, 1(6%)
minecraft.used.white_tulip: #8, 8(4%)
minecraft.dropped.stripped_spruce_log: #8, 5(4%)
minecraft.picked_up.light_blue_terracotta: #8, 83(3%)
minecraft.picked_up.pufferfish_bucket: #8, 2(5%)
minecraft.crafted.cobblestone_stairs: #8, 544(2%)
minecraft.picked_up.heart_of_the_sea: #8, 1(6%)
minecraft.dropped.spruce_log: #8, 148(2%)
minecraft.crafted.fermented_spider_eye: #8, 15(3%)
minecraft.crafted.bread: #8, 134(2%)
minecraft.dropped.cyan_shulker_box: #8, 1(5%)
minecraft.custom.sleep_in_bed: #9, 1559(4%)
minecraft.mined.redstone_block: #9, 356(7%)
minecraft.crafted.pink_shulker_box: #8, 3(3%)
minecraft.used.birch_fence: #8, 44(2%)
minecraft.picked_up.totem_of_undying: #8, 9(2%)
minecraft.dropped.emerald: #8, 139(2%)
minecraft.broken.iron_axe: #9, 5(6%)
minecraft.crafted.coarse_dirt: #8, 652(1%)
minecraft.used.blast_furnace: #8, 9(2%)
minecraft.mined.blast_furnace: #8, 6(2%)
minecraft.dropped.coarse_dirt: #8, 29(2%)
minecraft.mined.allium: #8, 15(2%)
minecraft.mined.red_bed: #8, 9(2%)
minecraft.picked_up.black_concrete_powder: #8, 1087(1%)
minecraft.used.diamond_pickaxe: #9, 513568(4%)
minecraft.picked_up.crafting_table: #9, 389(4%)
minecraft.used.pumpkin_seeds: #8, 59(1%)
minecraft.mined.mossy_cobblestone_wall: #8, 2(2%)
minecraft.used.purple_concrete_powder: #8, 167(2%)
minecraft.used.crafting_table: #9, 416(4%)
minecraft.mined.purple_bed: #8, 5(2%)
minecraft.picked_up.blaze_powder: #8, 30(1%)
minecraft.picked_up.purple_bed: #8, 5(2%)
minecraft.picked_up.purple_stained_glass: #8, 93(1%)
minecraft.crafted.conduit: #8, 1(2%)
minecraft.crafted.birch_fence_gate: #8, 11(1%)
minecraft.crafted.pumpkin_pie: #8, 48(1%)
minecraft.used.jack_o_lantern: #8, 78(1%)
minecraft.picked_up.mossy_cobblestone_wall: #8, 2(2%)
minecraft.used.green_banner: #8, 1(2%)
minecraft.picked_up.melon_seeds: #8, 9(1%)
minecraft.crafted.stone_button: #8, 441(1%)
minecraft.crafted.pumpkin_seeds: #8, 64(1%)
minecraft.mined.gray_stained_glass_pane: #8, 16(1%)
minecraft.mined.lapis_block: #8, 6(1%)
minecraft.dropped.paper: #9, 537(5%)
minecraft.mined.purple_concrete: #8, 103(1%)
minecraft.used.white_bed: #9, 130(5%)
minecraft.dropped.cyan_carpet: #8, 1(2%)
minecraft.mined.gray_concrete_powder: #8, 45(1%)
minecraft.picked_up.jungle_fence: #8, 4(1%)
minecraft.picked_up.white_dye: #8, 57(1%)
minecraft.mined.cyan_bed: #8, 4(1%)
minecraft.picked_up.cyan_bed: #8, 4(1%)
minecraft.used.cyan_bed: #8, 5(1%)
minecraft.picked_up.dark_prismarine_slab: #8, 35(1%)
minecraft.used.smithing_table: #8, 11(1%)
minecraft.mined.dark_oak_wood: #8, 8(1%)
minecraft.dropped.compass: #8, 1(1%)
minecraft.mined.smooth_quartz: #8, 21(0%)
minecraft.picked_up.music_disc_blocks: #8, 1(1%)
minecraft.picked_up.spruce_slab: #9, 887(4%)
minecraft.crafted.stick: #9, 13900(4%)
minecraft.used.purple_concrete: #8, 32(0%)
minecraft.custom.pig_one_cm: #8, 1693(0%)
minecraft.dropped.light_gray_wool: #8, 5(0%)
minecraft.used.turtle_egg: #8, 3(1%)
minecraft.picked_up.brown_bed: #8, 1(1%)
minecraft.used.dark_prismarine_slab: #8, 93(0%)
minecraft.used.lapis_block: #8, 6(0%)
minecraft.picked_up.dead_brain_coral_fan: #8, 1(0%)
minecraft.mined.wall_torch: #9, 803(4%)
minecraft.dropped.black_concrete_powder: #8, 2(0%)
minecraft.dropped.yellow_concrete: #8, 1(0%)
minecraft.picked_up.prismarine_slab: #8, 1(0%)
minecraft.picked_up.wither_rose: #8, 1(0%)
minecraft.used.smooth_sandstone_stairs: #8, 1(0%)
minecraft.killed.evoker: #8, 3(0%)
minecraft.used.prismarine_slab: #8, 1(0%)
minecraft.custom.boat_one_cm: #9, 24082470(4%)
minecraft.picked_up.birch_planks: #9, 343(4%)
minecraft.picked_up.powered_rail: #9, 962(5%)
minecraft.mined.iron_block: #9, 1555(4%)
minecraft.used.firework_rocket: #9, 546(4%)
minecraft.mined.sea_lantern: #9, 389(4%)
minecraft.picked_up.red_shulker_box: #9, 361(4%)
minecraft.mined.red_shulker_box: #9, 365(4%)
minecraft.killed.salmon: #9, 21(5%)
minecraft.used.red_shulker_box: #9, 363(4%)
minecraft.used.dark_oak_fence: #9, 552(4%)
minecraft.used.end_rod: #9, 682(4%)
minecraft.used.stone_brick_stairs: #9, 2166(4%)
minecraft.picked_up.coal_ore: #9, 2157(3%)
minecraft.picked_up.saddle: #9, 11(3%)
minecraft.dropped.andesite: #9, 1944(3%)
minecraft.mined.yellow_shulker_box: #9, 261(3%)
minecraft.picked_up.green_concrete_powder: #9, 192(5%)
minecraft.crafted.enchanting_table: #9, 2(4%)
minecraft.used.yellow_shulker_box: #9, 257(3%)
minecraft.picked_up.yellow_shulker_box: #9, 264(3%)
minecraft.mined.stone_brick_slab: #9, 994(3%)
minecraft.picked_up.chipped_anvil: #9, 16(4%)
minecraft.picked_up.paper: #9, 1011(3%)
minecraft.picked_up.shield: #9, 12(3%)
minecraft.picked_up.birch_boat: #9, 56(3%)
minecraft.picked_up.ladder: #9, 341(3%)
minecraft.dropped.dark_oak_log: #9, 124(3%)
minecraft.dropped.soul_sand: #9, 96(3%)
minecraft.used.black_carpet: #9, 235(3%)
minecraft.used.cocoa_beans: #9, 577(3%)
minecraft.picked_up.splash_potion: #9, 12(4%)
minecraft.used.lead: #9, 2(6%)
minecraft.picked_up.cocoa_beans: #9, 1159(3%)
minecraft.crafted.orange_dye: #9, 322(3%)
minecraft.crafted.redstone_block: #9, 1164(2%)
minecraft.used.mossy_stone_bricks: #9, 154(3%)
minecraft.picked_up.lapis_ore: #9, 189(3%)
minecraft.picked_up.stone_slab: #9, 264(3%)
minecraft.picked_up.peony: #9, 75(3%)
minecraft.mined.white_wall_banner: #9, 13(3%)
minecraft.dropped.cut_sandstone: #9, 10(4%)
minecraft.crafted.white_dye: #9, 1860(2%)
minecraft.dropped.oak_boat: #9, 8(2%)
minecraft.dropped.ladder: #9, 41(3%)
minecraft.crafted.spruce_pressure_plate: #9, 13(3%)
minecraft.crafted.light_blue_stained_glass_pane: #9, 160(3%)
minecraft.picked_up.gray_wool: #9, 82(2%)
minecraft.crafted.birch_fence: #9, 63(3%)
minecraft.crafted.birch_sign: #9, 63(3%)
minecraft.mined.clay: #9, 496(2%)
minecraft.mined.diamond_ore: #9, 540(2%)
minecraft.crafted.light_gray_shulker_box: #9, 7(3%)
minecraft.mined.bookshelf: #9, 126(2%)
minecraft.picked_up.tropical_fish: #9, 11(2%)
minecraft.crafted.leather_chestplate: #9, 29(3%)
minecraft.picked_up.stripped_spruce_log: #9, 54(2%)
minecraft.picked_up.stone_sword: #9, 21(2%)
minecraft.dropped.birch_boat: #9, 2(3%)
minecraft.crafted.sticky_piston: #9, 170(2%)
minecraft.dropped.stone_bricks: #9, 416(2%)
minecraft.picked_up.spruce_fence_gate: #9, 28(2%)
minecraft.custom.jump: #10, 279917(3%)
minecraft.picked_up.glass_pane: #9, 74(2%)
minecraft.picked_up.cookie: #9, 65(2%)
minecraft.mined.spruce_planks: #10, 1408(5%)
minecraft.dropped.prismarine_crystals: #9, 487(2%)
minecraft.dropped.apple: #9, 24(2%)
minecraft.crafted.brown_shulker_box: #9, 3(2%)
minecraft.dropped.iron_helmet: #9, 4(2%)
minecraft.picked_up.red_bed: #9, 9(2%)
minecraft.dropped.diamond_sword: #10, 13(5%)
minecraft.crafted.birch_stairs: #9, 176(1%)
minecraft.dropped.splash_potion: #9, 2(2%)
minecraft.used.red_bed: #9, 9(1%)
minecraft.mined.acacia_leaves: #9, 246(1%)
minecraft.crafted.end_rod: #9, 256(1%)
minecraft.used.snow: #9, 801(1%)
minecraft.mined.attached_pumpkin_stem: #9, 1(2%)
minecraft.used.coarse_dirt: #9, 507(1%)
minecraft.dropped.light_gray_shulker_box: #9, 1(2%)
minecraft.picked_up.dark_oak_button: #9, 4(2%)
minecraft.crafted.firework_rocket: #9, 8148(1%)
minecraft.picked_up.blast_furnace: #9, 6(1%)
minecraft.used.purple_bed: #9, 5(2%)
minecraft.dropped.totem_of_undying: #9, 2(1%)
minecraft.used.clay: #9, 66(1%)
minecraft.crafted.black_stained_glass: #9, 432(1%)
minecraft.dropped.redstone_lamp: #9, 1(2%)
minecraft.dropped.white_terracotta: #9, 33(1%)
minecraft.crafted.orange_shulker_box: #9, 3(1%)
minecraft.dropped.quartz_stairs: #9, 7(1%)
minecraft.dropped.gold_ore: #9, 31(1%)
minecraft.dropped.magma_cream: #9, 1(2%)
minecraft.used.cooked_mutton: #9, 22(1%)
minecraft.picked_up.lily_of_the_valley: #9, 2(1%)
minecraft.used.red_tulip: #9, 2(1%)
minecraft.used.prismarine: #9, 130(1%)
minecraft.crafted.wooden_sword: #9, 2(1%)
minecraft.dropped.dark_oak_fence: #9, 4(1%)
minecraft.picked_up.iron_pickaxe: #10, 11(5%)
minecraft.picked_up.acacia_leaves: #9, 109(1%)
minecraft.mined.brown_mushroom_block: #9, 165(1%)
minecraft.picked_up.pink_wool: #9, 38(1%)
minecraft.used.wooden_shovel: #9, 7(1%)
minecraft.picked_up.dark_oak_wood: #9, 8(1%)
minecraft.crafted.purple_stained_glass: #9, 48(1%)
minecraft.dropped.comparator: #9, 4(1%)
minecraft.dropped.light_blue_wool: #9, 1(1%)
minecraft.picked_up.sunflower: #9, 38(0%)
minecraft.dropped.orange_terracotta: #9, 12(0%)
minecraft.dropped.white_stained_glass_pane: #9, 5(0%)
minecraft.picked_up.magenta_dye: #9, 3(0%)
minecraft.picked_up.iron_bars: #10, 665(4%)
minecraft.used.mossy_cobblestone_wall: #9, 2(0%)
minecraft.picked_up.stripped_acacia_log: #9, 6(0%)
minecraft.dropped.chorus_fruit: #9, 4(0%)
minecraft.mined.stripped_acacia_log: #9, 5(0%)
minecraft.used.iron_axe: #10, 1268(4%)
minecraft.picked_up.orange_dye: #9, 2(0%)
minecraft.used.melon: #9, 6(0%)
minecraft.custom.play_record: #9, 1(0%)
minecraft.picked_up.dead_bush: #9, 1(0%)
minecraft.dropped.crossbow: #9, 2(0%)
minecraft.crafted.prismarine_slab: #9, 6(0%)
minecraft.dropped.black_stained_glass: #9, 1(0%)
minecraft.crafted.smithing_table: #9, 1(0%)
minecraft.picked_up.cobblestone_wall: #10, 236(4%)
minecraft.used.diamond_sword: #10, 11362(3%)
minecraft.used.light_gray_concrete: #10, 2063(5%)
minecraft.crafted.crafting_table: #10, 96(3%)
minecraft.mined.light_gray_concrete: #10, 2027(4%)
minecraft.picked_up.iron_block: #10, 1869(4%)
minecraft.mined.grass_block: #10, 20647(2%)
minecraft.picked_up.beacon: #10, 23(4%)
minecraft.picked_up.nautilus_shell: #10, 28(3%)
minecraft.custom.pot_flower: #10, 42(3%)
minecraft.dropped.diamond_shovel: #10, 6(3%)
minecraft.dropped.stone: #10, 13165(3%)
minecraft.dropped.oak_planks: #10, 147(3%)
minecraft.used.diamond_axe: #10, 26216(2%)
minecraft.crafted.bone_meal: #10, 28132(2%)
minecraft.used.birch_boat: #10, 54(3%)
minecraft.picked_up.light_gray_concrete_powder: #10, 880(3%)
minecraft.mined.cobblestone_slab: #10, 190(3%)
minecraft.used.iron_block: #10, 1853(3%)
minecraft.mined.end_rod: #10, 243(3%)
minecraft.crafted.gold_ingot: #10, 4786(3%)
minecraft.mined.beacon: #10, 17(3%)
minecraft.used.dark_oak_sign: #10, 18(3%)
minecraft.crafted.spruce_sign: #10, 60(3%)
minecraft.crafted.spruce_door: #10, 36(3%)
minecraft.crafted.gray_dye: #10, 1110(3%)
minecraft.picked_up.iron_helmet: #10, 8(2%)
minecraft.used.piston: #10, 275(3%)
minecraft.crafted.blue_shulker_box: #10, 3(3%)
minecraft.picked_up.light_gray_concrete: #10, 996(3%)
minecraft.picked_up.stone_button: #10, 201(2%)
minecraft.dropped.water_bucket: #10, 6(3%)
minecraft.killed_by.zombie_pigman: #10, 1(5%)
minecraft.used.birch_log: #10, 391(2%)
minecraft.mined.dark_prismarine: #10, 152(3%)
minecraft.dropped.cobblestone_wall: #10, 37(3%)
minecraft.used.cobblestone_slab: #10, 712(2%)
minecraft.picked_up.wet_sponge: #10, 353(3%)
minecraft.mined.redstone_ore: #10, 2173(2%)
minecraft.dropped.stone_slab: #10, 65(3%)
minecraft.picked_up.diamond_ore: #10, 208(2%)
minecraft.used.observer: #10, 435(2%)
minecraft.used.sponge: #10, 355(3%)
minecraft.picked_up.end_rod: #10, 295(2%)
minecraft.dropped.end_rod: #10, 71(3%)
minecraft.mined.spruce_fence_gate: #10, 23(3%)
minecraft.picked_up.sea_lantern: #10, 666(2%)
minecraft.mined.birch_sign: #10, 6(3%)
minecraft.mined.wet_sponge: #10, 353(3%)
minecraft.dropped.tripwire_hook: #10, 13(3%)
minecraft.crafted.sponge: #10, 295(3%)
minecraft.picked_up.red_mushroom: #10, 59(2%)
minecraft.used.cooked_cod: #10, 516(2%)
minecraft.mined.stripped_spruce_log: #10, 52(2%)
minecraft.used.golden_apple: #10, 5(2%)
minecraft.crafted.book: #10, 148(2%)
minecraft.mined.jack_o_lantern: #10, 13(3%)
minecraft.mined.black_stained_glass: #10, 102(2%)
minecraft.used.dark_oak_door: #10, 12(3%)
minecraft.mined.cobweb: #10, 224(2%)
minecraft.crafted.lime_stained_glass_pane: #10, 160(2%)
minecraft.crafted.stone_slab: #10, 516(2%)
minecraft.picked_up.dark_prismarine: #10, 122(2%)
minecraft.used.stone_slab: #10, 561(2%)
minecraft.mined.oak_fence_gate: #10, 13(2%)
minecraft.dropped.ink_sac: #10, 26(2%)
minecraft.dropped.armor_stand: #10, 4(2%)
minecraft.crafted.cyan_shulker_box: #10, 2(2%)
minecraft.picked_up.rabbit_hide: #10, 3(2%)
minecraft.dropped.slime_ball: #10, 127(1%)
minecraft.crafted.campfire: #10, 29(2%)
minecraft.crafted.green_shulker_box: #10, 3(2%)
minecraft.crafted.black_carpet: #10, 123(2%)
minecraft.crafted.oak_planks: #11, 15368(4%)
minecraft.mined.lime_shulker_box: #10, 48(2%)
minecraft.used.lime_shulker_box: #10, 48(1%)
minecraft.picked_up.lime_shulker_box: #10, 48(1%)
minecraft.used.black_stained_glass: #10, 372(1%)
minecraft.dropped.acacia_log: #10, 20(2%)
minecraft.picked_up.jack_o_lantern: #10, 13(1%)
minecraft.crafted.white_shulker_box: #10, 6(1%)
minecraft.dropped.white_stained_glass: #10, 31(2%)
minecraft.custom.interact_with_blast_furnace: #10, 7(1%)
minecraft.picked_up.golden_apple: #10, 7(1%)
minecraft.dropped.chainmail_chestplate: #10, 1(2%)
minecraft.used.yellow_terracotta: #10, 74(1%)
minecraft.picked_up.black_terracotta: #10, 62(1%)
minecraft.crafted.composter: #10, 13(1%)
minecraft.custom.open_shulker_box: #11, 23137(3%)
minecraft.killed.wither_skeleton: #10, 270(1%)
minecraft.crafted.brown_carpet: #10, 63(1%)
minecraft.crafted.dispenser: #10, 41(1%)
minecraft.crafted.jack_o_lantern: #10, 67(1%)
minecraft.used.spruce_fence_gate: #10, 48(1%)
minecraft.crafted.gray_shulker_box: #10, 2(1%)
minecraft.mined.dark_oak_pressure_plate: #10, 1(1%)
minecraft.picked_up.clay: #10, 50(1%)
minecraft.dropped.oxeye_daisy: #10, 14(1%)
minecraft.picked_up.sweet_berries: #10, 199(1%)
minecraft.mined.green_carpet: #10, 3(1%)
minecraft.dropped.charcoal: #10, 1(1%)
minecraft.dropped.glowstone_dust: #10, 6(1%)
minecraft.crafted.end_crystal: #10, 1(1%)
minecraft.dropped.cooked_chicken: #10, 18(1%)
minecraft.dropped.sea_lantern: #10, 102(0%)
minecraft.mined.gray_stained_glass: #10, 13(0%)
minecraft.crafted.dark_oak_planks: #11, 8484(4%)
minecraft.crafted.apple: #10, 8(1%)
minecraft.mined.smooth_quartz_stairs: #10, 7(1%)
minecraft.dropped.cooked_porkchop: #10, 3(0%)
minecraft.picked_up.spruce_planks: #11, 1494(4%)
minecraft.dropped.stone_stairs: #10, 3(0%)
minecraft.mined.acacia_planks: #10, 3(0%)
minecraft.picked_up.orange_stained_glass: #10, 8(0%)
minecraft.mined.smooth_sandstone_slab: #10, 2(0%)
minecraft.dropped.peony: #10, 2(0%)
minecraft.picked_up.smooth_quartz_stairs: #10, 7(0%)
minecraft.picked_up.smooth_sandstone_slab: #10, 2(0%)
