stat, rank, value, (percentage) 
minecraft.crafted.cyan_concrete_powder: #2, 768(11%)
minecraft.mined.spruce_sign: #2, 9(14%)
minecraft.picked_up.cooked_mutton: #2, 201(10%)
minecraft.dropped.orange_dye: #2, 29(25%)
minecraft.dropped.porkchop: #2, 44(17%)
minecraft.used.brown_concrete: #3, 442(21%)
minecraft.picked_up.stone_bricks: #3, 16933(10%)
minecraft.picked_up.chicken: #3, 568(11%)
minecraft.dropped.magenta_shulker_box: #2, 4(24%)
minecraft.crafted.diamond_leggings: #3, 14(11%)
minecraft.crafted.gray_wool: #3, 256(18%)
minecraft.mined.magenta_bed: #2, 15(31%)
minecraft.mined.cyan_stained_glass_pane: #2, 34(14%)
minecraft.dropped.stone_shovel: #3, 28(17%)
minecraft.crafted.cooked_salmon: #3, 470(18%)
minecraft.crafted.iron_pickaxe: #3, 60(10%)
minecraft.mined.gray_wool: #2, 33(10%)
minecraft.picked_up.diamond_hoe: #2, 4(29%)
minecraft.dropped.saddle: #2, 60(12%)
minecraft.mined.composter: #3, 57(14%)
minecraft.picked_up.spruce_pressure_plate: #3, 54(14%)
minecraft.dropped.stone_pickaxe: #3, 18(15%)
minecraft.mined.activator_rail: #3, 31(18%)
minecraft.crafted.spruce_fence: #3, 2160(11%)
minecraft.mined.orange_concrete: #3, 1564(14%)
minecraft.dropped.chorus_flower: #2, 18(25%)
minecraft.used.oak_fence_gate: #3, 147(11%)
minecraft.dropped.diamond_pickaxe: #3, 41(9%)
minecraft.mined.mossy_stone_bricks: #3, 141(9%)
minecraft.crafted.prismarine_wall: #2, 240(35%)
minecraft.broken.iron_pickaxe: #3, 29(9%)
minecraft.mined.brown_shulker_box: #3, 637(12%)
minecraft.crafted.melon: #3, 23137(18%)
minecraft.dropped.wheat: #3, 206(9%)
minecraft.used.stone_hoe: #3, 541(9%)
minecraft.dropped.diamond_hoe: #2, 5(23%)
minecraft.mined.brown_concrete: #3, 625(16%)
minecraft.mined.cyan_concrete_powder: #2, 33(15%)
minecraft.custom.damage_resisted: #4, 61172(13%)
minecraft.used.iron_pickaxe: #3, 7568(8%)
minecraft.crafted.magenta_stained_glass: #3, 1672(23%)
minecraft.dropped.mutton: #3, 62(14%)
minecraft.used.dark_oak_log: #4, 6243(12%)
minecraft.picked_up.pink_shulker_box: #3, 295(11%)
