stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #3, 29019734(16%)
minecraft.custom.time_since_death: #4, 29019688(11%)
minecraft.used.magenta_carpet: #8, 1(0%)
minecraft.custom.fly_one_cm: #13, 76607589(3%)
minecraft.used.birch_stairs: #17, 3(0%)
minecraft.custom.play_one_minute: #19, 29019734(2%)
minecraft.killed.slime: #21, 1(0%)
minecraft.used.stone_pickaxe: #22, 71(0%)
minecraft.crafted.stone_pickaxe: #22, 1(0%)
minecraft.used.cooked_chicken: #22, 12(0%)
minecraft.picked_up.white_concrete: #23, 6(0%)
minecraft.used.white_concrete: #23, 6(0%)
minecraft.mined.white_concrete: #23, 6(0%)
minecraft.custom.leave_game: #24, 368(1%)
minecraft.custom.walk_on_water_one_cm: #24, 686212(0%)
minecraft.custom.walk_under_water_one_cm: #24, 1552074(0%)
minecraft.custom.sneak_time: #24, 149616(0%)
minecraft.used.spruce_stairs: #24, 9(0%)
minecraft.used.stone_bricks: #25, 17(0%)
minecraft.picked_up.stone_bricks: #25, 1(0%)
minecraft.picked_up.cobblestone: #26, 65(0%)
minecraft.mined.stone: #26, 65(0%)
minecraft.used.dirt: #27, 45(0%)
minecraft.custom.swim_one_cm: #28, 1652(0%)
minecraft.custom.jump: #29, 1302(0%)
minecraft.custom.fall_one_cm: #29, 39026(0%)
minecraft.custom.open_enderchest: #29, 2(0%)
minecraft.mined.dirt: #29, 7(0%)
minecraft.picked_up.dirt: #30, 10(0%)
minecraft.custom.open_chest: #31, 42(0%)
minecraft.custom.open_shulker_box: #31, 12(0%)
minecraft.custom.sprint_one_cm: #33, 151076(0%)
minecraft.custom.damage_taken: #33, 298(0%)
minecraft.custom.interact_with_crafting_table: #34, 2(0%)
minecraft.custom.crouch_one_cm: #34, 1085(0%)
minecraft.custom.walk_one_cm: #35, 50100(0%)
minecraft.custom.damage_dealt: #38, 10(0%)
minecraft.custom.mob_kills: #38, 1(0%)
