stat, rank, value, (percentage) 
minecraft.dropped.barrel: #5, 11(7%)
minecraft.mined.acacia_wall_sign: #5, 1(11%)
minecraft.crafted.oak_fence_gate: #6, 101(7%)
minecraft.used.stripped_oak_wood: #5, 19(6%)
minecraft.used.porkchop: #5, 2(9%)
minecraft.mined.blue_orchid: #5, 44(4%)
minecraft.picked_up.stripped_oak_wood: #5, 28(4%)
minecraft.used.hay_block: #5, 50(2%)
minecraft.mined.vine: #6, 1195(5%)
minecraft.mined.lantern: #6, 103(7%)
minecraft.mined.stripped_oak_wood: #5, 24(4%)
minecraft.used.barrel: #6, 233(6%)
minecraft.used.gold_ore: #5, 51(2%)
minecraft.picked_up.vine: #6, 1110(6%)
minecraft.picked_up.smooth_quartz: #5, 302(1%)
minecraft.dropped.andesite_wall: #5, 2(3%)
minecraft.dropped.smooth_quartz: #5, 5(2%)
minecraft.dropped.spruce_trapdoor: #6, 39(6%)
minecraft.dropped.melon_seeds: #5, 12(1%)
minecraft.dropped.armor_stand: #6, 14(7%)
minecraft.mined.cyan_concrete_powder: #5, 2(1%)
minecraft.mined.white_wall_banner: #6, 24(6%)
minecraft.used.mossy_cobblestone: #6, 193(6%)
minecraft.mined.mossy_stone_bricks: #6, 68(5%)
minecraft.used.mossy_stone_bricks: #6, 258(5%)
minecraft.crafted.oak_button: #6, 60(5%)
minecraft.mined.white_concrete_powder: #6, 312(4%)
minecraft.mined.oak_button: #6, 12(4%)
minecraft.dropped.cyan_wool: #6, 45(7%)
minecraft.crafted.light_blue_concrete_powder: #6, 752(4%)
minecraft.custom.interact_with_cartography_table: #6, 4(5%)
minecraft.picked_up.birch_leaves: #6, 636(3%)
minecraft.crafted.smooth_quartz_stairs: #6, 168(6%)
minecraft.used.gray_wool: #6, 40(3%)
minecraft.crafted.mossy_stone_bricks: #6, 337(4%)
minecraft.used.spruce_stairs: #7, 1426(6%)
minecraft.used.iron_sword: #7, 1011(6%)
minecraft.mined.spruce_stairs: #7, 493(6%)
minecraft.used.smooth_quartz_stairs: #6, 183(5%)
minecraft.dropped.spruce_stairs: #6, 80(3%)
minecraft.used.orange_banner: #6, 4(5%)
minecraft.dropped.glass_pane: #6, 8(2%)
minecraft.picked_up.light_blue_concrete_powder: #6, 117(2%)
minecraft.crafted.spruce_stairs: #7, 1432(5%)
minecraft.used.blue_orchid: #6, 2(3%)
minecraft.mined.blue_banner: #6, 2(3%)
minecraft.dropped.dropper: #6, 10(2%)
minecraft.dropped.light_blue_concrete: #6, 13(2%)
minecraft.picked_up.birch_trapdoor: #7, 64(6%)
minecraft.mined.quartz_block: #7, 372(5%)
minecraft.dropped.sea_lantern: #6, 163(1%)
minecraft.dropped.oak_wood: #6, 1(2%)
minecraft.crafted.brown_bed: #6, 1(2%)
minecraft.crafted.popped_chorus_fruit: #6, 30(1%)
minecraft.crafted.iron_shovel: #7, 22(4%)
minecraft.used.oak_fence: #7, 479(4%)
minecraft.crafted.blue_banner: #6, 4(1%)
minecraft.used.oak_button: #7, 55(5%)
minecraft.crafted.terracotta: #6, 5(0%)
minecraft.dropped.blue_carpet: #6, 1(0%)
minecraft.dropped.trident: #7, 10(5%)
minecraft.mined.turtle_egg: #6, 1(0%)
minecraft.crafted.diamond_helmet: #7, 6(4%)
minecraft.used.stone_stairs: #7, 234(5%)
minecraft.dropped.string: #7, 366(4%)
minecraft.mined.diamond_ore: #7, 932(4%)
minecraft.mined.lever: #7, 78(4%)
minecraft.custom.bell_ring: #7, 85(5%)
minecraft.dropped.dark_oak_sign: #7, 5(7%)
minecraft.dropped.smooth_stone: #7, 121(5%)
minecraft.picked_up.diamond_ore: #7, 279(3%)
minecraft.used.blue_wool: #7, 293(3%)
minecraft.dropped.spruce_slab: #7, 60(3%)
minecraft.mined.white_banner: #7, 6(3%)
minecraft.used.seagrass: #7, 66(5%)
minecraft.picked_up.iron_pickaxe: #8, 15(7%)
minecraft.picked_up.carrot_on_a_stick: #7, 1(7%)
minecraft.used.prismarine: #7, 533(3%)
minecraft.crafted.diamond_chestplate: #8, 5(7%)
minecraft.picked_up.yellow_bed: #7, 14(3%)
minecraft.mined.hay_block: #7, 15(2%)
minecraft.used.light_blue_concrete: #7, 240(2%)
minecraft.used.beef: #7, 2(4%)
