stat, rank, value, (percentage) 
minecraft.picked_up.stripped_dark_oak_log: #13, 94(2%)
minecraft.dropped.stick: #13, 279(1%)
minecraft.picked_up.string: #13, 470(1%)
minecraft.mined.stone_slab: #13, 83(1%)
minecraft.crafted.dark_oak_trapdoor: #13, 96(1%)
minecraft.picked_up.green_shulker_box: #13, 31(1%)
minecraft.crafted.spruce_sign: #13, 24(1%)
minecraft.mined.dead_bush: #13, 13(1%)
minecraft.mined.quartz_pillar: #13, 43(1%)
minecraft.crafted.diamond_hoe: #13, 1(2%)
minecraft.picked_up.stone_slab: #13, 89(1%)
minecraft.crafted.lime_concrete_powder: #13, 128(1%)
minecraft.used.cracked_stone_bricks: #13, 101(1%)
minecraft.used.written_book: #13, 283(1%)
minecraft.picked_up.sandstone_slab: #13, 92(1%)
minecraft.dropped.dandelion: #13, 24(1%)
minecraft.mined.iron_trapdoor: #13, 44(1%)
minecraft.picked_up.oxeye_daisy: #13, 36(1%)
minecraft.used.light_gray_concrete_powder: #13, 614(1%)
minecraft.dropped.red_shulker_box: #13, 1(1%)
minecraft.crafted.campfire: #13, 13(1%)
minecraft.dropped.ink_sac: #13, 10(1%)
minecraft.used.light_gray_carpet: #13, 98(1%)
minecraft.mined.brown_carpet: #13, 6(1%)
minecraft.dropped.cobblestone_stairs: #13, 10(1%)
minecraft.picked_up.light_gray_concrete_powder: #13, 138(0%)
minecraft.used.carrot: #13, 305(0%)
minecraft.mined.spawner: #13, 1(1%)
minecraft.dropped.stone_button: #13, 25(1%)
minecraft.mined.jungle_fence: #13, 3(1%)
minecraft.dropped.tropical_fish: #13, 1(1%)
minecraft.picked_up.black_banner: #13, 1(1%)
minecraft.dropped.gold_nugget: #13, 40(0%)
minecraft.mined.cyan_wool: #13, 2(0%)
minecraft.crafted.polished_diorite: #13, 60(0%)
minecraft.crafted.cyan_concrete_powder: #13, 24(0%)
minecraft.used.cake: #13, 3(0%)
minecraft.mined.lime_wool: #13, 2(0%)
minecraft.mined.spruce_wood: #13, 4(0%)
minecraft.custom.interact_with_stonecutter: #13, 3(0%)
minecraft.picked_up.light_gray_dye: #13, 5(0%)
minecraft.used.rotten_flesh: #13, 1(0%)
minecraft.used.bubble_coral_fan: #13, 2(0%)
minecraft.picked_up.clay: #13, 11(0%)
minecraft.used.clay: #13, 6(0%)
minecraft.picked_up.smooth_quartz_slab: #13, 5(0%)
minecraft.picked_up.sunflower: #13, 6(0%)
minecraft.picked_up.oak_boat: #14, 77(3%)
minecraft.crafted.iron_sword: #14, 8(2%)
minecraft.picked_up.oak_fence: #14, 120(2%)
minecraft.dropped.oak_planks: #14, 104(2%)
minecraft.crafted.iron_boots: #14, 6(2%)
minecraft.picked_up.armor_stand: #14, 28(2%)
minecraft.picked_up.cobblestone_stairs: #14, 113(2%)
minecraft.used.spruce_fence: #14, 355(2%)
minecraft.dropped.gravel: #14, 487(2%)
minecraft.mined.redstone_torch: #14, 43(2%)
minecraft.dropped.diamond_shovel: #14, 3(2%)
minecraft.broken.shears: #14, 17(1%)
minecraft.mined.cracked_stone_bricks: #14, 35(1%)
minecraft.dropped.spruce_planks: #14, 67(1%)
minecraft.used.bookshelf: #14, 99(1%)
minecraft.mined.iron_block: #14, 389(1%)
minecraft.mined.azure_bluet: #14, 18(1%)
minecraft.used.green_shulker_box: #14, 28(1%)
minecraft.crafted.stone_slab: #14, 294(1%)
minecraft.dropped.iron_ingot: #14, 145(1%)
minecraft.picked_up.shield: #14, 3(1%)
minecraft.used.birch_pressure_plate: #14, 4(1%)
minecraft.dropped.writable_book: #14, 1(1%)
minecraft.dropped.chainmail_boots: #14, 1(1%)
minecraft.mined.green_shulker_box: #14, 18(1%)
minecraft.picked_up.gray_wool: #14, 22(1%)
minecraft.mined.seagrass: #14, 108(1%)
minecraft.dropped.grass_block: #14, 225(1%)
minecraft.used.jungle_leaves: #14, 66(1%)
minecraft.used.spruce_button: #14, 7(1%)
minecraft.crafted.light_gray_concrete_powder: #14, 512(1%)
minecraft.used.lime_shulker_box: #14, 19(1%)
minecraft.mined.lime_shulker_box: #14, 18(1%)
minecraft.picked_up.lime_shulker_box: #14, 18(1%)
minecraft.used.dandelion: #14, 1(1%)
minecraft.mined.tripwire: #14, 11(0%)
minecraft.dropped.coal_ore: #14, 40(0%)
minecraft.crafted.spruce_button: #14, 6(0%)
minecraft.mined.scaffolding: #14, 142(0%)
minecraft.used.quartz_pillar: #14, 66(0%)
minecraft.used.coarse_dirt: #14, 171(0%)
minecraft.crafted.green_concrete_powder: #14, 128(0%)
minecraft.used.light_gray_concrete: #14, 144(0%)
minecraft.dropped.redstone_torch: #14, 5(0%)
minecraft.picked_up.brown_shulker_box: #14, 19(0%)
minecraft.mined.light_gray_concrete: #14, 141(0%)
minecraft.mined.brown_shulker_box: #14, 19(0%)
minecraft.used.scaffolding: #14, 313(0%)
minecraft.used.string: #14, 39(0%)
minecraft.used.green_concrete_powder: #14, 110(0%)
minecraft.used.brown_shulker_box: #14, 17(0%)
minecraft.picked_up.heavy_weighted_pressure_plate: #14, 1(0%)
minecraft.crafted.gray_carpet: #14, 57(0%)
minecraft.picked_up.light_blue_wool: #14, 20(0%)
minecraft.mined.green_carpet: #14, 1(0%)
minecraft.picked_up.spruce_wood: #14, 4(0%)
minecraft.dropped.stone_pressure_plate: #14, 2(0%)
minecraft.dropped.rose_bush: #14, 1(0%)
minecraft.mined.lapis_block: #14, 1(0%)
minecraft.mined.acacia_trapdoor: #14, 2(0%)
minecraft.crafted.spruce_fence_gate: #14, 7(0%)
minecraft.mined.yellow_wool: #14, 2(0%)
minecraft.picked_up.acacia_trapdoor: #14, 2(0%)
minecraft.picked_up.sweet_berries: #14, 26(0%)
minecraft.crafted.lime_carpet: #14, 3(0%)
minecraft.used.polished_diorite: #14, 13(0%)
minecraft.mined.light_gray_stained_glass_pane: #14, 2(0%)
minecraft.used.pink_wool: #14, 1(0%)
minecraft.picked_up.dried_kelp_block: #14, 32(0%)
minecraft.killed.cave_spider: #14, 7(0%)
minecraft.mined.stripped_acacia_log: #14, 1(0%)
minecraft.picked_up.stripped_acacia_log: #14, 1(0%)
minecraft.dropped.ice: #14, 2(0%)
minecraft.used.blue_ice: #14, 4(0%)
minecraft.picked_up.pink_wool: #14, 2(0%)
minecraft.mined.brown_mushroom_block: #14, 2(0%)
minecraft.broken.iron_sword: #15, 1(5%)
minecraft.crafted.bucket: #15, 65(2%)
minecraft.crafted.iron_chestplate: #15, 6(2%)
minecraft.picked_up.lever: #15, 112(2%)
minecraft.dropped.cobblestone: #15, 6590(2%)
minecraft.picked_up.cobblestone_wall: #15, 100(2%)
minecraft.used.golden_carrot: #15, 866(1%)
minecraft.dropped.bone_meal: #15, 151(1%)
minecraft.picked_up.oak_leaves: #15, 1579(1%)
minecraft.crafted.dark_oak_sign: #15, 9(2%)
minecraft.used.dark_oak_sign: #15, 9(2%)
minecraft.dropped.rail: #15, 51(1%)
minecraft.dropped.water_bucket: #15, 3(1%)
minecraft.dropped.baked_potato: #15, 32(1%)
minecraft.picked_up.cooked_beef: #15, 187(1%)
minecraft.mined.oak_sapling: #15, 10(1%)
minecraft.mined.birch_wall_sign: #15, 4(1%)
minecraft.used.dark_oak_trapdoor: #15, 92(1%)
minecraft.crafted.lever: #15, 50(1%)
minecraft.picked_up.trident: #15, 8(1%)
minecraft.dropped.birch_boat: #15, 1(1%)
minecraft.used.sticky_piston: #15, 115(1%)
minecraft.mined.cobblestone_slab: #15, 59(1%)
minecraft.used.sea_lantern: #15, 585(1%)
minecraft.picked_up.poisonous_potato: #15, 10(1%)
minecraft.picked_up.sea_lantern: #15, 266(1%)
minecraft.crafted.cobblestone_slab: #15, 310(1%)
minecraft.mined.magenta_shulker_box: #15, 27(1%)
minecraft.mined.stone_brick_stairs: #15, 129(1%)
minecraft.used.stone_brick_stairs: #15, 428(1%)
minecraft.picked_up.stone_brick_stairs: #15, 165(1%)
minecraft.picked_up.flower_pot: #15, 9(1%)
minecraft.dropped.dark_oak_log: #15, 30(1%)
minecraft.picked_up.item_frame: #15, 43(1%)
minecraft.dropped.sugar_cane: #15, 100(1%)
minecraft.used.trident: #15, 185(1%)
minecraft.picked_up.dark_oak_slab: #15, 78(1%)
minecraft.crafted.acacia_planks: #15, 412(1%)
minecraft.used.white_concrete_powder: #15, 2165(1%)
minecraft.mined.white_stained_glass_pane: #15, 33(1%)
minecraft.dropped.iron_ore: #15, 76(0%)
minecraft.crafted.oak_pressure_plate: #15, 3(0%)
minecraft.mined.observer: #15, 36(0%)
minecraft.mined.black_carpet: #15, 5(0%)
minecraft.picked_up.white_stained_glass_pane: #15, 36(0%)
minecraft.picked_up.birch_slab: #15, 22(0%)
minecraft.dropped.redstone_block: #15, 8(0%)
minecraft.mined.birch_slab: #15, 16(0%)
minecraft.picked_up.slime_block: #15, 36(0%)
minecraft.used.acacia_boat: #15, 1(0%)
minecraft.picked_up.scaffolding: #15, 298(0%)
minecraft.picked_up.jungle_fence: #15, 2(0%)
minecraft.dropped.filled_map: #15, 1(0%)
minecraft.dropped.apple: #15, 4(0%)
minecraft.dropped.stone_brick_stairs: #15, 10(0%)
minecraft.crafted.flower_pot: #15, 8(0%)
minecraft.crafted.birch_pressure_plate: #15, 1(0%)
minecraft.picked_up.jungle_leaves: #15, 33(0%)
minecraft.picked_up.chorus_fruit: #15, 36(0%)
minecraft.mined.slime_block: #15, 14(0%)
minecraft.used.bamboo: #15, 17(0%)
minecraft.picked_up.green_carpet: #15, 1(0%)
minecraft.dropped.stone_slab: #15, 3(0%)
minecraft.custom.minecart_one_cm: #15, 251261(0%)
minecraft.dropped.powered_rail: #15, 1(0%)
minecraft.dropped.iron_axe: #15, 1(0%)
minecraft.used.lime_carpet: #15, 3(0%)
minecraft.dropped.spruce_sapling: #15, 1(0%)
minecraft.mined.polished_diorite: #15, 3(0%)
minecraft.dropped.prismarine_crystals: #15, 16(0%)
minecraft.used.chiseled_stone_bricks: #15, 4(0%)
minecraft.used.spruce_wood: #15, 4(0%)
minecraft.crafted.light_blue_stained_glass: #15, 24(0%)
minecraft.dropped.pufferfish: #15, 1(0%)
minecraft.dropped.end_rod: #15, 1(0%)
minecraft.picked_up.light_gray_stained_glass_pane: #15, 2(0%)
minecraft.used.light_gray_stained_glass_pane: #15, 2(0%)
minecraft.picked_up.purple_concrete: #15, 1(0%)
minecraft.used.purple_concrete: #15, 1(0%)
minecraft.mined.purple_concrete: #15, 1(0%)
minecraft.used.oak_boat: #16, 65(3%)
minecraft.used.water_bucket: #16, 1226(2%)
minecraft.used.bucket: #16, 1332(2%)
minecraft.picked_up.iron_leggings: #16, 5(2%)
minecraft.custom.interact_with_beacon: #16, 26(2%)
minecraft.picked_up.redstone_torch: #16, 193(2%)
minecraft.used.spruce_slab: #16, 973(1%)
minecraft.custom.aviate_one_cm: #16, 112140708(1%)
minecraft.crafted.birch_planks: #16, 2124(1%)
minecraft.crafted.iron_helmet: #16, 5(1%)
minecraft.custom.drop: #16, 1694(1%)
minecraft.used.redstone_torch: #16, 209(1%)
minecraft.mined.flower_pot: #16, 3(2%)
minecraft.mined.sea_lantern: #16, 131(1%)
minecraft.picked_up.oak_stairs: #16, 69(1%)
minecraft.custom.deaths: #16, 28(1%)
minecraft.picked_up.mossy_cobblestone: #16, 52(1%)
minecraft.used.armor_stand: #16, 44(1%)
minecraft.dropped.diorite: #16, 962(1%)
minecraft.dropped.bucket: #16, 7(1%)
minecraft.used.spruce_planks: #16, 570(1%)
minecraft.crafted.cobblestone_stairs: #16, 296(1%)
minecraft.used.lever: #16, 69(1%)
minecraft.picked_up.spruce_planks: #16, 318(1%)
minecraft.dropped.iron_sword: #16, 2(1%)
minecraft.dropped.elytra: #16, 2(1%)
minecraft.used.piston: #16, 109(1%)
minecraft.picked_up.beacon: #16, 7(1%)
minecraft.mined.tripwire_hook: #16, 3(1%)
minecraft.used.end_rod: #16, 175(1%)
minecraft.mined.end_rod: #16, 77(1%)
minecraft.picked_up.bucket: #16, 10(1%)
minecraft.picked_up.pufferfish: #16, 19(1%)
minecraft.picked_up.magenta_shulker_box: #16, 27(1%)
minecraft.picked_up.lead: #16, 17(1%)
minecraft.used.magenta_shulker_box: #16, 25(1%)
minecraft.crafted.spruce_pressure_plate: #16, 4(1%)
minecraft.mined.dark_oak_stairs: #16, 37(1%)
minecraft.picked_up.ender_pearl: #16, 193(1%)
minecraft.dropped.birch_planks: #16, 13(1%)
minecraft.used.iron_block: #16, 409(1%)
minecraft.used.cobblestone_slab: #16, 206(1%)
minecraft.crafted.quartz_stairs: #16, 128(1%)
minecraft.mined.player_head: #16, 12(1%)
minecraft.used.white_concrete: #16, 1886(0%)
minecraft.picked_up.milk_bucket: #16, 1(1%)
minecraft.used.milk_bucket: #16, 2(1%)
minecraft.used.bread: #16, 10(1%)
minecraft.mined.glass: #16, 137(0%)
minecraft.crafted.white_concrete_powder: #16, 2160(1%)
minecraft.dropped.oak_log: #16, 19(1%)
minecraft.picked_up.grass_block: #16, 2110(0%)
minecraft.dropped.oak_fence: #16, 5(0%)
minecraft.picked_up.white_concrete: #16, 1128(0%)
minecraft.mined.note_block: #16, 5(0%)
minecraft.dropped.lead: #16, 1(1%)
minecraft.dropped.iron_shovel: #16, 1(0%)
minecraft.dropped.gunpowder: #16, 30(0%)
minecraft.picked_up.observer: #16, 35(0%)
minecraft.picked_up.note_block: #16, 5(0%)
minecraft.mined.white_concrete: #16, 1145(0%)
minecraft.mined.red_wool: #16, 8(0%)
minecraft.picked_up.light_gray_concrete: #16, 124(0%)
minecraft.picked_up.red_bed: #16, 2(0%)
minecraft.mined.spruce_button: #16, 1(0%)
minecraft.crafted.coarse_dirt: #16, 156(0%)
minecraft.used.horn_coral_fan: #16, 3(0%)
minecraft.mined.spruce_fence_gate: #16, 3(0%)
minecraft.used.gray_shulker_box: #16, 12(0%)
minecraft.crafted.piston: #16, 44(0%)
minecraft.picked_up.grass: #16, 7(0%)
minecraft.picked_up.cyan_shulker_box: #16, 7(0%)
minecraft.used.spruce_leaves: #16, 121(0%)
minecraft.mined.coal_block: #16, 5(0%)
minecraft.picked_up.white_concrete_powder: #16, 401(0%)
minecraft.used.cyan_shulker_box: #16, 6(0%)
minecraft.used.observer: #16, 40(0%)
minecraft.picked_up.black_carpet: #16, 5(0%)
minecraft.dropped.soul_sand: #16, 6(0%)
minecraft.picked_up.spruce_fence_gate: #16, 3(0%)
minecraft.mined.podzol: #16, 26(0%)
minecraft.mined.black_wool: #16, 4(0%)
minecraft.dropped.spider_eye: #16, 9(0%)
minecraft.dropped.redstone_ore: #16, 4(0%)
minecraft.used.note_block: #16, 5(0%)
minecraft.custom.interact_with_blast_furnace: #16, 1(0%)
minecraft.picked_up.filled_map: #16, 7(0%)
minecraft.mined.cyan_shulker_box: #16, 4(0%)
minecraft.crafted.quartz_pillar: #16, 26(0%)
minecraft.used.spruce_fence_gate: #16, 7(0%)
minecraft.used.gray_carpet: #16, 22(0%)
minecraft.mined.chiseled_stone_bricks: #16, 1(0%)
minecraft.used.emerald_block: #16, 2(0%)
minecraft.used.black_wool: #16, 4(0%)
minecraft.used.lime_concrete_powder: #16, 3(0%)
minecraft.dropped.scaffolding: #16, 1(0%)
minecraft.mined.light_blue_stained_glass: #16, 3(0%)
minecraft.used.yellow_wool: #16, 2(0%)
minecraft.mined.prismarine_bricks: #16, 3(0%)
minecraft.used.prismarine_bricks: #16, 3(0%)
minecraft.picked_up.prismarine_bricks: #16, 3(0%)
minecraft.custom.tune_noteblock: #16, 261(0%)
minecraft.used.green_terracotta: #16, 1(0%)
minecraft.used.lime_terracotta: #16, 1(0%)
minecraft.custom.sprint_one_cm: #17, 37691986(1%)
minecraft.custom.climb_one_cm: #17, 1092492(1%)
minecraft.crafted.iron_leggings: #17, 5(2%)
minecraft.mined.oak_leaves: #17, 2095(1%)
minecraft.crafted.white_bed: #17, 7(2%)
minecraft.picked_up.iron_boots: #17, 4(1%)
minecraft.crafted.enchanting_table: #17, 1(2%)
minecraft.used.cobblestone: #17, 3963(1%)
minecraft.custom.boat_one_cm: #17, 8125445(1%)
minecraft.picked_up.oak_log: #17, 1566(1%)
minecraft.mined.white_bed: #17, 25(1%)
minecraft.dropped.granite: #17, 803(1%)
minecraft.dropped.dirt: #17, 1060(1%)
minecraft.mined.redstone_wire: #17, 173(1%)
minecraft.crafted.shears: #17, 30(1%)
minecraft.dropped.golden_boots: #17, 3(1%)
minecraft.mined.ladder: #17, 45(1%)
minecraft.picked_up.end_rod: #17, 137(1%)
minecraft.picked_up.birch_door: #17, 2(1%)
minecraft.mined.spruce_planks: #17, 186(1%)
minecraft.dropped.firework_rocket: #17, 187(1%)
minecraft.picked_up.firework_rocket: #17, 721(1%)
minecraft.picked_up.birch_sign: #17, 7(1%)
minecraft.used.birch_sign: #17, 14(1%)
minecraft.mined.bookshelf: #17, 35(1%)
minecraft.picked_up.bone_meal: #17, 165(0%)
minecraft.dropped.iron_chestplate: #17, 1(1%)
minecraft.picked_up.stone: #17, 12535(0%)
minecraft.used.spruce_pressure_plate: #17, 3(1%)
minecraft.used.grass_block: #17, 1341(0%)
minecraft.mined.spruce_fence: #17, 31(0%)
minecraft.dropped.stone: #17, 2038(0%)
minecraft.picked_up.birch_log: #17, 278(0%)
minecraft.used.andesite: #17, 202(0%)
minecraft.used.spruce_sign: #17, 9(0%)
minecraft.crafted.sticky_piston: #17, 39(0%)
minecraft.dropped.redstone: #17, 42(0%)
minecraft.dropped.glass: #17, 52(0%)
minecraft.mined.birch_log: #17, 218(0%)
minecraft.dropped.spruce_boat: #17, 1(1%)
minecraft.picked_up.shears: #17, 3(0%)
minecraft.mined.fern: #17, 10(0%)
minecraft.picked_up.dark_oak_stairs: #17, 25(0%)
minecraft.used.kelp: #17, 104(0%)
minecraft.picked_up.rose_bush: #17, 39(0%)
minecraft.mined.dark_oak_trapdoor: #17, 7(0%)
minecraft.mined.tnt: #17, 6(0%)
minecraft.picked_up.spruce_fence: #17, 27(0%)
minecraft.mined.light_gray_carpet: #17, 8(0%)
minecraft.picked_up.acacia_boat: #17, 1(0%)
minecraft.used.quartz_stairs: #17, 78(0%)
minecraft.crafted.stone: #17, 446(0%)
minecraft.used.dark_oak_slab: #17, 102(0%)
minecraft.crafted.blue_dye: #17, 68(0%)
minecraft.mined.hopper: #17, 27(0%)
minecraft.picked_up.bread: #17, 5(0%)
minecraft.picked_up.dark_oak_trapdoor: #17, 7(0%)
minecraft.dropped.torch: #17, 24(0%)
minecraft.mined.cocoa: #17, 13(0%)
minecraft.picked_up.hopper: #17, 27(0%)
minecraft.picked_up.cracked_stone_bricks: #17, 32(0%)
minecraft.mined.dropper: #17, 6(0%)
minecraft.picked_up.blue_carpet: #17, 3(0%)
minecraft.crafted.light_gray_dye: #17, 64(0%)
minecraft.mined.gray_carpet: #17, 6(0%)
minecraft.picked_up.gray_shulker_box: #17, 8(0%)
minecraft.picked_up.light_gray_carpet: #17, 15(0%)
minecraft.used.quartz_slab: #17, 91(0%)
minecraft.mined.dark_oak_slab: #17, 15(0%)
minecraft.mined.gray_shulker_box: #17, 7(0%)
minecraft.used.red_wool: #17, 8(0%)
minecraft.dropped.birch_log: #17, 5(0%)
minecraft.picked_up.dropper: #17, 6(0%)
minecraft.mined.yellow_carpet: #17, 1(0%)
minecraft.dropped.white_carpet: #17, 1(0%)
minecraft.crafted.stone_button: #17, 72(0%)
minecraft.dropped.gold_ore: #17, 5(0%)
minecraft.mined.acacia_log: #17, 73(0%)
minecraft.picked_up.yellow_carpet: #17, 2(0%)
minecraft.crafted.gray_concrete_powder: #17, 128(0%)
minecraft.used.slime_block: #17, 14(0%)
minecraft.dropped.leather: #17, 2(0%)
minecraft.picked_up.black_wool: #17, 4(0%)
minecraft.used.lime_wool: #17, 2(0%)
minecraft.dropped.ladder: #17, 1(0%)
minecraft.picked_up.iron_ingot: #17, 472(0%)
minecraft.picked_up.packed_ice: #17, 126(0%)
minecraft.picked_up.chiseled_stone_bricks: #17, 1(0%)
minecraft.used.red_concrete: #17, 8(0%)
minecraft.picked_up.red_concrete: #17, 8(0%)
minecraft.mined.red_concrete: #17, 8(0%)
minecraft.mined.bamboo: #17, 2(0%)
minecraft.used.green_carpet: #17, 1(0%)
minecraft.used.tnt: #17, 2(0%)
minecraft.used.orange_terracotta: #17, 3(0%)
minecraft.mined.green_terracotta: #17, 1(0%)
minecraft.picked_up.green_terracotta: #17, 1(0%)
minecraft.used.light_blue_stained_glass: #17, 3(0%)
minecraft.used.blue_carpet: #17, 2(0%)
minecraft.picked_up.iron_sword: #18, 6(3%)
minecraft.picked_up.iron_chestplate: #18, 5(2%)
minecraft.crafted.oak_planks: #18, 4972(1%)
minecraft.crafted.spruce_planks: #18, 6262(1%)
minecraft.custom.open_shulker_box: #18, 7335(1%)
minecraft.mined.mossy_cobblestone: #18, 39(2%)
minecraft.dropped.andesite: #18, 757(1%)
minecraft.mined.oak_planks: #18, 209(1%)
minecraft.picked_up.spruce_boat: #18, 16(1%)
minecraft.used.item_frame: #18, 100(1%)
minecraft.used.gravel: #18, 488(1%)
minecraft.picked_up.saddle: #18, 3(1%)
minecraft.used.spruce_boat: #18, 15(1%)
minecraft.picked_up.water_bucket: #18, 8(1%)
minecraft.picked_up.iron_bars: #18, 128(1%)
minecraft.killed.zombie_villager: #18, 3(1%)
minecraft.mined.yellow_shulker_box: #18, 69(1%)
minecraft.picked_up.yellow_shulker_box: #18, 69(1%)
minecraft.used.yellow_shulker_box: #18, 65(1%)
minecraft.mined.grass_block: #18, 4589(1%)
minecraft.dropped.iron_leggings: #18, 1(1%)
minecraft.crafted.diamond: #18, 378(1%)
minecraft.picked_up.diamond_pickaxe: #18, 14(1%)
minecraft.mined.beacon: #18, 4(1%)
minecraft.custom.inspect_dropper: #18, 97(1%)
minecraft.custom.inspect_dispenser: #18, 105(1%)
minecraft.crafted.stone_brick_stairs: #18, 320(1%)
minecraft.used.beacon: #18, 5(1%)
minecraft.used.stone: #18, 4049(0%)
minecraft.custom.interact_with_smoker: #18, 3(1%)
minecraft.used.player_head: #18, 31(0%)
minecraft.mined.player_wall_head: #18, 7(0%)
minecraft.crafted.shield: #18, 3(0%)
minecraft.dropped.crafting_table: #18, 2(0%)
minecraft.used.spruce_sapling: #18, 47(0%)
minecraft.used.tripwire_hook: #18, 9(0%)
minecraft.dropped.iron_helmet: #18, 1(0%)
minecraft.dropped.flint: #18, 28(0%)
minecraft.picked_up.light_gray_wool: #18, 22(0%)
minecraft.picked_up.flint: #18, 60(0%)
minecraft.picked_up.paper: #18, 87(0%)
minecraft.used.white_stained_glass_pane: #18, 93(0%)
minecraft.crafted.dark_oak_slab: #18, 96(0%)
minecraft.dropped.spruce_log: #18, 17(0%)
minecraft.mined.quartz_stairs: #18, 19(0%)
minecraft.mined.stone_button: #18, 5(0%)
minecraft.crafted.painting: #18, 6(0%)
minecraft.used.stripped_spruce_log: #18, 2(0%)
minecraft.dropped.minecart: #18, 1(0%)
minecraft.mined.jungle_leaves: #18, 45(0%)
minecraft.custom.horse_one_cm: #18, 54609(0%)
minecraft.mined.diamond_block: #18, 6(0%)
minecraft.mined.birch_planks: #18, 6(0%)
minecraft.custom.play_noteblock: #18, 7(0%)
minecraft.crafted.lectern: #18, 1(0%)
minecraft.used.nether_quartz_ore: #18, 64(0%)
minecraft.mined.polished_andesite: #18, 33(0%)
minecraft.picked_up.stone_button: #18, 10(0%)
minecraft.crafted.black_dye: #18, 33(0%)
minecraft.picked_up.acacia_log: #18, 71(0%)
minecraft.used.diamond_block: #18, 5(0%)
minecraft.picked_up.quartz_slab: #18, 19(0%)
minecraft.used.dropper: #18, 7(0%)
minecraft.picked_up.emerald: #18, 40(0%)
minecraft.mined.emerald_block: #18, 1(0%)
minecraft.dropped.white_concrete: #18, 7(0%)
minecraft.used.black_carpet: #18, 5(0%)
minecraft.used.stone_button: #18, 27(0%)
minecraft.crafted.brick: #18, 24(0%)
minecraft.used.yellow_carpet: #18, 2(0%)
minecraft.dropped.oxeye_daisy: #18, 1(0%)
minecraft.picked_up.lime_wool: #18, 3(0%)
minecraft.mined.cut_sandstone: #18, 1(0%)
minecraft.picked_up.cut_sandstone: #18, 1(0%)
minecraft.mined.stripped_birch_log: #18, 2(0%)
minecraft.picked_up.stripped_birch_log: #18, 2(0%)
minecraft.used.cut_sandstone: #18, 1(0%)
minecraft.picked_up.cyan_wool: #18, 1(0%)
minecraft.custom.jump: #19, 87284(1%)
minecraft.picked_up.iron_helmet: #19, 5(1%)
minecraft.custom.sleep_in_bed: #19, 378(1%)
minecraft.picked_up.cobblestone: #19, 23133(1%)
minecraft.used.wheat_seeds: #19, 943(1%)
minecraft.custom.damage_taken: #19, 58448(1%)
minecraft.mined.oak_log: #19, 1234(1%)
minecraft.crafted.crafting_table: #19, 29(1%)
minecraft.custom.fall_one_cm: #19, 1762976(1%)
minecraft.mined.diorite: #19, 3143(1%)
minecraft.picked_up.diorite: #19, 2806(1%)
minecraft.mined.stone: #19, 39972(1%)
minecraft.mined.granite: #19, 2186(1%)
minecraft.crafted.iron_bars: #19, 272(1%)
minecraft.used.enchanting_table: #19, 1(1%)
minecraft.dropped.golden_chestplate: #19, 2(1%)
minecraft.crafted.jungle_planks: #19, 512(1%)
minecraft.dropped.diamond: #19, 62(1%)
minecraft.picked_up.wheat: #19, 445(1%)
minecraft.used.glass: #19, 651(1%)
minecraft.picked_up.elytra: #19, 8(1%)
minecraft.crafted.baked_potato: #19, 71(1%)
minecraft.crafted.dark_oak_planks: #19, 856(0%)
minecraft.mined.redstone_block: #19, 24(0%)
minecraft.used.redstone: #19, 257(0%)
minecraft.dropped.bone: #19, 77(0%)
minecraft.crafted.white_stained_glass_pane: #19, 144(0%)
minecraft.dropped.arrow: #19, 106(0%)
minecraft.crafted.paper: #19, 2316(0%)
minecraft.crafted.light_blue_dye: #19, 74(0%)
minecraft.mined.piston_head: #19, 1(0%)
minecraft.crafted.lead: #19, 2(0%)
minecraft.picked_up.sugar_cane: #19, 547(0%)
minecraft.dropped.wheat_seeds: #19, 138(0%)
minecraft.used.ender_pearl: #19, 31(0%)
minecraft.dropped.rotten_flesh: #19, 97(0%)
minecraft.mined.soul_sand: #19, 89(0%)
minecraft.mined.carrots: #19, 64(0%)
minecraft.mined.spruce_sapling: #19, 2(0%)
minecraft.picked_up.soul_sand: #19, 71(0%)
minecraft.picked_up.crossbow: #19, 2(0%)
minecraft.picked_up.azure_bluet: #19, 12(0%)
minecraft.picked_up.spruce_button: #19, 1(0%)
minecraft.picked_up.quartz_stairs: #19, 20(0%)
minecraft.crafted.polished_andesite: #19, 128(0%)
minecraft.mined.ender_chest: #19, 20(0%)
minecraft.mined.sugar_cane: #19, 109(0%)
minecraft.used.redstone_block: #19, 21(0%)
minecraft.picked_up.ender_chest: #19, 19(0%)
minecraft.dropped.enchanted_book: #19, 1(0%)
minecraft.picked_up.red_wool: #19, 9(0%)
minecraft.picked_up.cocoa_beans: #19, 42(0%)
minecraft.picked_up.tnt: #19, 6(0%)
minecraft.dropped.egg: #19, 9(0%)
minecraft.picked_up.polished_andesite: #19, 28(0%)
minecraft.mined.quartz_slab: #19, 14(0%)
minecraft.dropped.glass_bottle: #19, 2(0%)
minecraft.picked_up.emerald_block: #19, 2(0%)
minecraft.dropped.brown_mushroom: #19, 1(0%)
minecraft.crafted.stone_brick_slab: #19, 66(0%)
minecraft.dropped.sand: #19, 98(0%)
minecraft.crafted.gray_dye: #19, 18(0%)
minecraft.used.polished_andesite: #19, 33(0%)
minecraft.picked_up.lapis_block: #19, 1(0%)
minecraft.used.white_stained_glass: #19, 36(0%)
minecraft.crafted.slime_block: #19, 7(0%)
