stat, rank, value, (percentage) 
minecraft.picked_up.oak_sapling: #25, 69(0%)
minecraft.custom.sleep_in_bed: #25, 56(0%)
minecraft.custom.boat_one_cm: #25, 610712(0%)
minecraft.picked_up.oak_boat: #25, 2(0%)
minecraft.picked_up.spruce_boat: #25, 1(0%)
minecraft.picked_up.diamond_pickaxe: #25, 1(0%)
minecraft.picked_up.cooked_chicken: #25, 5(0%)
minecraft.crafted.bucket: #25, 1(0%)
minecraft.used.oak_log: #25, 6(0%)
minecraft.picked_up.spider_eye: #25, 2(0%)
minecraft.used.player_head: #25, 1(0%)
minecraft.dropped.wheat_seeds: #25, 4(0%)
minecraft.picked_up.ender_pearl: #25, 2(0%)
minecraft.mined.seagrass: #25, 1(0%)
minecraft.used.oak_planks: #25, 1(0%)
minecraft.mined.obsidian: #25, 1(0%)
minecraft.picked_up.obsidian: #25, 1(0%)
minecraft.crafted.iron_axe: #26, 1(0%)
minecraft.mined.grass: #26, 207(0%)
minecraft.custom.deaths: #26, 2(0%)
minecraft.mined.dandelion: #26, 3(0%)
minecraft.picked_up.rotten_flesh: #26, 55(0%)
minecraft.used.oak_boat: #26, 1(0%)
minecraft.picked_up.dandelion: #26, 3(0%)
minecraft.used.written_book: #26, 1(0%)
minecraft.used.bone_meal: #27, 274(0%)
minecraft.picked_up.egg: #27, 5(0%)
minecraft.custom.walk_on_water_one_cm: #28, 433175(0%)
minecraft.crafted.bone_meal: #28, 408(0%)
minecraft.picked_up.wheat_seeds: #28, 43(0%)
minecraft.used.oak_sapling: #28, 5(0%)
minecraft.custom.sneak_time: #30, 102549(0%)
minecraft.custom.open_shulker_box: #30, 20(0%)
minecraft.custom.play_one_minute: #33, 2796052(0%)
minecraft.custom.open_enderchest: #33, 1(0%)
minecraft.custom.climb_one_cm: #33, 158(0%)
minecraft.custom.walk_under_water_one_cm: #34, 359217(0%)
minecraft.custom.fly_one_cm: #38, 3381884(0%)
minecraft.custom.leave_game: #42, 24(0%)
