stat, rank, value, (percentage) 
minecraft.dropped.cod: #14, 134(0%)
minecraft.mined.iron_trapdoor: #14, 10(0%)
minecraft.crafted.air: #14, 0(0%)
minecraft.picked_up.spruce_slab: #15, 336(1%)
minecraft.mined.cactus: #15, 44(2%)
minecraft.crafted.baked_potato: #15, 159(1%)
minecraft.dropped.iron_pickaxe: #15, 1(1%)
minecraft.used.oak_trapdoor: #15, 94(1%)
minecraft.used.baked_potato: #15, 136(1%)
minecraft.crafted.dark_oak_slab: #15, 276(1%)
minecraft.crafted.shield: #15, 4(1%)
minecraft.killed.guardian: #15, 1112(1%)
minecraft.picked_up.prismarine_crystals: #15, 475(0%)
minecraft.used.rose_bush: #15, 5(0%)
minecraft.crafted.birch_boat: #15, 1(1%)
minecraft.picked_up.prismarine_shard: #15, 1303(0%)
minecraft.dropped.birch_sapling: #15, 5(0%)
minecraft.crafted.birch_slab: #15, 132(0%)
minecraft.crafted.birch_stairs: #15, 32(0%)
minecraft.used.stone_slab: #15, 74(0%)
minecraft.crafted.wooden_shovel: #15, 1(0%)
minecraft.used.cooked_cod: #15, 18(0%)
minecraft.mined.prismarine: #15, 18(0%)
minecraft.picked_up.prismarine: #15, 16(0%)
minecraft.picked_up.brown_wool: #15, 4(0%)
minecraft.used.iron_pickaxe: #16, 2514(2%)
minecraft.picked_up.coal_ore: #16, 894(1%)
minecraft.dropped.golden_chestplate: #16, 4(1%)
minecraft.crafted.oak_trapdoor: #16, 100(1%)
minecraft.crafted.iron_hoe: #16, 1(1%)
minecraft.used.oak_slab: #16, 194(1%)
minecraft.used.dark_oak_stairs: #16, 112(0%)
minecraft.picked_up.dark_oak_stairs: #16, 36(0%)
minecraft.dropped.stone: #16, 2181(0%)
minecraft.dropped.crafting_table: #16, 2(0%)
minecraft.custom.horse_one_cm: #16, 91440(0%)
minecraft.picked_up.clay_ball: #16, 170(0%)
minecraft.used.birch_slab: #16, 123(0%)
minecraft.picked_up.birch_leaves: #16, 53(0%)
minecraft.crafted.cyan_dye: #16, 88(0%)
minecraft.picked_up.birch_slab: #16, 13(0%)
minecraft.picked_up.golden_apple: #16, 1(0%)
minecraft.picked_up.dark_oak_sapling: #16, 20(0%)
minecraft.crafted.heavy_weighted_pressure_plate: #16, 1(0%)
minecraft.picked_up.iron_trapdoor: #16, 10(0%)
minecraft.used.iron_hoe: #16, 12(0%)
minecraft.mined.birch_fence: #16, 1(0%)
minecraft.picked_up.birch_fence: #16, 1(0%)
minecraft.picked_up.cyan_stained_glass: #16, 2(0%)
minecraft.used.iron_sword: #17, 318(2%)
minecraft.crafted.diamond_axe: #17, 3(2%)
minecraft.mined.redstone_ore: #17, 1854(2%)
minecraft.crafted.stone_pickaxe: #17, 4(1%)
minecraft.dropped.gravel: #17, 274(1%)
minecraft.crafted.oak_slab: #17, 252(1%)
minecraft.mined.dark_oak_stairs: #17, 36(1%)
minecraft.picked_up.cod: #17, 610(1%)
minecraft.crafted.stone_shovel: #17, 3(1%)
minecraft.used.stone_shovel: #17, 132(1%)
minecraft.mined.birch_leaves: #17, 100(0%)
minecraft.crafted.dark_oak_stairs: #17, 112(0%)
minecraft.used.oak_stairs: #17, 38(0%)
minecraft.mined.oak_trapdoor: #17, 12(0%)
minecraft.picked_up.white_banner: #17, 8(0%)
minecraft.picked_up.oak_trapdoor: #17, 12(0%)
minecraft.dropped.gunpowder: #17, 28(0%)
minecraft.dropped.golden_helmet: #17, 1(0%)
minecraft.used.white_carpet: #17, 54(0%)
minecraft.used.cactus: #17, 8(0%)
minecraft.picked_up.smooth_stone: #17, 92(0%)
minecraft.dropped.string: #17, 23(0%)
minecraft.crafted.coarse_dirt: #17, 128(0%)
minecraft.used.coal_block: #17, 22(0%)
minecraft.dropped.iron_ore: #17, 30(0%)
minecraft.killed_by.zombie: #17, 1(0%)
minecraft.dropped.brown_mushroom: #17, 2(0%)
minecraft.mined.quartz_slab: #17, 19(0%)
minecraft.used.birch_fence: #17, 3(0%)
minecraft.crafted.birch_fence: #17, 3(0%)
minecraft.picked_up.quartz_slab: #17, 19(0%)
minecraft.picked_up.stone_slab: #17, 9(0%)
minecraft.mined.birch_slab: #17, 4(0%)
minecraft.mined.stone_slab: #17, 6(0%)
minecraft.used.iron_trapdoor: #17, 15(0%)
minecraft.crafted.iron_pickaxe: #18, 10(2%)
minecraft.crafted.diamond_pickaxe: #18, 8(1%)
minecraft.used.wooden_pickaxe: #18, 14(1%)
minecraft.crafted.diamond_chestplate: #18, 1(1%)
minecraft.used.spruce_slab: #18, 684(1%)
minecraft.dropped.cobblestone: #18, 4061(1%)
minecraft.mined.spruce_stairs: #18, 56(1%)
minecraft.dropped.coal: #18, 64(1%)
minecraft.crafted.wooden_pickaxe: #18, 1(0%)
minecraft.picked_up.lapis_ore: #18, 29(0%)
minecraft.picked_up.white_carpet: #18, 19(0%)
minecraft.crafted.oak_stairs: #18, 40(0%)
minecraft.killed.ghast: #18, 8(0%)
minecraft.crafted.smooth_stone: #18, 126(0%)
minecraft.used.glass_pane: #18, 29(0%)
minecraft.crafted.stone_sword: #18, 1(0%)
minecraft.crafted.white_carpet: #18, 39(0%)
minecraft.mined.clay: #18, 46(0%)
minecraft.dropped.rail: #18, 7(0%)
minecraft.picked_up.snowball: #18, 117(0%)
minecraft.used.coarse_dirt: #18, 62(0%)
minecraft.dropped.baked_potato: #18, 3(0%)
minecraft.mined.terracotta: #18, 219(0%)
minecraft.picked_up.terracotta: #18, 214(0%)
minecraft.killed.husk: #18, 1(0%)
minecraft.custom.damage_blocked_by_shield: #18, 115(0%)
minecraft.mined.snow: #18, 117(0%)
minecraft.used.cyan_terracotta: #18, 76(0%)
minecraft.used.birch_sapling: #18, 3(0%)
minecraft.used.birch_stairs: #18, 3(0%)
minecraft.custom.time_since_death: #19, 1763568(1%)
minecraft.crafted.diamond_boots: #19, 2(1%)
minecraft.picked_up.golden_chestplate: #19, 4(1%)
minecraft.crafted.redstone_block: #19, 535(1%)
minecraft.crafted.diamond_shovel: #19, 3(1%)
minecraft.dropped.granite: #19, 583(1%)
minecraft.picked_up.coal_block: #19, 35(1%)
minecraft.mined.lever: #19, 16(1%)
minecraft.crafted.spruce_slab: #19, 414(1%)
minecraft.dropped.golden_boots: #19, 2(1%)
minecraft.used.spruce_stairs: #19, 130(1%)
minecraft.killed.zombie_villager: #19, 2(1%)
minecraft.picked_up.spruce_stairs: #19, 56(0%)
minecraft.dropped.diorite: #19, 358(0%)
minecraft.mined.piston: #19, 17(0%)
minecraft.mined.oak_stairs: #19, 16(0%)
minecraft.picked_up.enchanted_book: #19, 4(0%)
minecraft.dropped.golden_leggings: #19, 1(0%)
minecraft.killed.bat: #19, 3(0%)
minecraft.crafted.glass_pane: #19, 48(0%)
minecraft.used.kelp: #19, 89(0%)
minecraft.used.sand: #19, 724(0%)
minecraft.picked_up.flint: #19, 50(0%)
minecraft.picked_up.oak_leaves: #19, 209(0%)
minecraft.mined.dark_oak_trapdoor: #19, 4(0%)
minecraft.used.oak_leaves: #19, 115(0%)
minecraft.used.smooth_stone: #19, 86(0%)
minecraft.dropped.flint: #19, 12(0%)
minecraft.picked_up.dark_oak_trapdoor: #19, 4(0%)
minecraft.dropped.dandelion: #19, 2(0%)
minecraft.used.cracked_stone_bricks: #19, 7(0%)
minecraft.picked_up.acacia_sapling: #19, 6(0%)
minecraft.crafted.iron_trapdoor: #19, 5(0%)
minecraft.mined.cyan_terracotta: #19, 13(0%)
minecraft.crafted.quartz_pillar: #19, 4(0%)
minecraft.killed.enderman: #19, 3(0%)
minecraft.picked_up.iron_sword: #20, 4(2%)
minecraft.picked_up.iron_ore: #20, 1821(1%)
minecraft.mined.coal_ore: #20, 2641(1%)
minecraft.picked_up.redstone: #20, 5565(1%)
minecraft.picked_up.white_wool: #20, 132(1%)
minecraft.mined.gold_ore: #20, 261(1%)
minecraft.crafted.lapis_block: #20, 102(1%)
minecraft.mined.diamond_ore: #20, 214(1%)
minecraft.crafted.diamond_helmet: #20, 1(1%)
minecraft.picked_up.iron_shovel: #20, 2(1%)
minecraft.used.bow: #20, 359(1%)
minecraft.crafted.stone_axe: #20, 1(0%)
minecraft.crafted.stone_brick_stairs: #20, 272(0%)
minecraft.mined.potatoes: #20, 92(0%)
minecraft.custom.enchant_item: #20, 22(0%)
minecraft.used.spruce_log: #20, 152(0%)
minecraft.picked_up.redstone_block: #20, 57(0%)
minecraft.mined.azure_bluet: #20, 6(0%)
minecraft.used.potato: #20, 92(0%)
minecraft.used.gravel: #20, 132(0%)
minecraft.picked_up.piston: #20, 17(0%)
minecraft.picked_up.shield: #20, 1(0%)
minecraft.mined.smooth_stone: #20, 33(0%)
minecraft.crafted.stone: #20, 384(0%)
minecraft.picked_up.potato: #20, 251(0%)
minecraft.used.spruce_sapling: #20, 26(0%)
minecraft.picked_up.tropical_fish: #20, 1(0%)
minecraft.used.piston: #20, 17(0%)
minecraft.used.soul_sand: #20, 29(0%)
minecraft.picked_up.salmon: #20, 8(0%)
minecraft.picked_up.soul_sand: #20, 44(0%)
minecraft.dropped.bone: #20, 21(0%)
minecraft.mined.soul_sand: #20, 44(0%)
minecraft.mined.coal_block: #20, 2(0%)
minecraft.dropped.stone_sword: #20, 1(0%)
minecraft.used.golden_carrot: #20, 33(0%)
minecraft.mined.dark_oak_log: #20, 77(0%)
minecraft.used.magma_block: #20, 7(0%)
minecraft.used.quartz_slab: #20, 23(0%)
minecraft.used.stripped_oak_log: #20, 1(0%)
minecraft.mined.white_wool: #20, 1(0%)
minecraft.mined.cobweb: #20, 4(0%)
minecraft.used.quartz_pillar: #20, 4(0%)
minecraft.used.sandstone: #20, 12(0%)
minecraft.picked_up.cyan_terracotta: #20, 13(0%)
minecraft.crafted.quartz_slab: #20, 6(0%)
minecraft.picked_up.cooked_cod: #20, 3(0%)
minecraft.mined.iron_ore: #21, 1525(1%)
minecraft.mined.lapis_ore: #21, 168(1%)
minecraft.picked_up.diamond: #21, 408(1%)
minecraft.crafted.iron_sword: #21, 3(1%)
minecraft.picked_up.golden_leggings: #21, 3(1%)
