stat, rank, value, (percentage) 
minecraft.picked_up.golden_chestplate: #24, 1(0%)
minecraft.picked_up.white_bed: #24, 6(0%)
minecraft.mined.white_bed: #24, 4(0%)
minecraft.custom.damage_taken: #24, 6063(0%)
minecraft.picked_up.diamond_axe: #24, 1(0%)
minecraft.picked_up.string: #24, 12(0%)
minecraft.picked_up.spruce_sapling: #24, 5(0%)
minecraft.used.bookshelf: #24, 1(0%)
minecraft.dropped.flint: #24, 1(0%)
minecraft.dropped.stick: #24, 1(0%)
minecraft.used.spruce_trapdoor: #24, 1(0%)
minecraft.used.netherrack: #24, 2(0%)
minecraft.mined.netherrack: #24, 2(0%)
minecraft.used.white_bed: #25, 4(0%)
minecraft.dropped.written_book: #25, 1(0%)
minecraft.picked_up.diamond_sword: #25, 1(0%)
minecraft.custom.crouch_one_cm: #25, 96590(0%)
minecraft.killed.chicken: #25, 2(0%)
minecraft.used.writable_book: #25, 2(0%)
minecraft.picked_up.bone: #25, 30(0%)
minecraft.custom.drop: #25, 57(0%)
minecraft.picked_up.spruce_slab: #25, 5(0%)
minecraft.dropped.dirt: #25, 22(0%)
minecraft.picked_up.chicken: #25, 1(0%)
minecraft.picked_up.chest: #25, 4(0%)
minecraft.mined.grass_block: #25, 95(0%)
minecraft.picked_up.feather: #25, 2(0%)
minecraft.picked_up.spruce_trapdoor: #25, 1(0%)
minecraft.picked_up.ink_sac: #25, 2(0%)
minecraft.dropped.rotten_flesh: #25, 5(0%)
minecraft.crafted.chest: #25, 4(0%)
minecraft.killed.drowned: #25, 1(0%)
minecraft.used.written_book: #25, 2(0%)
minecraft.used.sand: #25, 9(0%)
minecraft.used.diamond_shovel: #25, 71(0%)
minecraft.picked_up.grass_block: #25, 5(0%)
minecraft.picked_up.iron_ingot: #25, 1(0%)
minecraft.custom.fall_one_cm: #26, 128540(0%)
minecraft.picked_up.spruce_boat: #26, 1(0%)
minecraft.custom.walk_one_cm: #26, 999332(0%)
minecraft.custom.boat_one_cm: #26, 301366(0%)
minecraft.picked_up.dirt: #26, 197(0%)
minecraft.used.dirt: #26, 121(0%)
minecraft.picked_up.player_head: #26, 2(0%)
minecraft.used.chest: #26, 4(0%)
minecraft.picked_up.poppy: #26, 6(0%)
minecraft.picked_up.spruce_planks: #26, 2(0%)
minecraft.picked_up.flint: #26, 1(0%)
minecraft.picked_up.spruce_log: #26, 8(0%)
minecraft.mined.dirt: #26, 23(0%)
minecraft.used.diamond_pickaxe: #26, 262(0%)
minecraft.mined.torch: #26, 1(0%)
minecraft.picked_up.sand: #26, 11(0%)
minecraft.mined.sand: #26, 7(0%)
minecraft.mined.gravel: #26, 1(0%)
minecraft.custom.jump: #27, 4394(0%)
minecraft.mined.poppy: #27, 3(0%)
minecraft.custom.open_chest: #27, 172(0%)
minecraft.picked_up.crafting_table: #27, 2(0%)
minecraft.picked_up.bow: #27, 1(0%)
minecraft.custom.swim_one_cm: #27, 24350(0%)
minecraft.mined.cobblestone: #27, 2(0%)
minecraft.used.cobblestone: #27, 2(0%)
minecraft.picked_up.torch: #27, 1(0%)
minecraft.used.torch: #27, 1(0%)
minecraft.used.grass_block: #27, 1(0%)
minecraft.picked_up.rotten_flesh: #28, 23(0%)
minecraft.custom.sprint_one_cm: #28, 403588(0%)
minecraft.custom.interact_with_crafting_table: #28, 11(0%)
minecraft.used.crafting_table: #28, 1(0%)
minecraft.crafted.spruce_planks: #28, 32(0%)
minecraft.custom.open_enderchest: #28, 3(0%)
minecraft.picked_up.arrow: #29, 6(0%)
minecraft.picked_up.stick: #29, 3(0%)
minecraft.picked_up.diamond: #29, 2(0%)
minecraft.picked_up.cobblestone: #29, 4(0%)
minecraft.mined.grass: #30, 4(0%)
minecraft.mined.oak_leaves: #30, 6(0%)
minecraft.custom.climb_one_cm: #30, 658(0%)
minecraft.custom.sleep_in_bed: #31, 2(0%)
minecraft.custom.open_shulker_box: #34, 3(0%)
minecraft.custom.sneak_time: #35, 31458(0%)
minecraft.custom.damage_dealt: #35, 320(0%)
minecraft.custom.time_since_rest: #36, 18487(0%)
minecraft.custom.mob_kills: #36, 3(0%)
minecraft.custom.walk_on_water_one_cm: #40, 36900(0%)
minecraft.custom.walk_under_water_one_cm: #40, 57806(0%)
minecraft.custom.fly_one_cm: #46, 628607(0%)
minecraft.custom.play_one_minute: #47, 285802(0%)
minecraft.custom.time_since_death: #50, 18355(0%)
minecraft.custom.leave_game: #50, 2(0%)
