stat, rank, value, (percentage) 
minecraft.mined.birch_leaves: #16, 187(1%)
minecraft.used.baked_potato: #16, 131(1%)
minecraft.picked_up.birch_log: #16, 283(0%)
minecraft.picked_up.feather: #16, 52(0%)
minecraft.used.glass_pane: #16, 34(0%)
minecraft.used.sugar_cane: #16, 73(0%)
minecraft.mined.birch_slab: #16, 7(0%)
minecraft.picked_up.hay_block: #16, 2(0%)
minecraft.mined.jungle_fence: #16, 1(0%)
minecraft.picked_up.jungle_fence: #16, 1(0%)
minecraft.crafted.hay_block: #16, 7(0%)
minecraft.dropped.stone_brick_stairs: #16, 4(0%)
minecraft.picked_up.dried_kelp_block: #16, 14(0%)
minecraft.broken.iron_pickaxe: #17, 6(2%)
minecraft.mined.kelp: #17, 108(1%)
minecraft.picked_up.potato: #17, 592(1%)
minecraft.killed.bat: #17, 4(0%)
minecraft.mined.sugar_cane: #17, 203(0%)
minecraft.dropped.furnace: #17, 1(0%)
minecraft.mined.dark_oak_log: #17, 178(0%)
minecraft.picked_up.birch_slab: #17, 7(0%)
minecraft.dropped.kelp: #17, 65(0%)
minecraft.used.cooked_cod: #17, 11(0%)
minecraft.used.fishing_rod: #17, 59(0%)
minecraft.used.iron_sword: #18, 272(2%)
minecraft.used.birch_boat: #18, 14(1%)
minecraft.picked_up.birch_boat: #18, 14(1%)
minecraft.mined.cactus: #18, 20(1%)
minecraft.crafted.stone_axe: #18, 1(0%)
minecraft.crafted.glass_pane: #18, 64(0%)
minecraft.used.kelp: #18, 92(0%)
minecraft.picked_up.cactus: #18, 135(0%)
minecraft.used.rose_bush: #18, 2(0%)
minecraft.crafted.bread: #18, 11(0%)
minecraft.crafted.cooked_beef: #18, 16(0%)
minecraft.picked_up.clay_ball: #18, 72(0%)
minecraft.dropped.potato: #18, 20(0%)
minecraft.picked_up.dark_oak_sapling: #18, 15(0%)
minecraft.picked_up.pumpkin_seeds: #18, 27(0%)
minecraft.used.birch_slab: #18, 7(0%)
minecraft.killed.witch: #18, 2(0%)
minecraft.dropped.cactus: #18, 1(0%)
minecraft.custom.boat_one_cm: #19, 7814792(1%)
minecraft.used.oak_boat: #19, 22(1%)
minecraft.picked_up.oak_slab: #19, 83(1%)
minecraft.used.stone_axe: #19, 69(1%)
minecraft.mined.oxeye_daisy: #19, 5(0%)
minecraft.picked_up.carrot: #19, 524(0%)
minecraft.dropped.bucket: #19, 1(0%)
minecraft.picked_up.salmon: #19, 9(0%)
minecraft.killed.drowned: #19, 19(0%)
minecraft.crafted.acacia_planks: #19, 84(0%)
minecraft.mined.dark_oak_slab: #19, 9(0%)
minecraft.picked_up.dark_oak_slab: #19, 9(0%)
minecraft.mined.sandstone: #19, 98(0%)
minecraft.picked_up.sandstone: #19, 98(0%)
minecraft.mined.white_wool: #19, 1(0%)
minecraft.dropped.baked_potato: #19, 1(0%)
minecraft.dropped.sugar_cane: #19, 4(0%)
minecraft.used.dark_oak_planks: #19, 5(0%)
minecraft.crafted.dark_oak_fence: #19, 3(0%)
minecraft.used.white_wool: #19, 1(0%)
minecraft.crafted.birch_slab: #19, 6(0%)
minecraft.mined.stripped_birch_log: #19, 1(0%)
minecraft.picked_up.stripped_birch_log: #19, 1(0%)
minecraft.used.iron_pickaxe: #20, 1506(1%)
minecraft.picked_up.oak_boat: #20, 21(1%)
minecraft.used.writable_book: #20, 25(1%)
minecraft.used.oak_slab: #20, 83(0%)
minecraft.picked_up.pufferfish: #20, 6(0%)
minecraft.picked_up.poisonous_potato: #20, 3(0%)
minecraft.picked_up.nautilus_shell: #20, 1(0%)
minecraft.picked_up.mutton: #20, 5(0%)
minecraft.mined.seagrass: #20, 18(0%)
minecraft.used.cobblestone_stairs: #20, 13(0%)
minecraft.mined.stone_brick_slab: #20, 28(0%)
minecraft.picked_up.stone_brick_slab: #20, 28(0%)
minecraft.picked_up.oxeye_daisy: #20, 5(0%)
minecraft.mined.jungle_leaves: #20, 11(0%)
minecraft.used.stone_brick_slab: #20, 37(0%)
minecraft.picked_up.acacia_sapling: #20, 5(0%)
minecraft.mined.acacia_log: #20, 21(0%)
minecraft.picked_up.acacia_log: #20, 21(0%)
minecraft.mined.dark_oak_planks: #20, 3(0%)
minecraft.picked_up.gray_wool: #20, 1(0%)
minecraft.custom.minecart_one_cm: #20, 64916(0%)
minecraft.used.dark_oak_slab: #20, 9(0%)
minecraft.used.dark_oak_fence: #20, 3(0%)
minecraft.picked_up.filled_map: #20, 1(0%)
minecraft.custom.time_since_death: #21, 1476218(1%)
minecraft.crafted.iron_pickaxe: #21, 5(1%)
minecraft.picked_up.oak_sapling: #21, 178(0%)
minecraft.custom.swim_one_cm: #21, 839270(0%)
minecraft.picked_up.saddle: #21, 1(0%)
minecraft.killed.pig: #21, 2(0%)
minecraft.picked_up.porkchop: #21, 4(0%)
minecraft.picked_up.sugar_cane: #21, 377(0%)
minecraft.used.dark_oak_log: #21, 75(0%)
minecraft.crafted.cobblestone_stairs: #21, 40(0%)
minecraft.picked_up.dark_oak_log: #21, 178(0%)
minecraft.crafted.oak_fence_gate: #21, 2(0%)
minecraft.crafted.writable_book: #21, 1(0%)
minecraft.used.jungle_log: #21, 10(0%)
minecraft.mined.clay: #21, 18(0%)
minecraft.dropped.wheat_seeds: #21, 36(0%)
minecraft.mined.mossy_stone_bricks: #21, 1(0%)
minecraft.mined.dark_oak_leaves: #21, 9(0%)
minecraft.mined.cobblestone_stairs: #21, 1(0%)
minecraft.picked_up.cobblestone_stairs: #21, 1(0%)
minecraft.crafted.iron_nugget: #21, 9(0%)
minecraft.used.birch_log: #21, 1(0%)
minecraft.crafted.oak_slab: #22, 96(0%)
minecraft.mined.oak_log: #22, 387(0%)
minecraft.killed.squid: #22, 7(0%)
minecraft.mined.chest: #22, 31(0%)
minecraft.picked_up.chest: #22, 31(0%)
minecraft.used.shears: #22, 330(0%)
minecraft.used.oak_fence: #22, 13(0%)
minecraft.custom.animals_bred: #22, 20(0%)
minecraft.killed.sheep: #22, 2(0%)
minecraft.crafted.oak_fence: #22, 12(0%)
