stat, rank, value, (percentage) 
minecraft.mined.brown_concrete: #2, 728(19%)
minecraft.used.dark_oak_trapdoor: #2, 913(10%)
minecraft.used.white_concrete: #3, 49621(13%)
minecraft.dropped.pumpkin_pie: #2, 107(18%)
minecraft.picked_up.comparator: #2, 482(10%)
minecraft.mined.heavy_weighted_pressure_plate: #2, 28(18%)
minecraft.picked_up.sugar: #2, 372(14%)
minecraft.picked_up.lime_bed: #2, 13(21%)
minecraft.dropped.green_concrete_powder: #2, 248(23%)
minecraft.picked_up.dark_oak_leaves: #2, 1045(12%)
minecraft.dropped.slime_block: #2, 247(13%)
minecraft.dropped.glass: #2, 1134(11%)
minecraft.picked_up.pumpkin: #3, 4899(14%)
minecraft.used.repeater: #3, 2801(14%)
minecraft.used.red_mushroom: #2, 91(18%)
minecraft.picked_up.acacia_planks: #3, 254(17%)
minecraft.picked_up.pink_concrete_powder: #2, 264(24%)
minecraft.crafted.detector_rail: #2, 114(11%)
minecraft.mined.dead_fire_coral_wall_fan: #2, 14(32%)
minecraft.picked_up.quartz_slab: #3, 2641(14%)
minecraft.mined.cactus: #2, 249(9%)
minecraft.crafted.smooth_stone_slab: #3, 43245(14%)
minecraft.crafted.end_rod: #3, 3376(19%)
minecraft.used.cooked_chicken: #3, 1317(11%)
minecraft.crafted.golden_apple: #2, 129(14%)
minecraft.picked_up.feather: #3, 1540(11%)
minecraft.dropped.prismarine_shard: #2, 7429(13%)
minecraft.crafted.green_concrete_powder: #2, 3528(10%)
minecraft.crafted.white_stained_glass_pane: #3, 4738(14%)
minecraft.dropped.wither_skeleton_skull: #2, 32(35%)
minecraft.dropped.orange_concrete: #2, 163(25%)
minecraft.dropped.sugar: #2, 187(14%)
minecraft.mined.furnace: #3, 472(10%)
minecraft.mined.chorus_flower: #3, 392(17%)
minecraft.dropped.iron_shovel: #2, 21(10%)
minecraft.dropped.melon: #2, 393(31%)
minecraft.mined.white_concrete: #3, 40609(10%)
minecraft.crafted.dark_oak_planks: #3, 19911(10%)
minecraft.mined.piston: #3, 472(12%)
minecraft.picked_up.purple_banner: #2, 10(12%)
minecraft.used.detector_rail: #3, 95(13%)
minecraft.dropped.brick_stairs: #2, 15(37%)
minecraft.picked_up.yellow_terracotta: #2, 2310(8%)
minecraft.picked_up.smooth_stone_slab: #3, 7687(12%)
minecraft.mined.yellow_terracotta: #2, 2131(8%)
minecraft.dropped.iron_block: #3, 694(15%)
minecraft.dropped.feather: #3, 1226(12%)
minecraft.crafted.stone_pressure_plate: #3, 535(12%)
minecraft.used.acacia_fence: #3, 307(16%)
minecraft.picked_up.egg: #4, 2420(11%)
minecraft.picked_up.chorus_flower: #3, 393(15%)
minecraft.dropped.emerald: #2, 559(9%)
minecraft.killed.zombie_pigman: #2, 955(7%)
minecraft.broken.diamond_pickaxe: #3, 12(13%)
minecraft.used.glowstone: #3, 1341(11%)
minecraft.picked_up.blue_stained_glass: #3, 780(15%)
minecraft.picked_up.green_concrete: #3, 1732(13%)
minecraft.used.orange_concrete: #3, 1112(14%)
minecraft.dropped.detector_rail: #2, 8(17%)
minecraft.used.chorus_flower: #3, 386(18%)
minecraft.mined.green_concrete: #3, 1731(13%)
minecraft.picked_up.light_blue_stained_glass_pane: #3, 114(15%)
minecraft.used.powered_rail: #3, 4021(10%)
minecraft.used.cod_bucket: #2, 27(7%)
minecraft.crafted.hopper_minecart: #3, 117(11%)
minecraft.used.redstone_block: #3, 1395(10%)
minecraft.killed_by.wolf: #2, 1(50%)
minecraft.mined.moving_piston: #2, 1(33%)
minecraft.mined.acacia_fence: #3, 223(15%)
minecraft.used.hopper_minecart: #3, 110(10%)
minecraft.mined.snow_block: #3, 1061(11%)
minecraft.mined.slime_block: #3, 938(9%)
minecraft.used.dark_oak_boat: #3, 108(8%)
minecraft.used.observer: #4, 2826(14%)
minecraft.dropped.prismarine_crystals: #3, 2989(11%)
minecraft.dropped.tube_coral_fan: #2, 21(30%)
minecraft.used.light_gray_stained_glass_pane: #3, 1846(13%)
minecraft.picked_up.acacia_fence: #3, 199(14%)
minecraft.dropped.iron_ingot: #3, 1331(8%)
minecraft.dropped.blue_ice: #3, 59(20%)
minecraft.picked_up.observer: #4, 1341(13%)
minecraft.dropped.black_concrete: #3, 297(13%)
minecraft.picked_up.dark_oak_boat: #3, 88(7%)
minecraft.dropped.bubble_coral_block: #2, 17(35%)
minecraft.mined.purple_banner: #2, 9(21%)
minecraft.mined.brown_mushroom: #3, 118(8%)
minecraft.picked_up.hopper_minecart: #2, 2(12%)
minecraft.crafted.brick_stairs: #3, 560(16%)
minecraft.mined.hopper: #4, 1323(11%)
minecraft.dropped.phantom_membrane: #3, 65(11%)
minecraft.crafted.iron_shovel: #3, 32(6%)
minecraft.used.stone_shovel: #3, 1892(8%)
minecraft.crafted.acacia_fence: #3, 267(14%)
minecraft.used.dead_bubble_coral_fan: #2, 14(14%)
minecraft.dropped.cooked_chicken: #3, 286(9%)
minecraft.used.tnt_minecart: #2, 18(7%)
minecraft.crafted.activator_rail: #3, 78(12%)
minecraft.crafted.slime_block: #3, 1729(8%)
minecraft.dropped.snowball: #3, 473(11%)
minecraft.crafted.repeater: #3, 1180(7%)
minecraft.used.dead_bush: #3, 55(21%)
minecraft.mined.tripwire: #3, 185(7%)
minecraft.dropped.dark_oak_leaves: #3, 78(11%)
minecraft.mined.observer: #4, 990(11%)
minecraft.mined.light_blue_stained_glass_pane: #3, 64(10%)
minecraft.dropped.gunpowder: #4, 1000(11%)
minecraft.mined.repeater: #4, 685(12%)
minecraft.dropped.smooth_stone: #3, 235(9%)
minecraft.used.chest: #4, 3341(9%)
minecraft.dropped.horn_coral_block: #2, 17(21%)
minecraft.killed.blaze: #3, 1875(7%)
minecraft.mined.sand: #4, 146470(8%)
minecraft.broken.stone_shovel: #3, 14(8%)
minecraft.dropped.redstone_torch: #3, 100(8%)
minecraft.dropped.tnt: #3, 41(13%)
minecraft.used.fire_charge: #2, 4(6%)
minecraft.killed.wither_skeleton: #3, 1955(7%)
minecraft.dropped.firework_rocket: #4, 2350(10%)
minecraft.mined.dead_brain_coral_wall_fan: #2, 2(6%)
minecraft.used.brick_stairs: #3, 410(11%)
minecraft.crafted.slime_ball: #3, 1647(7%)
minecraft.dropped.paper: #4, 1007(10%)
minecraft.dropped.cyan_glazed_terracotta: #2, 1(6%)
minecraft.used.iron_block: #4, 6273(9%)
minecraft.dropped.brown_stained_glass_pane: #2, 1(4%)
minecraft.used.white_concrete_powder: #4, 37639(9%)
minecraft.dropped.quartz: #4, 654(14%)
minecraft.dropped.red_mushroom: #3, 29(5%)
minecraft.dropped.red_stained_glass_pane: #3, 16(17%)
minecraft.used.lectern: #4, 616(10%)
minecraft.picked_up.piston: #4, 579(9%)
minecraft.dropped.white_concrete: #4, 931(11%)
minecraft.picked_up.wither_skeleton_skull: #3, 28(5%)
minecraft.used.stonecutter: #3, 54(6%)
minecraft.dropped.acacia_boat: #3, 2(12%)
minecraft.used.gray_stained_glass_pane: #3, 1101(8%)
minecraft.used.redstone_torch: #4, 1254(9%)
minecraft.used.bamboo: #4, 1108(11%)
minecraft.crafted.white_concrete_powder: #4, 36269(8%)
minecraft.dropped.black_concrete_powder: #3, 156(8%)
minecraft.killed_by.cave_spider: #3, 1(17%)
minecraft.mined.lectern: #4, 597(11%)
minecraft.dropped.light_gray_dye: #3, 49(9%)
minecraft.picked_up.lectern: #4, 597(11%)
minecraft.mined.redstone_block: #4, 455(9%)
minecraft.mined.redstone_lamp: #4, 155(10%)
minecraft.dropped.repeater: #4, 115(12%)
minecraft.dropped.quartz_slab: #4, 138(14%)
minecraft.used.stone_pressure_plate: #4, 322(9%)
minecraft.crafted.magenta_glazed_terracotta: #3, 12(17%)
minecraft.picked_up.phantom_membrane: #4, 364(8%)
minecraft.used.chest_minecart: #3, 8(5%)
minecraft.dropped.end_stone: #4, 72(12%)
minecraft.picked_up.yellow_concrete: #4, 1586(10%)
minecraft.killed_by.husk: #3, 1(20%)
minecraft.mined.red_mushroom: #4, 75(10%)
minecraft.dropped.note_block: #3, 11(7%)
minecraft.dropped.andesite: #4, 3901(7%)
minecraft.used.pink_concrete_powder: #4, 270(11%)
minecraft.crafted.light_gray_stained_glass_pane: #4, 1984(12%)
minecraft.dropped.acacia_planks: #4, 45(9%)
minecraft.dropped.blaze_rod: #3, 70(5%)
minecraft.mined.sandstone_stairs: #4, 188(8%)
minecraft.mined.magenta_wool: #4, 15(14%)
minecraft.killed.polar_bear: #3, 1(12%)
minecraft.crafted.tnt_minecart: #3, 18(6%)
minecraft.used.magma_block: #4, 794(6%)
minecraft.used.oak_leaves: #4, 4689(6%)
minecraft.picked_up.redstone_lamp: #4, 232(8%)
minecraft.broken.iron_sword: #4, 2(10%)
minecraft.used.glass_pane: #4, 743(6%)
minecraft.dropped.carrot: #4, 7027(7%)
minecraft.picked_up.chorus_fruit: #4, 1566(8%)
minecraft.crafted.acacia_planks: #5, 7506(11%)
minecraft.crafted.yellow_concrete_powder: #4, 2120(8%)
minecraft.dropped.sugar_cane: #4, 996(7%)
minecraft.used.yellow_concrete_powder: #4, 2065(8%)
minecraft.dropped.dark_oak_boat: #4, 6(10%)
minecraft.picked_up.iron_shovel: #5, 34(10%)
minecraft.mined.dead_bubble_coral_wall_fan: #3, 3(11%)
minecraft.dropped.dirt: #5, 10358(9%)
minecraft.custom.interact_with_beacon: #4, 84(7%)
minecraft.dropped.rabbit: #4, 5(16%)
minecraft.picked_up.snow: #4, 5915(8%)
minecraft.dropped.stone_shovel: #4, 14(8%)
minecraft.dropped.brain_coral_block: #3, 24(9%)
minecraft.crafted.stonecutter: #4, 63(9%)
minecraft.used.brown_mushroom: #4, 92(10%)
minecraft.picked_up.sand: #5, 147004(8%)
minecraft.dropped.cod_bucket: #3, 1(7%)
minecraft.crafted.redstone_torch: #4, 3992(5%)
minecraft.dropped.brick: #4, 100(11%)
minecraft.mined.purpur_slab: #4, 56(7%)
minecraft.mined.tall_grass: #4, 3(14%)
minecraft.crafted.birch_door: #4, 15(6%)
minecraft.picked_up.purpur_slab: #4, 54(7%)
minecraft.mined.brown_stained_glass_pane: #3, 1(2%)
minecraft.mined.purpur_block: #4, 467(7%)
minecraft.picked_up.end_stone: #4, 1392(5%)
