stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #5, 24158740(13%)
minecraft.custom.time_since_death: #6, 24158740(9%)
minecraft.custom.fly_one_cm: #14, 75909648(3%)
minecraft.custom.walk_under_water_one_cm: #18, 3286559(1%)
minecraft.custom.play_one_minute: #21, 24158740(1%)
minecraft.picked_up.rotten_flesh: #22, 198(0%)
minecraft.used.lava_bucket: #23, 1(0%)
minecraft.custom.walk_on_water_one_cm: #25, 599947(0%)
minecraft.killed.zombie: #27, 4(0%)
minecraft.used.diamond_sword: #28, 36(0%)
minecraft.custom.leave_game: #29, 275(1%)
minecraft.custom.sneak_time: #31, 96700(0%)
minecraft.custom.damage_dealt: #31, 808(0%)
minecraft.custom.mob_kills: #31, 9(0%)
minecraft.custom.walk_one_cm: #40, 2435(0%)
minecraft.custom.crouch_one_cm: #41, 25(0%)
