stat, rank, value, (percentage) 
minecraft.used.lime_wool: #1, 945(38%)
minecraft.dropped.pufferfish: #1, 710(40%)
minecraft.used.prismarine_brick_slab: #1, 6380(49%)
minecraft.picked_up.black_bed: #1, 223(71%)
minecraft.custom.damage_dealt: #1, 3898718(17%)
minecraft.custom.play_one_minute: #1, 220188624(12%)
minecraft.mined.brown_shulker_box: #1, 2053(38%)
minecraft.crafted.stone_shovel: #1, 145(29%)
minecraft.crafted.orange_dye: #1, 3369(30%)
minecraft.dropped.golden_boots: #1, 87(28%)
minecraft.used.orange_shulker_box: #1, 2232(37%)
minecraft.crafted.dark_prismarine_slab: #1, 11893(57%)
minecraft.crafted.lectern: #1, 214(35%)
minecraft.picked_up.orange_shulker_box: #1, 2250(37%)
minecraft.picked_up.blue_stained_glass_pane: #1, 708(57%)
minecraft.used.spruce_button: #1, 412(34%)
minecraft.picked_up.iron_ingot: #2, 310613(29%)
minecraft.used.prismarine_slab: #1, 4922(77%)
minecraft.dropped.porkchop: #1, 156(61%)
minecraft.crafted.prismarine_slab: #1, 3774(68%)
minecraft.picked_up.acacia_trapdoor: #1, 672(38%)
minecraft.used.yellow_carpet: #1, 1375(33%)
minecraft.used.stone_slab: #1, 10375(32%)
minecraft.mined.orange_shulker_box: #1, 2206(37%)
minecraft.used.sea_lantern: #2, 21073(29%)
minecraft.picked_up.pink_shulker_box: #1, 1031(37%)
minecraft.picked_up.jungle_fence: #1, 215(35%)
minecraft.dropped.oak_sapling: #1, 1068(25%)
minecraft.crafted.jungle_stairs: #1, 1496(53%)
minecraft.crafted.spruce_button: #1, 450(31%)
minecraft.used.dark_prismarine_slab: #1, 12572(53%)
minecraft.used.cactus: #1, 772(26%)
minecraft.dropped.wither_rose: #1, 1792(96%)
minecraft.used.black_bed: #1, 229(57%)
minecraft.picked_up.furnace: #1, 1034(22%)
minecraft.mined.furnace: #1, 991(22%)
minecraft.used.pink_shulker_box: #1, 1024(37%)
minecraft.mined.jungle_trapdoor: #1, 496(40%)
minecraft.mined.oak_fence: #1, 1243(24%)
minecraft.used.sandstone_stairs: #1, 2714(29%)
minecraft.crafted.item_frame: #1, 1836(24%)
minecraft.mined.campfire: #1, 248(37%)
minecraft.mined.birch_planks: #1, 916(26%)
