stat, rank, value, (percentage) 
minecraft.picked_up.scaffolding: #3, 19303(18%)
minecraft.dropped.dark_oak_planks: #2, 380(15%)
minecraft.mined.red_glazed_terracotta: #2, 124(27%)
minecraft.mined.acacia_sapling: #2, 130(27%)
minecraft.crafted.birch_slab: #3, 8118(20%)
minecraft.used.smooth_red_sandstone: #1, 958(86%)
minecraft.used.cut_sandstone: #2, 1410(15%)
minecraft.mined.acacia_fence: #2, 307(21%)
minecraft.used.black_concrete: #3, 18976(17%)
minecraft.mined.white_wall_banner: #2, 63(16%)
minecraft.picked_up.cauldron: #2, 93(16%)
minecraft.mined.light_blue_glazed_terracotta: #2, 596(18%)
minecraft.crafted.cooked_salmon: #2, 493(19%)
minecraft.picked_up.cyan_bed: #2, 109(22%)
minecraft.crafted.light_blue_stained_glass: #2, 6888(15%)
minecraft.dropped.oak_fence: #2, 143(13%)
minecraft.used.red_nether_brick_wall: #1, 175(82%)
minecraft.picked_up.leather_boots: #2, 61(12%)
minecraft.mined.nether_brick_stairs: #2, 441(19%)
minecraft.crafted.brick_slab: #2, 2286(29%)
minecraft.mined.end_stone_brick_wall: #1, 72(54%)
minecraft.mined.magenta_wool: #2, 26(24%)
minecraft.mined.dark_prismarine: #2, 826(15%)
minecraft.dropped.oak_button: #2, 37(17%)
minecraft.picked_up.birch_slab: #3, 1008(19%)
minecraft.picked_up.birch_fence_gate: #2, 67(20%)
minecraft.mined.cyan_bed: #2, 105(22%)
minecraft.crafted.brown_shulker_box: #2, 27(17%)
minecraft.mined.brown_carpet: #2, 150(17%)
minecraft.crafted.acacia_boat: #2, 18(22%)
minecraft.dropped.light_gray_banner: #1, 2(40%)
minecraft.used.blue_terracotta: #2, 1430(20%)
minecraft.mined.podzol: #2, 1803(14%)
minecraft.picked_up.end_stone_brick_wall: #1, 71(53%)
minecraft.mined.green_wool: #2, 121(32%)
minecraft.dropped.brown_mushroom_block: #2, 588(36%)
minecraft.used.dropper: #3, 1249(17%)
minecraft.mined.red_stained_glass_pane: #2, 256(23%)
minecraft.picked_up.dark_oak_planks: #3, 2332(15%)
minecraft.mined.green_bed: #2, 72(36%)
minecraft.dropped.furnace: #2, 73(13%)
minecraft.custom.walk_one_cm: #3, 262017961(8%)
minecraft.used.cyan_carpet: #2, 167(16%)
minecraft.used.white_shulker_box: #2, 1099(13%)
minecraft.used.light_blue_stained_glass: #3, 8060(18%)
minecraft.dropped.stripped_jungle_wood: #1, 3(75%)
minecraft.crafted.red_nether_brick_wall: #1, 162(75%)
minecraft.mined.jungle_sign: #1, 2(50%)
minecraft.used.spider_eye: #1, 4(50%)
minecraft.crafted.cut_sandstone: #2, 1608(16%)
minecraft.crafted.black_stained_glass_pane: #3, 1640(22%)
minecraft.mined.repeater: #2, 698(12%)
minecraft.dropped.nether_brick: #1, 23(49%)
minecraft.picked_up.red_stained_glass_pane: #2, 287(22%)
minecraft.picked_up.ender_chest: #2, 1550(10%)
minecraft.picked_up.purpur_stairs: #2, 160(18%)
minecraft.picked_up.dark_oak_fence: #2, 646(12%)
minecraft.picked_up.nether_brick_stairs: #2, 436(17%)
minecraft.dropped.chainmail_helmet: #2, 12(19%)
minecraft.mined.white_shulker_box: #2, 1081(12%)
minecraft.picked_up.white_shulker_box: #2, 1102(12%)
minecraft.picked_up.birch_pressure_plate: #2, 29(14%)
minecraft.mined.ender_chest: #2, 1539(11%)
minecraft.picked_up.bricks: #2, 1103(16%)
minecraft.mined.oak_planks: #2, 1683(10%)
minecraft.crafted.black_dye: #3, 4877(18%)
minecraft.crafted.jungle_sign: #1, 87(35%)
minecraft.mined.slime_block: #2, 1152(11%)
minecraft.mined.red_mushroom_block: #2, 3971(17%)
minecraft.dropped.lily_pad: #2, 82(24%)
minecraft.picked_up.podzol: #2, 1717(16%)
minecraft.used.podzol: #2, 988(16%)
minecraft.crafted.stone_brick_stairs: #3, 8816(15%)
minecraft.mined.sandstone_stairs: #2, 290(12%)
minecraft.mined.green_shulker_box: #3, 441(19%)
minecraft.mined.anvil: #2, 95(10%)
minecraft.picked_up.andesite_stairs: #2, 54(24%)
minecraft.mined.purple_bed: #2, 55(21%)
minecraft.dropped.conduit: #1, 2(67%)
minecraft.dropped.cyan_bed: #1, 2(67%)
minecraft.mined.green_wall_banner: #1, 2(22%)
minecraft.picked_up.orange_banner: #2, 22(33%)
minecraft.picked_up.green_shulker_box: #3, 453(19%)
minecraft.dropped.iron_leggings: #2, 15(13%)
minecraft.used.powered_rail: #2, 4477(12%)
minecraft.dropped.tropical_fish: #2, 33(17%)
minecraft.crafted.light_gray_shulker_box: #2, 34(14%)
minecraft.used.cyan_stained_glass_pane: #2, 365(18%)
minecraft.mined.loom: #2, 17(12%)
minecraft.used.ender_chest: #2, 1546(10%)
minecraft.used.green_shulker_box: #3, 449(18%)
minecraft.crafted.jungle_button: #2, 98(23%)
minecraft.used.andesite_wall: #2, 628(16%)
minecraft.mined.iron_bars: #2, 984(9%)
minecraft.picked_up.acacia_boat: #2, 35(13%)
minecraft.used.purpur_pillar: #2, 226(19%)
minecraft.picked_up.purple_bed: #2, 56(20%)
minecraft.picked_up.fishing_rod: #3, 49(15%)
minecraft.picked_up.loom: #2, 17(11%)
minecraft.used.slime_block: #2, 1796(10%)
minecraft.picked_up.black_stained_glass: #3, 1211(15%)
minecraft.used.blue_banner: #2, 51(22%)
minecraft.dropped.tripwire_hook: #2, 67(14%)
minecraft.picked_up.chainmail_helmet: #2, 13(12%)
minecraft.crafted.cyan_stained_glass_pane: #2, 416(17%)
minecraft.used.activator_rail: #2, 79(15%)
minecraft.used.smooth_stone: #3, 7986(14%)
minecraft.picked_up.chainmail_chestplate: #2, 12(13%)
minecraft.crafted.furnace: #3, 1033(12%)
minecraft.mined.black_banner: #2, 8(20%)
minecraft.dropped.netherrack: #3, 44444(15%)
minecraft.crafted.lime_carpet: #2, 468(15%)
minecraft.used.wooden_hoe: #2, 149(15%)
minecraft.used.pufferfish_bucket: #2, 64(12%)
minecraft.used.smooth_red_sandstone_stairs: #1, 890(56%)
minecraft.mined.brown_mushroom_block: #3, 6306(22%)
minecraft.used.grass_block: #3, 37517(12%)
minecraft.used.purple_bed: #2, 56(19%)
minecraft.picked_up.wooden_shovel: #2, 18(30%)
minecraft.crafted.smooth_red_sandstone_stairs: #1, 816(55%)
minecraft.dropped.acacia_leaves: #2, 93(21%)
minecraft.mined.yellow_carpet: #3, 104(18%)
minecraft.mined.dark_prismarine_slab: #2, 685(21%)
minecraft.used.snow: #3, 11484(17%)
minecraft.used.green_concrete_powder: #2, 3971(12%)
minecraft.used.purpur_slab: #2, 62(19%)
minecraft.used.jungle_fence_gate: #2, 81(41%)
minecraft.custom.clean_shulker_box: #2, 51(41%)
minecraft.crafted.smooth_stone: #3, 6332(14%)
minecraft.crafted.brick_stairs: #2, 704(20%)
minecraft.used.obsidian: #3, 2795(14%)
minecraft.used.gray_concrete: #3, 13839(14%)
minecraft.dropped.music_disc_ward: #1, 1(25%)
minecraft.dropped.lime_bed: #1, 1(25%)
minecraft.killed_by.wolf: #1, 1(50%)
minecraft.crafted.mojang_banner_pattern: #1, 1(50%)
minecraft.mined.potted_red_mushroom: #1, 1(50%)
minecraft.broken.leather_chestplate: #1, 1(33%)
minecraft.used.totem_of_undying: #2, 18(12%)
minecraft.mined.dropper: #3, 427(16%)
minecraft.used.green_bed: #2, 74(33%)
minecraft.used.birch_trapdoor: #3, 489(15%)
minecraft.mined.mycelium: #2, 4655(14%)
minecraft.picked_up.dark_prismarine_slab: #2, 809(20%)
minecraft.custom.animals_bred: #3, 2172(12%)
minecraft.used.dark_oak_log: #3, 6615(12%)
minecraft.picked_up.slime_block: #2, 1162(9%)
minecraft.mined.orange_banner: #2, 18(32%)
minecraft.mined.black_wool: #3, 320(17%)
minecraft.used.granite: #3, 1569(12%)
minecraft.mined.crafting_table: #3, 871(11%)
minecraft.picked_up.hopper: #3, 1703(13%)
minecraft.picked_up.gunpowder: #3, 2921(11%)
minecraft.mined.lime_glazed_terracotta: #2, 17(27%)
minecraft.dropped.golden_apple: #2, 6(17%)
minecraft.crafted.nether_brick_fence: #2, 210(23%)
minecraft.mined.gray_concrete: #3, 13902(14%)
minecraft.picked_up.spruce_door: #2, 85(8%)
minecraft.used.water_bucket: #3, 7692(11%)
minecraft.mined.polished_diorite_stairs: #2, 132(31%)
minecraft.picked_up.enchanting_table: #2, 9(12%)
minecraft.used.bucket: #3, 8383(11%)
minecraft.picked_up.crafting_table: #3, 898(10%)
minecraft.used.cyan_wool: #2, 194(13%)
minecraft.mined.stone_brick_stairs: #3, 2225(12%)
minecraft.used.blue_stained_glass_pane: #2, 649(15%)
minecraft.dropped.cauldron: #2, 13(30%)
minecraft.dropped.dark_oak_fence: #3, 111(20%)
minecraft.used.hopper: #3, 3746(12%)
minecraft.mined.birch_fence_gate: #2, 51(16%)
minecraft.used.end_stone_bricks: #3, 794(15%)
minecraft.dropped.green_concrete: #2, 34(30%)
minecraft.used.light_gray_terracotta: #3, 1298(15%)
minecraft.mined.chiseled_sandstone: #2, 21(14%)
minecraft.crafted.black_glazed_terracotta: #2, 104(35%)
minecraft.dropped.acacia_boat: #2, 4(25%)
minecraft.used.light_gray_carpet: #3, 2543(13%)
minecraft.picked_up.player_head: #3, 1628(10%)
minecraft.crafted.black_concrete_powder: #3, 21800(17%)
minecraft.picked_up.dropper: #3, 537(14%)
minecraft.picked_up.yellow_carpet: #3, 231(15%)
minecraft.dropped.diamond_block: #3, 255(15%)
minecraft.used.crafting_table: #3, 927(10%)
minecraft.dropped.wooden_shovel: #2, 72(15%)
minecraft.used.stone_stairs: #2, 429(10%)
minecraft.used.cobblestone_slab: #3, 4033(12%)
minecraft.crafted.acacia_fence: #2, 285(15%)
minecraft.crafted.granite_stairs: #2, 32(33%)
minecraft.used.gravel: #3, 5813(11%)
minecraft.crafted.cooked_cod: #3, 1243(18%)
minecraft.picked_up.gray_carpet: #2, 808(9%)
minecraft.used.lily_pad: #2, 57(15%)
minecraft.crafted.black_carpet: #3, 1239(16%)
minecraft.used.lime_carpet: #3, 563(18%)
minecraft.mined.yellow_shulker_box: #3, 927(12%)
minecraft.used.spruce_door: #2, 109(7%)
minecraft.custom.damage_absorbed: #2, 548(9%)
minecraft.used.sandstone_slab: #2, 8460(9%)
minecraft.dropped.soul_sand: #3, 406(12%)
minecraft.mined.grass_path: #3, 970(11%)
minecraft.used.yellow_shulker_box: #3, 933(12%)
minecraft.dropped.charcoal: #2, 14(16%)
minecraft.picked_up.snow: #3, 11930(16%)
minecraft.mined.shulker_box: #3, 4126(11%)
minecraft.mined.lime_carpet: #3, 93(18%)
minecraft.used.allium: #2, 20(14%)
minecraft.picked_up.wither_rose: #2, 644(20%)
minecraft.used.red_nether_bricks: #2, 1049(16%)
minecraft.used.gray_concrete_powder: #3, 16638(14%)
minecraft.picked_up.yellow_shulker_box: #3, 945(12%)
minecraft.crafted.gray_concrete_powder: #3, 16144(14%)
minecraft.picked_up.pink_bed: #2, 28(19%)
minecraft.dropped.rose_bush: #3, 108(18%)
minecraft.crafted.green_glazed_terracotta: #2, 64(31%)
minecraft.picked_up.polished_diorite_stairs: #2, 131(31%)
minecraft.crafted.brown_stained_glass_pane: #2, 64(26%)
minecraft.used.mossy_cobblestone: #3, 483(15%)
minecraft.used.shulker_box: #3, 4119(11%)
minecraft.used.acacia_button: #2, 28(31%)
minecraft.crafted.polished_granite: #3, 2540(14%)
minecraft.picked_up.shulker_box: #3, 4268(11%)
minecraft.crafted.smooth_quartz: #3, 773(17%)
minecraft.used.black_terracotta: #3, 3205(19%)
minecraft.mined.pink_bed: #2, 28(19%)
minecraft.dropped.carrot_on_a_stick: #2, 3(21%)
minecraft.crafted.flower_pot: #2, 329(8%)
minecraft.mined.stone_slab: #3, 826(13%)
minecraft.crafted.brown_bed: #2, 15(25%)
minecraft.used.anvil: #3, 171(9%)
minecraft.dropped.dark_prismarine_slab: #2, 18(21%)
minecraft.custom.drop: #4, 18403(10%)
minecraft.crafted.flint_and_steel: #3, 48(11%)
minecraft.used.lime_bed: #2, 18(16%)
minecraft.picked_up.cut_sandstone_slab: #2, 27(24%)
minecraft.mined.dead_tube_coral_wall_fan: #2, 8(36%)
minecraft.mined.tall_grass: #2, 4(18%)
minecraft.used.barrel: #3, 434(11%)
minecraft.used.granite_slab: #2, 157(36%)
minecraft.dropped.jungle_button: #2, 9(36%)
minecraft.crafted.white_dye: #3, 8536(11%)
minecraft.custom.interact_with_loom: #3, 71(12%)
minecraft.mined.grass_block: #4, 87190(10%)
minecraft.used.granite_stairs: #2, 21(24%)
minecraft.dropped.wooden_hoe: #2, 3(18%)
minecraft.custom.open_barrel: #3, 3932(11%)
minecraft.used.oak_fence: #3, 1057(10%)
minecraft.dropped.ink_sac: #3, 195(12%)
minecraft.crafted.oak_planks: #3, 28828(8%)
minecraft.mined.orange_stained_glass: #3, 96(18%)
minecraft.used.end_stone_brick_wall: #2, 151(45%)
minecraft.picked_up.soul_sand: #3, 4268(10%)
minecraft.used.brown_stained_glass_pane: #2, 35(22%)
minecraft.crafted.spruce_trapdoor: #3, 2448(10%)
minecraft.used.snowball: #3, 343(12%)
minecraft.crafted.birch_trapdoor: #3, 364(12%)
minecraft.picked_up.acacia_button: #2, 13(27%)
minecraft.crafted.red_carpet: #2, 1197(8%)
minecraft.mined.seagrass: #3, 1860(9%)
minecraft.picked_up.cut_sandstone: #3, 374(13%)
minecraft.mined.smooth_stone: #3, 1413(10%)
minecraft.mined.acacia_pressure_plate: #2, 13(43%)
minecraft.used.composter: #3, 123(13%)
minecraft.picked_up.netherrack: #3, 76128(9%)
minecraft.crafted.turtle_helmet: #2, 25(32%)
minecraft.mined.blue_wall_banner: #2, 14(21%)
minecraft.crafted.chainmail_leggings: #2, 27(32%)
minecraft.crafted.polished_diorite_stairs: #2, 192(25%)
minecraft.crafted.cobblestone_slab: #3, 4100(11%)
minecraft.used.jungle_fence: #3, 280(15%)
minecraft.custom.sprint_one_cm: #4, 210907051(8%)
minecraft.picked_up.red_shulker_box: #3, 908(10%)
minecraft.killed.stray: #2, 5(31%)
minecraft.crafted.granite_slab: #2, 228(31%)
minecraft.used.cooked_salmon: #3, 513(17%)
minecraft.used.terracotta: #3, 1069(12%)
minecraft.mined.vine: #3, 2005(9%)
minecraft.dropped.nether_brick_slab: #2, 84(15%)
minecraft.used.birch_planks: #3, 1025(11%)
minecraft.picked_up.sweet_berries: #3, 3692(13%)
minecraft.crafted.bowl: #2, 116(12%)
minecraft.picked_up.green_banner: #2, 4(12%)
minecraft.mined.mushroom_stem: #3, 1240(17%)
minecraft.picked_up.dark_oak_door: #3, 37(15%)
minecraft.mined.netherrack: #3, 126556(9%)
minecraft.used.pink_concrete: #3, 153(17%)
minecraft.mined.tripwire_hook: #3, 31(12%)
minecraft.mined.cut_sandstone_slab: #2, 19(20%)
minecraft.crafted.shield: #2, 43(6%)
minecraft.custom.inspect_dropper: #3, 1624(9%)
minecraft.killed.squid: #2, 192(5%)
minecraft.used.red_shulker_box: #3, 913(10%)
minecraft.used.cracked_stone_bricks: #3, 1265(10%)
minecraft.used.dark_oak_fence: #3, 1399(10%)
minecraft.mined.spruce_trapdoor: #3, 720(9%)
minecraft.mined.red_shulker_box: #3, 894(10%)
minecraft.crafted.birch_stairs: #3, 1504(13%)
minecraft.mined.purpur_stairs: #3, 168(15%)
minecraft.picked_up.stone_brick_stairs: #3, 2214(9%)
minecraft.dropped.pink_concrete: #2, 81(38%)
minecraft.used.light_gray_wool: #3, 1595(13%)
minecraft.crafted.hopper: #3, 2203(9%)
minecraft.dropped.oak_pressure_plate: #3, 19(14%)
minecraft.custom.clean_banner: #2, 90(37%)
minecraft.mined.light_blue_stained_glass: #3, 1628(12%)
minecraft.crafted.blue_terracotta: #2, 1312(10%)
minecraft.used.cyan_bed: #3, 109(19%)
minecraft.crafted.oak_button: #3, 133(11%)
minecraft.crafted.andesite_wall: #3, 702(18%)
minecraft.picked_up.composter: #3, 63(12%)
minecraft.used.red_wool: #3, 512(11%)
minecraft.dropped.blue_shulker_box: #2, 2(18%)
minecraft.used.red_terracotta: #3, 3629(12%)
minecraft.dropped.jungle_pressure_plate: #2, 7(27%)
minecraft.crafted.bookshelf: #3, 1034(9%)
minecraft.crafted.chiseled_red_sandstone: #2, 138(27%)
minecraft.picked_up.gray_shulker_box: #3, 433(10%)
minecraft.crafted.black_terracotta: #3, 3240(15%)
minecraft.mined.gray_shulker_box: #3, 424(10%)
minecraft.used.andesite_stairs: #3, 135(19%)
minecraft.picked_up.yellow_concrete: #3, 2023(13%)
minecraft.dropped.obsidian: #3, 211(12%)
minecraft.mined.dried_kelp_block: #2, 80(9%)
minecraft.mined.smooth_sandstone: #3, 1409(12%)
minecraft.crafted.fermented_spider_eye: #3, 71(13%)
minecraft.mined.detector_rail: #3, 34(12%)
minecraft.crafted.dropper: #3, 820(10%)
minecraft.crafted.lead: #3, 58(11%)
minecraft.picked_up.flint_and_steel: #3, 33(11%)
minecraft.killed.ocelot: #2, 1(20%)
minecraft.crafted.flower_banner_pattern: #2, 1(20%)
minecraft.picked_up.detector_rail: #3, 62(11%)
minecraft.mined.gray_stained_glass: #3, 358(12%)
minecraft.picked_up.spruce_sign: #3, 83(9%)
minecraft.crafted.white_wool: #4, 2751(16%)
minecraft.used.bricks: #3, 3669(14%)
minecraft.used.gray_shulker_box: #3, 429(10%)
minecraft.mined.acacia_fence_gate: #2, 18(16%)
minecraft.crafted.cyan_shulker_box: #3, 13(15%)
minecraft.picked_up.acacia_fence_gate: #2, 18(16%)
minecraft.killed.sheep: #3, 159(8%)
minecraft.mined.scaffolding: #4, 5393(14%)
minecraft.crafted.prismarine: #3, 2816(19%)
minecraft.picked_up.clay_ball: #3, 5390(9%)
minecraft.crafted.end_stone_brick_wall: #2, 96(46%)
minecraft.picked_up.sandstone_stairs: #3, 284(10%)
minecraft.crafted.purpur_block: #2, 480(18%)
minecraft.used.fletching_table: #2, 7(23%)
minecraft.crafted.glistering_melon_slice: #3, 73(17%)
minecraft.crafted.red_nether_brick_stairs: #2, 256(30%)
minecraft.dropped.bone: #3, 1643(8%)
minecraft.used.pink_concrete_powder: #3, 325(13%)
minecraft.custom.interact_with_beacon: #3, 121(9%)
minecraft.dropped.acacia_sapling: #3, 101(13%)
minecraft.used.mycelium: #3, 1027(17%)
minecraft.crafted.redstone: #3, 18229(8%)
minecraft.picked_up.iron_bars: #3, 1196(8%)
minecraft.crafted.golden_sword: #2, 2(29%)
minecraft.picked_up.golden_apple: #3, 63(10%)
minecraft.mined.enchanting_table: #3, 9(12%)
minecraft.used.diorite_wall: #2, 133(12%)
minecraft.crafted.blue_banner: #2, 54(14%)
minecraft.crafted.black_wool: #3, 292(11%)
minecraft.crafted.red_stained_glass: #3, 3248(11%)
minecraft.crafted.iron_sword: #4, 44(11%)
minecraft.picked_up.saddle: #4, 39(12%)
minecraft.picked_up.birch_boat: #3, 160(8%)
minecraft.dropped.redstone_block: #3, 198(11%)
minecraft.crafted.prismarine_brick_stairs: #3, 532(20%)
minecraft.mined.yellow_concrete: #3, 1724(11%)
minecraft.picked_up.dirt: #4, 109152(8%)
minecraft.used.oak_boat: #3, 181(7%)
minecraft.dropped.cyan_shulker_box: #2, 2(9%)
minecraft.crafted.observer: #3, 1481(10%)
minecraft.used.jungle_sign: #3, 66(26%)
minecraft.used.birch_boat: #3, 153(8%)
minecraft.used.black_concrete_powder: #4, 19264(16%)
minecraft.dropped.heart_of_the_sea: #2, 1(20%)
minecraft.picked_up.zombie_head: #2, 2(20%)
minecraft.mined.dirt: #4, 93253(9%)
minecraft.used.music_disc_stal: #2, 3(16%)
minecraft.broken.wooden_hoe: #2, 1(11%)
minecraft.mined.purple_wool: #3, 148(16%)
minecraft.used.prismarine_brick_stairs: #3, 556(22%)
minecraft.used.andesite_slab: #3, 1390(16%)
minecraft.used.emerald_block: #3, 376(10%)
minecraft.crafted.andesite_stairs: #3, 168(19%)
minecraft.used.cyan_terracotta: #4, 25374(12%)
minecraft.mined.grass: #4, 6847(9%)
minecraft.broken.stone_sword: #2, 1(14%)
minecraft.killed.ghast: #3, 183(9%)
minecraft.used.green_stained_glass_pane: #3, 259(19%)
minecraft.crafted.smooth_red_sandstone_slab: #2, 366(35%)
minecraft.crafted.acacia_planks: #4, 8456(12%)
minecraft.used.lime_stained_glass_pane: #3, 576(11%)
minecraft.mined.emerald_block: #3, 113(9%)
minecraft.crafted.magenta_shulker_box: #3, 11(11%)
minecraft.crafted.acacia_stairs: #3, 272(17%)
minecraft.mined.fletching_table: #2, 3(14%)
minecraft.picked_up.fletching_table: #2, 3(14%)
minecraft.picked_up.sandstone: #4, 26112(11%)
minecraft.used.piston: #4, 1321(12%)
minecraft.custom.sleep_in_bed: #4, 2977(8%)
minecraft.dropped.red_banner: #2, 9(10%)
minecraft.mined.orange_wool: #3, 70(14%)
minecraft.dropped.orange_banner: #2, 1(33%)
minecraft.dropped.purple_banner: #2, 1(11%)
minecraft.picked_up.lime_carpet: #3, 109(12%)
minecraft.picked_up.brown_concrete: #3, 607(14%)
minecraft.picked_up.brown_mushroom: #4, 553(11%)
minecraft.crafted.birch_button: #2, 372(5%)
minecraft.mined.sandstone: #4, 25497(11%)
minecraft.dropped.smooth_sandstone_slab: #2, 3(21%)
minecraft.used.red_sandstone_stairs: #2, 29(16%)
minecraft.used.red_nether_brick_stairs: #2, 150(21%)
minecraft.mined.acacia_slab: #3, 79(14%)
minecraft.picked_up.popped_chorus_fruit: #3, 480(23%)
minecraft.picked_up.turtle_egg: #2, 86(10%)
minecraft.used.spruce_log: #4, 4187(11%)
minecraft.picked_up.white_terracotta: #3, 7296(8%)
minecraft.mined.beacon: #3, 46(9%)
minecraft.dropped.glowstone: #3, 195(11%)
minecraft.used.smooth_red_sandstone_slab: #2, 359(30%)
minecraft.dropped.peony: #2, 28(6%)
minecraft.mined.sponge: #3, 47(13%)
minecraft.mined.white_terracotta: #3, 7195(8%)
minecraft.picked_up.beacon: #3, 51(8%)
minecraft.used.birch_button: #2, 336(4%)
minecraft.used.beacon: #3, 65(8%)
minecraft.mined.potted_blue_orchid: #2, 1(14%)
minecraft.dropped.stone_slab: #3, 219(10%)
minecraft.crafted.dispenser: #3, 398(8%)
minecraft.used.polished_andesite: #4, 9415(11%)
minecraft.crafted.cyan_dye: #4, 4514(12%)
minecraft.broken.golden_boots: #2, 1(11%)
minecraft.picked_up.leather_horse_armor: #2, 1(11%)
minecraft.mined.nether_brick_wall: #2, 37(11%)
minecraft.used.lapis_block: #3, 271(11%)
minecraft.dropped.black_dye: #2, 96(6%)
minecraft.used.white_terracotta: #3, 692(8%)
minecraft.mined.glass_pane: #3, 195(7%)
minecraft.used.dried_kelp_block: #2, 513(4%)
minecraft.picked_up.ink_sac: #3, 1148(6%)
minecraft.mined.lily_pad: #3, 101(11%)
minecraft.used.red_carpet: #3, 1336(8%)
minecraft.crafted.cyan_bed: #2, 5(6%)
minecraft.picked_up.chiseled_red_sandstone: #2, 13(13%)
minecraft.dropped.birch_sapling: #3, 109(8%)
minecraft.crafted.lime_dye: #3, 2062(7%)
minecraft.used.oak_leaves: #3, 4820(6%)
minecraft.picked_up.creeper_head: #2, 1(25%)
minecraft.mined.red_sand: #3, 8813(12%)
minecraft.crafted.mossy_cobblestone: #3, 523(11%)
minecraft.picked_up.mycelium: #3, 3151(11%)
minecraft.used.pink_bed: #3, 30(16%)
minecraft.picked_up.brown_concrete_powder: #4, 457(15%)
minecraft.dropped.sea_lantern: #2, 531(3%)
minecraft.dropped.gray_stained_glass: #2, 101(6%)
minecraft.crafted.brown_concrete_powder: #3, 896(11%)
minecraft.crafted.bucket: #4, 317(10%)
minecraft.used.spruce_fence_gate: #3, 471(8%)
minecraft.crafted.smithing_table: #3, 308(16%)
minecraft.mined.oak_wall_sign: #4, 326(10%)
minecraft.mined.iron_block: #4, 4029(10%)
minecraft.crafted.nether_brick_stairs: #3, 664(12%)
minecraft.picked_up.acacia_slab: #3, 81(13%)
minecraft.picked_up.smooth_red_sandstone: #2, 337(13%)
minecraft.dropped.seagrass: #3, 60(12%)
minecraft.crafted.spruce_planks: #4, 39650(9%)
minecraft.dropped.acacia_log: #3, 115(11%)
minecraft.mined.gray_wall_banner: #2, 5(13%)
minecraft.dropped.glass: #3, 776(7%)
minecraft.mined.jungle_button: #3, 24(20%)
minecraft.mined.spruce_fence: #4, 705(11%)
minecraft.custom.inspect_hopper: #4, 4853(10%)
minecraft.crafted.diorite_stairs: #2, 8(9%)
minecraft.dropped.spruce_sign: #2, 17(4%)
minecraft.crafted.nether_brick: #3, 3707(12%)
minecraft.mined.cut_sandstone: #4, 370(13%)
minecraft.mined.chiseled_red_sandstone: #2, 13(12%)
minecraft.used.armor_stand: #3, 209(6%)
minecraft.used.ender_pearl: #4, 1294(9%)
minecraft.picked_up.sea_lantern: #3, 2056(6%)
minecraft.mined.red_sandstone: #2, 20(9%)
minecraft.used.jungle_leaves: #4, 1240(12%)
minecraft.used.dark_oak_stairs: #4, 2328(10%)
minecraft.dropped.yellow_concrete: #3, 133(17%)
minecraft.dropped.lime_terracotta: #2, 75(3%)
minecraft.mined.brain_coral_block: #3, 534(10%)
minecraft.picked_up.jungle_button: #3, 29(17%)
minecraft.mined.green_concrete_powder: #3, 197(10%)
minecraft.picked_up.pufferfish: #4, 236(10%)
minecraft.dropped.mycelium: #2, 2023(16%)
minecraft.mined.blue_wool: #3, 143(9%)
minecraft.picked_up.smooth_red_sandstone_slab: #2, 30(16%)
minecraft.crafted.andesite_slab: #3, 1332(15%)
minecraft.crafted.jungle_fence: #3, 243(11%)
minecraft.picked_up.gray_stained_glass: #3, 529(9%)
minecraft.used.brick_wall: #2, 73(6%)
minecraft.used.purple_wool: #3, 367(10%)
minecraft.mined.black_glazed_terracotta: #3, 25(19%)
minecraft.picked_up.yellow_terracotta: #3, 2048(7%)
minecraft.dropped.rabbit: #3, 5(16%)
minecraft.mined.pink_stained_glass_pane: #3, 7(12%)
minecraft.mined.cyan_stained_glass_pane: #3, 28(12%)
minecraft.mined.pink_tulip: #4, 63(13%)
minecraft.used.diamond_axe: #4, 92580(8%)
minecraft.mined.smooth_red_sandstone_slab: #2, 29(14%)
minecraft.dropped.prismarine_shard: #3, 5336(9%)
minecraft.crafted.green_stained_glass_pane: #3, 272(16%)
minecraft.crafted.brown_terracotta: #3, 1928(14%)
minecraft.mined.attached_pumpkin_stem: #3, 6(12%)
minecraft.crafted.cut_red_sandstone: #2, 88(9%)
minecraft.dropped.player_head: #4, 220(9%)
minecraft.picked_up.granite_slab: #2, 17(7%)
minecraft.used.lantern: #4, 1006(11%)
minecraft.used.cartography_table: #3, 12(13%)
minecraft.mined.yellow_terracotta: #3, 1864(7%)
minecraft.picked_up.iron_nugget: #3, 186(7%)
minecraft.picked_up.cut_red_sandstone: #2, 8(13%)
minecraft.used.melon: #2, 74(2%)
minecraft.used.gray_terracotta: #3, 3265(14%)
minecraft.crafted.brick_wall: #2, 72(8%)
minecraft.crafted.black_bed: #2, 6(3%)
minecraft.used.chiseled_red_sandstone: #2, 138(8%)
minecraft.crafted.iron_ingot: #4, 33245(9%)
minecraft.crafted.smooth_sandstone_stairs: #2, 216(4%)
minecraft.mined.cut_red_sandstone: #2, 8(11%)
minecraft.used.polished_diorite_stairs: #3, 260(20%)
minecraft.used.stone_bricks: #4, 32184(8%)
minecraft.dropped.red_stained_glass: #3, 41(11%)
minecraft.mined.white_wool: #4, 274(10%)
minecraft.custom.damage_dealt_absorbed: #2, 80(7%)
minecraft.dropped.purple_dye: #2, 1(7%)
minecraft.picked_up.brain_coral_block: #3, 530(9%)
minecraft.used.polished_diorite: #3, 1256(7%)
