stat, rank, value, (percentage) 
minecraft.killed_by.guardian: #9, 1(0%)
minecraft.dropped.blaze_powder: #9, 1(0%)
minecraft.picked_up.stripped_spruce_wood: #9, 1(0%)
minecraft.mined.stripped_spruce_wood: #9, 1(0%)
minecraft.crafted.arrow: #9, 4(0%)
minecraft.used.water_bucket: #10, 2620(4%)
minecraft.crafted.diamond_chestplate: #10, 3(4%)
minecraft.picked_up.magma_cream: #10, 39(4%)
minecraft.custom.swim_one_cm: #10, 6880305(3%)
minecraft.killed.magma_cube: #10, 107(4%)
minecraft.crafted.diamond_boots: #10, 5(3%)
minecraft.picked_up.ender_chest: #10, 407(3%)
minecraft.used.nether_quartz_ore: #10, 1405(3%)
minecraft.mined.brewing_stand: #10, 14(3%)
minecraft.mined.ender_chest: #10, 389(3%)
minecraft.crafted.white_concrete_powder: #10, 11392(3%)
minecraft.picked_up.black_carpet: #10, 70(3%)
minecraft.used.white_concrete_powder: #10, 10235(3%)
minecraft.mined.farmland: #10, 116(3%)
minecraft.picked_up.potato: #10, 2671(2%)
minecraft.picked_up.glowstone: #10, 498(3%)
minecraft.used.lantern: #10, 237(3%)
minecraft.used.stone_pickaxe: #10, 386(2%)
minecraft.used.red_concrete: #10, 498(3%)
minecraft.picked_up.red_carpet: #10, 92(3%)
minecraft.mined.bookshelf: #10, 124(2%)
minecraft.crafted.lime_concrete_powder: #10, 320(3%)
minecraft.used.lime_concrete_powder: #10, 260(3%)
minecraft.dropped.wheat: #10, 48(2%)
minecraft.crafted.blue_dye: #10, 563(2%)
minecraft.crafted.wooden_axe: #10, 1(3%)
minecraft.mined.black_carpet: #10, 25(2%)
minecraft.crafted.stone_axe: #10, 4(2%)
minecraft.picked_up.purpur_pillar: #10, 87(3%)
minecraft.crafted.yellow_concrete_powder: #10, 656(2%)
minecraft.used.potato: #10, 624(2%)
minecraft.dropped.cooked_beef: #10, 41(2%)
minecraft.used.red_concrete_powder: #10, 450(2%)
minecraft.picked_up.nether_brick_fence: #10, 28(3%)
minecraft.crafted.green_dye: #10, 1256(2%)
minecraft.mined.white_concrete_powder: #10, 135(2%)
minecraft.crafted.red_concrete_powder: #10, 448(2%)
minecraft.crafted.cauldron: #10, 24(2%)
minecraft.crafted.gray_carpet: #10, 382(2%)
minecraft.mined.end_stone: #10, 379(2%)
minecraft.crafted.blue_stained_glass: #10, 344(2%)
minecraft.picked_up.smooth_stone: #10, 401(1%)
minecraft.crafted.polished_granite: #10, 256(1%)
minecraft.used.dark_oak_log: #10, 559(1%)
minecraft.dropped.white_concrete: #10, 116(1%)
minecraft.crafted.nether_brick_slab: #10, 126(2%)
minecraft.used.red_bed: #10, 8(1%)
minecraft.picked_up.blaze_rod: #10, 94(1%)
minecraft.picked_up.spruce_leaves: #10, 790(1%)
minecraft.picked_up.azure_bluet: #10, 62(1%)
minecraft.mined.lime_stained_glass_pane: #10, 8(1%)
minecraft.crafted.beacon: #10, 4(1%)
minecraft.crafted.yellow_dye: #10, 263(1%)
minecraft.picked_up.sea_pickle: #10, 133(1%)
minecraft.picked_up.yellow_dye: #10, 28(1%)
minecraft.used.wither_skeleton_skull: #10, 14(1%)
minecraft.mined.smooth_quartz_slab: #10, 37(1%)
minecraft.dropped.iron_bars: #10, 42(1%)
minecraft.crafted.yellow_bed: #10, 1(1%)
minecraft.used.pufferfish_bucket: #10, 4(1%)
minecraft.crafted.polished_diorite: #10, 128(1%)
minecraft.picked_up.purple_bed: #10, 3(1%)
minecraft.dropped.stone_axe: #10, 1(1%)
minecraft.used.purple_bed: #10, 3(1%)
minecraft.crafted.black_banner: #10, 4(1%)
minecraft.mined.red_bed: #10, 4(1%)
minecraft.used.jukebox: #10, 2(1%)
minecraft.used.chorus_fruit: #10, 2(1%)
minecraft.used.red_stained_glass: #10, 126(1%)
minecraft.picked_up.emerald: #10, 231(0%)
minecraft.mined.purple_bed: #10, 2(1%)
minecraft.picked_up.smooth_quartz_slab: #10, 31(1%)
minecraft.mined.gray_concrete_powder: #10, 29(0%)
minecraft.dropped.pumpkin: #10, 24(0%)
minecraft.used.spruce_wood: #10, 29(0%)
minecraft.used.orange_terracotta: #10, 67(0%)
minecraft.mined.blue_stained_glass: #10, 10(0%)
minecraft.used.black_stained_glass_pane: #10, 20(0%)
minecraft.picked_up.horn_coral_block: #10, 14(0%)
minecraft.used.purple_wool: #10, 10(0%)
minecraft.mined.purple_carpet: #10, 1(0%)
minecraft.picked_up.purple_carpet: #10, 1(0%)
minecraft.crafted.grindstone: #10, 2(0%)
minecraft.picked_up.brain_coral: #10, 1(0%)
minecraft.mined.dark_oak_wood: #10, 2(0%)
minecraft.mined.acacia_wood: #10, 2(0%)
minecraft.picked_up.acacia_wood: #10, 2(0%)
minecraft.dropped.blaze_rod: #10, 1(0%)
minecraft.killed.pillager: #10, 44(0%)
minecraft.picked_up.diamond_helmet: #11, 36(4%)
minecraft.used.bucket: #11, 2677(4%)
minecraft.mined.grass: #11, 2176(3%)
minecraft.used.baked_potato: #11, 606(3%)
minecraft.killed.zombie_villager: #11, 12(3%)
minecraft.mined.grass_path: #11, 252(3%)
minecraft.crafted.diamond_block: #11, 264(3%)
minecraft.crafted.iron_axe: #11, 7(2%)
minecraft.picked_up.brewing_stand: #11, 14(3%)
minecraft.used.ender_chest: #11, 368(2%)
minecraft.crafted.lapis_block: #11, 287(2%)
minecraft.dropped.ender_chest: #11, 4(4%)
minecraft.dropped.bone: #11, 433(2%)
minecraft.crafted.stone_hoe: #11, 3(2%)
minecraft.crafted.diamond_helmet: #11, 3(2%)
minecraft.killed.salmon: #11, 11(2%)
minecraft.used.grass_block: #11, 5379(2%)
minecraft.picked_up.white_concrete: #11, 5648(2%)
minecraft.picked_up.red_dye: #11, 78(3%)
minecraft.mined.dark_oak_fence: #11, 87(2%)
minecraft.dropped.iron_pickaxe: #11, 2(2%)
minecraft.mined.lantern: #11, 29(2%)
minecraft.used.milk_bucket: #11, 6(2%)
minecraft.dropped.iron_ingot: #11, 240(1%)
minecraft.crafted.pink_dye: #11, 128(2%)
minecraft.picked_up.sea_lantern: #11, 490(1%)
minecraft.picked_up.end_stone: #11, 394(2%)
minecraft.picked_up.allium: #11, 30(2%)
minecraft.picked_up.nether_quartz_ore: #11, 829(1%)
minecraft.crafted.leather_helmet: #11, 3(2%)
minecraft.mined.spruce_leaves: #11, 1137(1%)
minecraft.picked_up.dark_oak_leaves: #11, 135(2%)
minecraft.used.dragon_head: #11, 2(2%)
minecraft.mined.glowstone: #11, 252(1%)
minecraft.dropped.stone_sword: #11, 16(1%)
minecraft.picked_up.light_gray_dye: #11, 32(2%)
minecraft.crafted.bookshelf: #11, 117(1%)
minecraft.picked_up.nether_brick_slab: #11, 59(1%)
minecraft.crafted.jungle_boat: #11, 1(1%)
minecraft.dropped.carrot: #11, 1024(1%)
minecraft.crafted.red_carpet: #11, 181(1%)
minecraft.crafted.red_stained_glass: #11, 352(1%)
minecraft.picked_up.glowstone_dust: #11, 231(1%)
minecraft.picked_up.light_blue_stained_glass_pane: #11, 10(1%)
minecraft.used.nether_brick_slab: #11, 69(1%)
minecraft.crafted.brewing_stand: #11, 5(1%)
minecraft.crafted.golden_leggings: #11, 1(1%)
minecraft.crafted.golden_apple: #11, 10(1%)
minecraft.used.end_stone: #11, 85(1%)
minecraft.mined.black_wool: #11, 14(1%)
minecraft.picked_up.light_blue_dye: #11, 10(1%)
minecraft.crafted.compass: #11, 12(1%)
minecraft.dropped.prismarine_crystals: #11, 143(1%)
minecraft.crafted.spruce_wood: #11, 42(1%)
minecraft.used.dark_oak_fence_gate: #11, 11(1%)
minecraft.picked_up.brown_terracotta: #11, 171(0%)
minecraft.crafted.dark_oak_fence_gate: #11, 10(0%)
minecraft.mined.red_stained_glass: #11, 12(0%)
minecraft.used.light_blue_bed: #11, 2(0%)
minecraft.killed.enderman: #11, 77(0%)
minecraft.dropped.mossy_stone_bricks: #11, 1(0%)
minecraft.picked_up.fern: #11, 18(0%)
minecraft.mined.spruce_wood: #11, 4(0%)
minecraft.picked_up.gray_concrete_powder: #11, 100(0%)
minecraft.crafted.smoker: #11, 2(0%)
minecraft.crafted.golden_carrot: #11, 142(0%)
minecraft.mined.cyan_bed: #11, 1(0%)
minecraft.picked_up.cyan_bed: #11, 1(0%)
minecraft.used.acacia_trapdoor: #11, 12(0%)
minecraft.crafted.light_gray_wool: #11, 12(0%)
minecraft.crafted.blast_furnace: #11, 1(0%)
minecraft.crafted.nether_bricks: #11, 44(0%)
minecraft.crafted.red_terracotta: #11, 12(0%)
minecraft.killed.vindicator: #11, 9(0%)
minecraft.killed.evoker: #11, 1(0%)
minecraft.picked_up.iron_chestplate: #12, 10(4%)
minecraft.picked_up.chest: #12, 891(4%)
minecraft.picked_up.golden_boots: #12, 15(4%)
minecraft.custom.aviate_one_cm: #12, 250049676(3%)
minecraft.picked_up.golden_chestplate: #12, 12(3%)
minecraft.picked_up.diamond_boots: #12, 35(3%)
minecraft.picked_up.leather_boots: #12, 16(3%)
minecraft.picked_up.spruce_boat: #12, 44(3%)
minecraft.picked_up.diamond_sword: #12, 37(2%)
minecraft.dropped.diamond_sword: #12, 6(2%)
minecraft.mined.quartz_block: #12, 194(3%)
minecraft.custom.enchant_item: #12, 123(3%)
minecraft.picked_up.player_head: #12, 329(2%)
minecraft.crafted.white_dye: #12, 1684(2%)
minecraft.dropped.golden_chestplate: #12, 6(2%)
minecraft.crafted.dark_oak_sign: #12, 12(2%)
minecraft.picked_up.chainmail_boots: #12, 3(2%)
minecraft.mined.dark_oak_stairs: #12, 102(2%)
minecraft.picked_up.ghast_tear: #12, 20(2%)
minecraft.picked_up.oak_pressure_plate: #12, 8(2%)
minecraft.picked_up.potion: #12, 36(1%)
minecraft.picked_up.golden_carrot: #12, 414(1%)
minecraft.picked_up.grass_block: #12, 6742(1%)
minecraft.dropped.arrow: #12, 398(1%)
minecraft.picked_up.book: #12, 164(1%)
minecraft.picked_up.white_stained_glass: #12, 258(1%)
minecraft.crafted.smooth_stone: #12, 421(1%)
minecraft.picked_up.fishing_rod: #12, 3(1%)
minecraft.crafted.light_blue_stained_glass: #12, 512(1%)
minecraft.picked_up.dark_oak_log: #12, 1137(1%)
minecraft.mined.redstone_lamp: #12, 17(1%)
minecraft.used.gray_carpet: #12, 219(1%)
minecraft.crafted.green_concrete_powder: #12, 336(1%)
minecraft.used.red_carpet: #12, 146(1%)
minecraft.used.birch_log: #12, 127(1%)
minecraft.used.green_concrete_powder: #12, 306(1%)
minecraft.mined.gray_shulker_box: #12, 29(1%)
minecraft.picked_up.gray_shulker_box: #12, 29(1%)
minecraft.picked_up.red_bed: #12, 4(1%)
minecraft.picked_up.crossbow: #12, 6(1%)
minecraft.crafted.gold_nugget: #12, 1485(1%)
minecraft.dropped.prismarine_shard: #12, 406(1%)
minecraft.dropped.diamond_block: #12, 9(1%)
minecraft.picked_up.redstone_lamp: #12, 15(1%)
minecraft.dropped.brown_mushroom: #12, 5(0%)
minecraft.custom.eat_cake_slice: #12, 8(0%)
minecraft.killed.blaze: #12, 97(0%)
minecraft.mined.brown_terracotta: #12, 127(0%)
minecraft.mined.red_concrete_powder: #12, 2(0%)
minecraft.dropped.filled_map: #12, 1(0%)
minecraft.dropped.glowstone: #12, 6(0%)
minecraft.custom.bell_ring: #12, 5(0%)
minecraft.used.lilac: #12, 3(0%)
minecraft.dropped.polished_diorite: #12, 3(0%)
minecraft.mined.light_blue_bed: #12, 1(0%)
minecraft.picked_up.spruce_wood: #12, 4(0%)
minecraft.picked_up.light_blue_bed: #12, 1(0%)
minecraft.dropped.rose_bush: #12, 1(0%)
minecraft.dropped.green_dye: #12, 64(0%)
minecraft.used.peony: #12, 1(0%)
minecraft.mined.blue_orchid: #12, 1(0%)
minecraft.used.podzol: #12, 4(0%)
minecraft.used.smooth_quartz: #12, 8(0%)
minecraft.dropped.cracked_stone_bricks: #12, 1(0%)
minecraft.picked_up.polished_andesite_stairs: #12, 1(0%)
minecraft.dropped.quartz_block: #12, 6(0%)
minecraft.killed.witch: #12, 5(0%)
minecraft.picked_up.elytra: #13, 42(3%)
minecraft.used.quartz_block: #13, 356(2%)
minecraft.used.golden_carrot: #13, 1030(2%)
minecraft.dropped.elytra: #13, 4(2%)
minecraft.picked_up.diamond_shovel: #13, 24(2%)
minecraft.custom.interact_with_lectern: #13, 51(2%)
minecraft.mined.gravel: #13, 11223(1%)
minecraft.picked_up.gravel: #13, 11507(2%)
minecraft.picked_up.lantern: #13, 66(2%)
minecraft.used.white_concrete: #13, 5350(1%)
minecraft.mined.white_concrete: #13, 5402(1%)
minecraft.killed.guardian: #13, 3519(2%)
minecraft.used.iron_door: #13, 20(2%)
minecraft.mined.spruce_fence: #13, 92(1%)
minecraft.used.glowstone: #13, 184(1%)
minecraft.mined.fern: #13, 37(1%)
minecraft.dropped.oak_leaves: #13, 80(2%)
minecraft.used.end_rod: #13, 245(1%)
minecraft.crafted.iron_door: #13, 12(1%)
minecraft.custom.player_kills: #13, 1(2%)
minecraft.picked_up.phantom_membrane: #13, 55(1%)
minecraft.picked_up.cooked_chicken: #13, 135(1%)
minecraft.crafted.white_carpet: #13, 195(1%)
minecraft.crafted.red_dye: #13, 461(1%)
minecraft.used.brewing_stand: #13, 6(1%)
minecraft.custom.damage_resisted: #13, 4531(1%)
minecraft.mined.light_gray_carpet: #13, 25(1%)
minecraft.used.redstone_ore: #13, 249(1%)
minecraft.dropped.chainmail_helmet: #13, 1(2%)
minecraft.dropped.trident: #13, 2(1%)
minecraft.killed_by.skeleton: #13, 1(1%)
minecraft.crafted.stone_shovel: #13, 4(1%)
minecraft.dropped.crafting_table: #13, 4(1%)
minecraft.mined.white_stained_glass: #13, 160(1%)
minecraft.crafted.white_stained_glass_pane: #13, 248(1%)
minecraft.crafted.fermented_spider_eye: #13, 5(1%)
minecraft.picked_up.pink_shulker_box: #13, 25(1%)
minecraft.mined.jungle_leaves: #13, 158(1%)
minecraft.crafted.magenta_dye: #13, 64(1%)
minecraft.used.gray_shulker_box: #13, 29(1%)
minecraft.picked_up.black_stained_glass: #13, 50(1%)
minecraft.mined.carrots: #13, 186(1%)
minecraft.used.spruce_pressure_plate: #13, 3(1%)
minecraft.mined.sugar_cane: #13, 407(1%)
minecraft.picked_up.milk_bucket: #13, 1(1%)
minecraft.killed.horse: #13, 1(1%)
minecraft.dropped.slime_ball: #13, 47(1%)
minecraft.used.white_stained_glass: #13, 518(0%)
minecraft.mined.yellow_carpet: #13, 3(1%)
minecraft.picked_up.spruce_fence_gate: #13, 7(1%)
minecraft.dropped.shulker_box: #13, 5(0%)
minecraft.used.smoker: #13, 2(0%)
minecraft.picked_up.purple_stained_glass: #13, 35(1%)
minecraft.mined.allium: #13, 4(0%)
minecraft.picked_up.green_concrete: #13, 41(0%)
minecraft.crafted.map: #13, 6(0%)
minecraft.used.yellow_bed: #13, 2(0%)
minecraft.dropped.bowl: #13, 1(0%)
minecraft.crafted.glowstone: #13, 48(0%)
minecraft.used.grindstone: #13, 2(0%)
minecraft.dropped.cod: #13, 135(0%)
minecraft.dropped.end_rod: #13, 5(0%)
minecraft.mined.yellow_bed: #13, 1(0%)
minecraft.used.blast_furnace: #13, 1(0%)
minecraft.mined.smooth_quartz: #13, 8(0%)
minecraft.picked_up.yellow_bed: #13, 1(0%)
minecraft.picked_up.bowl: #13, 1(0%)
minecraft.mined.green_concrete: #13, 19(0%)
minecraft.picked_up.dark_oak_fence_gate: #13, 1(0%)
minecraft.killed.villager: #13, 2(0%)
minecraft.crafted.pumpkin_seeds: #13, 8(0%)
minecraft.dropped.azure_bluet: #13, 3(0%)
minecraft.picked_up.iron_ingot: #13, 717(0%)
minecraft.dropped.iron_axe: #13, 1(0%)
minecraft.mined.polished_andesite_stairs: #13, 1(0%)
minecraft.used.grass: #13, 1(0%)
minecraft.crafted.black_terracotta: #13, 12(0%)
minecraft.dropped.white_stained_glass: #13, 1(0%)
minecraft.used.polished_andesite_stairs: #13, 1(0%)
minecraft.crafted.packed_ice: #13, 1(0%)
minecraft.used.spruce_stairs: #14, 596(2%)
minecraft.killed.zombie: #14, 394(2%)
minecraft.picked_up.bone: #14, 1672(2%)
minecraft.crafted.diamond_leggings: #14, 3(2%)
minecraft.picked_up.diamond_leggings: #14, 23(2%)
minecraft.killed.spider: #14, 83(2%)
minecraft.used.spruce_boat: #14, 35(2%)
minecraft.killed.ghast: #14, 52(3%)
minecraft.used.anvil: #14, 31(2%)
minecraft.picked_up.diamond_pickaxe: #14, 42(2%)
minecraft.used.painting: #14, 65(2%)
minecraft.mined.chest: #14, 309(2%)
minecraft.dropped.bucket: #14, 10(2%)
minecraft.crafted.bone_meal: #14, 15076(1%)
minecraft.used.damaged_anvil: #14, 4(2%)
minecraft.dropped.golden_leggings: #14, 4(2%)
minecraft.picked_up.prismarine_crystals: #14, 1597(1%)
minecraft.picked_up.spruce_log: #14, 2545(1%)
minecraft.mined.damaged_anvil: #14, 4(2%)
minecraft.picked_up.spruce_fence: #14, 120(1%)
minecraft.picked_up.dark_oak_stairs: #14, 95(1%)
minecraft.picked_up.damaged_anvil: #14, 4(2%)
minecraft.used.sea_lantern: #14, 864(1%)
minecraft.dropped.golden_carrot: #14, 73(1%)
minecraft.dropped.leather_helmet: #14, 3(1%)
minecraft.mined.dark_oak_planks: #14, 120(1%)
minecraft.picked_up.spruce_sapling: #14, 222(1%)
minecraft.picked_up.cyan_terracotta: #14, 830(1%)
minecraft.dropped.rotten_flesh: #14, 472(1%)
minecraft.picked_up.prismarine_shard: #14, 3594(1%)
minecraft.picked_up.light_gray_shulker_box: #14, 50(1%)
minecraft.mined.oak_button: #14, 3(1%)
minecraft.used.cooked_beef: #14, 184(1%)
minecraft.broken.diamond_pickaxe: #14, 1(1%)
minecraft.used.gold_block: #14, 169(1%)
minecraft.mined.red_mushroom: #14, 8(1%)
minecraft.picked_up.item_frame: #14, 47(1%)
minecraft.dropped.player_head: #14, 15(1%)
minecraft.picked_up.nether_star: #14, 4(1%)
minecraft.crafted.leather_boots: #14, 7(1%)
minecraft.crafted.dark_oak_slab: #14, 282(1%)
minecraft.custom.interact_with_smoker: #14, 4(1%)
minecraft.killed.phantom: #14, 35(1%)
minecraft.dropped.red_mushroom: #14, 4(1%)
minecraft.mined.dark_oak_leaves: #14, 92(1%)
minecraft.mined.light_gray_shulker_box: #14, 29(1%)
minecraft.used.light_gray_shulker_box: #14, 29(1%)
minecraft.dropped.spruce_slab: #14, 12(1%)
minecraft.dropped.cobblestone_wall: #14, 9(1%)
minecraft.crafted.shield: #14, 4(1%)
minecraft.mined.spruce_fence_gate: #14, 5(1%)
minecraft.custom.damage_blocked_by_shield: #14, 636(1%)
minecraft.dropped.stone_shovel: #14, 1(1%)
minecraft.used.sandstone_stairs: #14, 43(0%)
minecraft.picked_up.tropical_fish: #14, 2(0%)
minecraft.picked_up.white_concrete_powder: #14, 719(0%)
minecraft.picked_up.lapis_block: #14, 10(0%)
minecraft.picked_up.light_gray_concrete_powder: #14, 103(0%)
minecraft.used.cracked_stone_bricks: #14, 43(0%)
minecraft.picked_up.gray_concrete: #14, 332(0%)
minecraft.crafted.dark_oak_boat: #14, 1(0%)
minecraft.picked_up.light_gray_concrete: #14, 131(0%)
minecraft.dropped.spruce_button: #14, 1(0%)
minecraft.picked_up.light_gray_carpet: #14, 26(0%)
minecraft.picked_up.cooked_salmon: #14, 5(0%)
minecraft.used.yellow_terracotta: #14, 24(0%)
minecraft.mined.emerald_block: #14, 4(0%)
minecraft.mined.mossy_stone_bricks: #14, 4(0%)
minecraft.dropped.obsidian: #14, 6(0%)
minecraft.crafted.iron_block: #14, 353(0%)
minecraft.used.cut_sandstone: #14, 25(0%)
minecraft.dropped.sea_lantern: #14, 58(0%)
minecraft.picked_up.emerald_block: #14, 4(0%)
minecraft.used.pumpkin_seeds: #14, 9(0%)
minecraft.mined.dark_oak_fence_gate: #14, 1(0%)
minecraft.used.crossbow: #14, 5(0%)
minecraft.dropped.oxeye_daisy: #14, 3(0%)
minecraft.used.spruce_fence_gate: #14, 8(0%)
minecraft.mined.magenta_stained_glass: #14, 1(0%)
minecraft.mined.gray_stained_glass: #14, 3(0%)
minecraft.used.lime_concrete: #14, 11(0%)
minecraft.picked_up.green_dye: #14, 74(0%)
minecraft.dropped.nether_bricks: #14, 1(0%)
minecraft.dropped.sandstone_slab: #14, 1(0%)
minecraft.picked_up.podzol: #14, 6(0%)
minecraft.used.acacia_sapling: #14, 3(0%)
minecraft.used.dark_oak_sapling: #14, 4(0%)
minecraft.crafted.red_wool: #14, 2(0%)
minecraft.dropped.spruce_leaves: #14, 1(0%)
minecraft.picked_up.blue_orchid: #14, 1(0%)
minecraft.used.lime_terracotta: #14, 1(0%)
minecraft.custom.crouch_one_cm: #15, 4801527(2%)
minecraft.picked_up.arrow: #15, 1561(2%)
minecraft.crafted.chest: #15, 1202(2%)
minecraft.crafted.crafting_table: #15, 61(2%)
minecraft.crafted.spruce_planks: #15, 9252(2%)
minecraft.picked_up.bow: #15, 95(2%)
minecraft.custom.damage_taken: #15, 107894(1%)
minecraft.crafted.spruce_stairs: #15, 552(2%)
minecraft.mined.shulker_box: #15, 756(2%)
minecraft.used.shulker_box: #15, 763(2%)
minecraft.picked_up.shulker_box: #15, 785(2%)
minecraft.used.firework_rocket: #15, 245(2%)
minecraft.dropped.written_book: #15, 21(2%)
minecraft.crafted.anvil: #15, 18(1%)
minecraft.mined.grass_block: #15, 9175(1%)
minecraft.picked_up.rotten_flesh: #15, 1135(1%)
minecraft.mined.oak_stairs: #15, 57(1%)
minecraft.used.item_frame: #15, 137(1%)
minecraft.picked_up.anvil: #15, 15(1%)
minecraft.dropped.golden_boots: #15, 4(1%)
minecraft.killed.squid: #15, 43(1%)
minecraft.picked_up.charcoal: #15, 6(1%)
minecraft.used.chipped_anvil: #15, 5(1%)
minecraft.dropped.bow: #15, 41(1%)
minecraft.picked_up.diamond_axe: #15, 12(1%)
minecraft.mined.chipped_anvil: #15, 5(1%)
minecraft.used.oak_leaves: #15, 715(1%)
minecraft.picked_up.chipped_anvil: #15, 5(1%)
minecraft.crafted.paper: #15, 6207(1%)
minecraft.used.salmon_bucket: #15, 1(1%)
minecraft.picked_up.pufferfish: #15, 20(1%)
minecraft.mined.spruce_log: #15, 1482(1%)
minecraft.used.netherrack: #15, 1220(1%)
minecraft.crafted.bow: #15, 52(1%)
minecraft.mined.cocoa: #15, 50(1%)
minecraft.picked_up.chainmail_chestplate: #15, 1(1%)
minecraft.crafted.sandstone: #15, 178(1%)
minecraft.picked_up.sugar_cane: #15, 1462(1%)
minecraft.dropped.spruce_planks: #15, 41(1%)
minecraft.mined.smooth_stone_slab: #15, 385(1%)
minecraft.dropped.minecart: #15, 4(1%)
minecraft.crafted.spruce_pressure_plate: #15, 4(1%)
minecraft.used.soul_sand: #15, 149(1%)
minecraft.used.spruce_sign: #15, 14(1%)
minecraft.crafted.flint_and_steel: #15, 3(1%)
minecraft.crafted.light_blue_dye: #15, 144(1%)
minecraft.dropped.ladder: #15, 12(1%)
minecraft.used.white_carpet: #15, 118(1%)
minecraft.picked_up.smooth_stone_slab: #15, 449(1%)
minecraft.dropped.leather_boots: #15, 3(1%)
minecraft.used.ender_pearl: #15, 75(1%)
minecraft.picked_up.gray_wool: #15, 20(1%)
minecraft.picked_up.oxeye_daisy: #15, 34(1%)
minecraft.used.dark_oak_slab: #15, 217(1%)
minecraft.custom.horse_one_cm: #15, 162277(0%)
minecraft.crafted.spruce_sign: #15, 12(1%)
minecraft.picked_up.shears: #15, 4(1%)
minecraft.used.white_stained_glass_pane: #15, 170(1%)
minecraft.crafted.wooden_pickaxe: #15, 1(0%)
minecraft.mined.light_blue_shulker_box: #15, 44(0%)
minecraft.picked_up.light_blue_shulker_box: #15, 44(0%)
minecraft.used.light_blue_shulker_box: #15, 43(0%)
minecraft.crafted.coarse_dirt: #15, 208(0%)
minecraft.crafted.light_gray_dye: #15, 134(0%)
minecraft.mined.tripwire: #15, 10(0%)
minecraft.dropped.spider_eye: #15, 20(0%)
minecraft.used.redstone_lamp: #15, 20(0%)
minecraft.mined.red_wool: #15, 8(0%)
minecraft.mined.acacia_leaves: #15, 75(0%)
minecraft.dropped.soul_sand: #15, 10(0%)
minecraft.crafted.spruce_button: #15, 5(0%)
minecraft.crafted.light_gray_concrete_powder: #15, 304(0%)
minecraft.picked_up.stripped_birch_log: #15, 26(0%)
minecraft.picked_up.pumpkin: #15, 99(0%)
minecraft.mined.terracotta: #15, 632(0%)
minecraft.picked_up.black_wool: #15, 14(0%)
minecraft.crafted.sponge: #15, 31(0%)
minecraft.used.light_gray_concrete_powder: #15, 213(0%)
minecraft.picked_up.wet_sponge: #15, 31(0%)
minecraft.used.sponge: #15, 31(0%)
minecraft.mined.wet_sponge: #15, 31(0%)
minecraft.used.string: #15, 25(0%)
minecraft.used.black_wool: #15, 22(0%)
minecraft.mined.stripped_birch_log: #15, 14(0%)
minecraft.custom.interact_with_blast_furnace: #15, 1(0%)
minecraft.mined.birch_sapling: #15, 1(0%)
minecraft.crafted.cooked_mutton: #15, 4(0%)
minecraft.crafted.heavy_weighted_pressure_plate: #15, 1(0%)
minecraft.used.heavy_weighted_pressure_plate: #15, 1(0%)
minecraft.mined.nether_bricks: #15, 35(0%)
minecraft.crafted.cooked_porkchop: #15, 5(0%)
minecraft.mined.white_tulip: #15, 1(0%)
minecraft.picked_up.acacia_sapling: #15, 13(0%)
minecraft.dropped.sandstone: #15, 14(0%)
minecraft.crafted.oak_wood: #15, 6(0%)
minecraft.crafted.composter: #15, 1(0%)
minecraft.dropped.stone_pressure_plate: #15, 1(0%)
minecraft.used.stripped_birch_log: #15, 4(0%)
minecraft.picked_up.magenta_stained_glass: #15, 1(0%)
minecraft.mined.chiseled_stone_bricks: #15, 1(0%)
minecraft.used.oak_wood: #15, 4(0%)
minecraft.picked_up.sunflower: #15, 2(0%)
minecraft.mined.green_terracotta: #15, 1(0%)
minecraft.picked_up.green_terracotta: #15, 1(0%)
minecraft.used.green_terracotta: #15, 1(0%)
minecraft.custom.open_chest: #16, 17598(2%)
minecraft.custom.damage_dealt: #16, 387163(2%)
minecraft.picked_up.golden_leggings: #16, 10(3%)
minecraft.custom.open_enderchest: #16, 1920(2%)
minecraft.mined.spruce_stairs: #16, 177(2%)
minecraft.crafted.diamond_axe: #16, 3(2%)
minecraft.picked_up.golden_helmet: #16, 6(2%)
minecraft.picked_up.cod: #16, 1685(2%)
minecraft.picked_up.written_book: #16, 29(1%)
minecraft.picked_up.furnace: #16, 67(1%)
minecraft.picked_up.wheat: #16, 1181(2%)
minecraft.used.spruce_log: #16, 572(1%)
minecraft.picked_up.spruce_stairs: #16, 186(1%)
minecraft.picked_up.bone_block: #16, 275(2%)
minecraft.mined.anvil: #16, 14(2%)
minecraft.crafted.dark_oak_planks: #16, 2580(1%)
minecraft.custom.damage_absorbed: #16, 110(2%)
minecraft.crafted.diamond: #16, 802(1%)
minecraft.crafted.iron_sword: #16, 5(1%)
minecraft.mined.stripped_oak_log: #16, 67(1%)
minecraft.custom.animals_bred: #16, 233(1%)
minecraft.picked_up.painting: #16, 44(1%)
minecraft.picked_up.stripped_oak_log: #16, 65(1%)
minecraft.picked_up.spruce_sign: #16, 12(1%)
minecraft.crafted.spruce_fence: #16, 264(1%)
minecraft.picked_up.chainmail_leggings: #16, 2(1%)
minecraft.crafted.spruce_door: #16, 15(1%)
minecraft.crafted.enchanted_book: #16, 44(1%)
minecraft.used.spruce_fence: #16, 202(1%)
minecraft.mined.oak_sign: #16, 9(1%)
minecraft.used.diamond_shovel: #16, 43006(1%)
minecraft.picked_up.iron_door: #16, 8(1%)
