stat, rank, value, (percentage) 
minecraft.mined.light_blue_carpet: #2, 101(28%)
minecraft.dropped.pink_concrete: #1, 130(61%)
minecraft.mined.gold_block: #2, 1570(14%)
minecraft.picked_up.iron_bars: #2, 1810(12%)
minecraft.picked_up.written_book: #2, 219(11%)
minecraft.picked_up.chainmail_boots: #2, 20(14%)
minecraft.mined.light_gray_concrete: #2, 6424(14%)
minecraft.used.light_gray_banner: #1, 32(25%)
minecraft.killed_by.creeper: #2, 15(11%)
minecraft.mined.potted_spruce_sapling: #1, 4(29%)
minecraft.dropped.suspicious_stew: #1, 18(34%)
minecraft.dropped.ladder: #2, 211(16%)
minecraft.dropped.black_banner: #1, 3(33%)
minecraft.picked_up.brown_mushroom: #3, 759(15%)
minecraft.picked_up.light_blue_dye: #2, 222(20%)
minecraft.crafted.diamond_leggings: #2, 14(11%)
minecraft.picked_up.glistering_melon_slice: #1, 12(80%)
minecraft.used.porkchop: #1, 7(32%)
minecraft.crafted.jungle_fence: #2, 474(21%)
minecraft.used.wet_sponge: #2, 34(23%)
minecraft.crafted.oak_door: #2, 75(13%)
minecraft.dropped.terracotta: #2, 580(16%)
minecraft.picked_up.oak_door: #2, 113(14%)
minecraft.dropped.stone_hoe: #2, 14(17%)
minecraft.picked_up.red_concrete_powder: #2, 721(15%)
minecraft.dropped.hopper: #2, 120(17%)
minecraft.picked_up.cake: #2, 30(20%)
minecraft.crafted.black_shulker_box: #2, 24(17%)
minecraft.used.cobblestone: #2, 27341(9%)
minecraft.picked_up.writable_book: #2, 63(12%)
minecraft.picked_up.red_mushroom: #3, 480(15%)
minecraft.crafted.diamond_boots: #2, 16(10%)
minecraft.dropped.emerald_ore: #1, 10(62%)
minecraft.custom.horse_one_cm: #2, 3158028(10%)
minecraft.dropped.blaze_powder: #2, 65(22%)
minecraft.picked_up.pink_dye: #2, 91(20%)
minecraft.mined.glass_pane: #2, 274(9%)
minecraft.picked_up.purple_dye: #2, 61(27%)
minecraft.used.cyan_concrete_powder: #2, 704(14%)
minecraft.killed.iron_golem: #2, 24(24%)
minecraft.picked_up.oak_planks: #3, 3080(11%)
minecraft.picked_up.sponge: #2, 219(16%)
minecraft.picked_up.potion: #3, 323(13%)
minecraft.picked_up.black_banner: #2, 31(16%)
minecraft.crafted.magma_block: #1, 1(100%)
minecraft.crafted.glass_bottle: #3, 771(14%)
minecraft.used.mutton: #2, 11(39%)
minecraft.used.black_glazed_terracotta: #2, 202(25%)
minecraft.killed_by.skeleton: #2, 10(12%)
minecraft.used.firework_rocket: #3, 1719(11%)
minecraft.crafted.blaze_powder: #3, 1140(13%)
minecraft.dropped.bone_meal: #3, 1289(12%)
minecraft.used.glass_bottle: #3, 762(14%)
minecraft.picked_up.oak_sign: #3, 1051(11%)
minecraft.picked_up.ghast_tear: #3, 145(15%)
minecraft.picked_up.ladder: #3, 1495(13%)
minecraft.picked_up.lever: #2, 431(8%)
minecraft.crafted.magma_cream: #2, 44(17%)
minecraft.mined.black_glazed_terracotta: #2, 33(24%)
minecraft.mined.chest: #3, 2074(11%)
minecraft.crafted.diamond_pickaxe: #3, 62(11%)
minecraft.dropped.dark_oak_fence_gate: #2, 16(18%)
minecraft.crafted.stone_hoe: #3, 16(12%)
minecraft.mined.hopper: #3, 1337(11%)
minecraft.killed.creeper: #3, 832(10%)
minecraft.dropped.torch: #3, 1308(11%)
minecraft.picked_up.trapped_chest: #2, 16(16%)
minecraft.picked_up.yellow_stained_glass: #3, 520(14%)
minecraft.picked_up.bone: #3, 6987(8%)
minecraft.crafted.diamond_shovel: #3, 35(11%)
minecraft.picked_up.dispenser: #3, 321(11%)
minecraft.picked_up.cobblestone_stairs: #3, 671(11%)
minecraft.picked_up.birch_button: #2, 895(11%)
minecraft.mined.brown_carpet: #3, 140(16%)
minecraft.crafted.diamond_helmet: #3, 15(11%)
minecraft.dropped.andesite: #3, 5989(10%)
minecraft.crafted.brewing_stand: #3, 72(13%)
minecraft.dropped.stone: #3, 47263(10%)
minecraft.picked_up.cooked_porkchop: #2, 227(7%)
minecraft.picked_up.spruce_planks: #3, 3365(9%)
minecraft.mined.birch_button: #2, 890(11%)
minecraft.mined.light_blue_wool: #3, 190(18%)
minecraft.picked_up.dark_oak_fence_gate: #3, 105(17%)
minecraft.crafted.torch: #3, 20976(9%)
minecraft.used.stripped_oak_log: #3, 262(12%)
minecraft.mined.infested_cobblestone: #2, 2(18%)
minecraft.picked_up.furnace: #3, 408(9%)
minecraft.used.gold_block: #3, 2164(12%)
minecraft.used.wooden_pickaxe: #3, 98(9%)
minecraft.used.red_concrete: #3, 2142(11%)
minecraft.picked_up.bucket: #3, 114(10%)
minecraft.mined.potted_oak_sapling: #2, 2(29%)
minecraft.dropped.black_wool: #3, 59(16%)
minecraft.picked_up.diamond_chestplate: #3, 23(11%)
minecraft.picked_up.brown_carpet: #3, 236(14%)
minecraft.mined.green_banner: #2, 3(19%)
minecraft.used.spider_eye: #2, 3(38%)
minecraft.dropped.gravel: #3, 2528(9%)
minecraft.crafted.tipped_arrow: #2, 880(36%)
minecraft.picked_up.golden_leggings: #3, 33(9%)
minecraft.dropped.melon_slice: #2, 705(15%)
minecraft.dropped.lever: #3, 81(11%)
minecraft.used.rotten_flesh: #3, 56(16%)
minecraft.mined.red_concrete: #3, 2452(11%)
minecraft.picked_up.leather_boots: #3, 46(9%)
minecraft.picked_up.dark_oak_leaves: #3, 998(11%)
minecraft.broken.iron_helmet: #2, 2(11%)
minecraft.crafted.oak_boat: #3, 37(8%)
minecraft.picked_up.gray_banner: #2, 13(15%)
minecraft.killed_by.cave_spider: #2, 1(17%)
minecraft.picked_up.shears: #3, 64(8%)
minecraft.picked_up.wet_sponge: #3, 1347(10%)
minecraft.broken.diamond_hoe: #2, 1(20%)
minecraft.used.iron_sword: #3, 1202(7%)
minecraft.picked_up.cyan_stained_glass_pane: #3, 94(16%)
minecraft.dropped.light_blue_stained_glass: #3, 64(15%)
minecraft.custom.enchant_item: #3, 377(8%)
minecraft.mined.quartz_pillar: #3, 366(9%)
minecraft.crafted.light_blue_carpet: #3, 195(17%)
minecraft.dropped.end_stone: #3, 75(12%)
minecraft.mined.dead_brain_coral_block: #3, 161(17%)
minecraft.crafted.acacia_button: #3, 26(24%)
minecraft.killed.cave_spider: #2, 499(4%)
minecraft.crafted.jungle_button: #3, 72(17%)
minecraft.crafted.cyan_concrete_powder: #3, 704(10%)
minecraft.picked_up.stripped_oak_log: #3, 354(7%)
minecraft.custom.aviate_one_cm: #5, 1086980517(14%)
minecraft.picked_up.mossy_stone_bricks: #3, 157(8%)
minecraft.crafted.player_head: #3, 515(8%)
minecraft.killed.zombie: #4, 1683(8%)
minecraft.used.cobweb: #2, 288(3%)
minecraft.dropped.cyan_stained_glass: #2, 61(6%)
minecraft.used.jungle_button: #3, 64(16%)
minecraft.mined.stone_pressure_plate: #3, 137(7%)
minecraft.crafted.paper: #4, 72536(11%)
minecraft.picked_up.spruce_stairs: #4, 1314(10%)
