stat, rank, value, (percentage) 
minecraft.picked_up.lime_carpet: #5, 67(7%)
minecraft.mined.end_stone: #5, 1286(5%)
minecraft.crafted.chiseled_red_sandstone: #4, 1(0%)
minecraft.picked_up.cyan_glazed_terracotta: #4, 1(0%)
minecraft.picked_up.cod: #5, 4247(4%)
minecraft.picked_up.end_stone: #5, 1285(5%)
minecraft.used.torch: #6, 23405(7%)
minecraft.picked_up.sugar: #5, 169(6%)
minecraft.mined.emerald_block: #5, 61(5%)
minecraft.dropped.stone_shovel: #5, 10(6%)
minecraft.picked_up.stone_button: #5, 359(4%)
minecraft.dropped.sand: #5, 8674(4%)
minecraft.mined.prismarine_brick_stairs: #5, 56(10%)
minecraft.dropped.redstone_torch: #5, 69(5%)
minecraft.dropped.redstone_lamp: #5, 5(10%)
minecraft.crafted.black_concrete_powder: #5, 6896(5%)
minecraft.crafted.end_crystal: #5, 8(8%)
minecraft.mined.brain_coral_block: #5, 333(6%)
minecraft.dropped.oak_trapdoor: #5, 19(5%)
minecraft.picked_up.cobblestone_wall: #6, 433(8%)
minecraft.used.prismarine: #5, 883(5%)
minecraft.killed_by.enderman: #5, 2(6%)
minecraft.picked_up.yellow_terracotta: #5, 1248(4%)
minecraft.used.lily_pad: #5, 27(7%)
minecraft.picked_up.oak_fence: #6, 444(7%)
minecraft.used.tropical_fish_bucket: #5, 21(5%)
minecraft.custom.swim_one_cm: #6, 15507980(6%)
minecraft.crafted.black_banner: #5, 27(7%)
minecraft.picked_up.pumpkin: #5, 1198(3%)
minecraft.crafted.light_blue_concrete_powder: #5, 752(4%)
minecraft.crafted.activator_rail: #5, 36(5%)
minecraft.killed.snow_golem: #5, 8(5%)
minecraft.used.beef: #5, 4(8%)
minecraft.mined.furnace: #6, 295(6%)
minecraft.picked_up.light_blue_concrete: #5, 688(4%)
minecraft.picked_up.melon_seeds: #5, 36(5%)
minecraft.picked_up.orange_stained_glass: #5, 112(5%)
minecraft.picked_up.diamond_pickaxe: #6, 162(7%)
minecraft.killed_by.phantom: #5, 4(4%)
minecraft.used.gray_banner: #5, 12(8%)
minecraft.used.smooth_stone_slab: #6, 19469(7%)
minecraft.crafted.acacia_fence: #5, 90(5%)
minecraft.picked_up.comparator: #6, 350(7%)
minecraft.used.horn_coral: #5, 12(4%)
minecraft.mined.black_carpet: #6, 86(8%)
minecraft.crafted.ladder: #6, 903(7%)
minecraft.dropped.black_shulker_box: #5, 1(6%)
minecraft.used.glass: #6, 7035(7%)
minecraft.used.brown_terracotta: #5, 622(3%)
minecraft.dropped.quartz_pillar: #5, 18(5%)
minecraft.mined.dark_oak_trapdoor: #6, 148(7%)
minecraft.used.tube_coral_block: #5, 93(3%)
minecraft.killed.wolf: #5, 1(6%)
minecraft.picked_up.cyan_wool: #5, 256(3%)
minecraft.mined.black_concrete_powder: #5, 95(3%)
minecraft.mined.quartz_block: #6, 473(7%)
minecraft.picked_up.golden_helmet: #6, 22(7%)
minecraft.picked_up.crafting_table: #6, 455(5%)
minecraft.picked_up.brain_coral_block: #5, 188(3%)
minecraft.dropped.lapis_ore: #5, 7(4%)
minecraft.custom.open_chest: #7, 45910(6%)
minecraft.picked_up.oak_slab: #6, 607(6%)
minecraft.dropped.smooth_sandstone: #5, 91(3%)
minecraft.picked_up.nether_quartz_ore: #6, 4228(7%)
minecraft.mined.shulker_box: #6, 2178(6%)
minecraft.picked_up.brick_slab: #5, 63(3%)
minecraft.mined.brick_slab: #5, 54(3%)
minecraft.used.shulker_box: #6, 2213(6%)
minecraft.dropped.pumpkin_seeds: #5, 424(2%)
minecraft.picked_up.stone_brick_slab: #6, 1936(6%)
minecraft.dropped.dark_oak_sapling: #5, 6(3%)
minecraft.picked_up.fire_coral_block: #5, 170(3%)
minecraft.picked_up.dead_horn_coral_block: #5, 21(4%)
minecraft.picked_up.spruce_slab: #6, 1103(5%)
minecraft.used.orange_bed: #5, 3(3%)
minecraft.picked_up.turtle_helmet: #5, 3(2%)
minecraft.picked_up.tube_coral_block: #5, 111(2%)
minecraft.dropped.mossy_stone_bricks: #5, 6(3%)
minecraft.used.bubble_coral_fan: #5, 20(2%)
minecraft.used.oak_sign: #6, 772(5%)
minecraft.used.red_concrete_powder: #6, 1440(8%)
minecraft.used.yellow_shulker_box: #6, 457(6%)
minecraft.mined.yellow_shulker_box: #6, 448(6%)
minecraft.crafted.iron_pickaxe: #6, 30(5%)
minecraft.picked_up.lily_pad: #6, 111(7%)
minecraft.custom.trigger_trapped_chest: #6, 175(6%)
minecraft.picked_up.yellow_shulker_box: #6, 458(6%)
minecraft.used.diamond_block: #6, 287(6%)
minecraft.dropped.gray_wool: #5, 9(2%)
minecraft.picked_up.fire_coral: #5, 12(2%)
minecraft.used.light_gray_concrete_powder: #6, 6046(7%)
minecraft.used.red_glazed_terracotta: #5, 26(2%)
minecraft.picked_up.bubble_coral_block: #5, 75(2%)
minecraft.dropped.brick_slab: #5, 3(2%)
minecraft.picked_up.diamond_leggings: #6, 51(5%)
minecraft.crafted.red_concrete_powder: #6, 1440(7%)
minecraft.picked_up.tube_coral: #5, 8(1%)
minecraft.mined.mossy_cobblestone: #6, 147(6%)
minecraft.used.diamond_hoe: #6, 2233(12%)
minecraft.picked_up.black_glazed_terracotta: #5, 55(2%)
minecraft.mined.dead_horn_coral_block: #5, 8(2%)
minecraft.picked_up.brown_stained_glass: #5, 64(1%)
minecraft.picked_up.music_disc_13: #5, 2(2%)
minecraft.picked_up.horn_coral_block: #5, 42(1%)
minecraft.picked_up.prismarine_slab: #5, 25(1%)
minecraft.mined.bubble_coral_block: #5, 43(1%)
minecraft.dropped.bookshelf: #5, 5(2%)
minecraft.picked_up.magma_block: #6, 1233(5%)
minecraft.killed.bat: #6, 46(5%)
minecraft.mined.acacia_fence_gate: #5, 2(2%)
minecraft.used.hopper_minecart: #6, 62(6%)
minecraft.picked_up.acacia_fence_gate: #5, 2(2%)
minecraft.picked_up.horn_coral: #5, 6(1%)
minecraft.crafted.hopper_minecart: #6, 62(6%)
minecraft.used.cyan_stained_glass: #5, 351(1%)
minecraft.dropped.pink_wool: #5, 1(1%)
minecraft.mined.bubble_coral_fan: #5, 6(1%)
minecraft.mined.horn_coral: #5, 5(1%)
minecraft.mined.dropper: #6, 151(6%)
minecraft.mined.bubble_coral: #5, 4(1%)
minecraft.dropped.white_carpet: #6, 38(6%)
minecraft.dropped.coal_ore: #6, 508(6%)
minecraft.custom.clean_shulker_box: #5, 1(1%)
minecraft.dropped.iron_ingot: #6, 762(5%)
minecraft.dropped.obsidian: #6, 106(6%)
minecraft.picked_up.red_sandstone: #5, 1(0%)
minecraft.dropped.light_blue_glazed_terracotta: #5, 1(0%)
minecraft.dropped.iron_pickaxe: #6, 5(6%)
minecraft.crafted.red_sandstone: #5, 21(0%)
minecraft.crafted.red_sandstone_slab: #5, 6(0%)
minecraft.picked_up.blue_glazed_terracotta: #5, 1(0%)
minecraft.picked_up.pink_glazed_terracotta: #5, 1(0%)
minecraft.dropped.light_blue_terracotta: #5, 2(0%)
minecraft.picked_up.oak_button: #6, 31(5%)
minecraft.crafted.smooth_sandstone: #6, 3432(7%)
minecraft.mined.glowstone: #6, 987(5%)
minecraft.crafted.spruce_sign: #6, 102(5%)
minecraft.used.black_concrete_powder: #6, 6545(5%)
minecraft.picked_up.blue_carpet: #6, 67(5%)
minecraft.picked_up.prismarine: #6, 1408(5%)
minecraft.dropped.carrot: #6, 4241(4%)
minecraft.mined.redstone_lamp: #6, 73(5%)
minecraft.used.light_blue_wool: #6, 190(5%)
minecraft.dropped.bow: #6, 137(3%)
minecraft.used.milk_bucket: #6, 14(5%)
minecraft.dropped.potato: #6, 682(4%)
minecraft.dropped.white_wool: #7, 148(9%)
minecraft.used.light_blue_concrete_powder: #6, 681(5%)
minecraft.crafted.stone_sword: #6, 14(3%)
minecraft.mined.seagrass: #6, 598(3%)
minecraft.dropped.polished_diorite: #6, 62(5%)
minecraft.crafted.enchanting_table: #6, 2(4%)
minecraft.mined.sponge: #6, 21(6%)
minecraft.mined.brown_concrete: #6, 232(6%)
minecraft.picked_up.bread: #6, 68(4%)
minecraft.mined.clay: #6, 684(3%)
minecraft.picked_up.magenta_stained_glass: #6, 64(5%)
minecraft.mined.spruce_planks: #7, 1772(7%)
minecraft.mined.black_wool: #6, 73(4%)
minecraft.picked_up.brown_terracotta: #6, 1381(4%)
minecraft.picked_up.birch_door: #6, 7(4%)
minecraft.picked_up.iron_leggings: #7, 20(7%)
minecraft.used.lead: #6, 2(6%)
minecraft.picked_up.brick_stairs: #6, 60(5%)
minecraft.dropped.wooden_axe: #6, 1(10%)
minecraft.dropped.chainmail_chestplate: #6, 3(5%)
minecraft.mined.red_glazed_terracotta: #6, 26(6%)
minecraft.crafted.cobblestone_stairs: #6, 672(3%)
minecraft.crafted.crafting_table: #7, 168(6%)
minecraft.crafted.green_shulker_box: #6, 6(3%)
minecraft.crafted.knowledge_book: #6, 1(7%)
minecraft.dropped.totem_of_undying: #6, 6(4%)
minecraft.used.tube_coral_fan: #6, 30(3%)
minecraft.picked_up.leather_helmet: #7, 19(6%)
minecraft.crafted.golden_leggings: #6, 3(4%)
minecraft.picked_up.acacia_leaves: #6, 592(4%)
minecraft.picked_up.light_gray_stained_glass: #6, 216(3%)
minecraft.picked_up.cobblestone: #7, 105974(5%)
minecraft.used.brown_concrete: #6, 78(4%)
minecraft.crafted.golden_chestplate: #6, 3(4%)
minecraft.mined.prismarine: #6, 842(3%)
minecraft.used.hopper: #7, 1970(6%)
minecraft.picked_up.sticky_piston: #7, 448(6%)
minecraft.crafted.light_blue_wool: #6, 34(4%)
minecraft.dropped.purpur_pillar: #6, 26(5%)
minecraft.dropped.iron_hoe: #6, 1(5%)
minecraft.picked_up.stick: #7, 2527(5%)
minecraft.picked_up.brown_mushroom_block: #6, 1014(5%)
minecraft.used.red_carpet: #6, 358(2%)
minecraft.mined.brown_mushroom_block: #6, 817(3%)
minecraft.picked_up.green_dye: #6, 2035(2%)
minecraft.mined.smooth_stone_slab: #7, 3150(7%)
minecraft.crafted.beacon: #6, 8(2%)
minecraft.picked_up.chorus_flower: #6, 63(2%)
minecraft.used.black_wool: #6, 215(2%)
minecraft.crafted.oak_fence: #7, 705(6%)
minecraft.crafted.red_carpet: #6, 327(2%)
minecraft.used.pink_carpet: #6, 29(3%)
minecraft.picked_up.magma_cream: #7, 61(7%)
minecraft.picked_up.ender_eye: #6, 1(4%)
minecraft.picked_up.diamond_sword: #7, 75(5%)
minecraft.picked_up.shulker_box: #7, 2218(5%)
minecraft.custom.eat_cake_slice: #6, 32(2%)
minecraft.dropped.jungle_planks: #6, 33(2%)
minecraft.crafted.pink_carpet: #6, 30(3%)
minecraft.picked_up.diamond_helmet: #7, 50(5%)
minecraft.used.wither_skeleton_skull: #6, 24(2%)
minecraft.crafted.lever: #7, 291(6%)
minecraft.dropped.diamond_ore: #6, 3(4%)
minecraft.used.gold_ore: #6, 43(2%)
minecraft.used.granite: #7, 676(5%)
minecraft.picked_up.diamond_shovel: #7, 72(5%)
minecraft.picked_up.yellow_banner: #6, 11(2%)
minecraft.picked_up.oak_stairs: #7, 299(6%)
minecraft.crafted.smooth_stone_slab: #7, 18654(6%)
minecraft.picked_up.egg: #7, 896(4%)
minecraft.picked_up.water_bucket: #7, 48(5%)
minecraft.used.brick_stairs: #6, 79(2%)
minecraft.mined.wall_torch: #7, 965(5%)
minecraft.mined.soul_sand: #7, 2391(5%)
minecraft.used.minecart: #7, 212(6%)
minecraft.killed.salmon: #7, 29(6%)
minecraft.mined.spruce_fence: #7, 355(5%)
minecraft.mined.farmland: #7, 250(5%)
minecraft.crafted.conduit: #6, 1(2%)
minecraft.dropped.hay_block: #6, 4(3%)
minecraft.mined.brick_stairs: #6, 16(2%)
minecraft.used.piston: #7, 582(5%)
minecraft.used.sponge: #7, 933(7%)
minecraft.picked_up.diamond_axe: #7, 60(5%)
minecraft.used.crossbow: #6, 26(1%)
minecraft.dropped.brown_concrete: #6, 2(2%)
minecraft.mined.tube_coral_block: #6, 65(1%)
minecraft.picked_up.dropper: #7, 230(6%)
minecraft.crafted.cake: #6, 12(1%)
minecraft.dropped.brown_wool: #6, 3(1%)
minecraft.dropped.detector_rail: #6, 1(2%)
minecraft.picked_up.brain_coral: #6, 6(1%)
minecraft.mined.polished_diorite_slab: #6, 6(2%)
minecraft.dropped.gray_dye: #6, 4(2%)
minecraft.picked_up.quartz_block: #7, 1036(5%)
minecraft.custom.climb_one_cm: #8, 5319922(6%)
minecraft.crafted.prismarine_slab: #6, 72(1%)
minecraft.picked_up.lime_dye: #6, 32(1%)
minecraft.picked_up.soul_sand: #7, 2008(5%)
minecraft.dropped.coal: #7, 469(5%)
minecraft.mined.fire_coral: #6, 7(1%)
minecraft.dropped.brown_terracotta: #6, 31(1%)
minecraft.mined.horn_coral_block: #6, 33(1%)
minecraft.picked_up.polished_diorite_slab: #6, 6(1%)
minecraft.picked_up.magenta_concrete: #6, 22(1%)
minecraft.dropped.prismarine_bricks: #6, 47(1%)
minecraft.crafted.sea_lantern: #6, 419(0%)
minecraft.mined.tube_coral_wall_fan: #6, 12(1%)
minecraft.mined.tube_coral: #6, 4(1%)
minecraft.mined.white_concrete: #7, 17062(4%)
minecraft.picked_up.enchanted_book: #7, 49(5%)
minecraft.mined.bubble_coral_wall_fan: #6, 11(0%)
minecraft.mined.horn_coral_wall_fan: #6, 10(0%)
minecraft.crafted.acacia_fence_gate: #6, 2(0%)
minecraft.mined.dead_bubble_coral_block: #6, 3(0%)
minecraft.mined.lily_pad: #7, 69(7%)
minecraft.dropped.stick: #7, 1009(4%)
minecraft.mined.cobblestone_wall: #7, 156(4%)
minecraft.used.acacia_fence_gate: #6, 2(0%)
minecraft.crafted.polished_diorite_slab: #6, 6(0%)
minecraft.dropped.red_sand: #6, 1(0%)
minecraft.mined.fire_coral_wall_fan: #6, 4(0%)
minecraft.killed.witch: #6, 25(0%)
minecraft.custom.raid_trigger: #6, 5(0%)
minecraft.mined.prismarine_slab: #6, 1(0%)
minecraft.picked_up.purple_glazed_terracotta: #6, 1(0%)
minecraft.dropped.blue_terracotta: #6, 1(0%)
minecraft.used.red_sand: #6, 1(0%)
minecraft.used.experience_bottle: #6, 1(0%)
minecraft.mined.repeater: #7, 280(5%)
minecraft.crafted.lapis_lazuli: #7, 1810(4%)
minecraft.mined.white_stained_glass: #7, 972(4%)
minecraft.mined.iron_bars: #7, 423(4%)
minecraft.mined.redstone_wall_torch: #7, 88(4%)
minecraft.crafted.white_concrete_powder: #7, 18484(4%)
minecraft.dropped.oak_log: #7, 172(5%)
minecraft.mined.dispenser: #7, 79(4%)
minecraft.picked_up.lead: #7, 95(4%)
minecraft.crafted.enchanted_book: #7, 167(4%)
minecraft.killed.drowned: #7, 611(4%)
minecraft.dropped.diamond_axe: #7, 7(4%)
minecraft.crafted.birch_planks: #8, 10728(7%)
minecraft.crafted.spruce_boat: #7, 14(4%)
minecraft.mined.mossy_stone_bricks: #7, 57(4%)
minecraft.used.iron_hoe: #7, 461(5%)
minecraft.used.mossy_cobblestone: #7, 155(5%)
minecraft.used.smooth_sandstone: #7, 3196(5%)
minecraft.used.white_carpet: #7, 650(3%)
minecraft.used.pink_concrete_powder: #7, 136(6%)
minecraft.picked_up.light_gray_wool: #7, 278(4%)
minecraft.crafted.orange_dye: #7, 406(4%)
minecraft.picked_up.polished_andesite: #7, 1006(3%)
minecraft.used.cobblestone_wall: #7, 535(3%)
minecraft.crafted.charcoal: #7, 97(3%)
minecraft.crafted.light_gray_dye: #7, 1163(3%)
minecraft.killed.skeleton: #7, 2471(2%)
minecraft.picked_up.stone_shovel: #7, 4(5%)
minecraft.crafted.bow: #7, 195(3%)
minecraft.used.bubble_coral_block: #7, 75(5%)
minecraft.crafted.sandstone_slab: #7, 6894(4%)
minecraft.picked_up.stripped_birch_log: #7, 286(4%)
minecraft.crafted.pink_concrete_powder: #7, 136(4%)
minecraft.crafted.oak_planks: #8, 19804(6%)
minecraft.crafted.light_gray_shulker_box: #7, 9(4%)
minecraft.picked_up.light_blue_wool: #7, 270(4%)
minecraft.used.carved_pumpkin: #7, 30(4%)
minecraft.picked_up.poppy: #7, 1305(2%)
minecraft.dropped.tripwire_hook: #7, 18(4%)
minecraft.mined.black_wall_banner: #7, 7(7%)
minecraft.dropped.book: #7, 19(4%)
minecraft.dropped.observer: #7, 13(5%)
minecraft.picked_up.jungle_planks: #7, 71(3%)
minecraft.picked_up.light_gray_carpet: #7, 221(3%)
minecraft.mined.bookshelf: #7, 143(2%)
minecraft.dropped.prismarine_crystals: #7, 803(3%)
minecraft.dropped.chainmail_leggings: #7, 4(3%)
minecraft.crafted.mossy_cobblestone: #7, 173(4%)
minecraft.mined.stone: #8, 282081(5%)
minecraft.crafted.gold_nugget: #7, 6375(2%)
minecraft.used.yellow_banner: #7, 9(4%)
minecraft.dropped.oak_pressure_plate: #7, 4(3%)
minecraft.dropped.spruce_log: #7, 149(2%)
minecraft.picked_up.green_stained_glass: #7, 64(3%)
minecraft.crafted.iron_chestplate: #8, 17(5%)
minecraft.dropped.diamond_sword: #8, 14(6%)
minecraft.dropped.light_gray_dye: #7, 23(4%)
minecraft.used.diamond_pickaxe: #8, 573686(5%)
minecraft.mined.red_mushroom_block: #7, 578(2%)
minecraft.used.dark_oak_planks: #8, 1458(6%)
minecraft.dropped.nether_wart: #7, 57(3%)
minecraft.mined.brown_terracotta: #7, 646(2%)
minecraft.picked_up.gray_stained_glass: #7, 128(2%)
minecraft.picked_up.golden_chestplate: #8, 19(5%)
minecraft.picked_up.prismarine_bricks: #7, 679(2%)
minecraft.picked_up.nether_star: #7, 8(2%)
minecraft.dropped.seagrass: #7, 13(3%)
minecraft.used.salmon: #7, 3(3%)
minecraft.used.furnace: #8, 426(5%)
minecraft.mined.prismarine_bricks: #7, 530(2%)
minecraft.picked_up.elytra: #8, 77(5%)
minecraft.picked_up.jungle_fence: #7, 10(2%)
minecraft.crafted.spruce_planks: #8, 21092(5%)
minecraft.picked_up.compass: #7, 2(3%)
minecraft.crafted.stick: #8, 16484(4%)
minecraft.picked_up.repeater: #8, 634(6%)
minecraft.killed.wither: #7, 6(1%)
minecraft.dropped.paper: #8, 589(6%)
minecraft.used.nether_wart: #7, 771(2%)
minecraft.mined.yellow_terracotta: #7, 357(1%)
minecraft.crafted.pumpkin_seeds: #7, 100(2%)
minecraft.used.prismarine_bricks: #7, 471(1%)
minecraft.picked_up.purple_stained_glass: #7, 111(2%)
minecraft.mined.cake: #7, 4(2%)
minecraft.dropped.polished_andesite: #7, 32(1%)
minecraft.crafted.lime_shulker_box: #7, 4(2%)
minecraft.crafted.prismarine_brick_stairs: #7, 64(2%)
minecraft.mined.attached_pumpkin_stem: #7, 1(2%)
minecraft.picked_up.iron_sword: #8, 12(5%)
minecraft.mined.mushroom_stem: #7, 116(2%)
minecraft.dropped.beacon: #7, 1(2%)
minecraft.used.fire_coral_block: #7, 58(2%)
minecraft.used.prismarine_brick_stairs: #7, 61(2%)
minecraft.crafted.yellow_shulker_box: #7, 10(1%)
minecraft.picked_up.mushroom_stem: #7, 124(2%)
minecraft.crafted.pumpkin_pie: #7, 48(1%)
minecraft.dropped.prismarine: #7, 36(2%)
minecraft.dropped.mossy_cobblestone: #7, 7(1%)
minecraft.picked_up.diamond_boots: #8, 52(5%)
minecraft.picked_up.prismarine_brick_slab: #7, 39(1%)
minecraft.picked_up.crossbow: #7, 8(1%)
minecraft.picked_up.piston: #8, 341(5%)
minecraft.killed_by.zombie: #7, 4(1%)
minecraft.picked_up.player_head: #8, 676(4%)
minecraft.mined.cartography_table: #7, 1(2%)
minecraft.picked_up.cartography_table: #7, 1(2%)
minecraft.dropped.yellow_shulker_box: #7, 2(1%)
minecraft.used.iron_ore: #7, 24(1%)
minecraft.dropped.chorus_fruit: #7, 18(1%)
minecraft.dropped.lapis_block: #7, 8(2%)
minecraft.crafted.white_bed: #8, 21(5%)
minecraft.mined.stone_brick_stairs: #8, 860(5%)
minecraft.dropped.light_gray_wool: #7, 9(1%)
minecraft.used.dead_tube_coral_block: #7, 4(1%)
minecraft.mined.fire_coral_block: #7, 38(1%)
minecraft.dropped.bricks: #7, 9(1%)
minecraft.picked_up.birch_planks: #8, 377(4%)
minecraft.dropped.cyan_concrete: #7, 1(1%)
minecraft.picked_up.music_disc_blocks: #7, 1(1%)
minecraft.crafted.melon_seeds: #7, 20(1%)
minecraft.used.stone_sword: #8, 105(5%)
minecraft.dropped.golden_leggings: #8, 13(5%)
minecraft.picked_up.magenta_concrete_powder: #7, 3(0%)
minecraft.crafted.cartography_table: #7, 1(0%)
minecraft.used.item_frame: #8, 451(4%)
minecraft.mined.brain_coral_fan: #7, 2(0%)
minecraft.mined.brain_coral: #7, 2(0%)
minecraft.picked_up.red_sand: #7, 148(0%)
minecraft.mined.red_sand: #7, 150(0%)
minecraft.used.melon: #7, 7(0%)
minecraft.mined.gray_terracotta: #7, 11(0%)
minecraft.dropped.white_banner: #7, 4(0%)
minecraft.dropped.yellow_dye: #7, 1(0%)
minecraft.used.polished_diorite_slab: #7, 6(0%)
minecraft.killed.pillager: #7, 64(0%)
minecraft.picked_up.magenta_terracotta: #7, 1(0%)
minecraft.picked_up.coal: #8, 14577(4%)
minecraft.used.prismarine_slab: #7, 1(0%)
minecraft.used.quartz_block: #8, 711(4%)
minecraft.crafted.redstone_lamp: #8, 251(5%)
minecraft.picked_up.white_stained_glass_pane: #8, 429(5%)
minecraft.mined.grass_path: #8, 345(4%)
minecraft.picked_up.observer: #8, 447(4%)
minecraft.used.redstone_lamp: #8, 247(5%)
minecraft.picked_up.ender_chest: #8, 560(4%)
minecraft.used.spruce_fence: #8, 768(4%)
minecraft.picked_up.oak_log: #8, 4356(3%)
minecraft.picked_up.apple: #8, 216(3%)
minecraft.used.white_concrete_powder: #8, 15513(4%)
minecraft.mined.ender_chest: #8, 523(4%)
minecraft.used.glowstone: #8, 487(4%)
minecraft.picked_up.white_tulip: #8, 69(5%)
minecraft.picked_up.white_stained_glass: #8, 974(4%)
minecraft.used.ender_chest: #8, 532(4%)
minecraft.custom.talked_to_villager: #8, 1729(3%)
minecraft.crafted.item_frame: #8, 255(3%)
minecraft.picked_up.iron_helmet: #8, 11(3%)
minecraft.used.potion: #8, 43(3%)
minecraft.mined.sticky_piston: #8, 195(3%)
minecraft.mined.birch_planks: #8, 126(4%)
minecraft.picked_up.flower_pot: #8, 43(4%)
minecraft.dropped.oak_planks: #8, 165(3%)
minecraft.crafted.cobblestone_slab: #8, 1314(3%)
minecraft.used.spruce_log: #8, 1151(3%)
minecraft.picked_up.sea_lantern: #8, 1106(3%)
minecraft.broken.iron_sword: #8, 1(5%)
minecraft.picked_up.vine: #8, 611(4%)
minecraft.picked_up.carrot: #8, 5086(3%)
minecraft.used.soul_sand: #8, 637(3%)
minecraft.used.observer: #8, 650(3%)
minecraft.dropped.iron_sword: #8, 6(4%)
minecraft.mined.dark_oak_fence_gate: #8, 19(4%)
minecraft.dropped.oak_door: #8, 5(5%)
minecraft.used.black_banner: #8, 15(6%)
minecraft.picked_up.orange_tulip: #8, 61(3%)
minecraft.crafted.diamond_hoe: #8, 3(5%)
minecraft.dropped.spruce_slab: #8, 59(3%)
minecraft.crafted.blue_shulker_box: #8, 3(3%)
minecraft.crafted.wooden_hoe: #8, 2(4%)
minecraft.crafted.snow: #8, 444(4%)
minecraft.dropped.netherrack: #8, 7567(3%)
minecraft.mined.stripped_birch_log: #8, 217(3%)
minecraft.mined.light_gray_carpet: #8, 63(3%)
minecraft.mined.chiseled_sandstone: #8, 6(4%)
minecraft.crafted.blue_dye: #8, 595(2%)
minecraft.picked_up.glowstone_dust: #8, 535(2%)
minecraft.used.white_banner: #8, 28(2%)
minecraft.used.wooden_axe: #8, 31(3%)
minecraft.dropped.iron_bars: #8, 130(3%)
minecraft.dropped.birch_trapdoor: #8, 3(4%)
minecraft.mined.white_wool: #8, 52(2%)
minecraft.crafted.cyan_stained_glass_pane: #8, 80(3%)
minecraft.used.brown_carpet: #8, 140(3%)
minecraft.dropped.prismarine_shard: #8, 1743(3%)
minecraft.crafted.sticky_piston: #8, 173(2%)
minecraft.crafted.observer: #8, 332(2%)
minecraft.dropped.chainmail_helmet: #8, 2(3%)
minecraft.picked_up.iron_nugget: #8, 60(2%)
minecraft.used.chest_minecart: #8, 5(3%)
minecraft.crafted.golden_boots: #8, 3(3%)
minecraft.picked_up.chiseled_sandstone: #8, 5(3%)
minecraft.used.red_terracotta: #8, 679(2%)
minecraft.picked_up.oxeye_daisy: #8, 105(2%)
minecraft.dropped.gray_carpet: #8, 26(3%)
minecraft.crafted.chest: #9, 2552(5%)
minecraft.dropped.jungle_boat: #8, 1(4%)
minecraft.picked_up.hay_block: #8, 22(2%)
minecraft.picked_up.glass_bottle: #8, 56(2%)
minecraft.mined.granite: #9, 14335(5%)
minecraft.crafted.compass: #8, 37(2%)
minecraft.dropped.black_carpet: #8, 9(3%)
minecraft.crafted.wooden_pickaxe: #8, 3(1%)
minecraft.picked_up.cornflower: #8, 86(2%)
minecraft.dropped.stone_brick_stairs: #8, 72(2%)
minecraft.crafted.cyan_shulker_box: #8, 2(2%)
minecraft.mined.andesite: #9, 17748(5%)
minecraft.mined.jungle_fence: #8, 10(2%)
minecraft.mined.diorite: #9, 15647(5%)
minecraft.crafted.brown_carpet: #8, 105(2%)
minecraft.used.green_concrete: #8, 184(2%)
minecraft.crafted.iron_ingot: #9, 18610(5%)
minecraft.picked_up.nether_wart: #8, 1066(1%)
minecraft.used.bricks: #8, 466(2%)
minecraft.used.golden_carrot: #9, 2699(5%)
minecraft.crafted.brick_stairs: #8, 80(2%)
minecraft.crafted.map: #8, 25(1%)
minecraft.crafted.iron_boots: #9, 16(5%)
minecraft.crafted.lime_banner: #8, 4(2%)
minecraft.dropped.white_terracotta: #8, 39(1%)
minecraft.custom.mob_kills: #9, 90568(3%)
minecraft.dropped.end_stone_bricks: #8, 15(1%)
minecraft.picked_up.iron_chestplate: #9, 12(4%)
minecraft.mined.daylight_detector: #8, 4(2%)
minecraft.picked_up.cooked_cod: #8, 741(1%)
minecraft.dropped.beef: #8, 88(1%)
minecraft.crafted.golden_carrot: #8, 705(1%)
minecraft.picked_up.daylight_detector: #8, 4(1%)
minecraft.crafted.brown_wool: #8, 9(1%)
minecraft.mined.oak_fence: #9, 251(5%)
minecraft.used.bubble_coral: #8, 2(1%)
minecraft.used.cartography_table: #8, 1(1%)
minecraft.mined.dead_tube_coral_block: #8, 6(1%)
minecraft.used.dead_bubble_coral_block: #8, 3(1%)
minecraft.dropped.red_stained_glass: #8, 3(1%)
minecraft.picked_up.firework_rocket: #9, 4524(4%)
minecraft.crafted.yellow_banner: #8, 6(1%)
minecraft.dropped.tipped_arrow: #8, 1(1%)
minecraft.crafted.popped_chorus_fruit: #8, 17(1%)
minecraft.crafted.arrow: #8, 11(1%)
minecraft.mined.pink_carpet: #8, 1(1%)
minecraft.picked_up.dead_fire_coral_block: #8, 6(0%)
minecraft.crafted.prismarine_brick_slab: #8, 42(0%)
minecraft.picked_up.pink_carpet: #8, 1(0%)
minecraft.mined.torch: #9, 1911(4%)
minecraft.custom.walk_one_cm: #10, 151161818(5%)
minecraft.mined.magenta_concrete: #8, 8(0%)
minecraft.used.lever: #9, 294(4%)
minecraft.mined.fire_coral_fan: #8, 2(0%)
minecraft.picked_up.cyan_concrete_powder: #8, 2(0%)
minecraft.crafted.magenta_concrete_powder: #8, 16(0%)
minecraft.killed.turtle: #8, 1(0%)
minecraft.dropped.crossbow: #8, 3(0%)
minecraft.used.mushroom_stem: #8, 4(0%)
minecraft.mined.brain_coral_wall_fan: #8, 2(0%)
