stat, rank, value, (percentage) 
minecraft.crafted.clock: #5, 6(8%)
minecraft.picked_up.brown_banner: #4, 1(1%)
minecraft.picked_up.blue_glazed_terracotta: #4, 10(1%)
minecraft.picked_up.purple_glazed_terracotta: #4, 4(0%)
minecraft.used.end_stone_brick_stairs: #4, 1(0%)
minecraft.dropped.cobblestone_stairs: #5, 96(5%)
minecraft.used.blue_wool: #5, 418(5%)
minecraft.picked_up.blue_bed: #5, 22(7%)
minecraft.dropped.furnace: #5, 24(4%)
minecraft.mined.blue_bed: #5, 22(7%)
minecraft.crafted.diamond_chestplate: #6, 6(8%)
minecraft.crafted.chest_minecart: #5, 8(5%)
minecraft.custom.fill_cauldron: #5, 12(3%)
minecraft.dropped.coal_block: #5, 41(5%)
minecraft.used.water_bucket: #6, 4409(7%)
minecraft.dropped.dried_kelp_block: #5, 64(8%)
minecraft.dropped.clock: #5, 1(9%)
minecraft.picked_up.lapis_block: #6, 209(8%)
minecraft.mined.light_blue_wool: #5, 47(4%)
minecraft.used.yellow_carpet: #5, 131(3%)
minecraft.crafted.smoker: #5, 33(3%)
minecraft.used.bucket: #6, 4487(6%)
minecraft.used.polished_diorite_stairs: #5, 103(8%)
minecraft.dropped.paper: #6, 692(7%)
minecraft.dropped.spruce_pressure_plate: #5, 3(5%)
minecraft.crafted.painting: #5, 64(2%)
minecraft.picked_up.jungle_sign: #5, 7(5%)
minecraft.used.baked_potato: #6, 1046(6%)
minecraft.custom.use_cauldron: #5, 6(2%)
minecraft.dropped.coal: #6, 549(5%)
minecraft.picked_up.oak_sapling: #6, 1634(4%)
minecraft.mined.redstone_torch: #6, 132(6%)
minecraft.crafted.arrow: #5, 48(2%)
minecraft.used.blue_carpet: #5, 377(1%)
minecraft.custom.climb_one_cm: #7, 5532649(6%)
minecraft.mined.light_blue_glazed_terracotta: #5, 40(1%)
minecraft.killed_by.skeleton: #6, 6(7%)
minecraft.used.purple_glazed_terracotta: #5, 4(2%)
minecraft.picked_up.light_blue_glazed_terracotta: #5, 40(0%)
minecraft.crafted.oak_pressure_plate: #6, 34(6%)
minecraft.crafted.polished_andesite: #6, 3536(4%)
minecraft.crafted.tripwire_hook: #6, 196(4%)
minecraft.picked_up.iron_chestplate: #7, 20(7%)
minecraft.used.smoker: #6, 25(5%)
minecraft.mined.campfire: #6, 41(6%)
minecraft.used.oak_pressure_plate: #6, 24(5%)
minecraft.used.stone_axe: #6, 393(4%)
