stat, rank, value, (percentage) 
minecraft.dropped.polished_diorite: #14, 1(0%)
minecraft.mined.jungle_trapdoor: #14, 1(0%)
minecraft.crafted.gray_wool: #14, 1(0%)
minecraft.dropped.emerald: #14, 4(0%)
minecraft.picked_up.jungle_trapdoor: #14, 1(0%)
minecraft.crafted.cookie: #14, 6(0%)
minecraft.used.blue_stained_glass: #14, 6(0%)
minecraft.mined.brick_slab: #14, 1(0%)
minecraft.picked_up.brick_slab: #14, 1(0%)
minecraft.dropped.andesite: #15, 1082(2%)
minecraft.used.spruce_planks: #15, 985(2%)
minecraft.mined.sea_lantern: #15, 177(2%)
minecraft.mined.furnace: #15, 68(1%)
minecraft.picked_up.wooden_pickaxe: #15, 1(2%)
minecraft.mined.player_wall_head: #15, 24(1%)
minecraft.used.diorite: #15, 256(1%)
minecraft.picked_up.repeater: #15, 151(1%)
minecraft.used.hopper_minecart: #15, 16(2%)
minecraft.crafted.hopper_minecart: #15, 16(1%)
minecraft.crafted.furnace: #15, 90(1%)
minecraft.picked_up.stone_hoe: #15, 1(2%)
minecraft.mined.sticky_piston: #15, 68(1%)
minecraft.picked_up.white_carpet: #15, 48(1%)
minecraft.mined.stone_button: #15, 25(1%)
minecraft.crafted.jungle_planks: #15, 768(1%)
minecraft.used.player_head: #15, 61(1%)
minecraft.used.glass_bottle: #15, 54(1%)
minecraft.crafted.sticky_piston: #15, 82(1%)
minecraft.used.powered_rail: #15, 347(1%)
minecraft.crafted.cauldron: #15, 12(1%)
minecraft.crafted.stone_shovel: #15, 4(1%)
minecraft.crafted.gold_ingot: #15, 1296(1%)
minecraft.picked_up.oak_fence_gate: #15, 9(1%)
minecraft.picked_up.stone_button: #15, 64(1%)
minecraft.picked_up.feather: #15, 86(1%)
minecraft.crafted.bookshelf: #15, 77(1%)
minecraft.picked_up.dropper: #15, 28(1%)
minecraft.crafted.lead: #15, 4(1%)
minecraft.crafted.white_carpet: #15, 108(1%)
minecraft.used.tripwire_hook: #15, 15(1%)
minecraft.mined.composter: #15, 3(1%)
minecraft.mined.brown_mushroom: #15, 9(1%)
minecraft.dropped.chainmail_leggings: #15, 1(1%)
minecraft.picked_up.flint_and_steel: #15, 2(1%)
minecraft.used.birch_pressure_plate: #15, 3(1%)
minecraft.crafted.stone_sword: #15, 2(0%)
minecraft.picked_up.red_mushroom: #15, 15(0%)
minecraft.used.dropper: #15, 36(0%)
minecraft.crafted.gold_block: #15, 81(0%)
minecraft.mined.white_banner: #15, 1(1%)
minecraft.mined.red_mushroom: #15, 4(1%)
minecraft.dropped.stone_bricks: #15, 90(0%)
minecraft.used.dark_oak_leaves: #15, 20(0%)
minecraft.used.composter: #15, 4(0%)
minecraft.used.smooth_stone: #15, 185(0%)
minecraft.picked_up.observer: #15, 35(0%)
minecraft.used.scaffolding: #15, 311(0%)
minecraft.dropped.beetroot_seeds: #15, 1(0%)
minecraft.used.dark_oak_fence_gate: #15, 4(0%)
minecraft.crafted.quartz_pillar: #15, 30(0%)
minecraft.crafted.pumpkin_pie: #15, 8(0%)
minecraft.crafted.glowstone: #15, 33(0%)
minecraft.picked_up.emerald: #15, 65(0%)
minecraft.crafted.iron_trapdoor: #15, 10(0%)
minecraft.crafted.yellow_stained_glass: #15, 8(0%)
minecraft.used.birch_stairs: #15, 8(0%)
minecraft.custom.bell_ring: #15, 1(0%)
minecraft.mined.blue_terracotta: #15, 1(0%)
minecraft.custom.play_one_minute: #16, 34756819(2%)
minecraft.mined.lectern: #15, 2(0%)
minecraft.picked_up.lectern: #15, 2(0%)
minecraft.picked_up.blue_terracotta: #15, 1(0%)
minecraft.crafted.light_gray_wool: #15, 1(0%)
minecraft.custom.tune_noteblock: #15, 302(0%)
minecraft.custom.interact_with_crafting_table: #16, 2311(2%)
minecraft.crafted.iron_pickaxe: #16, 16(3%)
minecraft.used.iron_sword: #16, 386(2%)
minecraft.crafted.iron_ingot: #16, 8375(2%)
minecraft.crafted.iron_axe: #16, 6(2%)
minecraft.custom.interact_with_furnace: #16, 1492(2%)
minecraft.used.shulker_box: #16, 584(1%)
minecraft.dropped.written_book: #16, 19(1%)
minecraft.dropped.diamond_pickaxe: #16, 7(2%)
minecraft.mined.shulker_box: #16, 559(1%)
minecraft.picked_up.shulker_box: #16, 580(1%)
minecraft.mined.oak_wall_sign: #16, 45(1%)
minecraft.picked_up.stone_axe: #16, 1(2%)
minecraft.crafted.anvil: #16, 15(1%)
minecraft.used.stone: #16, 9640(1%)
minecraft.picked_up.rail: #16, 761(1%)
minecraft.custom.interact_with_lectern: #16, 35(1%)
minecraft.crafted.lapis_lazuli: #16, 451(1%)
minecraft.used.jungle_boat: #16, 3(1%)
minecraft.picked_up.sticky_piston: #16, 69(1%)
minecraft.used.glass: #16, 1047(1%)
minecraft.mined.spruce_planks: #16, 228(1%)
minecraft.used.lava_bucket: #16, 22(1%)
minecraft.custom.inspect_dispenser: #16, 156(1%)
minecraft.crafted.redstone_torch: #16, 623(1%)
minecraft.crafted.minecart: #16, 25(1%)
minecraft.custom.inspect_dropper: #16, 129(1%)
minecraft.used.end_stone_bricks: #16, 45(1%)
minecraft.picked_up.kelp: #16, 2536(1%)
minecraft.used.kelp: #16, 212(1%)
minecraft.used.dark_oak_boat: #16, 7(1%)
minecraft.mined.kelp_plant: #16, 182(0%)
minecraft.crafted.spruce_sign: #16, 12(1%)
minecraft.dropped.redstone: #16, 50(0%)
minecraft.dropped.lever: #16, 4(1%)
minecraft.used.white_carpet: #16, 75(0%)
minecraft.mined.spruce_pressure_plate: #16, 1(1%)
minecraft.dropped.enchanted_book: #16, 3(0%)
minecraft.mined.observer: #16, 35(0%)
minecraft.mined.stripped_spruce_log: #16, 11(0%)
minecraft.picked_up.stripped_spruce_log: #16, 11(0%)
minecraft.used.magma_block: #16, 43(0%)
minecraft.picked_up.composter: #16, 2(0%)
minecraft.dropped.book: #16, 2(0%)
minecraft.used.coal_block: #16, 26(0%)
minecraft.dropped.shears: #16, 1(0%)
minecraft.crafted.black_wool: #16, 8(0%)
minecraft.used.apple: #16, 3(0%)
minecraft.dropped.gold_ore: #16, 8(0%)
minecraft.picked_up.lily_pad: #16, 3(0%)
minecraft.mined.quartz_pillar: #16, 7(0%)
minecraft.used.pufferfish_bucket: #16, 1(0%)
minecraft.used.stone_pressure_plate: #16, 6(0%)
minecraft.picked_up.cookie: #16, 6(0%)
minecraft.picked_up.end_stone: #16, 40(0%)
minecraft.dropped.kelp: #16, 118(0%)
minecraft.mined.iron_trapdoor: #16, 9(0%)
minecraft.mined.end_stone: #16, 32(0%)
minecraft.used.bamboo: #16, 14(0%)
minecraft.mined.light_gray_concrete_powder: #16, 6(0%)
minecraft.mined.bamboo: #16, 7(0%)
minecraft.picked_up.quartz_pillar: #16, 7(0%)
minecraft.crafted.stone_stairs: #16, 8(0%)
minecraft.mined.acacia_trapdoor: #16, 1(0%)
minecraft.picked_up.acacia_trapdoor: #16, 1(0%)
minecraft.dropped.stone_button: #16, 2(0%)
minecraft.mined.light_blue_terracotta: #16, 1(0%)
minecraft.used.acacia_trapdoor: #16, 3(0%)
minecraft.picked_up.light_blue_terracotta: #16, 1(0%)
minecraft.dropped.iron_block: #16, 1(0%)
minecraft.used.light_blue_stained_glass: #16, 4(0%)
minecraft.used.light_blue_terracotta: #16, 1(0%)
minecraft.custom.walk_on_water_one_cm: #17, 2816954(1%)
minecraft.picked_up.iron_sword: #17, 6(3%)
minecraft.picked_up.white_wool: #17, 254(2%)
minecraft.crafted.iron_sword: #17, 5(1%)
minecraft.picked_up.written_book: #17, 25(1%)
minecraft.used.bow: #17, 866(1%)
minecraft.picked_up.stick: #17, 489(1%)
minecraft.crafted.bucket: #17, 36(1%)
minecraft.picked_up.painting: #17, 32(1%)
minecraft.picked_up.beef: #17, 253(1%)
minecraft.crafted.jungle_boat: #17, 1(1%)
minecraft.picked_up.spruce_planks: #17, 295(1%)
minecraft.picked_up.stone_bricks: #17, 1262(1%)
minecraft.used.quartz_block: #17, 142(1%)
minecraft.mined.redstone_block: #17, 50(1%)
minecraft.broken.diamond_pickaxe: #17, 1(1%)
minecraft.used.bookshelf: #17, 64(1%)
minecraft.used.damaged_anvil: #17, 2(1%)
minecraft.mined.oak_sapling: #17, 7(1%)
minecraft.mined.oak_stairs: #17, 28(1%)
minecraft.mined.damaged_anvil: #17, 2(1%)
minecraft.used.redstone_block: #17, 102(1%)
minecraft.used.sticky_piston: #17, 87(1%)
minecraft.picked_up.sea_lantern: #17, 226(1%)
minecraft.picked_up.damaged_anvil: #17, 2(1%)
minecraft.used.white_wool: #17, 40(1%)
minecraft.crafted.light_blue_dye: #17, 110(1%)
minecraft.mined.birch_wall_sign: #17, 2(1%)
minecraft.used.cooked_chicken: #17, 44(0%)
minecraft.mined.spruce_leaves: #17, 328(0%)
minecraft.mined.glass: #17, 94(0%)
minecraft.mined.white_wool: #17, 7(0%)
minecraft.mined.quartz_stairs: #17, 21(0%)
minecraft.used.chipped_anvil: #17, 1(0%)
minecraft.crafted.oak_button: #17, 3(0%)
minecraft.mined.chipped_anvil: #17, 1(0%)
minecraft.picked_up.chipped_anvil: #17, 1(0%)
minecraft.used.quartz_pillar: #17, 37(0%)
minecraft.picked_up.blaze_rod: #17, 16(0%)
minecraft.used.stone_button: #17, 71(0%)
minecraft.crafted.birch_trapdoor: #17, 4(0%)
minecraft.used.crossbow: #17, 3(0%)
minecraft.dropped.netherrack: #17, 278(0%)
minecraft.mined.birch_fence: #17, 1(0%)
minecraft.picked_up.birch_fence: #17, 1(0%)
minecraft.crafted.composter: #17, 1(0%)
minecraft.custom.interact_with_stonecutter: #17, 1(0%)
minecraft.crafted.birch_stairs: #17, 8(0%)
minecraft.crafted.snow_block: #17, 12(0%)
minecraft.dropped.gold_ingot: #17, 1(0%)
minecraft.used.packed_ice: #17, 18(0%)
minecraft.crafted.red_wool: #17, 1(0%)
minecraft.used.lime_concrete_powder: #17, 1(0%)
minecraft.dropped.green_dye: #17, 1(0%)
minecraft.custom.leave_game: #18, 537(2%)
minecraft.crafted.ender_chest: #18, 8(2%)
minecraft.picked_up.golden_chestplate: #18, 5(1%)
minecraft.killed.chicken: #18, 41(1%)
minecraft.picked_up.white_bed: #18, 31(1%)
minecraft.crafted.diamond_shovel: #18, 4(1%)
minecraft.used.furnace: #18, 93(1%)
minecraft.custom.deaths: #18, 25(1%)
minecraft.crafted.oak_sign: #18, 111(1%)
minecraft.crafted.iron_boots: #18, 3(1%)
minecraft.dropped.golden_chestplate: #18, 3(1%)
minecraft.used.diamond_axe: #18, 7883(1%)
minecraft.mined.dirt: #18, 6250(1%)
minecraft.killed.cow: #18, 72(1%)
minecraft.picked_up.iron_door: #18, 7(1%)
minecraft.picked_up.chainmail_helmet: #18, 1(1%)
minecraft.dropped.golden_leggings: #18, 2(1%)
minecraft.picked_up.egg: #18, 116(1%)
minecraft.mined.ladder: #18, 32(1%)
minecraft.picked_up.birch_sign: #18, 6(1%)
minecraft.dropped.bucket: #18, 3(1%)
minecraft.picked_up.stone: #18, 11080(0%)
minecraft.mined.stone_bricks: #18, 641(0%)
minecraft.picked_up.spruce_sapling: #18, 84(0%)
minecraft.picked_up.diamond_block: #18, 21(0%)
minecraft.picked_up.bookshelf: #18, 6(0%)
minecraft.mined.seagrass: #18, 59(0%)
minecraft.mined.piston_head: #18, 1(0%)
minecraft.mined.tripwire_hook: #18, 1(0%)
minecraft.used.spruce_sign: #18, 5(0%)
minecraft.crafted.dark_oak_stairs: #18, 64(0%)
minecraft.picked_up.smooth_stone: #18, 83(0%)
minecraft.crafted.white_dye: #18, 181(0%)
minecraft.mined.note_block: #18, 3(0%)
minecraft.crafted.lime_dye: #18, 66(0%)
minecraft.dropped.stone_sword: #18, 3(0%)
minecraft.dropped.poisonous_potato: #18, 1(0%)
minecraft.used.dark_oak_stairs: #18, 43(0%)
minecraft.picked_up.note_block: #18, 3(0%)
minecraft.crafted.quartz_block: #18, 180(0%)
minecraft.picked_up.quartz_stairs: #18, 21(0%)
minecraft.mined.black_carpet: #18, 2(0%)
minecraft.mined.stone_pressure_plate: #18, 3(0%)
minecraft.custom.eat_cake_slice: #18, 3(0%)
minecraft.dropped.lapis_lazuli: #18, 5(0%)
minecraft.crafted.birch_fence: #18, 3(0%)
minecraft.crafted.note_block: #18, 3(0%)
minecraft.used.redstone_lamp: #18, 6(0%)
minecraft.picked_up.glowstone_dust: #18, 24(0%)
minecraft.picked_up.bamboo: #18, 93(0%)
minecraft.dropped.glass: #18, 10(0%)
minecraft.picked_up.black_carpet: #18, 2(0%)
minecraft.used.jungle_leaves: #18, 8(0%)
minecraft.dropped.shulker_box: #18, 1(0%)
minecraft.used.snowball: #18, 2(0%)
minecraft.dropped.chicken: #18, 1(0%)
minecraft.crafted.stone_slab: #18, 18(0%)
minecraft.mined.scaffolding: #18, 21(0%)
minecraft.used.iron_trapdoor: #18, 11(0%)
minecraft.used.birch_fence: #18, 1(0%)
minecraft.used.yellow_stained_glass: #18, 2(0%)
minecraft.dropped.prismarine_crystals: #18, 7(0%)
minecraft.crafted.purple_dye: #18, 2(0%)
minecraft.killed.enderman: #18, 4(0%)
minecraft.picked_up.leather_chestplate: #19, 5(1%)
minecraft.custom.open_enderchest: #19, 1065(1%)
minecraft.crafted.iron_chestplate: #19, 4(1%)
minecraft.custom.open_shulker_box: #19, 6444(1%)
minecraft.picked_up.oak_planks: #19, 306(1%)
minecraft.picked_up.furnace: #19, 54(1%)
minecraft.mined.oak_planks: #19, 204(1%)
minecraft.crafted.ladder: #19, 174(1%)
minecraft.mined.white_bed: #19, 24(1%)
minecraft.crafted.iron_leggings: #19, 3(1%)
minecraft.used.ladder: #19, 167(1%)
minecraft.used.oak_sign: #19, 131(1%)
minecraft.custom.interact_with_loom: #19, 5(1%)
minecraft.used.gravel: #19, 369(1%)
minecraft.dropped.dirt: #19, 752(1%)
minecraft.picked_up.leather: #19, 186(1%)
minecraft.mined.dandelion: #19, 24(1%)
minecraft.used.dirt: #19, 3981(0%)
minecraft.custom.animals_bred: #19, 110(1%)
minecraft.picked_up.diamond_sword: #19, 8(1%)
minecraft.picked_up.chainmail_boots: #19, 1(1%)
minecraft.crafted.glass: #19, 707(0%)
minecraft.crafted.charcoal: #19, 16(1%)
minecraft.crafted.cobblestone_stairs: #19, 136(1%)
minecraft.mined.farmland: #19, 22(0%)
minecraft.used.iron_block: #19, 304(0%)
minecraft.mined.rail: #19, 185(0%)
minecraft.used.obsidian: #19, 90(0%)
minecraft.picked_up.diamond_chestplate: #19, 1(0%)
minecraft.picked_up.item_frame: #19, 22(0%)
minecraft.picked_up.stone_pressure_plate: #19, 9(0%)
minecraft.mined.bookshelf: #19, 18(0%)
minecraft.crafted.spruce_trapdoor: #19, 68(0%)
minecraft.used.birch_sign: #19, 6(0%)
minecraft.picked_up.piston: #19, 18(0%)
minecraft.picked_up.potion: #19, 6(0%)
minecraft.used.spruce_sapling: #19, 32(0%)
minecraft.used.spruce_trapdoor: #19, 51(0%)
minecraft.mined.dark_oak_stairs: #19, 11(0%)
minecraft.dropped.stone: #19, 807(0%)
minecraft.picked_up.paper: #19, 58(0%)
minecraft.picked_up.spider_eye: #19, 19(0%)
minecraft.mined.tnt: #19, 3(0%)
minecraft.picked_up.dark_oak_stairs: #19, 11(0%)
minecraft.crafted.brewing_stand: #19, 1(0%)
minecraft.mined.tripwire: #19, 4(0%)
minecraft.used.ender_chest: #19, 21(0%)
minecraft.crafted.redstone_lamp: #19, 8(0%)
minecraft.mined.netherrack: #19, 1326(0%)
minecraft.picked_up.netherrack: #19, 717(0%)
minecraft.crafted.dark_oak_trapdoor: #19, 8(0%)
minecraft.used.note_block: #19, 3(0%)
minecraft.picked_up.iron_trapdoor: #19, 8(0%)
minecraft.used.dark_oak_trapdoor: #19, 7(0%)
minecraft.mined.birch_planks: #19, 2(0%)
minecraft.crafted.pink_dye: #19, 4(0%)
minecraft.crafted.red_dye: #19, 17(0%)
minecraft.mined.end_stone_bricks: #19, 3(0%)
minecraft.picked_up.end_stone_bricks: #19, 3(0%)
minecraft.used.birch_trapdoor: #19, 1(0%)
minecraft.used.black_carpet: #19, 2(0%)
minecraft.picked_up.light_gray_concrete_powder: #19, 6(0%)
minecraft.crafted.magenta_dye: #19, 2(0%)
minecraft.used.cocoa_beans: #19, 2(0%)
minecraft.used.gold_block: #19, 2(0%)
minecraft.crafted.gold_nugget: #19, 18(0%)
minecraft.picked_up.light_gray_concrete: #19, 2(0%)
minecraft.used.light_gray_concrete: #19, 2(0%)
minecraft.used.spruce_leaves: #19, 2(0%)
minecraft.picked_up.nether_quartz_ore: #19, 2(0%)
minecraft.dropped.cactus: #19, 1(0%)
minecraft.mined.packed_ice: #19, 6(0%)
minecraft.mined.light_gray_concrete: #19, 1(0%)
minecraft.picked_up.leather_helmet: #20, 4(1%)
minecraft.used.white_bed: #20, 33(1%)
minecraft.picked_up.bow: #20, 52(1%)
minecraft.picked_up.golden_helmet: #20, 4(1%)
minecraft.used.diamond_sword: #20, 3000(1%)
minecraft.custom.damage_dealt: #20, 155572(1%)
minecraft.custom.sneak_time: #20, 384417(0%)
minecraft.killed.zombie: #20, 143(1%)
minecraft.picked_up.dirt: #20, 8010(1%)
minecraft.crafted.iron_helmet: #20, 3(1%)
minecraft.used.anvil: #20, 12(1%)
minecraft.picked_up.arrow: #20, 383(1%)
minecraft.picked_up.bone: #20, 448(1%)
minecraft.picked_up.oak_sign: #20, 54(1%)
minecraft.picked_up.chainmail_leggings: #20, 1(1%)
minecraft.picked_up.diamond_pickaxe: #20, 12(0%)
minecraft.crafted.oak_fence_gate: #20, 8(1%)
minecraft.picked_up.oak_stairs: #20, 28(1%)
minecraft.picked_up.coal_block: #20, 24(0%)
minecraft.mined.oak_sign: #20, 4(0%)
minecraft.picked_up.dark_oak_boat: #20, 5(0%)
minecraft.mined.piston: #20, 17(0%)
minecraft.crafted.item_frame: #20, 30(0%)
minecraft.used.potion: #20, 5(0%)
minecraft.picked_up.book: #20, 44(0%)
minecraft.killed.squid: #20, 13(0%)
minecraft.used.diamond_shovel: #20, 13458(0%)
minecraft.crafted.red_shulker_box: #20, 1(0%)
minecraft.crafted.bow: #20, 16(0%)
minecraft.broken.shears: #20, 3(0%)
minecraft.mined.quartz_block: #20, 18(0%)
minecraft.mined.iron_block: #20, 91(0%)
minecraft.picked_up.spruce_trapdoor: #20, 20(0%)
minecraft.picked_up.iron_block: #20, 121(0%)
minecraft.dropped.player_head: #20, 4(0%)
minecraft.used.dark_oak_log: #20, 84(0%)
minecraft.crafted.dark_oak_slab: #20, 60(0%)
minecraft.crafted.smooth_stone: #20, 64(0%)
minecraft.crafted.green_dye: #20, 98(0%)
minecraft.mined.dark_oak_trapdoor: #20, 3(0%)
minecraft.picked_up.ender_chest: #20, 16(0%)
minecraft.mined.ender_chest: #20, 16(0%)
minecraft.used.lapis_ore: #20, 4(0%)
minecraft.picked_up.dark_oak_trapdoor: #20, 3(0%)
minecraft.picked_up.grass_block: #20, 447(0%)
minecraft.picked_up.quartz_block: #20, 18(0%)
minecraft.crafted.yellow_dye: #20, 24(0%)
minecraft.mined.barrel: #20, 1(0%)
minecraft.crafted.blue_dye: #20, 20(0%)
minecraft.used.grass_block: #20, 179(0%)
minecraft.mined.cobblestone_stairs: #20, 2(0%)
minecraft.mined.grass_path: #20, 5(0%)
minecraft.picked_up.barrel: #20, 1(0%)
minecraft.picked_up.snowball: #20, 51(0%)
minecraft.used.netherrack: #20, 50(0%)
minecraft.crafted.stone_button: #20, 20(0%)
minecraft.picked_up.cobblestone_stairs: #20, 2(0%)
minecraft.used.string: #20, 4(0%)
minecraft.mined.glowstone: #20, 6(0%)
minecraft.mined.snow: #20, 51(0%)
minecraft.picked_up.ice: #20, 26(0%)
minecraft.mined.gray_shulker_box: #20, 1(0%)
minecraft.picked_up.gray_shulker_box: #20, 1(0%)
minecraft.used.birch_planks: #20, 2(0%)
minecraft.dropped.sugar_cane: #20, 3(0%)
minecraft.mined.gold_block: #20, 2(0%)
minecraft.picked_up.gold_block: #20, 2(0%)
minecraft.dropped.sandstone: #20, 1(0%)
minecraft.dropped.carrot: #20, 1(0%)
minecraft.crafted.golden_carrot: #20, 1(0%)
minecraft.custom.walk_under_water_one_cm: #21, 2683420(1%)
minecraft.custom.jump: #21, 49037(1%)
minecraft.used.oak_boat: #21, 19(1%)
minecraft.picked_up.oak_boat: #21, 21(1%)
minecraft.used.crafting_table: #21, 63(1%)
minecraft.mined.crafting_table: #21, 53(1%)
minecraft.custom.drop: #21, 929(0%)
minecraft.picked_up.crafting_table: #21, 54(1%)
minecraft.killed.spider: #21, 21(1%)
minecraft.killed.zombie_villager: #21, 2(1%)
minecraft.custom.sleep_in_bed: #21, 146(0%)
minecraft.crafted.spruce_planks: #21, 2033(0%)
minecraft.picked_up.player_head: #21, 72(0%)
minecraft.custom.crouch_one_cm: #21, 687203(0%)
minecraft.mined.poppy: #21, 22(0%)
minecraft.mined.grass_block: #21, 2081(0%)
minecraft.used.item_frame: #21, 35(0%)
minecraft.dropped.diamond: #21, 33(0%)
minecraft.used.spruce_log: #21, 117(0%)
minecraft.dropped.leather_leggings: #21, 1(0%)
minecraft.dropped.diorite: #21, 235(0%)
minecraft.picked_up.rotten_flesh: #21, 211(0%)
minecraft.picked_up.ladder: #21, 35(0%)
minecraft.picked_up.enchanted_book: #21, 3(0%)
minecraft.crafted.oak_trapdoor: #21, 26(0%)
minecraft.picked_up.stone_sword: #21, 3(0%)
minecraft.picked_up.dandelion: #21, 24(0%)
minecraft.custom.mob_kills: #21, 3496(0%)
minecraft.used.spruce_door: #21, 3(0%)
minecraft.dropped.oak_fence: #21, 2(0%)
minecraft.used.ender_pearl: #21, 20(0%)
minecraft.custom.open_barrel: #21, 48(0%)
minecraft.picked_up.shears: #21, 1(0%)
minecraft.used.glowstone: #21, 15(0%)
minecraft.picked_up.jungle_log: #21, 64(0%)
minecraft.used.quartz_stairs: #21, 25(0%)
minecraft.dropped.arrow: #21, 26(0%)
minecraft.picked_up.quartz: #21, 340(0%)
minecraft.crafted.quartz_stairs: #21, 16(0%)
minecraft.mined.coal_block: #21, 2(0%)
minecraft.picked_up.lapis_ore: #21, 4(0%)
minecraft.used.cobblestone_stairs: #21, 7(0%)
minecraft.dropped.gunpowder: #21, 4(0%)
minecraft.dropped.soul_sand: #21, 1(0%)
minecraft.picked_up.prismarine_crystals: #21, 22(0%)
minecraft.dropped.torch: #21, 2(0%)
minecraft.crafted.orange_dye: #21, 2(0%)
minecraft.mined.spruce_fence: #21, 1(0%)
minecraft.crafted.gray_dye: #21, 6(0%)
minecraft.picked_up.spruce_fence: #21, 1(0%)
minecraft.crafted.light_gray_dye: #21, 4(0%)
minecraft.dropped.ender_pearl: #21, 2(0%)
minecraft.mined.cobweb: #21, 1(0%)
minecraft.used.spruce_fence: #21, 1(0%)
minecraft.used.black_concrete: #21, 1(0%)
minecraft.picked_up.packed_ice: #21, 2(0%)
minecraft.custom.sprint_one_cm: #22, 21329848(1%)
minecraft.crafted.diamond_axe: #22, 2(1%)
minecraft.killed.creeper: #22, 45(1%)
minecraft.picked_up.golden_leggings: #22, 2(1%)
minecraft.crafted.crafting_table: #22, 12(0%)
minecraft.crafted.oak_boat: #22, 2(0%)
minecraft.custom.damage_taken: #22, 19557(0%)
minecraft.picked_up.spruce_boat: #22, 6(0%)
minecraft.picked_up.bucket: #22, 4(0%)
minecraft.custom.fall_one_cm: #22, 357776(0%)
minecraft.used.red_shulker_box: #22, 20(0%)
minecraft.crafted.spruce_door: #22, 3(0%)
minecraft.picked_up.red_shulker_box: #22, 19(0%)
minecraft.mined.red_shulker_box: #22, 19(0%)
minecraft.used.spruce_boat: #22, 3(0%)
minecraft.custom.enchant_item: #22, 9(0%)
minecraft.picked_up.ink_sac: #22, 29(0%)
minecraft.used.brewing_stand: #22, 1(0%)
minecraft.picked_up.spruce_log: #22, 294(0%)
minecraft.picked_up.cooked_chicken: #22, 19(0%)
minecraft.mined.spruce_log: #22, 250(0%)
minecraft.mined.spruce_trapdoor: #22, 10(0%)
minecraft.mined.oak_trapdoor: #22, 4(0%)
minecraft.mined.cobblestone_wall: #22, 4(0%)
minecraft.picked_up.gunpowder: #22, 26(0%)
minecraft.picked_up.oak_trapdoor: #22, 4(0%)
minecraft.crafted.dark_oak_planks: #22, 148(0%)
minecraft.picked_up.soul_sand: #22, 32(0%)
minecraft.dropped.bone: #22, 15(0%)
minecraft.mined.dead_bush: #22, 1(0%)
minecraft.mined.soul_sand: #22, 30(0%)
minecraft.picked_up.coal_ore: #22, 28(0%)
minecraft.picked_up.poppy: #22, 22(0%)
minecraft.dropped.oak_planks: #22, 2(0%)
minecraft.killed.drowned: #22, 6(0%)
minecraft.used.oak_leaves: #22, 27(0%)
minecraft.mined.fern: #22, 1(0%)
minecraft.used.cactus: #22, 1(0%)
minecraft.mined.cocoa: #22, 2(0%)
minecraft.mined.dark_oak_leaves: #22, 5(0%)
minecraft.picked_up.glass: #22, 68(0%)
minecraft.used.coal_ore: #22, 8(0%)
minecraft.used.barrel: #22, 1(0%)
minecraft.picked_up.cocoa_beans: #22, 6(0%)
minecraft.mined.nether_quartz_ore: #22, 19(0%)
minecraft.crafted.cyan_dye: #22, 2(0%)
minecraft.mined.cyan_terracotta: #22, 2(0%)
minecraft.picked_up.cyan_terracotta: #22, 2(0%)
minecraft.used.nether_quartz_ore: #22, 1(0%)
minecraft.picked_up.black_concrete: #22, 1(0%)
minecraft.used.cyan_terracotta: #22, 2(0%)
minecraft.dropped.sand: #22, 2(0%)
minecraft.mined.black_concrete: #22, 1(0%)
minecraft.crafted.air: #22, 0(0%)
minecraft.custom.boat_one_cm: #23, 2798744(0%)
minecraft.crafted.wooden_pickaxe: #23, 1(0%)
minecraft.dropped.golden_boots: #23, 1(0%)
minecraft.crafted.spruce_slab: #23, 126(0%)
minecraft.crafted.iron_bars: #23, 64(0%)
minecraft.dropped.rotten_flesh: #23, 56(0%)
minecraft.crafted.spruce_stairs: #23, 32(0%)
minecraft.used.oak_trapdoor: #23, 11(0%)
minecraft.mined.sand: #23, 1092(0%)
minecraft.picked_up.cobblestone_wall: #23, 4(0%)
minecraft.picked_up.sand: #23, 1103(0%)
minecraft.picked_up.string: #23, 30(0%)
minecraft.mined.spruce_slab: #23, 10(0%)
minecraft.picked_up.spruce_slab: #23, 11(0%)
minecraft.used.cobblestone_wall: #23, 8(0%)
minecraft.used.sugar_cane: #23, 10(0%)
minecraft.crafted.cobblestone_wall: #23, 6(0%)
minecraft.used.written_book: #23, 9(0%)
minecraft.dropped.string: #23, 2(0%)
minecraft.picked_up.sugar_cane: #23, 36(0%)
minecraft.used.soul_sand: #23, 4(0%)
minecraft.mined.sugar_cane: #23, 14(0%)
minecraft.picked_up.dark_oak_planks: #23, 2(0%)
minecraft.used.stone_brick_slab: #23, 10(0%)
minecraft.mined.stone_brick_slab: #23, 2(0%)
minecraft.picked_up.stone_brick_slab: #23, 1(0%)
minecraft.picked_up.cactus: #23, 1(0%)
minecraft.killed.witch: #23, 1(0%)
minecraft.custom.damage_resisted: #23, 4(0%)
minecraft.custom.time_since_death: #24, 1397522(1%)
minecraft.picked_up.golden_boots: #24, 2(0%)
minecraft.used.writable_book: #24, 8(0%)
minecraft.picked_up.leather_leggings: #24, 1(0%)
minecraft.used.iron_bars: #24, 42(0%)
minecraft.crafted.birch_planks: #24, 140(0%)
minecraft.picked_up.diamond_boots: #24, 1(0%)
minecraft.picked_up.diamond_shovel: #24, 1(0%)
minecraft.mined.spruce_stairs: #24, 4(0%)
minecraft.used.spruce_slab: #24, 28(0%)
minecraft.picked_up.ender_pearl: #24, 12(0%)
