stat, rank, value, (percentage) 
minecraft.picked_up.pink_wool: #10, 26(0%)
minecraft.dropped.pink_tulip: #10, 1(0%)
minecraft.crafted.blue_stained_glass_pane: #10, 16(0%)
minecraft.mined.purple_wool: #10, 3(0%)
minecraft.picked_up.emerald_ore: #10, 1(0%)
minecraft.crafted.purple_carpet: #10, 6(0%)
minecraft.dropped.vine: #10, 4(0%)
minecraft.picked_up.melon_slice: #10, 67(0%)
minecraft.mined.quartz_stairs: #11, 429(5%)
minecraft.picked_up.crafting_table: #11, 320(4%)
minecraft.picked_up.light_blue_carpet: #10, 1(0%)
minecraft.picked_up.brown_stained_glass: #10, 1(0%)
minecraft.crafted.oak_fence: #11, 513(4%)
minecraft.used.crafting_table: #11, 307(3%)
minecraft.used.stone: #11, 30524(3%)
minecraft.crafted.diamond_axe: #11, 6(3%)
minecraft.custom.fall_one_cm: #11, 5696450(2%)
minecraft.mined.grass_block: #11, 20064(2%)
minecraft.used.powered_rail: #11, 1450(4%)
minecraft.picked_up.oak_slab: #11, 311(3%)
minecraft.mined.iron_block: #11, 1092(3%)
minecraft.picked_up.bone: #11, 1748(2%)
minecraft.custom.pot_flower: #11, 39(3%)
minecraft.mined.white_carpet: #11, 65(3%)
minecraft.mined.nether_quartz_ore: #11, 5957(2%)
minecraft.crafted.light_blue_dye: #11, 520(3%)
minecraft.used.kelp: #11, 783(2%)
minecraft.picked_up.iron_block: #11, 1153(2%)
minecraft.killed.cow: #11, 201(2%)
minecraft.picked_up.light_gray_concrete: #11, 879(2%)
minecraft.used.light_gray_concrete_powder: #11, 2310(2%)
minecraft.used.piston: #11, 225(2%)
minecraft.mined.white_concrete: #11, 7228(2%)
minecraft.picked_up.glowstone: #11, 406(2%)
minecraft.picked_up.ladder: #11, 234(2%)
minecraft.mined.infested_stone: #11, 30(2%)
minecraft.picked_up.gray_wool: #11, 68(2%)
minecraft.mined.bookshelf: #11, 110(2%)
minecraft.used.white_concrete: #11, 6542(2%)
minecraft.used.dark_oak_planks: #11, 442(2%)
minecraft.picked_up.white_stained_glass_pane: #11, 182(2%)
minecraft.used.dark_oak_fence: #11, 255(2%)
minecraft.crafted.white_carpet: #11, 318(2%)
minecraft.used.sticky_piston: #11, 214(2%)
minecraft.mined.snow_block: #11, 189(2%)
minecraft.picked_up.stripped_birch_log: #11, 148(2%)
minecraft.picked_up.sponge: #11, 35(3%)
minecraft.used.smooth_stone_slab: #11, 4097(1%)
minecraft.used.white_terracotta: #11, 147(2%)
minecraft.custom.fill_cauldron: #11, 6(2%)
minecraft.used.jungle_boat: #11, 4(1%)
minecraft.crafted.white_concrete_powder: #11, 6208(1%)
minecraft.crafted.cobblestone_stairs: #11, 360(1%)
minecraft.picked_up.black_wool: #11, 84(2%)
minecraft.mined.end_rod: #11, 114(1%)
minecraft.picked_up.chiseled_stone_bricks: #11, 34(2%)
minecraft.picked_up.jungle_boat: #11, 4(1%)
minecraft.mined.gray_concrete: #11, 1289(1%)
minecraft.used.red_concrete: #11, 259(1%)
minecraft.used.sunflower: #11, 2(2%)
minecraft.picked_up.cauldron: #11, 9(2%)
minecraft.used.yellow_banner: #11, 5(2%)
minecraft.mined.green_concrete: #11, 199(1%)
minecraft.picked_up.birch_sapling: #11, 161(1%)
minecraft.picked_up.rabbit: #11, 2(2%)
minecraft.used.stripped_birch_log: #11, 72(1%)
minecraft.picked_up.oxeye_daisy: #11, 57(1%)
minecraft.used.cyan_concrete_powder: #11, 64(1%)
minecraft.mined.red_concrete: #11, 235(1%)
minecraft.mined.pink_stained_glass_pane: #11, 1(2%)
minecraft.picked_up.activator_rail: #11, 5(1%)
minecraft.used.gray_carpet: #11, 223(1%)
minecraft.used.sandstone: #11, 418(1%)
minecraft.used.heavy_weighted_pressure_plate: #11, 6(1%)
minecraft.picked_up.cyan_banner: #11, 1(1%)
minecraft.used.orange_concrete_powder: #11, 64(1%)
minecraft.mined.gray_wool: #11, 3(1%)
minecraft.crafted.orange_concrete_powder: #11, 64(1%)
minecraft.mined.blue_concrete: #11, 70(1%)
minecraft.used.cyan_concrete: #11, 21(1%)
minecraft.used.activator_rail: #11, 4(1%)
minecraft.picked_up.bread: #11, 10(1%)
minecraft.used.blue_concrete_powder: #11, 64(1%)
minecraft.used.blue_concrete: #11, 48(1%)
minecraft.crafted.blue_concrete_powder: #11, 64(1%)
minecraft.used.azure_bluet: #11, 3(1%)
minecraft.crafted.chiseled_stone_bricks: #11, 75(1%)
minecraft.picked_up.green_carpet: #11, 3(1%)
minecraft.used.oak_wood: #11, 29(0%)
minecraft.dropped.snow: #11, 29(0%)
minecraft.used.peony: #11, 3(0%)
minecraft.mined.chorus_flower: #11, 8(0%)
minecraft.custom.use_cauldron: #11, 1(0%)
minecraft.picked_up.chorus_flower: #11, 8(0%)
minecraft.dropped.dark_oak_trapdoor: #11, 1(0%)
minecraft.used.green_concrete: #11, 28(0%)
minecraft.crafted.orange_stained_glass_pane: #11, 16(0%)
minecraft.used.yellow_stained_glass_pane: #11, 7(0%)
minecraft.picked_up.blue_orchid: #11, 11(0%)
minecraft.used.purple_carpet: #11, 5(0%)
minecraft.used.pink_wool: #11, 3(0%)
minecraft.used.purple_wool: #11, 4(0%)
minecraft.crafted.gray_stained_glass_pane: #11, 16(0%)
minecraft.used.blue_stained_glass_pane: #11, 3(0%)
minecraft.used.gray_stained_glass_pane: #11, 3(0%)
minecraft.used.chest: #12, 1307(4%)
minecraft.custom.open_enderchest: #12, 3028(3%)
minecraft.crafted.iron_ingot: #12, 12124(3%)
minecraft.mined.coal_ore: #12, 7205(3%)
minecraft.picked_up.diorite: #12, 9266(3%)
minecraft.picked_up.written_book: #12, 63(3%)
minecraft.picked_up.dirt: #12, 30998(2%)
minecraft.picked_up.leather_leggings: #12, 14(3%)
minecraft.mined.dandelion: #12, 110(3%)
minecraft.picked_up.oak_boat: #12, 80(3%)
minecraft.mined.dark_oak_trapdoor: #12, 72(3%)
minecraft.picked_up.coal_block: #12, 128(3%)
minecraft.dropped.firework_rocket: #12, 578(2%)
minecraft.picked_up.gold_ore: #12, 601(2%)
minecraft.picked_up.quartz_slab: #12, 477(3%)
minecraft.mined.gold_ore: #12, 587(2%)
minecraft.picked_up.dark_oak_trapdoor: #12, 74(2%)
minecraft.picked_up.gunpowder: #12, 493(2%)
minecraft.mined.oak_stairs: #12, 84(2%)
minecraft.used.white_carpet: #12, 375(2%)
minecraft.mined.quartz_slab: #12, 314(2%)
minecraft.picked_up.white_carpet: #12, 96(2%)
minecraft.mined.dark_oak_fence: #12, 87(2%)
minecraft.picked_up.magenta_shulker_box: #12, 60(2%)
minecraft.mined.magenta_shulker_box: #12, 58(2%)
minecraft.picked_up.stone_bricks: #12, 2262(1%)
minecraft.mined.stone_bricks: #12, 2175(1%)
minecraft.picked_up.chainmail_chestplate: #12, 2(2%)
minecraft.killed.silverfish: #12, 20(2%)
minecraft.used.white_concrete_powder: #12, 6116(2%)
minecraft.crafted.lapis_lazuli: #12, 612(1%)
minecraft.mined.azure_bluet: #12, 26(1%)
minecraft.used.glowstone: #12, 194(2%)
minecraft.dropped.dark_oak_log: #12, 64(2%)
minecraft.crafted.gold_ingot: #12, 2505(1%)
minecraft.picked_up.tropical_fish: #12, 7(1%)
minecraft.crafted.smooth_stone_slab: #12, 4362(1%)
minecraft.used.white_shulker_box: #12, 123(1%)
minecraft.mined.barrel: #12, 17(1%)
minecraft.picked_up.spider_eye: #12, 138(1%)
minecraft.picked_up.white_shulker_box: #12, 124(1%)
minecraft.mined.white_shulker_box: #12, 120(1%)
minecraft.picked_up.cocoa_beans: #12, 508(1%)
minecraft.used.dandelion: #12, 3(2%)
minecraft.crafted.sandstone_stairs: #12, 168(2%)
minecraft.picked_up.red_wool: #12, 85(1%)
minecraft.picked_up.cactus: #12, 513(1%)
minecraft.mined.cut_sandstone: #12, 35(1%)
minecraft.picked_up.cut_sandstone: #12, 35(1%)
minecraft.custom.damage_resisted: #12, 4532(1%)
minecraft.mined.white_wall_banner: #12, 5(1%)
minecraft.crafted.oak_planks: #13, 14784(4%)
minecraft.crafted.lead: #12, 6(1%)
minecraft.used.dark_oak_log: #12, 456(1%)
minecraft.mined.emerald_ore: #12, 7(1%)
minecraft.crafted.red_bed: #12, 2(1%)
minecraft.picked_up.rabbit_hide: #12, 2(1%)
minecraft.mined.yellow_stained_glass: #12, 14(1%)
minecraft.crafted.oak_button: #12, 11(1%)
minecraft.killed.snow_golem: #12, 2(1%)
minecraft.used.red_concrete_powder: #12, 192(1%)
minecraft.dropped.iron_door: #12, 2(1%)
minecraft.picked_up.peony: #12, 21(1%)
minecraft.mined.terracotta: #12, 1763(1%)
minecraft.picked_up.dark_prismarine: #12, 54(1%)
minecraft.crafted.coarse_dirt: #12, 384(1%)
minecraft.crafted.light_blue_stained_glass_pane: #12, 48(1%)
minecraft.used.snow: #12, 568(1%)
minecraft.picked_up.purple_banner: #12, 1(1%)
minecraft.used.oxeye_daisy: #12, 2(1%)
minecraft.crafted.gray_carpet: #12, 174(1%)
minecraft.mined.birch_slab: #12, 31(1%)
minecraft.crafted.chiseled_quartz_block: #12, 24(1%)
minecraft.picked_up.azure_bluet: #12, 43(1%)
minecraft.crafted.flower_pot: #12, 28(1%)
minecraft.picked_up.birch_slab: #12, 33(1%)
minecraft.custom.jump: #13, 229848(3%)
minecraft.dropped.shulker_box: #12, 7(1%)
minecraft.mined.orange_concrete: #12, 65(1%)
minecraft.used.spruce_leaves: #12, 229(0%)
minecraft.used.cooked_mutton: #12, 12(0%)
minecraft.picked_up.brown_concrete_powder: #12, 14(0%)
minecraft.picked_up.green_concrete_powder: #12, 18(0%)
minecraft.used.orange_carpet: #12, 5(0%)
minecraft.mined.lime_concrete: #12, 65(0%)
minecraft.picked_up.light_blue_wool: #12, 27(0%)
minecraft.picked_up.gray_stained_glass_pane: #12, 13(0%)
minecraft.mined.cyan_wool: #12, 2(0%)
minecraft.crafted.wooden_sword: #12, 1(0%)
minecraft.picked_up.dark_oak_sapling: #12, 38(0%)
minecraft.mined.light_gray_stained_glass: #12, 16(0%)
minecraft.used.lime_concrete: #12, 32(0%)
minecraft.picked_up.pink_concrete: #12, 4(0%)
minecraft.killed.zombie_pigman: #12, 20(0%)
minecraft.mined.yellow_stained_glass_pane: #12, 1(0%)
minecraft.mined.orange_wool: #12, 1(0%)
minecraft.mined.lectern: #12, 7(0%)
minecraft.picked_up.lectern: #12, 7(0%)
minecraft.dropped.packed_ice: #12, 21(0%)
minecraft.used.cyan_stained_glass_pane: #12, 3(0%)
minecraft.picked_up.red_stained_glass: #12, 5(0%)
minecraft.used.orange_wool: #12, 2(0%)
minecraft.picked_up.magenta_concrete: #12, 2(0%)
minecraft.used.magenta_stained_glass: #12, 1(0%)
minecraft.used.acacia_leaves: #12, 1(0%)
minecraft.used.green_stained_glass: #12, 1(0%)
minecraft.picked_up.red_sand: #12, 2(0%)
minecraft.picked_up.stone: #13, 91438(3%)
minecraft.picked_up.granite: #13, 8084(3%)
minecraft.mined.diorite: #13, 8983(3%)
minecraft.mined.dirt: #13, 23320(2%)
minecraft.picked_up.andesite: #13, 8945(3%)
minecraft.mined.spruce_slab: #13, 417(2%)
minecraft.used.diamond_axe: #13, 22133(2%)
minecraft.picked_up.spruce_slab: #13, 447(2%)
minecraft.crafted.ender_eye: #13, 17(3%)
minecraft.killed_by.player: #13, 2(3%)
minecraft.used.painting: #13, 76(2%)
minecraft.used.iron_block: #13, 1447(2%)
minecraft.picked_up.birch_planks: #13, 171(2%)
minecraft.mined.sea_lantern: #13, 204(2%)
minecraft.crafted.dark_oak_planks: #13, 3740(2%)
minecraft.picked_up.bone_block: #13, 368(2%)
minecraft.mined.grass_path: #13, 169(2%)
minecraft.picked_up.leather: #13, 519(2%)
minecraft.mined.chest: #13, 341(2%)
minecraft.mined.smooth_stone_slab: #13, 968(2%)
minecraft.mined.oak_wall_sign: #13, 56(2%)
minecraft.mined.powered_rail: #13, 191(2%)
minecraft.used.ladder: #13, 286(2%)
minecraft.used.magenta_shulker_box: #13, 56(2%)
minecraft.used.flower_pot: #13, 36(2%)
minecraft.picked_up.painting: #13, 51(2%)
minecraft.picked_up.smooth_stone_slab: #13, 1123(2%)
minecraft.mined.oak_trapdoor: #13, 47(2%)
minecraft.used.red_wool: #13, 83(2%)
minecraft.picked_up.book: #13, 158(1%)
minecraft.mined.dark_oak_planks: #13, 129(1%)
minecraft.mined.sandstone: #13, 2724(1%)
minecraft.picked_up.sandstone: #13, 2719(1%)
minecraft.used.lantern: #13, 108(1%)
minecraft.mined.black_concrete: #13, 1144(1%)
minecraft.used.sandstone_stairs: #13, 106(1%)
minecraft.used.black_concrete: #13, 1101(1%)
minecraft.picked_up.red_mushroom: #13, 29(1%)
minecraft.picked_up.stone_stairs: #13, 21(1%)
minecraft.picked_up.barrel: #13, 17(1%)
minecraft.picked_up.light_gray_wool: #13, 68(1%)
minecraft.mined.red_wool: #13, 21(1%)
minecraft.mined.stone_stairs: #13, 12(1%)
minecraft.picked_up.lime_stained_glass_pane: #13, 13(1%)
minecraft.picked_up.terracotta: #13, 1827(1%)
minecraft.dropped.lead: #13, 2(1%)
minecraft.picked_up.white_stained_glass: #13, 195(1%)
minecraft.used.black_concrete_powder: #13, 1089(1%)
minecraft.crafted.red_concrete_powder: #13, 192(1%)
minecraft.mined.seagrass: #13, 125(1%)
minecraft.crafted.black_concrete_powder: #13, 1216(1%)
minecraft.mined.pink_tulip: #13, 4(1%)
minecraft.picked_up.gray_carpet: #13, 70(1%)
minecraft.used.cocoa_beans: #13, 128(1%)
minecraft.mined.spruce_fence_gate: #13, 7(1%)
minecraft.picked_up.cobweb: #13, 75(1%)
minecraft.crafted.yellow_concrete_powder: #13, 192(1%)
minecraft.used.snowball: #13, 18(1%)
minecraft.crafted.light_gray_carpet: #13, 99(1%)
minecraft.used.chiseled_quartz_block: #13, 24(1%)
minecraft.picked_up.poppy: #13, 243(0%)
minecraft.mined.podzol: #13, 74(1%)
minecraft.picked_up.cooked_mutton: #13, 12(1%)
minecraft.used.coarse_dirt: #13, 266(1%)
minecraft.mined.birch_sapling: #13, 3(1%)
minecraft.mined.blue_carpet: #13, 6(1%)
minecraft.killed.wither: #13, 2(0%)
minecraft.crafted.iron_block: #13, 416(0%)
minecraft.killed.blaze: #13, 80(0%)
minecraft.used.stone_stairs: #13, 14(0%)
minecraft.mined.nether_brick_fence: #13, 3(0%)
minecraft.picked_up.yellow_terracotta: #13, 81(0%)
minecraft.crafted.firework_rocket: #13, 1998(0%)
minecraft.mined.chorus_plant: #13, 6(0%)
minecraft.picked_up.nether_brick_fence: #13, 3(0%)
minecraft.crafted.stone_stairs: #13, 24(0%)
minecraft.used.lilac: #13, 3(0%)
minecraft.picked_up.light_gray_stained_glass: #13, 16(0%)
minecraft.crafted.smoker: #13, 2(0%)
minecraft.used.cyan_wool: #13, 3(0%)
minecraft.mined.light_gray_wool: #13, 3(0%)
minecraft.crafted.lime_carpet: #13, 6(0%)
minecraft.mined.light_blue_wool: #13, 2(0%)
minecraft.used.light_gray_wool: #13, 16(0%)
minecraft.used.purple_stained_glass_pane: #13, 3(0%)
minecraft.mined.jungle_slab: #13, 2(0%)
minecraft.picked_up.dried_kelp_block: #13, 64(0%)
minecraft.dropped.cooked_porkchop: #13, 1(0%)
minecraft.crafted.brown_carpet: #13, 6(0%)
minecraft.dropped.cookie: #13, 3(0%)
minecraft.crafted.light_gray_stained_glass_pane: #13, 16(0%)
minecraft.used.red_stained_glass_pane: #13, 4(0%)
minecraft.used.orange_stained_glass_pane: #13, 3(0%)
minecraft.crafted.red_wool: #13, 3(0%)
minecraft.used.light_gray_stained_glass_pane: #13, 3(0%)
minecraft.picked_up.birch_button: #13, 1(0%)
minecraft.mined.red_sand: #13, 1(0%)
minecraft.mined.stone: #14, 161554(3%)
minecraft.picked_up.arrow: #14, 1812(3%)
minecraft.picked_up.redstone_block: #14, 427(3%)
minecraft.custom.aviate_one_cm: #14, 197578199(2%)
minecraft.picked_up.spruce_stairs: #14, 324(2%)
minecraft.crafted.torch: #14, 5376(2%)
minecraft.crafted.ender_chest: #14, 13(3%)
minecraft.crafted.birch_planks: #14, 3064(2%)
minecraft.crafted.diamond_helmet: #14, 3(2%)
minecraft.picked_up.golden_helmet: #14, 7(2%)
minecraft.killed.creeper: #14, 140(2%)
minecraft.picked_up.chest: #14, 376(2%)
minecraft.crafted.lever: #14, 82(2%)
minecraft.picked_up.oak_trapdoor: #14, 59(2%)
minecraft.crafted.enchanting_table: #14, 1(2%)
minecraft.crafted.redstone_block: #14, 678(1%)
minecraft.picked_up.oak_stairs: #14, 84(2%)
minecraft.picked_up.oak_button: #14, 11(2%)
minecraft.crafted.dark_oak_sign: #14, 9(2%)
minecraft.mined.spruce_wall_sign: #14, 4(2%)
minecraft.crafted.dark_oak_fence: #14, 195(1%)
minecraft.picked_up.iron_door: #14, 11(1%)
minecraft.mined.sticky_piston: #14, 70(1%)
minecraft.picked_up.baked_potato: #14, 105(1%)
minecraft.used.white_banner: #14, 16(1%)
minecraft.mined.spruce_fence: #14, 72(1%)
minecraft.mined.pumpkin: #14, 41(1%)
minecraft.used.barrel: #14, 41(1%)
minecraft.picked_up.salmon: #14, 73(1%)
minecraft.picked_up.kelp: #14, 3680(1%)
minecraft.mined.lantern: #14, 17(1%)
minecraft.picked_up.pufferfish: #14, 22(1%)
minecraft.picked_up.powered_rail: #14, 215(1%)
minecraft.mined.cyan_terracotta: #14, 515(1%)
minecraft.dropped.trident: #14, 2(1%)
minecraft.picked_up.stone_sword: #14, 10(1%)
minecraft.crafted.cyan_dye: #14, 326(1%)
minecraft.crafted.barrel: #14, 31(1%)
minecraft.mined.glass: #14, 222(1%)
minecraft.mined.glass_pane: #14, 22(1%)
minecraft.used.rail: #14, 631(1%)
minecraft.killed.salmon: #14, 4(1%)
minecraft.crafted.cooked_beef: #14, 92(1%)
minecraft.killed.endermite: #14, 2(1%)
minecraft.picked_up.flower_pot: #14, 9(1%)
minecraft.picked_up.lilac: #14, 17(1%)
minecraft.used.yellow_concrete_powder: #14, 199(1%)
minecraft.picked_up.wither_skeleton_skull: #14, 4(1%)
minecraft.crafted.redstone_lamp: #14, 32(1%)
minecraft.mined.red_tulip: #14, 6(1%)
minecraft.used.lime_concrete_powder: #14, 64(1%)
minecraft.used.birch_fence: #14, 14(1%)
minecraft.dropped.ink_sac: #14, 9(1%)
minecraft.used.redstone_lamp: #14, 27(1%)
minecraft.crafted.gold_block: #14, 89(0%)
minecraft.crafted.cyan_carpet: #14, 6(1%)
minecraft.used.light_gray_carpet: #14, 89(0%)
minecraft.crafted.beacon: #14, 2(1%)
minecraft.custom.sprint_one_cm: #15, 70799196(3%)
minecraft.dropped.cobblestone_stairs: #14, 9(1%)
minecraft.picked_up.spruce_fence_gate: #14, 7(1%)
minecraft.mined.white_tulip: #14, 4(1%)
minecraft.killed.wither_skeleton: #14, 112(0%)
minecraft.mined.light_blue_concrete: #14, 64(0%)
minecraft.mined.sandstone_stairs: #14, 8(0%)
minecraft.mined.allium: #14, 4(0%)
minecraft.used.light_gray_stained_glass: #14, 124(0%)
minecraft.mined.dark_prismarine: #14, 19(0%)
minecraft.used.black_wool: #14, 30(0%)
minecraft.used.pumpkin: #14, 33(0%)
minecraft.mined.black_stained_glass: #14, 12(0%)
minecraft.used.orange_concrete: #14, 22(0%)
minecraft.picked_up.light_gray_stained_glass_pane: #14, 13(0%)
minecraft.picked_up.chorus_fruit: #14, 43(0%)
minecraft.picked_up.black_stained_glass: #14, 14(0%)
minecraft.crafted.lime_stained_glass_pane: #14, 16(0%)
minecraft.crafted.red_stained_glass_pane: #14, 16(0%)
minecraft.picked_up.brown_terracotta: #14, 66(0%)
minecraft.mined.oak_wood: #14, 2(0%)
minecraft.mined.blue_wool: #14, 3(0%)
minecraft.used.sweet_berries: #14, 12(0%)
minecraft.used.lectern: #14, 8(0%)
minecraft.mined.red_stained_glass: #14, 5(0%)
minecraft.picked_up.oak_wood: #14, 2(0%)
minecraft.dropped.dark_oak_fence: #14, 1(0%)
minecraft.picked_up.golden_sword: #14, 1(0%)
minecraft.used.lime_carpet: #14, 5(0%)
minecraft.mined.light_blue_stained_glass_pane: #14, 1(0%)
minecraft.used.yellow_carpet: #14, 5(0%)
minecraft.used.brown_carpet: #14, 7(0%)
minecraft.dropped.golden_sword: #14, 1(0%)
minecraft.picked_up.acacia_sapling: #14, 14(0%)
minecraft.used.light_blue_stained_glass_pane: #14, 5(0%)
minecraft.dropped.acacia_sapling: #14, 1(0%)
minecraft.crafted.yellow_carpet: #14, 6(0%)
minecraft.picked_up.purpur_stairs: #14, 1(0%)
minecraft.dropped.iron_axe: #14, 1(0%)
minecraft.mined.purpur_stairs: #14, 1(0%)
minecraft.used.light_blue_wool: #14, 3(0%)
minecraft.picked_up.blue_terracotta: #14, 2(0%)
minecraft.used.blue_carpet: #14, 18(0%)
minecraft.mined.blue_terracotta: #14, 1(0%)
minecraft.picked_up.sunflower: #14, 5(0%)
minecraft.killed.shulker: #14, 3(0%)
minecraft.mined.smooth_quartz: #14, 2(0%)
minecraft.crafted.stone_brick_wall: #14, 6(0%)
minecraft.crafted.blue_carpet: #14, 12(0%)
minecraft.mined.light_blue_glazed_terracotta: #14, 1(0%)
minecraft.dropped.prismarine_shard: #14, 13(0%)
minecraft.used.smooth_quartz: #14, 2(0%)
minecraft.picked_up.purple_concrete: #14, 1(0%)
minecraft.picked_up.brick: #14, 2(0%)
minecraft.mined.red_mushroom_block: #14, 1(0%)
minecraft.custom.sleep_in_bed: #15, 916(3%)
minecraft.mined.oak_planks: #15, 528(3%)
minecraft.used.oak_boat: #15, 73(3%)
minecraft.mined.granite: #15, 7740(3%)
minecraft.crafted.stick: #15, 9072(2%)
minecraft.used.torch: #15, 7975(2%)
minecraft.mined.andesite: #15, 8474(2%)
minecraft.custom.drop: #15, 3013(2%)
minecraft.picked_up.torch: #15, 3441(2%)
minecraft.picked_up.lapis_lazuli: #15, 2747(2%)
minecraft.broken.iron_shovel: #15, 3(2%)
minecraft.killed.zombie: #15, 315(1%)
minecraft.killed.spider: #15, 69(2%)
minecraft.used.dirt: #15, 10729(1%)
minecraft.crafted.diamond_shovel: #15, 6(2%)
minecraft.dropped.dirt: #15, 1839(2%)
minecraft.picked_up.apple: #15, 103(2%)
minecraft.picked_up.oak_sign: #15, 148(2%)
minecraft.mined.anvil: #15, 15(2%)
minecraft.mined.wheat: #15, 865(2%)
minecraft.used.sand: #15, 4987(1%)
minecraft.picked_up.netherrack: #15, 11004(1%)
minecraft.used.lever: #15, 92(1%)
minecraft.mined.flower_pot: #15, 3(2%)
minecraft.crafted.diamond_block: #15, 121(1%)
minecraft.crafted.minecart: #15, 37(1%)
minecraft.mined.redstone_wall_torch: #15, 24(1%)
minecraft.picked_up.dandelion: #15, 120(1%)
minecraft.dropped.oak_sign: #15, 17(1%)
minecraft.mined.white_wool: #15, 30(1%)
minecraft.crafted.spruce_trapdoor: #15, 250(1%)
minecraft.mined.spruce_trapdoor: #15, 77(1%)
minecraft.crafted.piston: #15, 186(1%)
minecraft.picked_up.sticky_piston: #15, 70(1%)
minecraft.used.spruce_trapdoor: #15, 250(1%)
minecraft.crafted.birch_door: #15, 3(1%)
minecraft.picked_up.saddle: #15, 3(1%)
minecraft.used.white_wool: #15, 66(1%)
minecraft.mined.tripwire_hook: #15, 3(1%)
minecraft.picked_up.spruce_trapdoor: #15, 77(1%)
minecraft.crafted.oak_door: #15, 6(1%)
minecraft.picked_up.dark_oak_planks: #15, 128(1%)
minecraft.crafted.lantern: #15, 98(1%)
minecraft.picked_up.stone_pickaxe: #15, 1(1%)
minecraft.picked_up.white_banner: #15, 19(1%)
minecraft.picked_up.spruce_fence: #15, 72(1%)
minecraft.picked_up.enchanted_book: #15, 8(1%)
minecraft.picked_up.ender_pearl: #15, 222(1%)
minecraft.picked_up.iron_nugget: #15, 25(1%)
minecraft.crafted.birch_fence: #15, 21(1%)
minecraft.crafted.iron_nugget: #15, 801(1%)
minecraft.mined.cobweb: #15, 102(1%)
minecraft.dropped.stone_sword: #15, 10(1%)
minecraft.picked_up.cyan_terracotta: #15, 515(1%)
minecraft.picked_up.lantern: #15, 27(1%)
minecraft.mined.kelp_plant: #15, 219(1%)
minecraft.dropped.red_mushroom: #15, 4(1%)
minecraft.crafted.rail: #15, 272(1%)
minecraft.mined.light_gray_carpet: #15, 16(1%)
minecraft.mined.white_stained_glass: #15, 124(1%)
minecraft.picked_up.white_concrete: #15, 1603(1%)
minecraft.crafted.comparator: #15, 53(1%)
minecraft.mined.detector_rail: #15, 2(1%)
minecraft.mined.dead_bush: #15, 7(0%)
minecraft.mined.tnt: #15, 9(1%)
minecraft.mined.white_concrete_powder: #15, 36(1%)
minecraft.picked_up.blue_carpet: #15, 7(1%)
minecraft.crafted.lime_concrete_powder: #15, 64(1%)
minecraft.picked_up.jungle_sapling: #15, 15(0%)
minecraft.used.wither_skeleton_skull: #15, 7(1%)
minecraft.picked_up.pink_tulip: #15, 5(0%)
minecraft.picked_up.yellow_stained_glass: #15, 15(0%)
minecraft.picked_up.dragon_head: #15, 1(0%)
minecraft.picked_up.gray_concrete: #15, 322(0%)
minecraft.used.light_blue_concrete_powder: #15, 64(0%)
minecraft.picked_up.glowstone_dust: #15, 82(0%)
minecraft.mined.yellow_concrete: #15, 65(0%)
minecraft.dropped.slime_ball: #15, 31(0%)
minecraft.crafted.light_blue_concrete_powder: #15, 64(0%)
minecraft.picked_up.yellow_wool: #15, 26(0%)
minecraft.picked_up.cyan_wool: #15, 33(0%)
minecraft.used.birch_slab: #15, 125(0%)
minecraft.picked_up.lime_wool: #15, 26(0%)
minecraft.dropped.brown_mushroom: #15, 3(0%)
minecraft.picked_up.red_concrete: #15, 48(0%)
minecraft.picked_up.stripped_dark_oak_log: #15, 13(0%)
minecraft.picked_up.allium: #15, 4(0%)
minecraft.dropped.coal_ore: #15, 16(0%)
minecraft.mined.coarse_dirt: #15, 26(0%)
minecraft.picked_up.coarse_dirt: #15, 26(0%)
minecraft.picked_up.cooked_cod: #15, 96(0%)
minecraft.crafted.black_carpet: #15, 9(0%)
minecraft.picked_up.orange_terracotta: #15, 88(0%)
minecraft.used.black_carpet: #15, 7(0%)
minecraft.picked_up.brown_carpet: #15, 2(0%)
minecraft.mined.brown_carpet: #15, 1(0%)
minecraft.picked_up.jungle_slab: #15, 2(0%)
minecraft.dropped.beef: #15, 10(0%)
minecraft.crafted.shulker_box: #15, 5(0%)
minecraft.used.lime_wool: #15, 2(0%)
minecraft.dropped.oak_slab: #15, 1(0%)
minecraft.mined.gray_stained_glass: #15, 2(0%)
minecraft.mined.stone_brick_wall: #15, 1(0%)
minecraft.killed.enderman: #15, 13(0%)
minecraft.crafted.cooked_chicken: #15, 4(0%)
minecraft.used.blue_wool: #15, 4(0%)
minecraft.killed.cave_spider: #15, 6(0%)
minecraft.picked_up.stone_brick_wall: #15, 1(0%)
minecraft.picked_up.shulker_shell: #15, 8(0%)
minecraft.crafted.smooth_quartz: #15, 2(0%)
minecraft.used.black_stained_glass_pane: #15, 3(0%)
minecraft.used.orange_stained_glass: #15, 1(0%)
minecraft.picked_up.gray_stained_glass: #15, 2(0%)
minecraft.mined.orange_terracotta: #15, 22(0%)
minecraft.used.purple_stained_glass: #15, 1(0%)
minecraft.used.yellow_wool: #15, 2(0%)
minecraft.used.podzol: #15, 1(0%)
minecraft.used.stone_brick_wall: #15, 1(0%)
minecraft.killed.witch: #15, 4(0%)
minecraft.used.birch_button: #15, 1(0%)
minecraft.picked_up.light_blue_glazed_terracotta: #15, 1(0%)
minecraft.picked_up.smooth_quartz: #15, 2(0%)
