stat, rank, value, (percentage) 
minecraft.picked_up.clay_ball: #7, 2121(3%)
minecraft.picked_up.vine: #7, 638(4%)
minecraft.picked_up.ender_pearl: #7, 951(3%)
minecraft.mined.green_shulker_box: #7, 93(4%)
minecraft.crafted.birch_trapdoor: #7, 110(4%)
minecraft.mined.carrots: #7, 1018(3%)
minecraft.used.green_shulker_box: #7, 95(4%)
minecraft.picked_up.green_shulker_box: #7, 94(4%)
minecraft.crafted.birch_sign: #7, 84(4%)
minecraft.picked_up.flint: #8, 1596(6%)
minecraft.picked_up.stone_hoe: #7, 2(4%)
minecraft.mined.emerald_block: #7, 35(3%)
minecraft.mined.jungle_slab: #7, 51(3%)
minecraft.dropped.wooden_pickaxe: #7, 2(4%)
minecraft.picked_up.sea_pickle: #7, 340(3%)
minecraft.used.yellow_terracotta: #7, 189(3%)
minecraft.used.light_gray_glazed_terracotta: #7, 33(6%)
minecraft.picked_up.jungle_slab: #7, 52(3%)
minecraft.picked_up.golden_boots: #8, 25(6%)
minecraft.crafted.birch_slab: #7, 854(2%)
minecraft.mined.kelp: #8, 943(5%)
minecraft.mined.gray_stained_glass: #7, 62(2%)
minecraft.picked_up.cracked_stone_bricks: #7, 252(2%)
minecraft.used.pink_carpet: #7, 28(3%)
minecraft.crafted.red_terracotta: #7, 376(2%)
minecraft.crafted.magma_cream: #7, 7(3%)
minecraft.dropped.pink_shulker_box: #7, 1(3%)
minecraft.crafted.pink_carpet: #7, 27(2%)
minecraft.used.spruce_button: #7, 18(2%)
minecraft.mined.blue_terracotta: #7, 31(2%)
minecraft.mined.light_gray_banner: #7, 2(4%)
minecraft.broken.stone_axe: #7, 2(3%)
minecraft.crafted.torch: #8, 11216(5%)
minecraft.mined.red_terracotta: #7, 1224(1%)
minecraft.crafted.birch_pressure_plate: #7, 7(1%)
minecraft.crafted.dark_oak_pressure_plate: #7, 6(2%)
minecraft.mined.nether_wart: #7, 205(1%)
minecraft.mined.bamboo_sapling: #7, 1(2%)
minecraft.crafted.orange_terracotta: #7, 128(2%)
minecraft.picked_up.bucket: #8, 63(5%)
minecraft.mined.spawner: #7, 2(1%)
minecraft.mined.dead_tube_coral_block: #7, 11(2%)
minecraft.crafted.green_terracotta: #7, 536(1%)
minecraft.picked_up.oak_fence: #8, 283(5%)
minecraft.mined.jukebox: #7, 2(1%)
minecraft.mined.dark_oak_sapling: #7, 5(1%)
minecraft.mined.lime_glazed_terracotta: #7, 1(2%)
minecraft.mined.purple_terracotta: #7, 10(1%)
minecraft.mined.cyan_bed: #7, 4(1%)
minecraft.used.cyan_bed: #7, 5(1%)
minecraft.picked_up.oak_sign: #8, 402(4%)
minecraft.dropped.red_tulip: #7, 3(1%)
minecraft.used.yellow_glazed_terracotta: #7, 5(1%)
minecraft.mined.light_blue_glazed_terracotta: #7, 15(0%)
minecraft.picked_up.pink_carpet: #7, 2(1%)
minecraft.crafted.light_blue_carpet: #7, 6(1%)
minecraft.crafted.lime_terracotta: #7, 712(0%)
minecraft.used.dead_horn_coral_block: #7, 1(0%)
minecraft.used.dead_fire_coral_block: #7, 4(0%)
minecraft.used.magenta_terracotta: #7, 6(0%)
minecraft.dropped.red_sand: #7, 1(0%)
minecraft.used.dead_brain_coral_block: #7, 1(0%)
minecraft.mined.magenta_terracotta: #7, 1(0%)
minecraft.used.scaffolding: #8, 5360(5%)
minecraft.crafted.prismarine_bricks: #7, 12(0%)
minecraft.crafted.iron_shovel: #8, 20(4%)
minecraft.used.carrot: #8, 3062(4%)
minecraft.picked_up.stone_axe: #8, 3(6%)
minecraft.picked_up.bookshelf: #8, 72(5%)
minecraft.crafted.iron_nugget: #8, 4135(4%)
minecraft.picked_up.spruce_sapling: #8, 702(3%)
minecraft.picked_up.potato: #8, 3741(3%)
minecraft.broken.diamond_pickaxe: #8, 4(4%)
minecraft.dropped.grass: #8, 6(5%)
minecraft.picked_up.polished_granite: #8, 284(4%)
minecraft.picked_up.stone_shovel: #8, 4(5%)
minecraft.used.player_head: #8, 200(3%)
minecraft.crafted.shears: #8, 91(3%)
minecraft.picked_up.birch_boat: #8, 56(3%)
minecraft.used.birch_trapdoor: #8, 104(3%)
minecraft.used.yellow_stained_glass: #8, 205(3%)
minecraft.mined.scaffolding: #8, 1099(3%)
minecraft.killed_by.skeleton: #8, 3(4%)
minecraft.used.end_stone_bricks: #8, 163(3%)
minecraft.used.oak_pressure_plate: #8, 15(3%)
minecraft.crafted.white_banner: #8, 35(3%)
minecraft.mined.spruce_log: #8, 4064(2%)
minecraft.used.sea_pickle: #8, 324(3%)
minecraft.mined.spruce_pressure_plate: #8, 5(3%)
minecraft.mined.orange_stained_glass: #8, 18(3%)
minecraft.dropped.birch_log: #8, 68(2%)
minecraft.picked_up.iron_axe: #8, 10(2%)
minecraft.used.red_stained_glass_pane: #8, 165(3%)
minecraft.mined.birch_pressure_plate: #8, 4(3%)
minecraft.crafted.yellow_stained_glass: #8, 256(3%)
minecraft.mined.lime_shulker_box: #8, 69(2%)
minecraft.used.lime_shulker_box: #8, 70(2%)
minecraft.broken.stone_hoe: #8, 1(4%)
minecraft.picked_up.lime_shulker_box: #8, 69(2%)
minecraft.picked_up.black_terracotta: #8, 123(2%)
minecraft.mined.red_carpet: #8, 42(2%)
minecraft.picked_up.azure_bluet: #8, 107(2%)
minecraft.crafted.black_stained_glass: #8, 824(2%)
minecraft.used.jungle_fence: #8, 41(2%)
minecraft.crafted.golden_chestplate: #8, 2(3%)
minecraft.used.clay: #8, 116(2%)
minecraft.used.orange_tulip: #8, 5(2%)
minecraft.crafted.red_banner: #8, 30(2%)
minecraft.crafted.jungle_fence: #8, 48(2%)
minecraft.mined.green_carpet: #8, 6(2%)
minecraft.picked_up.red_terracotta: #8, 1204(1%)
minecraft.used.end_stone: #8, 134(1%)
minecraft.picked_up.acacia_planks: #8, 18(1%)
minecraft.dropped.beacon: #8, 1(2%)
minecraft.picked_up.leather_helmet: #9, 15(5%)
minecraft.dropped.lilac: #8, 7(1%)
minecraft.used.brain_coral_block: #8, 32(1%)
minecraft.picked_up.blue_terracotta: #8, 30(1%)
minecraft.crafted.jukebox: #8, 1(2%)
minecraft.picked_up.blue_banner: #8, 4(2%)
minecraft.picked_up.crossbow: #8, 8(1%)
minecraft.used.jukebox: #8, 3(2%)
minecraft.used.hay_block: #8, 22(1%)
minecraft.crafted.daylight_detector: #8, 12(1%)
minecraft.mined.black_wool: #8, 16(1%)
minecraft.killed_by.zombie: #8, 4(1%)
minecraft.picked_up.green_stained_glass: #8, 19(1%)
minecraft.picked_up.jukebox: #8, 2(1%)
minecraft.used.nether_wart: #8, 351(1%)
minecraft.picked_up.iron_sword: #9, 11(5%)
minecraft.mined.dirt: #9, 36366(3%)
minecraft.picked_up.green_wool: #8, 38(1%)
minecraft.mined.lime_terracotta: #8, 45(0%)
minecraft.picked_up.lime_terracotta: #8, 48(0%)
minecraft.used.acacia_trapdoor: #8, 31(0%)
minecraft.mined.oak_planks: #9, 733(4%)
minecraft.picked_up.magenta_dye: #8, 4(1%)
minecraft.used.light_blue_carpet: #8, 6(0%)
minecraft.used.dark_oak_sapling: #8, 41(0%)
minecraft.picked_up.brain_coral: #8, 2(0%)
minecraft.picked_up.suspicious_stew: #8, 1(0%)
minecraft.mined.light_gray_glazed_terracotta: #8, 1(0%)
minecraft.mined.dead_fire_coral_block: #8, 3(0%)
minecraft.dropped.allium: #8, 1(0%)
minecraft.mined.black_stained_glass_pane: #8, 4(0%)
minecraft.crafted.red_nether_bricks: #8, 56(0%)
minecraft.mined.dead_horn_coral_block: #8, 1(0%)
minecraft.picked_up.wheat: #9, 3258(4%)
minecraft.used.dried_kelp_block: #8, 15(0%)
minecraft.picked_up.bubble_coral_fan: #8, 3(0%)
minecraft.picked_up.magenta_terracotta: #8, 1(0%)
minecraft.dropped.brown_terracotta: #8, 2(0%)
minecraft.dropped.green_terracotta: #8, 1(0%)
minecraft.used.nether_wart_block: #8, 1(0%)
minecraft.picked_up.dried_kelp: #8, 193(0%)
minecraft.crafted.oak_sign: #9, 466(4%)
minecraft.crafted.white_bed: #9, 18(4%)
minecraft.used.stone: #9, 31926(4%)
minecraft.used.sand: #9, 13362(3%)
minecraft.picked_up.spruce_boat: #9, 61(4%)
minecraft.used.stone_hoe: #9, 260(4%)
minecraft.mined.grass_block: #9, 22613(3%)
minecraft.used.dirt: #9, 21811(3%)
minecraft.picked_up.soul_sand: #9, 1512(4%)
minecraft.mined.soul_sand: #9, 1583(3%)
minecraft.custom.damage_absorbed: #9, 264(4%)
minecraft.picked_up.brown_mushroom: #9, 159(3%)
minecraft.picked_up.bone: #9, 2091(3%)
minecraft.crafted.coal_block: #9, 927(3%)
minecraft.used.detector_rail: #9, 29(4%)
minecraft.picked_up.iron_shovel: #9, 11(3%)
minecraft.crafted.lapis_block: #9, 387(3%)
minecraft.broken.iron_sword: #9, 1(5%)
minecraft.used.birch_boat: #9, 59(3%)
minecraft.used.spruce_door: #9, 46(3%)
minecraft.picked_up.dark_oak_fence: #9, 180(3%)
minecraft.picked_up.red_mushroom: #9, 96(3%)
minecraft.crafted.flint_and_steel: #9, 13(3%)
minecraft.used.obsidian: #9, 605(3%)
minecraft.mined.gold_ore: #9, 705(3%)
minecraft.picked_up.gold_ore: #9, 702(2%)
minecraft.mined.dark_oak_fence: #9, 129(3%)
minecraft.used.repeater: #9, 575(3%)
minecraft.picked_up.stone_button: #9, 238(3%)
minecraft.crafted.repeater: #9, 462(3%)
minecraft.mined.black_stained_glass: #9, 153(3%)
minecraft.crafted.spruce_door: #9, 36(3%)
minecraft.picked_up.scaffolding: #9, 2899(3%)
minecraft.dropped.acacia_planks: #9, 16(3%)
minecraft.crafted.stone_axe: #9, 5(2%)
minecraft.dropped.spruce_planks: #9, 121(2%)
minecraft.picked_up.red_carpet: #9, 95(3%)
minecraft.crafted.red_stained_glass_pane: #9, 224(3%)
minecraft.mined.birch_log: #9, 1112(2%)
minecraft.used.cracked_stone_bricks: #9, 252(2%)
minecraft.used.lime_stained_glass_pane: #9, 147(3%)
minecraft.custom.sprint_one_cm: #10, 92725543(4%)
minecraft.crafted.detector_rail: #9, 24(2%)
minecraft.picked_up.black_wool: #9, 111(2%)
minecraft.crafted.gold_nugget: #9, 5123(2%)
minecraft.picked_up.end_stone: #9, 500(2%)
minecraft.crafted.bookshelf: #9, 184(2%)
minecraft.mined.white_tulip: #9, 18(2%)
minecraft.used.birch_pressure_plate: #9, 9(2%)
minecraft.picked_up.black_stained_glass: #9, 137(2%)
minecraft.used.polished_granite: #9, 401(2%)
minecraft.mined.end_stone: #9, 446(2%)
minecraft.crafted.stone_shovel: #9, 8(2%)
minecraft.picked_up.milk_bucket: #9, 3(2%)
minecraft.dropped.birch_sign: #9, 7(3%)
minecraft.crafted.cooked_cod: #9, 150(2%)
minecraft.crafted.oak_button: #9, 20(2%)
minecraft.picked_up.orange_stained_glass: #9, 55(3%)
minecraft.crafted.fermented_spider_eye: #9, 11(2%)
minecraft.dropped.golden_apple: #9, 1(3%)
minecraft.crafted.cobblestone_stairs: #9, 376(1%)
minecraft.used.bubble_coral_block: #9, 32(2%)
minecraft.mined.pink_tulip: #9, 8(2%)
minecraft.dropped.oak_button: #9, 4(2%)
minecraft.crafted.spruce_button: #9, 21(1%)
minecraft.custom.bell_ring: #9, 29(2%)
minecraft.used.fire_coral: #9, 6(2%)
minecraft.custom.minecart_one_cm: #9, 3011446(1%)
minecraft.crafted.brewing_stand: #9, 7(1%)
minecraft.mined.purple_stained_glass_pane: #9, 4(2%)
minecraft.used.gray_bed: #9, 10(2%)
minecraft.crafted.map: #9, 25(1%)
minecraft.dropped.chainmail_chestplate: #9, 1(2%)
minecraft.used.torch: #10, 14302(4%)
minecraft.crafted.cooked_salmon: #9, 35(1%)
minecraft.dropped.stone_brick_stairs: #9, 45(1%)
minecraft.mined.nether_brick_slab: #9, 38(1%)
minecraft.picked_up.light_gray_terracotta: #9, 1267(1%)
minecraft.mined.hay_block: #9, 7(1%)
minecraft.custom.interact_with_cartography_table: #9, 1(1%)
minecraft.mined.light_gray_terracotta: #9, 1264(1%)
minecraft.used.black_wool: #9, 93(1%)
minecraft.picked_up.iron_chestplate: #10, 12(4%)
minecraft.picked_up.green_carpet: #9, 6(1%)
minecraft.picked_up.wheat_seeds: #10, 6585(4%)
minecraft.picked_up.sweet_berries: #9, 212(1%)
minecraft.crafted.filled_map: #9, 23(1%)
minecraft.crafted.golden_carrot: #9, 561(1%)
minecraft.mined.green_stained_glass: #9, 5(1%)
minecraft.dropped.jungle_slab: #9, 1(1%)
minecraft.picked_up.nether_wart_block: #9, 1(1%)
minecraft.picked_up.brick: #9, 80(0%)
minecraft.picked_up.jungle_trapdoor: #9, 6(0%)
minecraft.picked_up.pink_dye: #9, 2(0%)
minecraft.picked_up.tube_coral: #9, 2(0%)
minecraft.crafted.nether_wart_block: #9, 14(0%)
minecraft.dropped.dried_kelp: #9, 17(0%)
minecraft.mined.yellow_glazed_terracotta: #9, 1(0%)
minecraft.picked_up.leather_leggings: #10, 19(4%)
minecraft.used.jungle_button: #9, 1(0%)
minecraft.crafted.jungle_button: #9, 1(0%)
minecraft.picked_up.fire_coral: #9, 1(0%)
minecraft.picked_up.red_mushroom_block: #9, 30(0%)
minecraft.crafted.prismarine: #9, 16(0%)
minecraft.mined.dead_brain_coral_block: #9, 1(0%)
minecraft.mined.torch: #10, 1863(4%)
minecraft.crafted.air: #9, 0(0%)
minecraft.picked_up.diamond_shovel: #10, 56(4%)
minecraft.custom.fall_one_cm: #10, 6433992(3%)
minecraft.used.oak_sign: #10, 557(4%)
minecraft.picked_up.bow: #10, 168(3%)
minecraft.used.minecart: #10, 160(4%)
minecraft.mined.coal_ore: #10, 8031(4%)
minecraft.killed_by.creeper: #10, 5(4%)
minecraft.mined.grass: #10, 2252(3%)
minecraft.used.spruce_slab: #10, 2242(3%)
minecraft.crafted.diamond_axe: #10, 6(3%)
minecraft.custom.deaths: #10, 82(3%)
minecraft.picked_up.coal: #10, 12155(3%)
minecraft.used.writable_book: #10, 118(3%)
minecraft.used.furnace: #10, 245(3%)
minecraft.picked_up.spruce_door: #10, 33(3%)
minecraft.mined.redstone_lamp: #10, 60(4%)
minecraft.mined.oak_wall_sign: #10, 85(3%)
minecraft.mined.iron_bars: #10, 270(3%)
minecraft.picked_up.poisonous_potato: #10, 31(3%)
minecraft.used.glowstone: #10, 348(3%)
minecraft.used.spruce_log: #10, 878(2%)
minecraft.used.magma_block: #10, 288(2%)
minecraft.mined.oak_log: #10, 2487(2%)
minecraft.used.gravel: #10, 1153(2%)
minecraft.picked_up.spruce_log: #10, 4369(2%)
minecraft.used.lapis_ore: #10, 90(2%)
minecraft.mined.oak_pressure_plate: #10, 6(3%)
minecraft.crafted.iron_door: #10, 21(2%)
minecraft.used.redstone_lamp: #10, 127(2%)
minecraft.mined.birch_trapdoor: #10, 19(3%)
minecraft.picked_up.redstone_lamp: #10, 72(3%)
minecraft.picked_up.birch_log: #10, 1179(2%)
minecraft.mined.white_stained_glass: #10, 406(2%)
minecraft.killed.endermite: #10, 5(2%)
minecraft.mined.beetroots: #10, 31(2%)
minecraft.picked_up.cactus: #10, 803(2%)
minecraft.used.poppy: #10, 8(2%)
minecraft.dropped.lapis_lazuli: #10, 64(2%)
minecraft.crafted.redstone_torch: #10, 1211(2%)
minecraft.used.rose_bush: #10, 20(2%)
minecraft.used.beetroot_seeds: #10, 30(2%)
minecraft.dropped.arrow: #10, 445(1%)
minecraft.mined.orange_tulip: #10, 17(2%)
minecraft.crafted.leather_leggings: #10, 19(2%)
minecraft.picked_up.white_terracotta: #10, 1501(2%)
minecraft.used.lead: #10, 1(3%)
minecraft.picked_up.beetroot: #10, 28(2%)
minecraft.mined.white_terracotta: #10, 1354(1%)
minecraft.picked_up.redstone_ore: #10, 649(1%)
minecraft.dropped.glass_bottle: #10, 28(1%)
minecraft.crafted.leather_chestplate: #10, 18(2%)
minecraft.mined.spruce_button: #10, 4(1%)
minecraft.picked_up.birch_sapling: #10, 169(1%)
minecraft.mined.cyan_shulker_box: #10, 35(1%)
minecraft.used.cyan_shulker_box: #10, 35(1%)
minecraft.picked_up.cyan_shulker_box: #10, 35(1%)
minecraft.crafted.compass: #10, 25(1%)
minecraft.custom.play_noteblock: #10, 47(1%)
minecraft.used.tube_coral_block: #10, 41(1%)
minecraft.mined.acacia_leaves: #10, 228(1%)
minecraft.broken.fishing_rod: #10, 1(1%)
minecraft.picked_up.nether_wart: #10, 701(1%)
minecraft.dropped.gold_ingot: #10, 38(1%)
minecraft.used.cooked_salmon: #10, 35(1%)
minecraft.dropped.writable_book: #10, 1(1%)
minecraft.custom.damage_taken: #11, 240428(3%)
minecraft.mined.birch_sapling: #10, 4(1%)
minecraft.crafted.glowstone: #10, 126(1%)
minecraft.crafted.lime_shulker_box: #10, 2(1%)
minecraft.used.fire_coral_block: #10, 32(1%)
minecraft.picked_up.dark_oak_sapling: #10, 78(1%)
minecraft.mined.magenta_wool: #10, 1(1%)
minecraft.dropped.totem_of_undying: #10, 1(1%)
minecraft.used.blue_banner: #10, 2(1%)
minecraft.mined.blast_furnace: #10, 2(1%)
minecraft.used.iron_ore: #10, 16(0%)
minecraft.crafted.light_blue_wool: #10, 6(1%)
minecraft.used.allium: #10, 1(1%)
minecraft.mined.jungle_trapdoor: #10, 7(1%)
minecraft.picked_up.cooked_cod: #10, 352(0%)
minecraft.mined.sweet_berry_bush: #10, 15(1%)
minecraft.dropped.rose_bush: #10, 3(1%)
minecraft.picked_up.chorus_flower: #10, 12(0%)
minecraft.used.green_terracotta: #10, 182(0%)
minecraft.crafted.written_book: #10, 1(0%)
minecraft.mined.pink_concrete: #10, 6(0%)
minecraft.used.orange_stained_glass_pane: #10, 14(0%)
minecraft.mined.smoker: #10, 1(0%)
minecraft.picked_up.pink_concrete: #10, 5(0%)
minecraft.crafted.orange_stained_glass_pane: #10, 16(0%)
minecraft.used.magenta_wool: #10, 1(0%)
minecraft.dropped.red_terracotta: #10, 8(0%)
minecraft.mined.lectern: #10, 11(0%)
minecraft.dropped.tnt: #10, 1(0%)
minecraft.picked_up.stripped_spruce_wood: #10, 1(0%)
minecraft.mined.stripped_spruce_wood: #10, 1(0%)
minecraft.crafted.acacia_wood: #10, 9(0%)
minecraft.used.jungle_trapdoor: #10, 8(0%)
minecraft.dropped.chorus_fruit: #10, 1(0%)
minecraft.crafted.jungle_trapdoor: #10, 2(0%)
minecraft.dropped.sweet_berries: #10, 3(0%)
minecraft.mined.bubble_coral_wall_fan: #10, 1(0%)
minecraft.picked_up.iron_leggings: #11, 12(4%)
minecraft.crafted.spruce_slab: #11, 2334(4%)
minecraft.custom.boat_one_cm: #11, 23062043(3%)
minecraft.picked_up.iron_boots: #11, 10(3%)
minecraft.custom.aviate_one_cm: #11, 263864729(3%)
minecraft.crafted.crafting_table: #11, 91(3%)
minecraft.picked_up.coal_ore: #11, 2107(3%)
minecraft.crafted.furnace: #11, 244(3%)
minecraft.crafted.bucket: #11, 95(3%)
minecraft.mined.poppy: #11, 156(3%)
minecraft.mined.wheat: #11, 1673(3%)
minecraft.used.glass_bottle: #11, 167(3%)
minecraft.used.cobblestone_wall: #11, 427(3%)
minecraft.mined.detector_rail: #11, 10(4%)
minecraft.used.brewing_stand: #11, 16(3%)
minecraft.used.damaged_anvil: #11, 7(3%)
minecraft.crafted.lapis_lazuli: #11, 981(2%)
minecraft.crafted.redstone_block: #11, 1027(2%)
minecraft.picked_up.carrot: #11, 3815(2%)
minecraft.custom.horse_one_cm: #11, 735999(2%)
minecraft.used.enchanting_table: #11, 3(3%)
minecraft.picked_up.writable_book: #11, 13(2%)
minecraft.crafted.lectern: #11, 16(3%)
minecraft.mined.redstone_ore: #11, 2058(2%)
minecraft.crafted.wooden_axe: #11, 1(3%)
minecraft.used.egg: #11, 479(2%)
minecraft.picked_up.end_rod: #11, 287(2%)
minecraft.picked_up.flint_and_steel: #11, 7(2%)
minecraft.picked_up.end_stone_bricks: #11, 164(2%)
minecraft.dropped.iron_boots: #11, 3(2%)
minecraft.mined.enchanting_table: #11, 2(3%)
minecraft.picked_up.enchanting_table: #11, 2(3%)
minecraft.broken.shears: #11, 22(2%)
minecraft.mined.tnt: #11, 35(2%)
minecraft.mined.clay: #11, 402(2%)
minecraft.mined.light_blue_shulker_box: #11, 180(2%)
minecraft.used.light_blue_shulker_box: #11, 181(2%)
minecraft.crafted.red_shulker_box: #11, 6(2%)
minecraft.picked_up.light_blue_shulker_box: #11, 180(2%)
minecraft.crafted.leather_boots: #11, 17(2%)
minecraft.crafted.enchanting_table: #11, 1(2%)
minecraft.mined.brewing_stand: #11, 8(2%)
minecraft.used.white_banner: #11, 22(2%)
minecraft.custom.interact_with_loom: #11, 10(2%)
minecraft.picked_up.emerald_block: #11, 35(2%)
minecraft.picked_up.lapis_ore: #11, 102(1%)
minecraft.picked_up.iron_nugget: #11, 45(2%)
minecraft.picked_up.white_stained_glass: #11, 335(1%)
minecraft.used.terracotta: #11, 110(1%)
minecraft.picked_up.spruce_button: #11, 6(1%)
minecraft.used.oxeye_daisy: #11, 3(2%)
minecraft.custom.trigger_trapped_chest: #11, 30(1%)
minecraft.used.cooked_cod: #11, 252(1%)
minecraft.picked_up.shears: #11, 7(1%)
minecraft.mined.gray_shulker_box: #11, 40(1%)
minecraft.picked_up.gray_stained_glass: #11, 79(1%)
minecraft.picked_up.gray_shulker_box: #11, 40(1%)
minecraft.used.gray_shulker_box: #11, 41(1%)
minecraft.crafted.coarse_dirt: #11, 448(1%)
minecraft.mined.white_banner: #11, 2(1%)
minecraft.crafted.green_shulker_box: #11, 2(1%)
minecraft.mined.terracotta: #11, 2012(1%)
minecraft.used.red_terracotta: #11, 308(1%)
minecraft.used.emerald_block: #11, 35(1%)
minecraft.crafted.magenta_shulker_box: #11, 1(1%)
minecraft.used.brain_coral: #11, 3(1%)
minecraft.crafted.cyan_shulker_box: #11, 1(1%)
minecraft.picked_up.glass_bottle: #11, 24(1%)
minecraft.crafted.dark_oak_boat: #11, 2(1%)
minecraft.crafted.cyan_carpet: #11, 9(1%)
minecraft.mined.red_stained_glass_pane: #11, 13(1%)
minecraft.used.birch_sapling: #11, 70(1%)
minecraft.used.carved_pumpkin: #11, 6(1%)
minecraft.picked_up.chorus_fruit: #11, 133(1%)
minecraft.crafted.orange_shulker_box: #11, 2(1%)
minecraft.crafted.stone_sword: #11, 2(0%)
minecraft.used.orange_shulker_box: #11, 38(1%)
minecraft.crafted.cracked_stone_bricks: #11, 154(1%)
minecraft.mined.orange_shulker_box: #11, 36(1%)
minecraft.picked_up.purple_stained_glass_pane: #11, 4(1%)
minecraft.used.cobweb: #11, 44(1%)
minecraft.dropped.stripped_spruce_log: #11, 1(1%)
minecraft.picked_up.dried_kelp_block: #11, 296(1%)
minecraft.crafted.mossy_stone_bricks: #11, 53(1%)
minecraft.crafted.dried_kelp_block: #11, 2183(0%)
minecraft.used.blast_furnace: #11, 3(1%)
minecraft.dropped.carved_pumpkin: #11, 1(1%)
minecraft.dropped.red_dye: #11, 4(1%)
minecraft.mined.chorus_plant: #11, 9(0%)
minecraft.picked_up.blast_furnace: #11, 2(0%)
minecraft.picked_up.red_stained_glass_pane: #11, 7(1%)
minecraft.crafted.snow: #11, 48(0%)
minecraft.crafted.red_wool: #11, 29(0%)
minecraft.used.acacia_sapling: #11, 28(0%)
minecraft.picked_up.lectern: #11, 17(0%)
minecraft.picked_up.acacia_sapling: #11, 33(0%)
minecraft.picked_up.smoker: #11, 1(0%)
minecraft.used.lime_stained_glass: #11, 41(0%)
minecraft.crafted.dark_oak_wood: #11, 21(0%)
minecraft.crafted.pumpkin_seeds: #11, 16(0%)
minecraft.used.gold_ore: #11, 5(0%)
minecraft.crafted.blue_wool: #11, 8(0%)
minecraft.used.purple_stained_glass_pane: #11, 3(0%)
minecraft.used.acacia_wood: #11, 9(0%)
minecraft.picked_up.melon_slice: #11, 64(0%)
minecraft.picked_up.oak_planks: #12, 1009(4%)
minecraft.picked_up.green_terracotta: #11, 10(0%)
minecraft.killed.cave_spider: #11, 10(0%)
minecraft.used.chorus_flower: #11, 2(0%)
minecraft.mined.stripped_acacia_log: #11, 1(0%)
minecraft.mined.fire_coral_block: #11, 2(0%)
minecraft.picked_up.torch: #12, 6141(3%)
minecraft.used.oak_boat: #12, 89(3%)
minecraft.broken.iron_axe: #12, 3(3%)
minecraft.picked_up.elytra: #12, 45(3%)
minecraft.picked_up.minecart: #12, 166(3%)
minecraft.mined.redstone_block: #12, 179(3%)
minecraft.picked_up.lapis_lazuli: #12, 3389(3%)
minecraft.custom.walk_one_cm: #13, 121161020(4%)
minecraft.mined.redstone_torch: #12, 65(3%)
minecraft.crafted.cobblestone_wall: #12, 474(2%)
minecraft.picked_up.oak_sapling: #12, 723(2%)
minecraft.picked_up.stick: #12, 981(2%)
minecraft.used.iron_bars: #12, 722(2%)
minecraft.crafted.glass_bottle: #12, 141(3%)
minecraft.crafted.spruce_boat: #12, 9(3%)
minecraft.mined.furnace: #12, 95(2%)
minecraft.picked_up.egg: #12, 393(2%)
minecraft.picked_up.oak_log: #12, 2657(2%)
minecraft.custom.mob_kills: #12, 41234(1%)
minecraft.mined.flower_pot: #12, 5(3%)
minecraft.picked_up.iron_helmet: #12, 7(2%)
minecraft.crafted.diamond_helmet: #12, 3(2%)
minecraft.picked_up.dark_oak_planks: #12, 319(2%)
minecraft.dropped.leather_leggings: #12, 7(2%)
minecraft.picked_up.ink_sac: #12, 359(2%)
minecraft.picked_up.redstone: #12, 9123(2%)
minecraft.mined.dark_oak_planks: #12, 217(2%)
minecraft.used.granite: #12, 248(2%)
minecraft.dropped.flint: #12, 186(2%)
minecraft.picked_up.repeater: #12, 228(2%)
minecraft.picked_up.dark_oak_stairs: #12, 143(2%)
minecraft.used.redstone_block: #12, 294(2%)
minecraft.dropped.bow: #12, 69(2%)
minecraft.picked_up.brewing_stand: #12, 10(2%)
minecraft.dropped.birch_planks: #12, 35(2%)
minecraft.dropped.chest: #12, 27(2%)
minecraft.crafted.paper: #12, 11131(2%)
minecraft.used.magenta_shulker_box: #12, 58(2%)
minecraft.dropped.leather_boots: #12, 8(2%)
minecraft.dropped.oak_log: #12, 68(2%)
minecraft.used.redstone_torch: #12, 246(2%)
minecraft.crafted.barrel: #12, 56(2%)
minecraft.mined.rail: #12, 593(1%)
minecraft.dropped.oak_sapling: #12, 58(1%)
minecraft.dropped.iron_leggings: #12, 2(2%)
minecraft.custom.walk_under_water_one_cm: #13, 12919619(3%)
minecraft.mined.note_block: #12, 17(2%)
minecraft.mined.dark_oak_leaves: #12, 185(1%)
minecraft.picked_up.splash_potion: #12, 5(2%)
minecraft.used.dark_oak_stairs: #12, 238(1%)
minecraft.crafted.dark_oak_stairs: #12, 272(1%)
minecraft.picked_up.light_gray_wool: #12, 77(1%)
minecraft.dropped.dandelion: #12, 34(1%)
minecraft.used.mossy_stone_bricks: #12, 55(1%)
minecraft.picked_up.rose_bush: #12, 113(1%)
minecraft.dropped.enchanted_book: #12, 7(1%)
minecraft.crafted.redstone_lamp: #12, 52(1%)
minecraft.dropped.spruce_trapdoor: #12, 7(1%)
minecraft.dropped.slime_ball: #12, 90(1%)
minecraft.crafted.red_stained_glass: #12, 344(1%)
minecraft.picked_up.oxeye_daisy: #12, 54(1%)
minecraft.crafted.clock: #12, 1(1%)
minecraft.used.horn_coral_block: #12, 17(1%)
minecraft.picked_up.terracotta: #12, 1977(1%)
minecraft.mined.chiseled_sandstone: #12, 2(1%)
minecraft.used.cyan_carpet: #12, 11(1%)
minecraft.killed_by.phantom: #12, 1(1%)
minecraft.used.coarse_dirt: #12, 364(1%)
