stat, rank, value, (percentage) 
minecraft.mined.kelp: #4, 1781(10%)
minecraft.used.dragon_head: #3, 12(13%)
minecraft.used.chiseled_quartz_block: #4, 526(15%)
minecraft.dropped.cobblestone_slab: #3, 234(9%)
minecraft.picked_up.gray_wool: #3, 246(7%)
minecraft.used.light_gray_carpet: #4, 2345(12%)
minecraft.picked_up.tipped_arrow: #3, 96(17%)
minecraft.picked_up.acacia_door: #3, 38(19%)
minecraft.custom.interact_with_crafting_table: #4, 6927(7%)
minecraft.dropped.red_tulip: #3, 65(14%)
minecraft.mined.stripped_oak_wood: #3, 112(17%)
minecraft.mined.cyan_banner: #3, 6(17%)
minecraft.used.dead_brain_coral_fan: #3, 42(21%)
minecraft.picked_up.flint: #4, 2458(10%)
minecraft.used.birch_fence_gate: #3, 106(13%)
minecraft.used.jungle_trapdoor: #3, 722(15%)
minecraft.picked_up.lime_terracotta: #3, 1005(7%)
minecraft.crafted.book: #3, 536(6%)
minecraft.mined.stripped_birch_log: #4, 997(13%)
minecraft.used.bone_meal: #4, 11941(8%)
minecraft.picked_up.prismarine: #4, 3913(13%)
minecraft.mined.potted_cornflower: #2, 1(20%)
minecraft.mined.spruce_sign: #3, 7(11%)
minecraft.crafted.mushroom_stew: #2, 13(19%)
minecraft.picked_up.blue_banner: #3, 33(15%)
minecraft.used.blue_banner: #3, 32(14%)
minecraft.used.jungle_slab: #3, 594(10%)
minecraft.crafted.red_glazed_terracotta: #2, 64(6%)
minecraft.mined.red_glazed_terracotta: #3, 62(14%)
minecraft.picked_up.oak_wood: #3, 107(9%)
minecraft.picked_up.sunflower: #3, 842(9%)
minecraft.picked_up.purple_banner: #3, 9(11%)
minecraft.mined.green_wall_banner: #3, 2(22%)
minecraft.mined.spruce_slab: #4, 1654(9%)
minecraft.used.chipped_anvil: #3, 27(8%)
minecraft.picked_up.stripped_birch_log: #4, 988(12%)
minecraft.mined.prismarine_bricks: #4, 4449(13%)
minecraft.mined.campfire: #3, 59(9%)
minecraft.dropped.acacia_fence_gate: #2, 2(10%)
minecraft.picked_up.spruce_slab: #4, 1921(8%)
minecraft.dropped.barrel: #3, 25(16%)
minecraft.picked_up.oak_sign: #4, 855(9%)
minecraft.used.sandstone_slab: #3, 6734(7%)
minecraft.mined.red_carpet: #4, 284(13%)
minecraft.picked_up.cyan_banner: #3, 9(12%)
minecraft.picked_up.feather: #4, 1256(9%)
minecraft.crafted.iron_helmet: #4, 35(9%)
minecraft.mined.infested_cobblestone: #3, 2(18%)
minecraft.crafted.magenta_terracotta: #2, 240(3%)
minecraft.crafted.jungle_trapdoor: #3, 516(13%)
minecraft.crafted.leather_leggings: #3, 70(7%)
minecraft.used.water_bucket: #4, 6044(9%)
minecraft.picked_up.birch_planks: #4, 791(9%)
minecraft.picked_up.light_gray_carpet: #3, 502(6%)
minecraft.crafted.orange_banner: #3, 9(20%)
minecraft.used.bucket: #4, 6519(9%)
minecraft.mined.brick_stairs: #3, 107(10%)
minecraft.mined.brown_banner: #2, 4(10%)
minecraft.mined.stone_brick_slab: #4, 3070(10%)
minecraft.mined.vine: #4, 1962(9%)
minecraft.crafted.green_bed: #2, 5(3%)
minecraft.used.cyan_carpet: #4, 144(14%)
minecraft.picked_up.cobblestone_wall: #4, 511(9%)
minecraft.dropped.stripped_oak_log: #3, 13(9%)
minecraft.used.jungle_stairs: #3, 277(9%)
minecraft.dropped.campfire: #3, 11(16%)
minecraft.crafted.mossy_stone_bricks: #3, 688(8%)
minecraft.crafted.polished_andesite_stairs: #3, 568(12%)
minecraft.dropped.orange_glazed_terracotta: #2, 4(6%)
minecraft.picked_up.purple_glazed_terracotta: #2, 38(2%)
minecraft.used.diamond_shovel: #4, 395424(8%)
minecraft.dropped.jungle_slab: #3, 13(12%)
minecraft.used.shears: #4, 21760(8%)
minecraft.picked_up.birch_stairs: #3, 458(6%)
minecraft.used.turtle_egg: #3, 67(12%)
minecraft.custom.sprint_one_cm: #5, 199452718(8%)
minecraft.crafted.iron_door: #3, 48(6%)
minecraft.picked_up.golden_chestplate: #4, 30(9%)
minecraft.crafted.chiseled_sandstone: #3, 68(10%)
minecraft.mined.green_shulker_box: #4, 272(12%)
minecraft.used.clay: #4, 785(15%)
minecraft.picked_up.black_carpet: #4, 252(11%)
minecraft.mined.farmland: #4, 432(9%)
minecraft.crafted.light_gray_bed: #3, 5(13%)
minecraft.crafted.dark_oak_planks: #4, 16220(8%)
minecraft.mined.jungle_wood: #3, 11(17%)
minecraft.picked_up.bowl: #3, 40(7%)
minecraft.dropped.redstone_ore: #3, 122(6%)
minecraft.dropped.oak_fence_gate: #3, 7(11%)
minecraft.picked_up.green_shulker_box: #4, 276(11%)
minecraft.mined.stone: #4, 382821(7%)
minecraft.used.green_shulker_box: #4, 275(11%)
minecraft.used.fishing_rod: #3, 11950(5%)
minecraft.dropped.light_gray_terracotta: #3, 385(9%)
minecraft.picked_up.brick_stairs: #3, 100(8%)
minecraft.dropped.purple_terracotta: #2, 1(0%)
minecraft.killed_by.blaze: #3, 1(25%)
minecraft.used.purple_banner: #3, 10(10%)
minecraft.crafted.flower_banner_pattern: #3, 1(20%)
minecraft.mined.bubble_column: #3, 1(25%)
minecraft.used.gravel: #4, 4351(8%)
minecraft.picked_up.orange_terracotta: #4, 9450(9%)
minecraft.used.cyan_stained_glass_pane: #4, 313(15%)
minecraft.dropped.prismarine: #3, 200(10%)
minecraft.dropped.nether_bricks: #3, 86(7%)
minecraft.picked_up.kelp: #4, 32301(8%)
minecraft.used.red_glazed_terracotta: #3, 111(10%)
minecraft.crafted.dark_oak_fence_gate: #4, 257(12%)
minecraft.used.light_gray_bed: #3, 15(11%)
minecraft.crafted.yellow_bed: #3, 7(8%)
minecraft.killed.turtle: #3, 49(9%)
minecraft.picked_up.loom: #4, 15(10%)
minecraft.dropped.green_shulker_box: #3, 3(16%)
minecraft.crafted.acacia_door: #3, 18(11%)
minecraft.dropped.pufferfish_bucket: #3, 3(16%)
minecraft.picked_up.iron_horse_armor: #3, 2(11%)
minecraft.picked_up.rose_bush: #4, 1053(8%)
minecraft.dropped.sponge: #3, 51(15%)
minecraft.crafted.gray_stained_glass_pane: #3, 1248(8%)
minecraft.dropped.lapis_ore: #4, 32(17%)
minecraft.dropped.coal_block: #3, 58(8%)
minecraft.mined.diorite: #4, 23216(8%)
minecraft.mined.loom: #4, 14(10%)
minecraft.used.white_banner: #4, 118(9%)
minecraft.crafted.barrel: #4, 323(9%)
minecraft.mined.cake: #4, 33(16%)
minecraft.used.pufferfish_bucket: #4, 57(11%)
minecraft.crafted.black_stained_glass: #4, 4664(13%)
minecraft.used.red_concrete_powder: #4, 2105(11%)
minecraft.killed.endermite: #4, 24(12%)
minecraft.crafted.dark_oak_stairs: #4, 2176(9%)
minecraft.mined.cyan_concrete: #4, 585(13%)
minecraft.used.gray_banner: #3, 18(12%)
minecraft.picked_up.light_blue_banner: #3, 12(7%)
minecraft.crafted.red_concrete_powder: #4, 2272(11%)
minecraft.used.white_shulker_box: #4, 814(9%)
minecraft.picked_up.oak_fence: #4, 466(8%)
minecraft.mined.clay: #4, 1838(8%)
minecraft.used.painting: #4, 285(9%)
minecraft.crafted.bowl: #3, 80(8%)
minecraft.crafted.purple_banner: #3, 18(12%)
minecraft.used.jukebox: #3, 16(8%)
minecraft.picked_up.scaffolding: #4, 9366(9%)
minecraft.used.oak_fence_gate: #4, 125(9%)
minecraft.mined.lantern: #4, 140(9%)
minecraft.dropped.light_gray_banner: #3, 1(20%)
minecraft.broken.diamond_hoe: #3, 1(20%)
minecraft.used.spruce_stairs: #4, 1698(7%)
minecraft.used.mushroom_stem: #4, 655(16%)
minecraft.crafted.iron_trapdoor: #4, 1436(8%)
minecraft.used.oak_sign: #4, 1052(7%)
minecraft.picked_up.gray_banner: #3, 11(13%)
minecraft.used.purple_terracotta: #3, 268(9%)
minecraft.crafted.spruce_stairs: #4, 2024(7%)
minecraft.used.iron_sword: #4, 1180(7%)
minecraft.mined.dark_oak_trapdoor: #4, 174(8%)
minecraft.used.quartz_stairs: #4, 2150(8%)
minecraft.mined.oak_sapling: #4, 76(7%)
minecraft.picked_up.dark_oak_slab: #4, 1027(8%)
minecraft.picked_up.acacia_boat: #4, 27(10%)
minecraft.mined.cobblestone_stairs: #4, 243(8%)
minecraft.crafted.orange_bed: #3, 4(8%)
minecraft.mined.birch_fence_gate: #4, 49(16%)
minecraft.mined.blue_stained_glass: #4, 312(11%)
minecraft.mined.oak_fence: #4, 379(7%)
minecraft.mined.quartz_pillar: #4, 356(9%)
minecraft.mined.stonecutter: #3, 38(5%)
minecraft.mined.prismarine_slab: #3, 137(10%)
minecraft.custom.enchant_item: #4, 359(7%)
minecraft.mined.light_blue_banner: #3, 8(14%)
minecraft.picked_up.azure_bluet: #4, 532(8%)
minecraft.picked_up.daylight_detector: #3, 19(6%)
minecraft.picked_up.quartz: #4, 28699(7%)
minecraft.used.cyan_concrete: #4, 307(12%)
minecraft.used.item_frame: #4, 715(7%)
minecraft.mined.sandstone_wall: #3, 17(13%)
minecraft.used.birch_boat: #4, 138(7%)
minecraft.dropped.activator_rail: #3, 2(15%)
minecraft.mined.sandstone_slab: #4, 853(8%)
minecraft.picked_up.pink_dye: #4, 67(15%)
minecraft.mined.black_banner: #4, 6(15%)
minecraft.crafted.cyan_concrete_powder: #4, 672(10%)
minecraft.used.brown_stained_glass: #3, 243(7%)
minecraft.dropped.stripped_acacia_log: #3, 3(7%)
minecraft.mined.daylight_detector: #3, 15(6%)
minecraft.dropped.lime_banner: #3, 1(14%)
minecraft.mined.scaffolding: #5, 4711(12%)
minecraft.picked_up.sandstone_wall: #3, 15(9%)
minecraft.dropped.flower_pot: #3, 12(6%)
minecraft.used.orange_glazed_terracotta: #3, 40(8%)
minecraft.picked_up.birch_boat: #4, 135(7%)
minecraft.used.glass_bottle: #4, 410(7%)
minecraft.broken.stone_axe: #3, 4(7%)
minecraft.picked_up.red_concrete: #4, 1628(8%)
minecraft.used.daylight_detector: #3, 27(4%)
minecraft.used.dandelion: #4, 17(10%)
minecraft.used.sandstone_stairs: #4, 721(8%)
minecraft.used.prismarine: #4, 1593(8%)
minecraft.picked_up.magenta_terracotta: #4, 194(18%)
minecraft.mined.green_concrete: #4, 1174(9%)
minecraft.picked_up.turtle_egg: #3, 63(8%)
minecraft.mined.spruce_sapling: #4, 68(7%)
minecraft.dropped.jack_o_lantern: #3, 2(6%)
minecraft.crafted.yellow_wool: #3, 235(4%)
minecraft.mined.purple_banner: #3, 6(14%)
minecraft.custom.interact_with_brewingstand: #4, 604(6%)
minecraft.crafted.redstone_lamp: #4, 364(7%)
minecraft.picked_up.wet_sponge: #4, 1052(8%)
minecraft.crafted.cut_sandstone: #4, 908(9%)
minecraft.mined.magenta_terracotta: #4, 194(20%)
minecraft.mined.chiseled_stone_bricks: #4, 133(9%)
minecraft.custom.clean_banner: #3, 31(13%)
minecraft.broken.shears: #4, 75(6%)
minecraft.used.polished_andesite_stairs: #4, 538(11%)
minecraft.used.lime_bed: #4, 17(15%)
minecraft.dropped.polished_diorite: #4, 115(10%)
minecraft.crafted.black_wool: #4, 216(8%)
minecraft.dropped.purple_shulker_box: #3, 2(7%)
minecraft.dropped.brown_concrete: #3, 4(5%)
minecraft.dropped.shears: #4, 24(8%)
minecraft.dropped.lime_terracotta: #3, 75(3%)
minecraft.used.oxeye_daisy: #4, 18(10%)
minecraft.used.dead_fire_coral: #3, 2(11%)
minecraft.mined.prismarine_stairs: #3, 13(5%)
minecraft.dropped.dried_kelp: #3, 141(3%)
minecraft.picked_up.pink_shulker_box: #4, 227(8%)
minecraft.used.red_nether_brick_stairs: #3, 69(10%)
minecraft.crafted.lectern: #4, 44(7%)
minecraft.picked_up.green_wool: #3, 141(2%)
minecraft.mined.chipped_anvil: #4, 28(8%)
minecraft.mined.wet_sponge: #4, 1043(8%)
minecraft.dropped.bell: #3, 1(9%)
minecraft.picked_up.chipped_anvil: #4, 29(7%)
minecraft.picked_up.stone_bricks: #5, 14204(9%)
minecraft.dropped.coal_ore: #4, 606(7%)
minecraft.picked_up.acacia_fence_gate: #3, 5(4%)
minecraft.crafted.red_nether_brick_stairs: #3, 72(8%)
minecraft.mined.lime_bed: #4, 7(12%)
minecraft.picked_up.orange_wool: #3, 120(2%)
minecraft.used.totem_of_undying: #4, 11(7%)
minecraft.used.music_disc_ward: #3, 4(4%)
minecraft.used.pink_shulker_box: #4, 223(8%)
minecraft.used.orange_tulip: #4, 20(9%)
minecraft.dropped.smooth_sandstone_slab: #3, 1(7%)
minecraft.dropped.prismarine_brick_slab: #3, 19(4%)
minecraft.used.sea_lantern: #4, 3702(5%)
minecraft.used.dark_oak_log: #5, 4972(9%)
minecraft.picked_up.tropical_fish_bucket: #3, 3(5%)
minecraft.crafted.birch_pressure_plate: #4, 37(8%)
minecraft.used.cobblestone_wall: #5, 1563(10%)
minecraft.picked_up.dandelion: #4, 565(4%)
minecraft.mined.gold_block: #4, 661(6%)
minecraft.mined.brown_wall_banner: #3, 1(6%)
minecraft.used.blast_furnace: #4, 42(7%)
minecraft.used.light_gray_glazed_terracotta: #4, 86(15%)
minecraft.picked_up.red_nether_brick_wall: #3, 2(6%)
minecraft.dropped.dark_oak_pressure_plate: #3, 2(3%)
minecraft.dropped.pink_carpet: #3, 1(6%)
minecraft.crafted.blast_furnace: #4, 75(8%)
minecraft.crafted.orange_carpet: #4, 102(11%)
minecraft.mined.acacia_fence_gate: #3, 3(3%)
minecraft.mined.pink_shulker_box: #4, 224(8%)
minecraft.mined.gray_wall_banner: #3, 2(5%)
minecraft.mined.red_nether_brick_wall: #3, 2(5%)
minecraft.used.stripped_jungle_wood: #3, 2(3%)
minecraft.used.quartz_slab: #5, 5407(10%)
minecraft.dropped.oak_pressure_plate: #4, 10(7%)
minecraft.mined.snow: #5, 19359(10%)
minecraft.mined.stone_button: #4, 123(6%)
minecraft.picked_up.smooth_red_sandstone_stairs: #3, 4(3%)
minecraft.crafted.sandstone_wall: #3, 42(2%)
minecraft.dropped.stone_brick_stairs: #4, 257(6%)
minecraft.mined.smooth_red_sandstone_stairs: #3, 4(3%)
minecraft.mined.brown_stained_glass: #3, 11(1%)
minecraft.crafted.coarse_dirt: #4, 2684(6%)
minecraft.dropped.light_blue_concrete_powder: #3, 2(1%)
minecraft.crafted.oak_planks: #5, 25242(7%)
minecraft.dropped.clay_ball: #3, 94(1%)
minecraft.used.magenta_concrete_powder: #4, 458(9%)
minecraft.picked_up.smooth_sandstone: #4, 2372(6%)
minecraft.used.dried_kelp_block: #3, 52(0%)
minecraft.used.jungle_door: #3, 18(1%)
minecraft.dropped.light_blue_glazed_terracotta: #3, 3(1%)
minecraft.dropped.purple_concrete: #3, 1(2%)
minecraft.mined.dead_horn_coral_fan: #3, 4(1%)
minecraft.custom.play_one_minute: #6, 105042859(6%)
minecraft.dropped.white_stained_glass: #4, 148(7%)
minecraft.used.lantern: #5, 908(10%)
minecraft.crafted.brown_banner: #3, 2(1%)
minecraft.mined.dead_bubble_coral: #3, 1(1%)
minecraft.used.andesite: #5, 4128(8%)
minecraft.dropped.orange_stained_glass: #4, 42(17%)
minecraft.mined.dead_brain_coral_fan: #3, 2(1%)
minecraft.mined.dead_bubble_coral_fan: #3, 2(1%)
minecraft.dropped.experience_bottle: #3, 2(1%)
minecraft.picked_up.lily_of_the_valley: #4, 16(10%)
minecraft.picked_up.iron_block: #5, 4594(9%)
minecraft.crafted.purple_shulker_box: #4, 10(8%)
minecraft.dropped.red_bed: #4, 1(14%)
minecraft.picked_up.chiseled_stone_bricks: #4, 121(6%)
minecraft.killed.ocelot: #4, 1(20%)
minecraft.dropped.music_disc_ward: #4, 1(25%)
minecraft.mined.iron_block: #5, 3351(9%)
minecraft.crafted.green_wool: #4, 72(8%)
minecraft.picked_up.oak_planks: #5, 1978(7%)
minecraft.crafted.brick_stairs: #4, 344(10%)
minecraft.used.black_banner: #4, 24(9%)
minecraft.picked_up.oak_log: #5, 9791(7%)
minecraft.crafted.snow_block: #5, 3081(11%)
minecraft.picked_up.totem_of_undying: #4, 26(5%)
minecraft.dropped.stone_pressure_plate: #4, 71(6%)
minecraft.crafted.stone_slab: #5, 2868(8%)
minecraft.broken.iron_helmet: #4, 2(11%)
minecraft.used.brick_stairs: #4, 330(9%)
minecraft.mined.oak_log: #5, 8933(7%)
minecraft.used.orange_shulker_box: #4, 331(5%)
minecraft.picked_up.light_gray_dye: #5, 256(12%)
minecraft.mined.yellow_wool: #5, 198(12%)
minecraft.crafted.cobblestone_stairs: #4, 1120(4%)
minecraft.dropped.charcoal: #4, 8(9%)
minecraft.picked_up.orange_shulker_box: #4, 331(5%)
minecraft.used.lead: #4, 3(8%)
minecraft.picked_up.diorite: #5, 21876(7%)
minecraft.mined.light_blue_shulker_box: #5, 886(10%)
minecraft.picked_up.soul_sand: #5, 3466(8%)
minecraft.crafted.jungle_stairs: #4, 232(8%)
minecraft.mined.smooth_quartz_slab: #4, 234(7%)
minecraft.picked_up.sandstone: #5, 18420(8%)
minecraft.picked_up.heart_of_the_sea: #4, 2(11%)
minecraft.killed.elder_guardian: #4, 5(10%)
minecraft.mined.orange_shulker_box: #4, 328(6%)
minecraft.crafted.cooked_cod: #5, 878(13%)
minecraft.picked_up.light_blue_shulker_box: #5, 892(9%)
minecraft.mined.sandstone: #5, 18012(7%)
minecraft.custom.interact_with_stonecutter: #4, 68(5%)
minecraft.used.light_blue_shulker_box: #5, 884(9%)
minecraft.used.gray_stained_glass_pane: #4, 1092(8%)
minecraft.mined.soul_sand: #5, 3668(8%)
minecraft.crafted.flower_pot: #4, 189(5%)
minecraft.dropped.mossy_stone_bricks: #4, 17(8%)
minecraft.mined.green_carpet: #4, 22(6%)
minecraft.picked_up.cooked_salmon: #5, 151(12%)
minecraft.picked_up.white_carpet: #5, 397(8%)
minecraft.crafted.white_shulker_box: #4, 22(5%)
minecraft.dropped.glass_pane: #4, 24(6%)
minecraft.dropped.book: #4, 27(5%)
minecraft.dropped.stripped_spruce_wood: #4, 2(17%)
minecraft.crafted.quartz_stairs: #5, 1720(8%)
minecraft.picked_up.turtle_helmet: #4, 8(6%)
minecraft.mined.white_shulker_box: #5, 806(9%)
minecraft.used.barrel: #5, 321(8%)
minecraft.used.lilac: #4, 66(5%)
minecraft.used.diamond_axe: #5, 73243(6%)
minecraft.used.ender_pearl: #5, 996(7%)
minecraft.picked_up.white_shulker_box: #5, 817(9%)
minecraft.mined.purple_wall_banner: #4, 2(13%)
minecraft.used.music_disc_stal: #4, 3(16%)
minecraft.mined.polished_andesite_slab: #4, 148(7%)
minecraft.mined.oxeye_daisy: #5, 88(7%)
minecraft.picked_up.lava_bucket: #5, 22(10%)
minecraft.custom.mob_kills: #5, 135746(5%)
minecraft.crafted.oak_fence_gate: #5, 117(8%)
minecraft.picked_up.written_book: #5, 136(7%)
minecraft.used.red_tulip: #4, 12(7%)
minecraft.crafted.magenta_concrete_powder: #4, 552(6%)
minecraft.used.seagrass: #4, 89(7%)
minecraft.mined.pink_concrete: #5, 211(13%)
minecraft.dropped.oak_log: #5, 318(9%)
minecraft.used.orange_wool: #4, 105(6%)
minecraft.picked_up.smooth_quartz_slab: #4, 275(5%)
minecraft.mined.cyan_wall_banner: #4, 2(10%)
minecraft.crafted.item_frame: #5, 564(7%)
minecraft.mined.orange_terracotta: #5, 7953(8%)
minecraft.mined.prismarine: #5, 2962(9%)
minecraft.crafted.lantern: #5, 853(9%)
minecraft.used.cod_bucket: #4, 17(4%)
minecraft.picked_up.dark_oak_fence: #5, 441(8%)
minecraft.picked_up.water_bucket: #5, 65(7%)
minecraft.mined.sea_lantern: #5, 706(7%)
minecraft.custom.play_record: #4, 34(7%)
minecraft.crafted.tripwire_hook: #5, 344(8%)
minecraft.mined.prismarine_brick_slab: #4, 114(5%)
minecraft.mined.bell: #4, 13(9%)
minecraft.dropped.dandelion: #5, 259(7%)
minecraft.mined.quartz_slab: #5, 1130(8%)
minecraft.dropped.birch_fence_gate: #4, 5(9%)
minecraft.crafted.daylight_detector: #4, 49(4%)
minecraft.used.wet_sponge: #4, 8(5%)
minecraft.used.dark_oak_fence_gate: #5, 206(10%)
minecraft.used.scaffolding: #5, 8490(8%)
minecraft.picked_up.spruce_log: #5, 13283(6%)
minecraft.killed.phantom: #4, 143(3%)
minecraft.crafted.blue_stained_glass: #5, 1936(9%)
minecraft.picked_up.bucket: #5, 83(7%)
minecraft.crafted.jungle_wood: #4, 87(6%)
minecraft.used.music_disc_mellohi: #4, 2(10%)
minecraft.broken.golden_boots: #4, 1(11%)
minecraft.used.dead_bubble_coral_block: #4, 18(7%)
minecraft.mined.pink_stained_glass_pane: #4, 3(5%)
minecraft.crafted.glass_bottle: #5, 399(7%)
minecraft.used.jungle_wood: #4, 76(6%)
minecraft.picked_up.yellow_concrete_powder: #4, 257(4%)
minecraft.mined.barrel: #5, 94(7%)
minecraft.used.acacia_boat: #5, 26(9%)
minecraft.mined.turtle_egg: #4, 64(9%)
minecraft.crafted.iron_nugget: #5, 7337(7%)
minecraft.dropped.dark_oak_door: #4, 4(8%)
minecraft.used.orange_bed: #4, 5(5%)
minecraft.crafted.detector_rail: #5, 90(8%)
minecraft.used.bell: #4, 13(7%)
minecraft.crafted.yellow_glazed_terracotta: #4, 32(6%)
minecraft.picked_up.redstone_ore: #4, 1131(2%)
minecraft.crafted.green_terracotta: #4, 1984(4%)
minecraft.dropped.yellow_bed: #4, 1(12%)
minecraft.mined.oak_wood: #4, 35(4%)
minecraft.picked_up.quartz_slab: #5, 1349(7%)
minecraft.used.cauldron: #5, 82(7%)
minecraft.used.iron_trapdoor: #5, 1433(7%)
minecraft.dropped.granite: #5, 4548(6%)
minecraft.dropped.written_book: #5, 77(6%)
minecraft.mined.black_stained_glass: #5, 383(6%)
minecraft.picked_up.birch_fence_gate: #5, 37(11%)
minecraft.picked_up.clay_ball: #5, 4058(7%)
minecraft.picked_up.green_glazed_terracotta: #4, 110(5%)
minecraft.used.pink_concrete: #5, 98(11%)
minecraft.mined.spruce_log: #5, 10667(6%)
minecraft.crafted.cauldron: #5, 94(7%)
minecraft.picked_up.golden_horse_armor: #4, 2(6%)
minecraft.used.light_gray_concrete_powder: #5, 6716(7%)
minecraft.dropped.heavy_weighted_pressure_plate: #4, 8(5%)
minecraft.mined.iron_bars: #5, 590(6%)
minecraft.killed.ghast: #5, 145(7%)
minecraft.picked_up.green_bed: #4, 9(5%)
minecraft.crafted.hay_block: #4, 144(2%)
minecraft.used.stone_button: #4, 901(2%)
minecraft.crafted.suspicious_stew: #4, 19(5%)
minecraft.used.campfire: #5, 104(7%)
minecraft.used.red_bed: #5, 50(7%)
minecraft.mined.flower_pot: #5, 13(7%)
minecraft.crafted.sponge: #5, 938(8%)
minecraft.mined.sandstone_stairs: #5, 164(7%)
minecraft.mined.blue_concrete_powder: #4, 8(6%)
minecraft.dropped.iron_horse_armor: #4, 1(7%)
minecraft.crafted.pink_dye: #5, 526(6%)
minecraft.picked_up.painting: #5, 189(6%)
minecraft.used.green_bed: #4, 12(5%)
minecraft.custom.trigger_trapped_chest: #5, 183(6%)
minecraft.picked_up.oak_door: #5, 60(7%)
minecraft.crafted.brown_stained_glass: #4, 248(4%)
minecraft.mined.chiseled_quartz_block: #5, 82(8%)
minecraft.crafted.cooked_salmon: #5, 238(9%)
minecraft.mined.green_bed: #4, 8(4%)
minecraft.custom.damage_absorbed: #5, 430(7%)
minecraft.picked_up.lime_bed: #5, 8(13%)
minecraft.dropped.red_mushroom_block: #4, 78(4%)
minecraft.dropped.item_frame: #4, 16(2%)
minecraft.mined.birch_leaves: #5, 1290(5%)
minecraft.mined.podzol: #5, 877(7%)
minecraft.dropped.leather: #5, 165(7%)
minecraft.dropped.cut_sandstone: #5, 23(9%)
minecraft.picked_up.light_blue_wool: #5, 558(8%)
minecraft.used.dead_bubble_coral_fan: #4, 6(6%)
minecraft.dropped.stripped_oak_wood: #4, 2(6%)
minecraft.dropped.brown_carpet: #4, 5(3%)
minecraft.dropped.yellow_concrete_powder: #4, 3(4%)
minecraft.dropped.chiseled_quartz_block: #4, 2(6%)
minecraft.mined.pink_terracotta: #4, 18(3%)
minecraft.used.sponge: #5, 959(8%)
minecraft.used.music_disc_far: #4, 2(3%)
minecraft.picked_up.pink_terracotta: #4, 18(3%)
minecraft.used.brown_carpet: #5, 399(8%)
minecraft.mined.white_wall_banner: #5, 28(7%)
minecraft.used.redstone_lamp: #5, 320(6%)
minecraft.used.poppy: #5, 26(6%)
minecraft.crafted.sea_lantern: #4, 1207(1%)
minecraft.used.music_disc_strad: #4, 1(4%)
minecraft.crafted.crafting_table: #6, 236(8%)
minecraft.mined.cocoa: #5, 321(5%)
minecraft.picked_up.white_terracotta: #5, 5215(6%)
minecraft.mined.cornflower: #5, 61(7%)
minecraft.killed.cod: #5, 82(6%)
minecraft.used.dark_oak_stairs: #6, 2142(9%)
minecraft.mined.white_terracotta: #5, 5199(5%)
minecraft.picked_up.chiseled_quartz_block: #5, 86(7%)
minecraft.crafted.smooth_stone: #5, 2368(5%)
minecraft.dropped.lime_stained_glass: #4, 1(2%)
minecraft.mined.dark_oak_fence_gate: #5, 33(8%)
minecraft.used.cracked_stone_bricks: #5, 647(5%)
minecraft.picked_up.glowstone: #5, 1017(6%)
minecraft.custom.pot_flower: #5, 69(6%)
minecraft.crafted.purple_terracotta: #4, 112(2%)
minecraft.dropped.purple_carpet: #4, 1(2%)
minecraft.used.coarse_dirt: #5, 2760(5%)
minecraft.picked_up.birch_pressure_plate: #5, 13(6%)
minecraft.dropped.brown_concrete_powder: #4, 7(1%)
minecraft.crafted.prismarine_bricks: #4, 248(1%)
minecraft.crafted.polished_granite: #5, 1076(6%)
minecraft.crafted.green_banner: #4, 1(1%)
minecraft.used.pink_terracotta: #4, 18(1%)
minecraft.crafted.name_tag: #5, 48(7%)
minecraft.dropped.blue_concrete: #4, 1(1%)
minecraft.picked_up.flower_pot: #5, 61(6%)
minecraft.picked_up.stripped_jungle_wood: #4, 2(1%)
minecraft.used.birch_pressure_plate: #5, 26(7%)
minecraft.mined.stripped_jungle_wood: #4, 2(1%)
minecraft.picked_up.dead_horn_coral_fan: #4, 4(1%)
minecraft.picked_up.purple_concrete_powder: #4, 22(1%)
minecraft.crafted.pink_terracotta: #4, 40(1%)
minecraft.crafted.jungle_door: #4, 12(1%)
minecraft.picked_up.dead_bubble_coral: #4, 1(1%)
minecraft.picked_up.stone_brick_wall: #5, 130(7%)
minecraft.picked_up.dead_brain_coral_fan: #4, 2(0%)
minecraft.picked_up.jungle_door: #4, 8(1%)
minecraft.crafted.dried_kelp: #5, 7414(6%)
minecraft.dropped.gray_stained_glass_pane: #4, 3(0%)
minecraft.dropped.green_terracotta: #4, 4(0%)
minecraft.used.cut_sandstone: #5, 528(6%)
minecraft.custom.interact_with_lectern: #5, 129(5%)
minecraft.mined.spruce_fence_gate: #5, 52(6%)
minecraft.custom.sleep_in_bed: #6, 2211(6%)
minecraft.mined.glowstone: #5, 995(5%)
minecraft.picked_up.polished_granite: #5, 390(5%)
minecraft.used.iron_door: #5, 60(5%)
minecraft.mined.gray_concrete_powder: #5, 383(5%)
minecraft.crafted.brown_carpet: #5, 360(7%)
minecraft.mined.birch_pressure_plate: #5, 9(6%)
minecraft.used.white_tulip: #5, 16(9%)
minecraft.picked_up.iron_chestplate: #6, 20(7%)
minecraft.picked_up.cracked_stone_bricks: #5, 682(4%)
minecraft.used.cyan_banner: #5, 9(8%)
minecraft.used.polished_granite: #5, 1043(5%)
minecraft.dropped.stone_sword: #5, 59(4%)
minecraft.mined.light_gray_glazed_terracotta: #5, 38(11%)
minecraft.picked_up.green_banner: #5, 3(9%)
