stat, rank, value, (percentage) 
minecraft.picked_up.iron_boots: #1, 44(15%)
minecraft.picked_up.cyan_stained_glass_pane: #1, 210(36%)
minecraft.crafted.item_frame: #2, 1645(22%)
minecraft.picked_up.lava_bucket: #1, 49(22%)
minecraft.mined.jukebox: #1, 66(43%)
minecraft.crafted.birch_sign: #1, 484(22%)
minecraft.dropped.water_bucket: #1, 46(23%)
minecraft.picked_up.magenta_concrete_powder: #1, 330(55%)
minecraft.picked_up.jukebox: #1, 67(42%)
minecraft.mined.cauldron: #1, 112(22%)
minecraft.crafted.jungle_wood: #1, 576(42%)
minecraft.dropped.bone_meal: #1, 1705(17%)
minecraft.used.jukebox: #1, 74(38%)
minecraft.picked_up.light_gray_dye: #1, 503(24%)
minecraft.mined.cyan_terracotta: #2, 11735(22%)
minecraft.picked_up.phantom_membrane: #2, 1043(23%)
minecraft.picked_up.purple_stained_glass: #2, 2308(34%)
minecraft.picked_up.water_bucket: #1, 147(16%)
minecraft.dropped.light_gray_concrete: #1, 311(27%)
minecraft.mined.acacia_planks: #1, 228(29%)
minecraft.used.player_head: #2, 1388(19%)
minecraft.dropped.light_gray_stained_glass: #1, 368(37%)
minecraft.dropped.dark_oak_planks: #1, 514(21%)
minecraft.dropped.diamond_axe: #1, 29(18%)
minecraft.picked_up.compass: #1, 28(41%)
minecraft.dropped.elytra: #1, 33(17%)
minecraft.dropped.acacia_wood: #1, 35(45%)
minecraft.crafted.crossbow: #1, 64(36%)
minecraft.crafted.diamond_leggings: #1, 19(16%)
minecraft.crafted.white_dye: #2, 16067(21%)
minecraft.dropped.iron_leggings: #1, 23(20%)
minecraft.mined.birch_planks: #2, 762(22%)
minecraft.crafted.orange_dye: #2, 2404(22%)
minecraft.picked_up.player_head: #2, 2706(16%)
minecraft.dropped.dragon_head: #1, 6(50%)
minecraft.picked_up.emerald_block: #2, 465(22%)
minecraft.crafted.oak_planks: #1, 42406(12%)
minecraft.crafted.cyan_terracotta: #1, 35312(20%)
minecraft.picked_up.iron_leggings: #1, 42(14%)
minecraft.used.music_disc_blocks: #1, 18(49%)
minecraft.used.potato: #2, 6543(19%)
minecraft.dropped.light_weighted_pressure_plate: #1, 32(84%)
minecraft.dropped.sea_pickle: #2, 1466(36%)
minecraft.broken.stone_hoe: #1, 9(33%)
minecraft.dropped.cut_sandstone: #1, 61(24%)
minecraft.crafted.blue_dye: #2, 5380(20%)
minecraft.picked_up.pink_concrete_powder: #1, 448(41%)
minecraft.dropped.diamond_pickaxe: #1, 65(15%)
minecraft.dropped.rabbit_hide: #1, 17(40%)
minecraft.picked_up.diamond_helmet: #2, 162(17%)
minecraft.dropped.sugar_cane: #2, 3107(21%)
minecraft.used.music_disc_11: #1, 8(53%)
minecraft.used.magenta_terracotta: #1, 1182(36%)
minecraft.crafted.brown_dye: #2, 1804(32%)
minecraft.used.music_disc_strad: #1, 19(79%)
minecraft.picked_up.magenta_dye: #1, 236(35%)
minecraft.picked_up.elytra: #2, 248(16%)
minecraft.picked_up.dark_oak_stairs: #2, 1333(17%)
minecraft.picked_up.brown_concrete_powder: #1, 577(19%)
minecraft.used.cyan_stained_glass_pane: #1, 487(24%)
minecraft.picked_up.diamond_pickaxe: #2, 404(16%)
minecraft.crafted.gray_dye: #2, 7897(18%)
minecraft.mined.magenta_wool: #1, 30(28%)
minecraft.mined.cyan_banner: #1, 12(33%)
minecraft.dropped.quartz_slab: #1, 239(25%)
minecraft.dropped.milk_bucket: #1, 8(30%)
minecraft.crafted.anvil: #2, 191(16%)
minecraft.dropped.lava_bucket: #1, 12(23%)
minecraft.picked_up.yellow_stained_glass_pane: #1, 103(29%)
minecraft.mined.light_gray_concrete: #1, 6834(15%)
minecraft.picked_up.diamond_axe: #2, 200(16%)
minecraft.crafted.diorite_stairs: #1, 64(73%)
minecraft.dropped.magenta_dye: #1, 56(97%)
minecraft.picked_up.brown_dye: #1, 128(96%)
minecraft.picked_up.carrot: #2, 27971(17%)
minecraft.dropped.cyan_concrete_powder: #1, 416(95%)
minecraft.used.music_disc_mellohi: #1, 10(48%)
minecraft.picked_up.light_weighted_pressure_plate: #1, 32(41%)
minecraft.picked_up.dark_oak_planks: #2, 2515(16%)
minecraft.used.rotten_flesh: #2, 105(29%)
minecraft.picked_up.golden_carrot: #2, 4950(17%)
minecraft.picked_up.brown_stained_glass: #2, 1888(38%)
minecraft.picked_up.diamond_boots: #2, 167(15%)
minecraft.crafted.diamond_boots: #1, 19(12%)
minecraft.used.music_disc_mall: #1, 9(45%)
minecraft.dropped.poisonous_potato: #2, 83(20%)
minecraft.picked_up.coal_block: #2, 760(15%)
minecraft.picked_up.diamond_leggings: #2, 157(16%)
minecraft.dropped.green_stained_glass: #1, 29(66%)
minecraft.dropped.green_concrete_powder: #1, 316(29%)
minecraft.dropped.iron_boots: #2, 26(21%)
minecraft.dropped.orange_concrete: #1, 242(37%)
minecraft.crafted.bucket: #2, 467(14%)
minecraft.dropped.wheat: #2, 380(17%)
minecraft.killed.chicken: #2, 456(14%)
minecraft.picked_up.oak_planks: #2, 3537(13%)
minecraft.picked_up.diamond_shovel: #2, 205(15%)
minecraft.picked_up.peony: #2, 470(21%)
minecraft.dropped.dandelion: #2, 563(16%)
