stat, rank, value, (percentage) 
minecraft.dropped.yellow_wool: #3, 73(15%)
minecraft.dropped.cyan_terracotta: #3, 815(11%)
minecraft.custom.deaths: #4, 241(9%)
minecraft.picked_up.smooth_sandstone_slab: #3, 74(11%)
minecraft.dropped.yellow_stained_glass_pane: #2, 3(15%)
minecraft.used.cyan_banner: #3, 14(13%)
minecraft.dropped.podzol: #3, 64(14%)
minecraft.used.tube_coral: #3, 28(9%)
minecraft.mined.wheat: #4, 5816(10%)
minecraft.dropped.iron_pickaxe: #3, 7(8%)
minecraft.custom.play_one_minute: #5, 116929786(6%)
minecraft.picked_up.gray_concrete_powder: #4, 6510(13%)
minecraft.mined.gray_glazed_terracotta: #3, 11(20%)
minecraft.mined.magenta_banner: #2, 2(12%)
minecraft.crafted.quartz_slab: #4, 5710(11%)
minecraft.custom.damage_blocked_by_shield: #3, 9270(8%)
minecraft.custom.inspect_dispenser: #4, 1994(10%)
minecraft.used.lava_bucket: #4, 260(10%)
minecraft.picked_up.tube_coral_block: #3, 498(10%)
minecraft.mined.smooth_quartz: #3, 387(9%)
minecraft.dropped.chest: #3, 93(6%)
minecraft.used.horn_coral: #3, 31(10%)
minecraft.dropped.iron_horse_armor: #2, 1(7%)
minecraft.crafted.carrot_on_a_stick: #2, 1(8%)
minecraft.picked_up.turtle_helmet: #3, 13(10%)
minecraft.killed_by.player: #3, 5(7%)
minecraft.used.chorus_fruit: #4, 47(18%)
minecraft.mined.smooth_sandstone_slab: #3, 62(9%)
minecraft.used.fire_coral: #3, 32(10%)
minecraft.used.diorite_stairs: #2, 25(10%)
minecraft.used.brain_coral: #3, 26(11%)
minecraft.crafted.clock: #3, 7(9%)
minecraft.dropped.diamond_sword: #4, 23(9%)
minecraft.picked_up.cobblestone_stairs: #4, 621(10%)
minecraft.mined.horn_coral_block: #3, 462(10%)
minecraft.mined.tube_coral_block: #3, 494(10%)
minecraft.picked_up.dark_oak_button: #3, 25(10%)
minecraft.used.tropical_fish: #3, 9(25%)
minecraft.picked_up.horn_coral_block: #3, 458(10%)
minecraft.custom.traded_with_villager: #4, 23099(10%)
minecraft.picked_up.bubble_coral_fan: #3, 322(10%)
minecraft.mined.pink_bed: #3, 23(15%)
minecraft.used.map: #3, 36(21%)
minecraft.picked_up.music_disc_wait: #3, 34(18%)
minecraft.picked_up.smoker: #3, 26(10%)
minecraft.mined.bubble_coral_wall_fan: #3, 271(11%)
minecraft.mined.brick_wall: #2, 16(4%)
minecraft.dropped.stripped_spruce_log: #3, 13(10%)
minecraft.dropped.stone_hoe: #3, 7(9%)
minecraft.picked_up.beetroot_soup: #2, 2(7%)
minecraft.mined.tube_coral_wall_fan: #3, 242(11%)
minecraft.dropped.light_blue_shulker_box: #3, 6(11%)
minecraft.crafted.shulker_box: #4, 713(14%)
minecraft.mined.smoker: #3, 27(11%)
minecraft.picked_up.grass: #4, 285(10%)
minecraft.picked_up.brain_coral: #3, 53(12%)
minecraft.mined.flower_pot: #4, 21(11%)
minecraft.dropped.purple_wool: #2, 2(3%)
minecraft.dropped.yellow_shulker_box: #3, 19(11%)
minecraft.mined.grindstone: #3, 39(8%)
minecraft.dropped.dead_tube_coral_block: #2, 1(8%)
minecraft.dropped.music_disc_far: #2, 1(8%)
minecraft.mined.cobweb: #3, 711(5%)
minecraft.picked_up.tube_coral: #3, 52(10%)
minecraft.crafted.daylight_detector: #3, 91(8%)
minecraft.mined.potted_oxeye_daisy: #3, 2(14%)
minecraft.custom.eat_cake_slice: #3, 119(6%)
minecraft.crafted.coarse_dirt: #3, 2834(6%)
minecraft.mined.fire_coral_wall_fan: #3, 316(13%)
minecraft.used.magenta_concrete_powder: #3, 480(9%)
minecraft.killed.rabbit: #3, 12(9%)
minecraft.picked_up.cobblestone_slab: #4, 1147(10%)
minecraft.crafted.firework_rocket: #4, 85670(12%)
minecraft.picked_up.fire_coral_fan: #3, 362(12%)
minecraft.picked_up.bread: #4, 202(12%)
minecraft.crafted.painting: #3, 150(6%)
minecraft.used.wooden_pickaxe: #4, 93(9%)
minecraft.mined.brown_stained_glass_pane: #2, 1(2%)
minecraft.mined.dark_oak_button: #3, 10(11%)
minecraft.mined.orange_concrete_powder: #3, 12(15%)
minecraft.picked_up.bubble_coral: #3, 50(12%)
minecraft.used.fire_coral_block: #3, 309(10%)
minecraft.picked_up.cocoa_beans: #4, 3905(9%)
minecraft.picked_up.stone_shovel: #3, 6(7%)
minecraft.mined.red_wool: #4, 237(11%)
minecraft.used.grindstone: #3, 61(6%)
minecraft.dropped.ink_sac: #4, 167(11%)
minecraft.picked_up.diorite: #4, 23124(8%)
minecraft.dropped.red_bed: #3, 1(14%)
minecraft.dropped.nether_star: #3, 5(12%)
minecraft.dropped.turtle_helmet: #3, 2(25%)
minecraft.custom.drop: #5, 15908(9%)
minecraft.mined.brain_coral_wall_fan: #3, 225(10%)
minecraft.dropped.bone_block: #3, 418(7%)
minecraft.picked_up.obsidian: #4, 2873(8%)
minecraft.mined.horn_coral_wall_fan: #3, 241(11%)
minecraft.picked_up.fire_coral: #3, 48(9%)
minecraft.picked_up.bone_block: #4, 1520(9%)
minecraft.picked_up.horn_coral_fan: #3, 290(11%)
minecraft.picked_up.seagrass: #4, 599(12%)
minecraft.dropped.wooden_hoe: #3, 2(12%)
minecraft.crafted.glowstone: #4, 2171(11%)
minecraft.mined.player_wall_head: #4, 145(8%)
minecraft.used.lead: #3, 3(8%)
minecraft.used.dark_oak_button: #3, 51(7%)
minecraft.crafted.light_blue_dye: #4, 1795(9%)
minecraft.picked_up.brain_coral_fan: #3, 263(10%)
minecraft.used.music_disc_13: #3, 6(22%)
minecraft.mined.potted_azure_bluet: #3, 1(12%)
minecraft.mined.sea_lantern: #4, 800(8%)
minecraft.dropped.wet_sponge: #3, 19(17%)
minecraft.dropped.birch_fence: #3, 7(12%)
minecraft.picked_up.tube_coral_fan: #3, 287(11%)
minecraft.killed.pig: #4, 54(7%)
minecraft.used.writable_book: #4, 272(7%)
minecraft.crafted.diamond: #4, 4581(8%)
minecraft.dropped.pink_shulker_box: #3, 3(9%)
minecraft.crafted.oak_sign: #4, 849(7%)
minecraft.mined.diorite_slab: #3, 5(20%)
minecraft.picked_up.stick: #5, 4945(9%)
minecraft.used.red_tulip: #3, 13(8%)
minecraft.mined.orange_terracotta: #4, 8434(9%)
minecraft.mined.wither_skeleton_wall_skull: #3, 3(13%)
minecraft.mined.bubble_coral: #3, 52(8%)
minecraft.used.quartz_block: #4, 1275(8%)
minecraft.dropped.iron_ingot: #4, 1316(8%)
minecraft.crafted.diamond_chestplate: #4, 6(8%)
minecraft.mined.tube_coral: #3, 53(8%)
minecraft.used.oak_wood: #3, 313(5%)
minecraft.crafted.enchanted_book: #4, 327(8%)
minecraft.used.cod_bucket: #3, 19(5%)
minecraft.broken.bow: #3, 1(12%)
minecraft.used.orange_concrete_powder: #4, 831(11%)
minecraft.picked_up.music_disc_mall: #3, 10(11%)
minecraft.custom.open_shulker_box: #5, 54058(8%)
minecraft.dropped.cooked_mutton: #3, 16(12%)
minecraft.mined.sweet_berry_bush: #3, 147(5%)
minecraft.crafted.dark_oak_slab: #4, 3258(8%)
minecraft.mined.brain_coral_fan: #3, 52(8%)
minecraft.crafted.dark_oak_sign: #4, 48(10%)
minecraft.picked_up.golden_helmet: #4, 26(8%)
minecraft.picked_up.horn_coral: #3, 42(10%)
minecraft.picked_up.magenta_stained_glass_pane: #3, 24(9%)
minecraft.used.cobblestone: #4, 19566(6%)
minecraft.mined.tube_coral_fan: #3, 50(8%)
minecraft.mined.brain_coral: #3, 54(8%)
minecraft.dropped.observer: #4, 39(15%)
minecraft.mined.fire_coral: #3, 48(7%)
minecraft.dropped.purple_banner: #3, 1(11%)
minecraft.mined.potted_cactus: #3, 1(17%)
minecraft.picked_up.shulker_box: #4, 2810(7%)
minecraft.mined.smooth_quartz_stairs: #3, 85(7%)
minecraft.picked_up.mossy_cobblestone: #4, 300(8%)
minecraft.mined.bubble_coral_fan: #3, 59(9%)
minecraft.mined.fire_coral_fan: #3, 56(8%)
minecraft.picked_up.music_disc_far: #3, 17(11%)
minecraft.dropped.quartz_pillar: #3, 24(6%)
minecraft.mined.oak_wood: #3, 46(5%)
minecraft.crafted.tripwire_hook: #4, 344(8%)
minecraft.used.magenta_bed: #3, 8(13%)
minecraft.crafted.composter: #4, 119(9%)
minecraft.mined.stripped_spruce_log: #4, 208(8%)
minecraft.mined.magenta_bed: #3, 6(12%)
minecraft.used.yellow_stained_glass_pane: #4, 322(12%)
minecraft.crafted.dark_oak_button: #3, 46(4%)
minecraft.mined.horn_coral_fan: #3, 62(9%)
minecraft.dropped.lever: #4, 64(8%)
minecraft.picked_up.music_disc_chirp: #3, 7(7%)
minecraft.custom.climb_one_cm: #5, 6539013(8%)
minecraft.used.flower_pot: #4, 157(8%)
minecraft.used.beetroot_soup: #3, 1(20%)
minecraft.dropped.chipped_anvil: #3, 1(20%)
minecraft.used.cooked_cod: #4, 2010(8%)
minecraft.dropped.porkchop: #3, 15(6%)
minecraft.mined.emerald_block: #4, 105(9%)
minecraft.picked_up.stripped_spruce_log: #4, 201(7%)
minecraft.dropped.cyan_stained_glass_pane: #3, 9(9%)
minecraft.mined.diorite_stairs: #3, 6(19%)
minecraft.mined.spawner: #3, 6(4%)
minecraft.dropped.bricks: #3, 62(8%)
minecraft.mined.horn_coral: #3, 44(7%)
minecraft.mined.yellow_carpet: #4, 52(9%)
minecraft.used.white_tulip: #4, 26(14%)
minecraft.dropped.dark_oak_door: #3, 4(8%)
minecraft.used.diamond_block: #4, 353(7%)
minecraft.used.shulker_box: #4, 2477(6%)
minecraft.picked_up.music_disc_13: #3, 8(6%)
minecraft.crafted.cyan_bed: #3, 5(6%)
minecraft.dropped.chicken: #4, 116(8%)
minecraft.crafted.light_blue_bed: #3, 3(5%)
minecraft.mined.white_carpet: #4, 168(7%)
minecraft.used.gold_ore: #3, 83(3%)
minecraft.picked_up.charcoal: #4, 36(9%)
minecraft.picked_up.dark_oak_sign: #4, 33(9%)
minecraft.crafted.lime_dye: #4, 2048(7%)
minecraft.used.tnt_minecart: #3, 16(6%)
minecraft.crafted.spruce_trapdoor: #4, 1556(6%)
minecraft.dropped.hay_block: #3, 10(8%)
minecraft.crafted.yellow_stained_glass_pane: #4, 400(11%)
minecraft.dropped.spruce_fence_gate: #3, 14(5%)
minecraft.mined.spruce_button: #4, 23(9%)
minecraft.used.diorite: #4, 1173(6%)
minecraft.dropped.cooked_porkchop: #3, 26(3%)
minecraft.killed.zombie: #5, 1564(7%)
minecraft.used.stone_stairs: #4, 364(8%)
minecraft.dropped.jungle_sapling: #3, 4(5%)
minecraft.crafted.oak_pressure_plate: #4, 48(8%)
minecraft.used.cod: #4, 60(10%)
minecraft.used.brown_stained_glass_pane: #3, 11(7%)
minecraft.used.magenta_wool: #4, 39(12%)
minecraft.used.milk_bucket: #4, 25(8%)
minecraft.crafted.orange_concrete_powder: #4, 768(9%)
minecraft.crafted.red_terracotta: #4, 1888(12%)
minecraft.picked_up.smooth_quartz: #3, 596(2%)
minecraft.dropped.crossbow: #3, 74(3%)
minecraft.dropped.redstone_block: #4, 149(8%)
minecraft.picked_up.flint: #5, 2345(9%)
minecraft.dropped.birch_sign: #4, 29(11%)
minecraft.crafted.brown_concrete_powder: #4, 856(11%)
minecraft.used.apple: #4, 96(7%)
minecraft.picked_up.mutton: #4, 287(6%)
minecraft.crafted.yellow_stained_glass: #4, 912(9%)
minecraft.dropped.spruce_sign: #3, 17(4%)
minecraft.dropped.pink_wool: #3, 4(6%)
minecraft.used.iron_ore: #3, 68(2%)
minecraft.dropped.rotten_flesh: #5, 4652(8%)
minecraft.mined.brain_coral_block: #4, 534(10%)
minecraft.used.birch_sign: #5, 228(10%)
minecraft.dropped.dark_oak_log: #4, 260(7%)
minecraft.dropped.quartz_stairs: #4, 58(10%)
minecraft.crafted.green_concrete_powder: #4, 2575(8%)
minecraft.dropped.lime_dye: #4, 64(14%)
minecraft.dropped.spruce_log: #4, 433(6%)
minecraft.used.golden_apple: #4, 16(7%)
minecraft.used.sponge: #4, 1013(8%)
minecraft.picked_up.white_terracotta: #4, 5768(6%)
minecraft.picked_up.pink_bed: #4, 23(16%)
minecraft.crafted.slime_block: #4, 1457(6%)
minecraft.picked_up.lilac: #5, 289(10%)
minecraft.mined.light_gray_concrete_powder: #4, 331(6%)
minecraft.picked_up.grass_block: #5, 49326(9%)
minecraft.used.pink_bed: #4, 26(14%)
minecraft.killed_by.drowned: #4, 6(9%)
minecraft.dropped.seagrass: #4, 54(10%)
minecraft.mined.white_terracotta: #4, 5637(6%)
minecraft.picked_up.shears: #4, 44(6%)
minecraft.used.cooked_rabbit: #3, 3(5%)
minecraft.mined.birch_sign: #4, 17(7%)
minecraft.crafted.magenta_terracotta: #3, 204(3%)
minecraft.picked_up.spruce_stairs: #5, 1149(9%)
minecraft.picked_up.spruce_fence_gate: #4, 97(8%)
minecraft.picked_up.spruce_door: #4, 55(5%)
minecraft.dropped.wooden_shovel: #3, 8(2%)
minecraft.picked_up.brick_wall: #3, 15(4%)
minecraft.picked_up.brain_coral_block: #4, 519(9%)
minecraft.used.allium: #4, 15(11%)
minecraft.used.green_concrete_powder: #4, 2294(7%)
minecraft.picked_up.spectral_arrow: #3, 50(3%)
minecraft.picked_up.green_dye: #4, 5890(7%)
minecraft.used.experience_bottle: #3, 124(2%)
minecraft.dropped.iron_chestplate: #4, 9(6%)
minecraft.mined.kelp_plant: #5, 3339(9%)
minecraft.picked_up.cooked_mutton: #4, 128(6%)
minecraft.used.green_wool: #4, 123(9%)
minecraft.dropped.sandstone_slab: #4, 112(8%)
minecraft.crafted.spruce_planks: #5, 34730(7%)
minecraft.picked_up.bubble_coral_block: #4, 382(8%)
minecraft.picked_up.spruce_wood: #4, 142(7%)
minecraft.picked_up.cyan_carpet: #4, 26(7%)
minecraft.dropped.red_glazed_terracotta: #3, 2(2%)
minecraft.mined.attached_pumpkin_stem: #4, 5(10%)
minecraft.dropped.firework_star: #3, 1(1%)
minecraft.picked_up.gray_glazed_terracotta: #3, 11(1%)
minecraft.mined.end_stone_brick_stairs: #3, 2(1%)
minecraft.picked_up.end_stone_brick_stairs: #3, 2(1%)
minecraft.mined.bubble_coral_block: #4, 388(9%)
minecraft.dropped.yellow_dye: #4, 64(13%)
minecraft.dropped.oak_door: #4, 8(8%)
minecraft.used.end_stone_brick_stairs: #3, 2(0%)
minecraft.dropped.paper: #5, 953(9%)
minecraft.dropped.sandstone: #4, 863(5%)
minecraft.picked_up.oak_wood: #4, 79(7%)
minecraft.used.grass_block: #5, 24017(7%)
minecraft.dropped.filled_map: #4, 18(6%)
minecraft.mined.orange_glazed_terracotta: #4, 21(11%)
minecraft.mined.lime_wool: #4, 41(6%)
minecraft.picked_up.ender_eye: #4, 3(12%)
minecraft.used.light_gray_terracotta: #4, 447(5%)
minecraft.dropped.golden_apple: #4, 3(9%)
minecraft.killed.wolf: #4, 2(12%)
minecraft.mined.stone: #5, 363529(7%)
minecraft.dropped.oak_button: #4, 13(6%)
minecraft.picked_up.quartz_pillar: #4, 452(5%)
minecraft.picked_up.cactus: #4, 1991(4%)
minecraft.picked_up.red_tulip: #5, 164(9%)
minecraft.picked_up.tnt: #5, 528(10%)
minecraft.mined.fire_coral_block: #4, 429(7%)
minecraft.picked_up.gray_concrete: #5, 8526(9%)
minecraft.broken.fishing_rod: #4, 5(7%)
minecraft.picked_up.emerald_ore: #4, 25(8%)
minecraft.broken.wooden_pickaxe: #4, 1(12%)
minecraft.dropped.iron_trapdoor: #4, 36(6%)
minecraft.mined.dragon_head: #4, 3(10%)
minecraft.custom.talked_to_villager: #5, 4152(7%)
minecraft.mined.spruce_wood: #4, 77(5%)
minecraft.dropped.tnt: #4, 28(9%)
minecraft.picked_up.grindstone: #4, 37(6%)
minecraft.picked_up.quartz_block: #5, 1716(8%)
minecraft.dropped.diamond: #5, 811(8%)
minecraft.crafted.hopper: #5, 1898(8%)
minecraft.mined.diorite: #5, 22288(7%)
minecraft.dropped.magenta_shulker_box: #4, 2(12%)
minecraft.picked_up.light_blue_terracotta: #4, 146(5%)
minecraft.picked_up.iron_helmet: #5, 26(7%)
minecraft.picked_up.fire_coral_block: #4, 427(7%)
minecraft.mined.lime_banner: #4, 3(12%)
minecraft.used.bubble_coral: #4, 13(7%)
minecraft.picked_up.music_disc_cat: #4, 8(7%)
minecraft.picked_up.oak_sign: #5, 670(7%)
minecraft.picked_up.polished_diorite_slab: #4, 54(11%)
minecraft.dropped.yellow_stained_glass: #4, 13(10%)
minecraft.used.podzol: #4, 325(5%)
minecraft.picked_up.granite: #5, 18825(7%)
minecraft.picked_up.spruce_slab: #5, 1478(6%)
minecraft.picked_up.orange_terracotta: #5, 8316(8%)
minecraft.dropped.name_tag: #5, 22(10%)
minecraft.dropped.wooden_pickaxe: #4, 3(6%)
minecraft.used.bread: #5, 154(8%)
minecraft.mined.bookshelf: #4, 195(3%)
minecraft.crafted.iron_boots: #5, 23(7%)
minecraft.crafted.white_stained_glass_pane: #5, 2952(9%)
minecraft.custom.open_chest: #6, 51969(7%)
minecraft.picked_up.dragon_head: #5, 24(11%)
minecraft.mined.magenta_stained_glass_pane: #4, 24(10%)
minecraft.crafted.firework_star: #4, 778(6%)
minecraft.used.wooden_sword: #4, 24(7%)
minecraft.dropped.stripped_oak_log: #4, 8(5%)
minecraft.picked_up.stripped_spruce_wood: #4, 29(7%)
minecraft.used.smooth_quartz: #4, 607(4%)
minecraft.mined.cobblestone_stairs: #5, 239(8%)
minecraft.mined.stripped_spruce_wood: #4, 29(7%)
minecraft.killed_by.vex: #4, 3(9%)
minecraft.mined.yellow_bed: #4, 22(5%)
minecraft.used.stripped_spruce_wood: #4, 21(13%)
minecraft.dropped.birch_door: #4, 2(10%)
minecraft.dropped.damaged_anvil: #4, 1(11%)
minecraft.dropped.iron_nugget: #4, 57(3%)
minecraft.picked_up.coal: #5, 24027(7%)
minecraft.used.sweet_berries: #4, 299(4%)
minecraft.dropped.cyan_carpet: #4, 5(8%)
minecraft.killed.spider: #5, 259(7%)
minecraft.crafted.acacia_door: #4, 12(7%)
minecraft.killed.skeleton_horse: #4, 2(11%)
minecraft.dropped.totem_of_undying: #4, 7(5%)
minecraft.used.pufferfish_bucket: #5, 49(10%)
minecraft.crafted.dark_oak_planks: #5, 12642(6%)
minecraft.used.gray_concrete: #5, 7355(8%)
minecraft.used.jungle_sign: #4, 21(8%)
minecraft.mined.grass: #6, 6462(8%)
minecraft.crafted.pink_bed: #4, 3(6%)
minecraft.picked_up.diamond_horse_armor: #4, 1(6%)
minecraft.picked_up.sweet_berries: #4, 934(3%)
minecraft.crafted.bone_meal: #5, 68324(6%)
minecraft.picked_up.acacia_sign: #4, 2(8%)
minecraft.mined.andesite_wall: #4, 17(4%)
minecraft.picked_up.white_stained_glass: #5, 1892(7%)
minecraft.crafted.dropper: #5, 626(7%)
minecraft.used.dark_oak_slab: #5, 2790(7%)
minecraft.picked_up.light_gray_terracotta: #5, 10926(8%)
minecraft.used.cobweb: #4, 244(3%)
minecraft.killed_by.pufferfish: #4, 2(6%)
minecraft.used.orange_glazed_terracotta: #4, 37(7%)
minecraft.dropped.red_shulker_box: #4, 4(4%)
minecraft.dropped.red_terracotta: #4, 118(4%)
minecraft.custom.use_cauldron: #4, 9(4%)
minecraft.picked_up.sugar_cane: #5, 12341(6%)
minecraft.picked_up.wooden_shovel: #4, 4(7%)
minecraft.custom.enchant_item: #5, 311(6%)
minecraft.mined.shulker_box: #5, 2320(6%)
minecraft.crafted.grindstone: #4, 39(3%)
minecraft.crafted.observer: #5, 1186(8%)
minecraft.used.porkchop: #4, 2(9%)
minecraft.picked_up.golden_chestplate: #5, 21(6%)
minecraft.picked_up.lapis_lazuli: #5, 7734(6%)
minecraft.picked_up.yellow_stained_glass: #5, 297(8%)
minecraft.used.light_gray_stained_glass_pane: #5, 1388(10%)
minecraft.used.white_stained_glass_pane: #5, 2310(7%)
minecraft.mined.jungle_wall_sign: #4, 3(7%)
minecraft.dropped.golden_chestplate: #5, 19(7%)
minecraft.used.spruce_trapdoor: #5, 1575(6%)
minecraft.dropped.nether_wart: #4, 69(3%)
minecraft.mined.wall_torch: #5, 1098(6%)
minecraft.crafted.brown_stained_glass_pane: #4, 16(6%)
minecraft.crafted.iron_pickaxe: #5, 33(6%)
minecraft.killed_by.slime: #4, 1(8%)
minecraft.picked_up.dark_oak_trapdoor: #5, 202(7%)
minecraft.picked_up.light_gray_glazed_terracotta: #4, 120(4%)
minecraft.mined.oak_sapling: #5, 60(5%)
minecraft.crafted.jungle_planks: #5, 4804(5%)
minecraft.mined.acacia_fence: #4, 41(3%)
minecraft.picked_up.acacia_fence: #4, 39(3%)
minecraft.picked_up.magenta_carpet: #4, 16(4%)
minecraft.crafted.birch_stairs: #5, 944(8%)
minecraft.mined.light_gray_terracotta: #5, 10718(7%)
minecraft.dropped.powered_rail: #5, 75(9%)
minecraft.crafted.orange_glazed_terracotta: #4, 36(4%)
minecraft.dropped.iron_block: #5, 384(8%)
minecraft.picked_up.black_concrete_powder: #5, 5978(7%)
minecraft.dropped.light_blue_banner: #4, 1(8%)
minecraft.mined.white_stained_glass_pane: #5, 396(7%)
minecraft.crafted.pumpkin_seeds: #4, 136(2%)
minecraft.crafted.spruce_slab: #5, 3274(5%)
minecraft.dropped.gold_nugget: #5, 817(7%)
minecraft.mined.dark_prismarine_slab: #4, 99(3%)
minecraft.dropped.orange_shulker_box: #4, 3(4%)
minecraft.used.cake: #4, 17(2%)
minecraft.dropped.bookshelf: #4, 13(4%)
minecraft.used.coal_block: #5, 595(6%)
minecraft.dropped.light_gray_wool: #4, 27(2%)
minecraft.killed_by.iron_golem: #4, 2(4%)
minecraft.mined.wet_sponge: #5, 1035(8%)
minecraft.crafted.book: #5, 470(5%)
minecraft.dropped.spruce_wood: #4, 1(5%)
minecraft.custom.horse_one_cm: #5, 1785541(5%)
minecraft.crafted.gray_concrete_powder: #5, 7928(7%)
minecraft.dropped.red_stained_glass_pane: #4, 4(4%)
minecraft.mined.dried_kelp_block: #4, 19(2%)
minecraft.used.dark_oak_sign: #5, 39(7%)
minecraft.mined.magenta_carpet: #4, 12(3%)
minecraft.mined.polished_diorite_slab: #4, 11(3%)
minecraft.dropped.spruce_trapdoor: #5, 43(7%)
minecraft.dropped.red_sandstone_slab: #4, 7(5%)
minecraft.dropped.crafting_table: #5, 30(6%)
minecraft.crafted.campfire: #5, 129(7%)
minecraft.used.oak_leaves: #5, 3892(5%)
minecraft.crafted.repeater: #5, 951(6%)
minecraft.picked_up.oak_trapdoor: #5, 196(5%)
minecraft.dropped.acacia_planks: #5, 35(7%)
minecraft.used.obsidian: #5, 1112(6%)
minecraft.crafted.spruce_sign: #5, 126(6%)
minecraft.picked_up.scute: #4, 10(4%)
minecraft.mined.granite_stairs: #4, 2(4%)
minecraft.dropped.pink_dye: #4, 1(3%)
minecraft.used.carved_pumpkin: #5, 59(8%)
minecraft.picked_up.red_terracotta: #5, 6144(6%)
minecraft.mined.emerald_ore: #5, 42(8%)
minecraft.used.lapis_ore: #5, 214(6%)
minecraft.crafted.polished_diorite_slab: #4, 66(3%)
minecraft.picked_up.granite_stairs: #4, 2(3%)
minecraft.dropped.flint_and_steel: #5, 9(9%)
minecraft.picked_up.gray_terracotta: #4, 82(1%)
minecraft.used.gray_concrete_powder: #5, 7398(6%)
minecraft.picked_up.pufferfish_bucket: #5, 5(11%)
minecraft.mined.diorite_wall: #4, 2(2%)
minecraft.used.gray_terracotta: #4, 303(1%)
minecraft.picked_up.red_sandstone_slab: #4, 40(2%)
minecraft.mined.red_terracotta: #5, 5534(6%)
minecraft.crafted.turtle_helmet: #4, 2(3%)
minecraft.picked_up.blue_concrete: #5, 554(6%)
minecraft.crafted.jungle_sign: #4, 6(2%)
minecraft.dropped.bread: #5, 228(7%)
minecraft.used.bookshelf: #5, 404(5%)
minecraft.picked_up.orange_concrete: #5, 718(7%)
minecraft.used.black_concrete_powder: #5, 7506(6%)
minecraft.dropped.iron_helmet: #5, 15(6%)
minecraft.mined.seagrass: #5, 867(4%)
minecraft.dropped.terracotta: #5, 253(7%)
minecraft.mined.grass_block: #6, 52106(6%)
minecraft.used.birch_stairs: #5, 896(5%)
minecraft.crafted.gray_terracotta: #4, 128(0%)
minecraft.used.stone_pickaxe: #5, 743(4%)
minecraft.dropped.hopper: #5, 51(7%)
minecraft.picked_up.sea_lantern: #5, 1549(4%)
minecraft.picked_up.purple_shulker_box: #5, 119(6%)
minecraft.dropped.blue_terracotta: #4, 2(0%)
minecraft.dropped.soul_sand: #5, 155(5%)
minecraft.broken.iron_boots: #5, 1(12%)
minecraft.used.smoker: #5, 27(6%)
minecraft.dropped.oak_slab: #5, 78(6%)
minecraft.custom.interact_with_crafting_table: #6, 5466(6%)
minecraft.dropped.grass: #5, 8(6%)
minecraft.used.purple_shulker_box: #5, 114(5%)
minecraft.picked_up.iron_hoe: #5, 2(7%)
minecraft.killed.pufferfish: #5, 5(8%)
minecraft.picked_up.red_dye: #5, 169(6%)
minecraft.used.blue_concrete_powder: #5, 624(6%)
minecraft.crafted.spruce_door: #5, 60(4%)
minecraft.mined.red_tulip: #5, 47(5%)
minecraft.crafted.birch_fence: #5, 114(5%)
minecraft.picked_up.red_wool: #5, 327(5%)
minecraft.picked_up.bamboo: #5, 4355(5%)
minecraft.picked_up.white_tulip: #5, 77(6%)
minecraft.mined.orange_wool: #5, 38(8%)
minecraft.dropped.dark_oak_sign: #5, 6(9%)
minecraft.used.stone_axe: #5, 430(4%)
minecraft.crafted.cobblestone_stairs: #5, 1080(4%)
minecraft.mined.poppy: #6, 411(7%)
minecraft.used.terracotta: #5, 404(4%)
minecraft.used.damaged_anvil: #5, 10(5%)
minecraft.crafted.purple_stained_glass_pane: #5, 160(7%)
minecraft.used.iron_hoe: #5, 465(5%)
minecraft.crafted.stone: #5, 5891(3%)
minecraft.picked_up.orange_concrete_powder: #5, 266(8%)
minecraft.mined.purple_shulker_box: #5, 108(5%)
minecraft.picked_up.iron_pickaxe: #6, 18(8%)
minecraft.used.anvil: #6, 123(7%)
minecraft.used.dragon_head: #5, 6(6%)
minecraft.picked_up.end_rod: #6, 1175(8%)
minecraft.crafted.paper: #6, 50625(8%)
minecraft.mined.sponge: #5, 22(6%)
minecraft.custom.animals_bred: #6, 1278(7%)
minecraft.used.orange_tulip: #5, 12(5%)
minecraft.crafted.yellow_concrete_powder: #5, 1120(4%)
minecraft.picked_up.golden_boots: #6, 30(7%)
minecraft.picked_up.piston: #6, 510(8%)
minecraft.crafted.smooth_quartz_stairs: #5, 200(7%)
minecraft.used.white_bed: #6, 193(7%)
minecraft.picked_up.yellow_bed: #5, 25(5%)
minecraft.mined.white_glazed_terracotta: #5, 19(8%)
minecraft.used.azure_bluet: #5, 22(5%)
minecraft.mined.fern: #6, 204(7%)
minecraft.crafted.magenta_concrete_powder: #5, 480(5%)
minecraft.picked_up.gray_stained_glass: #5, 255(4%)
minecraft.picked_up.lime_banner: #5, 4(6%)
minecraft.dropped.purpur_pillar: #5, 35(7%)
minecraft.dropped.chainmail_helmet: #5, 3(5%)
minecraft.picked_up.andesite: #6, 20856(6%)
minecraft.mined.bricks: #5, 215(4%)
minecraft.used.yellow_bed: #5, 25(5%)
minecraft.mined.white_bed: #6, 147(7%)
minecraft.picked_up.oak_fence_gate: #5, 33(3%)
minecraft.picked_up.green_stained_glass: #5, 88(5%)
minecraft.picked_up.leather_helmet: #6, 20(7%)
minecraft.picked_up.note_block: #6, 111(8%)
minecraft.mined.farmland: #6, 333(7%)
minecraft.used.diamond_sword: #6, 18571(5%)
