stat, rank, value, (percentage) 
minecraft.custom.swim_one_cm: #1, 70434034(26%)
minecraft.mined.spruce_fence_gate: #1, 421(50%)
minecraft.mined.iron_bars: #1, 3446(33%)
minecraft.picked_up.ender_pearl: #1, 10359(30%)
minecraft.mined.blue_terracotta: #1, 910(53%)
minecraft.mined.lime_stained_glass: #1, 987(49%)
minecraft.used.green_terracotta: #1, 24859(49%)
minecraft.picked_up.orange_terracotta: #1, 37489(38%)
minecraft.mined.red_terracotta: #1, 39362(41%)
minecraft.mined.birch_stairs: #1, 2938(46%)
minecraft.mined.stripped_spruce_log: #1, 1001(37%)
minecraft.used.acacia_trapdoor: #1, 4010(49%)
minecraft.picked_up.stripped_spruce_log: #1, 1008(37%)
minecraft.dropped.black_terracotta: #1, 2188(87%)
minecraft.crafted.purple_shulker_box: #1, 77(60%)
minecraft.used.stripped_jungle_log: #1, 741(71%)
minecraft.mined.andesite_wall: #1, 238(60%)
minecraft.used.birch_stairs: #1, 6641(41%)
minecraft.used.acacia_fence: #1, 1018(52%)
minecraft.killed.phantom: #1, 1887(37%)
minecraft.picked_up.yellow_glazed_terracotta: #1, 1874(77%)
minecraft.picked_up.blue_terracotta: #1, 1265(51%)
minecraft.mined.cracked_stone_bricks: #1, 911(35%)
minecraft.crafted.arrow: #1, 1616(76%)
minecraft.mined.player_head: #1, 759(33%)
minecraft.picked_up.birch_sign: #1, 363(33%)
minecraft.picked_up.podzol: #1, 5495(51%)
minecraft.mined.acacia_log: #1, 22844(34%)
minecraft.crafted.green_concrete_powder: #1, 15000(44%)
minecraft.crafted.lime_shulker_box: #1, 135(54%)
minecraft.crafted.acacia_wood: #1, 3162(58%)
minecraft.mined.dead_fire_coral_block: #1, 936(75%)
minecraft.used.heavy_weighted_pressure_plate: #1, 308(50%)
minecraft.used.experience_bottle: #1, 6675(93%)
minecraft.mined.light_gray_terracotta: #1, 59275(41%)
minecraft.used.red_banner: #1, 553(53%)
minecraft.crafted.blue_terracotta: #1, 8712(68%)
minecraft.picked_up.tube_coral_block: #1, 2693(53%)
minecraft.used.lava_bucket: #1, 809(32%)
