stat, rank, value, (percentage) 
minecraft.picked_up.loom: #1, 33(21%)
minecraft.dropped.lever: #1, 170(23%)
minecraft.used.orange_glazed_terracotta: #1, 314(61%)
minecraft.picked_up.brown_glazed_terracotta: #1, 2032(86%)
minecraft.dropped.leather_leggings: #1, 62(20%)
minecraft.mined.iron_block: #1, 7153(19%)
minecraft.custom.traded_with_villager: #2, 54315(24%)
minecraft.used.pink_tulip: #1, 44(47%)
minecraft.picked_up.birch_log: #2, 14572(22%)
minecraft.dropped.trident: #1, 42(21%)
minecraft.crafted.magenta_bed: #1, 50(85%)
minecraft.mined.oak_pressure_plate: #1, 52(24%)
minecraft.picked_up.jungle_pressure_plate: #1, 26(60%)
minecraft.picked_up.chainmail_leggings: #1, 32(20%)
minecraft.mined.purpur_pillar: #1, 875(32%)
minecraft.picked_up.oak_planks: #1, 4167(15%)
minecraft.mined.oak_planks: #1, 2916(17%)
minecraft.crafted.andesite_slab: #1, 4256(46%)
minecraft.used.dirt: #2, 130316(16%)
minecraft.crafted.anvil: #1, 202(17%)
minecraft.mined.kelp: #1, 2915(17%)
minecraft.mined.black_wool: #1, 458(25%)
minecraft.picked_up.dead_horn_coral_block: #1, 272(46%)
minecraft.dropped.wooden_pickaxe: #1, 17(32%)
minecraft.mined.red_carpet: #1, 517(24%)
minecraft.picked_up.cooked_cod: #2, 24449(25%)
minecraft.mined.red_shulker_box: #1, 1708(19%)
minecraft.crafted.brown_bed: #1, 42(69%)
minecraft.used.polished_diorite_slab: #1, 1582(59%)
minecraft.used.purple_glazed_terracotta: #1, 150(69%)
minecraft.used.chipped_anvil: #1, 84(24%)
minecraft.crafted.ender_eye: #1, 132(20%)
minecraft.picked_up.purpur_pillar: #1, 848(32%)
minecraft.picked_up.andesite_slab: #1, 292(34%)
minecraft.used.music_disc_far: #1, 41(68%)
minecraft.used.acacia_sapling: #2, 2644(32%)
minecraft.dropped.cyan_shulker_box: #1, 10(45%)
minecraft.mined.light_blue_wall_banner: #1, 42(58%)
minecraft.used.red_shulker_box: #1, 1708(19%)
minecraft.dropped.diamond_helmet: #1, 25(21%)
minecraft.mined.horn_coral_fan: #1, 407(58%)
minecraft.crafted.light_gray_banner: #1, 72(81%)
minecraft.used.note_block: #1, 624(19%)
minecraft.killed.spider: #1, 636(16%)
minecraft.used.light_blue_carpet: #1, 460(37%)
minecraft.mined.allium: #1, 247(29%)
minecraft.mined.lime_carpet: #1, 144(29%)
minecraft.mined.acacia_wood: #1, 408(33%)
minecraft.dropped.dried_kelp_block: #1, 399(50%)
minecraft.picked_up.stone_brick_wall: #1, 500(27%)
minecraft.crafted.dark_oak_boat: #1, 55(27%)
minecraft.used.stripped_acacia_wood: #1, 3204(100%)
minecraft.used.jungle_leaves: #1, 2105(21%)
minecraft.picked_up.kelp: #2, 81362(19%)
minecraft.mined.grass_block: #2, 126170(15%)
minecraft.picked_up.acacia_wood: #1, 416(33%)
minecraft.mined.white_tulip: #1, 194(25%)
minecraft.picked_up.bubble_coral_block: #2, 1747(38%)
minecraft.custom.interact_with_cartography_table: #1, 23(30%)
minecraft.used.redstone_ore: #2, 5963(26%)
minecraft.dropped.pink_terracotta: #1, 2112(98%)
minecraft.custom.inspect_dropper: #2, 3645(20%)
minecraft.mined.vine: #2, 4389(20%)
minecraft.mined.yellow_shulker_box: #1, 1377(18%)
minecraft.dropped.chorus_fruit: #1, 586(39%)
minecraft.crafted.compass: #2, 575(24%)
minecraft.used.purple_terracotta: #1, 1373(49%)
minecraft.custom.play_one_minute: #2, 168348464(9%)
minecraft.used.stripped_birch_wood: #1, 178(55%)
minecraft.mined.chipped_anvil: #1, 85(23%)
minecraft.mined.horn_coral_wall_fan: #1, 967(43%)
minecraft.crafted.ender_chest: #1, 89(19%)
minecraft.picked_up.purpur_block: #1, 1683(28%)
minecraft.mined.black_terracotta: #2, 1317(32%)
minecraft.mined.andesite_slab: #1, 271(35%)
minecraft.used.ender_pearl: #2, 2673(19%)
minecraft.dropped.glass_pane: #2, 138(34%)
minecraft.picked_up.hay_block: #2, 310(28%)
minecraft.used.golden_apple: #2, 60(27%)
minecraft.crafted.polished_diorite_slab: #1, 1516(64%)
minecraft.mined.granite_stairs: #1, 42(76%)
minecraft.crafted.cobblestone_wall: #1, 3162(16%)
minecraft.mined.loom: #1, 28(19%)
minecraft.custom.interact_with_furnace: #1, 11303(14%)
minecraft.crafted.red_terracotta: #1, 5144(32%)
minecraft.custom.interact_with_beacon: #1, 244(19%)
minecraft.picked_up.oak_pressure_plate: #1, 84(19%)
minecraft.picked_up.orange_bed: #1, 32(42%)
minecraft.crafted.lantern: #1, 1917(21%)
minecraft.killed.zombie: #2, 3069(14%)
minecraft.picked_up.prismarine_crystals: #2, 24244(21%)
minecraft.mined.spruce_fence: #1, 1120(17%)
minecraft.mined.purpur_block: #1, 1682(27%)
minecraft.used.green_glazed_terracotta: #1, 296(54%)
minecraft.used.black_stained_glass_pane: #2, 2320(28%)
minecraft.used.mossy_cobblestone: #1, 714(22%)
minecraft.used.diamond_pickaxe: #1, 1568448(13%)
minecraft.killed.husk: #1, 202(21%)
minecraft.used.horn_coral_block: #1, 355(25%)
minecraft.used.lantern: #1, 1666(19%)
minecraft.picked_up.red_sandstone: #1, 161(75%)
minecraft.mined.lantern: #1, 291(20%)
minecraft.dropped.jungle_slab: #1, 44(42%)
minecraft.broken.shield: #1, 7(47%)
minecraft.used.blue_orchid: #1, 35(47%)
minecraft.used.purpur_block: #1, 465(29%)
minecraft.picked_up.spruce_button: #2, 127(24%)
minecraft.picked_up.stripped_oak_log: #2, 999(21%)
minecraft.crafted.emerald: #2, 61178(22%)
minecraft.used.rail: #1, 13722(17%)
minecraft.mined.bubble_coral_block: #2, 1776(39%)
minecraft.mined.stripped_oak_log: #2, 990(20%)
minecraft.dropped.green_bed: #1, 50(93%)
minecraft.used.purple_banner: #1, 37(37%)
minecraft.dropped.stone_brick_slab: #1, 733(21%)
minecraft.mined.chorus_flower: #2, 687(29%)
minecraft.used.smithing_table: #1, 482(41%)
minecraft.killed.zombie_villager: #1, 56(15%)
minecraft.picked_up.chipped_anvil: #1, 84(22%)
minecraft.mined.bamboo_sapling: #1, 18(37%)
minecraft.killed.endermite: #1, 47(23%)
minecraft.dropped.spectral_arrow: #1, 188(46%)
minecraft.crafted.orange_terracotta: #1, 2308(37%)
minecraft.dropped.light_blue_carpet: #1, 47(61%)
minecraft.mined.dead_brain_coral_fan: #1, 269(73%)
minecraft.dropped.rotten_flesh: #2, 9242(16%)
minecraft.crafted.paper: #1, 104333(16%)
minecraft.used.brain_coral_fan: #2, 301(33%)
minecraft.used.filled_map: #1, 282(91%)
minecraft.mined.fletching_table: #1, 16(73%)
minecraft.picked_up.fletching_table: #1, 16(73%)
minecraft.mined.blue_wall_banner: #1, 40(61%)
minecraft.used.beef: #1, 21(40%)
minecraft.picked_up.dead_tube_coral_block: #1, 285(33%)
minecraft.picked_up.cobblestone_wall: #1, 859(15%)
minecraft.used.dragon_head: #1, 28(30%)
minecraft.used.jungle_trapdoor: #1, 1772(36%)
minecraft.crafted.leather_helmet: #1, 40(24%)
minecraft.used.pink_glazed_terracotta: #1, 255(90%)
minecraft.picked_up.birch_door: #1, 38(21%)
minecraft.picked_up.gray_banner: #1, 52(60%)
minecraft.used.blue_ice: #2, 4687(29%)
minecraft.mined.light_blue_carpet: #1, 127(36%)
minecraft.dropped.smooth_quartz_slab: #1, 206(71%)
minecraft.picked_up.map: #1, 174(32%)
minecraft.used.iron_block: #1, 10432(15%)
minecraft.used.damaged_anvil: #1, 42(20%)
minecraft.mined.tube_coral_wall_fan: #2, 913(41%)
minecraft.dropped.birch_trapdoor: #1, 25(29%)
minecraft.mined.dead_fire_coral_fan: #1, 306(70%)
minecraft.used.cooked_rabbit: #1, 45(70%)
minecraft.mined.birch_trapdoor: #1, 145(20%)
minecraft.used.red_sandstone: #1, 439(88%)
minecraft.mined.andesite_stairs: #1, 42(35%)
minecraft.crafted.gray_terracotta: #1, 13092(50%)
minecraft.crafted.mossy_stone_bricks: #2, 2741(30%)
minecraft.mined.black_concrete: #2, 23376(20%)
minecraft.crafted.brown_carpet: #1, 1321(27%)
minecraft.mined.bubble_coral_wall_fan: #2, 995(41%)
minecraft.mined.green_bed: #1, 99(50%)
minecraft.used.fire_charge: #1, 60(87%)
minecraft.dropped.light_gray_dye: #1, 209(39%)
minecraft.picked_up.rabbit_foot: #1, 11(58%)
minecraft.crafted.brick_stairs: #1, 1209(35%)
minecraft.picked_up.granite_slab: #1, 223(87%)
minecraft.picked_up.dead_bubble_coral_fan: #1, 284(58%)
minecraft.mined.red_sandstone: #1, 203(86%)
minecraft.crafted.black_stained_glass_pane: #2, 2096(28%)
minecraft.killed_by.ravager: #1, 76(38%)
minecraft.picked_up.bubble_coral_fan: #2, 1158(37%)
minecraft.used.obsidian: #2, 4109(21%)
minecraft.used.smooth_stone: #2, 11191(20%)
minecraft.mined.hay_block: #2, 178(28%)
minecraft.picked_up.granite_stairs: #1, 42(68%)
minecraft.dropped.scaffolding: #1, 644(21%)
minecraft.used.beetroot: #1, 100(68%)
minecraft.mined.green_banner: #1, 9(56%)
minecraft.picked_up.apple: #2, 1109(17%)
minecraft.dropped.chorus_flower: #1, 49(67%)
minecraft.crafted.brown_banner: #1, 187(84%)
minecraft.mined.bell: #1, 69(48%)
minecraft.used.orange_shulker_box: #2, 1542(26%)
minecraft.picked_up.green_banner: #1, 11(33%)
minecraft.used.black_concrete: #2, 22301(20%)
minecraft.dropped.birch_planks: #1, 297(16%)
minecraft.crafted.written_book: #1, 66(28%)
minecraft.mined.dead_bubble_coral_fan: #1, 282(83%)
minecraft.picked_up.orange_shulker_box: #2, 1558(25%)
minecraft.mined.polished_andesite: #2, 5066(19%)
minecraft.dropped.black_stained_glass_pane: #1, 87(83%)
minecraft.custom.damage_resisted: #2, 91123(19%)
minecraft.mined.brick_slab: #2, 637(31%)
minecraft.picked_up.netherrack: #2, 142959(17%)
minecraft.used.acacia_log: #2, 9165(24%)
minecraft.dropped.oak_sapling: #2, 784(19%)
minecraft.picked_up.cyan_banner: #1, 23(30%)
minecraft.used.smooth_quartz: #2, 3710(27%)
minecraft.mined.dead_horn_coral_fan: #1, 272(82%)
minecraft.mined.oak_log: #2, 19719(15%)
minecraft.dropped.acacia_button: #1, 17(65%)
minecraft.used.prismarine_stairs: #1, 433(47%)
minecraft.dropped.white_wool: #1, 274(17%)
minecraft.used.bubble_coral_block: #1, 354(25%)
minecraft.used.bucket: #1, 9567(13%)
minecraft.picked_up.jungle_button: #1, 71(41%)
minecraft.dropped.crafting_table: #1, 80(17%)
minecraft.crafted.dried_kelp: #2, 30583(25%)
minecraft.mined.dead_brain_coral: #1, 59(81%)
minecraft.used.birch_sapling: #2, 2435(21%)
minecraft.dropped.diamond_block: #1, 302(18%)
minecraft.dropped.purple_shulker_box: #1, 18(64%)
minecraft.custom.fill_cauldron: #2, 78(22%)
minecraft.picked_up.leather_boots: #1, 74(15%)
minecraft.picked_up.stone_axe: #1, 10(20%)
minecraft.used.string: #2, 2788(20%)
minecraft.mined.brain_coral_wall_fan: #2, 954(42%)
minecraft.used.stripped_dark_oak_log: #2, 882(24%)
minecraft.dropped.golden_apple: #1, 10(29%)
minecraft.mined.orange_shulker_box: #2, 1541(26%)
minecraft.used.light_blue_banner: #1, 153(39%)
minecraft.mined.sandstone_wall: #1, 84(63%)
minecraft.mined.polished_diorite_stairs: #1, 223(52%)
minecraft.used.pink_concrete_powder: #1, 539(22%)
minecraft.mined.prismarine_bricks: #2, 7923(23%)
minecraft.crafted.white_bed: #1, 59(14%)
minecraft.picked_up.iron_trapdoor: #2, 1773(20%)
minecraft.mined.birch_slab: #2, 903(22%)
minecraft.picked_up.dead_horn_coral_fan: #1, 271(62%)
minecraft.crafted.torch: #1, 28011(12%)
minecraft.used.horn_coral: #2, 95(32%)
minecraft.used.gray_banner: #1, 65(45%)
minecraft.picked_up.spruce_boat: #2, 271(16%)
minecraft.dropped.stone_pickaxe: #2, 31(26%)
minecraft.used.bell: #1, 77(44%)
minecraft.dropped.cobweb: #1, 64(44%)
minecraft.crafted.bookshelf: #2, 2037(19%)
minecraft.picked_up.sandstone_wall: #1, 83(51%)
minecraft.picked_up.jungle_planks: #2, 525(21%)
minecraft.picked_up.chiseled_red_sandstone: #1, 79(77%)
minecraft.used.green_bed: #1, 114(51%)
minecraft.picked_up.oak_log: #2, 20138(14%)
minecraft.dropped.diamond_sword: #1, 31(12%)
minecraft.used.gold_block: #2, 3977(21%)
minecraft.dropped.gray_carpet: #1, 218(23%)
minecraft.mined.polished_diorite: #2, 1158(24%)
minecraft.picked_up.stripped_oak_wood: #1, 218(34%)
minecraft.picked_up.gold_ingot: #2, 2243(19%)
minecraft.mined.jungle_sapling: #1, 65(25%)
minecraft.mined.orange_bed: #1, 32(43%)
minecraft.dropped.green_stained_glass_pane: #1, 68(76%)
minecraft.picked_up.brick_slab: #2, 690(29%)
minecraft.crafted.light_blue_dye: #2, 3765(18%)
minecraft.mined.coarse_dirt: #2, 3295(18%)
minecraft.dropped.black_shulker_box: #1, 6(38%)
minecraft.crafted.cooked_porkchop: #2, 927(24%)
minecraft.mined.birch_fence: #2, 243(23%)
minecraft.used.fire_coral: #2, 97(31%)
minecraft.mined.cake: #1, 52(25%)
minecraft.mined.redstone_lamp: #2, 346(22%)
minecraft.dropped.yellow_glazed_terracotta: #1, 60(74%)
minecraft.used.snowball: #2, 582(20%)
minecraft.crafted.light_blue_banner: #1, 217(42%)
minecraft.mined.black_banner: #1, 11(27%)
minecraft.picked_up.black_terracotta: #2, 1352(26%)
minecraft.mined.smithing_table: #1, 95(37%)
minecraft.mined.end_rod: #2, 1552(17%)
minecraft.used.torch: #1, 35189(11%)
minecraft.used.lime_glazed_terracotta: #1, 107(49%)
minecraft.crafted.cooked_salmon: #1, 541(21%)
minecraft.picked_up.tube_coral: #2, 178(33%)
minecraft.picked_up.lime_stained_glass: #2, 878(23%)
minecraft.picked_up.polished_andesite: #2, 5228(17%)
minecraft.crafted.iron_nugget: #2, 18734(19%)
minecraft.custom.drop: #2, 20711(11%)
minecraft.crafted.cooked_cod: #1, 1354(19%)
minecraft.used.orange_tulip: #2, 64(28%)
minecraft.custom.interact_with_loom: #2, 114(19%)
minecraft.picked_up.oak_sapling: #2, 4963(13%)
minecraft.dropped.dark_oak_boat: #1, 13(21%)
minecraft.mined.lime_glazed_terracotta: #1, 26(41%)
minecraft.mined.light_blue_banner: #1, 34(58%)
minecraft.crafted.experience_bottle: #1, 12316(72%)
minecraft.mined.prismarine_stairs: #1, 120(48%)
minecraft.mined.stone_pressure_plate: #2, 340(18%)
minecraft.picked_up.birch_slab: #2, 1081(20%)
minecraft.mined.grindstone: #2, 131(28%)
minecraft.crafted.nether_wart_block: #2, 1362(39%)
minecraft.used.yellow_shulker_box: #2, 1375(18%)
minecraft.crafted.chiseled_red_sandstone: #1, 366(71%)
minecraft.mined.pink_terracotta: #1, 232(41%)
minecraft.used.fletching_table: #1, 22(71%)
minecraft.crafted.firework_rocket: #2, 157838(21%)
minecraft.used.granite_stairs: #1, 42(47%)
minecraft.used.stripped_jungle_wood: #1, 46(71%)
minecraft.mined.smooth_quartz: #2, 1087(24%)
minecraft.killed.wolf: #1, 6(35%)
minecraft.picked_up.birch_fence: #2, 238(22%)
minecraft.mined.cyan_glazed_terracotta: #1, 71(70%)
minecraft.mined.granite_slab: #1, 221(94%)
minecraft.picked_up.brain_coral: #2, 170(38%)
minecraft.mined.orange_tulip: #2, 189(21%)
minecraft.mined.cyan_wall_banner: #1, 8(40%)
minecraft.mined.jungle_pressure_plate: #1, 21(70%)
minecraft.picked_up.activator_rail: #2, 104(24%)
minecraft.picked_up.brown_carpet: #2, 418(25%)
minecraft.custom.leave_game: #3, 2963(9%)
minecraft.mined.polished_andesite_stairs: #2, 367(29%)
minecraft.picked_up.leather_horse_armor: #1, 5(56%)
minecraft.crafted.purpur_slab: #1, 964(69%)
minecraft.dropped.gray_bed: #1, 9(69%)
minecraft.used.chorus_fruit: #1, 56(21%)
minecraft.picked_up.yellow_shulker_box: #2, 1385(17%)
minecraft.picked_up.lantern: #1, 506(15%)
minecraft.picked_up.brain_coral_fan: #2, 1099(42%)
minecraft.picked_up.acacia_button: #1, 27(55%)
minecraft.mined.grass_path: #2, 1391(16%)
minecraft.crafted.purpur_block: #1, 1448(55%)
minecraft.used.polished_diorite: #2, 3884(21%)
minecraft.used.red_wool: #2, 914(20%)
minecraft.dropped.black_glazed_terracotta: #1, 64(91%)
minecraft.dropped.firework_star: #1, 64(91%)
minecraft.used.end_stone_bricks: #2, 1068(21%)
minecraft.used.chiseled_red_sandstone: #1, 1527(91%)
minecraft.dropped.blue_shulker_box: #1, 5(45%)
minecraft.used.nether_wart: #2, 11783(23%)
minecraft.dropped.netherrack: #2, 52685(18%)
minecraft.crafted.purpur_pillar: #1, 406(68%)
minecraft.crafted.cut_red_sandstone: #1, 892(91%)
minecraft.picked_up.music_disc_far: #1, 71(45%)
minecraft.used.clay: #2, 1405(26%)
minecraft.picked_up.bell: #1, 72(39%)
minecraft.mined.cyan_shulker_box: #2, 524(22%)
minecraft.dropped.cyan_terracotta: #2, 2041(26%)
minecraft.used.oak_pressure_plate: #2, 98(22%)
minecraft.crafted.pink_bed: #1, 14(30%)
minecraft.picked_up.horn_coral_fan: #2, 1125(41%)
minecraft.used.cyan_banner: #1, 26(24%)
minecraft.mined.redstone_wall_torch: #2, 334(17%)
minecraft.crafted.brick_wall: #1, 762(89%)
minecraft.picked_up.cyan_shulker_box: #2, 527(21%)
minecraft.picked_up.polished_diorite: #2, 1272(21%)
minecraft.picked_up.dead_bubble_coral: #1, 62(66%)
minecraft.used.prismarine_brick_slab: #2, 3606(28%)
minecraft.mined.red_sand: #2, 21381(28%)
minecraft.mined.cartography_table: #1, 20(33%)
minecraft.picked_up.cartography_table: #1, 20(33%)
minecraft.crafted.gray_banner: #1, 83(44%)
minecraft.mined.light_gray_concrete_powder: #2, 949(18%)
minecraft.picked_up.milk_bucket: #2, 31(23%)
minecraft.crafted.prismarine_brick_slab: #2, 3532(30%)
minecraft.mined.nether_wart: #2, 3534(21%)
minecraft.mined.magenta_bed: #1, 25(52%)
minecraft.used.cyan_shulker_box: #2, 519(21%)
minecraft.crafted.brick: #2, 8449(19%)
minecraft.mined.fire_coral_wall_fan: #2, 1002(40%)
minecraft.dropped.yellow_banner: #1, 13(65%)
minecraft.custom.open_shulker_box: #3, 90687(13%)
minecraft.used.grindstone: #2, 213(22%)
minecraft.crafted.polished_diorite: #2, 3756(21%)
minecraft.crafted.note_block: #2, 451(18%)
minecraft.dropped.acacia_door: #1, 14(37%)
minecraft.picked_up.polished_diorite_stairs: #1, 218(52%)
minecraft.crafted.cyan_glazed_terracotta: #1, 96(43%)
minecraft.mined.orange_concrete_powder: #1, 29(37%)
minecraft.mined.purple_glazed_terracotta: #1, 56(51%)
minecraft.used.orange_terracotta: #3, 4714(24%)
minecraft.custom.fly_one_cm: #3, 236278886(9%)
minecraft.picked_up.ender_eye: #1, 8(32%)
minecraft.mined.oak_sapling: #3, 199(18%)
minecraft.crafted.light_blue_glazed_terracotta: #1, 278(32%)
minecraft.mined.tall_grass: #1, 7(32%)
minecraft.used.light_blue_stained_glass: #2, 8158(19%)
minecraft.dropped.oak_log: #2, 655(18%)
minecraft.picked_up.prismarine_shard: #2, 53768(18%)
minecraft.dropped.polished_granite_stairs: #1, 38(84%)
minecraft.mined.dead_tube_coral: #1, 65(84%)
minecraft.dropped.ink_sac: #2, 290(19%)
minecraft.crafted.oak_pressure_plate: #2, 118(20%)
minecraft.used.iron_trapdoor: #2, 3419(16%)
minecraft.mined.acacia_leaves: #2, 3967(17%)
minecraft.mined.green_shulker_box: #2, 461(20%)
minecraft.picked_up.coarse_dirt: #2, 3220(16%)
minecraft.mined.oxeye_daisy: #2, 174(15%)
minecraft.dropped.loom: #1, 5(62%)
minecraft.mined.magma_block: #2, 3928(15%)
minecraft.used.jungle_fence: #2, 433(23%)
minecraft.picked_up.dead_horn_coral: #1, 63(62%)
minecraft.picked_up.fire_coral_fan: #2, 1176(39%)
minecraft.used.spruce_button: #2, 232(19%)
minecraft.used.brown_banner: #1, 72(62%)
minecraft.mined.oak_wood: #2, 247(25%)
minecraft.mined.brown_glazed_terracotta: #1, 52(62%)
minecraft.picked_up.fire_coral: #2, 175(32%)
minecraft.picked_up.leather_helmet: #1, 31(10%)
minecraft.picked_up.nether_quartz_ore: #2, 10654(18%)
minecraft.used.brown_terracotta: #2, 4424(23%)
minecraft.picked_up.spruce_stairs: #2, 1798(14%)
minecraft.mined.gray_wall_banner: #1, 32(82%)
minecraft.picked_up.dead_brain_coral: #1, 59(61%)
minecraft.used.granite_slab: #1, 267(61%)
minecraft.crafted.orange_banner: #1, 18(41%)
minecraft.mined.dead_horn_coral: #1, 63(82%)
minecraft.picked_up.green_shulker_box: #2, 469(19%)
minecraft.crafted.dried_kelp_block: #2, 86792(19%)
minecraft.dropped.light_blue_concrete_powder: #1, 68(49%)
minecraft.used.stripped_spruce_log: #2, 165(18%)
minecraft.mined.chiseled_red_sandstone: #1, 92(81%)
minecraft.picked_up.lapis_ore: #2, 1118(16%)
minecraft.mined.magenta_banner: #1, 13(81%)
minecraft.used.milk_bucket: #2, 61(20%)
minecraft.picked_up.snowball: #2, 15585(16%)
minecraft.used.stripped_spruce_wood: #1, 76(48%)
minecraft.picked_up.pink_terracotta: #1, 224(35%)
minecraft.used.magenta_glazed_terracotta: #1, 75(81%)
minecraft.used.grass_block: #2, 41264(13%)
minecraft.picked_up.dead_fire_coral: #1, 61(60%)
minecraft.used.andesite_stairs: #1, 158(22%)
minecraft.picked_up.clay: #2, 1374(21%)
minecraft.picked_up.gray_terracotta: #2, 1872(31%)
minecraft.mined.white_bed: #2, 312(14%)
minecraft.custom.clean_shulker_box: #1, 60(48%)
minecraft.used.green_shulker_box: #2, 463(19%)
minecraft.used.polished_andesite_stairs: #2, 1322(26%)
minecraft.picked_up.jungle_slab: #2, 394(21%)
minecraft.used.diamond_block: #2, 781(16%)
minecraft.mined.dead_tube_coral_fan: #1, 334(79%)
minecraft.used.gray_terracotta: #2, 8807(38%)
minecraft.picked_up.red_sand: #2, 19599(26%)
minecraft.mined.dead_fire_coral: #1, 61(79%)
minecraft.used.stripped_birch_log: #2, 1173(21%)
minecraft.crafted.fire_charge: #1, 7230(47%)
minecraft.mined.light_blue_stained_glass: #2, 2582(20%)
minecraft.picked_up.sweet_berries: #2, 5581(20%)
minecraft.picked_up.jungle_boat: #2, 50(17%)
minecraft.mined.acacia_button: #1, 10(59%)
minecraft.crafted.blue_carpet: #2, 6033(20%)
minecraft.picked_up.saddle: #2, 46(15%)
minecraft.crafted.glistering_melon_slice: #2, 128(30%)
minecraft.mined.white_glazed_terracotta: #1, 68(29%)
minecraft.mined.redstone_torch: #2, 358(15%)
minecraft.mined.pink_glazed_terracotta: #1, 63(58%)
minecraft.crafted.cod_bucket: #1, 14(58%)
minecraft.used.jukebox: #2, 65(33%)
minecraft.crafted.granite_slab: #1, 424(58%)
minecraft.crafted.cyan_banner: #1, 24(29%)
minecraft.picked_up.iron_block: #2, 7541(14%)
minecraft.used.bread: #2, 294(16%)
minecraft.used.black_concrete_powder: #2, 22721(18%)
minecraft.mined.red_wool: #2, 386(17%)
minecraft.picked_up.dead_tube_coral: #1, 65(58%)
minecraft.picked_up.gunpowder: #2, 3336(13%)
minecraft.used.redstone_torch: #2, 2206(15%)
minecraft.dropped.dark_oak_fence: #2, 130(24%)
minecraft.dropped.jungle_planks: #2, 358(21%)
minecraft.dropped.lime_banner: #1, 4(57%)
minecraft.picked_up.stone_brick_slab: #2, 4761(14%)
minecraft.killed_by.guardian: #2, 77(27%)
minecraft.picked_up.iron_helmet: #2, 47(13%)
minecraft.crafted.lapis_block: #2, 1720(15%)
minecraft.picked_up.tube_coral_fan: #2, 1103(41%)
minecraft.crafted.smooth_stone: #2, 6804(15%)
minecraft.dropped.leather_boots: #2, 70(15%)
minecraft.picked_up.magma_block: #2, 3613(14%)
minecraft.broken.leather_boots: #1, 3(38%)
minecraft.dropped.jungle_button: #1, 14(56%)
minecraft.mined.sandstone: #2, 31191(13%)
minecraft.crafted.jungle_wood: #2, 490(36%)
minecraft.picked_up.rotten_flesh: #2, 10211(10%)
minecraft.dropped.purple_glazed_terracotta: #1, 96(74%)
minecraft.used.red_tulip: #2, 53(32%)
minecraft.mined.red_tulip: #3, 215(21%)
minecraft.picked_up.lapis_lazuli: #2, 17207(13%)
minecraft.used.oak_leaves: #2, 10347(13%)
minecraft.mined.dead_bubble_coral: #1, 62(74%)
minecraft.dropped.cod_bucket: #1, 11(73%)
minecraft.picked_up.prismarine_stairs: #1, 109(31%)
minecraft.used.water_bucket: #2, 8586(13%)
minecraft.used.yellow_terracotta: #2, 1266(20%)
minecraft.picked_up.phantom_membrane: #3, 914(20%)
minecraft.picked_up.oak_wood: #2, 251(21%)
minecraft.used.magenta_bed: #1, 27(44%)
minecraft.picked_up.bubble_coral: #2, 150(35%)
minecraft.used.music_disc_cat: #1, 9(31%)
minecraft.picked_up.polished_andesite_stairs: #2, 421(24%)
minecraft.mined.brown_wool: #2, 172(29%)
minecraft.used.cartography_table: #2, 30(32%)
minecraft.picked_up.diamond_hoe: #1, 6(43%)
minecraft.used.mutton: #1, 12(43%)
minecraft.picked_up.fire_charge: #1, 289(43%)
minecraft.dropped.oak_pressure_plate: #2, 28(21%)
minecraft.dropped.red_glazed_terracotta: #1, 64(71%)
minecraft.used.black_bed: #2, 125(31%)
minecraft.used.item_frame: #2, 1368(14%)
minecraft.mined.jungle_fence_gate: #1, 11(42%)
minecraft.dropped.sandstone: #2, 2660(15%)
minecraft.picked_up.dirt: #3, 159062(12%)
minecraft.used.tnt: #2, 1550(18%)
minecraft.used.dispenser: #2, 512(13%)
minecraft.picked_up.birch_trapdoor: #2, 174(17%)
minecraft.dropped.polished_andesite_stairs: #1, 64(42%)
minecraft.custom.player_kills: #2, 12(18%)
minecraft.crafted.granite_stairs: #1, 40(42%)
minecraft.used.black_terracotta: #2, 3913(24%)
minecraft.used.white_bed: #2, 353(12%)
minecraft.dropped.diamond_boots: #2, 19(15%)
minecraft.mined.powered_rail: #2, 1456(15%)
minecraft.picked_up.popped_chorus_fruit: #1, 608(29%)
minecraft.dropped.magenta_shulker_box: #1, 5(29%)
minecraft.crafted.end_rod: #2, 3660(20%)
minecraft.used.spruce_log: #2, 4870(12%)
minecraft.killed.ghast: #2, 326(16%)
minecraft.mined.brain_coral_block: #2, 1225(22%)
minecraft.picked_up.black_stained_glass_pane: #2, 471(20%)
minecraft.used.music_disc_chirp: #1, 7(29%)
minecraft.used.composter: #2, 163(17%)
minecraft.used.acacia_button: #1, 37(41%)
minecraft.picked_up.blue_banner: #2, 72(34%)
minecraft.used.light_gray_stained_glass_pane: #2, 2933(20%)
minecraft.picked_up.white_bed: #2, 325(12%)
minecraft.picked_up.grindstone: #2, 130(21%)
minecraft.dropped.mossy_cobblestone_slab: #1, 4(50%)
minecraft.dropped.red_sandstone_slab: #1, 64(50%)
minecraft.picked_up.zombie_head: #1, 5(50%)
minecraft.mined.damaged_anvil: #2, 40(17%)
minecraft.picked_up.magenta_glazed_terracotta: #1, 1799(100%)
minecraft.dropped.purple_terracotta: #1, 1792(100%)
minecraft.mined.note_block: #2, 178(17%)
minecraft.picked_up.charcoal: #2, 72(18%)
minecraft.custom.trigger_trapped_chest: #3, 553(18%)
minecraft.used.diamond_hoe: #1, 3789(20%)
minecraft.crafted.gray_carpet: #2, 3537(17%)
minecraft.picked_up.jungle_fence_gate: #1, 11(39%)
