stat, rank, value, (percentage) 
minecraft.used.porkchop: #3, 4(18%)
minecraft.dropped.clay: #3, 7(13%)
minecraft.dropped.pink_tulip: #3, 18(9%)
minecraft.mined.cyan_stained_glass: #3, 447(6%)
minecraft.mined.jungle_slab: #4, 183(12%)
minecraft.dropped.prismarine_bricks: #3, 512(9%)
minecraft.used.cyan_wool: #4, 189(13%)
minecraft.mined.lilac: #3, 1(25%)
minecraft.used.cyan_stained_glass: #3, 2617(4%)
minecraft.crafted.cooked_rabbit: #3, 3(16%)
minecraft.dropped.white_tulip: #3, 14(5%)
minecraft.picked_up.golden_horse_armor: #3, 3(10%)
minecraft.picked_up.nautilus_shell: #4, 61(7%)
minecraft.crafted.cyan_stained_glass: #3, 2560(4%)
minecraft.dropped.water_bucket: #4, 18(9%)
minecraft.mined.dark_oak_wall_sign: #4, 14(10%)
minecraft.used.jungle_pressure_plate: #3, 10(7%)
minecraft.dropped.iron_pickaxe: #4, 7(8%)
minecraft.dropped.yellow_glazed_terracotta: #3, 8(10%)
minecraft.picked_up.black_bed: #3, 13(4%)
minecraft.used.polished_andesite_slab: #4, 1112(11%)
minecraft.dropped.soul_sand: #4, 210(6%)
minecraft.dropped.dark_oak_sign: #4, 9(13%)
minecraft.crafted.iron_shovel: #4, 27(5%)
minecraft.used.black_bed: #3, 13(3%)
minecraft.picked_up.lime_dye: #3, 74(2%)
minecraft.mined.white_tulip: #4, 62(8%)
minecraft.dropped.golden_helmet: #4, 19(7%)
minecraft.dropped.red_dye: #4, 69(10%)
minecraft.used.wooden_hoe: #4, 87(9%)
minecraft.dropped.chorus_flower: #3, 3(4%)
minecraft.dropped.nether_brick: #3, 3(6%)
minecraft.used.lapis_ore: #4, 217(6%)
minecraft.dropped.redstone_torch: #4, 93(7%)
minecraft.picked_up.purple_concrete: #4, 579(7%)
minecraft.dropped.gold_block: #4, 88(8%)
minecraft.crafted.polished_andesite_slab: #4, 918(10%)
minecraft.used.birch_door: #4, 12(6%)
minecraft.dropped.magenta_dye: #3, 1(2%)
minecraft.used.magenta_stained_glass: #4, 320(8%)
minecraft.dropped.packed_ice: #4, 1114(7%)
minecraft.used.chiseled_sandstone: #4, 37(8%)
minecraft.used.tube_coral_block: #4, 195(7%)
minecraft.dropped.leather_chestplate: #5, 23(10%)
minecraft.picked_up.poppy: #4, 2086(3%)
minecraft.picked_up.red_wool: #4, 333(5%)
minecraft.mined.purple_terracotta: #4, 86(10%)
minecraft.mined.allium: #4, 53(6%)
minecraft.dropped.magma_cream: #4, 6(9%)
minecraft.used.jungle_log: #5, 727(7%)
minecraft.dropped.heart_of_the_sea: #4, 1(20%)
minecraft.picked_up.melon_seeds: #4, 42(6%)
minecraft.picked_up.jungle_slab: #5, 206(11%)
minecraft.picked_up.sandstone_stairs: #5, 261(9%)
minecraft.mined.purple_concrete: #4, 577(5%)
minecraft.used.blue_terracotta: #4, 413(6%)
minecraft.dropped.cocoa_beans: #4, 29(6%)
minecraft.crafted.cooked_beef: #5, 973(8%)
minecraft.dropped.orange_tulip: #4, 23(6%)
minecraft.picked_up.cut_sandstone: #5, 255(9%)
minecraft.dropped.smooth_stone_slab: #5, 758(9%)
minecraft.picked_up.cyan_stained_glass: #4, 467(3%)
minecraft.dropped.andesite_wall: #4, 6(8%)
minecraft.killed.cave_spider: #4, 365(3%)
minecraft.crafted.oak_door: #5, 45(8%)
minecraft.used.orange_carpet: #5, 106(10%)
minecraft.dropped.end_rod: #5, 229(10%)
minecraft.picked_up.iron_bars: #5, 913(6%)
minecraft.dropped.cooked_salmon: #4, 23(4%)
minecraft.used.cooked_beef: #5, 1182(6%)
minecraft.picked_up.clock: #5, 7(8%)
minecraft.dropped.melon_seeds: #4, 38(4%)
minecraft.dropped.ender_chest: #5, 10(9%)
minecraft.crafted.carrot_on_a_stick: #4, 1(8%)
minecraft.dropped.armor_stand: #5, 17(8%)
minecraft.killed.husk: #5, 70(7%)
minecraft.dropped.brown_wool: #4, 6(3%)
minecraft.picked_up.jungle_planks: #5, 167(7%)
minecraft.picked_up.gold_nugget: #4, 4848(1%)
minecraft.killed_by.guardian: #4, 6(2%)
minecraft.dropped.orange_dye: #4, 4(3%)
minecraft.used.cooked_rabbit: #4, 3(5%)
minecraft.mined.pink_tulip: #5, 34(7%)
minecraft.dropped.lava_bucket: #5, 5(9%)
minecraft.used.yellow_glazed_terracotta: #4, 16(3%)
minecraft.used.nether_wart: #5, 3719(7%)
minecraft.mined.cut_sandstone: #5, 180(6%)
minecraft.mined.orange_tulip: #5, 54(6%)
minecraft.used.beetroot: #4, 2(1%)
minecraft.crafted.knowledge_book: #5, 2(13%)
minecraft.dropped.light_blue_glazed_terracotta: #4, 2(1%)
minecraft.picked_up.beef: #5, 1182(4%)
minecraft.dropped.lime_terracotta: #4, 4(0%)
minecraft.mined.jungle_planks: #5, 77(6%)
minecraft.dropped.nether_star: #5, 5(12%)
minecraft.used.snowball: #5, 145(5%)
minecraft.dropped.wooden_hoe: #5, 2(12%)
minecraft.dropped.smooth_stone: #5, 149(6%)
minecraft.picked_up.heart_of_the_sea: #5, 2(11%)
minecraft.picked_up.light_blue_dye: #5, 74(7%)
minecraft.dropped.black_wool: #5, 24(7%)
minecraft.used.wooden_axe: #5, 60(7%)
minecraft.picked_up.birch_door: #5, 9(5%)
minecraft.picked_up.purple_terracotta: #5, 83(9%)
