stat, rank, value, (percentage) 
minecraft.dropped.oak_pressure_plate: #9, 4(3%)
minecraft.crafted.leather_leggings: #9, 24(3%)
minecraft.killed.ender_dragon: #9, 1(5%)
minecraft.used.sugar_cane: #9, 556(2%)
minecraft.dropped.chicken: #9, 33(2%)
minecraft.picked_up.lilac: #9, 54(2%)
minecraft.mined.white_shulker_box: #9, 188(2%)
minecraft.crafted.black_concrete_powder: #9, 3208(3%)
minecraft.dropped.iron_bars: #9, 118(3%)
minecraft.crafted.nether_brick_slab: #9, 198(3%)
minecraft.mined.purpur_block: #9, 161(3%)
minecraft.used.jungle_planks: #9, 85(3%)
minecraft.dropped.hopper: #9, 18(3%)
minecraft.broken.fishing_rod: #9, 2(3%)
minecraft.dropped.enchanted_book: #9, 12(2%)
minecraft.dropped.iron_ingot: #9, 253(2%)
minecraft.used.purpur_block: #9, 42(3%)
minecraft.dropped.polished_granite: #9, 20(2%)
minecraft.picked_up.shears: #9, 11(1%)
minecraft.used.orange_tulip: #9, 5(2%)
minecraft.crafted.brown_concrete_powder: #9, 180(2%)
minecraft.dropped.acacia_log: #9, 23(2%)
minecraft.killed.rabbit: #9, 3(2%)
minecraft.picked_up.jungle_sapling: #9, 47(1%)
minecraft.crafted.green_stained_glass: #9, 152(2%)
minecraft.crafted.bone_block: #9, 918(1%)
minecraft.crafted.activator_rail: #9, 12(2%)
minecraft.picked_up.prismarine_brick_stairs: #9, 16(2%)
minecraft.mined.chiseled_stone_bricks: #9, 22(1%)
minecraft.mined.dandelion: #10, 183(4%)
minecraft.dropped.sand: #9, 2128(1%)
minecraft.picked_up.red_terracotta: #9, 1114(1%)
minecraft.used.orange_bed: #9, 2(2%)
minecraft.used.jungle_fence: #9, 24(1%)
minecraft.mined.spawner: #9, 2(1%)
minecraft.crafted.orange_bed: #9, 1(2%)
minecraft.killed.elder_guardian: #9, 1(2%)
minecraft.dropped.phantom_membrane: #9, 7(1%)
minecraft.picked_up.brown_wool: #9, 77(1%)
minecraft.mined.daylight_detector: #9, 4(2%)
minecraft.used.acacia_planks: #9, 14(1%)
minecraft.mined.infested_stone_bricks: #9, 1(2%)
minecraft.picked_up.daylight_detector: #9, 4(1%)
minecraft.picked_up.orange_bed: #9, 1(1%)
minecraft.crafted.cake: #9, 9(1%)
minecraft.crafted.cyan_bed: #9, 1(1%)
minecraft.dropped.cookie: #9, 22(1%)
minecraft.used.pink_tulip: #9, 1(1%)
minecraft.dropped.white_shulker_box: #9, 1(1%)
minecraft.picked_up.music_disc_chirp: #9, 1(1%)
minecraft.mined.blue_stained_glass: #9, 16(1%)
minecraft.picked_up.golden_boots: #10, 19(5%)
minecraft.crafted.pumpkin_seeds: #9, 36(1%)
minecraft.dropped.emerald: #9, 34(1%)
minecraft.dropped.bamboo: #9, 130(0%)
minecraft.dropped.dropper: #9, 5(1%)
minecraft.used.acacia_slab: #9, 10(1%)
minecraft.mined.dark_oak_sapling: #9, 3(1%)
minecraft.crafted.acacia_slab: #9, 12(1%)
minecraft.mined.prismarine_bricks: #9, 113(0%)
minecraft.picked_up.oak_planks: #10, 1045(4%)
minecraft.dropped.light_blue_dye: #9, 1(1%)
minecraft.crafted.black_bed: #9, 1(0%)
minecraft.picked_up.golden_chestplate: #10, 15(4%)
minecraft.dropped.blue_ice: #9, 1(0%)
minecraft.crafted.prismarine_brick_stairs: #9, 8(0%)
minecraft.dropped.light_gray_dye: #9, 1(0%)
minecraft.picked_up.tipped_arrow: #9, 1(0%)
minecraft.crafted.polished_andesite_stairs: #9, 8(0%)
minecraft.picked_up.leather_chestplate: #10, 15(4%)
minecraft.crafted.melon: #9, 46(0%)
minecraft.used.light_blue_glazed_terracotta: #9, 2(0%)
minecraft.dropped.gravel: #10, 977(4%)
minecraft.used.netherrack: #10, 4962(3%)
minecraft.used.redstone: #10, 1984(3%)
minecraft.picked_up.writable_book: #10, 19(4%)
minecraft.used.detector_rail: #10, 26(4%)
minecraft.crafted.glass_bottle: #10, 174(3%)
minecraft.used.glass_bottle: #10, 170(3%)
minecraft.used.salmon_bucket: #10, 3(4%)
minecraft.used.iron_bars: #10, 786(2%)
minecraft.picked_up.purpur_slab: #10, 30(4%)
minecraft.used.egg: #10, 560(2%)
minecraft.dropped.wooden_pickaxe: #10, 2(4%)
minecraft.picked_up.lava_bucket: #10, 6(3%)
minecraft.killed.shulker: #10, 193(3%)
minecraft.picked_up.birch_trapdoor: #10, 26(3%)
minecraft.used.purple_stained_glass: #10, 112(3%)
minecraft.killed.pig: #10, 13(2%)
minecraft.dropped.shears: #10, 8(3%)
minecraft.dropped.netherrack: #10, 6193(2%)
minecraft.picked_up.white_shulker_box: #10, 193(2%)
minecraft.picked_up.red_tulip: #10, 36(2%)
minecraft.dropped.oak_log: #10, 76(2%)
minecraft.dropped.glass: #10, 226(2%)
minecraft.picked_up.green_shulker_box: #10, 53(2%)
minecraft.mined.green_shulker_box: #10, 51(2%)
minecraft.mined.coal_block: #10, 45(2%)
minecraft.used.green_shulker_box: #10, 52(2%)
minecraft.picked_up.purpur_block: #10, 164(3%)
minecraft.dropped.chainmail_leggings: #10, 3(2%)
minecraft.dropped.milk_bucket: #10, 1(4%)
minecraft.crafted.polished_andesite: #10, 1332(2%)
minecraft.used.comparator: #10, 116(1%)
minecraft.custom.damage_blocked_by_shield: #10, 2040(2%)
minecraft.used.black_concrete: #10, 1511(1%)
minecraft.dropped.birch_log: #10, 46(2%)
minecraft.crafted.quartz_pillar: #10, 280(2%)
minecraft.picked_up.cooked_salmon: #10, 23(2%)
minecraft.dropped.snow_block: #10, 29(2%)
minecraft.crafted.snow: #10, 186(2%)
minecraft.crafted.shield: #10, 8(1%)
minecraft.picked_up.purple_shulker_box: #10, 26(1%)
minecraft.crafted.end_rod: #10, 256(1%)
minecraft.crafted.gold_nugget: #10, 2827(1%)
minecraft.mined.sugar_cane: #10, 706(1%)
minecraft.dropped.light_gray_shulker_box: #10, 1(2%)
minecraft.picked_up.red_bed: #10, 6(1%)
minecraft.picked_up.acacia_planks: #10, 15(1%)
minecraft.dropped.black_carpet: #10, 5(2%)
minecraft.used.end_stone: #10, 97(1%)
minecraft.used.smooth_stone: #10, 386(1%)
minecraft.custom.eat_cake_slice: #10, 14(1%)
minecraft.dropped.redstone_ore: #10, 14(1%)
minecraft.crafted.slime_ball: #10, 162(1%)
minecraft.crafted.brown_dye: #10, 45(1%)
minecraft.used.nether_bricks: #10, 159(1%)
minecraft.crafted.jungle_fence: #10, 18(1%)
minecraft.dropped.bread: #10, 20(1%)
minecraft.used.daylight_detector: #10, 5(1%)
minecraft.mined.brown_terracotta: #10, 181(1%)
minecraft.killed.blaze: #10, 122(0%)
minecraft.picked_up.brown_terracotta: #10, 176(0%)
minecraft.crafted.golden_carrot: #10, 418(0%)
minecraft.used.peony: #10, 4(0%)
minecraft.picked_up.nether_wart_block: #10, 1(1%)
minecraft.killed.enderman: #10, 95(0%)
minecraft.used.purpur_slab: #10, 2(1%)
minecraft.used.wooden_sword: #10, 2(1%)
minecraft.dropped.gray_wool: #10, 2(0%)
minecraft.dropped.lilac: #10, 2(0%)
minecraft.crafted.bowl: #10, 4(0%)
minecraft.mined.stripped_jungle_log: #10, 6(0%)
minecraft.picked_up.stripped_jungle_log: #10, 6(0%)
minecraft.mined.redstone_wire: #11, 760(4%)
minecraft.dropped.white_concrete_powder: #10, 6(0%)
minecraft.dropped.prismarine: #10, 2(0%)
minecraft.picked_up.tube_coral_block: #10, 3(0%)
minecraft.mined.oak_planks: #11, 700(4%)
minecraft.picked_up.light_blue_glazed_terracotta: #10, 4(0%)
minecraft.picked_up.leather_helmet: #11, 12(4%)
minecraft.dropped.paper: #11, 438(4%)
minecraft.used.oak_boat: #11, 90(3%)
minecraft.crafted.diamond_chestplate: #11, 3(4%)
minecraft.used.wheat_seeds: #11, 2666(4%)
minecraft.killed.zombie: #11, 554(3%)
minecraft.picked_up.written_book: #11, 64(3%)
minecraft.picked_up.sticky_piston: #11, 236(3%)
minecraft.mined.mossy_cobblestone: #11, 96(4%)
minecraft.picked_up.oak_fence: #11, 190(3%)
minecraft.mined.oak_sign: #11, 29(3%)
minecraft.picked_up.furnace: #11, 132(3%)
minecraft.picked_up.grass: #11, 94(3%)
minecraft.crafted.baked_potato: #11, 451(3%)
minecraft.crafted.glass: #11, 4023(3%)
minecraft.mined.oxeye_daisy: #11, 34(3%)
minecraft.mined.furnace: #11, 118(3%)
minecraft.dropped.stone: #11, 13091(3%)
minecraft.picked_up.netherrack: #11, 21539(3%)
minecraft.picked_up.leather: #11, 741(2%)
minecraft.picked_up.stone_axe: #11, 2(4%)
minecraft.mined.lapis_ore: #11, 420(3%)
minecraft.mined.yellow_shulker_box: #11, 201(3%)
minecraft.used.yellow_shulker_box: #11, 203(3%)
minecraft.picked_up.yellow_shulker_box: #11, 202(2%)
minecraft.dropped.redstone: #11, 247(2%)
minecraft.picked_up.bone_block: #11, 418(2%)
minecraft.used.ender_pearl: #11, 288(2%)
minecraft.picked_up.quartz: #11, 9070(2%)
minecraft.picked_up.soul_sand: #11, 943(2%)
minecraft.picked_up.saddle: #11, 7(2%)
minecraft.used.bread: #11, 45(2%)
minecraft.dropped.chest: #11, 34(2%)
minecraft.used.chipped_anvil: #11, 10(3%)
minecraft.dropped.minecart: #11, 12(3%)
minecraft.dropped.bucket: #11, 13(2%)
minecraft.picked_up.black_concrete: #11, 1612(2%)
minecraft.used.iron_door: #11, 29(2%)
minecraft.picked_up.shulker_shell: #11, 477(3%)
minecraft.mined.hopper: #11, 233(2%)
minecraft.mined.chipped_anvil: #11, 10(3%)
minecraft.mined.quartz_pillar: #11, 94(2%)
minecraft.mined.comparator: #11, 43(2%)
minecraft.used.white_shulker_box: #11, 191(2%)
minecraft.picked_up.dandelion: #11, 194(2%)
minecraft.picked_up.name_tag: #11, 16(2%)
minecraft.used.quartz_pillar: #11, 361(2%)
minecraft.killed_by.skeleton: #11, 2(2%)
minecraft.mined.azure_bluet: #11, 30(2%)
minecraft.picked_up.stone_bricks: #11, 2361(1%)
minecraft.used.red_wool: #11, 89(2%)
minecraft.crafted.black_dye: #11, 520(2%)
minecraft.picked_up.diamond_ore: #11, 159(2%)
minecraft.used.soul_sand: #11, 326(2%)
minecraft.used.diamond_ore: #11, 139(1%)
minecraft.dropped.grass_block: #11, 549(2%)
minecraft.used.tnt: #11, 154(2%)
minecraft.crafted.orange_dye: #11, 163(1%)
minecraft.used.packed_ice: #11, 1401(1%)
minecraft.used.beetroot_seeds: #11, 25(2%)
minecraft.used.polished_andesite: #11, 1024(1%)
minecraft.killed.wandering_trader: #11, 2(2%)
minecraft.killed.trader_llama: #11, 4(2%)
minecraft.crafted.stone_slab: #11, 396(1%)
minecraft.dropped.stone_pickaxe: #11, 2(2%)
minecraft.dropped.poisonous_potato: #11, 6(1%)
minecraft.crafted.magenta_dye: #11, 125(1%)
minecraft.picked_up.nether_bricks: #11, 390(1%)
minecraft.crafted.smooth_stone: #11, 494(1%)
minecraft.killed.endermite: #11, 3(1%)
minecraft.used.purple_shulker_box: #11, 26(1%)
minecraft.mined.sandstone_slab: #11, 116(1%)
minecraft.crafted.blaze_powder: #11, 86(1%)
minecraft.mined.attached_pumpkin_stem: #11, 1(2%)
minecraft.crafted.wooden_pickaxe: #11, 2(1%)
minecraft.dropped.spider_eye: #11, 53(1%)
minecraft.picked_up.golden_apple: #11, 7(1%)
minecraft.picked_up.composter: #11, 6(1%)
minecraft.crafted.black_shulker_box: #11, 2(1%)
minecraft.crafted.brown_shulker_box: #11, 2(1%)
minecraft.dropped.chainmail_chestplate: #11, 1(2%)
minecraft.mined.purpur_stairs: #11, 15(1%)
minecraft.mined.purple_shulker_box: #11, 25(1%)
minecraft.crafted.oak_button: #11, 12(1%)
minecraft.crafted.comparator: #11, 80(1%)
minecraft.used.red_bed: #11, 7(1%)
minecraft.dropped.kelp: #11, 763(1%)
minecraft.picked_up.blaze_rod: #11, 84(1%)
minecraft.mined.jack_o_lantern: #11, 6(1%)
minecraft.used.birch_trapdoor: #11, 29(1%)
minecraft.picked_up.purpur_stairs: #11, 11(1%)
minecraft.crafted.light_blue_bed: #11, 1(2%)
minecraft.crafted.gold_block: #11, 140(1%)
minecraft.mined.orange_terracotta: #11, 725(1%)
minecraft.picked_up.orange_terracotta: #11, 718(1%)
minecraft.used.wet_sponge: #11, 2(1%)
minecraft.crafted.dispenser: #11, 38(1%)
minecraft.crafted.gray_shulker_box: #11, 2(1%)
minecraft.used.cooked_mutton: #11, 19(1%)
minecraft.picked_up.clay: #11, 46(1%)
minecraft.picked_up.birch_fence: #11, 7(1%)
minecraft.mined.red_bed: #11, 4(1%)
minecraft.dropped.glass_pane: #11, 3(1%)
minecraft.dropped.acacia_planks: #11, 3(1%)
minecraft.picked_up.ice: #11, 460(0%)
minecraft.used.stone_button: #11, 223(0%)
minecraft.mined.slime_block: #11, 41(0%)
minecraft.dropped.cactus: #11, 130(0%)
minecraft.picked_up.cyan_dye: #11, 10(1%)
minecraft.dropped.yellow_shulker_box: #11, 1(1%)
minecraft.dropped.slime_block: #11, 7(0%)
minecraft.dropped.dark_oak_sapling: #11, 1(0%)
minecraft.picked_up.blue_wool: #11, 66(0%)
minecraft.used.prismarine_bricks: #11, 108(0%)
minecraft.used.brown_mushroom: #11, 4(0%)
minecraft.used.lilac: #11, 4(0%)
minecraft.picked_up.white_dye: #11, 26(0%)
minecraft.mined.lapis_block: #11, 2(0%)
minecraft.crafted.cooked_porkchop: #11, 10(0%)
minecraft.mined.ice: #11, 573(0%)
minecraft.dropped.azure_bluet: #11, 6(0%)
minecraft.used.grass: #11, 4(0%)
minecraft.crafted.jungle_stairs: #11, 8(0%)
minecraft.dropped.wooden_shovel: #11, 1(0%)
minecraft.dropped.ice: #11, 11(0%)
minecraft.mined.brown_wool: #11, 1(0%)
minecraft.used.blue_stained_glass: #11, 16(0%)
minecraft.picked_up.acacia_slab: #11, 1(0%)
minecraft.dropped.gray_concrete: #11, 2(0%)
minecraft.mined.light_blue_glazed_terracotta: #11, 3(0%)
minecraft.used.polished_andesite_stairs: #11, 4(0%)
minecraft.used.mycelium: #11, 3(0%)
minecraft.used.wooden_pickaxe: #12, 39(4%)
minecraft.picked_up.water_bucket: #12, 33(4%)
minecraft.broken.iron_pickaxe: #12, 11(3%)
minecraft.killed.magma_cube: #12, 106(4%)
minecraft.dropped.diamond_pickaxe: #12, 14(3%)
minecraft.used.potion: #12, 39(3%)
minecraft.crafted.diamond_pickaxe: #12, 16(3%)
minecraft.picked_up.diamond_helmet: #12, 26(3%)
minecraft.picked_up.redstone_torch: #12, 333(3%)
minecraft.picked_up.diamond_leggings: #12, 28(3%)
minecraft.mined.glass: #12, 796(3%)
minecraft.dropped.dirt: #12, 2717(2%)
minecraft.mined.redstone_wall_torch: #12, 53(3%)
minecraft.crafted.bucket: #12, 75(2%)
minecraft.custom.inspect_hopper: #12, 1086(2%)
minecraft.picked_up.mossy_cobblestone: #12, 93(3%)
minecraft.picked_up.smooth_stone_slab: #12, 1607(2%)
minecraft.custom.inspect_dropper: #12, 363(2%)
minecraft.used.coal_ore: #12, 622(2%)
minecraft.used.ladder: #12, 346(2%)
minecraft.picked_up.iron_door: #12, 19(2%)
minecraft.mined.potatoes: #12, 418(2%)
minecraft.crafted.stone_pickaxe: #12, 6(2%)
minecraft.picked_up.string: #12, 844(2%)
minecraft.dropped.wheat: #12, 46(2%)
minecraft.custom.interact_with_brewingstand: #12, 180(2%)
minecraft.picked_up.gold_ingot: #12, 230(2%)
minecraft.picked_up.comparator: #12, 94(2%)
minecraft.mined.soul_sand: #12, 782(2%)
minecraft.used.sand: #12, 5663(1%)
minecraft.mined.purpur_slab: #12, 19(2%)
minecraft.crafted.blue_shulker_box: #12, 2(2%)
minecraft.used.repeater: #12, 332(2%)
minecraft.mined.white_wool: #12, 43(2%)
minecraft.picked_up.paper: #12, 497(1%)
minecraft.mined.beetroots: #12, 25(2%)
minecraft.picked_up.ender_pearl: #12, 409(1%)
minecraft.mined.black_concrete: #12, 1613(1%)
minecraft.picked_up.snow_block: #12, 164(2%)
minecraft.dropped.birch_trapdoor: #12, 2(2%)
minecraft.dropped.glass_bottle: #12, 27(1%)
minecraft.used.flint_and_steel: #12, 59(1%)
minecraft.mined.glass_pane: #12, 32(1%)
minecraft.mined.cornflower: #12, 13(2%)
minecraft.mined.nether_bricks: #12, 354(1%)
minecraft.crafted.blue_dye: #12, 284(1%)
minecraft.used.tripwire_hook: #12, 26(1%)
minecraft.dropped.redstone_block: #12, 24(1%)
minecraft.custom.interact_with_smoker: #12, 6(1%)
minecraft.crafted.cyan_dye: #12, 382(1%)
minecraft.picked_up.rabbit: #12, 2(2%)
minecraft.crafted.black_wool: #12, 32(1%)
minecraft.used.cyan_shulker_box: #12, 29(1%)
minecraft.crafted.white_shulker_box: #12, 5(1%)
minecraft.picked_up.packed_ice: #12, 2637(1%)
minecraft.dropped.stone_shovel: #12, 2(1%)
minecraft.crafted.green_shulker_box: #12, 2(1%)
minecraft.picked_up.cooked_mutton: #12, 19(1%)
minecraft.picked_up.nether_brick_slab: #12, 42(1%)
minecraft.used.coal_block: #12, 66(1%)
minecraft.picked_up.carved_pumpkin: #12, 88(1%)
minecraft.crafted.dried_kelp: #12, 954(1%)
minecraft.crafted.yellow_dye: #12, 183(1%)
minecraft.dropped.cobblestone_slab: #12, 19(1%)
minecraft.used.carved_pumpkin: #12, 6(1%)
minecraft.dropped.carrot: #12, 590(1%)
minecraft.picked_up.jack_o_lantern: #12, 6(1%)
minecraft.crafted.orange_shulker_box: #12, 2(1%)
minecraft.dropped.iron_nugget: #12, 9(1%)
minecraft.crafted.blue_concrete_powder: #12, 64(1%)
minecraft.picked_up.slime_block: #12, 53(0%)
minecraft.mined.acacia_leaves: #12, 98(0%)
minecraft.used.sandstone_slab: #12, 420(0%)
minecraft.crafted.stone_button: #12, 203(0%)
minecraft.mined.red_terracotta: #12, 378(0%)
minecraft.crafted.light_blue_shulker_box: #12, 2(0%)
minecraft.picked_up.light_blue_banner: #12, 1(1%)
minecraft.used.cobweb: #12, 33(0%)
minecraft.mined.andesite_wall: #12, 2(1%)
minecraft.used.slime_block: #12, 53(0%)
minecraft.used.blue_concrete: #12, 30(0%)
minecraft.crafted.yellow_shulker_box: #12, 3(0%)
minecraft.dropped.ender_pearl: #12, 61(0%)
minecraft.mined.yellow_terracotta: #12, 77(0%)
minecraft.crafted.red_wool: #12, 27(0%)
minecraft.crafted.written_book: #12, 1(0%)
minecraft.used.pink_concrete: #12, 3(0%)
minecraft.dropped.cooked_cod: #12, 55(0%)
minecraft.used.azure_bluet: #12, 1(0%)
minecraft.used.clay: #12, 10(0%)
minecraft.dropped.mossy_cobblestone: #12, 1(0%)
minecraft.mined.acacia_slab: #12, 1(0%)
minecraft.mined.polished_andesite_stairs: #12, 2(0%)
minecraft.crafted.andesite_wall: #12, 6(0%)
minecraft.used.polished_granite: #12, 16(0%)
minecraft.used.purpur_stairs: #12, 1(0%)
minecraft.used.dark_oak_sapling: #12, 7(0%)
minecraft.dropped.crossbow: #12, 1(0%)
minecraft.picked_up.mycelium: #12, 3(0%)
minecraft.mined.mycelium: #12, 3(0%)
minecraft.used.iron_axe: #13, 1045(4%)
minecraft.picked_up.wheat: #13, 2690(3%)
minecraft.picked_up.golden_leggings: #13, 13(4%)
minecraft.custom.interact_with_furnace: #13, 2404(3%)
minecraft.broken.iron_shovel: #13, 4(3%)
minecraft.used.water_bucket: #13, 1835(3%)
minecraft.killed.creeper: #13, 217(3%)
minecraft.crafted.ender_chest: #13, 15(3%)
minecraft.picked_up.bone: #13, 1732(2%)
minecraft.picked_up.armor_stand: #13, 40(3%)
minecraft.picked_up.lapis_lazuli: #13, 3165(2%)
minecraft.custom.swim_one_cm: #13, 4901148(2%)
minecraft.mined.poppy: #13, 119(2%)
minecraft.killed.zombie_villager: #13, 8(2%)
minecraft.killed.ghast: #13, 54(3%)
minecraft.dropped.rotten_flesh: #13, 1001(2%)
minecraft.custom.enchant_item: #13, 107(2%)
minecraft.dropped.iron_sword: #13, 4(3%)
minecraft.picked_up.chipped_anvil: #13, 10(3%)
minecraft.picked_up.ladder: #13, 231(2%)
minecraft.dropped.oak_sign: #13, 29(2%)
minecraft.used.gravel: #13, 903(2%)
minecraft.custom.deaths: #13, 40(1%)
minecraft.picked_up.repeater: #13, 207(2%)
minecraft.picked_up.hopper: #13, 232(2%)
minecraft.mined.repeater: #13, 111(2%)
minecraft.mined.netherrack: #13, 22429(2%)
minecraft.mined.piston_head: #13, 5(2%)
minecraft.used.bone_block: #13, 377(2%)
minecraft.picked_up.ghast_tear: #13, 19(2%)
minecraft.crafted.enchanted_book: #13, 67(2%)
minecraft.dropped.string: #13, 152(2%)
minecraft.dropped.diamond: #13, 153(2%)
minecraft.mined.white_bed: #13, 32(1%)
minecraft.picked_up.chainmail_helmet: #13, 2(2%)
minecraft.picked_up.rail: #13, 896(1%)
minecraft.picked_up.snowball: #13, 1478(2%)
minecraft.used.glass: #13, 1513(1%)
minecraft.used.sticky_piston: #13, 187(1%)
minecraft.used.potato: #13, 466(1%)
minecraft.picked_up.glowstone: #13, 261(1%)
minecraft.picked_up.glass: #13, 2908(1%)
minecraft.mined.brewing_stand: #13, 6(1%)
minecraft.mined.stone_bricks: #13, 1580(1%)
minecraft.mined.dropper: #13, 37(1%)
minecraft.picked_up.dropper: #13, 49(1%)
minecraft.used.lava_bucket: #13, 27(1%)
minecraft.picked_up.spider_eye: #13, 120(1%)
minecraft.picked_up.beetroot: #13, 22(1%)
minecraft.picked_up.dark_oak_boat: #13, 12(1%)
minecraft.crafted.snow_block: #13, 362(1%)
minecraft.killed.phantom: #13, 54(1%)
minecraft.crafted.pink_dye: #13, 87(1%)
minecraft.dropped.iron_helmet: #13, 3(1%)
minecraft.used.oak_door: #13, 8(1%)
minecraft.mined.composter: #13, 5(1%)
minecraft.custom.horse_one_cm: #13, 298634(1%)
minecraft.crafted.redstone_torch: #13, 717(1%)
minecraft.picked_up.porkchop: #13, 16(1%)
minecraft.picked_up.gold_block: #13, 133(1%)
minecraft.crafted.red_bed: #13, 2(1%)
minecraft.picked_up.rabbit_hide: #13, 2(1%)
minecraft.picked_up.nether_star: #13, 5(1%)
minecraft.picked_up.quartz_pillar: #13, 93(1%)
minecraft.picked_up.cyan_shulker_box: #13, 27(1%)
minecraft.mined.cyan_shulker_box: #13, 26(1%)
minecraft.picked_up.oak_fence_gate: #13, 10(1%)
minecraft.crafted.redstone_lamp: #13, 46(1%)
minecraft.used.rose_bush: #13, 10(1%)
minecraft.crafted.shulker_box: #13, 48(1%)
minecraft.crafted.pink_shulker_box: #13, 1(1%)
minecraft.dropped.cobblestone_wall: #13, 10(1%)
minecraft.picked_up.bamboo: #13, 601(1%)
minecraft.mined.carved_pumpkin: #13, 64(1%)
minecraft.picked_up.glass_bottle: #13, 20(1%)
minecraft.picked_up.cookie: #13, 22(1%)
minecraft.used.oak_pressure_plate: #13, 3(1%)
minecraft.used.string: #13, 73(1%)
minecraft.mined.packed_ice: #13, 1469(1%)
minecraft.crafted.lime_dye: #13, 144(0%)
minecraft.picked_up.turtle_helmet: #13, 1(1%)
minecraft.crafted.flower_pot: #13, 21(1%)
minecraft.crafted.chiseled_quartz_block: #13, 16(1%)
minecraft.dropped.totem_of_undying: #13, 1(1%)
minecraft.picked_up.blue_concrete: #13, 42(0%)
minecraft.dropped.birch_sapling: #13, 6(0%)
minecraft.used.pumpkin: #13, 57(0%)
minecraft.used.cod_bucket: #13, 2(1%)
minecraft.used.lime_wool: #13, 11(0%)
minecraft.killed_by.zombie: #13, 2(0%)
minecraft.mined.bamboo: #13, 20(0%)
minecraft.picked_up.andesite_wall: #13, 2(0%)
minecraft.dropped.mutton: #13, 2(0%)
minecraft.mined.blue_concrete: #13, 36(0%)
minecraft.picked_up.black_concrete_powder: #13, 262(0%)
minecraft.dropped.glowstone_dust: #13, 3(0%)
minecraft.crafted.white_wool: #13, 49(0%)
minecraft.used.ice: #13, 148(0%)
minecraft.used.chorus_fruit: #13, 1(0%)
minecraft.used.blue_concrete_powder: #13, 32(0%)
minecraft.picked_up.filled_map: #13, 11(0%)
minecraft.picked_up.emerald: #13, 113(0%)
minecraft.mined.light_gray_terracotta: #13, 336(0%)
minecraft.used.lime_concrete: #13, 32(0%)
minecraft.used.iron_ore: #13, 8(0%)
minecraft.used.bamboo: #13, 22(0%)
minecraft.picked_up.lime_concrete: #13, 32(0%)
minecraft.dropped.scaffolding: #13, 6(0%)
minecraft.picked_up.fern: #13, 12(0%)
minecraft.used.jack_o_lantern: #13, 11(0%)
minecraft.crafted.daylight_detector: #13, 2(0%)
minecraft.dropped.snow: #13, 13(0%)
minecraft.mined.pink_concrete: #13, 3(0%)
minecraft.used.pink_concrete_powder: #13, 4(0%)
minecraft.picked_up.blue_stained_glass: #13, 8(0%)
minecraft.mined.light_blue_stained_glass: #13, 16(0%)
minecraft.used.chiseled_stone_bricks: #13, 8(0%)
minecraft.picked_up.sponge: #13, 2(0%)
minecraft.crafted.white_terracotta: #13, 8(0%)
minecraft.mined.prismarine: #13, 29(0%)
minecraft.picked_up.green_dye: #13, 80(0%)
minecraft.custom.leave_game: #14, 629(2%)
minecraft.killed.zombie_pigman: #13, 10(0%)
minecraft.used.lapis_block: #13, 2(0%)
minecraft.mined.lime_terracotta: #13, 5(0%)
minecraft.picked_up.polished_andesite_stairs: #13, 1(0%)
minecraft.mined.green_concrete_powder: #13, 1(0%)
minecraft.used.jungle_stairs: #13, 1(0%)
minecraft.custom.drop: #14, 4809(3%)
minecraft.picked_up.wheat_seeds: #14, 4717(3%)
minecraft.used.iron_pickaxe: #14, 3201(3%)
minecraft.broken.iron_axe: #14, 3(3%)
minecraft.picked_up.iron_pickaxe: #14, 7(3%)
minecraft.picked_up.crafting_table: #14, 202(2%)
minecraft.mined.crafting_table: #14, 190(2%)
minecraft.mined.oak_leaves: #14, 3390(2%)
minecraft.dropped.diamond_sword: #14, 6(2%)
minecraft.used.crafting_table: #14, 199(2%)
minecraft.picked_up.oak_sign: #14, 215(2%)
minecraft.picked_up.diamond_chestplate: #14, 6(3%)
minecraft.picked_up.diamond_boots: #14, 24(2%)
minecraft.picked_up.diamond_sword: #14, 30(2%)
minecraft.picked_up.lever: #14, 127(2%)
minecraft.crafted.diamond_shovel: #14, 7(2%)
minecraft.mined.oak_fence: #14, 110(2%)
minecraft.dropped.andesite: #14, 1184(2%)
minecraft.mined.nether_quartz_ore: #14, 4958(2%)
minecraft.picked_up.magma_block: #14, 493(2%)
minecraft.picked_up.gunpowder: #14, 442(2%)
minecraft.used.lever: #14, 125(2%)
minecraft.picked_up.iron_helmet: #14, 6(2%)
minecraft.picked_up.chainmail_boots: #14, 3(2%)
minecraft.picked_up.rotten_flesh: #14, 1290(1%)
minecraft.mined.oak_wall_sign: #14, 55(2%)
minecraft.picked_up.egg: #14, 295(1%)
minecraft.mined.gold_ore: #14, 455(2%)
minecraft.killed_by.enderman: #14, 1(3%)
minecraft.used.baked_potato: #14, 287(2%)
minecraft.picked_up.stick: #14, 654(1%)
minecraft.used.redstone_torch: #14, 236(2%)
minecraft.custom.mob_kills: #14, 26503(1%)
minecraft.picked_up.firework_rocket: #14, 1461(1%)
minecraft.custom.interact_with_loom: #14, 10(2%)
minecraft.dropped.rail: #14, 64(2%)
minecraft.mined.birch_leaves: #14, 328(1%)
minecraft.used.oak_leaves: #14, 1026(1%)
minecraft.picked_up.diamond_axe: #14, 16(1%)
minecraft.dropped.iron_leggings: #14, 2(2%)
minecraft.dropped.torch: #14, 148(1%)
minecraft.mined.farmland: #14, 60(1%)
minecraft.custom.inspect_dispenser: #14, 237(1%)
