stat, rank, value, (percentage) 
minecraft.used.yellow_stained_glass: #3, 1042(17%)
minecraft.used.wooden_axe: #2, 152(17%)
minecraft.mined.poppy: #3, 697(11%)
minecraft.crafted.leather_boots: #2, 100(13%)
minecraft.used.white_concrete_powder: #2, 39393(10%)
minecraft.mined.brown_shulker_box: #2, 689(13%)
minecraft.mined.potatoes: #2, 1891(9%)
minecraft.killed_by.player: #2, 8(12%)
minecraft.used.stone_brick_stairs: #3, 8311(14%)
minecraft.crafted.mossy_cobblestone_slab: #2, 126(30%)
minecraft.crafted.wooden_pickaxe: #2, 20(9%)
minecraft.dropped.stripped_spruce_log: #2, 22(17%)
minecraft.mined.spruce_leaves: #3, 13126(13%)
minecraft.dropped.cornflower: #2, 71(15%)
minecraft.used.mossy_cobblestone_slab: #2, 129(29%)
minecraft.mined.allium: #3, 186(22%)
minecraft.used.jungle_slab: #2, 872(14%)
minecraft.used.golden_shovel: #1, 42(100%)
minecraft.crafted.golden_shovel: #1, 1(100%)
minecraft.killed_by.endermite: #1, 1(100%)
minecraft.killed_by.spider: #1, 1(25%)
minecraft.mined.potted_pink_tulip: #1, 2(100%)
minecraft.mined.bubble_column: #1, 1(25%)
minecraft.killed.donkey: #1, 1(100%)
minecraft.dropped.trapped_chest: #1, 2(100%)
minecraft.dropped.polished_granite_slab: #1, 5(100%)
minecraft.dropped.granite_slab: #1, 5(100%)
minecraft.dropped.mossy_stone_brick_stairs: #1, 91(100%)
minecraft.dropped.blue_bed: #1, 1(50%)
minecraft.dropped.enchanted_golden_apple: #1, 1(50%)
minecraft.dropped.beetroot_soup: #1, 3(100%)
minecraft.dropped.jungle_fence_gate: #1, 1(50%)
minecraft.dropped.red_nether_brick_slab: #1, 48(100%)
minecraft.dropped.magenta_bed: #1, 1(100%)
minecraft.dropped.music_disc_cat: #1, 1(20%)
minecraft.dropped.red_nether_brick_stairs: #1, 80(100%)
minecraft.broken.diamond_boots: #1, 1(20%)
minecraft.crafted.skull_banner_pattern: #1, 1(33%)
minecraft.dropped.magenta_concrete: #1, 1(33%)
minecraft.dropped.birch_leaves: #2, 215(20%)
minecraft.custom.sleep_in_bed: #3, 3332(9%)
minecraft.dropped.dried_kelp_block: #2, 196(24%)
minecraft.picked_up.white_concrete: #3, 37785(12%)
minecraft.picked_up.magenta_terracotta: #2, 257(24%)
minecraft.used.jungle_leaves: #3, 1549(15%)
minecraft.mined.stone_stairs: #2, 132(11%)
minecraft.custom.aviate_one_cm: #4, 1154783248(14%)
minecraft.mined.blue_ice: #3, 3007(19%)
minecraft.crafted.nether_brick_stairs: #2, 864(15%)
minecraft.picked_up.mossy_cobblestone_stairs: #2, 35(26%)
minecraft.mined.acacia_leaves: #3, 3172(13%)
minecraft.used.spruce_sign: #3, 255(13%)
minecraft.crafted.cobblestone_wall: #3, 2330(12%)
minecraft.dropped.dark_oak_sign: #2, 12(18%)
minecraft.used.furnace: #3, 912(11%)
minecraft.used.spruce_trapdoor: #3, 3097(12%)
minecraft.dropped.polished_diorite: #2, 149(13%)
minecraft.used.spruce_fence: #3, 2387(13%)
minecraft.custom.interact_with_stonecutter: #2, 138(9%)
minecraft.picked_up.pink_stained_glass_pane: #2, 21(18%)
minecraft.mined.potted_fern: #2, 9(35%)
minecraft.picked_up.white_banner: #3, 285(12%)
minecraft.mined.packed_ice: #3, 36755(14%)
minecraft.picked_up.yellow_concrete_powder: #2, 821(13%)
minecraft.picked_up.quartz_pillar: #2, 834(9%)
minecraft.dropped.clay: #2, 13(24%)
minecraft.crafted.dark_oak_boat: #3, 37(18%)
minecraft.mined.magenta_terracotta: #2, 231(24%)
minecraft.used.carrot: #3, 8384(12%)
minecraft.used.spruce_button: #3, 175(15%)
minecraft.dropped.golden_carrot: #3, 681(13%)
minecraft.dropped.red_stained_glass_pane: #2, 26(27%)
minecraft.dropped.oak_fence_gate: #2, 11(18%)
minecraft.crafted.red_banner: #2, 171(13%)
minecraft.dropped.grass_block: #3, 4637(13%)
minecraft.picked_up.red_nether_brick_slab: #2, 77(27%)
minecraft.used.yellow_stained_glass_pane: #3, 515(19%)
minecraft.used.jungle_sapling: #3, 610(14%)
minecraft.dropped.nether_brick_stairs: #2, 71(20%)
minecraft.dropped.glowstone_dust: #3, 140(17%)
minecraft.mined.jungle_trapdoor: #3, 226(18%)
minecraft.killed_by.slime: #2, 4(31%)
minecraft.mined.red_carpet: #3, 315(15%)
minecraft.dropped.lapis_block: #2, 103(22%)
minecraft.mined.gravel: #3, 72323(10%)
minecraft.mined.stone_bricks: #3, 15109(10%)
minecraft.dropped.cobweb: #2, 31(21%)
minecraft.used.chest: #3, 3444(9%)
minecraft.picked_up.gravel: #3, 74574(10%)
minecraft.dropped.quartz: #3, 801(18%)
minecraft.mined.ice: #3, 35312(12%)
minecraft.crafted.mossy_cobblestone_stairs: #2, 88(21%)
minecraft.dropped.paper: #3, 1157(11%)
minecraft.dropped.oak_sign: #3, 171(11%)
minecraft.mined.pink_glazed_terracotta: #2, 39(36%)
minecraft.dropped.jungle_slab: #2, 17(16%)
minecraft.picked_up.red_banner: #2, 70(10%)
minecraft.used.painting: #3, 372(11%)
minecraft.picked_up.wooden_hoe: #2, 4(17%)
minecraft.dropped.stripped_birch_log: #2, 26(14%)
minecraft.picked_up.gray_bed: #2, 57(14%)
minecraft.picked_up.painting: #3, 339(11%)
minecraft.picked_up.golden_carrot: #3, 3082(11%)
minecraft.dropped.light_blue_stained_glass_pane: #2, 13(27%)
minecraft.mined.black_wall_banner: #2, 16(15%)
minecraft.dropped.nether_brick: #2, 21(45%)
minecraft.dropped.spruce_trapdoor: #3, 81(12%)
minecraft.mined.red_stained_glass: #3, 456(16%)
minecraft.dropped.birch_door: #2, 4(19%)
minecraft.dropped.stripped_oak_log: #2, 15(10%)
minecraft.dropped.gold_ingot: #3, 552(14%)
minecraft.dropped.cooked_mutton: #2, 29(22%)
minecraft.crafted.lantern: #3, 1169(13%)
minecraft.crafted.yellow_stained_glass: #3, 1544(15%)
minecraft.used.mossy_cobblestone_stairs: #2, 76(18%)
minecraft.picked_up.beetroot: #3, 213(14%)
minecraft.mined.spruce_stairs: #3, 750(9%)
minecraft.picked_up.bell: #2, 34(18%)
minecraft.dropped.clock: #2, 2(18%)
minecraft.dropped.stripped_spruce_wood: #2, 3(25%)
minecraft.used.bell: #2, 31(18%)
minecraft.dropped.firework_rocket: #3, 2414(10%)
minecraft.dropped.jungle_trapdoor: #3, 29(22%)
minecraft.mined.coal_ore: #3, 19682(9%)
minecraft.dropped.birch_fence: #2, 10(18%)
minecraft.mined.pink_stained_glass: #2, 25(30%)
minecraft.dropped.orange_stained_glass: #2, 49(20%)
minecraft.picked_up.wooden_axe: #2, 3(20%)
minecraft.killed_by.creeper: #3, 12(9%)
minecraft.mined.dark_prismarine: #3, 686(13%)
minecraft.used.acacia_sapling: #3, 1125(14%)
minecraft.mined.bell: #2, 24(17%)
minecraft.picked_up.white_concrete_powder: #3, 20370(10%)
minecraft.dropped.prismarine: #2, 235(12%)
minecraft.used.oak_trapdoor: #3, 1008(9%)
minecraft.mined.jungle_leaves: #4, 3501(14%)
minecraft.mined.stone_brick_wall: #3, 205(14%)
minecraft.dropped.andesite_slab: #3, 50(24%)
minecraft.used.quartz_pillar: #3, 1954(11%)
minecraft.dropped.acacia_slab: #2, 6(22%)
minecraft.dropped.diorite_wall: #2, 18(28%)
minecraft.dropped.light_blue_carpet: #2, 14(18%)
minecraft.dropped.snow_block: #2, 135(8%)
minecraft.dropped.scaffolding: #3, 397(13%)
minecraft.mined.chiseled_stone_bricks: #3, 199(13%)
minecraft.picked_up.dark_prismarine: #3, 726(12%)
minecraft.dropped.orange_stained_glass_pane: #2, 34(36%)
minecraft.picked_up.melon: #3, 1255(17%)
minecraft.mined.acacia_log: #3, 6283(9%)
minecraft.picked_up.comparator: #3, 475(10%)
minecraft.mined.lantern: #3, 160(11%)
minecraft.picked_up.yellow_dye: #3, 327(16%)
minecraft.picked_up.gray_concrete: #3, 9081(10%)
minecraft.mined.red_mushroom: #3, 95(13%)
minecraft.dropped.blaze_rod: #2, 133(10%)
minecraft.picked_up.acacia_log: #3, 6335(9%)
minecraft.picked_up.lantern: #3, 368(11%)
minecraft.crafted.brown_carpet: #3, 759(15%)
minecraft.dropped.turtle_helmet: #2, 2(25%)
minecraft.broken.iron_boots: #2, 1(12%)
minecraft.broken.iron_chestplate: #2, 1(50%)
minecraft.dropped.lime_bed: #2, 1(25%)
minecraft.mined.brown_glazed_terracotta: #2, 21(25%)
minecraft.dropped.stripped_jungle_log: #2, 2(17%)
minecraft.broken.leather_chestplate: #2, 1(33%)
minecraft.dropped.pink_glazed_terracotta: #2, 39(33%)
minecraft.picked_up.quartz: #3, 34816(9%)
minecraft.picked_up.bone_block: #3, 1553(9%)
minecraft.custom.walk_on_water_one_cm: #5, 15701434(8%)
minecraft.custom.open_chest: #4, 57014(8%)
minecraft.used.cobblestone: #3, 22924(7%)
minecraft.picked_up.glowstone_dust: #3, 2299(9%)
minecraft.dropped.nautilus_shell: #3, 38(18%)
minecraft.used.white_tulip: #3, 33(18%)
minecraft.picked_up.yellow_stained_glass_pane: #3, 68(19%)
minecraft.used.grass_block: #4, 35321(11%)
minecraft.picked_up.red_mushroom_block: #3, 3151(19%)
minecraft.dropped.chiseled_quartz_block: #2, 8(23%)
minecraft.crafted.oak_fence: #3, 978(8%)
minecraft.dropped.mossy_stone_brick_slab: #2, 4(44%)
minecraft.picked_up.jungle_fence: #3, 69(11%)
minecraft.used.oak_pressure_plate: #3, 50(11%)
minecraft.used.grass: #3, 225(14%)
minecraft.mined.oak_fence: #3, 416(8%)
minecraft.mined.potted_orange_tulip: #2, 2(29%)
minecraft.custom.bell_ring: #3, 202(12%)
minecraft.killed.enderman: #3, 2612(9%)
minecraft.dropped.andesite_wall: #2, 10(14%)
minecraft.used.brown_carpet: #3, 616(12%)
minecraft.dropped.packed_ice: #3, 1952(11%)
minecraft.dropped.pink_stained_glass_pane: #2, 10(42%)
minecraft.used.stone: #3, 62194(7%)
minecraft.used.cyan_wool: #3, 193(13%)
minecraft.mined.blue_stained_glass: #3, 333(12%)
minecraft.used.pink_stained_glass_pane: #2, 47(7%)
minecraft.picked_up.nether_wart_block: #3, 26(18%)
minecraft.picked_up.acacia_sapling: #3, 1241(9%)
minecraft.dropped.spruce_wood: #2, 3(16%)
minecraft.used.dead_fire_coral: #2, 5(26%)
minecraft.crafted.orange_dye: #3, 944(8%)
minecraft.mined.black_stained_glass_pane: #3, 313(14%)
minecraft.dropped.coal: #4, 1183(12%)
minecraft.used.spruce_pressure_plate: #3, 45(9%)
minecraft.picked_up.red_stained_glass: #3, 607(12%)
minecraft.picked_up.oak_leaves: #3, 8625(7%)
minecraft.mined.brown_wool: #3, 96(16%)
minecraft.dropped.brown_banner: #2, 6(25%)
minecraft.used.loom: #3, 23(8%)
minecraft.mined.powered_rail: #3, 825(9%)
minecraft.dropped.observer: #3, 40(16%)
minecraft.mined.cornflower: #3, 91(11%)
minecraft.picked_up.azure_bluet: #3, 547(8%)
minecraft.dropped.scute: #2, 4(24%)
minecraft.used.oxeye_daisy: #3, 23(13%)
minecraft.dropped.slime_ball: #3, 779(9%)
minecraft.dropped.shield: #3, 9(12%)
minecraft.picked_up.grass_block: #4, 58284(10%)
minecraft.dropped.green_stained_glass_pane: #2, 15(17%)
minecraft.dropped.stripped_acacia_wood: #2, 1(33%)
minecraft.dropped.redstone: #4, 1205(12%)
minecraft.crafted.quartz_pillar: #3, 1614(9%)
minecraft.used.diamond_hoe: #3, 3187(17%)
minecraft.mined.gray_bed: #3, 56(14%)
minecraft.picked_up.nether_brick_wall: #2, 72(13%)
minecraft.crafted.light_blue_shulker_box: #3, 45(10%)
minecraft.used.chiseled_stone_bricks: #3, 673(10%)
minecraft.dropped.yellow_concrete_powder: #3, 21(27%)
minecraft.mined.cyan_wool: #3, 56(13%)
minecraft.crafted.oak_pressure_plate: #3, 54(9%)
minecraft.picked_up.lapis_lazuli: #4, 13913(11%)
minecraft.used.beetroot_soup: #2, 1(20%)
minecraft.dropped.chipped_anvil: #2, 1(20%)
minecraft.used.light_weighted_pressure_plate: #3, 22(18%)
minecraft.crafted.brown_banner: #2, 33(15%)
minecraft.picked_up.pufferfish_bucket: #3, 7(16%)
minecraft.dropped.purple_carpet: #2, 6(15%)
minecraft.dropped.quartz_stairs: #3, 71(12%)
minecraft.picked_up.orange_shulker_box: #3, 570(9%)
minecraft.used.dirt: #4, 64341(8%)
minecraft.used.golden_carrot: #4, 5526(9%)
minecraft.crafted.lapis_block: #4, 1345(12%)
minecraft.used.stone_stairs: #3, 394(9%)
minecraft.dropped.magma_cream: #3, 11(17%)
minecraft.picked_up.stripped_dark_oak_log: #3, 479(9%)
minecraft.crafted.nether_bricks: #3, 5212(14%)
minecraft.picked_up.redstone: #4, 48016(10%)
minecraft.used.orange_shulker_box: #3, 534(9%)
minecraft.mined.white_bed: #4, 230(10%)
minecraft.dropped.glass_pane: #3, 43(11%)
minecraft.dropped.loom: #2, 1(12%)
minecraft.used.diamond_pickaxe: #4, 1042043(9%)
minecraft.picked_up.spruce_door: #3, 68(6%)
minecraft.crafted.yellow_concrete_powder: #3, 2320(9%)
minecraft.used.dead_bubble_coral_block: #3, 48(18%)
minecraft.crafted.bread: #4, 796(11%)
minecraft.custom.leave_game: #5, 2147(7%)
minecraft.dropped.smooth_stone_slab: #4, 1193(14%)
minecraft.picked_up.spruce_fence: #4, 990(11%)
minecraft.dropped.jack_o_lantern: #2, 2(6%)
minecraft.mined.green_glazed_terracotta: #3, 37(24%)
minecraft.mined.orange_shulker_box: #3, 536(9%)
minecraft.crafted.coal_block: #4, 2985(11%)
minecraft.dropped.white_concrete_powder: #3, 459(13%)
minecraft.mined.potted_allium: #2, 1(14%)
minecraft.used.cobblestone_stairs: #3, 839(6%)
minecraft.picked_up.white_bed: #4, 260(10%)
minecraft.mined.red_nether_brick_slab: #3, 58(23%)
minecraft.crafted.spruce_boat: #4, 40(12%)
minecraft.used.green_concrete_powder: #3, 2704(8%)
minecraft.used.peony: #3, 76(9%)
minecraft.used.granite: #4, 1288(10%)
minecraft.crafted.green_concrete_powder: #3, 2768(8%)
minecraft.picked_up.quartz_slab: #4, 2163(11%)
minecraft.dropped.lilac: #3, 52(11%)
minecraft.dropped.acacia_stairs: #2, 22(8%)
minecraft.picked_up.quartz_block: #4, 2196(11%)
minecraft.crafted.redstone_block: #4, 4578(9%)
minecraft.mined.mossy_cobblestone_stairs: #3, 21(17%)
minecraft.mined.birch_wood: #2, 21(5%)
minecraft.used.yellow_concrete_powder: #3, 2109(9%)
minecraft.dropped.dirt: #4, 10541(9%)
minecraft.dropped.dark_oak_wood: #2, 6(9%)
minecraft.mined.quartz_slab: #4, 1635(11%)
minecraft.dropped.pink_wool: #2, 4(6%)
minecraft.mined.andesite_stairs: #3, 16(13%)
minecraft.used.blue_wool: #3, 641(7%)
minecraft.used.green_wool: #3, 145(11%)
minecraft.used.dead_bubble_coral: #2, 4(16%)
minecraft.crafted.quartz_block: #4, 10007(10%)
minecraft.picked_up.pink_glazed_terracotta: #2, 156(6%)
minecraft.picked_up.lilac: #4, 293(10%)
minecraft.dropped.purple_stained_glass_pane: #2, 11(7%)
minecraft.used.wooden_hoe: #3, 91(9%)
minecraft.dropped.lime_glazed_terracotta: #2, 11(15%)
minecraft.custom.jump: #5, 681562(7%)
minecraft.picked_up.wooden_shovel: #3, 11(18%)
minecraft.mined.grass_path: #4, 845(10%)
minecraft.used.white_bed: #4, 261(9%)
minecraft.dropped.bell: #2, 1(9%)
minecraft.used.anvil: #4, 157(8%)
minecraft.picked_up.white_stained_glass_pane: #4, 1020(11%)
minecraft.mined.brown_carpet: #4, 129(15%)
minecraft.used.black_banner: #3, 30(11%)
minecraft.dropped.beacon: #3, 6(12%)
minecraft.picked_up.chest: #4, 2124(9%)
minecraft.crafted.blue_orchid: #2, 1(11%)
minecraft.crafted.granite_wall: #2, 6(11%)
minecraft.dropped.white_glazed_terracotta: #2, 8(11%)
minecraft.mined.lime_glazed_terracotta: #3, 11(17%)
minecraft.dropped.yellow_dye: #3, 76(15%)
minecraft.crafted.chest: #4, 4126(8%)
minecraft.mined.cracked_stone_bricks: #4, 260(10%)
minecraft.crafted.anvil: #4, 105(9%)
minecraft.mined.yellow_bed: #3, 38(8%)
minecraft.picked_up.diorite_slab: #3, 9(23%)
minecraft.mined.spruce_trapdoor: #4, 709(9%)
minecraft.used.wither_rose: #3, 447(19%)
minecraft.custom.fall_one_cm: #5, 21046587(8%)
minecraft.dropped.yellow_terracotta: #3, 384(10%)
minecraft.used.seagrass: #3, 137(11%)
minecraft.picked_up.nether_quartz_ore: #4, 6473(11%)
minecraft.mined.smooth_quartz_slab: #3, 286(8%)
minecraft.picked_up.sugar: #3, 196(7%)
minecraft.mined.nether_quartz_ore: #4, 22071(9%)
minecraft.mined.cobblestone: #4, 8584(8%)
minecraft.custom.walk_one_cm: #5, 230188160(7%)
minecraft.mined.anvil: #4, 84(9%)
minecraft.dropped.jungle_pressure_plate: #3, 7(27%)
minecraft.crafted.pink_wool: #3, 52(11%)
minecraft.dropped.magenta_dye: #2, 1(2%)
minecraft.picked_up.jungle_slab: #4, 237(13%)
minecraft.dropped.ladder: #4, 160(12%)
minecraft.crafted.iron_nugget: #4, 9726(10%)
minecraft.picked_up.stone_brick_wall: #4, 252(13%)
minecraft.mined.orange_glazed_terracotta: #3, 22(11%)
minecraft.mined.jungle_fence: #3, 34(6%)
minecraft.used.wooden_shovel: #3, 96(10%)
minecraft.dropped.mushroom_stem: #3, 101(17%)
minecraft.dropped.oak_sapling: #4, 363(9%)
minecraft.picked_up.black_stained_glass_pane: #3, 151(7%)
minecraft.mined.yellow_glazed_terracotta: #3, 29(11%)
minecraft.mined.oxeye_daisy: #4, 98(8%)
minecraft.mined.bone_block: #4, 540(9%)
minecraft.used.red_stained_glass: #3, 1241(6%)
minecraft.dropped.purpur_pillar: #3, 55(11%)
minecraft.picked_up.brown_banner: #3, 23(24%)
minecraft.used.dark_oak_fence_gate: #4, 251(12%)
minecraft.picked_up.diamond_boots: #4, 86(8%)
minecraft.mined.chest: #4, 1499(8%)
minecraft.picked_up.diamond_axe: #4, 98(8%)
minecraft.picked_up.cactus: #3, 2002(4%)
minecraft.used.wheat_seeds: #4, 5872(8%)
minecraft.picked_up.redstone_torch: #4, 946(9%)
minecraft.dropped.yellow_carpet: #3, 53(10%)
minecraft.dropped.orange_carpet: #3, 6(13%)
minecraft.used.pink_stained_glass: #3, 227(13%)
minecraft.dropped.leather: #4, 251(11%)
minecraft.mined.purple_terracotta: #3, 86(10%)
minecraft.crafted.blue_stained_glass: #4, 2304(10%)
minecraft.crafted.jungle_pressure_plate: #3, 17(11%)
minecraft.mined.light_weighted_pressure_plate: #3, 6(18%)
minecraft.dropped.azure_bluet: #4, 311(11%)
minecraft.picked_up.spruce_sign: #4, 78(9%)
minecraft.used.dead_horn_coral_block: #3, 29(12%)
minecraft.mined.gray_concrete: #4, 9035(9%)
minecraft.picked_up.jungle_leaves: #4, 1903(10%)
minecraft.used.black_stained_glass: #4, 2836(9%)
minecraft.picked_up.trident: #4, 72(8%)
minecraft.picked_up.paper: #4, 2725(8%)
minecraft.used.gray_concrete: #4, 8470(9%)
minecraft.picked_up.coal_block: #4, 382(8%)
minecraft.dropped.lantern: #3, 25(9%)
minecraft.used.dark_oak_boat: #4, 101(8%)
minecraft.crafted.golden_carrot: #4, 9204(9%)
minecraft.used.tropical_fish_bucket: #4, 50(11%)
minecraft.used.dead_tube_coral_block: #3, 39(9%)
minecraft.mined.cyan_concrete_powder: #3, 29(13%)
minecraft.broken.wooden_hoe: #3, 1(11%)
minecraft.crafted.bone_meal: #4, 77756(6%)
minecraft.crafted.cobblestone_slab: #4, 3216(8%)
minecraft.killed_by.pufferfish: #3, 3(10%)
minecraft.mined.light_gray_wall_banner: #3, 9(19%)
minecraft.killed.vex: #3, 30(7%)
minecraft.mined.fern: #4, 219(8%)
minecraft.picked_up.spruce_leaves: #4, 7100(8%)
minecraft.dropped.green_wool: #3, 3(15%)
minecraft.dropped.jungle_stairs: #3, 8(11%)
minecraft.picked_up.polished_diorite: #4, 604(10%)
minecraft.picked_up.smooth_quartz_slab: #3, 284(6%)
minecraft.used.brown_banner: #3, 21(18%)
minecraft.picked_up.light_blue_stained_glass_pane: #4, 93(12%)
minecraft.custom.interact_with_loom: #4, 50(8%)
minecraft.crafted.pink_stained_glass_pane: #3, 96(12%)
minecraft.picked_up.green_stained_glass: #3, 102(5%)
minecraft.used.brown_mushroom_block: #3, 382(6%)
minecraft.dropped.end_rod: #4, 270(11%)
minecraft.used.stone_brick_wall: #4, 809(11%)
minecraft.killed.silverfish: #4, 98(10%)
minecraft.killed_by.pillager: #3, 1(17%)
minecraft.mined.potted_white_tulip: #3, 1(17%)
minecraft.dropped.kelp: #4, 6918(7%)
minecraft.dropped.cyan_carpet: #3, 5(8%)
minecraft.killed.skeleton_horse: #3, 2(11%)
minecraft.dropped.painting: #3, 5(7%)
minecraft.crafted.lime_stained_glass_pane: #4, 720(11%)
minecraft.picked_up.wooden_sword: #3, 19(6%)
minecraft.crafted.gold_ingot: #4, 12696(7%)
minecraft.picked_up.melon_slice: #3, 2028(4%)
minecraft.broken.wooden_axe: #3, 1(10%)
minecraft.mined.mossy_cobblestone: #4, 202(8%)
minecraft.picked_up.green_bed: #3, 15(8%)
minecraft.crafted.stone_brick_slab: #5, 10572(11%)
minecraft.used.cornflower: #3, 12(4%)
minecraft.custom.damage_taken: #5, 545759(7%)
minecraft.picked_up.dirt: #5, 99288(7%)
minecraft.crafted.light_blue_stained_glass_pane: #4, 488(10%)
minecraft.dropped.snow: #4, 807(10%)
minecraft.broken.golden_boots: #3, 1(11%)
minecraft.mined.acacia_wall_sign: #3, 1(11%)
minecraft.used.redstone_lamp: #4, 420(8%)
minecraft.mined.detector_rail: #4, 26(9%)
minecraft.mined.stone_slab: #4, 516(8%)
minecraft.used.magenta_shulker_box: #4, 232(8%)
minecraft.crafted.blue_ice: #4, 1744(15%)
minecraft.dropped.dark_oak_stairs: #4, 111(13%)
minecraft.dropped.peony: #3, 24(5%)
minecraft.picked_up.magenta_carpet: #3, 23(6%)
minecraft.crafted.light_weighted_pressure_plate: #4, 19(15%)
minecraft.used.dead_brain_coral_block: #3, 62(6%)
minecraft.dropped.spruce_boat: #4, 17(9%)
minecraft.dropped.prismarine_slab: #3, 35(12%)
minecraft.dropped.orange_dye: #3, 8(7%)
minecraft.mined.stripped_dark_oak_log: #4, 438(8%)
minecraft.killed.ravager: #4, 9(12%)
minecraft.picked_up.magenta_shulker_box: #4, 239(8%)
minecraft.dropped.beetroot: #3, 8(8%)
minecraft.mined.magenta_shulker_box: #4, 232(8%)
minecraft.picked_up.wheat_seeds: #5, 14058(8%)
minecraft.used.poppy: #4, 32(8%)
minecraft.crafted.brown_shulker_box: #4, 15(10%)
minecraft.picked_up.dark_oak_boat: #4, 74(6%)
minecraft.dropped.magma_block: #4, 143(10%)
minecraft.crafted.paper: #5, 69466(11%)
minecraft.crafted.granite_slab: #3, 78(11%)
minecraft.dropped.green_carpet: #3, 4(6%)
minecraft.mined.green_bed: #3, 12(6%)
minecraft.crafted.furnace: #5, 794(9%)
minecraft.crafted.granite_stairs: #3, 8(8%)
minecraft.dropped.flint_and_steel: #4, 11(11%)
minecraft.picked_up.green_glazed_terracotta: #3, 111(5%)
minecraft.picked_up.mushroom_stem: #4, 924(14%)
minecraft.used.green_bed: #3, 15(7%)
minecraft.broken.golden_leggings: #3, 1(10%)
minecraft.crafted.brown_stained_glass_pane: #3, 16(6%)
minecraft.mined.grass_block: #5, 60755(7%)
minecraft.dropped.acacia_button: #3, 2(8%)
minecraft.mined.dirt: #5, 79309(7%)
minecraft.mined.wheat: #5, 5704(10%)
minecraft.dropped.green_stained_glass: #3, 4(9%)
minecraft.crafted.diorite_stairs: #3, 8(9%)
minecraft.used.coarse_dirt: #4, 3453(6%)
minecraft.picked_up.diorite_stairs: #3, 9(9%)
minecraft.dropped.acacia_fence: #3, 2(7%)
minecraft.picked_up.hopper: #5, 1380(10%)
minecraft.used.andesite_stairs: #4, 88(12%)
minecraft.dropped.grass: #4, 11(8%)
minecraft.killed_by.zombie: #3, 10(2%)
minecraft.picked_up.spruce_planks: #5, 3334(9%)
minecraft.crafted.gray_concrete_powder: #4, 8440(7%)
minecraft.dropped.light_blue_banner: #3, 1(8%)
minecraft.dropped.sticky_piston: #4, 56(12%)
minecraft.dropped.gray_terracotta: #3, 129(5%)
minecraft.used.spruce_door: #4, 89(6%)
minecraft.mined.magenta_carpet: #3, 16(5%)
minecraft.mined.kelp: #5, 1619(9%)
minecraft.mined.potted_poppy: #3, 2(5%)
minecraft.used.cracked_stone_bricks: #4, 763(6%)
minecraft.picked_up.stripped_acacia_log: #3, 69(2%)
minecraft.used.gray_concrete_powder: #4, 8447(7%)
minecraft.dropped.jungle_fence: #3, 5(5%)
minecraft.mined.green_wool: #3, 14(4%)
minecraft.crafted.acacia_pressure_plate: #3, 3(7%)
minecraft.picked_up.lime_bed: #4, 8(13%)
minecraft.dropped.lime_stained_glass_pane: #3, 10(5%)
minecraft.used.pink_terracotta: #3, 62(3%)
minecraft.dropped.gray_stained_glass: #3, 58(4%)
minecraft.picked_up.light_blue_concrete_powder: #4, 539(10%)
minecraft.picked_up.cooked_beef: #5, 1792(10%)
minecraft.used.gray_bed: #4, 58(11%)
minecraft.crafted.light_gray_banner: #3, 4(4%)
minecraft.crafted.crafting_table: #5, 242(8%)
minecraft.picked_up.granite_slab: #3, 14(5%)
minecraft.used.firework_rocket: #5, 1313(9%)
minecraft.mined.red_mushroom_block: #5, 3652(16%)
minecraft.used.light_blue_stained_glass_pane: #4, 303(9%)
minecraft.used.acacia_pressure_plate: #3, 4(5%)
minecraft.mined.emerald_ore: #4, 43(8%)
minecraft.dropped.sugar: #4, 130(10%)
minecraft.used.lime_wool: #4, 174(7%)
minecraft.dropped.white_banner: #3, 35(1%)
minecraft.picked_up.diamond: #5, 3984(8%)
minecraft.mined.orange_wool: #4, 49(10%)
minecraft.mined.dandelion: #5, 322(7%)
minecraft.mined.dead_brain_coral: #3, 3(4%)
minecraft.picked_up.lime_glazed_terracotta: #3, 44(2%)
minecraft.mined.lily_of_the_valley: #4, 13(12%)
minecraft.dropped.jungle_button: #3, 1(4%)
minecraft.dropped.acacia_fence_gate: #3, 1(5%)
minecraft.picked_up.brown_glazed_terracotta: #3, 70(3%)
minecraft.dropped.cake: #4, 8(10%)
minecraft.picked_up.andesite_slab: #4, 81(10%)
minecraft.used.oak_fence: #5, 945(9%)
minecraft.picked_up.acacia_pressure_plate: #3, 2(3%)
minecraft.mined.dark_oak_planks: #5, 974(10%)
minecraft.picked_up.stone_brick_slab: #5, 3093(9%)
minecraft.dropped.birch_trapdoor: #4, 8(9%)
minecraft.mined.dead_fire_coral: #3, 3(4%)
minecraft.dropped.brown_glazed_terracotta: #3, 7(4%)
minecraft.mined.acacia_pressure_plate: #3, 1(3%)
minecraft.crafted.brown_wool: #4, 76(11%)
minecraft.picked_up.yellow_bed: #4, 40(8%)
minecraft.mined.dead_tube_coral: #3, 2(3%)
minecraft.dropped.jungle_wood: #3, 1(3%)
minecraft.crafted.andesite_stairs: #4, 104(12%)
minecraft.dropped.green_bed: #3, 1(2%)
minecraft.crafted.green_bed: #3, 2(1%)
minecraft.picked_up.flower_pot: #4, 62(6%)
minecraft.used.hopper: #5, 2782(9%)
minecraft.mined.lime_concrete_powder: #4, 17(11%)
minecraft.mined.glowstone: #4, 1084(5%)
minecraft.mined.acacia_sapling: #4, 51(11%)
