stat, rank, value, (percentage) 
minecraft.picked_up.red_tulip: #1, 458(25%)
minecraft.picked_up.purple_stained_glass: #1, 2563(38%)
minecraft.dropped.green_dye: #1, 14981(31%)
minecraft.dropped.glowstone: #1, 639(38%)
minecraft.used.birch_log: #1, 4136(24%)
minecraft.dropped.wheat: #1, 561(25%)
minecraft.dropped.allium: #1, 227(66%)
minecraft.dropped.white_carpet: #1, 188(31%)
minecraft.dropped.cooked_beef: #1, 512(25%)
minecraft.mined.oak_slab: #1, 1541(23%)
minecraft.dropped.mossy_cobblestone: #1, 212(43%)
minecraft.picked_up.cocoa_beans: #1, 9842(24%)
minecraft.picked_up.oak_fence_gate: #2, 338(34%)
minecraft.crafted.spruce_sign: #1, 539(27%)
minecraft.mined.white_wall_banner: #1, 120(30%)
minecraft.used.jungle_planks: #1, 1204(36%)
minecraft.mined.quartz_block: #1, 1666(23%)
minecraft.crafted.gold_nugget: #1, 69182(25%)
minecraft.used.gold_block: #1, 4906(26%)
minecraft.crafted.chiseled_quartz_block: #1, 878(29%)
minecraft.crafted.spruce_stairs: #1, 5744(20%)
minecraft.dropped.lime_concrete: #1, 426(83%)
minecraft.picked_up.pink_tulip: #1, 302(27%)
minecraft.picked_up.green_concrete: #1, 3915(29%)
minecraft.dropped.cobblestone_slab: #1, 752(29%)
minecraft.crafted.stone_stairs: #2, 3832(37%)
minecraft.used.dark_oak_fence: #1, 3149(23%)
minecraft.crafted.stone_brick_wall: #1, 4318(35%)
minecraft.dropped.jungle_sapling: #1, 45(61%)
minecraft.crafted.oak_slab: #1, 5394(19%)
minecraft.crafted.red_nether_bricks: #1, 12146(61%)
minecraft.picked_up.jungle_planks: #1, 626(26%)
minecraft.dropped.repeater: #1, 320(34%)
minecraft.dropped.oak_pressure_plate: #1, 43(32%)
minecraft.used.spruce_stairs: #1, 4549(18%)
minecraft.used.spruce_boat: #1, 334(20%)
minecraft.mined.green_concrete: #1, 3849(28%)
minecraft.picked_up.spruce_log: #2, 48288(22%)
minecraft.mined.polished_andesite: #1, 5608(21%)
minecraft.picked_up.dark_oak_slab: #1, 2822(23%)
minecraft.crafted.coal: #1, 17492(20%)
minecraft.dropped.lime_dye: #1, 237(53%)
minecraft.mined.carrots: #2, 8329(25%)
minecraft.used.oak_slab: #1, 4624(20%)
minecraft.mined.dark_oak_pressure_plate: #1, 38(48%)
minecraft.used.orange_stained_glass: #1, 814(30%)
minecraft.dropped.stone_slab: #1, 656(29%)
minecraft.dropped.smooth_stone: #1, 769(29%)
minecraft.dropped.red_banner: #1, 63(67%)
minecraft.mined.mossy_stone_brick_slab: #1, 112(78%)
minecraft.picked_up.dark_oak_stairs: #1, 1510(19%)
minecraft.mined.jungle_planks: #1, 352(29%)
minecraft.picked_up.orange_tulip: #1, 460(26%)
minecraft.dropped.spruce_pressure_plate: #1, 30(46%)
minecraft.picked_up.mossy_stone_brick_slab: #1, 109(77%)
minecraft.dropped.light_blue_shulker_box: #1, 23(42%)
minecraft.picked_up.light_blue_shulker_box: #1, 2172(23%)
minecraft.picked_up.green_stained_glass_pane: #1, 225(51%)
minecraft.picked_up.spruce_boat: #1, 300(18%)
minecraft.picked_up.white_tulip: #1, 386(28%)
minecraft.used.nether_wart: #1, 14378(28%)
minecraft.mined.yellow_stained_glass_pane: #1, 169(38%)
minecraft.used.light_blue_shulker_box: #1, 2147(23%)
minecraft.dropped.oak_trapdoor: #1, 104(28%)
minecraft.used.wooden_sword: #1, 153(45%)
minecraft.dropped.feather: #2, 2800(27%)
minecraft.dropped.hopper: #1, 226(32%)
minecraft.mined.light_blue_shulker_box: #1, 2065(22%)
minecraft.crafted.pink_carpet: #1, 441(40%)
minecraft.dropped.oak_leaves: #1, 1203(23%)
minecraft.mined.kelp_plant: #1, 6885(18%)
minecraft.mined.scaffolding: #1, 8080(21%)
minecraft.dropped.redstone_block: #1, 472(26%)
minecraft.crafted.dark_oak_stairs: #1, 5063(21%)
minecraft.used.birch_sapling: #1, 2507(22%)
minecraft.picked_up.dark_oak_sapling: #2, 3913(28%)
minecraft.picked_up.brown_carpet: #1, 476(29%)
minecraft.mined.dark_oak_sapling: #1, 183(43%)
minecraft.used.chiseled_quartz_block: #1, 886(25%)
minecraft.dropped.smooth_quartz_stairs: #1, 53(85%)
minecraft.mined.dark_oak_fence: #1, 900(20%)
minecraft.mined.dark_oak_fence_gate: #1, 125(28%)
minecraft.used.oak_stairs: #1, 1708(18%)
