stat, rank, value, (percentage) 
minecraft.mined.iron_trapdoor: #1, 2220(33%)
minecraft.mined.black_terracotta: #1, 1863(46%)
minecraft.picked_up.black_terracotta: #1, 2317(45%)
minecraft.picked_up.spruce_log: #1, 56182(26%)
minecraft.picked_up.grindstone: #1, 291(48%)
minecraft.dropped.oak_slab: #1, 528(39%)
minecraft.crafted.observer: #1, 5441(35%)
minecraft.picked_up.stick: #1, 11776(22%)
minecraft.picked_up.diamond_block: #1, 1696(32%)
minecraft.used.blast_furnace: #1, 234(41%)
minecraft.crafted.sandstone_slab: #1, 66452(37%)
minecraft.used.stone_stairs: #1, 1673(39%)
minecraft.mined.stripped_dark_oak_log: #1, 1934(36%)
minecraft.crafted.smoker: #1, 401(41%)
minecraft.picked_up.smooth_quartz_stairs: #1, 1109(59%)
minecraft.broken.stone_pickaxe: #1, 30(34%)
minecraft.crafted.spruce_slab: #1, 16054(25%)
minecraft.used.coal_block: #1, 3000(32%)
minecraft.picked_up.gray_terracotta: #1, 3558(59%)
minecraft.mined.birch_log: #1, 15714(27%)
minecraft.mined.diamond_block: #1, 1077(32%)
minecraft.used.spruce_leaves: #1, 16621(31%)
minecraft.dropped.brown_wool: #1, 128(58%)
minecraft.crafted.white_dye: #1, 22363(29%)
minecraft.picked_up.apple: #1, 1617(24%)
minecraft.custom.crouch_one_cm: #1, 38301918(15%)
minecraft.picked_up.dark_oak_sapling: #1, 4634(33%)
minecraft.picked_up.white_wool: #1, 3226(22%)
minecraft.used.green_stained_glass: #1, 2113(45%)
minecraft.mined.blue_orchid: #1, 623(52%)
minecraft.mined.redstone_ore: #1, 28935(25%)
minecraft.used.dark_oak_slab: #1, 11317(30%)
minecraft.custom.leave_game: #1, 3871(12%)
minecraft.crafted.stick: #1, 82128(22%)
minecraft.crafted.oak_pressure_plate: #1, 209(35%)
minecraft.crafted.spruce_planks: #1, 103229(22%)
minecraft.crafted.green_stained_glass: #1, 3512(48%)
minecraft.mined.gray_terracotta: #1, 3096(62%)
minecraft.used.string: #1, 4126(29%)
minecraft.used.diamond_axe: #1, 251283(22%)
minecraft.crafted.stone_stairs: #1, 4016(39%)
minecraft.picked_up.end_rod: #1, 4102(27%)
minecraft.picked_up.acacia_log: #2, 22582(32%)
minecraft.mined.acacia_log: #2, 21677(32%)
minecraft.crafted.light_gray_stained_glass: #1, 19992(41%)
minecraft.mined.blast_furnace: #1, 147(47%)
minecraft.crafted.cyan_concrete_powder: #1, 2576(38%)
minecraft.picked_up.stripped_dark_oak_log: #1, 1906(36%)
minecraft.picked_up.green_terracotta: #2, 4673(39%)
minecraft.used.smoker: #1, 165(36%)
minecraft.picked_up.tube_coral: #1, 275(51%)
minecraft.crafted.smooth_quartz_slab: #1, 4980(55%)
minecraft.dropped.spruce_stairs: #1, 1088(38%)
minecraft.picked_up.birch_log: #1, 16759(25%)
minecraft.picked_up.gray_concrete: #1, 27017(30%)
minecraft.mined.wall_torch: #1, 4735(24%)
minecraft.used.oak_pressure_plate: #1, 158(35%)
minecraft.dropped.spruce_trapdoor: #1, 206(31%)
minecraft.mined.blue_stained_glass: #1, 1088(40%)
minecraft.used.gray_concrete_powder: #1, 38387(31%)
minecraft.mined.acacia_leaves: #1, 6666(28%)
minecraft.crafted.birch_pressure_plate: #1, 181(37%)
minecraft.picked_up.diamond_helmet: #1, 224(23%)
minecraft.mined.light_gray_stained_glass_pane: #1, 996(42%)
minecraft.picked_up.spruce_sapling: #1, 4922(22%)
minecraft.picked_up.fire_coral: #1, 291(53%)
minecraft.used.brown_stained_glass: #1, 2327(64%)
minecraft.killed_by.iron_golem: #1, 42(82%)
minecraft.dropped.dark_oak_slab: #1, 650(41%)
minecraft.used.smooth_quartz_stairs: #1, 2251(58%)
minecraft.used.red_bed: #1, 214(30%)
minecraft.picked_up.elytra: #1, 347(22%)
minecraft.custom.jump: #1, 1191492(13%)
minecraft.picked_up.black_wool: #1, 1652(30%)
minecraft.crafted.spruce_fence: #1, 5400(29%)
minecraft.crafted.barrel: #1, 979(27%)
minecraft.used.composter: #1, 307(32%)
minecraft.mined.smooth_quartz_stairs: #1, 732(57%)
minecraft.crafted.light_blue_concrete_powder: #1, 5936(35%)
minecraft.crafted.gray_concrete_powder: #1, 35656(30%)
minecraft.crafted.birch_door: #1, 78(33%)
minecraft.used.dark_oak_log: #1, 12728(24%)
minecraft.picked_up.redstone: #1, 107504(22%)
minecraft.picked_up.stone_shovel: #1, 32(37%)
minecraft.custom.walk_on_water_one_cm: #1, 21901589(11%)
minecraft.picked_up.shield: #1, 103(26%)
minecraft.crafted.green_wool: #1, 400(43%)
minecraft.crafted.cobblestone_stairs: #2, 7896(31%)
