stat, rank, value, (percentage) 
minecraft.used.lead: #5, 3(8%)
minecraft.dropped.green_dye: #5, 2574(5%)
minecraft.used.gray_stained_glass: #5, 3023(5%)
minecraft.mined.lime_stained_glass: #5, 109(5%)
minecraft.dropped.rotten_flesh: #6, 3719(6%)
minecraft.used.ice: #5, 2420(4%)
minecraft.custom.damage_blocked_by_shield: #5, 5710(5%)
minecraft.used.jungle_stairs: #5, 204(6%)
minecraft.mined.light_gray_stained_glass_pane: #5, 143(6%)
minecraft.used.stone_slab: #5, 1443(4%)
minecraft.dropped.gold_ingot: #5, 198(5%)
minecraft.picked_up.magenta_dye: #5, 62(9%)
minecraft.killed.ravager: #5, 5(7%)
minecraft.dropped.cyan_shulker_box: #5, 2(9%)
minecraft.used.light_blue_concrete_powder: #5, 731(5%)
minecraft.crafted.brewing_stand: #5, 24(4%)
minecraft.mined.bamboo: #5, 234(4%)
minecraft.crafted.smooth_quartz: #5, 230(5%)
minecraft.broken.bow: #5, 1(12%)
minecraft.crafted.blaze_powder: #5, 294(3%)
minecraft.crafted.light_gray_wool: #5, 465(5%)
minecraft.broken.stone_sword: #5, 1(14%)
minecraft.used.yellow_concrete_powder: #5, 1088(4%)
minecraft.picked_up.leather_chestplate: #6, 25(7%)
minecraft.used.redstone_torch: #6, 1107(8%)
minecraft.mined.lime_wool: #5, 27(4%)
minecraft.used.wooden_sword: #5, 21(6%)
minecraft.dropped.acacia_sapling: #5, 32(4%)
minecraft.picked_up.pumpkin_pie: #5, 52(5%)
minecraft.used.powered_rail: #6, 3056(8%)
minecraft.picked_up.hay_block: #5, 36(3%)
minecraft.mined.smooth_stone_slab: #6, 3521(7%)
minecraft.crafted.red_wool: #5, 280(3%)
minecraft.mined.jukebox: #5, 9(6%)
minecraft.used.repeater: #6, 1438(7%)
minecraft.killed.phantom: #5, 128(2%)
minecraft.picked_up.compass: #5, 4(6%)
minecraft.picked_up.golden_leggings: #6, 24(7%)
minecraft.crafted.apple: #5, 75(5%)
minecraft.picked_up.jukebox: #5, 9(6%)
minecraft.used.smooth_quartz_slab: #5, 582(4%)
minecraft.killed.cow: #6, 600(6%)
minecraft.used.cauldron: #6, 82(7%)
minecraft.crafted.lime_carpet: #6, 324(11%)
minecraft.picked_up.smooth_quartz_stairs: #5, 80(4%)
minecraft.mined.powered_rail: #6, 682(7%)
minecraft.mined.smithing_table: #5, 14(5%)
minecraft.used.yellow_stained_glass_pane: #6, 279(10%)
minecraft.picked_up.yellow_concrete_powder: #5, 192(3%)
minecraft.crafted.smooth_sandstone_slab: #5, 300(5%)
minecraft.picked_up.leather: #6, 1593(5%)
minecraft.crafted.emerald_block: #5, 600(2%)
minecraft.used.stone_hoe: #6, 390(7%)
minecraft.crafted.red_nether_bricks: #5, 938(5%)
minecraft.mined.smooth_sandstone: #6, 948(8%)
minecraft.picked_up.stone_brick_stairs: #6, 1401(6%)
minecraft.crafted.jukebox: #5, 2(3%)
minecraft.picked_up.light_blue_concrete_powder: #5, 147(3%)
minecraft.mined.repeater: #6, 375(6%)
minecraft.crafted.stone_slab: #6, 1962(6%)
minecraft.used.kelp: #6, 1881(6%)
minecraft.picked_up.jungle_pressure_plate: #5, 2(5%)
minecraft.picked_up.cyan_concrete: #6, 403(10%)
minecraft.used.oak_button: #6, 70(7%)
minecraft.dropped.dark_oak_planks: #6, 182(7%)
minecraft.mined.yellow_concrete: #6, 1230(8%)
minecraft.dropped.detector_rail: #5, 2(4%)
minecraft.used.rotten_flesh: #5, 8(2%)
minecraft.crafted.blue_shulker_box: #6, 7(8%)
minecraft.picked_up.cocoa_beans: #6, 2419(6%)
minecraft.picked_up.redstone_lamp: #6, 203(7%)
minecraft.used.red_bed: #6, 47(7%)
minecraft.picked_up.white_stained_glass_pane: #6, 571(6%)
minecraft.crafted.shulker_box: #6, 411(8%)
minecraft.mined.cyan_concrete: #6, 393(9%)
minecraft.dropped.smooth_stone_slab: #6, 589(7%)
minecraft.mined.oak_fence: #6, 271(5%)
minecraft.dropped.poppy: #5, 712(1%)
minecraft.mined.iron_bars: #6, 508(5%)
minecraft.used.jungle_pressure_plate: #5, 3(2%)
minecraft.picked_up.damaged_anvil: #6, 16(6%)
minecraft.mined.damaged_anvil: #6, 15(6%)
minecraft.used.oak_leaves: #6, 3585(5%)
minecraft.used.brown_mushroom: #6, 84(9%)
minecraft.custom.pot_flower: #6, 69(6%)
minecraft.crafted.clock: #6, 6(8%)
minecraft.used.lime_concrete_powder: #6, 624(6%)
minecraft.mined.polished_diorite_stairs: #5, 7(2%)
minecraft.picked_up.polished_diorite_stairs: #5, 8(2%)
minecraft.picked_up.oak_trapdoor: #6, 178(5%)
minecraft.picked_up.spruce_stairs: #6, 566(4%)
minecraft.used.melon_slice: #5, 4(1%)
minecraft.dropped.golden_helmet: #6, 16(6%)
minecraft.picked_up.jungle_door: #5, 7(0%)
minecraft.used.jungle_fence_gate: #5, 1(1%)
minecraft.used.jungle_door: #5, 5(0%)
minecraft.picked_up.yellow_concrete: #6, 994(6%)
minecraft.mined.cobweb: #6, 621(5%)
minecraft.picked_up.ladder: #6, 543(5%)
minecraft.used.written_book: #6, 1619(4%)
minecraft.dropped.minecart: #6, 24(5%)
minecraft.used.white_carpet: #6, 793(4%)
minecraft.used.bone_meal: #6, 4698(3%)
minecraft.used.cyan_concrete: #6, 178(7%)
minecraft.dropped.apple: #6, 77(6%)
minecraft.used.polished_diorite: #6, 982(5%)
minecraft.mined.purpur_slab: #6, 47(6%)
minecraft.mined.red_carpet: #6, 110(5%)
minecraft.custom.inspect_hopper: #7, 3853(8%)
minecraft.used.carved_pumpkin: #6, 44(6%)
minecraft.used.wooden_hoe: #6, 60(6%)
minecraft.crafted.sandstone_slab: #6, 8488(5%)
minecraft.mined.black_wall_banner: #6, 10(9%)
minecraft.crafted.redstone_torch: #6, 2871(4%)
minecraft.used.birch_trapdoor: #6, 134(4%)
minecraft.picked_up.iron_axe: #6, 19(4%)
minecraft.used.light_gray_stained_glass: #6, 1609(4%)
minecraft.dropped.hopper: #6, 40(6%)
minecraft.killed.skeleton: #6, 2802(3%)
minecraft.crafted.diamond_hoe: #6, 4(6%)
minecraft.broken.wooden_hoe: #6, 1(11%)
minecraft.crafted.oak_planks: #7, 21534(6%)
minecraft.crafted.golden_helmet: #6, 2(7%)
minecraft.picked_up.poisonous_potato: #6, 40(3%)
minecraft.dropped.polished_granite: #6, 45(5%)
minecraft.mined.cocoa: #6, 206(3%)
minecraft.broken.stone_hoe: #6, 2(7%)
minecraft.dropped.birch_trapdoor: #6, 5(6%)
minecraft.picked_up.dispenser: #7, 221(8%)
minecraft.custom.play_one_minute: #8, 93159659(5%)
minecraft.crafted.yellow_concrete_powder: #6, 1088(4%)
minecraft.mined.birch_sapling: #6, 23(4%)
minecraft.crafted.chest: #7, 3184(6%)
minecraft.dropped.repeater: #6, 45(5%)
minecraft.used.chest: #7, 2312(6%)
minecraft.mined.yellow_bed: #6, 22(5%)
minecraft.custom.interact_with_lectern: #6, 84(3%)
minecraft.dropped.chainmail_leggings: #6, 5(4%)
minecraft.dropped.spruce_slab: #6, 64(3%)
minecraft.used.yellow_banner: #6, 12(5%)
minecraft.picked_up.orange_concrete_powder: #6, 192(6%)
minecraft.dropped.iron_door: #6, 7(4%)
minecraft.mined.chest: #7, 1237(6%)
minecraft.crafted.dispenser: #6, 149(3%)
minecraft.picked_up.glowstone_dust: #6, 662(3%)
minecraft.used.diamond_sword: #7, 18218(5%)
minecraft.crafted.lime_banner: #6, 11(6%)
minecraft.broken.iron_axe: #7, 6(7%)
minecraft.mined.light_blue_stained_glass: #6, 415(3%)
minecraft.picked_up.light_blue_stained_glass: #6, 482(3%)
minecraft.used.light_gray_glazed_terracotta: #6, 37(6%)
minecraft.mined.lime_concrete_powder: #6, 8(5%)
minecraft.killed.dolphin: #6, 1(8%)
minecraft.mined.cyan_carpet: #6, 10(4%)
minecraft.used.brown_carpet: #6, 157(3%)
minecraft.picked_up.dead_fire_coral_fan: #6, 32(5%)
minecraft.mined.rail: #7, 2699(6%)
minecraft.used.jukebox: #6, 9(5%)
minecraft.picked_up.lime_stained_glass: #6, 102(3%)
minecraft.dropped.end_stone: #7, 64(10%)
minecraft.picked_up.oak_sign: #7, 540(6%)
minecraft.picked_up.rail: #7, 3902(6%)
minecraft.picked_up.redstone_block: #7, 904(7%)
minecraft.mined.grindstone: #6, 14(3%)
minecraft.mined.ladder: #7, 292(6%)
minecraft.dropped.light_blue_shulker_box: #6, 2(4%)
minecraft.picked_up.golden_chestplate: #7, 20(6%)
minecraft.dropped.red_shulker_box: #6, 3(3%)
minecraft.dropped.nether_wart: #6, 64(3%)
minecraft.dropped.diamond_block: #7, 128(8%)
minecraft.picked_up.emerald_ore: #6, 10(3%)
minecraft.picked_up.grindstone: #6, 15(2%)
minecraft.picked_up.black_carpet: #7, 164(7%)
minecraft.mined.stone_brick_stairs: #7, 1039(6%)
minecraft.dropped.pumpkin_pie: #6, 16(3%)
minecraft.killed.creeper: #7, 420(5%)
minecraft.mined.light_gray_glazed_terracotta: #6, 12(4%)
minecraft.crafted.dried_kelp_block: #6, 7156(2%)
minecraft.picked_up.white_wool: #7, 657(5%)
minecraft.crafted.diamond: #7, 3078(6%)
minecraft.crafted.stone_brick_stairs: #7, 3216(5%)
minecraft.crafted.cauldron: #7, 83(6%)
minecraft.picked_up.snowball: #7, 5501(6%)
minecraft.crafted.yellow_shulker_box: #6, 11(1%)
minecraft.mined.grass: #7, 3002(4%)
minecraft.picked_up.brown_mushroom: #7, 249(5%)
minecraft.used.oak_boat: #7, 118(5%)
minecraft.picked_up.diamond_leggings: #7, 51(5%)
minecraft.crafted.red_concrete_powder: #7, 1424(7%)
minecraft.crafted.bucket: #7, 152(5%)
minecraft.killed_by.skeleton: #7, 6(7%)
minecraft.used.red_concrete_powder: #7, 1291(7%)
minecraft.picked_up.blue_concrete_powder: #6, 64(2%)
minecraft.crafted.yellow_wool: #6, 64(1%)
minecraft.mined.tripwire: #7, 140(5%)
minecraft.used.red_concrete: #7, 1090(6%)
minecraft.dropped.birch_pressure_plate: #6, 1(2%)
minecraft.mined.red_concrete: #7, 1335(6%)
minecraft.crafted.yellow_banner: #6, 9(1%)
minecraft.crafted.white_stained_glass: #7, 7896(5%)
minecraft.dropped.lime_shulker_box: #6, 1(1%)
minecraft.dropped.orange_concrete: #6, 7(1%)
minecraft.used.green_stained_glass_pane: #6, 8(1%)
minecraft.picked_up.furnace: #7, 190(4%)
minecraft.broken.iron_pickaxe: #7, 15(5%)
minecraft.picked_up.iron_door: #7, 41(5%)
minecraft.crafted.jungle_fence_gate: #6, 1(1%)
minecraft.picked_up.powered_rail: #7, 1029(5%)
minecraft.used.carrot: #7, 3245(4%)
minecraft.mined.brown_mushroom: #7, 74(5%)
minecraft.mined.birch_log: #7, 2471(4%)
minecraft.picked_up.lime_glazed_terracotta: #6, 4(0%)
minecraft.killed.endermite: #7, 13(6%)
minecraft.crafted.magenta_wool: #6, 1(0%)
minecraft.mined.furnace: #7, 177(4%)
minecraft.killed.vindicator: #6, 33(0%)
minecraft.killed.evoker: #6, 5(0%)
minecraft.custom.enchant_item: #7, 213(4%)
minecraft.used.diamond_axe: #7, 40449(4%)
minecraft.picked_up.gray_carpet: #7, 483(5%)
minecraft.crafted.stone_hoe: #7, 6(5%)
minecraft.picked_up.birch_log: #7, 2698(4%)
minecraft.used.cyan_concrete_powder: #7, 320(6%)
minecraft.crafted.lime_concrete_powder: #7, 664(6%)
minecraft.picked_up.iron_hoe: #7, 2(7%)
minecraft.crafted.repeater: #7, 729(4%)
minecraft.crafted.cyan_concrete_powder: #7, 384(6%)
minecraft.mined.stone_slab: #7, 300(5%)
minecraft.picked_up.cookie: #7, 172(5%)
minecraft.picked_up.dandelion: #7, 423(3%)
minecraft.used.birch_boat: #7, 75(4%)
minecraft.crafted.cobblestone_wall: #7, 732(4%)
minecraft.mined.brewing_stand: #7, 19(4%)
minecraft.used.damaged_anvil: #7, 10(5%)
minecraft.mined.pumpkin: #7, 145(4%)
minecraft.picked_up.birch_pressure_plate: #7, 10(5%)
minecraft.killed.zombie: #8, 1176(6%)
minecraft.used.activator_rail: #7, 30(6%)
minecraft.picked_up.ink_sac: #7, 622(3%)
minecraft.picked_up.red_carpet: #7, 154(4%)
minecraft.picked_up.birch_boat: #7, 71(4%)
minecraft.mined.emerald_ore: #7, 29(5%)
minecraft.dropped.lead: #7, 10(5%)
minecraft.dropped.iron_block: #7, 229(5%)
minecraft.used.black_concrete: #7, 4106(4%)
minecraft.dropped.stone: #7, 15714(3%)
minecraft.picked_up.stone_bricks: #8, 11212(7%)
minecraft.picked_up.red_concrete: #7, 834(4%)
minecraft.dropped.green_banner: #7, 1(11%)
minecraft.used.black_banner: #7, 19(7%)
minecraft.picked_up.beef: #7, 901(3%)
minecraft.custom.player_kills: #7, 3(5%)
minecraft.mined.acacia_leaves: #7, 871(4%)
minecraft.mined.stone_bricks: #8, 10703(7%)
minecraft.mined.potatoes: #7, 683(3%)
minecraft.mined.birch_wall_sign: #7, 13(4%)
minecraft.used.birch_door: #7, 8(4%)
minecraft.picked_up.light_blue_dye: #7, 56(5%)
minecraft.dropped.birch_sign: #7, 14(5%)
minecraft.dropped.dark_oak_log: #7, 129(4%)
minecraft.mined.infested_cobblestone: #7, 1(9%)
minecraft.used.brown_shulker_box: #7, 194(4%)
minecraft.picked_up.brown_shulker_box: #7, 193(3%)
minecraft.crafted.magenta_shulker_box: #7, 4(4%)
minecraft.mined.brown_shulker_box: #7, 193(4%)
minecraft.used.jungle_fence: #7, 72(4%)
minecraft.picked_up.ice: #7, 2942(3%)
minecraft.crafted.hopper: #8, 1629(7%)
minecraft.picked_up.cyan_carpet: #7, 14(4%)
minecraft.custom.open_shulker_box: #8, 30964(4%)
minecraft.picked_up.smooth_sandstone: #7, 1274(3%)
minecraft.dropped.oak_button: #7, 8(4%)
minecraft.picked_up.spruce_button: #7, 15(3%)
minecraft.custom.interact_with_crafting_table: #8, 4248(5%)
minecraft.mined.yellow_wall_banner: #7, 3(6%)
minecraft.dropped.iron_bars: #7, 158(3%)
minecraft.crafted.black_dye: #7, 737(3%)
minecraft.dropped.carved_pumpkin: #7, 7(4%)
minecraft.dropped.carrot_on_a_stick: #7, 1(7%)
minecraft.mined.orange_terracotta: #7, 2257(2%)
minecraft.dropped.potato: #7, 424(2%)
minecraft.crafted.iron_block: #7, 3396(2%)
minecraft.picked_up.orange_terracotta: #7, 2215(2%)
minecraft.used.spruce_stairs: #8, 1360(6%)
minecraft.picked_up.leather_helmet: #8, 18(6%)
minecraft.crafted.jungle_fence: #7, 81(4%)
minecraft.crafted.brown_carpet: #7, 159(3%)
minecraft.crafted.iron_trapdoor: #8, 1139(6%)
minecraft.crafted.shield: #7, 15(2%)
minecraft.picked_up.iron_nugget: #7, 61(2%)
minecraft.picked_up.name_tag: #8, 57(6%)
minecraft.used.grindstone: #7, 24(3%)
minecraft.picked_up.quartz_stairs: #8, 771(7%)
minecraft.mined.yellow_banner: #7, 3(3%)
minecraft.dropped.iron_nugget: #7, 34(2%)
minecraft.used.red_carpet: #7, 344(2%)
minecraft.picked_up.light_blue_concrete: #7, 385(2%)
minecraft.mined.smooth_quartz_slab: #7, 97(3%)
minecraft.mined.orange_glazed_terracotta: #7, 8(4%)
minecraft.mined.diorite: #8, 16500(5%)
minecraft.used.ender_pearl: #8, 749(5%)
minecraft.picked_up.diorite: #8, 15481(5%)
minecraft.picked_up.cobblestone: #8, 96614(4%)
minecraft.used.chiseled_stone_bricks: #7, 143(2%)
minecraft.mined.redstone_wire: #8, 956(6%)
minecraft.used.emerald_ore: #7, 3(3%)
minecraft.crafted.composter: #7, 20(2%)
minecraft.mined.tripwire_hook: #8, 18(7%)
minecraft.crafted.stone_sword: #7, 5(1%)
minecraft.picked_up.smooth_quartz_slab: #7, 102(2%)
minecraft.crafted.jack_o_lantern: #7, 112(2%)
minecraft.dropped.black_wool: #7, 7(2%)
minecraft.used.smooth_stone_slab: #8, 15534(6%)
minecraft.custom.walk_under_water_one_cm: #9, 22195910(5%)
minecraft.crafted.end_rod: #7, 288(2%)
minecraft.dropped.golden_boots: #8, 17(5%)
minecraft.mined.ice: #7, 3274(1%)
minecraft.custom.walk_one_cm: #9, 163922565(5%)
minecraft.used.jack_o_lantern: #7, 86(1%)
minecraft.dropped.phantom_membrane: #7, 8(1%)
minecraft.crafted.andesite_wall: #7, 60(2%)
minecraft.mined.jungle_trapdoor: #7, 16(1%)
minecraft.mined.oak_planks: #8, 814(5%)
minecraft.used.ladder: #8, 841(5%)
minecraft.used.magma_block: #8, 623(5%)
minecraft.picked_up.jungle_trapdoor: #7, 17(1%)
minecraft.crafted.grindstone: #7, 11(1%)
minecraft.custom.deaths: #8, 110(4%)
minecraft.dropped.golden_chestplate: #8, 15(5%)
minecraft.killed.blaze: #7, 170(1%)
minecraft.used.tnt_minecart: #7, 4(2%)
minecraft.crafted.lime_bed: #7, 1(2%)
minecraft.picked_up.wooden_shovel: #7, 1(2%)
minecraft.used.smooth_quartz: #7, 100(1%)
minecraft.mined.brown_mushroom_block: #7, 225(1%)
minecraft.crafted.tnt_minecart: #7, 4(1%)
minecraft.picked_up.orange_banner: #7, 1(2%)
minecraft.picked_up.green_dye: #7, 451(1%)
minecraft.mined.polished_diorite_slab: #7, 4(1%)
minecraft.used.melon_seeds: #7, 17(1%)
minecraft.crafted.popped_chorus_fruit: #7, 27(1%)
minecraft.dropped.peony: #7, 4(1%)
minecraft.dropped.light_gray_carpet: #7, 17(1%)
minecraft.mined.black_stained_glass_pane: #7, 12(1%)
minecraft.custom.open_chest: #9, 39440(5%)
minecraft.mined.jungle_button: #7, 1(1%)
minecraft.picked_up.soul_sand: #8, 1912(5%)
minecraft.used.iron_pickaxe: #8, 4215(4%)
minecraft.picked_up.polished_diorite_slab: #7, 3(1%)
minecraft.used.diorite: #8, 841(4%)
minecraft.mined.brown_wool: #7, 2(0%)
minecraft.crafted.diamond_block: #8, 428(5%)
minecraft.crafted.spruce_stairs: #8, 1176(4%)
minecraft.dropped.scaffolding: #8, 193(6%)
minecraft.mined.cobblestone_wall: #8, 153(4%)
minecraft.custom.boat_one_cm: #8, 24756944(4%)
minecraft.picked_up.armor_stand: #8, 66(5%)
minecraft.mined.blue_shulker_box: #8, 142(5%)
minecraft.killed.silverfish: #8, 58(6%)
minecraft.picked_up.golden_carrot: #8, 1287(5%)
minecraft.mined.spruce_trapdoor: #8, 327(4%)
minecraft.picked_up.blue_shulker_box: #8, 142(5%)
minecraft.picked_up.netherrack: #8, 32224(4%)
minecraft.used.blue_shulker_box: #8, 140(5%)
minecraft.mined.loom: #8, 7(5%)
minecraft.picked_up.black_concrete: #8, 3121(4%)
minecraft.dropped.water_bucket: #8, 11(5%)
minecraft.mined.anvil: #8, 37(4%)
minecraft.mined.soul_sand: #8, 1794(4%)
minecraft.picked_up.loom: #8, 7(5%)
minecraft.picked_up.gold_block: #8, 579(4%)
minecraft.used.quartz_slab: #8, 2233(4%)
minecraft.mined.oak_log: #8, 4033(3%)
minecraft.crafted.flint_and_steel: #8, 17(4%)
minecraft.crafted.quartz_slab: #8, 2034(4%)
minecraft.mined.light_blue_shulker_box: #8, 384(4%)
minecraft.dropped.andesite: #8, 2051(3%)
minecraft.picked_up.light_blue_shulker_box: #8, 389(4%)
minecraft.used.light_blue_shulker_box: #8, 383(4%)
minecraft.picked_up.black_banner: #8, 12(6%)
minecraft.picked_up.dragon_head: #8, 11(5%)
minecraft.picked_up.purpur_slab: #8, 39(5%)
minecraft.dropped.iron_leggings: #8, 5(4%)
minecraft.mined.detector_rail: #8, 13(5%)
minecraft.mined.birch_leaves: #8, 792(3%)
minecraft.custom.sprint_one_cm: #9, 114851144(4%)
minecraft.mined.gold_block: #8, 430(4%)
minecraft.dropped.diorite: #8, 2664(3%)
minecraft.picked_up.brewing_stand: #8, 19(4%)
minecraft.mined.stone_brick_slab: #8, 1074(3%)
minecraft.crafted.snow_block: #8, 1195(4%)
minecraft.used.iron_bars: #8, 945(3%)
minecraft.mined.white_stained_glass_pane: #8, 212(4%)
minecraft.used.birch_planks: #8, 321(3%)
minecraft.mined.black_concrete: #8, 3467(3%)
minecraft.mined.stone_button: #8, 75(3%)
minecraft.picked_up.birch_door: #8, 7(4%)
minecraft.mined.tnt: #8, 55(3%)
minecraft.mined.spruce_button: #8, 10(4%)
minecraft.killed_by.drowned: #8, 3(4%)
minecraft.picked_up.stone_slab: #8, 283(3%)
minecraft.crafted.white_carpet: #8, 507(3%)
minecraft.picked_up.light_gray_stained_glass_pane: #8, 200(4%)
minecraft.picked_up.diamond_block: #8, 149(3%)
minecraft.used.packed_ice: #8, 2754(3%)
minecraft.mined.potted_oxeye_daisy: #8, 1(7%)
minecraft.picked_up.light_gray_dye: #8, 74(3%)
minecraft.mined.polished_diorite: #8, 155(3%)
minecraft.broken.shield: #8, 1(7%)
minecraft.crafted.knowledge_book: #8, 1(7%)
minecraft.used.red_wool: #8, 128(3%)
minecraft.crafted.red_stained_glass: #8, 872(3%)
minecraft.used.gray_concrete: #8, 2211(2%)
minecraft.killed.wolf: #8, 1(6%)
minecraft.picked_up.gray_concrete: #8, 2109(2%)
minecraft.dropped.acacia_log: #8, 38(4%)
minecraft.dropped.kelp: #8, 1908(2%)
minecraft.dropped.leather: #8, 59(3%)
minecraft.used.lime_stained_glass: #8, 436(3%)
minecraft.mined.gray_concrete: #8, 2163(2%)
minecraft.mined.activator_rail: #8, 6(3%)
minecraft.crafted.birch_trapdoor: #8, 68(2%)
minecraft.dropped.snow: #8, 219(3%)
minecraft.mined.stone: #9, 266280(5%)
minecraft.picked_up.cyan_shulker_box: #8, 56(2%)
minecraft.mined.cyan_shulker_box: #8, 55(2%)
minecraft.used.cyan_shulker_box: #8, 53(2%)
minecraft.dropped.lapis_ore: #8, 6(3%)
minecraft.used.acacia_log: #8, 744(2%)
minecraft.custom.interact_with_cartography_table: #8, 2(3%)
minecraft.used.pufferfish_bucket: #8, 10(2%)
minecraft.used.light_blue_concrete: #8, 216(2%)
minecraft.mined.light_blue_concrete: #8, 288(2%)
minecraft.crafted.lime_stained_glass: #8, 424(2%)
minecraft.picked_up.nether_star: #8, 8(2%)
minecraft.crafted.stone_bricks: #9, 24664(5%)
minecraft.crafted.glass: #9, 7287(5%)
minecraft.picked_up.acacia_log: #8, 827(1%)
minecraft.mined.acacia_log: #8, 791(1%)
minecraft.used.tube_coral: #8, 5(2%)
minecraft.custom.open_enderchest: #9, 4006(4%)
minecraft.crafted.flower_pot: #8, 55(1%)
minecraft.used.peony: #8, 13(1%)
minecraft.crafted.activator_rail: #8, 12(2%)
minecraft.killed_by.vex: #8, 1(3%)
minecraft.picked_up.diamond_helmet: #9, 47(5%)
minecraft.picked_up.yellow_banner: #8, 9(1%)
minecraft.dropped.nether_star: #8, 1(2%)
minecraft.dropped.glass_pane: #8, 5(1%)
minecraft.crafted.wooden_sword: #8, 3(1%)
minecraft.dropped.yellow_wool: #8, 8(2%)
minecraft.dropped.birch_sapling: #8, 12(1%)
minecraft.picked_up.light_gray_glazed_terracotta: #8, 51(2%)
minecraft.picked_up.melon_slice: #8, 528(1%)
minecraft.mined.infested_stone_bricks: #8, 1(2%)
minecraft.mined.spruce_stairs: #9, 377(5%)
minecraft.picked_up.diamond_boots: #9, 50(5%)
minecraft.custom.interact_with_furnace: #9, 3331(4%)
minecraft.used.crossbow: #8, 18(1%)
minecraft.dropped.bamboo: #8, 189(1%)
minecraft.used.orange_banner: #8, 1(1%)
minecraft.picked_up.chorus_flower: #8, 16(1%)
minecraft.picked_up.repeater: #9, 556(5%)
minecraft.picked_up.lever: #9, 268(5%)
minecraft.picked_up.oak_planks: #9, 1074(4%)
minecraft.used.black_stained_glass_pane: #8, 37(0%)
minecraft.crafted.green_stained_glass_pane: #8, 16(1%)
minecraft.killed.enderman: #8, 104(0%)
minecraft.dropped.wooden_shovel: #8, 3(1%)
minecraft.dropped.brick_slab: #8, 1(1%)
minecraft.crafted.melon_seeds: #8, 20(1%)
minecraft.dropped.blaze_rod: #8, 7(1%)
minecraft.crafted.jungle_pressure_plate: #8, 1(1%)
minecraft.dropped.quartz: #8, 16(0%)
minecraft.picked_up.comparator: #9, 240(5%)
minecraft.picked_up.jungle_button: #8, 1(1%)
minecraft.dropped.map: #8, 1(1%)
minecraft.mined.green_wool: #8, 2(1%)
minecraft.crafted.pink_wool: #8, 2(0%)
minecraft.used.iron_axe: #9, 1283(4%)
minecraft.used.bucket: #9, 3046(4%)
minecraft.used.water_bucket: #9, 2760(4%)
minecraft.crafted.blue_ice: #8, 20(0%)
minecraft.crafted.diamond_boots: #9, 7(5%)
minecraft.crafted.smooth_stone_slab: #9, 15080(5%)
minecraft.mined.redstone_torch: #9, 99(4%)
minecraft.picked_up.oak_boat: #9, 101(4%)
minecraft.crafted.armor_stand: #9, 141(4%)
minecraft.dropped.player_head: #9, 87(4%)
minecraft.mined.spruce_fence: #9, 266(4%)
minecraft.dropped.granite: #9, 2744(4%)
minecraft.picked_up.oak_log: #9, 4305(3%)
minecraft.picked_up.anvil: #9, 41(4%)
minecraft.mined.spruce_wall_sign: #9, 11(4%)
minecraft.mined.netherrack: #9, 47155(3%)
minecraft.mined.mossy_cobblestone: #9, 103(4%)
minecraft.picked_up.chainmail_leggings: #9, 6(4%)
minecraft.dropped.diamond_leggings: #9, 5(5%)
minecraft.used.spruce_boat: #9, 54(3%)
minecraft.custom.climb_one_cm: #10, 4387829(5%)
minecraft.dropped.bucket: #9, 20(4%)
minecraft.used.string: #9, 477(3%)
minecraft.used.lapis_ore: #9, 129(4%)
minecraft.custom.damage_resisted: #9, 14656(3%)
minecraft.picked_up.ender_chest: #9, 436(3%)
minecraft.picked_up.chainmail_boots: #9, 5(3%)
minecraft.mined.polished_andesite: #9, 807(3%)
minecraft.crafted.stone_brick_slab: #9, 2772(3%)
minecraft.mined.ender_chest: #9, 418(3%)
minecraft.mined.stone_pressure_plate: #9, 57(3%)
minecraft.dropped.diamond_helmet: #9, 4(3%)
minecraft.picked_up.ghast_tear: #9, 34(4%)
minecraft.crafted.jungle_planks: #9, 2260(2%)
minecraft.dropped.firework_rocket: #9, 685(3%)
minecraft.used.salmon_bucket: #9, 3(4%)
minecraft.picked_up.activator_rail: #9, 17(4%)
minecraft.used.ender_chest: #9, 417(3%)
minecraft.used.iron_door: #9, 38(3%)
minecraft.used.scaffolding: #9, 3112(3%)
minecraft.dropped.oak_log: #9, 107(3%)
minecraft.mined.scaffolding: #9, 1045(3%)
minecraft.picked_up.ender_pearl: #9, 719(2%)
minecraft.picked_up.stone_hoe: #9, 2(4%)
minecraft.broken.iron_helmet: #9, 1(5%)
minecraft.picked_up.pufferfish_bucket: #9, 2(5%)
minecraft.dropped.iron_hoe: #9, 1(5%)
minecraft.picked_up.pumpkin_seeds: #9, 751(2%)
minecraft.mined.birch_pressure_plate: #9, 4(3%)
minecraft.mined.orange_concrete: #9, 285(3%)
minecraft.picked_up.jungle_boat: #9, 6(2%)
minecraft.dropped.dark_oak_stairs: #9, 28(3%)
minecraft.picked_up.polished_diorite: #9, 131(2%)
minecraft.dropped.grass_block: #9, 608(2%)
minecraft.used.pumpkin: #9, 234(2%)
minecraft.crafted.smooth_stone: #9, 676(1%)
minecraft.used.lime_shulker_box: #9, 61(2%)
minecraft.mined.lime_shulker_box: #9, 60(2%)
minecraft.picked_up.lime_shulker_box: #9, 61(2%)
minecraft.picked_up.jungle_log: #9, 846(1%)
minecraft.dropped.purpur_slab: #9, 8(2%)
minecraft.mined.gray_wool: #9, 7(2%)
minecraft.mined.light_blue_terracotta: #9, 49(2%)
