stat, rank, value, (percentage) 
minecraft.dropped.powered_rail: #2, 135(16%)
minecraft.mined.jack_o_lantern: #2, 80(16%)
minecraft.picked_up.observer: #3, 1654(15%)
minecraft.picked_up.lectern: #3, 1117(20%)
minecraft.picked_up.magma_cream: #2, 108(12%)
minecraft.crafted.iron_hoe: #2, 11(15%)
minecraft.used.piston: #3, 1646(15%)
minecraft.dropped.dead_fire_coral_fan: #1, 64(67%)
minecraft.used.lime_glazed_terracotta: #2, 85(39%)
minecraft.crafted.lectern: #2, 79(13%)
minecraft.mined.white_stained_glass: #2, 2267(10%)
minecraft.used.orange_stained_glass_pane: #2, 707(16%)
minecraft.crafted.slime_block: #2, 2613(11%)
minecraft.dropped.ghast_tear: #2, 12(29%)
minecraft.picked_up.iron_trapdoor: #3, 1405(16%)
minecraft.picked_up.purpur_block: #2, 984(16%)
minecraft.dropped.magma_cream: #2, 16(25%)
minecraft.picked_up.spruce_sapling: #3, 2754(12%)
minecraft.used.spruce_sapling: #3, 1928(14%)
minecraft.crafted.orange_carpet: #2, 192(20%)
minecraft.picked_up.cooked_beef: #3, 2553(14%)
minecraft.custom.minecart_one_cm: #2, 27005809(9%)
minecraft.mined.oak_button: #2, 30(10%)
minecraft.used.mycelium: #2, 1193(20%)
minecraft.mined.purpur_pillar: #2, 445(16%)
minecraft.dropped.piston: #2, 121(19%)
minecraft.picked_up.music_disc_wait: #2, 58(30%)
minecraft.mined.smooth_sandstone_stairs: #2, 113(26%)
minecraft.used.splash_potion: #2, 49(12%)
minecraft.used.observer: #3, 2947(15%)
minecraft.used.stripped_birch_log: #3, 1059(19%)
minecraft.used.lime_stained_glass_pane: #2, 692(13%)
minecraft.picked_up.spruce_sign: #2, 85(10%)
minecraft.picked_up.smooth_sandstone_stairs: #2, 130(29%)
minecraft.crafted.lime_stained_glass_pane: #2, 896(13%)
minecraft.used.rose_bush: #3, 172(14%)
minecraft.crafted.furnace_minecart: #1, 1(100%)
minecraft.crafted.flint: #1, 10(100%)
