Player Name,BadTimeWithScar,BdoubleO100,Cojomax99,Couriway,Cub_Cam,Docm77,Dot_Dot_Dash,Etho,Eyjoy27,F1RECRACKR,GeminiTay,GoodTimeWithScar,Grian,HBomb94,HypnotizdCam,ImpulseCam,InTheLittleWood,JamalMC_,Kamalis1,Keralis1,Mumbo,MumboDrone,MythicalSausage,OrionSound,PearlescentMoo,PearlescentMoon,Plagiatus,Renthedog,Skizzleman,Smajor1995,Smallishbeans,SolidarityGaming,Tango,TangoCam,TwoMuchGrian,VintageBeef,Welsknight,Xisuma,ZedCam,Zedaph,ZombieCleo,_Jevination_,aimsey,belmarzi,cubfan135,falsesymmetry,hannahxxrose,hypnotizd,iJevin,impulseSV,joehillssays,jojosolos,xBCam,xBCrafted,xisumavoid
minecraft.crafted.orange_bed,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,9,0
minecraft.crafted.orange_bundle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.orange_candle,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.orange_carpet,0,0,0,0,0,480,0,6,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,21,0,240,13,0,0,0,0,0,0,9,0,2601,0,0,0,0,0,0,228,33,0,0,192,0,198,0,0,456,0
minecraft.crafted.orange_concrete_powder,0,0,0,0,0,64,0,768,0,0,40,96,0,0,0,0,0,0,0,40,0,0,0,0,0,1656,0,856,0,0,1240,0,112,0,0,0,0,400,0,0,144,0,0,0,632,8192,0,8,8,0,0,0,0,8512,0
minecraft.crafted.orange_dye,0,66,0,0,0,646,0,2917,0,0,39,917,0,0,0,0,0,0,0,8201,11,0,0,0,0,158,0,592,1,0,806,0,118,0,0,14,2,498,0,6,68,0,0,0,3702,2412,0,14,8,325,133,0,0,1792,0
minecraft.crafted.orange_glazed_terracotta,0,15,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0
minecraft.crafted.orange_harness,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.orange_shulker_box,0,3,0,0,0,5,0,10,0,0,1,6,0,0,0,0,0,0,0,10,1,0,0,0,0,12,0,24,1,0,2,0,2,0,0,0,1,210,0,5,1,0,0,0,12,39,0,0,3,0,22,0,0,10,0
minecraft.crafted.orange_stained_glass,0,40,0,0,0,552,0,768,0,0,40,2904,0,0,0,0,0,0,0,8,8,0,0,0,0,8,0,1600,0,0,488,0,176,0,0,0,0,184,0,0,0,0,0,0,10480,5096,0,0,0,864,456,0,0,1152,0
minecraft.crafted.orange_stained_glass_pane,0,56,0,0,0,32,0,16,0,0,32,704,0,0,0,0,0,0,0,16,0,0,0,0,0,16,0,2008,0,0,1632,0,0,0,0,0,0,192,0,0,0,0,0,0,64,0,0,0,0,1088,32,0,0,1040,0
minecraft.crafted.orange_terracotta,0,8,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,168,184,0,0,0,0,352,0,396,0,0,3488,0,0,0,0,32,0,216,0,0,284,0,0,0,272,144,0,0,0,512,360,0,0,0,0
minecraft.crafted.orange_tulip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.orange_wool,0,34,0,0,0,448,0,739,0,0,0,103,0,0,0,0,0,0,0,86,0,0,0,0,0,64,0,183,3,0,108,0,17,0,0,6,0,9,0,0,0,0,0,0,819,3,0,13,128,1,2,0,0,52,0
minecraft.crafted.oxeye_daisy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
