Player Name,BadTimeWithScar,Biffa001,Biffa2001,Cub_Cam,Docm77,Etho,EvilXisuma,GoodTimeWithScar,ImpulseCam,Jessassin,Lechaion,Mumbo,MumboJumbo,PuddleduckGG,PythonGB,Renthedog,Tango,TangoCam,Tinfoilchef,VintageBeef,WFRTNews,WellsGlazes,WelsCam,Welsknight,Xisuma,ZombieCleo,cubfan135,falsesymmetry,hypnotizd,iJevin,impulseSV,isGall85,iskall85,joehillssays,monkeyfarm,truesymmetry,xBCrafted,xisumavoid,zueljin
stat.pickup.minecraft.flower_pot,0,0,1,0,0,0,0,14,0,0,0,0,5,0,0,4,25,0,0,0,0,0,0,5,94,2,29,369,0,0,1,0,5,1,0,0,0,0,0
stat.pickup.minecraft.furnace,0,0,30,0,9,12,0,46,0,6,0,2,112,0,20,151,144,0,26,45,0,0,0,160,418,45,233,503,0,283,280,0,247,65,0,0,5,1,2
stat.pickup.minecraft.ghast_tear,0,0,9,0,15,19,0,36,0,0,0,5,0,0,3,20,35,0,1,4,0,0,0,36,25,0,189,26,0,6,212,0,28,7,0,0,0,0,0
stat.pickup.minecraft.glass,0,0,82,0,194,145,0,257,0,0,0,0,1916,0,22,1068,2992,0,358,0,0,0,0,774,10435,330,795,7069,0,440,2779,0,1331,476,0,0,20,1,136
stat.pickup.minecraft.glass_bottle,0,0,4,0,107,422,0,169,0,0,0,0,1,0,288,269,344,0,2,6,0,0,0,268,5389,136,255,130,0,20,39,0,1845,8,0,0,0,1,0
stat.pickup.minecraft.glass_pane,0,0,0,0,0,0,0,3,0,0,0,3,24,0,37,23,485,0,4,8,0,0,0,254,73,11,121,86,0,245,352,0,2,269,0,0,0,1,0
stat.pickup.minecraft.glowstone,0,0,577,0,131,6,0,933,0,14,0,18,945,0,1364,1498,772,0,0,130,0,0,0,728,2270,68,1409,3725,0,345,1356,0,517,495,0,0,0,0,65
stat.pickup.minecraft.glowstone_dust,0,0,432,0,262,65,0,1886,0,0,0,450,1459,0,311,775,433,0,466,319,0,0,0,992,3097,2,650,216,0,92,215,0,501,180,0,0,0,0,0
stat.pickup.minecraft.gold_block,0,0,17,0,1,0,0,6,0,0,0,20,58,0,5,188,39,0,77,0,0,0,0,156,489,8,385,617,0,178,88,0,364,0,0,0,0,0,0
stat.pickup.minecraft.gold_ingot,0,0,0,0,1,68,0,259,0,3,0,0,79,0,23,50,421,0,1,1,0,0,0,378,1265,99,54,339,0,175,120,0,54,7,0,0,0,36,0
