Player Name,BadTimeWithScar,BdoubleO100,CamM77,Cub_Cam,Docm77,Etho,EvilXisuma,Firecracker1195,GIGACAM,GeminiTay,GoodTimeWithScar,Grian,HBomb94,HumanCleo,HypnotizdCam,ImpulseCam,InTheLittleWood,Jessassin,Kamalis1,KarinSurfing,Keralis1,LDShadowLady,Maescool,Minerva246,Mumbo,MumboDrone,MumboJumbo,MythicalSausage,OrionSound,PearlescentMoo,PearlescentMoon,Pixlriffs,RentheKing,Renthedog,STEAKFG,ShubbleYT,Skizzleman,Smajor1995,Smallishbeans,SolidarityGaming,Stressmonster101,Stressmonsterin,Tango,TangoCam,Tinfoilchef,TwoMuchGrian,VintageBeef,Watcher_Grian,WelsCam,Welsknight,Xisuma,ZedCam,Zedaph,ZombieCleo,_Jevination_,cubfan135,fWhip,falsesymmetry,gnembon,hypnotizd,iJevin,impulseSV,isGall85,iskall85,joehillssays,joehillssees,kingbdogz,slicedlime,truesymmetry,xBCam,xBCrafted,xisumavoid
minecraft.picked_up.polished_blackstone_button,0,5,0,0,11,0,0,0,0,0,223,29,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,29,0,14,21,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,16,0,40,0,0,54,0,5,0,1,948,45,0,0,0,0,0,0,0,0,6,0
minecraft.picked_up.polished_blackstone_pressure_plate,0,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,2,0,0,0,0,39,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0,0
minecraft.picked_up.polished_blackstone_slab,0,35,0,0,10,44,0,0,0,1,545,80,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,360,0,118,183,0,0,0,0,0,0,0,0,1416,0,0,0,0,0,0,0,37,0,34,76,0,745,0,140,0,26,46,227,0,0,31,0,0,0,0,0,0,0
minecraft.picked_up.polished_blackstone_stairs,0,4,0,0,5,0,0,0,0,0,395,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,38,0,0,0,0,0,0,0,0,0,1759,0,0,0,2,0,0,0,41,0,5,4,0,213,0,96,0,3,6,306,0,0,1,0,0,0,0,0,12,0
minecraft.picked_up.polished_blackstone_wall,0,0,0,0,5,0,0,0,0,0,300,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,1,4,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,72,0,0,0,0,332,0,80,0,0,0,153,0,0,3,0,0,0,0,0,17,0
minecraft.picked_up.polished_deepslate,0,94,0,0,235,24,0,0,0,184,1998,363,0,0,0,0,0,0,0,0,152,0,0,0,684,0,61,1,0,0,1147,11,246,3295,0,0,0,0,0,0,0,0,904,0,0,0,2,0,0,0,435,0,1,126,0,226,0,956,0,320,1359,771,0,18,161,0,0,0,0,0,568,0
minecraft.picked_up.polished_deepslate_slab,0,75,0,0,993,0,0,0,0,3,211,105,0,0,0,0,0,0,0,0,71,0,0,0,115,0,107,4,0,0,163,1,1,773,0,0,0,0,0,0,0,0,743,0,0,0,1,0,0,0,141,0,5,64,0,333,0,1374,0,136,102,665,0,92,68,0,0,0,0,0,40,0
minecraft.picked_up.polished_deepslate_stairs,0,70,0,0,17,0,0,0,0,151,265,4,0,0,0,0,0,0,0,0,68,0,0,0,29,0,0,2,210,0,65,0,13,1267,42,0,0,0,0,0,0,0,762,0,0,0,0,0,0,0,45,0,11,12,0,284,0,220,0,15,275,264,0,0,1,0,0,0,0,0,223,0
minecraft.picked_up.polished_deepslate_wall,0,89,0,0,319,28,0,0,0,2,384,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,404,39,1,427,0,0,0,0,0,0,0,0,780,0,0,0,8,0,0,0,15,0,19,2,0,375,0,94,0,3,10,270,0,0,144,0,0,0,0,0,249,0
minecraft.picked_up.polished_diorite,0,156,0,0,32,2,0,0,0,98,164,443,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,536,0,0,2276,0,0,0,60,0,0,0,0,131,0,0,0,0,0,0,0,17,0,78,5,0,31,2,317,0,0,10,397,0,1,9,0,0,0,0,0,2,0
