stat, rank, value, (percentage) 
minecraft.mined.oak_hanging_sign: #2, 3(6%)
minecraft.dropped.black_shulker_box: #2, 2(7%)
minecraft.mined.red_nether_brick_slab: #2, 3(23%)
minecraft.crafted.birch_hanging_sign: #3, 24(12%)
minecraft.picked_up.acacia_stairs: #4, 99(16%)
minecraft.used.brown_candle: #3, 71(14%)
minecraft.mined.decorated_pot: #4, 576(10%)
minecraft.mined.soul_wall_torch: #2, 2(11%)
minecraft.used.iron_block: #4, 7821(10%)
minecraft.used.stripped_crimson_stem: #2, 42(5%)
minecraft.picked_up.polished_granite_slab: #3, 50(18%)
minecraft.crafted.blue_bundle: #2, 1(14%)
minecraft.dropped.spire_armor_trim_smithing_template: #2, 1(14%)
minecraft.picked_up.scrape_pottery_sherd: #3, 32(8%)
minecraft.mined.crimson_sign: #2, 1(10%)
minecraft.used.acacia_stairs: #4, 337(13%)
minecraft.dropped.written_book: #4, 28(10%)
minecraft.mined.chiseled_tuff: #3, 98(6%)
minecraft.used.green_carpet: #3, 712(7%)
minecraft.dropped.firefly_bush: #2, 3(12%)
minecraft.used.polished_basalt: #4, 1157(13%)
minecraft.mined.waxed_weathered_copper_trapdoor: #3, 25(10%)
minecraft.picked_up.guster_pottery_sherd: #3, 36(9%)
minecraft.used.cracked_deepslate_tiles: #3, 312(15%)
minecraft.picked_up.crafter: #4, 172(10%)
minecraft.dropped.waxed_copper_block: #4, 86(14%)
minecraft.used.birch_planks: #4, 1359(9%)
minecraft.mined.birch_fence_gate: #3, 27(11%)
minecraft.picked_up.chainmail_boots: #3, 11(7%)
minecraft.used.loom: #4, 121(11%)
minecraft.mined.orange_stained_glass_pane: #3, 53(9%)
minecraft.mined.stone: #3, 363863(5%)
minecraft.crafted.granite_stairs: #3, 40(10%)
minecraft.used.oak_trapdoor: #4, 624(9%)
minecraft.picked_up.netherite_helmet: #4, 30(11%)
minecraft.used.diorite_stairs: #3, 72(11%)
minecraft.killed.wither: #2, 7(2%)
minecraft.mined.tuff_bricks: #4, 3039(9%)
minecraft.crafted.beehive: #3, 618(8%)
minecraft.mined.pale_oak_wall_sign: #3, 10(11%)
minecraft.dropped.magenta_shulker_box: #2, 1(6%)
minecraft.mined.cauldron: #4, 28(10%)
minecraft.dropped.magma_block: #3, 84(8%)
minecraft.crafted.polished_blackstone: #4, 1044(10%)
minecraft.killed.ravager: #3, 4(12%)
minecraft.picked_up.green_dye: #3, 475(5%)
minecraft.used.mangrove_button: #3, 13(8%)
minecraft.picked_up.jungle_log: #4, 4600(9%)
minecraft.used.stripped_oak_log: #4, 453(12%)
minecraft.crafted.cherry_pressure_plate: #2, 1(9%)
minecraft.mined.brown_stained_glass: #3, 60(13%)
minecraft.dropped.spruce_pressure_plate: #3, 4(11%)
minecraft.mined.bamboo_planks: #4, 196(10%)
minecraft.crafted.beacon: #2, 6(2%)
minecraft.crafted.brewing_stand: #3, 81(7%)
minecraft.crafted.stone_pickaxe: #3, 8(5%)
minecraft.dropped.ender_pearl: #4, 23830(9%)
minecraft.used.birch_fence_gate: #3, 82(10%)
minecraft.crafted.crafting_table: #4, 461(8%)
minecraft.mined.acacia_wall_hanging_sign: #3, 3(18%)
minecraft.picked_up.hopper_minecart: #3, 61(5%)
minecraft.used.carved_pumpkin: #4, 54(8%)
minecraft.crafted.mud_brick_slab: #3, 236(6%)
minecraft.picked_up.ender_chest: #4, 1835(8%)
minecraft.dropped.red_sandstone_stairs: #2, 2(5%)
minecraft.crafted.green_candle: #2, 59(5%)
minecraft.crafted.honey_block: #2, 242(4%)
minecraft.used.lodestone: #3, 103(17%)
minecraft.picked_up.wither_skeleton_skull: #3, 42(6%)
minecraft.picked_up.stone_brick_stairs: #4, 454(9%)
minecraft.mined.crying_obsidian: #3, 84(7%)
minecraft.crafted.redstone_block: #4, 2991(9%)
minecraft.custom.damage_dealt: #4, 3469311(5%)
minecraft.picked_up.diorite: #4, 22532(8%)
minecraft.mined.birch_log: #4, 4273(9%)
minecraft.crafted.polished_diorite: #4, 684(10%)
minecraft.mined.cave_vines_plant: #4, 35(10%)
minecraft.crafted.jungle_trapdoor: #4, 588(11%)
minecraft.used.chiseled_sandstone: #3, 29(9%)
minecraft.crafted.warped_planks: #4, 3184(9%)
minecraft.crafted.orange_bed: #3, 6(12%)
minecraft.picked_up.dirt: #4, 171639(8%)
minecraft.crafted.red_nether_brick_slab: #2, 2(3%)
minecraft.used.mossy_cobblestone: #4, 899(9%)
minecraft.used.warped_button: #3, 17(7%)
minecraft.picked_up.blackstone: #4, 4790(8%)
minecraft.picked_up.dark_oak_planks: #4, 539(8%)
minecraft.used.mossy_cobblestone_stairs: #4, 70(13%)
minecraft.mined.deepslate_copper_ore: #4, 618(9%)
minecraft.crafted.exposed_copper_grate: #2, 4(5%)
minecraft.crafted.acacia_stairs: #4, 296(10%)
minecraft.picked_up.waxed_weathered_copper_trapdoor: #3, 25(9%)
minecraft.used.crimson_fence_gate: #3, 15(16%)
minecraft.custom.open_shulker_box: #5, 76398(8%)
minecraft.mined.waxed_copper_trapdoor: #3, 17(8%)
minecraft.mined.red_glazed_terracotta: #4, 46(16%)
minecraft.crafted.stone_bricks: #4, 12452(8%)
minecraft.mined.waxed_weathered_copper: #3, 71(9%)
minecraft.picked_up.amethyst_block: #4, 1408(9%)
minecraft.used.bread: #3, 511(5%)
minecraft.mined.weathered_copper_door: #2, 1(3%)
minecraft.picked_up.weathered_copper_door: #2, 1(3%)
minecraft.picked_up.purple_glazed_terracotta: #3, 14(15%)
minecraft.mined.snow_block: #4, 2452(9%)
minecraft.used.blast_furnace: #5, 350(13%)
minecraft.mined.oak_stairs: #4, 215(9%)
minecraft.used.stone: #4, 66068(8%)
minecraft.dropped.crimson_planks: #3, 22(13%)
minecraft.mined.cyan_stained_glass: #3, 67(7%)
minecraft.used.dispenser: #4, 418(8%)
minecraft.crafted.jungle_fence: #4, 435(10%)
minecraft.mined.stone_brick_stairs: #4, 249(9%)
minecraft.picked_up.orange_stained_glass_pane: #3, 53(7%)
minecraft.picked_up.lime_terracotta: #4, 357(13%)
minecraft.used.sticky_piston: #4, 761(8%)
minecraft.used.jungle_door: #3, 11(11%)
minecraft.used.resin_brick_slab: #2, 2(0%)
minecraft.crafted.blue_candle: #2, 1(0%)
minecraft.crafted.air: #2, 0(0%)
minecraft.used.jungle_fence: #4, 403(10%)
minecraft.used.stone_slab: #4, 5914(8%)
minecraft.picked_up.ender_pearl: #5, 29119(9%)
minecraft.mined.purple_concrete_powder: #3, 7(16%)
minecraft.used.lever: #4, 742(8%)
minecraft.mined.dried_ghast: #3, 19(10%)
minecraft.mined.copper_trapdoor: #4, 146(9%)
minecraft.picked_up.dead_horn_coral_fan: #3, 14(19%)
minecraft.picked_up.end_stone_brick_stairs: #3, 7(16%)
minecraft.picked_up.blaze_powder: #4, 39(11%)
minecraft.mined.mossy_cobblestone: #4, 325(8%)
minecraft.crafted.polished_basalt: #4, 1128(10%)
minecraft.used.chiseled_tuff_bricks: #4, 1388(8%)
minecraft.mined.jungle_planks: #4, 289(8%)
minecraft.crafted.red_glazed_terracotta: #3, 32(13%)
minecraft.picked_up.brick: #4, 1687(8%)
minecraft.mined.purple_glazed_terracotta: #3, 14(15%)
minecraft.used.crying_obsidian: #3, 845(6%)
minecraft.mined.waxed_weathered_copper_grate: #3, 26(7%)
minecraft.mined.mossy_cobblestone_stairs: #3, 10(7%)
minecraft.picked_up.bamboo_fence: #4, 172(10%)
minecraft.used.copper_bulb: #4, 93(11%)
minecraft.dropped.turtle_egg: #3, 8(13%)
minecraft.crafted.spruce_stairs: #4, 1096(8%)
minecraft.picked_up.golden_helmet: #4, 30(8%)
minecraft.mined.azalea: #4, 197(8%)
minecraft.mined.bamboo_slab: #4, 165(10%)
minecraft.mined.light_gray_wool: #4, 152(10%)
minecraft.crafted.waxed_oxidized_copper_trapdoor: #3, 90(13%)
minecraft.crafted.red_nether_brick_wall: #3, 49(13%)
minecraft.mined.terracotta: #4, 13014(8%)
minecraft.picked_up.deepslate_copper_ore: #3, 144(4%)
minecraft.used.waxed_weathered_chiseled_copper: #3, 99(10%)
minecraft.used.raw_copper_block: #4, 35(12%)
minecraft.mined.end_stone_brick_stairs: #3, 7(18%)
minecraft.crafted.white_glazed_terracotta: #3, 25(17%)
minecraft.used.lava_bucket: #4, 373(7%)
minecraft.used.nether_wart_block: #4, 483(16%)
minecraft.used.powered_rail: #4, 1865(7%)
minecraft.picked_up.gunpowder: #3, 5760(3%)
minecraft.mined.stone_slab: #4, 588(7%)
minecraft.crafted.blast_furnace: #5, 331(11%)
minecraft.crafted.spruce_wood: #4, 819(8%)
minecraft.picked_up.mangrove_button: #3, 5(8%)
minecraft.picked_up.wooden_axe: #3, 1(8%)
minecraft.dropped.white_stained_glass: #4, 62(13%)
minecraft.mined.azure_bluet: #4, 196(8%)
minecraft.picked_up.terracotta: #4, 13022(7%)
minecraft.mined.observer: #4, 654(7%)
minecraft.mined.white_stained_glass_pane: #4, 90(9%)
minecraft.mined.oak_planks: #4, 558(7%)
minecraft.crafted.writable_book: #4, 100(7%)
minecraft.picked_up.diorite_stairs: #3, 23(8%)
minecraft.crafted.resin_clump: #4, 2799(14%)
minecraft.crafted.deepslate_tiles: #4, 617(11%)
minecraft.picked_up.stone_sword: #4, 89(7%)
minecraft.crafted.mangrove_boat: #3, 2(11%)
minecraft.picked_up.warped_hyphae: #3, 30(8%)
minecraft.crafted.oak_stairs: #5, 456(13%)
minecraft.dropped.dead_bush: #3, 67(6%)
minecraft.used.stone_hoe: #3, 475(4%)
minecraft.crafted.sandstone: #4, 519(9%)
minecraft.used.nether_brick_wall: #3, 64(9%)
minecraft.mined.stone_bricks: #4, 2904(7%)
minecraft.mined.potted_red_mushroom: #3, 1(25%)
minecraft.used.green_stained_glass: #4, 518(10%)
minecraft.used.gray_bed: #3, 57(6%)
minecraft.used.ominous_trial_key: #4, 76(10%)
minecraft.picked_up.seagrass: #4, 444(9%)
minecraft.used.crimson_button: #3, 15(12%)
minecraft.used.magenta_glazed_terracotta: #3, 14(10%)
minecraft.mined.lapis_ore: #4, 357(7%)
minecraft.mined.cherry_trapdoor: #4, 38(9%)
minecraft.used.trident: #3, 841(4%)
minecraft.mined.smooth_stone_slab: #4, 657(7%)
minecraft.picked_up.bone_block: #3, 2028(3%)
minecraft.dropped.polished_tuff_stairs: #3, 13(8%)
minecraft.mined.yellow_stained_glass_pane: #3, 31(5%)
minecraft.crafted.soul_lantern: #4, 369(11%)
minecraft.used.black_carpet: #3, 1134(4%)
minecraft.picked_up.music_disc_blocks: #4, 10(15%)
minecraft.crafted.powered_rail: #4, 1392(7%)
minecraft.killed.skeleton: #4, 4208(7%)
minecraft.picked_up.tuff: #4, 21504(7%)
minecraft.used.nether_brick_fence: #4, 88(12%)
minecraft.mined.nether_gold_ore: #4, 304(8%)
minecraft.dropped.tuff_brick_stairs: #3, 56(11%)
minecraft.mined.redstone_wall_torch: #4, 96(7%)
minecraft.dropped.bolt_armor_trim_smithing_template: #3, 1(17%)
minecraft.mined.trapped_chest: #3, 2(11%)
minecraft.mined.open_eyeblossom: #3, 16(5%)
minecraft.killed.wither_skeleton: #3, 709(3%)
minecraft.mined.bamboo_mosaic: #4, 44(14%)
minecraft.mined.iron_block: #4, 2633(7%)
minecraft.mined.pink_wool: #3, 35(5%)
minecraft.mined.mud: #4, 16772(7%)
minecraft.mined.acacia_log: #4, 2875(7%)
minecraft.picked_up.trapped_chest: #3, 2(11%)
minecraft.picked_up.cobblestone: #4, 145325(6%)
minecraft.dropped.polished_tuff_slab: #4, 75(10%)
minecraft.crafted.soul_campfire: #3, 75(6%)
minecraft.used.anvil: #4, 288(6%)
minecraft.mined.lever: #4, 183(7%)
minecraft.mined.potted_fern: #3, 1(12%)
minecraft.picked_up.magenta_concrete: #4, 498(11%)
minecraft.crafted.enchanting_table: #4, 3(8%)
minecraft.picked_up.mud_brick_slab: #4, 123(9%)
minecraft.used.diamond_shovel: #4, 265996(6%)
minecraft.mined.waxed_weathered_cut_copper_slab: #3, 13(5%)
minecraft.mined.stripped_acacia_log: #3, 267(3%)
minecraft.dropped.pink_dye: #4, 25(8%)
minecraft.picked_up.open_eyeblossom: #3, 16(4%)
minecraft.used.exposed_copper_grate: #3, 20(8%)
minecraft.crafted.torch: #4, 8128(6%)
minecraft.crafted.acacia_button: #3, 23(4%)
minecraft.picked_up.waxed_weathered_cut_copper_slab: #3, 13(5%)
minecraft.picked_up.copper_trapdoor: #4, 146(7%)
minecraft.picked_up.redstone_torch: #4, 617(6%)
minecraft.picked_up.stripped_acacia_log: #3, 263(3%)
minecraft.used.mangrove_slab: #4, 846(7%)
minecraft.dropped.wheat_seeds: #4, 11112(6%)
minecraft.crafted.resin_brick_slab: #3, 24(14%)
minecraft.used.orange_shulker_box: #4, 362(7%)
minecraft.picked_up.green_wool: #4, 1993(6%)
minecraft.mined.diorite_stairs: #4, 25(14%)
minecraft.used.chiseled_bookshelf: #4, 162(7%)
minecraft.picked_up.spire_armor_trim_smithing_template: #3, 2(8%)
minecraft.picked_up.bamboo_fence_gate: #3, 51(4%)
minecraft.picked_up.cauldron: #4, 26(6%)
minecraft.mined.bricks: #4, 321(6%)
minecraft.picked_up.gray_concrete_powder: #4, 1695(9%)
minecraft.dropped.slime_ball: #4, 954(7%)
minecraft.picked_up.light_blue_carpet: #3, 123(4%)
minecraft.used.trapped_chest: #3, 4(6%)
minecraft.picked_up.flow_banner_pattern: #4, 14(9%)
minecraft.picked_up.furnace_minecart: #3, 9(5%)
minecraft.used.deepslate_copper_ore: #3, 80(3%)
minecraft.mined.dead_horn_coral_fan: #3, 8(12%)
minecraft.dropped.horn_coral: #3, 1(10%)
minecraft.picked_up.acacia_door: #3, 2(7%)
minecraft.picked_up.smooth_sandstone_stairs: #4, 82(12%)
minecraft.crafted.dispenser: #4, 105(6%)
minecraft.used.polished_andesite_slab: #4, 568(9%)
minecraft.picked_up.redstone_lamp: #4, 101(7%)
minecraft.dropped.vine: #3, 10(4%)
minecraft.mined.light_blue_carpet: #3, 120(4%)
minecraft.mined.resin_brick_wall: #3, 8(12%)
minecraft.crafted.mud_brick_wall: #4, 234(8%)
minecraft.picked_up.dark_oak_wood: #4, 40(9%)
minecraft.used.pink_dye: #3, 7(4%)
minecraft.used.end_stone_brick_stairs: #3, 7(6%)
minecraft.used.redstone: #5, 8215(10%)
minecraft.picked_up.flow_pottery_sherd: #4, 35(9%)
minecraft.used.cherry_door: #3, 1(11%)
minecraft.crafted.cut_sandstone: #4, 381(12%)
minecraft.used.stripped_acacia_log: #3, 213(3%)
minecraft.used.dead_horn_coral_fan: #3, 6(11%)
minecraft.picked_up.resin_brick_wall: #3, 8(9%)
minecraft.mined.crimson_stairs: #3, 53(6%)
minecraft.killed.witch: #5, 41029(10%)
minecraft.used.calcite: #4, 1015(6%)
minecraft.picked_up.granite_slab: #4, 57(11%)
minecraft.picked_up.black_bed: #4, 59(9%)
minecraft.mined.magenta_concrete_powder: #3, 4(8%)
minecraft.mined.dandelion: #4, 398(6%)
minecraft.picked_up.stone_bricks: #4, 2535(5%)
minecraft.picked_up.red_tulip: #4, 517(6%)
minecraft.picked_up.red_nether_brick_slab: #3, 3(13%)
minecraft.mined.mossy_stone_brick_wall: #3, 1(6%)
minecraft.used.black_stained_glass: #4, 2844(6%)
minecraft.used.warped_slab: #4, 629(8%)
minecraft.dropped.cut_red_sandstone: #3, 7(9%)
minecraft.used.andesite_wall: #4, 502(8%)
minecraft.used.pale_oak_log: #4, 735(7%)
minecraft.dropped.cobblestone_stairs: #4, 27(14%)
minecraft.used.golden_carrot: #5, 5299(6%)
minecraft.used.basalt: #4, 1201(6%)
minecraft.picked_up.brown_stained_glass: #3, 57(4%)
minecraft.picked_up.bubble_coral_block: #4, 220(10%)
minecraft.picked_up.firefly_bush: #4, 229(8%)
minecraft.picked_up.tuff_brick_stairs: #4, 147(6%)
minecraft.used.repeater: #5, 1990(9%)
minecraft.broken.stone_hoe: #3, 2(3%)
minecraft.crafted.red_stained_glass_pane: #4, 368(10%)
minecraft.dropped.light_blue_terracotta: #3, 7(4%)
minecraft.crafted.polished_diorite_stairs: #4, 24(13%)
minecraft.picked_up.tuff_bricks: #5, 2979(9%)
minecraft.picked_up.stripped_crimson_hyphae: #3, 22(3%)
minecraft.mined.smooth_sandstone_slab: #4, 58(8%)
minecraft.mined.andesite_stairs: #4, 23(7%)
minecraft.dropped.light_gray_shulker_box: #3, 1(4%)
minecraft.mined.black_bed: #4, 58(9%)
minecraft.dropped.magenta_concrete_powder: #3, 1(5%)
minecraft.crafted.gray_terracotta: #4, 656(8%)
minecraft.mined.stripped_crimson_hyphae: #3, 23(3%)
minecraft.used.acacia_log: #5, 1753(10%)
minecraft.crafted.blue_terracotta: #4, 664(7%)
minecraft.mined.cave_vines: #5, 80(10%)
minecraft.picked_up.green_carpet: #3, 130(1%)
minecraft.crafted.purpur_slab: #3, 6(7%)
minecraft.used.terracotta: #4, 2380(6%)
minecraft.mined.lily_of_the_valley: #4, 66(8%)
minecraft.custom.sneak_time: #6, 7216292(6%)
minecraft.used.resin_brick_wall: #3, 43(5%)
minecraft.mined.birch_fence: #4, 69(7%)
minecraft.killed.enderman: #4, 49148(5%)
minecraft.picked_up.stripped_oak_log: #5, 761(9%)
minecraft.picked_up.pointed_dripstone: #4, 1696(5%)
minecraft.picked_up.acacia_leaves: #4, 1229(7%)
minecraft.picked_up.golden_apple: #5, 84(9%)
minecraft.mined.honey_block: #4, 364(5%)
minecraft.used.beehive: #4, 676(7%)
minecraft.picked_up.mossy_stone_brick_wall: #3, 1(3%)
minecraft.picked_up.brown_mushroom: #4, 518(5%)
minecraft.used.dark_oak_button: #3, 39(1%)
minecraft.crafted.oak_chest_boat: #3, 1(4%)
minecraft.used.netherite_sword: #4, 57045(9%)
minecraft.picked_up.oak_chest_boat: #3, 1(3%)
minecraft.crafted.armor_stand: #4, 424(5%)
minecraft.used.brown_concrete_powder: #4, 438(6%)
minecraft.crafted.purpur_stairs: #3, 6(5%)
minecraft.crafted.lime_bed: #4, 74(10%)
minecraft.used.chiseled_resin_bricks: #3, 5(5%)
minecraft.dropped.deepslate_diamond_ore: #4, 40(7%)
minecraft.mined.chiseled_resin_bricks: #3, 2(5%)
minecraft.used.mud_brick_wall: #4, 667(6%)
minecraft.mined.mangrove_pressure_plate: #3, 1(6%)
minecraft.picked_up.glowstone_dust: #5, 1442(9%)
minecraft.crafted.popped_chorus_fruit: #4, 164(9%)
minecraft.used.bamboo_slab: #5, 1380(11%)
minecraft.dropped.lime_bed: #3, 4(4%)
minecraft.used.chiseled_nether_bricks: #3, 2(5%)
minecraft.used.pink_glazed_terracotta: #3, 14(3%)
minecraft.dropped.leather_helmet: #5, 20(8%)
minecraft.dropped.lime_wool: #4, 64(10%)
minecraft.used.honeycomb_block: #3, 167(1%)
minecraft.crafted.soul_torch: #4, 384(8%)
minecraft.crafted.polished_granite_slab: #4, 32(14%)
minecraft.mined.cut_red_sandstone: #3, 39(2%)
minecraft.mined.chiseled_red_sandstone: #3, 4(3%)
minecraft.mined.sunflower: #5, 465(9%)
minecraft.picked_up.gold_ore: #4, 90(5%)
minecraft.dropped.ochre_froglight: #3, 128(1%)
minecraft.crafted.end_stone_brick_slab: #3, 12(2%)
minecraft.picked_up.brick_stairs: #4, 30(7%)
minecraft.dropped.end_stone: #4, 109(7%)
minecraft.used.lime_candle: #3, 2(4%)
minecraft.crafted.end_stone_bricks: #4, 106(12%)
minecraft.dropped.decorated_pot: #5, 54(13%)
minecraft.crafted.firework_star: #3, 448(1%)
minecraft.crafted.tipped_arrow: #3, 5(3%)
minecraft.used.mangrove_wood: #4, 370(6%)
minecraft.mined.basalt: #4, 4069(4%)
minecraft.picked_up.brown_concrete: #4, 154(7%)
minecraft.mined.deepslate_coal_ore: #4, 27(7%)
minecraft.picked_up.mace: #5, 24(9%)
minecraft.mined.obsidian: #5, 1496(8%)
minecraft.used.red_nether_brick_slab: #3, 3(2%)
minecraft.mined.red_concrete: #4, 560(5%)
minecraft.crafted.end_stone_brick_wall: #3, 4(2%)
minecraft.used.green_wool: #5, 1087(9%)
minecraft.killed.axolotl: #3, 1(1%)
minecraft.used.chiseled_red_sandstone: #3, 6(1%)
minecraft.crafted.brown_glazed_terracotta: #3, 1(2%)
minecraft.picked_up.yellow_stained_glass: #4, 105(9%)
minecraft.dropped.resin_block: #4, 128(13%)
minecraft.picked_up.end_stone_brick_slab: #3, 2(1%)
minecraft.used.birch_button: #4, 15(5%)
minecraft.crafted.netherite_sword: #4, 2(10%)
minecraft.crafted.cyan_candle: #3, 8(1%)
minecraft.dropped.honeycomb_block: #3, 11(1%)
minecraft.crafted.smooth_quartz_stairs: #4, 61(7%)
minecraft.mined.polished_granite_stairs: #4, 56(15%)
minecraft.picked_up.polished_granite_stairs: #4, 55(15%)
minecraft.picked_up.waxed_copper_trapdoor: #4, 17(7%)
minecraft.dropped.acacia_leaves: #4, 91(7%)
minecraft.used.brown_stained_glass: #4, 473(10%)
minecraft.dropped.andesite: #5, 2104(8%)
minecraft.dropped.red_mushroom: #4, 11(5%)
minecraft.crafted.orange_candle: #3, 3(0%)
minecraft.used.writable_book: #5, 531(7%)
minecraft.used.dirt: #5, 67560(8%)
minecraft.picked_up.closed_eyeblossom: #4, 112(7%)
minecraft.crafted.light_blue_candle: #3, 5(0%)
minecraft.mined.sticky_piston: #5, 245(8%)
minecraft.crafted.magenta_candle: #3, 1(0%)
minecraft.dropped.magenta_concrete: #3, 1(0%)
minecraft.used.orange_bed: #4, 12(6%)
minecraft.mined.pale_oak_sapling: #4, 17(7%)
minecraft.dropped.trial_key: #4, 17(7%)
minecraft.picked_up.netherite_leggings: #5, 34(8%)
minecraft.crafted.bamboo_stairs: #4, 160(5%)
minecraft.used.waxed_oxidized_copper: #5, 878(9%)
minecraft.crafted.sugar: #4, 523(4%)
minecraft.picked_up.diamond_horse_armor: #4, 3(10%)
minecraft.crafted.stone: #5, 1110(8%)
minecraft.picked_up.pale_oak_sign: #4, 13(6%)
minecraft.picked_up.birch_log: #5, 4466(7%)
minecraft.crafted.iron_helmet: #5, 12(8%)
minecraft.mined.pumpkin: #5, 3211(8%)
minecraft.used.melon_seeds: #5, 123(8%)
minecraft.crafted.bamboo_mosaic: #4, 230(7%)
minecraft.used.waxed_exposed_chiseled_copper: #4, 68(7%)
minecraft.crafted.mangrove_planks: #5, 4712(8%)
minecraft.mined.granite: #5, 19231(8%)
minecraft.picked_up.crimson_slab: #4, 40(8%)
minecraft.picked_up.waxed_weathered_copper_grate: #4, 26(7%)
minecraft.broken.golden_helmet: #4, 3(12%)
minecraft.mined.lime_terracotta: #4, 118(6%)
minecraft.picked_up.acacia_fence_gate: #4, 11(8%)
minecraft.dropped.shulker_box: #4, 93(4%)
minecraft.picked_up.mud_brick_wall: #5, 141(11%)
minecraft.mined.stripped_oak_log: #5, 659(8%)
minecraft.dropped.glowstone_dust: #4, 235(6%)
minecraft.used.azalea: #5, 311(9%)
minecraft.used.mangrove_leaves: #5, 2211(10%)
minecraft.mined.pointed_dripstone: #5, 522(8%)
minecraft.dropped.acacia_sapling: #5, 86(11%)
minecraft.used.chiseled_tuff: #4, 339(4%)
minecraft.crafted.green_shulker_box: #5, 29(11%)
minecraft.mined.orange_stained_glass: #4, 75(6%)
minecraft.used.detector_rail: #5, 54(9%)
minecraft.used.observer: #5, 2244(7%)
minecraft.mined.stripped_jungle_wood: #4, 98(5%)
minecraft.crafted.mossy_stone_bricks: #4, 979(5%)
minecraft.used.acacia_slab: #4, 252(5%)
minecraft.picked_up.waxed_oxidized_copper_door: #4, 4(10%)
minecraft.crafted.brown_stained_glass: #4, 680(8%)
minecraft.mined.spruce_wall_sign: #5, 40(7%)
minecraft.crafted.jungle_door: #4, 12(8%)
minecraft.used.polished_deepslate_stairs: #5, 659(9%)
minecraft.used.bricks: #5, 1321(8%)
minecraft.used.pink_petals: #5, 1193(8%)
minecraft.picked_up.stripped_jungle_wood: #4, 98(5%)
minecraft.used.hanging_roots: #4, 23(7%)
minecraft.used.diamond_ore: #4, 5(9%)
minecraft.used.red_stained_glass: #4, 765(6%)
minecraft.picked_up.bundle: #5, 29(6%)
minecraft.picked_up.lingering_potion: #4, 7(13%)
minecraft.mined.purpur_pillar: #4, 76(4%)
minecraft.picked_up.bamboo_door: #4, 26(5%)
minecraft.picked_up.deepslate_brick_wall: #5, 127(11%)
minecraft.used.brown_stained_glass_pane: #4, 107(8%)
minecraft.mined.blue_wool: #4, 48(6%)
minecraft.mined.jukebox: #5, 32(7%)
minecraft.mined.jungle_wood: #4, 56(8%)
minecraft.crafted.mangrove_wood: #4, 309(4%)
minecraft.crafted.pale_oak_hanging_sign: #4, 6(11%)
minecraft.mined.redstone_wire: #5, 1224(7%)
minecraft.used.acacia_door: #4, 6(10%)
minecraft.mined.andesite: #5, 19152(7%)
minecraft.crafted.oxidized_copper_trapdoor: #5, 116(11%)
minecraft.mined.short_grass: #5, 8026(6%)
minecraft.picked_up.gray_terracotta: #4, 79(4%)
minecraft.picked_up.redstone_ore: #4, 79(4%)
minecraft.used.mossy_stone_brick_wall: #4, 7(6%)
minecraft.killed.bogged: #4, 145(5%)
minecraft.picked_up.exposed_copper_door: #4, 2(12%)
minecraft.mined.cyan_concrete_powder: #4, 12(6%)
minecraft.picked_up.obsidian: #5, 1571(7%)
minecraft.mined.diamond_ore: #5, 21(9%)
minecraft.crafted.brown_concrete_powder: #4, 440(4%)
minecraft.used.lime_carpet: #4, 394(7%)
minecraft.picked_up.lime_bed: #4, 15(4%)
minecraft.mined.lantern: #5, 110(7%)
minecraft.custom.inspect_hopper: #5, 5323(7%)
minecraft.crafted.minecart: #5, 272(7%)
minecraft.picked_up.orange_tulip: #4, 244(3%)
minecraft.used.acacia_planks: #4, 411(4%)
minecraft.crafted.tuff_brick_stairs: #4, 64(4%)
minecraft.crafted.yellow_stained_glass_pane: #4, 480(6%)
minecraft.mined.dispenser: #5, 128(7%)
minecraft.mined.allium: #5, 124(9%)
minecraft.used.spruce_trapdoor: #5, 3961(7%)
minecraft.dropped.note_block: #4, 10(4%)
minecraft.crafted.light_blue_glazed_terracotta: #4, 19(9%)
minecraft.mined.green_carpet: #5, 65(8%)
minecraft.picked_up.cyan_stained_glass: #4, 67(6%)
minecraft.used.diorite: #4, 1409(3%)
minecraft.used.oak_sign: #5, 162(6%)
minecraft.mined.brown_candle: #4, 9(8%)
minecraft.dropped.red_tulip: #5, 62(9%)
minecraft.dropped.purple_bundle: #4, 1(17%)
minecraft.dropped.allium: #4, 11(4%)
minecraft.mined.cobblestone_stairs: #4, 86(3%)
minecraft.crafted.decorated_pot: #4, 295(3%)
minecraft.used.azalea_leaves: #5, 6355(8%)
minecraft.crafted.observer: #5, 1581(8%)
minecraft.picked_up.deepslate_coal_ore: #4, 25(5%)
minecraft.dropped.magma_cream: #4, 14(5%)
minecraft.used.sandstone_slab: #4, 276(8%)
minecraft.dropped.music_disc_otherside: #4, 1(9%)
minecraft.used.chest: #5, 2452(7%)
minecraft.mined.yellow_candle: #4, 2(11%)
minecraft.picked_up.diamond_ore: #5, 18(9%)
minecraft.used.polished_granite_stairs: #4, 84(6%)
minecraft.picked_up.mangrove_stairs: #5, 94(8%)
minecraft.mined.soul_torch: #4, 3(10%)
minecraft.picked_up.observer: #5, 735(6%)
minecraft.crafted.cyan_shulker_box: #5, 12(8%)
minecraft.picked_up.oak_hanging_sign: #4, 8(4%)
minecraft.used.tuff_brick_slab: #5, 708(7%)
minecraft.used.horn_coral_fan: #4, 26(6%)
minecraft.mined.beehive: #4, 131(3%)
minecraft.used.polished_diorite_slab: #4, 82(5%)
