stat, rank, value, (percentage) 
minecraft.used.pink_stained_glass: #3, 243(8%)
minecraft.mined.white_shulker_box: #4, 546(8%)
minecraft.mined.magenta_shulker_box: #4, 192(11%)
minecraft.picked_up.gray_shulker_box: #4, 504(9%)
minecraft.dropped.acacia_sapling: #4, 93(12%)
minecraft.picked_up.magenta_shulker_box: #4, 192(11%)
minecraft.used.magenta_shulker_box: #4, 192(11%)
minecraft.picked_up.spruce_door: #4, 22(9%)
minecraft.picked_up.dark_oak_sign: #3, 32(5%)
minecraft.dropped.crafting_table: #4, 36(9%)
minecraft.broken.leather_leggings: #3, 1(25%)
minecraft.picked_up.waxed_weathered_copper_grate: #3, 28(7%)
minecraft.mined.dark_oak_sign: #3, 2(17%)
minecraft.mined.exposed_copper: #4, 263(10%)
minecraft.picked_up.waxed_weathered_cut_copper_stairs: #4, 21(15%)
minecraft.picked_up.acacia_sapling: #3, 851(4%)
minecraft.crafted.gray_stained_glass_pane: #4, 864(13%)
minecraft.used.brain_coral_fan: #3, 27(6%)
minecraft.picked_up.oak_fence: #4, 395(8%)
minecraft.dropped.golden_leggings: #4, 21(9%)
minecraft.custom.crouch_one_cm: #5, 39683916(7%)
minecraft.picked_up.mangrove_leaves: #4, 8993(8%)
minecraft.dropped.lime_dye: #4, 31(11%)
minecraft.mined.white_wall_banner: #4, 31(9%)
minecraft.used.white_glazed_terracotta: #3, 31(18%)
minecraft.mined.lime_carpet: #3, 46(8%)
minecraft.used.cornflower: #4, 15(10%)
minecraft.picked_up.diorite_slab: #3, 50(5%)
minecraft.used.red_tulip: #4, 19(15%)
minecraft.mined.pink_shulker_box: #4, 258(8%)
minecraft.used.stone_button: #4, 590(8%)
minecraft.used.firefly_bush: #4, 157(11%)
minecraft.picked_up.andesite_slab: #4, 169(8%)
minecraft.picked_up.pink_shulker_box: #4, 259(8%)
minecraft.picked_up.waxed_weathered_chiseled_copper: #3, 11(10%)
minecraft.used.painting: #4, 413(8%)
minecraft.picked_up.warped_wart_block: #4, 2148(8%)
minecraft.broken.leather_helmet: #3, 1(20%)
minecraft.picked_up.warped_fungus: #4, 853(8%)
minecraft.picked_up.green_terracotta: #4, 158(10%)
minecraft.crafted.exposed_cut_copper: #3, 4(25%)
minecraft.dropped.blue_bed: #3, 1(25%)
minecraft.picked_up.green_bundle: #3, 1(25%)
minecraft.picked_up.bone: #4, 7416(7%)
minecraft.used.light_gray_banner: #3, 27(7%)
minecraft.dropped.ghast_tear: #3, 30(4%)
minecraft.picked_up.jungle_sapling: #3, 351(3%)
minecraft.dropped.brown_mushroom_block: #3, 457(5%)
minecraft.dropped.golden_helmet: #4, 17(7%)
minecraft.used.tuff_brick_wall: #4, 177(8%)
minecraft.picked_up.painting: #4, 325(7%)
minecraft.picked_up.lightning_rod: #4, 170(8%)
minecraft.dropped.bush: #3, 1(17%)
minecraft.used.brick_slab: #3, 127(4%)
minecraft.mined.light_gray_glazed_terracotta: #3, 33(8%)
minecraft.crafted.crossbow: #3, 7(8%)
minecraft.crafted.spruce_sign: #4, 477(7%)
minecraft.used.pink_stained_glass_pane: #3, 160(8%)
minecraft.mined.waxed_weathered_chiseled_copper: #3, 10(9%)
minecraft.mined.cherry_hanging_sign: #3, 2(12%)
minecraft.used.warped_fence_gate: #4, 57(12%)
minecraft.picked_up.brown_wool: #4, 366(7%)
minecraft.dropped.bone_meal: #4, 5840(6%)
minecraft.used.polished_granite_slab: #3, 173(7%)
minecraft.mined.diorite_slab: #4, 47(10%)
minecraft.crafted.chainmail_leggings: #3, 7(15%)
minecraft.dropped.diamond_hoe: #4, 4(8%)
minecraft.mined.dead_fire_coral_block: #3, 39(6%)
minecraft.mined.oak_door: #4, 14(9%)
minecraft.dropped.red_stained_glass_pane: #3, 3(11%)
minecraft.used.waxed_exposed_cut_copper_slab: #4, 86(13%)
minecraft.used.spruce_log: #4, 2702(6%)
minecraft.dropped.bamboo_block: #3, 790(3%)
minecraft.dropped.egg: #4, 374(6%)
minecraft.used.dead_fire_coral_block: #3, 39(6%)
minecraft.crafted.pale_oak_fence_gate: #3, 38(5%)
minecraft.dropped.birch_sapling: #4, 53(7%)
minecraft.mined.spruce_leaves: #4, 4742(6%)
minecraft.crafted.pale_oak_button: #3, 67(4%)
minecraft.crafted.oak_door: #4, 24(7%)
minecraft.picked_up.white_glazed_terracotta: #3, 8(8%)
minecraft.crafted.spruce_fence_gate: #4, 393(6%)
minecraft.used.smoker: #4, 32(7%)
minecraft.crafted.warped_sign: #4, 84(9%)
minecraft.crafted.stone_button: #4, 526(6%)
minecraft.dropped.black_carpet: #3, 16(6%)
minecraft.used.magenta_stained_glass: #3, 120(3%)
minecraft.mined.white_candle: #3, 33(5%)
minecraft.used.prismarine_wall: #3, 256(4%)
minecraft.mined.white_glazed_terracotta: #3, 8(8%)
minecraft.picked_up.dead_fire_coral_block: #3, 43(4%)
minecraft.picked_up.bamboo_hanging_sign: #4, 14(13%)
minecraft.crafted.cherry_fence_gate: #3, 8(4%)
minecraft.picked_up.birch_sapling: #4, 851(6%)
minecraft.mined.mossy_stone_brick_slab: #4, 11(11%)
minecraft.crafted.weathered_copper_grate: #3, 12(9%)
minecraft.picked_up.mossy_stone_brick_slab: #4, 27(9%)
minecraft.dropped.chainmail_helmet: #4, 7(10%)
minecraft.mined.pearlescent_froglight: #4, 350(7%)
minecraft.picked_up.birch_wood: #3, 7(6%)
minecraft.mined.birch_wood: #3, 7(5%)
minecraft.crafted.magenta_wool: #3, 32(3%)
minecraft.used.cherry_fence_gate: #3, 8(5%)
minecraft.dropped.leather_leggings: #5, 26(8%)
minecraft.crafted.chainmail_boots: #3, 3(8%)
minecraft.crafted.bamboo_hanging_sign: #4, 18(10%)
minecraft.crafted.smooth_sandstone: #4, 671(8%)
minecraft.used.andesite: #4, 4836(5%)
minecraft.mined.spruce_button: #3, 28(2%)
minecraft.picked_up.polished_diorite: #5, 143(10%)
minecraft.mined.crimson_fence: #3, 6(3%)
minecraft.used.mangrove_door: #4, 11(8%)
minecraft.dropped.detector_rail: #3, 4(3%)
minecraft.dropped.bamboo: #5, 5882(9%)
minecraft.used.cobblestone_slab: #5, 2458(10%)
minecraft.killed_by.silverfish: #4, 7(11%)
minecraft.dropped.chainmail_leggings: #4, 6(7%)
minecraft.dropped.polished_basalt: #4, 25(11%)
minecraft.dropped.deepslate_tile_wall: #4, 64(13%)
minecraft.used.stripped_crimson_stem: #3, 19(2%)
minecraft.used.brain_coral_block: #4, 108(9%)
minecraft.custom.horse_one_cm: #4, 35190276(4%)
minecraft.picked_up.waxed_exposed_copper_grate: #4, 57(17%)
minecraft.dropped.cocoa_beans: #4, 58(6%)
minecraft.dropped.mangrove_leaves: #4, 455(7%)
minecraft.picked_up.gray_wool: #4, 1457(5%)
minecraft.dropped.black_terracotta: #3, 4(2%)
minecraft.crafted.white_candle: #3, 73(2%)
minecraft.used.muddy_mangrove_roots: #4, 498(6%)
minecraft.used.prismarine_brick_stairs: #3, 58(1%)
minecraft.dropped.rail: #4, 140(5%)
minecraft.mined.smooth_red_sandstone_slab: #4, 39(12%)
minecraft.crafted.birch_trapdoor: #5, 160(9%)
minecraft.mined.pink_glazed_terracotta: #3, 1(1%)
minecraft.picked_up.pink_glazed_terracotta: #3, 1(1%)
minecraft.crafted.magma_cream: #3, 8(1%)
minecraft.crafted.waxed_weathered_cut_copper_stairs: #4, 46(13%)
minecraft.used.exposed_cut_copper_slab: #4, 18(13%)
minecraft.crafted.waxed_exposed_copper_bulb: #3, 4(1%)
minecraft.mined.birch_log: #5, 4030(8%)
minecraft.picked_up.leather_helmet: #5, 22(7%)
minecraft.mined.polished_diorite_slab: #4, 10(10%)
minecraft.broken.diamond_pickaxe: #4, 2(8%)
minecraft.picked_up.white_shulker_box: #5, 550(7%)
minecraft.picked_up.azure_bluet: #4, 653(4%)
minecraft.dropped.rose_bush: #4, 48(6%)
minecraft.picked_up.enchanting_table: #4, 4(7%)
minecraft.dropped.calcite: #5, 166(11%)
minecraft.crafted.stripped_spruce_wood: #4, 75(7%)
minecraft.picked_up.spruce_slab: #5, 1183(7%)
minecraft.picked_up.iron_hoe: #4, 3(7%)
minecraft.picked_up.stone_slab: #5, 1080(7%)
minecraft.used.shears: #5, 17315(8%)
minecraft.used.flowering_azalea: #5, 136(9%)
minecraft.used.chiseled_tuff_bricks: #5, 1356(8%)
minecraft.picked_up.scaffolding: #5, 14327(7%)
minecraft.dropped.writable_book: #4, 17(3%)
minecraft.mined.waxed_weathered_copper_grate: #4, 25(6%)
minecraft.mined.deepslate_tile_wall: #4, 46(5%)
minecraft.dropped.nether_brick_fence: #4, 16(10%)
minecraft.mined.exposed_copper_door: #4, 2(14%)
minecraft.broken.flint_and_steel: #4, 4(9%)
minecraft.used.light_blue_stained_glass_pane: #4, 165(5%)
minecraft.picked_up.smooth_red_sandstone_slab: #4, 39(8%)
minecraft.used.light_gray_dye: #4, 6(8%)
minecraft.mined.birch_wall_hanging_sign: #4, 1(17%)
minecraft.dropped.oak_log: #5, 725(8%)
minecraft.picked_up.chest_minecart: #4, 28(5%)
minecraft.mined.acacia_wall_hanging_sign: #4, 2(12%)
minecraft.crafted.muddy_mangrove_roots: #4, 449(8%)
minecraft.used.chiseled_stone_bricks: #4, 132(5%)
minecraft.mined.azure_bluet: #5, 191(7%)
minecraft.crafted.warped_button: #4, 12(5%)
minecraft.used.oxidized_copper_trapdoor: #5, 458(9%)
minecraft.used.lodestone: #4, 66(11%)
minecraft.mined.deepslate_brick_wall: #4, 20(5%)
minecraft.dropped.gray_carpet: #4, 28(6%)
minecraft.used.pink_shulker_box: #5, 258(8%)
minecraft.used.furnace: #5, 362(7%)
minecraft.used.white_wool: #5, 1295(7%)
minecraft.used.azure_bluet: #4, 41(5%)
minecraft.picked_up.bow: #5, 322(6%)
minecraft.picked_up.light_gray_glazed_terracotta: #4, 33(8%)
minecraft.used.leaf_litter: #4, 431(4%)
minecraft.mined.polished_blackstone_wall: #4, 11(7%)
minecraft.used.birch_sapling: #4, 635(4%)
minecraft.mined.mangrove_wall_hanging_sign: #4, 1(8%)
minecraft.crafted.stone_hoe: #4, 8(4%)
minecraft.picked_up.rabbit_foot: #4, 2(5%)
minecraft.dropped.trident: #5, 13(9%)
minecraft.mined.purple_shulker_box: #5, 231(7%)
minecraft.dropped.cobblestone_wall: #4, 22(5%)
minecraft.picked_up.purple_shulker_box: #5, 232(7%)
minecraft.mined.polished_basalt: #5, 113(9%)
minecraft.mined.prismarine: #4, 398(4%)
minecraft.crafted.orange_glazed_terracotta: #4, 15(10%)
minecraft.mined.birch_hanging_sign: #4, 3(12%)
minecraft.picked_up.prismarine_bricks: #4, 882(3%)
minecraft.mined.mud: #5, 16522(6%)
minecraft.picked_up.wildflowers: #4, 269(4%)
minecraft.crafted.waxed_exposed_chiseled_copper: #4, 19(5%)
minecraft.mined.stripped_mangrove_log: #4, 298(2%)
minecraft.picked_up.stripped_mangrove_log: #4, 297(2%)
minecraft.picked_up.music_disc_stal: #4, 5(12%)
minecraft.dropped.stripped_cherry_log: #4, 3(10%)
minecraft.used.brown_glazed_terracotta: #4, 22(14%)
minecraft.crafted.oak_trapdoor: #5, 360(6%)
minecraft.dropped.warped_roots: #4, 89(4%)
minecraft.killed.cave_spider: #5, 5415(7%)
minecraft.mined.white_stained_glass_pane: #5, 78(8%)
minecraft.used.mossy_cobblestone_stairs: #5, 51(10%)
minecraft.mined.waxed_exposed_copper_grate: #4, 23(8%)
minecraft.dropped.white_tulip: #4, 17(4%)
minecraft.crafted.lodestone: #4, 68(6%)
minecraft.crafted.iron_bars: #5, 2064(6%)
minecraft.crafted.andesite_wall: #4, 90(3%)
minecraft.picked_up.white_candle: #4, 41(5%)
minecraft.mined.lime_glazed_terracotta: #4, 5(12%)
minecraft.crafted.warped_fence_gate: #5, 56(10%)
minecraft.used.stripped_oak_log: #5, 295(8%)
minecraft.mined.oxidized_copper_grate: #4, 46(2%)
minecraft.mined.light_gray_wall_banner: #4, 3(9%)
minecraft.crafted.bamboo_door: #5, 69(9%)
minecraft.used.oak_log: #5, 1105(6%)
minecraft.mined.smoker: #5, 9(8%)
minecraft.used.spore_blossom: #4, 9(3%)
minecraft.used.stripped_mangrove_log: #4, 272(3%)
minecraft.dropped.black_wool: #4, 60(3%)
minecraft.used.spider_eye: #4, 3(9%)
minecraft.mined.waxed_weathered_cut_copper_stairs: #5, 18(13%)
minecraft.used.cherry_hanging_sign: #4, 5(8%)
minecraft.picked_up.skull_pottery_sherd: #4, 3(6%)
minecraft.picked_up.polished_basalt: #5, 141(7%)
minecraft.mined.cactus: #5, 134(6%)
minecraft.crafted.smooth_stone: #5, 1994(6%)
minecraft.picked_up.cherry_log: #5, 1854(6%)
minecraft.picked_up.tuff: #5, 17465(5%)
minecraft.picked_up.bamboo_mosaic_slab: #4, 10(5%)
minecraft.mined.weathered_copper: #5, 276(7%)
minecraft.dropped.bucket: #5, 113(5%)
minecraft.mined.raw_copper_block: #5, 15(7%)
minecraft.dropped.lime_shulker_box: #4, 1(3%)
minecraft.picked_up.stone_stairs: #5, 135(5%)
minecraft.picked_up.waxed_exposed_copper_bulb: #5, 20(8%)
minecraft.crafted.cauldron: #5, 101(5%)
minecraft.used.tuff_stairs: #5, 143(9%)
minecraft.used.smooth_stone_slab: #5, 3063(5%)
minecraft.picked_up.red_wool: #5, 352(5%)
minecraft.used.yellow_stained_glass_pane: #4, 164(2%)
minecraft.mined.prismarine_brick_slab: #4, 15(4%)
minecraft.used.lime_glazed_terracotta: #4, 15(6%)
minecraft.mined.grass_block: #5, 81194(5%)
minecraft.mined.birch_planks: #5, 202(5%)
minecraft.mined.birch_sign: #5, 8(6%)
minecraft.mined.birch_fence: #5, 67(6%)
minecraft.picked_up.chicken: #5, 428(5%)
minecraft.mined.exposed_copper_trapdoor: #5, 91(7%)
minecraft.picked_up.exposed_copper_trapdoor: #5, 91(7%)
minecraft.custom.use_cauldron: #5, 393(5%)
minecraft.picked_up.lime_carpet: #4, 45(1%)
minecraft.used.brown_dye: #5, 18(6%)
minecraft.dropped.loom: #4, 1(2%)
minecraft.dropped.green_terracotta: #4, 1(3%)
minecraft.used.deepslate_coal_ore: #4, 1(3%)
minecraft.picked_up.weathered_copper: #4, 370(1%)
minecraft.dropped.compass: #5, 10(8%)
minecraft.dropped.dark_oak_sapling: #5, 19(7%)
minecraft.picked_up.mushroom_stem: #5, 685(6%)
minecraft.picked_up.polished_blackstone_stairs: #5, 32(7%)
minecraft.used.weathered_copper_grate: #4, 3(1%)
minecraft.used.waxed_weathered_copper_bulb: #5, 61(9%)
minecraft.used.birch_fence: #5, 159(6%)
minecraft.picked_up.bamboo_mosaic: #5, 68(9%)
minecraft.crafted.lime_glazed_terracotta: #4, 10(2%)
minecraft.dropped.oak_wood: #4, 1(2%)
minecraft.used.waxed_exposed_cut_copper: #4, 34(1%)
minecraft.used.dark_oak_trapdoor: #5, 533(4%)
minecraft.dropped.warped_fence_gate: #4, 1(2%)
minecraft.used.pink_glazed_terracotta: #4, 6(1%)
minecraft.crafted.golden_boots: #5, 7(8%)
minecraft.mined.bamboo_door: #5, 5(7%)
minecraft.dropped.bamboo_door: #4, 1(1%)
minecraft.dropped.pale_moss_block: #5, 49(8%)
minecraft.used.deepslate_iron_ore: #5, 278(5%)
minecraft.crafted.green_candle: #4, 11(1%)
minecraft.used.blue_wool: #5, 237(7%)
minecraft.dropped.chainmail_boots: #5, 8(6%)
minecraft.crafted.waxed_weathered_copper_bulb: #4, 4(1%)
minecraft.mined.big_dripleaf: #5, 32(6%)
minecraft.crafted.black_candle: #4, 3(0%)
minecraft.used.wooden_sword: #5, 118(6%)
minecraft.dropped.smooth_red_sandstone: #4, 1(0%)
minecraft.used.stripped_spruce_wood: #5, 163(6%)
minecraft.used.deepslate_brick_stairs: #5, 612(5%)
minecraft.used.cherry_log: #5, 306(5%)
minecraft.mined.gray_stained_glass: #5, 64(6%)
minecraft.used.dark_oak_fence_gate: #5, 62(5%)
minecraft.dropped.acacia_trapdoor: #5, 25(6%)
minecraft.picked_up.warped_sign: #5, 16(7%)
minecraft.picked_up.sea_lantern: #5, 71(4%)
minecraft.used.red_banner: #5, 18(4%)
minecraft.used.big_dripleaf: #5, 87(7%)
minecraft.picked_up.ghast_tear: #5, 65(4%)
minecraft.picked_up.cobblestone_wall: #5, 49(4%)
minecraft.picked_up.oak_door: #6, 26(8%)
minecraft.dropped.sticky_piston: #5, 60(7%)
minecraft.dropped.seagrass: #5, 25(8%)
minecraft.used.granite_stairs: #5, 32(5%)
minecraft.dropped.polished_deepslate: #5, 36(5%)
minecraft.used.deepslate_brick_slab: #5, 676(4%)
minecraft.picked_up.brown_mushroom: #5, 335(3%)
minecraft.crafted.netherite_axe: #5, 1(7%)
minecraft.dropped.oak_pressure_plate: #5, 3(7%)
minecraft.picked_up.cherry_leaves: #6, 2369(8%)
minecraft.picked_up.cornflower: #5, 502(3%)
minecraft.dropped.warped_wart_block: #5, 129(6%)
minecraft.mined.copper_door: #5, 5(7%)
minecraft.picked_up.jungle_log: #6, 3533(7%)
minecraft.crafted.golden_leggings: #5, 5(7%)
minecraft.crafted.fishing_rod: #5, 14(3%)
minecraft.mined.mossy_cobblestone_stairs: #5, 8(6%)
minecraft.used.wooden_pickaxe: #6, 38(7%)
minecraft.crafted.birch_hanging_sign: #5, 12(6%)
minecraft.mined.warped_sign: #5, 3(10%)
minecraft.crafted.calibrated_sculk_sensor: #5, 33(5%)
minecraft.used.lime_wool: #5, 296(4%)
minecraft.used.tuff: #6, 5068(7%)
minecraft.used.birch_trapdoor: #6, 149(8%)
minecraft.used.white_shulker_box: #6, 548(6%)
minecraft.crafted.jungle_hanging_sign: #5, 12(7%)
minecraft.mined.polished_andesite_slab: #5, 39(4%)
minecraft.dropped.light_gray_carpet: #5, 7(6%)
minecraft.crafted.golden_chestplate: #5, 4(5%)
minecraft.mined.blue_wool: #5, 38(5%)
minecraft.mined.wildflowers: #5, 28(4%)
minecraft.picked_up.mossy_cobblestone_stairs: #5, 10(5%)
minecraft.dropped.diorite: #6, 1279(6%)
minecraft.used.jungle_hanging_sign: #5, 9(8%)
minecraft.picked_up.diorite: #6, 16931(6%)
minecraft.dropped.jungle_log: #5, 64(3%)
minecraft.crafted.waxed_weathered_chiseled_copper: #5, 28(8%)
minecraft.picked_up.prismarine: #5, 440(3%)
minecraft.used.deepslate_bricks: #6, 2684(7%)
minecraft.used.iron_boots: #5, 1(6%)
minecraft.mined.tuff: #6, 16804(6%)
minecraft.used.purple_shulker_box: #6, 231(7%)
minecraft.picked_up.compass: #6, 109(7%)
minecraft.picked_up.lead: #6, 469(5%)
minecraft.dropped.azalea_leaves: #5, 191(3%)
minecraft.crafted.written_book: #5, 14(5%)
minecraft.used.scaffolding: #6, 12080(6%)
minecraft.crafted.stone_slab: #6, 2104(6%)
minecraft.picked_up.cooked_beef: #6, 973(5%)
minecraft.mined.pale_oak_sign: #5, 1(9%)
minecraft.picked_up.deepslate_coal_ore: #5, 21(4%)
minecraft.picked_up.oxidized_copper_grate: #5, 50(2%)
minecraft.killed.trader_llama: #6, 25(7%)
minecraft.mined.warped_wall_sign: #5, 4(6%)
minecraft.picked_up.brain_coral: #5, 22(3%)
minecraft.custom.animals_bred: #6, 1165(6%)
minecraft.crafted.cherry_hanging_sign: #5, 6(8%)
minecraft.mined.dark_oak_sapling: #5, 11(2%)
minecraft.mined.bamboo_block: #6, 185(7%)
minecraft.mined.stone_pressure_plate: #5, 50(2%)
minecraft.used.jungle_door: #5, 5(5%)
minecraft.used.light_blue_dye: #5, 4(4%)
minecraft.mined.oak_stairs: #6, 151(7%)
minecraft.used.stone_hoe: #5, 274(3%)
minecraft.dropped.stripped_spruce_wood: #5, 4(4%)
minecraft.used.acacia_sapling: #5, 398(2%)
minecraft.picked_up.dispenser: #6, 227(6%)
minecraft.dropped.bamboo_fence: #5, 5(5%)
minecraft.picked_up.copper_door: #5, 5(3%)
minecraft.mined.mossy_stone_brick_wall: #5, 1(6%)
minecraft.dropped.cauldron: #5, 3(4%)
minecraft.picked_up.polished_diorite_slab: #5, 12(3%)
minecraft.crafted.cooked_porkchop: #5, 38(2%)
minecraft.dropped.beef: #5, 65(2%)
minecraft.used.blue_stained_glass_pane: #5, 13(4%)
minecraft.dropped.cobweb: #5, 39(3%)
minecraft.crafted.polished_basalt: #6, 785(7%)
minecraft.used.birch_sign: #6, 74(5%)
minecraft.picked_up.smoker: #6, 9(7%)
minecraft.crafted.waxed_weathered_copper_grate: #5, 15(4%)
minecraft.custom.interact_with_brewingstand: #6, 795(6%)
minecraft.used.prismarine: #5, 445(2%)
minecraft.crafted.pink_stained_glass_pane: #5, 88(4%)
minecraft.mined.weathered_copper_bulb: #5, 4(4%)
minecraft.picked_up.weathered_copper_bulb: #5, 4(4%)
minecraft.used.magenta_wool: #5, 27(3%)
minecraft.picked_up.light_blue_glazed_terracotta: #5, 4(5%)
minecraft.picked_up.dried_kelp: #6, 642(8%)
minecraft.used.slime_ball: #5, 242(2%)
minecraft.crafted.bamboo_fence: #6, 303(7%)
minecraft.used.waxed_weathered_chiseled_copper: #5, 34(3%)
minecraft.mined.light_blue_glazed_terracotta: #5, 3(5%)
minecraft.used.jungle_leaves: #6, 592(7%)
minecraft.crafted.diamond_shovel: #6, 12(5%)
minecraft.picked_up.yellow_stained_glass_pane: #5, 19(3%)
minecraft.crafted.iron_door: #6, 21(6%)
minecraft.mined.lime_stained_glass_pane: #5, 9(2%)
minecraft.mined.gray_glazed_terracotta: #5, 4(4%)
minecraft.picked_up.stripped_pale_oak_wood: #5, 16(2%)
minecraft.mined.stripped_pale_oak_wood: #5, 16(2%)
minecraft.used.warped_fungus: #5, 109(2%)
minecraft.picked_up.mossy_stone_brick_wall: #5, 1(3%)
minecraft.picked_up.gray_glazed_terracotta: #5, 4(4%)
minecraft.mined.black_stained_glass_pane: #6, 26(6%)
minecraft.crafted.leather_horse_armor: #5, 2(5%)
minecraft.picked_up.tuff_slab: #6, 95(6%)
minecraft.crafted.light_gray_bed: #5, 4(2%)
minecraft.crafted.light_gray_shulker_box: #6, 23(6%)
minecraft.mined.furnace: #6, 143(5%)
minecraft.dropped.birch_fence: #5, 3(2%)
minecraft.picked_up.copper_bulb: #6, 33(7%)
minecraft.picked_up.blue_stained_glass: #5, 28(2%)
minecraft.picked_up.pink_stained_glass_pane: #5, 7(3%)
minecraft.mined.gray_wall_banner: #5, 1(3%)
minecraft.mined.firefly_bush: #6, 154(7%)
minecraft.used.mangrove_propagule: #5, 83(1%)
minecraft.picked_up.purple_glazed_terracotta: #5, 2(2%)
minecraft.picked_up.crimson_fence: #5, 3(1%)
minecraft.mined.purple_glazed_terracotta: #5, 2(2%)
minecraft.dropped.wet_sponge: #5, 3(2%)
minecraft.picked_up.green_glazed_terracotta: #5, 10(3%)
minecraft.used.light_gray_terracotta: #6, 366(5%)
minecraft.dropped.warped_sign: #5, 3(2%)
minecraft.mined.prismarine_slab: #5, 4(2%)
minecraft.mined.polished_granite_slab: #5, 3(1%)
minecraft.picked_up.mangrove_hanging_sign: #6, 7(10%)
minecraft.used.purple_glazed_terracotta: #5, 5(2%)
minecraft.used.pale_oak_log: #6, 594(5%)
minecraft.mined.green_glazed_terracotta: #5, 8(2%)
minecraft.picked_up.light_gray_banner: #5, 3(2%)
minecraft.used.quartz_bricks: #5, 20(1%)
minecraft.crafted.oak_fence: #6, 222(5%)
minecraft.crafted.green_glazed_terracotta: #5, 18(2%)
minecraft.used.green_glazed_terracotta: #5, 25(2%)
minecraft.mined.tuff_wall: #6, 18(8%)
minecraft.dropped.mud_brick_slab: #5, 3(1%)
minecraft.used.enchanting_table: #6, 4(6%)
minecraft.picked_up.black_candle: #5, 1(1%)
minecraft.mined.pink_stained_glass_pane: #5, 1(1%)
minecraft.crafted.blue_glazed_terracotta: #5, 4(1%)
minecraft.dropped.nether_wart_block: #6, 72(8%)
minecraft.used.blue_glazed_terracotta: #5, 4(1%)
minecraft.dropped.red_concrete: #5, 1(1%)
minecraft.used.pink_wool: #6, 116(6%)
minecraft.dropped.activator_rail: #5, 4(1%)
minecraft.crafted.gray_candle: #5, 4(1%)
minecraft.used.pale_oak_stairs: #6, 67(7%)
minecraft.mined.prismarine_wall: #5, 3(0%)
minecraft.picked_up.tripwire_hook: #6, 28(4%)
minecraft.crafted.cyan_candle: #5, 2(0%)
minecraft.dropped.chain: #6, 72(5%)
minecraft.dropped.brown_mushroom: #6, 33(5%)
minecraft.picked_up.birch_fence: #6, 70(5%)
minecraft.picked_up.jungle_leaves: #6, 808(4%)
minecraft.broken.iron_shovel: #6, 10(5%)
minecraft.crafted.painting: #6, 99(4%)
minecraft.crafted.cyan_glazed_terracotta: #6, 32(9%)
minecraft.crafted.dark_oak_trapdoor: #6, 446(4%)
minecraft.picked_up.deepslate_iron_ore: #6, 294(4%)
minecraft.used.book: #6, 95(4%)
minecraft.picked_up.stripped_oak_log: #6, 295(4%)
minecraft.mined.acacia_wall_sign: #6, 8(5%)
minecraft.mined.light_gray_carpet: #7, 92(8%)
minecraft.mined.stripped_oak_log: #6, 295(4%)
minecraft.dropped.chainmail_chestplate: #6, 4(5%)
minecraft.used.orange_tulip: #6, 11(7%)
minecraft.mined.mangrove_propagule: #6, 83(4%)
minecraft.picked_up.spruce_sapling: #6, 1267(3%)
minecraft.used.calibrated_sculk_sensor: #6, 26(5%)
minecraft.mined.mushroom_stem: #6, 393(4%)
minecraft.used.mushroom_stem: #6, 336(4%)
minecraft.mined.poppy: #6, 228(3%)
minecraft.used.iron_ore: #6, 351(3%)
minecraft.killed.silverfish: #6, 3335(3%)
minecraft.picked_up.light_gray_carpet: #7, 116(8%)
minecraft.used.warped_button: #6, 12(5%)
minecraft.mined.acacia_sign: #6, 2(7%)
minecraft.used.waxed_exposed_copper_bulb: #6, 20(5%)
minecraft.picked_up.exposed_copper_door: #6, 2(12%)
minecraft.custom.interact_with_furnace: #7, 3246(6%)
minecraft.dropped.gray_bed: #6, 1(7%)
minecraft.picked_up.jungle_door: #6, 4(7%)
minecraft.crafted.dark_oak_fence_gate: #6, 58(4%)
minecraft.used.mud_brick_wall: #6, 388(4%)
minecraft.used.jungle_log: #7, 883(7%)
minecraft.used.brown_mushroom: #6, 72(3%)
minecraft.dropped.mangrove_roots: #6, 108(4%)
minecraft.crafted.bordure_indented_banner_pattern: #6, 1(11%)
minecraft.crafted.chiseled_tuff_bricks: #6, 26(3%)
minecraft.used.diamond_block: #6, 197(3%)
minecraft.picked_up.spruce_fence: #7, 413(7%)
minecraft.used.lead: #6, 3(4%)
minecraft.mined.stripped_spruce_wood: #6, 95(3%)
minecraft.mined.white_tulip: #6, 46(3%)
minecraft.mined.lime_terracotta: #6, 80(4%)
minecraft.picked_up.stripped_dark_oak_wood: #6, 71(3%)
minecraft.dropped.light_gray_dye: #6, 9(4%)
minecraft.used.fire_coral_block: #6, 54(4%)
minecraft.used.moss_block: #7, 11201(6%)
minecraft.used.stone: #7, 50098(6%)
minecraft.used.apple: #6, 27(3%)
minecraft.used.waxed_weathered_cut_copper_stairs: #6, 63(5%)
minecraft.mined.red_glazed_terracotta: #6, 12(4%)
minecraft.mined.jungle_hanging_sign: #6, 1(8%)
minecraft.mined.pale_oak_wall_sign: #6, 4(4%)
minecraft.crafted.waxed_exposed_copper: #6, 59(6%)
minecraft.used.smooth_sandstone_slab: #6, 216(3%)
minecraft.crafted.light_blue_stained_glass_pane: #6, 128(3%)
minecraft.picked_up.stone_pressure_plate: #6, 55(2%)
minecraft.dropped.light_blue_dye: #6, 8(3%)
minecraft.dropped.light_gray_concrete_powder: #6, 64(3%)
minecraft.dropped.black_bed: #6, 1(8%)
