stat, rank, value, (percentage) 
minecraft.picked_up.deepslate_tile_slab: #5, 470(8%)
minecraft.crafted.stripped_dark_oak_wood: #4, 69(9%)
minecraft.mined.brick_wall: #4, 11(9%)
minecraft.mined.jungle_sign: #4, 2(7%)
minecraft.picked_up.conduit: #4, 3(11%)
minecraft.killed_by.wither_skeleton: #4, 1(14%)
minecraft.mined.blue_carpet: #4, 36(9%)
minecraft.mined.smooth_quartz: #4, 416(4%)
minecraft.picked_up.mangrove_button: #4, 5(8%)
minecraft.picked_up.stone_hoe: #4, 7(7%)
minecraft.used.moss_carpet: #5, 2743(7%)
minecraft.broken.iron_helmet: #4, 1(20%)
minecraft.mined.acacia_door: #4, 2(10%)
minecraft.picked_up.polished_tuff_wall: #5, 264(8%)
minecraft.dropped.stripped_spruce_log: #4, 13(4%)
minecraft.used.acacia_wood: #4, 478(4%)
minecraft.dropped.enchanted_golden_apple: #4, 6(6%)
minecraft.used.diamond_hoe: #5, 49121(7%)
minecraft.dropped.mud_brick_stairs: #4, 3(12%)
minecraft.picked_up.phantom_membrane: #4, 56(3%)
minecraft.custom.inspect_dispenser: #5, 1863(6%)
minecraft.dropped.heavy_core: #4, 1(14%)
minecraft.dropped.ward_armor_trim_smithing_template: #4, 1(14%)
minecraft.picked_up.mangrove_fence: #5, 157(9%)
minecraft.crafted.wind_charge: #4, 3548(5%)
minecraft.dropped.spruce_leaves: #4, 232(4%)
minecraft.killed_by.elder_guardian: #4, 1(17%)
minecraft.mined.pale_oak_slab: #4, 23(5%)
minecraft.used.iron_sword: #5, 1597(7%)
minecraft.picked_up.dark_oak_fence: #5, 293(7%)
minecraft.crafted.crimson_hyphae: #4, 48(5%)
minecraft.picked_up.brick: #5, 1440(7%)
minecraft.dropped.dragon_head: #4, 4(7%)
minecraft.mined.stripped_pale_oak_wood: #4, 41(6%)
minecraft.picked_up.written_book: #5, 37(6%)
minecraft.crafted.tuff_brick_slab: #5, 186(8%)
minecraft.picked_up.stripped_pale_oak_wood: #4, 39(6%)
minecraft.dropped.jungle_pressure_plate: #4, 1(14%)
minecraft.dropped.spruce_button: #4, 16(4%)
minecraft.used.purple_dye: #4, 6(6%)
minecraft.picked_up.heavy_weighted_pressure_plate: #5, 13(10%)
minecraft.used.carved_pumpkin: #5, 38(6%)
minecraft.picked_up.wooden_sword: #5, 33(9%)
minecraft.custom.pig_one_cm: #5, 202938124(10%)
minecraft.dropped.diamond_shovel: #5, 15(7%)
minecraft.mined.pale_oak_sign: #4, 1(9%)
minecraft.mined.white_wall_banner: #5, 25(7%)
minecraft.dropped.written_book: #5, 18(7%)
minecraft.picked_up.deepslate_brick_stairs: #4, 142(3%)
minecraft.dropped.dark_oak_button: #4, 5(6%)
minecraft.dropped.emerald_ore: #4, 1(10%)
minecraft.crafted.cherry_fence: #4, 39(4%)
minecraft.dropped.spruce_trapdoor: #5, 175(7%)
minecraft.picked_up.white_wool: #5, 2259(6%)
minecraft.dropped.stone_pickaxe: #5, 6(7%)
minecraft.used.pink_dye: #4, 7(4%)
minecraft.picked_up.bone_block: #4, 1239(2%)
minecraft.crafted.mangrove_pressure_plate: #4, 8(5%)
minecraft.picked_up.dark_oak_button: #4, 17(4%)
minecraft.picked_up.crimson_sign: #5, 14(11%)
minecraft.killed_by.guardian: #5, 12(10%)
minecraft.mined.potted_mangrove_propagule: #4, 1(8%)
minecraft.mined.pale_oak_button: #4, 5(5%)
minecraft.mined.resin_clump: #4, 151(2%)
minecraft.crafted.cooked_cod: #4, 180(3%)
minecraft.crafted.dark_oak_fence: #5, 414(6%)
minecraft.mined.acacia_wood: #6, 101(12%)
minecraft.used.stripped_pale_oak_wood: #4, 30(4%)
minecraft.used.smooth_quartz_stairs: #5, 347(6%)
minecraft.mined.oak_wall_sign: #5, 25(5%)
minecraft.crafted.polished_blackstone_brick_stairs: #4, 16(3%)
minecraft.picked_up.pale_oak_button: #4, 8(3%)
minecraft.used.lime_dye: #5, 11(8%)
minecraft.mined.dark_oak_fence: #5, 170(5%)
minecraft.used.pufferfish: #4, 1(3%)
minecraft.used.light_gray_wool: #5, 617(7%)
minecraft.crafted.stone_pickaxe: #5, 8(5%)
minecraft.killed_by.vindicator: #4, 1(5%)
minecraft.used.basalt: #5, 1059(5%)
minecraft.dropped.fishing_rod: #5, 23(5%)
minecraft.dropped.stripped_dark_oak_wood: #4, 1(3%)
minecraft.dropped.netherite_leggings: #5, 4(7%)
minecraft.used.red_dye: #5, 23(6%)
minecraft.picked_up.blackstone_slab: #5, 100(7%)
minecraft.mined.mangrove_propagule: #5, 115(5%)
minecraft.picked_up.cherry_boat: #4, 2(2%)
minecraft.dropped.black_banner: #4, 2(1%)
minecraft.crafted.dark_oak_wood: #5, 690(5%)
minecraft.dropped.cobblestone: #5, 9436(4%)
minecraft.mined.dragon_head: #5, 2(10%)
minecraft.used.cooked_porkchop: #5, 745(4%)
minecraft.mined.acacia_stairs: #5, 33(8%)
minecraft.crafted.jungle_wood: #5, 513(9%)
minecraft.dropped.mangrove_leaves: #5, 415(7%)
minecraft.mined.brick_stairs: #5, 16(7%)
minecraft.picked_up.black_dye: #6, 143(8%)
minecraft.dropped.lectern: #5, 3(10%)
minecraft.used.blackstone_slab: #5, 343(5%)
minecraft.dropped.ladder: #5, 96(5%)
minecraft.crafted.cherry_slab: #5, 168(6%)
minecraft.used.polished_blackstone_wall: #5, 68(7%)
minecraft.crafted.iron_boots: #5, 7(4%)
minecraft.used.smooth_sandstone_stairs: #5, 159(8%)
minecraft.used.stripped_dark_oak_wood: #5, 125(5%)
minecraft.picked_up.spectral_arrow: #5, 677(5%)
minecraft.picked_up.wind_charge: #6, 1250(7%)
minecraft.used.jungle_wood: #5, 395(7%)
minecraft.mined.spruce_pressure_plate: #5, 6(5%)
minecraft.crafted.cherry_trapdoor: #5, 98(4%)
minecraft.picked_up.enchanted_golden_apple: #5, 19(5%)
minecraft.crafted.pale_oak_wood: #5, 243(6%)
minecraft.crafted.smooth_quartz_slab: #5, 126(4%)
minecraft.crafted.pale_oak_hanging_sign: #5, 6(11%)
minecraft.crafted.bone_meal: #6, 103251(7%)
minecraft.dropped.conduit: #5, 1(12%)
minecraft.used.cyan_dye: #5, 15(5%)
minecraft.used.hopper_minecart: #6, 67(7%)
minecraft.dropped.dark_oak_leaves: #5, 32(5%)
minecraft.picked_up.mud_brick_stairs: #5, 22(5%)
minecraft.crafted.raw_copper_block: #6, 2789(7%)
minecraft.used.birch_pressure_plate: #5, 5(7%)
minecraft.crafted.bordure_indented_banner_pattern: #5, 1(11%)
minecraft.used.quartz_pillar: #5, 100(4%)
minecraft.crafted.acacia_wood: #5, 462(4%)
minecraft.picked_up.music_disc_pigstep: #5, 4(7%)
minecraft.dropped.music_disc_otherside: #5, 1(9%)
minecraft.used.soul_soil: #6, 646(7%)
minecraft.used.pale_oak_wood: #5, 148(4%)
minecraft.picked_up.netherite_upgrade_smithing_template: #5, 3(4%)
minecraft.mined.birch_pressure_plate: #5, 3(6%)
minecraft.picked_up.mangrove_slab: #6, 234(7%)
minecraft.mined.orange_banner: #5, 2(8%)
minecraft.used.vine: #6, 78(7%)
minecraft.used.conduit: #5, 2(6%)
minecraft.crafted.brown_carpet: #5, 194(3%)
minecraft.mined.jungle_wood: #5, 39(5%)
minecraft.picked_up.potion: #6, 253(6%)
minecraft.mined.glass: #6, 1355(6%)
minecraft.mined.blue_ice: #5, 206(3%)
minecraft.crafted.blue_concrete_powder: #5, 312(4%)
minecraft.used.carrot_on_a_stick: #5, 5(9%)
minecraft.picked_up.soul_lantern: #5, 55(3%)
minecraft.crafted.shield: #6, 20(6%)
minecraft.picked_up.iron_leggings: #6, 13(6%)
minecraft.crafted.cherry_boat: #5, 2(6%)
minecraft.picked_up.acacia_door: #5, 2(7%)
minecraft.used.glow_berries: #6, 141(7%)
minecraft.used.mangrove_pressure_plate: #5, 9(4%)
minecraft.used.enchanted_golden_apple: #5, 3(5%)
minecraft.mined.polished_blackstone_pressure_plate: #5, 4(6%)
minecraft.mined.blackstone_wall: #5, 3(5%)
minecraft.dropped.sponge: #5, 25(6%)
minecraft.mined.packed_ice: #5, 4888(2%)
minecraft.used.wind_charge: #6, 468(6%)
minecraft.picked_up.purple_bundle: #5, 1(8%)
minecraft.used.snow_block: #5, 4646(2%)
minecraft.mined.polished_blackstone_brick_stairs: #5, 10(4%)
minecraft.used.cracked_deepslate_bricks: #5, 47(5%)
minecraft.killed_by.zombie: #6, 21(5%)
minecraft.picked_up.blue_carpet: #5, 36(5%)
minecraft.mined.cyan_banner: #5, 1(7%)
minecraft.used.cherry_planks: #5, 104(3%)
minecraft.picked_up.golden_carrot: #7, 3978(6%)
minecraft.picked_up.item_frame: #6, 407(5%)
minecraft.crafted.deepslate_tile_wall: #6, 60(11%)
minecraft.picked_up.goat_horn: #5, 14(2%)
minecraft.dropped.mace: #6, 10(7%)
minecraft.picked_up.observer: #6, 631(6%)
minecraft.used.twisting_vines: #5, 29(4%)
minecraft.picked_up.birch_boat: #5, 7(3%)
minecraft.dropped.warped_fungus: #5, 10(4%)
minecraft.used.cherry_slab: #5, 41(3%)
minecraft.picked_up.birch_sign: #6, 51(6%)
minecraft.dropped.mangrove_fence: #5, 9(4%)
minecraft.dropped.red_carpet: #5, 7(4%)
minecraft.dropped.waxed_chiseled_copper: #5, 3(3%)
minecraft.used.chorus_fruit: #5, 6(3%)
minecraft.mined.cracked_polished_blackstone_bricks: #5, 120(2%)
minecraft.crafted.diamond_pickaxe: #6, 15(5%)
minecraft.used.blue_carpet: #5, 99(3%)
minecraft.dropped.cyan_carpet: #5, 2(4%)
minecraft.dropped.light_gray_shulker_box: #5, 1(4%)
minecraft.mined.deepslate_copper_ore: #6, 382(5%)
minecraft.picked_up.raw_copper: #6, 27810(5%)
minecraft.picked_up.redstone_lamp: #6, 87(6%)
minecraft.dropped.pale_oak_planks: #5, 12(4%)
minecraft.used.fire_coral: #5, 7(3%)
minecraft.mined.redstone_wire: #6, 873(5%)
minecraft.custom.trigger_trapped_chest: #6, 61(5%)
minecraft.used.fishing_rod: #6, 2161(5%)
minecraft.picked_up.polished_blackstone_brick_stairs: #5, 9(2%)
minecraft.used.clay: #6, 495(6%)
minecraft.used.pale_oak_door: #5, 3(2%)
minecraft.picked_up.white_banner: #6, 164(5%)
minecraft.used.purpur_block: #5, 170(1%)
minecraft.dropped.black_shulker_box: #5, 1(3%)
minecraft.dropped.diamond_chestplate: #6, 5(6%)
minecraft.used.dark_oak_fence: #6, 404(5%)
minecraft.crafted.blue_bed: #5, 2(3%)
minecraft.crafted.stripped_cherry_wood: #5, 3(4%)
minecraft.picked_up.shears: #6, 78(5%)
minecraft.crafted.blue_carpet: #5, 90(2%)
minecraft.crafted.mangrove_door: #6, 9(7%)
minecraft.used.polished_blackstone_brick_wall: #5, 3(3%)
minecraft.broken.stone_hoe: #5, 1(2%)
minecraft.mined.bricks: #6, 243(5%)
minecraft.custom.use_cauldron: #6, 376(5%)
minecraft.picked_up.gold_nugget: #6, 3115(4%)
minecraft.picked_up.waxed_oxidized_chiseled_copper: #5, 3(1%)
minecraft.killed_by.vex: #5, 1(2%)
minecraft.dropped.polished_tuff: #6, 58(5%)
minecraft.used.polished_diorite: #6, 450(5%)
minecraft.mined.black_wall_banner: #5, 7(1%)
minecraft.picked_up.end_rod: #6, 350(4%)
minecraft.crafted.black_concrete_powder: #6, 3344(5%)
minecraft.dropped.pale_oak_log: #5, 6(1%)
minecraft.used.pale_oak_button: #5, 14(1%)
minecraft.mined.slime_block: #6, 292(4%)
minecraft.picked_up.chicken: #6, 381(4%)
minecraft.crafted.bone_block: #6, 2783(4%)
minecraft.picked_up.light_blue_wool: #6, 439(5%)
minecraft.dropped.white_wool: #6, 274(4%)
minecraft.mined.stone_bricks: #6, 1753(4%)
minecraft.used.acacia_log: #6, 807(4%)
minecraft.dropped.black_carpet: #5, 2(1%)
minecraft.picked_up.stone_bricks: #6, 1913(4%)
minecraft.used.polished_blackstone_brick_stairs: #5, 5(0%)
minecraft.used.stone_bricks: #6, 4847(4%)
minecraft.dropped.orange_carpet: #5, 1(1%)
minecraft.mined.light_blue_carpet: #5, 10(0%)
minecraft.mined.iron_ore: #6, 1576(4%)
minecraft.picked_up.brown_egg: #5, 1(1%)
minecraft.picked_up.spyglass: #6, 8(4%)
minecraft.picked_up.deepslate_bricks: #6, 463(4%)
minecraft.picked_up.oak_button: #6, 29(4%)
minecraft.picked_up.dragon_head: #6, 17(4%)
minecraft.dropped.filled_map: #6, 116(4%)
minecraft.mined.mud_brick_stairs: #6, 21(6%)
minecraft.crafted.pale_oak_slab: #6, 186(6%)
minecraft.custom.climb_one_cm: #7, 4269857(5%)
minecraft.dropped.tnt: #6, 135(5%)
minecraft.mined.pearlescent_froglight: #6, 242(5%)
minecraft.picked_up.pearlescent_froglight: #6, 1211(4%)
minecraft.picked_up.music_disc_creator_music_box: #6, 7(6%)
minecraft.picked_up.cherry_trapdoor: #6, 37(5%)
minecraft.picked_up.sea_lantern: #6, 68(4%)
minecraft.dropped.white_carpet: #6, 30(5%)
minecraft.picked_up.slime_block: #6, 480(3%)
minecraft.picked_up.yellow_wool: #6, 1083(4%)
minecraft.used.dark_oak_pressure_plate: #6, 13(7%)
minecraft.dropped.brick: #6, 232(4%)
minecraft.killed_by.slime: #7, 30(6%)
minecraft.picked_up.golden_horse_armor: #6, 4(5%)
minecraft.picked_up.blue_ice: #6, 221(4%)
minecraft.used.pale_oak_sign: #6, 48(5%)
minecraft.picked_up.iron_axe: #6, 15(3%)
minecraft.dropped.cherry_leaves: #6, 64(5%)
minecraft.broken.shield: #6, 3(5%)
minecraft.used.brick_wall: #6, 37(5%)
minecraft.picked_up.pink_wool: #6, 325(4%)
minecraft.mined.spruce_hanging_sign: #6, 3(5%)
minecraft.dropped.deepslate_bricks: #6, 12(4%)
minecraft.used.diamond_helmet: #6, 6(3%)
minecraft.used.dripstone_block: #6, 442(3%)
minecraft.picked_up.chiseled_stone_bricks: #6, 96(3%)
minecraft.mined.quartz_slab: #6, 125(4%)
minecraft.crafted.polished_blackstone_wall: #6, 37(7%)
minecraft.mined.polished_diorite_stairs: #6, 19(5%)
minecraft.used.acacia_slab: #6, 185(4%)
minecraft.used.pearlescent_froglight: #6, 799(3%)
minecraft.used.beetroot: #6, 12(4%)
minecraft.picked_up.packed_ice: #6, 4785(2%)
minecraft.used.light_gray_carpet: #6, 311(3%)
minecraft.crafted.wooden_shovel: #6, 30(3%)
minecraft.mined.stripped_dark_oak_wood: #6, 76(3%)
minecraft.used.cherry_trapdoor: #6, 71(3%)
minecraft.mined.brown_bed: #6, 2(5%)
minecraft.dropped.white_concrete: #6, 65(4%)
minecraft.crafted.netherite_helmet: #6, 2(4%)
minecraft.used.stripped_acacia_wood: #6, 30(5%)
minecraft.killed_by.blaze: #6, 3(9%)
minecraft.dropped.oxeye_daisy: #6, 23(3%)
minecraft.picked_up.scaffolding: #7, 11786(6%)
minecraft.picked_up.black_bed: #6, 23(3%)
minecraft.dropped.jungle_log: #6, 58(3%)
minecraft.picked_up.warped_stairs: #6, 23(4%)
minecraft.dropped.diamond_axe: #7, 17(7%)
minecraft.crafted.polished_diorite: #7, 484(7%)
minecraft.picked_up.birch_pressure_plate: #6, 4(5%)
minecraft.mined.light_blue_concrete: #6, 486(3%)
minecraft.used.cobweb: #6, 124(3%)
minecraft.used.black_bed: #6, 20(3%)
minecraft.picked_up.quartz_slab: #6, 120(3%)
minecraft.mined.blue_concrete: #6, 68(3%)
minecraft.picked_up.beetroot_seeds: #7, 1584(5%)
minecraft.picked_up.pink_concrete: #6, 259(3%)
minecraft.dropped.beetroot_seeds: #7, 1379(6%)
minecraft.mined.lime_bed: #6, 9(3%)
minecraft.mined.black_banner: #6, 4(5%)
minecraft.picked_up.spruce_pressure_plate: #6, 6(3%)
minecraft.mined.cracked_deepslate_bricks: #6, 10(5%)
minecraft.picked_up.green_dye: #6, 156(2%)
minecraft.used.porkchop: #6, 5(3%)
minecraft.mined.potted_azalea_bush: #6, 1(5%)
minecraft.used.mangrove_roots: #6, 615(2%)
minecraft.mined.quartz_block: #6, 184(2%)
minecraft.picked_up.purpur_block: #6, 282(2%)
minecraft.dropped.breeze_rod: #6, 65(4%)
minecraft.picked_up.lime_bed: #6, 8(2%)
minecraft.used.acacia_door: #6, 3(5%)
minecraft.dropped.mangrove_trapdoor: #6, 6(4%)
minecraft.mined.brown_stained_glass_pane: #6, 5(4%)
minecraft.picked_up.red_dye: #7, 90(5%)
minecraft.crafted.light_blue_wool: #6, 146(2%)
minecraft.used.dispenser: #7, 277(5%)
minecraft.used.black_concrete_powder: #7, 3673(6%)
minecraft.picked_up.disc_fragment_5: #6, 6(4%)
minecraft.mined.player_head: #7, 159(5%)
minecraft.used.blue_banner: #6, 2(3%)
minecraft.dropped.light_gray_concrete: #6, 10(3%)
minecraft.mined.vine: #7, 787(5%)
minecraft.mined.pink_petals: #7, 391(6%)
minecraft.crafted.birch_boat: #6, 2(2%)
minecraft.dropped.scrape_pottery_sherd: #6, 1(3%)
minecraft.killed.player: #7, 108(4%)
minecraft.dropped.ghast_tear: #6, 10(1%)
minecraft.dropped.sea_lantern: #6, 2(2%)
minecraft.picked_up.snow_block: #6, 1174(1%)
minecraft.picked_up.black_banner: #6, 14(1%)
minecraft.killed.snow_golem: #6, 3(2%)
minecraft.dropped.stripped_spruce_wood: #6, 2(2%)
minecraft.picked_up.cod: #7, 789(4%)
minecraft.picked_up.stripped_dark_oak_log: #7, 537(5%)
minecraft.crafted.tuff_bricks: #7, 848(6%)
minecraft.mined.potted_cherry_sapling: #6, 1(2%)
minecraft.picked_up.dried_kelp_block: #6, 206(1%)
minecraft.mined.crimson_slab: #6, 4(1%)
minecraft.dropped.bamboo_sign: #6, 11(1%)
minecraft.dropped.stone_hoe: #6, 2(1%)
minecraft.killed.wither: #6, 3(1%)
minecraft.crafted.wooden_sword: #6, 7(1%)
minecraft.mined.black_wool: #6, 62(1%)
minecraft.dropped.bucket: #7, 93(4%)
minecraft.crafted.light_blue_carpet: #6, 96(1%)
minecraft.mined.dark_oak_stairs: #7, 74(5%)
minecraft.dropped.resin_block: #6, 12(1%)
minecraft.crafted.packed_ice: #6, 24(1%)
minecraft.crafted.crossbow: #6, 1(1%)
minecraft.mined.pitcher_crop: #6, 10(1%)
minecraft.mined.sculk_vein: #6, 190(0%)
minecraft.used.pitcher_pod: #6, 10(1%)
minecraft.used.red_carpet: #6, 88(0%)
minecraft.mined.oxeye_daisy: #7, 61(4%)
minecraft.dropped.brown_carpet: #6, 1(1%)
minecraft.picked_up.light_blue_carpet: #6, 10(0%)
minecraft.custom.interact_with_smithing_table: #7, 52(4%)
minecraft.custom.damage_blocked_by_shield: #7, 16919(4%)
minecraft.mined.chiseled_quartz_block: #6, 5(0%)
minecraft.dropped.quartz_slab: #6, 1(0%)
minecraft.mined.polished_blackstone_slab: #6, 1(0%)
minecraft.used.sculk_catalyst: #6, 1(0%)
minecraft.picked_up.iron_ingot: #7, 4625(4%)
minecraft.crafted.shears: #7, 532(4%)
minecraft.picked_up.cyan_terracotta: #7, 431(4%)
minecraft.picked_up.cyan_dye: #7, 49(4%)
minecraft.mined.cobbled_deepslate: #7, 773(4%)
minecraft.picked_up.orange_wool: #7, 307(4%)
minecraft.custom.interact_with_cartography_table: #7, 27(5%)
minecraft.crafted.smooth_quartz_stairs: #7, 52(6%)
minecraft.crafted.tnt: #7, 1514(4%)
minecraft.used.wooden_sword: #7, 100(5%)
minecraft.dropped.ominous_bottle: #7, 3(6%)
minecraft.dropped.iron_pickaxe: #7, 5(5%)
minecraft.picked_up.wooden_axe: #7, 1(8%)
minecraft.crafted.spruce_wood: #7, 372(4%)
minecraft.mined.light_blue_wool: #7, 57(5%)
minecraft.custom.interact_with_smoker: #7, 82(4%)
minecraft.mined.stripped_dark_oak_log: #7, 326(3%)
minecraft.picked_up.filled_map: #8, 1215(7%)
minecraft.picked_up.spruce_wood: #7, 65(4%)
minecraft.used.dark_oak_door: #7, 10(5%)
minecraft.mined.pale_oak_planks: #7, 35(5%)
minecraft.mined.twisting_vines: #7, 14(5%)
minecraft.dropped.poisonous_potato: #7, 5(5%)
minecraft.crafted.polished_diorite_stairs: #7, 13(7%)
minecraft.custom.happy_ghast_one_cm: #8, 1476172(6%)
minecraft.used.deepslate_brick_wall: #7, 101(4%)
minecraft.used.muddy_mangrove_roots: #7, 321(4%)
minecraft.mined.deepslate_bricks: #7, 264(3%)
minecraft.picked_up.pumpkin_pie: #7, 31(5%)
minecraft.crafted.cooked_salmon: #7, 170(3%)
minecraft.picked_up.bamboo_stairs: #7, 28(4%)
minecraft.used.stripped_dark_oak_log: #7, 221(3%)
minecraft.dropped.spyglass: #7, 3(3%)
minecraft.dropped.decorated_pot: #7, 16(4%)
minecraft.picked_up.guster_pottery_sherd: #7, 16(4%)
minecraft.dropped.waxed_copper_block: #7, 22(4%)
minecraft.used.heavy_weighted_pressure_plate: #7, 12(3%)
minecraft.crafted.acacia_slab: #7, 216(3%)
minecraft.mined.deepslate_brick_slab: #7, 99(3%)
minecraft.used.mangrove_leaves: #7, 669(3%)
minecraft.dropped.iron_door: #7, 4(5%)
minecraft.mined.brick_slab: #7, 6(4%)
minecraft.crafted.deepslate_bricks: #7, 868(3%)
minecraft.picked_up.clock: #7, 3(3%)
minecraft.crafted.mangrove_fence: #7, 126(3%)
minecraft.crafted.cobbled_deepslate_stairs: #7, 116(3%)
minecraft.picked_up.stripped_dark_oak_wood: #7, 61(3%)
minecraft.crafted.netherite_boots: #7, 2(3%)
minecraft.crafted.dark_oak_pressure_plate: #7, 10(4%)
minecraft.dropped.stone_shovel: #7, 4(3%)
minecraft.picked_up.music_disc_5: #7, 1(6%)
minecraft.dropped.grass_block: #8, 2822(6%)
minecraft.used.mangrove_fence: #7, 120(2%)
minecraft.mined.black_bed: #7, 21(3%)
minecraft.picked_up.quartz_block: #7, 279(2%)
minecraft.picked_up.brown_bed: #7, 2(4%)
minecraft.picked_up.pitcher_plant: #7, 39(2%)
minecraft.picked_up.light_blue_concrete: #7, 476(3%)
minecraft.mined.deepslate_tile_slab: #7, 80(2%)
minecraft.crafted.acacia_door: #7, 3(4%)
minecraft.picked_up.bamboo_raft: #7, 7(3%)
minecraft.used.spruce_pressure_plate: #7, 8(2%)
minecraft.crafted.tuff_brick_stairs: #7, 36(2%)
minecraft.crafted.mud_brick_stairs: #7, 20(3%)
minecraft.used.deepslate_tile_slab: #7, 743(2%)
minecraft.used.sea_lantern: #7, 96(2%)
minecraft.picked_up.stripped_mangrove_log: #7, 197(2%)
minecraft.custom.deaths: #8, 805(3%)
minecraft.dropped.chiseled_stone_bricks: #7, 83(3%)
minecraft.picked_up.polished_diorite_stairs: #7, 14(3%)
minecraft.dropped.flower_pot: #7, 7(2%)
minecraft.mined.spruce_wall_hanging_sign: #7, 3(3%)
minecraft.used.black_banner: #7, 25(2%)
minecraft.dropped.piston: #7, 38(3%)
minecraft.crafted.birch_pressure_plate: #7, 2(4%)
minecraft.mined.yellow_concrete_powder: #7, 8(2%)
minecraft.picked_up.ward_armor_trim_smithing_template: #7, 1(4%)
minecraft.picked_up.brown_stained_glass_pane: #7, 5(3%)
minecraft.dropped.blue_shulker_box: #7, 1(3%)
minecraft.picked_up.music_disc_11: #7, 2(4%)
minecraft.dropped.black_concrete: #7, 10(2%)
minecraft.used.smooth_quartz_slab: #8, 653(6%)
minecraft.dropped.light_gray_carpet: #7, 3(3%)
minecraft.picked_up.bamboo_sign: #8, 89(5%)
minecraft.used.iron_axe: #8, 1254(5%)
minecraft.picked_up.iron_block: #8, 3037(5%)
minecraft.picked_up.light_gray_bed: #7, 23(2%)
minecraft.used.chicken: #7, 2(3%)
minecraft.crafted.stone_hoe: #7, 3(1%)
minecraft.mined.infested_stone: #7, 21(1%)
minecraft.dropped.clock: #7, 1(2%)
minecraft.dropped.gray_shulker_box: #7, 1(2%)
minecraft.crafted.light_gray_wool: #7, 146(2%)
minecraft.dropped.turtle_egg: #7, 2(3%)
minecraft.crafted.pale_oak_door: #7, 3(2%)
minecraft.mined.redstone_lamp: #8, 41(6%)
minecraft.used.ancient_debris: #7, 1(2%)
minecraft.used.blue_concrete_powder: #7, 64(1%)
minecraft.used.brick_slab: #7, 37(1%)
minecraft.used.honey_bottle: #7, 56(1%)
minecraft.crafted.iron_axe: #8, 7(5%)
minecraft.dropped.firework_rocket: #8, 1389(4%)
minecraft.crafted.cooked_porkchop: #7, 18(1%)
minecraft.dropped.pale_oak_trapdoor: #7, 2(2%)
minecraft.mined.stripped_acacia_log: #7, 76(1%)
minecraft.crafted.smooth_sandstone_slab: #7, 36(2%)
minecraft.picked_up.stripped_acacia_log: #7, 72(1%)
minecraft.broken.iron_sword: #7, 1(2%)
minecraft.crafted.red_carpet: #7, 93(1%)
minecraft.picked_up.nether_star: #7, 3(1%)
minecraft.crafted.lime_wool: #7, 31(1%)
minecraft.used.dark_oak_button: #7, 20(1%)
minecraft.mined.jungle_leaves: #8, 1647(4%)
minecraft.picked_up.respawn_anchor: #7, 1(1%)
minecraft.mined.sculk_catalyst: #7, 7(1%)
minecraft.picked_up.crimson_slab: #7, 4(1%)
minecraft.crafted.terracotta: #7, 17(1%)
minecraft.used.cherry_boat: #7, 1(1%)
minecraft.used.lava_bucket: #8, 217(4%)
minecraft.mined.light_blue_stained_glass_pane: #7, 3(1%)
minecraft.dropped.dried_kelp: #7, 12(1%)
minecraft.crafted.stone_brick_stairs: #8, 152(5%)
minecraft.picked_up.name_tag: #8, 43(4%)
minecraft.mined.pale_oak_trapdoor: #8, 36(5%)
minecraft.dropped.crimson_stem: #7, 1(1%)
minecraft.dropped.shield: #8, 8(5%)
minecraft.crafted.snow: #7, 120(0%)
minecraft.picked_up.chiseled_quartz_block: #7, 5(0%)
minecraft.picked_up.loom: #8, 15(5%)
minecraft.picked_up.dripstone_block: #8, 1650(4%)
minecraft.dropped.lever: #8, 66(4%)
minecraft.picked_up.glass: #8, 2613(4%)
minecraft.custom.inspect_dropper: #8, 1413(3%)
minecraft.picked_up.pink_petals: #8, 1717(4%)
minecraft.used.pale_oak_stairs: #8, 59(6%)
minecraft.picked_up.netherite_chestplate: #8, 4(5%)
minecraft.used.melon_slice: #8, 160(4%)
minecraft.picked_up.saddle: #8, 27(3%)
minecraft.picked_up.redstone: #8, 9295(3%)
minecraft.dropped.ender_chest: #8, 27(3%)
minecraft.picked_up.pointed_dripstone: #8, 1019(3%)
minecraft.used.pointed_dripstone: #8, 395(3%)
minecraft.used.bricks: #8, 527(3%)
minecraft.mined.soul_soil: #8, 788(3%)
minecraft.used.green_dye: #8, 60(4%)
minecraft.crafted.mangrove_sign: #8, 48(4%)
minecraft.picked_up.netherite_helmet: #8, 9(3%)
minecraft.picked_up.pufferfish: #8, 116(3%)
minecraft.crafted.coal_block: #8, 663(3%)
minecraft.picked_up.muddy_mangrove_roots: #8, 490(3%)
minecraft.crafted.stone_bricks: #8, 3984(3%)
minecraft.mined.birch_wall_sign: #8, 11(4%)
minecraft.picked_up.lava_bucket: #8, 21(3%)
minecraft.crafted.redstone_block: #8, 897(3%)
minecraft.crafted.mossy_cobblestone_stairs: #8, 8(5%)
minecraft.picked_up.yellow_dye: #8, 84(2%)
minecraft.used.iron_ore: #8, 273(2%)
minecraft.picked_up.piston: #9, 492(6%)
minecraft.crafted.copper_grate: #8, 60(5%)
minecraft.used.smooth_quartz: #8, 1242(3%)
minecraft.mined.potted_bamboo: #8, 1(5%)
minecraft.mined.powder_snow: #8, 28(3%)
minecraft.used.brick_stairs: #8, 22(4%)
minecraft.crafted.stone_sword: #8, 9(2%)
