stat, rank, value, (percentage) 
minecraft.dropped.light_weighted_pressure_plate: #1, 27(32%)
minecraft.picked_up.tuff_brick_wall: #2, 293(19%)
minecraft.killed_by.warden: #1, 18(24%)
minecraft.crafted.polished_blackstone_brick_wall: #1, 103(47%)
minecraft.dropped.brown_banner: #1, 20(69%)
minecraft.mined.polished_diorite: #2, 115(16%)
minecraft.used.tuff_brick_wall: #1, 284(13%)
minecraft.picked_up.cooked_porkchop: #3, 2754(17%)
minecraft.dropped.pink_banner: #1, 10(67%)
minecraft.dropped.orange_terracotta: #2, 410(21%)
minecraft.picked_up.elytra: #2, 180(10%)
minecraft.picked_up.carrot_on_a_stick: #1, 9(23%)
minecraft.picked_up.iron_pickaxe: #2, 37(14%)
minecraft.used.baked_potato: #2, 1033(15%)
minecraft.mined.cherry_wall_sign: #1, 7(41%)
minecraft.crafted.cherry_pressure_plate: #1, 9(82%)
minecraft.picked_up.bamboo_door: #2, 112(22%)
minecraft.used.iron_pickaxe: #2, 7285(14%)
minecraft.broken.iron_pickaxe: #2, 26(17%)
minecraft.picked_up.torchflower_seeds: #2, 373(17%)
minecraft.dropped.cherry_slab: #1, 44(80%)
minecraft.picked_up.light_blue_dye: #3, 206(22%)
minecraft.picked_up.cherry_slab: #2, 192(31%)
minecraft.used.light_blue_dye: #2, 30(28%)
minecraft.mined.light_blue_banner: #1, 11(29%)
minecraft.picked_up.iron_helmet: #2, 24(14%)
minecraft.dropped.salmon_bucket: #1, 20(77%)
minecraft.picked_up.orange_banner: #2, 31(21%)
minecraft.mined.black_concrete: #2, 4356(13%)
minecraft.mined.cherry_sapling: #2, 39(20%)
minecraft.dropped.carrot_on_a_stick: #1, 7(23%)
minecraft.used.black_concrete: #2, 4158(15%)
minecraft.picked_up.wooden_pickaxe: #1, 5(17%)
minecraft.custom.eat_cake_slice: #2, 80(23%)
minecraft.picked_up.diamond_pickaxe: #2, 194(10%)
minecraft.crafted.iron_shovel: #3, 95(18%)
minecraft.mined.calibrated_sculk_sensor: #2, 29(16%)
minecraft.used.polished_blackstone_brick_slab: #1, 348(27%)
minecraft.mined.brown_banner: #1, 13(72%)
minecraft.picked_up.flower_banner_pattern: #1, 3(43%)
minecraft.crafted.orange_banner: #2, 144(28%)
minecraft.picked_up.iron_hoe: #2, 10(22%)
minecraft.mined.iron_bars: #2, 518(12%)
minecraft.picked_up.polished_basalt: #2, 306(15%)
minecraft.dropped.cobweb: #2, 320(27%)
minecraft.dropped.snowball: #2, 531(12%)
minecraft.picked_up.field_masoned_banner_pattern: #1, 3(50%)
minecraft.mined.heavy_weighted_pressure_plate: #1, 10(17%)
minecraft.picked_up.acacia_stairs: #2, 121(20%)
minecraft.custom.interact_with_lectern: #3, 1542(9%)
minecraft.used.blue_ice: #2, 656(16%)
minecraft.dropped.wildflowers: #1, 12(32%)
minecraft.used.diamond_chestplate: #2, 89(15%)
minecraft.custom.interact_with_loom: #3, 372(12%)
minecraft.picked_up.blackstone_wall: #2, 95(29%)
minecraft.dropped.iron_bars: #2, 450(15%)
minecraft.mined.brown_carpet: #2, 125(14%)
minecraft.used.raw_copper_block: #2, 54(19%)
minecraft.picked_up.brown_banner: #2, 76(22%)
minecraft.picked_up.cooked_cod: #3, 890(14%)
minecraft.crafted.chiseled_tuff_bricks: #2, 110(13%)
minecraft.dropped.acacia_stairs: #1, 33(26%)
minecraft.picked_up.bordure_indented_banner_pattern: #1, 9(90%)
minecraft.used.light_blue_banner: #2, 24(20%)
minecraft.picked_up.pale_oak_sign: #2, 38(16%)
minecraft.crafted.iron_pickaxe: #2, 39(12%)
minecraft.crafted.light_blue_bed: #2, 19(25%)
minecraft.picked_up.beetroot_soup: #2, 89(25%)
minecraft.picked_up.diamond_shovel: #2, 114(10%)
minecraft.dropped.netherite_scrap: #1, 35(88%)
minecraft.picked_up.iron_bars: #2, 847(11%)
minecraft.mined.white_banner: #2, 17(15%)
minecraft.mined.cherry_planks: #2, 130(18%)
minecraft.dropped.elytra: #2, 26(8%)
minecraft.mined.crimson_wall_sign: #1, 7(17%)
minecraft.picked_up.bowl: #2, 72(13%)
minecraft.crafted.cherry_stairs: #2, 204(27%)
minecraft.picked_up.dried_kelp: #2, 1324(17%)
minecraft.broken.leather_boots: #1, 2(33%)
minecraft.dropped.glass_pane: #2, 194(16%)
minecraft.mined.potted_torchflower: #1, 3(27%)
