stat, rank, value, (percentage) 
minecraft.crafted.mangrove_door: #3, 12(9%)
minecraft.crafted.raw_copper_block: #4, 4234(11%)
minecraft.picked_up.brewer_pottery_sherd: #2, 2(18%)
minecraft.killed.sniffer: #2, 3(27%)
minecraft.crafted.clock: #3, 13(9%)
minecraft.used.deepslate_redstone_ore: #3, 924(6%)
minecraft.dropped.purple_carpet: #2, 6(11%)
minecraft.picked_up.warped_pressure_plate: #2, 2(13%)
minecraft.mined.soul_fire: #4, 213(11%)
minecraft.used.gold_ore: #3, 99(9%)
minecraft.mined.suspicious_sand: #3, 16(15%)
minecraft.picked_up.pink_glazed_terracotta: #2, 9(13%)
minecraft.picked_up.crimson_slab: #3, 65(14%)
minecraft.dropped.spruce_sign: #3, 38(6%)
minecraft.killed.magma_cube: #3, 411(7%)
minecraft.mined.brown_banner: #2, 3(17%)
minecraft.picked_up.cracked_nether_bricks: #2, 2(25%)
minecraft.used.green_shulker_box: #4, 419(10%)
minecraft.mined.comparator: #4, 259(10%)
minecraft.dropped.activator_rail: #2, 62(8%)
minecraft.used.bamboo_slab: #4, 1571(13%)
minecraft.picked_up.redstone: #3, 16124(6%)
minecraft.picked_up.brown_stained_glass_pane: #3, 24(15%)
minecraft.dropped.book: #3, 51(9%)
minecraft.dropped.daylight_detector: #2, 2(22%)
minecraft.dropped.purple_glazed_terracotta: #2, 2(22%)
minecraft.crafted.white_banner: #2, 203(2%)
minecraft.crafted.cyan_concrete_powder: #3, 1024(8%)
minecraft.dropped.dark_oak_trapdoor: #3, 67(10%)
minecraft.dropped.oak_stairs: #3, 54(14%)
minecraft.mined.pink_glazed_terracotta: #2, 7(10%)
minecraft.dropped.quartz_block: #2, 435(3%)
minecraft.custom.animals_bred: #4, 1873(10%)
minecraft.dropped.bricks: #3, 110(10%)
minecraft.picked_up.warped_fence: #4, 106(16%)
minecraft.dropped.redstone_lamp: #3, 21(28%)
minecraft.dropped.shelter_pottery_sherd: #2, 1(20%)
minecraft.picked_up.skull_pottery_sherd: #3, 10(20%)
minecraft.custom.jump: #4, 630048(5%)
minecraft.crafted.clay: #3, 339(9%)
minecraft.mined.waxed_weathered_cut_copper: #3, 75(12%)
minecraft.used.mangrove_door: #3, 12(8%)
minecraft.used.brown_stained_glass: #3, 625(13%)
minecraft.picked_up.guster_banner_pattern: #3, 5(10%)
minecraft.picked_up.dark_oak_leaves: #3, 630(6%)
minecraft.mined.purpur_slab: #4, 82(11%)
minecraft.crafted.light_gray_wool: #3, 832(9%)
minecraft.dropped.pink_glazed_terracotta: #2, 2(17%)
minecraft.crafted.wooden_hoe: #3, 5(17%)
minecraft.dropped.orange_glazed_terracotta: #2, 6(11%)
minecraft.used.piston: #4, 1414(9%)
minecraft.used.lime_candle: #2, 6(11%)
minecraft.killed.fox: #2, 2(11%)
minecraft.dropped.chiseled_sandstone: #2, 9(3%)
minecraft.mined.wither_rose: #2, 35(3%)
minecraft.mined.stripped_jungle_wood: #3, 147(8%)
minecraft.used.cherry_wood: #3, 73(10%)
minecraft.picked_up.lime_candle: #2, 4(15%)
minecraft.mined.twisting_vines_plant: #3, 31(9%)
minecraft.used.packed_ice: #3, 2412(5%)
minecraft.dropped.yellow_glazed_terracotta: #2, 2(10%)
minecraft.picked_up.raw_gold: #3, 2199(5%)
minecraft.picked_up.stripped_jungle_wood: #3, 152(8%)
minecraft.crafted.minecart: #4, 358(9%)
minecraft.picked_up.wayfinder_armor_trim_smithing_template: #3, 4(18%)
minecraft.mined.light_blue_wall_banner: #3, 4(18%)
minecraft.used.deepslate_brick_stairs: #3, 799(6%)
minecraft.crafted.yellow_wool: #4, 794(13%)
minecraft.killed.sheep: #3, 213(5%)
minecraft.picked_up.disc_fragment_5: #3, 23(14%)
minecraft.dropped.mud_brick_slab: #3, 53(18%)
minecraft.mined.lime_terracotta: #3, 161(8%)
minecraft.mined.lime_candle: #2, 2(12%)
minecraft.used.green_concrete_powder: #3, 661(7%)
minecraft.dropped.cyan_bed: #3, 2(10%)
minecraft.used.netherite_leggings: #3, 31(10%)
minecraft.picked_up.rail: #4, 4312(9%)
minecraft.picked_up.cyan_carpet: #3, 64(7%)
minecraft.used.glow_item_frame: #4, 374(10%)
minecraft.dropped.nether_wart: #3, 44(9%)
minecraft.picked_up.jungle_button: #3, 27(11%)
minecraft.used.pink_glazed_terracotta: #2, 18(4%)
minecraft.picked_up.waxed_weathered_copper: #3, 199(9%)
minecraft.dropped.bee_nest: #3, 2(12%)
minecraft.used.waxed_weathered_cut_copper: #3, 287(9%)
minecraft.dropped.cherry_button: #2, 3(5%)
minecraft.crafted.fishing_rod: #3, 22(5%)
minecraft.mined.dark_prismarine: #4, 342(13%)
minecraft.used.orange_glazed_terracotta: #3, 28(13%)
minecraft.picked_up.friend_pottery_sherd: #3, 4(14%)
minecraft.dropped.small_dripleaf: #2, 2(7%)
minecraft.used.smooth_sandstone_stairs: #3, 201(10%)
minecraft.mined.deepslate_gold_ore: #3, 1157(5%)
minecraft.dropped.purple_stained_glass: #2, 6(4%)
minecraft.dropped.jungle_boat: #3, 6(11%)
minecraft.used.player_head: #4, 405(8%)
minecraft.crafted.birch_pressure_plate: #3, 7(12%)
minecraft.picked_up.crying_obsidian: #4, 472(10%)
minecraft.mined.bamboo_button: #2, 17(1%)
minecraft.dropped.birch_pressure_plate: #3, 2(22%)
minecraft.picked_up.chorus_fruit: #3, 1138(4%)
minecraft.dropped.stripped_oak_wood: #3, 3(16%)
minecraft.picked_up.hay_block: #4, 709(9%)
minecraft.picked_up.jungle_trapdoor: #4, 127(10%)
minecraft.mined.mangrove_trapdoor: #4, 79(9%)
minecraft.dropped.oak_door: #3, 18(10%)
minecraft.mined.redstone_lamp: #4, 70(9%)
minecraft.crafted.blue_concrete_powder: #3, 640(7%)
minecraft.mined.magenta_stained_glass_pane: #3, 11(22%)
minecraft.dropped.tripwire_hook: #3, 14(7%)
minecraft.picked_up.stone_pressure_plate: #3, 115(5%)
minecraft.crafted.orange_candle: #2, 9(1%)
minecraft.killed.turtle: #3, 27(9%)
minecraft.mined.glowstone: #4, 479(9%)
minecraft.mined.yellow_glazed_terracotta: #3, 28(12%)
minecraft.dropped.glow_berries: #3, 46(6%)
minecraft.mined.jungle_leaves: #4, 3037(8%)
minecraft.used.weathered_copper: #2, 140(0%)
minecraft.dropped.cod: #3, 1799(5%)
minecraft.dropped.warped_hyphae: #2, 2(2%)
minecraft.crafted.blaze_powder: #4, 1556(8%)
minecraft.dropped.quartz_bricks: #2, 1(2%)
minecraft.mined.dead_bush: #4, 528(9%)
minecraft.dropped.soul_sand: #4, 462(9%)
minecraft.used.exposed_copper: #2, 96(0%)
minecraft.mined.sticky_piston: #4, 246(8%)
minecraft.crafted.crimson_slab: #3, 276(8%)
minecraft.used.honeycomb: #4, 1599(8%)
minecraft.crafted.iron_nugget: #4, 13606(8%)
minecraft.mined.brown_terracotta: #4, 2722(11%)
minecraft.picked_up.flower_pot: #4, 91(8%)
minecraft.mined.grindstone: #4, 56(9%)
minecraft.picked_up.shaper_armor_trim_smithing_template: #3, 3(14%)
minecraft.dropped.dead_fire_coral_block: #3, 1(33%)
minecraft.crafted.light_blue_bundle: #3, 1(33%)
minecraft.used.armadillo_scute: #3, 1(33%)
minecraft.killed_by.witch: #3, 1(25%)
minecraft.dropped.sculk_shrieker: #3, 6(33%)
minecraft.picked_up.andesite: #4, 20762(8%)
minecraft.picked_up.bundle: #4, 32(6%)
minecraft.used.crimson_slab: #3, 271(8%)
minecraft.picked_up.brown_terracotta: #4, 2699(10%)
minecraft.mined.deepslate_iron_ore: #4, 1659(8%)
minecraft.picked_up.red_stained_glass_pane: #3, 29(8%)
minecraft.mined.piston: #4, 346(8%)
minecraft.picked_up.lily_pad: #4, 322(8%)
minecraft.mined.stone_button: #4, 115(9%)
minecraft.dropped.nether_brick: #3, 264(7%)
minecraft.mined.anvil: #4, 73(8%)
minecraft.picked_up.burn_pottery_sherd: #3, 3(12%)
minecraft.picked_up.plenty_pottery_sherd: #3, 6(24%)
minecraft.mined.green_carpet: #4, 75(10%)
minecraft.used.stripped_jungle_wood: #3, 130(8%)
minecraft.picked_up.potion: #4, 319(7%)
minecraft.used.netherite_helmet: #3, 23(8%)
minecraft.used.splash_potion: #4, 146(8%)
minecraft.dropped.brick_slab: #3, 8(15%)
minecraft.picked_up.yellow_glazed_terracotta: #3, 30(10%)
minecraft.picked_up.cyan_glazed_terracotta: #3, 14(11%)
minecraft.mined.warped_trapdoor: #4, 62(11%)
minecraft.crafted.warped_fence_gate: #4, 72(13%)
minecraft.dropped.gray_bundle: #3, 2(18%)
minecraft.dropped.chiseled_stone_bricks: #3, 197(7%)
minecraft.crafted.diamond_shovel: #4, 18(8%)
minecraft.dropped.spruce_log: #4, 403(9%)
minecraft.picked_up.heartbreak_pottery_sherd: #3, 3(11%)
minecraft.dropped.spruce_button: #3, 25(6%)
minecraft.picked_up.stonecutter: #4, 118(7%)
minecraft.picked_up.jukebox: #4, 46(8%)
minecraft.dropped.tnt_minecart: #3, 7(12%)
minecraft.mined.yellow_wall_banner: #3, 5(12%)
minecraft.picked_up.chiseled_stone_bricks: #3, 128(4%)
minecraft.killed.piglin: #4, 89(9%)
minecraft.used.ender_chest: #4, 1243(7%)
minecraft.crafted.observer: #4, 1779(8%)
minecraft.picked_up.oxidized_chiseled_copper: #3, 9(6%)
minecraft.picked_up.anvil: #4, 100(6%)
minecraft.picked_up.prize_pottery_sherd: #3, 7(21%)
minecraft.crafted.name_tag: #4, 169(10%)
minecraft.used.spruce_hanging_sign: #4, 46(10%)
minecraft.dropped.ice: #3, 89(6%)
minecraft.used.wither_rose: #3, 207(7%)
minecraft.picked_up.vine: #4, 509(8%)
minecraft.dropped.repeater: #4, 146(11%)
minecraft.mined.warped_fungus: #4, 110(8%)
minecraft.crafted.iron_leggings: #4, 12(8%)
minecraft.crafted.red_concrete_powder: #3, 960(4%)
minecraft.picked_up.sheaf_pottery_sherd: #3, 3(10%)
minecraft.crafted.white_dye: #4, 6906(7%)
minecraft.mined.soul_lantern: #4, 42(13%)
minecraft.used.diamond_boots: #4, 29(6%)
minecraft.used.twisting_vines: #3, 61(7%)
minecraft.mined.skeleton_skull: #3, 5(12%)
minecraft.dropped.stone_sword: #3, 102(3%)
minecraft.mined.ender_chest: #4, 1223(7%)
minecraft.picked_up.clock: #4, 10(11%)
minecraft.crafted.raw_gold_block: #3, 164(4%)
minecraft.used.crafting_table: #4, 522(6%)
minecraft.mined.spruce_trapdoor: #4, 756(7%)
minecraft.used.weathered_cut_copper: #3, 11(10%)
minecraft.dropped.wither_rose: #3, 193(10%)
minecraft.picked_up.purpur_slab: #4, 80(8%)
minecraft.crafted.music_disc_5: #3, 2(12%)
minecraft.picked_up.warped_fungus_on_a_stick: #3, 1(25%)
minecraft.crafted.cyan_shulker_box: #4, 13(8%)
minecraft.dropped.cobweb: #4, 185(16%)
minecraft.picked_up.iron_leggings: #4, 15(7%)
minecraft.used.light_gray_bed: #3, 81(5%)
minecraft.used.warped_stem: #4, 555(8%)
minecraft.mined.ochre_froglight: #4, 249(7%)
minecraft.dropped.crossbow: #4, 123(8%)
minecraft.picked_up.mossy_stone_brick_stairs: #3, 12(5%)
minecraft.picked_up.jungle_leaves: #4, 1502(8%)
minecraft.mined.stripped_jungle_log: #4, 349(9%)
minecraft.dropped.sponge: #3, 37(9%)
minecraft.picked_up.dark_oak_stairs: #4, 144(8%)
minecraft.used.redstone_torch: #5, 1536(11%)
minecraft.dropped.gray_terracotta: #3, 26(17%)
minecraft.dropped.brain_coral_fan: #3, 3(23%)
minecraft.picked_up.waxed_oxidized_copper: #4, 1230(8%)
minecraft.dropped.polished_tuff_wall: #4, 46(13%)
minecraft.used.end_crystal: #3, 18(11%)
minecraft.picked_up.grindstone: #4, 61(7%)
minecraft.mined.nether_quartz_ore: #4, 3130(7%)
minecraft.picked_up.white_terracotta: #5, 2833(11%)
minecraft.used.brown_glazed_terracotta: #3, 25(16%)
minecraft.dropped.warped_slab: #3, 15(13%)
minecraft.custom.open_enderchest: #5, 8362(7%)
minecraft.picked_up.observer: #4, 750(7%)
minecraft.custom.clean_shulker_box: #3, 6(9%)
minecraft.killed.trader_llama: #4, 27(7%)
minecraft.crafted.dark_oak_trapdoor: #4, 814(7%)
minecraft.mined.warped_wart_block: #4, 1809(8%)
minecraft.crafted.stone_pressure_plate: #4, 246(7%)
minecraft.mined.lime_concrete: #4, 713(10%)
minecraft.used.honey_block: #4, 1155(7%)
minecraft.dropped.stripped_jungle_wood: #3, 12(12%)
minecraft.used.crimson_hanging_sign: #3, 11(21%)
minecraft.mined.weathered_copper: #4, 329(9%)
minecraft.dropped.golden_horse_armor: #3, 3(10%)
minecraft.mined.raw_gold_block: #3, 12(7%)
minecraft.mined.sculk: #3, 4331(3%)
minecraft.mined.weathered_cut_copper: #3, 13(5%)
minecraft.killed.stray: #4, 285(9%)
minecraft.dropped.sniffer_egg: #3, 2(20%)
minecraft.mined.white_bed: #4, 383(6%)
minecraft.mined.dark_oak_stairs: #4, 106(7%)
minecraft.dropped.horn_coral_block: #3, 3(10%)
minecraft.dropped.dark_oak_pressure_plate: #3, 10(11%)
minecraft.mined.brick_slab: #4, 17(11%)
minecraft.dropped.spruce_slab: #4, 129(8%)
minecraft.picked_up.weathered_cut_copper: #3, 13(5%)
minecraft.used.candle: #4, 45(10%)
minecraft.dropped.green_stained_glass: #3, 7(14%)
minecraft.used.tnt_minecart: #4, 50(12%)
minecraft.picked_up.white_bed: #4, 379(6%)
minecraft.killed.parrot: #3, 3(11%)
minecraft.crafted.blue_shulker_box: #4, 8(8%)
minecraft.picked_up.music_disc_creator: #4, 16(11%)
minecraft.mined.warped_roots: #4, 503(7%)
minecraft.custom.bell_ring: #4, 67(7%)
minecraft.used.crimson_fungus: #4, 99(11%)
minecraft.dropped.bamboo_sign: #3, 39(4%)
minecraft.picked_up.clay_ball: #4, 4728(6%)
minecraft.mined.dark_oak_pressure_plate: #4, 10(15%)
minecraft.used.warped_roots: #4, 87(9%)
minecraft.killed_by.guardian: #4, 13(11%)
minecraft.mined.vine: #4, 931(6%)
minecraft.crafted.warped_fungus_on_a_stick: #3, 1(12%)
minecraft.dropped.music_disc_creator: #3, 1(17%)
minecraft.dropped.jungle_trapdoor: #3, 9(5%)
minecraft.dropped.iron_chestplate: #4, 10(6%)
minecraft.used.birch_pressure_plate: #4, 11(15%)
minecraft.killed.bee: #4, 24(11%)
minecraft.dropped.polished_deepslate_slab: #4, 86(14%)
minecraft.crafted.bundle: #3, 19(3%)
minecraft.used.warped_fungus: #3, 218(3%)
minecraft.dropped.diamond_chestplate: #4, 6(7%)
minecraft.used.weathered_copper_grate: #3, 12(6%)
minecraft.crafted.black_shulker_box: #4, 8(7%)
minecraft.used.gray_carpet: #4, 770(7%)
minecraft.dropped.orange_stained_glass: #3, 14(8%)
minecraft.mined.redstone_ore: #4, 176(6%)
minecraft.picked_up.weathered_copper_grate: #4, 12(10%)
minecraft.mined.smooth_sandstone: #4, 243(8%)
minecraft.dropped.mossy_cobblestone_wall: #3, 2(11%)
minecraft.crafted.crimson_hanging_sign: #3, 6(11%)
minecraft.used.waxed_oxidized_cut_copper_slab: #4, 308(11%)
minecraft.mined.raw_copper_block: #4, 16(7%)
minecraft.picked_up.glow_item_frame: #4, 200(6%)
minecraft.dropped.warped_nylium: #3, 3(6%)
minecraft.used.wooden_sword: #4, 167(8%)
minecraft.used.white_bed: #4, 380(6%)
minecraft.mined.rooted_dirt: #4, 1140(7%)
minecraft.picked_up.jungle_slab: #5, 259(11%)
minecraft.crafted.green_terracotta: #4, 1152(7%)
minecraft.mined.orange_candle: #3, 1(14%)
minecraft.mined.weathered_copper_grate: #4, 12(10%)
minecraft.dropped.brown_stained_glass_pane: #3, 19(14%)
minecraft.used.golden_leggings: #3, 3(8%)
minecraft.killed.frog: #3, 5(6%)
minecraft.picked_up.suspicious_stew: #3, 3(8%)
minecraft.crafted.brown_stained_glass_pane: #4, 288(16%)
minecraft.crafted.blue_wool: #4, 81(9%)
minecraft.dropped.green_glazed_terracotta: #3, 3(14%)
minecraft.dropped.wooden_hoe: #4, 5(14%)
minecraft.picked_up.chainmail_leggings: #4, 8(7%)
minecraft.dropped.tuff_slab: #4, 43(13%)
minecraft.used.lingering_potion: #3, 2(8%)
minecraft.picked_up.blaze_rod: #4, 825(6%)
minecraft.crafted.packed_ice: #3, 95(3%)
minecraft.crafted.shears: #5, 1281(9%)
minecraft.dropped.mossy_cobblestone_stairs: #3, 4(11%)
minecraft.dropped.purpur_stairs: #4, 16(11%)
minecraft.used.oxidized_copper: #4, 663(6%)
minecraft.used.brown_mushroom_block: #4, 628(7%)
minecraft.dropped.stripped_dark_oak_wood: #3, 2(7%)
minecraft.picked_up.creeper_head: #3, 1(11%)
minecraft.dropped.green_terracotta: #3, 2(6%)
minecraft.picked_up.crafter: #5, 169(10%)
minecraft.dropped.iron_nugget: #5, 1665(9%)
minecraft.mined.candle: #4, 11(9%)
minecraft.picked_up.mourner_pottery_sherd: #3, 2(11%)
minecraft.used.written_book: #4, 275(5%)
minecraft.dropped.oak_pressure_plate: #4, 5(12%)
minecraft.dropped.jungle_slab: #5, 91(15%)
minecraft.dropped.deepslate_gold_ore: #3, 26(3%)
minecraft.crafted.lime_terracotta: #4, 1116(8%)
minecraft.mined.tnt: #4, 150(6%)
minecraft.used.orange_candle: #3, 12(7%)
minecraft.picked_up.warped_fence_gate: #4, 19(14%)
minecraft.dropped.brown_banner: #3, 2(7%)
minecraft.picked_up.red_mushroom: #4, 95(5%)
minecraft.mined.sugar_cane: #5, 10230(9%)
minecraft.dropped.spyglass: #4, 6(7%)
minecraft.mined.green_shulker_box: #5, 368(9%)
minecraft.picked_up.jungle_wood: #4, 133(11%)
minecraft.used.copper_block: #3, 1424(1%)
minecraft.crafted.beehive: #4, 586(7%)
minecraft.picked_up.bamboo_pressure_plate: #4, 12(12%)
minecraft.dropped.fermented_spider_eye: #3, 4(6%)
minecraft.crafted.beacon: #3, 6(2%)
minecraft.picked_up.tipped_arrow: #4, 684(6%)
minecraft.dropped.fire_coral_fan: #3, 3(3%)
minecraft.picked_up.netherite_pickaxe: #5, 56(8%)
minecraft.dropped.fern: #4, 41(15%)
minecraft.dropped.waxed_weathered_cut_copper: #3, 3(8%)
minecraft.picked_up.red_banner: #4, 28(8%)
minecraft.crafted.map: #3, 539(1%)
minecraft.crafted.daylight_detector: #4, 248(7%)
minecraft.picked_up.enchanted_golden_apple: #4, 28(7%)
minecraft.dropped.chorus_fruit: #4, 258(10%)
minecraft.dropped.green_carpet: #3, 6(4%)
minecraft.picked_up.rose_bush: #5, 837(8%)
minecraft.dropped.warped_hanging_sign: #3, 1(6%)
minecraft.picked_up.green_shulker_box: #5, 365(9%)
minecraft.mined.deepslate_redstone_ore: #4, 2608(5%)
minecraft.crafted.pink_shulker_box: #4, 8(6%)
minecraft.crafted.jungle_wood: #4, 600(10%)
minecraft.used.waxed_weathered_copper: #4, 266(10%)
minecraft.picked_up.stone: #4, 190305(4%)
minecraft.crafted.birch_fence: #4, 162(6%)
minecraft.dropped.brush: #4, 3(15%)
minecraft.crafted.pink_terracotta: #4, 1528(10%)
minecraft.dropped.orange_stained_glass_pane: #3, 4(7%)
minecraft.used.jungle_wood: #4, 560(10%)
minecraft.dropped.purple_concrete_powder: #3, 3(4%)
minecraft.mined.packed_mud: #4, 2253(5%)
minecraft.picked_up.cobbled_deepslate_slab: #4, 341(6%)
minecraft.used.magenta_stained_glass_pane: #3, 39(2%)
minecraft.crafted.gray_glazed_terracotta: #3, 2(4%)
minecraft.picked_up.music_disc_11: #4, 8(15%)
minecraft.mined.honeycomb_block: #3, 22(2%)
minecraft.picked_up.gold_ingot: #4, 1386(4%)
minecraft.used.jungle_slab: #5, 717(10%)
minecraft.used.bamboo_pressure_plate: #4, 12(12%)
minecraft.picked_up.birch_pressure_plate: #4, 9(12%)
minecraft.crafted.glass: #5, 14871(9%)
minecraft.crafted.honeycomb_block: #4, 2598(10%)
minecraft.used.coal_block: #3, 104(1%)
minecraft.dropped.brown_concrete_powder: #3, 3(3%)
minecraft.picked_up.golden_axe: #4, 3(14%)
minecraft.crafted.waxed_weathered_copper: #4, 169(13%)
minecraft.mined.light_blue_terracotta: #4, 131(6%)
minecraft.picked_up.iron_horse_armor: #4, 5(8%)
minecraft.picked_up.chiseled_sandstone: #4, 49(8%)
minecraft.dropped.yellow_stained_glass: #3, 7(3%)
minecraft.dropped.bubble_coral_block: #3, 3(3%)
minecraft.crafted.spyglass: #4, 6(8%)
minecraft.used.waxed_oxidized_cut_copper: #4, 419(6%)
minecraft.used.mycelium: #3, 99(2%)
minecraft.dropped.cyan_glazed_terracotta: #3, 2(3%)
minecraft.picked_up.guster_pottery_sherd: #4, 29(7%)
minecraft.used.weathered_copper_trapdoor: #4, 48(7%)
minecraft.dropped.cherry_stairs: #3, 1(3%)
minecraft.mined.jungle_trapdoor: #5, 98(10%)
minecraft.used.red_glazed_terracotta: #4, 104(9%)
minecraft.crafted.waxed_oxidized_copper_grate: #4, 40(9%)
minecraft.dropped.quartz_slab: #3, 3(1%)
minecraft.used.redstone_lamp: #5, 210(9%)
minecraft.dropped.crimson_trapdoor: #3, 1(1%)
minecraft.used.bamboo_button: #3, 58(0%)
minecraft.dropped.deepslate_brick_slab: #4, 26(11%)
minecraft.picked_up.mangrove_propagule: #4, 858(5%)
minecraft.used.carrot_on_a_stick: #4, 10(18%)
minecraft.dropped.smooth_red_sandstone: #3, 4(1%)
minecraft.used.cracked_deepslate_bricks: #4, 111(12%)
minecraft.used.light_blue_terracotta: #4, 707(5%)
minecraft.dropped.pink_concrete_powder: #3, 3(1%)
minecraft.crafted.moss_carpet: #4, 1356(5%)
minecraft.crafted.lime_candle: #3, 5(1%)
minecraft.crafted.bamboo_block: #5, 3348(8%)
minecraft.dropped.orange_concrete: #3, 3(0%)
minecraft.used.dead_bubble_coral_block: #3, 3(1%)
minecraft.mined.chorus_plant: #4, 70(5%)
minecraft.picked_up.deepslate_gold_ore: #4, 422(4%)
minecraft.crafted.pink_candle: #3, 4(0%)
minecraft.picked_up.crimson_trapdoor: #4, 37(8%)
minecraft.crafted.jungle_slab: #5, 820(9%)
minecraft.killed.drowned: #3, 1411(0%)
minecraft.picked_up.music_disc_creator_music_box: #4, 8(7%)
minecraft.crafted.waxed_exposed_copper: #4, 113(11%)
minecraft.picked_up.raw_copper: #5, 43132(8%)
minecraft.dropped.furnace_minecart: #4, 1(25%)
minecraft.mined.potted_dark_oak_sapling: #4, 1(25%)
minecraft.used.dispenser: #5, 409(8%)
minecraft.picked_up.packed_mud: #4, 2329(4%)
minecraft.dropped.glistering_melon_slice: #4, 23(7%)
minecraft.used.cartography_table: #4, 20(5%)
minecraft.used.cyan_glazed_terracotta: #4, 20(11%)
minecraft.picked_up.hopper: #5, 969(8%)
minecraft.used.beetroot_seeds: #5, 522(8%)
minecraft.dropped.twisting_vines: #4, 6(14%)
minecraft.dropped.clock: #4, 4(10%)
minecraft.picked_up.chorus_flower: #4, 170(5%)
minecraft.mined.bamboo_stairs: #4, 28(5%)
minecraft.picked_up.golden_horse_armor: #4, 5(7%)
minecraft.mined.kelp_plant: #4, 282(4%)
minecraft.crafted.warped_planks: #5, 2916(8%)
minecraft.used.sticky_piston: #5, 739(8%)
minecraft.dropped.short_grass: #4, 147(5%)
minecraft.dropped.jungle_planks: #5, 65(10%)
minecraft.used.porkchop: #4, 11(7%)
minecraft.mined.pale_oak_leaves: #4, 3062(4%)
minecraft.dropped.coal_block: #4, 70(10%)
minecraft.picked_up.jungle_fence: #5, 127(11%)
minecraft.dropped.jungle_log: #4, 95(5%)
minecraft.crafted.ender_eye: #4, 118(4%)
minecraft.used.deepslate_brick_slab: #4, 761(4%)
minecraft.mined.decorated_pot: #5, 446(8%)
minecraft.killed.slime: #5, 961(8%)
minecraft.picked_up.light_gray_terracotta: #5, 2097(8%)
minecraft.crafted.bone_meal: #5, 109305(8%)
minecraft.used.crafter: #5, 228(8%)
minecraft.mined.lime_stained_glass: #4, 38(6%)
minecraft.picked_up.packed_ice: #4, 6960(3%)
minecraft.used.chicken: #4, 7(10%)
minecraft.mined.light_gray_terracotta: #5, 2087(8%)
minecraft.dropped.snowball: #5, 328(7%)
minecraft.picked_up.nether_sprouts: #4, 332(8%)
minecraft.dropped.iron_door: #4, 6(7%)
minecraft.picked_up.bricks: #5, 491(7%)
minecraft.used.chipped_anvil: #5, 23(8%)
minecraft.crafted.lapis_lazuli: #5, 1596(8%)
minecraft.picked_up.dark_oak_log: #5, 6970(7%)
minecraft.mined.spruce_sapling: #5, 46(8%)
minecraft.picked_up.light_gray_concrete: #5, 845(8%)
minecraft.mined.cyan_carpet: #4, 33(5%)
minecraft.used.poisonous_potato: #4, 1(20%)
minecraft.mined.magenta_stained_glass: #5, 36(11%)
minecraft.used.light_gray_carpet: #4, 418(3%)
minecraft.mined.oak_fence: #5, 307(7%)
minecraft.picked_up.howl_pottery_sherd: #4, 3(10%)
minecraft.crafted.wooden_sword: #4, 40(5%)
minecraft.mined.cave_vines_plant: #5, 29(8%)
minecraft.picked_up.coast_armor_trim_smithing_template: #4, 3(9%)
minecraft.picked_up.dark_oak_sapling: #4, 885(3%)
minecraft.used.stripped_dark_oak_log: #5, 609(8%)
minecraft.mined.light_gray_bed: #4, 78(5%)
minecraft.picked_up.fletching_table: #4, 7(8%)
minecraft.picked_up.hopper_minecart: #4, 36(3%)
minecraft.used.cherry_sapling: #5, 171(9%)
minecraft.picked_up.diorite: #5, 18107(7%)
minecraft.picked_up.soul_campfire: #4, 5(8%)
minecraft.dropped.waxed_weathered_copper_bulb: #4, 1(14%)
minecraft.mined.orange_glazed_terracotta: #4, 17(10%)
minecraft.picked_up.dark_oak_pressure_plate: #4, 11(7%)
minecraft.picked_up.book: #5, 785(7%)
minecraft.crafted.brick: #5, 9298(7%)
minecraft.picked_up.yellow_banner: #4, 5(6%)
minecraft.crafted.book: #5, 572(7%)
minecraft.crafted.candle: #4, 785(4%)
minecraft.killed.wandering_trader: #5, 14(7%)
minecraft.dropped.dark_oak_stairs: #4, 10(7%)
minecraft.crafted.gray_bed: #4, 7(6%)
minecraft.dropped.candle: #4, 29(6%)
minecraft.dropped.mace: #5, 12(8%)
minecraft.mined.soul_sand: #5, 1548(7%)
minecraft.mined.fletching_table: #4, 6(8%)
minecraft.killed.zombie_villager: #5, 18(6%)
minecraft.picked_up.painting: #5, 323(7%)
minecraft.mined.stonecutter: #5, 102(7%)
minecraft.mined.waxed_oxidized_copper: #5, 1167(8%)
minecraft.mined.stone_pressure_plate: #4, 70(3%)
minecraft.crafted.netherite_block: #4, 1(17%)
minecraft.mined.packed_ice: #4, 6922(3%)
minecraft.dropped.dispenser: #5, 46(11%)
minecraft.used.honey_bottle: #5, 496(8%)
minecraft.used.stripped_jungle_log: #5, 259(10%)
minecraft.picked_up.minecart: #5, 251(7%)
minecraft.crafted.magenta_concrete_powder: #4, 640(5%)
minecraft.killed.wither_skeleton: #4, 706(3%)
minecraft.picked_up.archer_pottery_sherd: #4, 5(16%)
minecraft.used.heavy_core: #4, 3(11%)
minecraft.mined.white_terracotta: #6, 2612(11%)
minecraft.used.water_bucket: #5, 3780(6%)
minecraft.used.barrel: #5, 663(7%)
minecraft.picked_up.deepslate_copper_ore: #4, 104(3%)
minecraft.used.purple_shulker_box: #5, 240(7%)
minecraft.crafted.yellow_dye: #5, 2306(6%)
minecraft.picked_up.blackstone: #5, 3679(6%)
minecraft.used.dried_kelp_block: #4, 15(6%)
minecraft.custom.fill_cauldron: #5, 61(6%)
minecraft.used.brick_stairs: #5, 63(10%)
