stat, rank, value, (percentage) 
minecraft.picked_up.music_disc_blocks: #2, 11(17%)
minecraft.used.acacia_wood: #2, 1147(10%)
minecraft.used.light_blue_terracotta: #2, 1240(9%)
minecraft.picked_up.nether_brick_stairs: #2, 15(26%)
minecraft.picked_up.jungle_pressure_plate: #2, 10(20%)
minecraft.dropped.brown_candle: #2, 31(29%)
minecraft.used.dandelion: #3, 99(12%)
minecraft.used.tuff_stairs: #2, 190(12%)
minecraft.crafted.jungle_hanging_sign: #2, 30(19%)
minecraft.dropped.spore_blossom: #2, 6(17%)
minecraft.mined.blackstone_wall: #2, 10(16%)
minecraft.mined.acacia_wood: #3, 112(14%)
minecraft.mined.blue_bed: #2, 62(10%)
minecraft.used.cooked_salmon: #3, 457(10%)
minecraft.custom.fly_one_cm: #4, 157871957(6%)
minecraft.used.jungle_fence: #3, 500(12%)
minecraft.crafted.tuff_slab: #2, 256(7%)
minecraft.picked_up.blue_bed: #2, 61(10%)
minecraft.crafted.mossy_cobblestone_slab: #3, 138(13%)
minecraft.picked_up.music_disc_mall: #2, 10(18%)
minecraft.broken.iron_sword: #2, 9(20%)
minecraft.mined.spruce_wall_hanging_sign: #2, 11(10%)
minecraft.crafted.crimson_hyphae: #2, 102(11%)
minecraft.crafted.jungle_fence: #3, 507(11%)
minecraft.picked_up.clay: #3, 2836(9%)
minecraft.used.jungle_slab: #3, 785(11%)
minecraft.mined.bamboo_mosaic_slab: #2, 27(22%)
minecraft.picked_up.oak_door: #3, 33(10%)
minecraft.crafted.cooked_cod: #2, 695(12%)
minecraft.crafted.yellow_glazed_terracotta: #2, 116(19%)
minecraft.mined.torchflower: #2, 114(8%)
minecraft.mined.purple_terracotta: #3, 205(19%)
minecraft.picked_up.jungle_door: #2, 7(13%)
minecraft.used.blue_bed: #2, 66(10%)
minecraft.crafted.blue_concrete_powder: #2, 712(8%)
minecraft.picked_up.pufferfish: #3, 378(10%)
minecraft.used.torchflower_seeds: #2, 120(9%)
minecraft.dropped.pale_oak_wood: #2, 22(23%)
minecraft.custom.fish_caught: #3, 1893(8%)
minecraft.mined.enchanting_table: #2, 4(8%)
minecraft.mined.fire_coral: #3, 102(14%)
minecraft.crafted.leather_horse_armor: #2, 9(20%)
minecraft.dropped.orange_terracotta: #3, 231(12%)
minecraft.picked_up.fire_coral: #3, 99(13%)
minecraft.mined.tube_coral: #3, 93(13%)
minecraft.dropped.horn_coral_block: #2, 5(16%)
minecraft.used.red_tulip: #3, 20(16%)
minecraft.crafted.cooked_salmon: #3, 491(9%)
minecraft.picked_up.tube_coral: #3, 92(13%)
minecraft.used.orange_tulip: #3, 25(16%)
minecraft.used.purple_terracotta: #3, 720(14%)
minecraft.mined.blue_glazed_terracotta: #2, 17(22%)
minecraft.picked_up.purple_terracotta: #3, 179(14%)
minecraft.used.dark_oak_slab: #3, 1411(7%)
minecraft.crafted.mossy_stone_bricks: #3, 2076(10%)
minecraft.crafted.jungle_pressure_plate: #3, 10(18%)
minecraft.crafted.oxidized_cut_copper_stairs: #3, 96(13%)
minecraft.crafted.polished_blackstone_bricks: #3, 360(14%)
minecraft.crafted.acacia_wood: #3, 1203(10%)
minecraft.used.mossy_stone_brick_stairs: #3, 100(12%)
minecraft.crafted.deepslate_tile_slab: #3, 252(9%)
minecraft.used.bubble_coral_block: #2, 34(8%)
minecraft.picked_up.acacia_hanging_sign: #3, 10(17%)
minecraft.mined.light_blue_bed: #3, 40(9%)
minecraft.picked_up.blue_glazed_terracotta: #2, 12(16%)
minecraft.mined.mangrove_wood: #4, 73(17%)
minecraft.crafted.blackstone_slab: #3, 168(11%)
minecraft.picked_up.light_blue_bed: #3, 40(9%)
minecraft.dropped.cherry_sapling: #3, 79(11%)
minecraft.dropped.grass_block: #4, 4865(10%)
minecraft.picked_up.cake: #3, 13(15%)
minecraft.crafted.bamboo_block: #4, 4117(10%)
minecraft.used.orange_terracotta: #4, 2211(11%)
minecraft.used.blue_concrete_powder: #3, 464(9%)
minecraft.picked_up.mangrove_hanging_sign: #3, 9(13%)
minecraft.picked_up.chainmail_chestplate: #3, 8(7%)
minecraft.mined.spruce_hanging_sign: #3, 6(11%)
minecraft.picked_up.brown_mushroom_block: #3, 3342(7%)
minecraft.used.blue_concrete: #3, 366(10%)
minecraft.used.cut_copper: #3, 184(12%)
minecraft.mined.birch_slab: #3, 79(8%)
minecraft.dropped.iron_sword: #4, 35(12%)
minecraft.used.nether_brick_stairs: #3, 29(20%)
minecraft.crafted.purple_terracotta: #3, 688(8%)
minecraft.crafted.wooden_sword: #3, 71(8%)
minecraft.picked_up.wooden_hoe: #3, 7(14%)
minecraft.picked_up.sniffer_egg: #3, 14(17%)
minecraft.used.crimson_planks: #3, 361(8%)
minecraft.used.enchanting_table: #3, 5(7%)
minecraft.crafted.polished_blackstone_brick_slab: #3, 120(15%)
minecraft.mined.red_nether_bricks: #2, 2(6%)
minecraft.picked_up.coast_armor_trim_smithing_template: #3, 5(14%)
minecraft.crafted.purpur_stairs: #2, 8(7%)
minecraft.mined.prismarine_brick_slab: #2, 15(4%)
minecraft.crafted.gold_nugget: #3, 9625(6%)
minecraft.crafted.prismarine_slab: #2, 18(5%)
minecraft.dropped.wooden_sword: #4, 14(12%)
minecraft.used.oxidized_cut_copper: #3, 535(8%)
minecraft.mined.cyan_concrete_powder: #3, 19(9%)
minecraft.mined.bamboo_block: #4, 273(10%)
minecraft.crafted.tuff_stairs: #3, 59(8%)
minecraft.crafted.jungle_slab: #4, 876(10%)
minecraft.dropped.waxed_weathered_copper_trapdoor: #2, 2(8%)
minecraft.dropped.dark_oak_planks: #3, 84(5%)
minecraft.crafted.conduit: #3, 3(14%)
minecraft.mined.mangrove_hanging_sign: #3, 4(12%)
minecraft.used.leather_helmet: #3, 2(9%)
minecraft.picked_up.bamboo_mosaic_slab: #3, 29(15%)
minecraft.killed.salmon: #4, 247(8%)
minecraft.mined.magenta_stained_glass: #4, 41(12%)
minecraft.used.wooden_hoe: #3, 90(15%)
minecraft.mined.jungle_door: #3, 4(13%)
minecraft.mined.hanging_roots: #3, 107(9%)
minecraft.mined.pink_candle: #3, 8(13%)
minecraft.picked_up.gray_terracotta: #3, 105(6%)
minecraft.broken.iron_chestplate: #3, 1(33%)
minecraft.picked_up.enchanting_table: #3, 4(7%)
minecraft.mined.dark_oak_planks: #4, 323(9%)
minecraft.dropped.acacia_planks: #3, 45(6%)
minecraft.picked_up.hanging_roots: #3, 105(8%)
minecraft.used.jungle_planks: #4, 1530(8%)
minecraft.used.tuff_brick_stairs: #3, 504(5%)
minecraft.mined.sandstone_slab: #3, 56(9%)
minecraft.crafted.light_blue_glazed_terracotta: #3, 24(11%)
minecraft.picked_up.trident: #4, 39(9%)
minecraft.mined.jungle_sign: #3, 2(7%)
minecraft.killed.player: #4, 160(6%)
minecraft.crafted.muddy_mangrove_roots: #3, 450(8%)
minecraft.used.crimson_hyphae: #3, 98(6%)
minecraft.used.blackstone_stairs: #3, 71(5%)
minecraft.dropped.potato: #5, 2439(10%)
minecraft.used.bamboo_block: #5, 1310(13%)
minecraft.picked_up.sandstone_slab: #3, 59(8%)
minecraft.broken.iron_axe: #4, 6(9%)
minecraft.dropped.conduit: #3, 1(12%)
