stat, rank, value, (percentage) 
minecraft.crafted.red_sandstone_stairs: #5, 6(2%)
minecraft.mined.cornflower: #6, 90(5%)
minecraft.crafted.iron_chestplate: #6, 7(5%)
minecraft.used.prismarine_bricks: #5, 375(1%)
minecraft.used.mud: #6, 4473(5%)
minecraft.dropped.phantom_membrane: #6, 14(6%)
minecraft.used.dead_fire_coral_block: #5, 8(1%)
minecraft.dropped.oak_sign: #6, 23(5%)
minecraft.dropped.pale_oak_sapling: #5, 1(2%)
minecraft.crafted.enchanting_table: #6, 2(5%)
minecraft.dropped.polished_blackstone_bricks: #5, 4(1%)
minecraft.dropped.cod: #5, 120(0%)
minecraft.used.horn_coral: #5, 3(1%)
minecraft.picked_up.magenta_candle: #5, 1(1%)
minecraft.used.brain_coral_block: #6, 95(8%)
minecraft.dropped.green_carpet: #5, 1(1%)
minecraft.picked_up.lime_dye: #6, 67(4%)
minecraft.picked_up.spruce_hanging_sign: #6, 17(5%)
minecraft.crafted.firework_star: #5, 71(0%)
minecraft.crafted.oxidized_chiseled_copper: #6, 33(8%)
minecraft.used.cyan_carpet: #6, 81(6%)
minecraft.dropped.smooth_sandstone: #6, 53(10%)
minecraft.used.fire_coral_fan: #6, 15(7%)
minecraft.crafted.popped_chorus_fruit: #6, 129(7%)
minecraft.crafted.cyan_stained_glass_pane: #6, 240(7%)
minecraft.used.polished_blackstone_wall: #6, 66(7%)
minecraft.crafted.oxidized_cut_copper_slab: #6, 94(6%)
minecraft.dropped.melon_slice: #6, 904(3%)
minecraft.mined.cherry_fence: #6, 18(9%)
minecraft.picked_up.polished_blackstone_stairs: #6, 25(6%)
minecraft.picked_up.cyan_banner: #6, 6(7%)
minecraft.picked_up.shelter_pottery_sherd: #6, 4(7%)
minecraft.mined.polished_blackstone_button: #6, 8(6%)
minecraft.used.polished_blackstone_brick_slab: #6, 130(10%)
minecraft.used.birch_planks: #7, 1043(7%)
minecraft.mined.spruce_fence: #7, 312(7%)
minecraft.crafted.iron_sword: #6, 10(3%)
minecraft.used.spyglass: #6, 193(3%)
minecraft.used.spruce_leaves: #6, 1011(3%)
minecraft.used.andesite: #6, 2848(3%)
minecraft.dropped.pink_petals: #6, 138(4%)
minecraft.crafted.mangrove_button: #6, 8(4%)
minecraft.used.mossy_cobblestone_slab: #7, 139(9%)
minecraft.used.mossy_stone_brick_wall: #6, 6(5%)
minecraft.dropped.carrot_on_a_stick: #6, 2(6%)
minecraft.used.cyan_wool: #6, 189(3%)
minecraft.picked_up.rotten_flesh: #7, 8920(5%)
minecraft.mined.cyan_carpet: #6, 26(4%)
minecraft.mined.spruce_planks: #7, 811(6%)
minecraft.mined.deepslate_tile_slab: #6, 107(3%)
minecraft.used.acacia_planks: #6, 335(3%)
minecraft.picked_up.bowl: #7, 42(8%)
minecraft.dropped.cornflower: #6, 27(2%)
minecraft.dropped.green_wool: #6, 64(4%)
minecraft.used.beetroot_seeds: #7, 415(6%)
minecraft.picked_up.carrot_on_a_stick: #6, 2(5%)
minecraft.dropped.elytra: #7, 15(5%)
minecraft.used.spruce_planks: #7, 3060(6%)
minecraft.dropped.andesite_slab: #6, 20(4%)
minecraft.dropped.jungle_leaves: #6, 25(3%)
minecraft.used.orange_stained_glass_pane: #6, 157(3%)
minecraft.picked_up.magenta_stained_glass: #6, 30(3%)
minecraft.mined.cave_vines_plant: #7, 24(7%)
minecraft.mined.tuff_stairs: #6, 7(4%)
minecraft.picked_up.pitcher_pod: #6, 43(2%)
minecraft.picked_up.acacia_log: #7, 2664(6%)
minecraft.crafted.bamboo_mosaic_stairs: #6, 12(5%)
minecraft.mined.gray_terracotta: #6, 41(3%)
minecraft.dropped.dark_oak_boat: #6, 1(6%)
minecraft.crafted.mangrove_boat: #6, 1(6%)
minecraft.used.acacia_sapling: #6, 361(2%)
minecraft.used.flowering_azalea_leaves: #6, 205(2%)
minecraft.crafted.dark_oak_slab: #7, 1386(5%)
minecraft.crafted.chiseled_polished_blackstone: #6, 4(3%)
minecraft.mined.andesite_slab: #7, 60(6%)
minecraft.crafted.andesite_wall: #6, 62(2%)
minecraft.crafted.cobbled_deepslate_wall: #6, 24(2%)
minecraft.used.cookie: #6, 41(2%)
minecraft.picked_up.cyan_candle: #6, 6(3%)
minecraft.crafted.spruce_hanging_sign: #7, 36(8%)
minecraft.crafted.polished_blackstone_stairs: #6, 16(3%)
minecraft.picked_up.chorus_flower: #6, 53(2%)
minecraft.mined.brown_candle: #6, 4(4%)
minecraft.picked_up.angler_pottery_sherd: #6, 2(3%)
minecraft.picked_up.cyan_concrete: #7, 207(7%)
minecraft.dropped.diamond_sword: #7, 13(5%)
minecraft.dropped.mossy_stone_bricks: #6, 30(2%)
minecraft.mined.prismarine_bricks: #6, 262(1%)
minecraft.picked_up.tuff_stairs: #6, 6(2%)
minecraft.used.cracked_deepslate_bricks: #6, 26(3%)
minecraft.mined.dead_tube_coral_block: #6, 16(2%)
minecraft.used.goat_horn: #6, 6(2%)
minecraft.used.sculk_sensor: #6, 15(1%)
minecraft.used.tropical_fish_bucket: #6, 11(2%)
minecraft.used.prismarine_brick_slab: #6, 30(2%)
minecraft.killed.tropical_fish: #6, 7(2%)
minecraft.used.jungle_trapdoor: #7, 322(6%)
minecraft.picked_up.gray_shulker_box: #7, 300(5%)
minecraft.crafted.smooth_sandstone_slab: #6, 48(2%)
minecraft.picked_up.mangrove_boat: #6, 1(3%)
minecraft.mined.crimson_planks: #6, 16(1%)
minecraft.picked_up.bamboo_fence_gate: #6, 19(1%)
minecraft.mined.jungle_fence: #7, 43(7%)
minecraft.used.red_sandstone_slab: #6, 27(2%)
minecraft.used.prismarine_slab: #6, 20(2%)
minecraft.mined.gray_shulker_box: #7, 274(5%)
minecraft.used.bamboo_mosaic_stairs: #6, 10(2%)
minecraft.used.mangrove_propagule: #6, 81(1%)
minecraft.used.wind_charge: #7, 362(5%)
minecraft.used.mangrove_door: #7, 10(7%)
minecraft.used.dead_tube_coral_block: #6, 14(2%)
minecraft.mined.dead_fire_coral_block: #6, 8(1%)
minecraft.dropped.grindstone: #6, 1(1%)
minecraft.picked_up.tropical_fish_bucket: #6, 1(2%)
minecraft.picked_up.raw_iron_block: #6, 14(1%)
minecraft.dropped.waxed_cut_copper_slab: #7, 5(8%)
minecraft.crafted.trapped_chest: #6, 1(1%)
minecraft.mined.prismarine_slab: #6, 3(1%)
minecraft.mined.red_sandstone_slab: #6, 5(1%)
minecraft.crafted.chiseled_sandstone: #6, 1(1%)
minecraft.dropped.chorus_fruit: #6, 15(1%)
minecraft.dropped.pink_terracotta: #6, 1(1%)
minecraft.mined.dead_horn_coral_block: #6, 4(1%)
minecraft.crafted.jungle_trapdoor: #7, 292(6%)
minecraft.mined.stripped_crimson_hyphae: #6, 4(1%)
minecraft.used.dead_horn_coral_block: #6, 3(1%)
minecraft.used.bubble_coral: #6, 1(1%)
minecraft.dropped.torchflower_seeds: #6, 6(0%)
minecraft.crafted.red_nether_brick_wall: #6, 1(0%)
minecraft.dropped.wheat: #7, 751(4%)
minecraft.used.prismarine_brick_stairs: #6, 11(0%)
minecraft.dropped.prismarine_bricks: #6, 10(0%)
minecraft.dropped.pink_concrete: #6, 2(0%)
minecraft.mined.bamboo_slab: #7, 85(5%)
minecraft.crafted.jungle_stairs: #7, 144(5%)
minecraft.crafted.stone_bricks: #7, 5672(4%)
minecraft.mined.bamboo_fence_gate: #7, 16(7%)
minecraft.mined.jungle_trapdoor: #7, 44(4%)
minecraft.picked_up.jungle_stairs: #7, 49(4%)
minecraft.used.stone_bricks: #7, 4224(4%)
minecraft.mined.tuff_slab: #7, 30(5%)
minecraft.mined.mossy_cobblestone: #7, 148(4%)
minecraft.mined.acacia_slab: #7, 20(6%)
minecraft.used.birch_slab: #7, 378(5%)
minecraft.custom.fall_one_cm: #8, 17167160(5%)
minecraft.picked_up.spruce_leaves: #7, 1686(4%)
minecraft.picked_up.deepslate_bricks: #7, 395(4%)
minecraft.used.tuff_slab: #7, 229(4%)
minecraft.dropped.netherite_boots: #7, 3(5%)
minecraft.picked_up.jungle_boat: #7, 13(4%)
minecraft.picked_up.jungle_trapdoor: #7, 49(4%)
minecraft.picked_up.mushroom_stem: #7, 491(4%)
minecraft.mined.mushroom_stem: #7, 386(4%)
minecraft.picked_up.orange_bed: #7, 9(4%)
minecraft.mined.stripped_bamboo_block: #7, 90(4%)
minecraft.picked_up.stripped_bamboo_block: #7, 88(4%)
minecraft.picked_up.podzol: #7, 524(4%)
minecraft.mined.andesite_stairs: #7, 13(4%)
minecraft.dropped.stone_pickaxe: #7, 3(3%)
minecraft.used.diamond_leggings: #7, 7(3%)
minecraft.mined.mangrove_roots: #7, 2131(3%)
minecraft.crafted.glass_bottle: #7, 900(3%)
minecraft.picked_up.pale_oak_sign: #7, 9(4%)
minecraft.broken.iron_pickaxe: #7, 5(3%)
minecraft.mined.cobblestone_wall: #7, 26(3%)
minecraft.mined.acacia_sapling: #7, 26(4%)
minecraft.crafted.cyan_bed: #7, 7(4%)
minecraft.dropped.netherite_hoe: #7, 1(6%)
minecraft.used.light_gray_wool: #7, 301(3%)
minecraft.picked_up.orange_carpet: #7, 32(3%)
minecraft.dropped.bowl: #7, 10(4%)
minecraft.picked_up.lime_terracotta: #7, 96(3%)
minecraft.dropped.golden_apple: #7, 7(3%)
minecraft.picked_up.guster_banner_pattern: #7, 2(4%)
minecraft.used.blackstone_slab: #7, 188(3%)
minecraft.crafted.mace: #7, 1(4%)
minecraft.mined.seagrass: #8, 498(6%)
minecraft.dropped.trident: #7, 4(3%)
minecraft.crafted.red_sandstone_slab: #7, 28(4%)
minecraft.used.tuff: #8, 4449(6%)
minecraft.crafted.acacia_hanging_sign: #7, 6(4%)
minecraft.crafted.mangrove_wood: #7, 189(3%)
minecraft.mined.green_concrete_powder: #7, 20(3%)
minecraft.mined.dark_oak_sapling: #7, 10(2%)
minecraft.used.dark_oak_fence_gate: #7, 29(2%)
minecraft.dropped.leather_leggings: #8, 16(5%)
minecraft.picked_up.red_tulip: #7, 155(2%)
minecraft.dropped.beacon: #7, 1(5%)
minecraft.mined.acacia_fence_gate: #7, 3(3%)
minecraft.used.allium: #7, 14(3%)
minecraft.dropped.sand: #7, 927(2%)
minecraft.dropped.brush: #7, 1(5%)
minecraft.used.glistering_melon_slice: #7, 1(5%)
minecraft.used.copper_grate: #7, 103(2%)
minecraft.picked_up.birch_hanging_sign: #7, 3(4%)
minecraft.crafted.mossy_stone_brick_wall: #7, 6(4%)
minecraft.crafted.polished_blackstone: #8, 624(6%)
minecraft.dropped.honeycomb: #7, 256(2%)
minecraft.crafted.dark_oak_fence_gate: #7, 30(2%)
minecraft.used.jungle_fence_gate: #7, 19(2%)
minecraft.crafted.jungle_planks: #8, 5156(6%)
minecraft.used.bamboo_mosaic: #7, 51(3%)
minecraft.mined.cyan_candle: #7, 3(3%)
minecraft.picked_up.red_candle: #7, 18(3%)
minecraft.used.azure_bluet: #7, 19(2%)
minecraft.dropped.netherite_chestplate: #7, 1(4%)
minecraft.dropped.netherite_shovel: #7, 1(2%)
minecraft.dropped.spruce_door: #7, 2(4%)
minecraft.crafted.deepslate_brick_slab: #7, 114(2%)
minecraft.used.blackstone_wall: #7, 10(3%)
minecraft.crafted.jungle_fence_gate: #7, 22(2%)
minecraft.used.spruce_log: #8, 2293(5%)
minecraft.mined.player_head: #8, 157(5%)
minecraft.picked_up.mossy_stone_brick_slab: #7, 6(2%)
minecraft.used.quartz_block: #7, 373(1%)
minecraft.crafted.crimson_slab: #7, 72(2%)
minecraft.dropped.enchanted_golden_apple: #7, 2(2%)
minecraft.picked_up.jungle_planks: #8, 326(5%)
minecraft.picked_up.cooked_beef: #8, 790(4%)
minecraft.crafted.cyan_carpet: #7, 63(2%)
minecraft.mined.cut_copper: #7, 10(2%)
minecraft.picked_up.heart_of_the_sea: #7, 1(3%)
minecraft.dropped.smooth_quartz: #7, 14(2%)
minecraft.crafted.nether_brick_slab: #7, 12(2%)
minecraft.used.pale_hanging_moss: #7, 30(2%)
minecraft.picked_up.armadillo_scute: #7, 73(1%)
minecraft.mined.oak_wood: #7, 39(1%)
minecraft.used.big_dripleaf: #7, 20(2%)
minecraft.picked_up.spruce_planks: #8, 949(4%)
minecraft.dropped.waxed_copper_bulb: #7, 1(2%)
minecraft.crafted.cherry_fence: #7, 15(2%)
minecraft.dropped.bamboo_raft: #7, 1(2%)
minecraft.picked_up.prismarine_bricks: #7, 261(1%)
minecraft.picked_up.acacia_pressure_plate: #7, 1(2%)
minecraft.mined.weathered_cut_copper_slab: #7, 2(1%)
minecraft.used.pink_stained_glass: #7, 29(1%)
minecraft.picked_up.enchanted_book: #8, 63(4%)
minecraft.dropped.andesite_wall: #7, 3(1%)
minecraft.picked_up.polished_blackstone_slab: #7, 27(1%)
minecraft.used.waxed_exposed_copper_grate: #7, 20(1%)
minecraft.dropped.deepslate_tile_stairs: #7, 2(1%)
minecraft.dropped.brown_mushroom_block: #7, 64(1%)
minecraft.used.purple_stained_glass_pane: #7, 33(1%)
minecraft.mined.waxed_exposed_cut_copper_slab: #7, 1(1%)
minecraft.used.poppy: #7, 36(0%)
minecraft.picked_up.prismarine_slab: #7, 5(1%)
minecraft.used.stripped_cherry_log: #7, 8(1%)
minecraft.crafted.pink_stained_glass: #7, 32(1%)
minecraft.mined.pink_stained_glass: #7, 2(1%)
minecraft.picked_up.stripped_crimson_hyphae: #7, 4(1%)
minecraft.picked_up.cookie: #8, 204(5%)
minecraft.mined.raw_iron_block: #7, 6(0%)
minecraft.picked_up.red_sandstone_slab: #7, 5(1%)
minecraft.picked_up.red_nether_brick_wall: #7, 1(1%)
minecraft.mined.black_terracotta: #7, 18(0%)
minecraft.used.stripped_crimson_hyphae: #7, 4(1%)
minecraft.used.weathered_cut_copper_slab: #7, 2(1%)
minecraft.picked_up.black_terracotta: #7, 18(0%)
minecraft.used.jungle_log: #8, 536(4%)
minecraft.picked_up.polished_granite_stairs: #7, 1(0%)
minecraft.mined.polished_granite_stairs: #7, 1(0%)
minecraft.picked_up.blue_concrete_powder: #7, 2(0%)
minecraft.used.spruce_fence: #8, 821(4%)
minecraft.mined.red_sandstone_stairs: #7, 1(0%)
minecraft.mined.purple_stained_glass_pane: #7, 1(0%)
minecraft.picked_up.red_sandstone_stairs: #7, 1(0%)
minecraft.used.waxed_cut_copper: #7, 5(0%)
minecraft.crafted.air: #7, 0(0%)
minecraft.used.oxidized_copper_grate: #8, 135(5%)
minecraft.used.warped_stem: #8, 294(4%)
minecraft.crafted.deepslate_tile_wall: #8, 39(7%)
minecraft.picked_up.honey_bottle: #8, 73(4%)
minecraft.picked_up.cooked_salmon: #8, 73(4%)
minecraft.mined.cobbled_deepslate: #8, 706(4%)
minecraft.mined.dripstone_block: #8, 1588(3%)
minecraft.crafted.sandstone: #8, 241(4%)
minecraft.mined.white_wall_banner: #8, 13(4%)
minecraft.used.oak_door: #8, 9(4%)
minecraft.crafted.spruce_wood: #8, 348(4%)
minecraft.used.sunflower: #8, 81(3%)
minecraft.picked_up.lily_pad: #8, 125(3%)
minecraft.used.azalea_leaves: #8, 2716(4%)
minecraft.dropped.lapis_ore: #8, 8(4%)
minecraft.used.salmon: #8, 5(5%)
minecraft.mined.kelp_plant: #8, 190(3%)
minecraft.mined.orange_bed: #8, 7(4%)
minecraft.used.polished_andesite_stairs: #8, 77(3%)
minecraft.mined.spruce_leaves: #8, 1940(2%)
minecraft.used.gold_nugget: #8, 45(3%)
minecraft.picked_up.bookshelf: #8, 47(3%)
minecraft.picked_up.jungle_fence: #8, 38(3%)
minecraft.used.mossy_cobblestone_stairs: #8, 17(3%)
minecraft.picked_up.glistering_melon_slice: #8, 24(3%)
minecraft.used.bamboo_slab: #8, 315(3%)
minecraft.mined.cyan_stained_glass_pane: #8, 9(4%)
minecraft.used.mangrove_wood: #8, 164(3%)
minecraft.dropped.jungle_log: #8, 50(2%)
minecraft.picked_up.leather_boots: #9, 32(5%)
minecraft.used.beetroot: #8, 9(3%)
minecraft.mined.red_glazed_terracotta: #8, 10(3%)
minecraft.dropped.gold_ingot: #8, 189(2%)
minecraft.dropped.green_dye: #8, 68(2%)
minecraft.picked_up.polished_granite: #8, 42(2%)
minecraft.mined.oak_sapling: #8, 10(2%)
minecraft.picked_up.cherry_fence: #8, 17(4%)
minecraft.picked_up.honeycomb: #8, 872(2%)
minecraft.dropped.mangrove_roots: #8, 68(2%)
minecraft.picked_up.white_tulip: #8, 105(2%)
minecraft.picked_up.deepslate_tile_slab: #8, 105(2%)
minecraft.mined.stripped_spruce_wood: #8, 59(2%)
minecraft.dropped.oak_boat: #8, 4(2%)
minecraft.mined.cobbled_deepslate_wall: #8, 11(3%)
minecraft.picked_up.pale_hanging_moss: #8, 38(2%)
minecraft.used.gold_ingot: #8, 2(3%)
minecraft.custom.walk_under_water_one_cm: #10, 14190486(5%)
minecraft.crafted.birch_hanging_sign: #8, 6(3%)
minecraft.dropped.netherite_upgrade_smithing_template: #8, 1(3%)
minecraft.picked_up.red_glazed_terracotta: #8, 10(3%)
minecraft.picked_up.cactus_flower: #8, 7(3%)
minecraft.picked_up.scaffolding: #9, 10139(5%)
minecraft.dropped.pufferfish: #8, 8(2%)
minecraft.picked_up.acacia_slab: #8, 21(2%)
minecraft.picked_up.nether_wart_block: #8, 356(2%)
minecraft.dropped.lectern: #8, 1(3%)
minecraft.dropped.big_dripleaf: #8, 5(2%)
minecraft.dropped.black_dye: #8, 7(2%)
minecraft.crafted.nether_bricks: #8, 224(2%)
minecraft.used.nether_brick_fence: #8, 16(2%)
minecraft.used.orange_carpet: #8, 32(2%)
minecraft.used.scaffolding: #9, 10142(5%)
minecraft.picked_up.prismarine: #8, 214(2%)
minecraft.dropped.nautilus_shell: #8, 1(3%)
minecraft.crafted.andesite_stairs: #8, 18(2%)
minecraft.crafted.cyan_banner: #8, 6(2%)
minecraft.used.closed_eyeblossom: #8, 2(2%)
minecraft.used.crimson_roots: #8, 9(2%)
minecraft.picked_up.acacia_fence_gate: #8, 3(2%)
minecraft.used.spore_blossom: #8, 5(2%)
minecraft.dropped.salmon: #8, 14(1%)
minecraft.picked_up.spruce_fence: #9, 308(5%)
minecraft.used.dark_oak_sapling: #8, 263(1%)
minecraft.dropped.mangrove_log: #8, 31(2%)
minecraft.picked_up.netherite_upgrade_smithing_template: #8, 1(1%)
minecraft.dropped.milk_bucket: #8, 2(2%)
minecraft.dropped.jungle_boat: #8, 1(2%)
minecraft.dropped.leather_helmet: #9, 11(4%)
minecraft.mined.dark_oak_slab: #9, 151(5%)
minecraft.crafted.blackstone_wall: #8, 6(1%)
minecraft.picked_up.crimson_hyphae: #8, 3(2%)
minecraft.used.crimson_slab: #8, 45(1%)
minecraft.mined.exposed_cut_copper: #8, 2(1%)
minecraft.picked_up.exposed_cut_copper: #8, 2(1%)
minecraft.mined.daylight_detector: #8, 2(1%)
minecraft.picked_up.weathered_cut_copper_slab: #8, 2(1%)
minecraft.crafted.baked_potato: #8, 28(1%)
minecraft.used.spruce_slab: #9, 2326(5%)
minecraft.used.nether_brick_slab: #8, 12(1%)
minecraft.mined.spruce_slab: #9, 463(4%)
minecraft.picked_up.waxed_exposed_cut_copper_stairs: #8, 3(1%)
minecraft.mined.waxed_exposed_cut_copper_stairs: #8, 3(1%)
minecraft.used.tube_coral_fan: #8, 2(1%)
minecraft.crafted.light_gray_bed: #8, 2(1%)
minecraft.crafted.light_blue_banner: #8, 2(1%)
minecraft.used.red_glazed_terracotta: #8, 10(1%)
minecraft.picked_up.blue_stained_glass: #8, 13(1%)
minecraft.picked_up.waxed_weathered_cut_copper_slab: #8, 2(1%)
minecraft.crafted.purple_stained_glass_pane: #8, 32(1%)
minecraft.picked_up.cyan_concrete_powder: #8, 19(1%)
minecraft.picked_up.dead_fire_coral_block: #8, 9(1%)
minecraft.used.brain_coral: #8, 1(1%)
minecraft.used.lime_shulker_box: #9, 163(4%)
minecraft.used.snowball: #9, 224(3%)
minecraft.dropped.deepslate_tile_slab: #8, 3(1%)
minecraft.picked_up.lime_shulker_box: #9, 162(4%)
minecraft.picked_up.blue_terracotta: #8, 16(0%)
minecraft.used.dead_brain_coral_block: #8, 4(0%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #8, 1(1%)
minecraft.mined.black_concrete_powder: #8, 19(0%)
minecraft.mined.coal_block: #8, 6(0%)
minecraft.used.orange_concrete: #8, 61(0%)
minecraft.crafted.polished_blackstone_slab: #8, 12(0%)
minecraft.picked_up.warped_hyphae: #8, 2(1%)
minecraft.picked_up.cracked_deepslate_bricks: #8, 5(0%)
minecraft.mined.yellow_glazed_terracotta: #8, 1(0%)
minecraft.mined.lime_shulker_box: #9, 162(4%)
minecraft.picked_up.pink_stained_glass: #8, 2(0%)
minecraft.mined.red_concrete_powder: #8, 1(0%)
minecraft.dropped.cobbled_deepslate_stairs: #8, 1(0%)
minecraft.picked_up.yellow_glazed_terracotta: #8, 1(0%)
minecraft.dropped.sculk: #8, 7(0%)
minecraft.picked_up.dead_horn_coral_block: #8, 3(0%)
minecraft.used.red_nether_brick_wall: #8, 2(0%)
minecraft.used.red_sandstone_stairs: #8, 3(0%)
minecraft.mined.prismarine_wall: #8, 2(0%)
minecraft.picked_up.prismarine_wall: #8, 2(0%)
minecraft.mined.bamboo_planks: #9, 81(4%)
minecraft.crafted.diamond_helmet: #9, 4(4%)
minecraft.crafted.tuff_bricks: #9, 644(4%)
minecraft.mined.jukebox: #9, 16(4%)
minecraft.mined.mossy_cobblestone_slab: #9, 9(5%)
minecraft.mined.mangrove_log: #9, 1155(3%)
minecraft.used.glow_berries: #9, 79(4%)
minecraft.used.cobbled_deepslate: #9, 3067(3%)
minecraft.picked_up.jungle_slab: #9, 84(4%)
minecraft.picked_up.polished_andesite: #9, 203(3%)
minecraft.mined.birch_sapling: #9, 10(4%)
minecraft.picked_up.diamond_hoe: #9, 6(3%)
minecraft.used.polished_blackstone: #9, 190(4%)
minecraft.used.decorated_pot: #9, 108(3%)
minecraft.picked_up.orange_terracotta: #9, 1405(3%)
minecraft.used.basalt: #9, 592(3%)
minecraft.used.orange_bed: #9, 8(4%)
minecraft.mined.orange_wool: #9, 75(4%)
minecraft.picked_up.baked_potato: #9, 266(3%)
minecraft.used.bamboo_planks: #9, 405(3%)
minecraft.crafted.birch_slab: #9, 360(3%)
minecraft.used.flowering_azalea: #9, 44(3%)
minecraft.used.blackstone: #9, 719(2%)
minecraft.picked_up.red_wool: #9, 166(2%)
minecraft.picked_up.stone_bricks: #9, 1047(2%)
minecraft.mined.mangrove_slab: #9, 41(2%)
minecraft.used.light_gray_terracotta: #9, 175(3%)
minecraft.killed.cod: #9, 7(3%)
minecraft.picked_up.light_blue_terracotta: #9, 65(3%)
minecraft.mined.tuff_brick_stairs: #9, 38(2%)
minecraft.used.pink_tulip: #9, 7(3%)
minecraft.used.acacia_log: #9, 380(2%)
minecraft.mined.light_blue_terracotta: #9, 56(2%)
minecraft.mined.green_carpet: #9, 18(2%)
minecraft.mined.cobblestone_slab: #9, 81(2%)
minecraft.used.acacia_leaves: #9, 49(3%)
minecraft.crafted.blue_terracotta: #9, 228(2%)
minecraft.used.warped_wart_block: #9, 54(2%)
minecraft.used.spruce_wood: #9, 210(2%)
minecraft.crafted.crimson_planks: #9, 400(2%)
minecraft.used.candle: #9, 12(3%)
minecraft.used.mud_brick_wall: #9, 226(2%)
minecraft.used.dragon_head: #9, 1(3%)
minecraft.crafted.light_gray_terracotta: #9, 128(2%)
minecraft.crafted.spyglass: #9, 2(2%)
minecraft.picked_up.stripped_spruce_wood: #9, 56(2%)
minecraft.dropped.mangrove_propagule: #9, 10(3%)
minecraft.used.polished_basalt: #9, 171(2%)
minecraft.dropped.music_disc_13: #9, 1(2%)
minecraft.used.diamond_helmet: #9, 3(2%)
minecraft.dropped.leaf_litter: #9, 7(3%)
minecraft.mined.nether_wart_block: #9, 356(2%)
minecraft.mined.chiseled_polished_blackstone: #9, 2(3%)
minecraft.crafted.quartz_slab: #9, 72(2%)
minecraft.used.raw_copper_block: #9, 6(2%)
minecraft.picked_up.purpur_block: #9, 223(1%)
minecraft.used.stripped_spruce_wood: #9, 51(2%)
minecraft.dropped.slime_block: #9, 64(2%)
minecraft.picked_up.mangrove_propagule: #9, 251(1%)
minecraft.picked_up.poisonous_potato: #9, 7(2%)
minecraft.used.music_disc_13: #9, 2(2%)
minecraft.crafted.brick_stairs: #9, 4(2%)
minecraft.picked_up.mud_bricks: #9, 90(1%)
minecraft.killed.zombie: #9, 1600(1%)
minecraft.picked_up.cyan_stained_glass_pane: #9, 8(3%)
minecraft.killed.endermite: #9, 3(1%)
minecraft.used.firefly_bush: #9, 24(2%)
minecraft.picked_up.stripped_dark_oak_wood: #9, 32(1%)
minecraft.mined.stripped_dark_oak_wood: #9, 33(1%)
minecraft.crafted.dark_oak_pressure_plate: #9, 5(2%)
minecraft.used.polished_blackstone_stairs: #9, 29(2%)
minecraft.dropped.calcite: #9, 20(1%)
minecraft.picked_up.cornflower: #9, 143(1%)
minecraft.dropped.netherite_sword: #9, 1(1%)
minecraft.picked_up.oak_wood: #9, 38(1%)
minecraft.mined.oxidized_copper: #9, 237(1%)
minecraft.mined.orange_carpet: #9, 5(1%)
minecraft.picked_up.cobbled_deepslate_wall: #9, 9(1%)
minecraft.picked_up.oxidized_copper: #9, 239(1%)
minecraft.custom.tune_noteblock: #9, 2369(1%)
minecraft.picked_up.carrot: #10, 3182(4%)
minecraft.dropped.black_stained_glass: #9, 5(1%)
minecraft.used.diamond_chestplate: #9, 5(1%)
minecraft.crafted.mangrove_fence: #9, 39(1%)
minecraft.mined.wildflowers: #9, 7(1%)
minecraft.custom.leave_game: #11, 1328(4%)
minecraft.dropped.cherry_log: #9, 9(1%)
minecraft.used.red_stained_glass: #9, 140(1%)
minecraft.used.green_stained_glass: #9, 44(1%)
minecraft.crafted.light_blue_bed: #9, 1(1%)
minecraft.picked_up.crimson_planks: #9, 12(1%)
minecraft.used.oak_sapling: #9, 260(1%)
minecraft.picked_up.lapis_block: #9, 27(1%)
minecraft.used.mossy_cobblestone_wall: #9, 7(1%)
minecraft.crafted.yellow_bed: #9, 1(1%)
minecraft.picked_up.dead_tube_coral_block: #9, 14(1%)
minecraft.dropped.bamboo_trapdoor: #9, 7(1%)
minecraft.dropped.trial_key: #9, 2(1%)
minecraft.used.acacia_pressure_plate: #9, 1(1%)
minecraft.mined.waxed_weathered_copper_trapdoor: #9, 2(1%)
minecraft.killed.elder_guardian: #9, 1(1%)
minecraft.mined.weathered_cut_copper: #9, 2(1%)
minecraft.mined.chiseled_sandstone: #9, 3(1%)
minecraft.mined.waxed_weathered_cut_copper_slab: #9, 2(1%)
minecraft.picked_up.waxed_weathered_copper_trapdoor: #9, 2(1%)
minecraft.picked_up.weathered_cut_copper: #9, 2(1%)
minecraft.crafted.dark_oak_button: #9, 14(0%)
minecraft.used.dark_oak_button: #9, 14(0%)
minecraft.mined.pink_carpet: #9, 1(1%)
minecraft.crafted.fletching_table: #9, 1(1%)
minecraft.mined.blue_terracotta: #9, 16(1%)
minecraft.dropped.stone_hoe: #9, 1(1%)
minecraft.picked_up.chiseled_sandstone: #9, 3(0%)
minecraft.used.yellow_stained_glass: #9, 80(1%)
minecraft.dropped.verdant_froglight: #9, 48(0%)
minecraft.used.pink_concrete: #9, 32(0%)
minecraft.mined.oxidized_cut_copper_stairs: #9, 5(0%)
minecraft.mined.dead_brain_coral_block: #9, 4(0%)
minecraft.picked_up.oxidized_cut_copper_stairs: #9, 5(0%)
minecraft.dropped.bamboo_slab: #9, 8(0%)
minecraft.crafted.shield: #10, 14(4%)
minecraft.crafted.green_stained_glass: #9, 40(0%)
