stat, rank, value, (percentage) 
minecraft.dropped.black_stained_glass: #1, 130(31%)
minecraft.dropped.red_mushroom_block: #1, 706(72%)
minecraft.mined.short_dry_grass: #1, 442(36%)
minecraft.dropped.wither_rose: #1, 1088(54%)
minecraft.used.warped_hyphae: #2, 1083(35%)
minecraft.mined.nether_wart_block: #2, 5680(25%)
minecraft.crafted.prismarine_wall: #1, 624(61%)
minecraft.picked_up.mossy_cobblestone_stairs: #1, 69(33%)
minecraft.crafted.chain: #1, 3340(17%)
minecraft.dropped.black_dye: #1, 95(28%)
minecraft.dropped.waxed_oxidized_cut_copper: #1, 63(33%)
minecraft.dropped.bow: #1, 451(16%)
minecraft.used.sea_pickle: #2, 1509(26%)
minecraft.dropped.redstone_ore: #1, 49(53%)
minecraft.used.wheat_seeds: #1, 35508(15%)
minecraft.dropped.milk_bucket: #1, 43(34%)
minecraft.dropped.weeping_vines: #1, 33(31%)
minecraft.dropped.green_concrete_powder: #1, 83(45%)
minecraft.dropped.polished_blackstone_slab: #1, 128(58%)
minecraft.picked_up.red_mushroom_block: #1, 1487(29%)
minecraft.crafted.prismarine_brick_stairs: #1, 172(80%)
minecraft.mined.dried_kelp_block: #1, 25(40%)
minecraft.picked_up.iron_bars: #1, 1209(16%)
minecraft.dropped.smooth_red_sandstone: #1, 309(97%)
minecraft.picked_up.music_disc_otherside: #1, 51(24%)
minecraft.used.warped_fence_gate: #1, 135(27%)
minecraft.used.music_disc_otherside: #1, 42(38%)
minecraft.dropped.brown_candle: #1, 68(64%)
minecraft.picked_up.prismarine_slab: #1, 267(47%)
minecraft.dropped.brown_mushroom: #1, 124(20%)
minecraft.dropped.pale_oak_planks: #1, 159(52%)
minecraft.picked_up.bow: #1, 680(14%)
minecraft.picked_up.spruce_fence: #1, 901(15%)
minecraft.picked_up.chiseled_copper: #1, 80(26%)
minecraft.picked_up.cooked_salmon: #2, 381(19%)
minecraft.picked_up.iron_ore: #2, 3388(18%)
minecraft.dropped.spruce_planks: #2, 721(17%)
minecraft.dropped.beetroot_seeds: #2, 4312(20%)
minecraft.used.cobbled_deepslate_stairs: #2, 1359(23%)
minecraft.mined.pumpkin_stem: #1, 81(16%)
minecraft.dropped.mossy_stone_brick_stairs: #1, 27(69%)
minecraft.dropped.spruce_door: #1, 21(38%)
minecraft.dropped.glass_pane: #1, 252(20%)
minecraft.mined.stripped_spruce_wood: #2, 657(20%)
minecraft.used.map: #2, 255(24%)
minecraft.picked_up.sea_pickle: #2, 2011(17%)
