stat, rank, value, (percentage) 
minecraft.picked_up.dark_prismarine: #3, 612(11%)
minecraft.dropped.spruce_stairs: #3, 91(13%)
minecraft.picked_up.stone_brick_wall: #3, 121(12%)
minecraft.picked_up.light_gray_stained_glass: #3, 160(9%)
minecraft.dropped.red_sandstone_slab: #2, 12(43%)
minecraft.mined.black_candle: #2, 6(29%)
minecraft.used.light_gray_stained_glass: #3, 1679(10%)
minecraft.picked_up.glowstone: #3, 677(9%)
minecraft.dropped.birch_door: #2, 4(21%)
minecraft.mined.birch_wall_hanging_sign: #2, 1(17%)
minecraft.picked_up.light_gray_candle: #2, 1(17%)
minecraft.dropped.black_carpet: #2, 30(12%)
minecraft.picked_up.prismarine_wall: #2, 124(9%)
minecraft.used.warped_wart_block: #4, 345(15%)
minecraft.killed.cod: #3, 24(11%)
minecraft.crafted.tnt_minecart: #3, 59(14%)
minecraft.dropped.bamboo_fence_gate: #2, 3(20%)
minecraft.used.cut_copper_slab: #3, 152(18%)
minecraft.used.music_disc_mall: #2, 5(38%)
minecraft.mined.tuff_brick_slab: #4, 235(13%)
minecraft.dropped.cobbled_deepslate_stairs: #3, 56(16%)
minecraft.crafted.open_eyeblossom: #2, 7(25%)
minecraft.picked_up.zombie_head: #2, 37(19%)
minecraft.used.cut_copper_stairs: #2, 93(11%)
minecraft.dropped.poppy: #3, 3573(7%)
minecraft.dropped.polished_tuff_slab: #3, 79(10%)
minecraft.custom.boat_one_cm: #3, 7115934(7%)
minecraft.dropped.acacia_fence_gate: #2, 5(23%)
minecraft.mined.weeping_vines_plant: #3, 76(9%)
minecraft.dropped.rail: #3, 219(8%)
minecraft.dropped.paper: #4, 449(10%)
minecraft.crafted.warped_fence: #3, 360(14%)
minecraft.dropped.music_disc_pigstep: #2, 1(11%)
minecraft.broken.iron_leggings: #2, 1(33%)
minecraft.dropped.cracked_nether_bricks: #2, 1(33%)
minecraft.picked_up.acacia_chest_boat: #2, 1(33%)
minecraft.killed_by.phantom: #2, 1(33%)
minecraft.crafted.cobbled_deepslate_stairs: #3, 373(9%)
minecraft.picked_up.acacia_sign: #3, 26(8%)
minecraft.used.mossy_stone_brick_wall: #3, 15(14%)
minecraft.used.tnt_minecart: #3, 52(12%)
minecraft.dropped.lily_pad: #3, 33(10%)
minecraft.dropped.nether_wart_block: #3, 110(12%)
minecraft.mined.stone_brick_wall: #3, 80(9%)
minecraft.dropped.mossy_cobblestone_stairs: #2, 7(20%)
minecraft.dropped.red_mushroom: #3, 17(8%)
minecraft.picked_up.bamboo_sign: #3, 110(7%)
minecraft.dropped.brick_wall: #2, 2(11%)
minecraft.dropped.bamboo_sign: #2, 41(4%)
minecraft.killed.guardian: #3, 23(11%)
minecraft.picked_up.map: #3, 90(12%)
minecraft.used.potion: #4, 3997(7%)
minecraft.mined.light_blue_candle: #2, 3(11%)
minecraft.picked_up.redstone_lamp: #3, 104(7%)
minecraft.dropped.note_block: #3, 22(10%)
minecraft.dropped.mossy_stone_brick_slab: #2, 5(5%)
minecraft.dropped.andesite: #4, 2619(10%)
minecraft.dropped.polished_deepslate_stairs: #2, 24(6%)
minecraft.mined.big_dripleaf_stem: #3, 17(9%)
minecraft.dropped.writable_book: #3, 28(6%)
minecraft.dropped.purple_concrete_powder: #2, 7(9%)
minecraft.mined.bamboo_sapling: #4, 30(11%)
minecraft.picked_up.oak_chest_boat: #2, 2(6%)
minecraft.killed_by.llama: #2, 2(14%)
minecraft.picked_up.bucket: #4, 360(9%)
minecraft.used.acacia_hanging_sign: #3, 12(13%)
minecraft.mined.mangrove_propagule: #3, 140(6%)
minecraft.dropped.stripped_spruce_log: #3, 23(7%)
minecraft.crafted.cut_copper_stairs: #3, 61(17%)
minecraft.mined.red_sandstone_stairs: #2, 26(4%)
minecraft.dropped.copper_ingot: #3, 456(8%)
minecraft.picked_up.warped_planks: #4, 247(12%)
minecraft.used.brown_concrete_powder: #3, 486(7%)
minecraft.killed.cave_spider: #4, 8133(11%)
minecraft.dropped.cobblestone: #3, 11677(5%)
minecraft.dropped.gilded_blackstone: #2, 10(8%)
minecraft.picked_up.bricks: #4, 620(9%)
minecraft.dropped.oak_chest_boat: #2, 2(11%)
minecraft.mined.gray_candle: #2, 2(6%)
minecraft.mined.gray_stained_glass_pane: #3, 19(11%)
minecraft.picked_up.red_sandstone_stairs: #2, 25(3%)
minecraft.used.smooth_red_sandstone_slab: #3, 329(12%)
minecraft.dropped.green_dye: #3, 194(5%)
minecraft.dropped.zombie_head: #2, 2(13%)
minecraft.used.clay: #4, 897(10%)
minecraft.mined.deepslate_coal_ore: #3, 32(8%)
minecraft.crafted.smooth_red_sandstone_stairs: #3, 43(18%)
minecraft.mined.deepslate_lapis_ore: #3, 447(5%)
minecraft.used.short_dry_grass: #3, 87(18%)
minecraft.dropped.spider_eye: #4, 9112(9%)
minecraft.dropped.cut_red_sandstone_slab: #2, 4(8%)
minecraft.crafted.chiseled_copper: #3, 52(11%)
minecraft.dropped.breeze_rod: #3, 200(12%)
minecraft.used.prismarine_brick_stairs: #2, 179(3%)
minecraft.dropped.lime_stained_glass: #3, 74(20%)
minecraft.mined.warped_sign: #3, 5(17%)
minecraft.dropped.brush: #3, 3(15%)
minecraft.dropped.prismarine_wall: #2, 6(7%)
minecraft.dropped.cyan_candle: #2, 2(9%)
minecraft.picked_up.mossy_cobblestone_slab: #3, 41(7%)
minecraft.used.tuff_brick_slab: #4, 954(10%)
minecraft.mined.black_concrete_powder: #3, 372(7%)
minecraft.used.dragon_head: #3, 3(10%)
minecraft.picked_up.netherite_leggings: #4, 37(9%)
minecraft.used.carrot_on_a_stick: #3, 11(19%)
minecraft.picked_up.cut_copper_stairs: #3, 54(14%)
minecraft.mined.spruce_fence: #4, 372(9%)
minecraft.dropped.tuff_wall: #3, 4(19%)
minecraft.used.warped_fence: #4, 287(14%)
minecraft.dropped.twisting_vines: #3, 7(16%)
minecraft.mined.copper_ore: #4, 10439(8%)
minecraft.picked_up.smooth_quartz_slab: #4, 292(10%)
minecraft.used.beetroot_seeds: #4, 559(8%)
minecraft.dropped.glow_ink_sac: #3, 70(7%)
minecraft.crafted.brown_concrete_powder: #3, 664(6%)
minecraft.dropped.tropical_fish_bucket: #2, 1(3%)
minecraft.picked_up.netherite_sword: #4, 34(10%)
minecraft.dropped.iron_bars: #4, 323(11%)
minecraft.picked_up.pink_petals: #4, 3890(9%)
minecraft.custom.walk_under_water_one_cm: #5, 18471605(6%)
minecraft.picked_up.red_sand: #4, 15360(9%)
minecraft.dropped.gray_dye: #4, 49(13%)
minecraft.dropped.chiseled_bookshelf: #3, 8(13%)
minecraft.used.glass_bottle: #4, 4038(7%)
minecraft.used.netherite_hoe: #3, 41600(10%)
minecraft.mined.brown_candle: #3, 14(13%)
minecraft.picked_up.oak_wood: #3, 188(6%)
minecraft.dropped.mangrove_trapdoor: #3, 16(11%)
minecraft.mined.chiseled_copper: #4, 23(14%)
minecraft.dropped.crafter: #3, 14(15%)
minecraft.dropped.enchanted_book: #4, 64(9%)
minecraft.picked_up.iron_shovel: #4, 27(9%)
minecraft.used.dripstone_block: #4, 1339(8%)
minecraft.picked_up.white_wool: #4, 3069(8%)
minecraft.dropped.waxed_oxidized_chiseled_copper: #3, 1(25%)
minecraft.dropped.mud_brick_stairs: #3, 4(17%)
minecraft.dropped.cherry_sign: #3, 2(25%)
minecraft.dropped.jungle_planks: #4, 67(10%)
minecraft.mined.iron_ore: #4, 3039(8%)
minecraft.dropped.jungle_log: #3, 102(5%)
minecraft.picked_up.light_gray_concrete_powder: #4, 626(8%)
minecraft.crafted.light_gray_concrete_powder: #4, 3218(9%)
minecraft.picked_up.dried_kelp: #4, 954(12%)
minecraft.dropped.red_candle: #3, 8(16%)
minecraft.dropped.light_gray_carpet: #3, 10(9%)
minecraft.dropped.sea_lantern: #3, 8(9%)
minecraft.dropped.oak_fence_gate: #3, 13(11%)
minecraft.picked_up.bamboo_chest_raft: #3, 6(15%)
minecraft.used.light_gray_glazed_terracotta: #3, 116(13%)
minecraft.picked_up.oak_button: #4, 55(9%)
minecraft.crafted.diamond_pickaxe: #4, 21(7%)
minecraft.crafted.oak_sign: #4, 168(7%)
minecraft.mined.acacia_planks: #4, 88(9%)
minecraft.used.smooth_red_sandstone_stairs: #3, 171(8%)
minecraft.dropped.dead_brain_coral_block: #3, 1(14%)
minecraft.killed_by.wither_skeleton: #3, 1(14%)
minecraft.picked_up.weathered_chiseled_copper: #3, 3(14%)
minecraft.crafted.polished_blackstone_stairs: #3, 44(9%)
minecraft.picked_up.lime_stained_glass: #4, 148(12%)
minecraft.mined.acacia_hanging_sign: #3, 3(17%)
minecraft.dropped.waxed_exposed_copper_bulb: #3, 2(17%)
minecraft.dropped.smooth_stone: #3, 1043(4%)
minecraft.dropped.diamond_leggings: #4, 10(7%)
minecraft.dropped.leather_boots: #4, 36(7%)
minecraft.crafted.tnt: #4, 3144(8%)
minecraft.dropped.mud_brick_wall: #3, 13(10%)
minecraft.crafted.nautilus_shell: #3, 7(27%)
minecraft.picked_up.pale_oak_planks: #4, 154(10%)
minecraft.picked_up.cobblestone_stairs: #3, 135(3%)
minecraft.picked_up.candle: #4, 137(10%)
minecraft.used.spruce_chest_boat: #3, 13(15%)
minecraft.dropped.sandstone_wall: #3, 11(11%)
minecraft.mined.stripped_spruce_log: #4, 1356(7%)
minecraft.dropped.stone_stairs: #4, 40(12%)
minecraft.picked_up.copper_bulb: #4, 48(10%)
minecraft.crafted.cherry_fence: #3, 57(6%)
minecraft.used.bamboo: #4, 1475(7%)
minecraft.dropped.cobblestone_wall: #3, 25(6%)
minecraft.dropped.copper_trapdoor: #3, 9(12%)
minecraft.mined.cherry_wall_sign: #3, 2(12%)
minecraft.picked_up.blackstone_wall: #3, 23(7%)
minecraft.used.light_gray_concrete_powder: #5, 2800(11%)
minecraft.used.stone_brick_slab: #4, 1653(7%)
minecraft.picked_up.spruce_chest_boat: #3, 12(13%)
minecraft.dropped.stripped_mangrove_wood: #3, 1(17%)
minecraft.dropped.light_gray_concrete: #3, 24(7%)
minecraft.dropped.player_head: #4, 1003(5%)
minecraft.dropped.stone_brick_wall: #3, 15(8%)
minecraft.used.lapis_block: #3, 202(4%)
minecraft.picked_up.flint: #4, 1261(7%)
minecraft.picked_up.tinted_glass: #4, 350(9%)
minecraft.picked_up.glow_lichen: #4, 3613(7%)
minecraft.dropped.cauldron: #3, 5(7%)
minecraft.used.open_eyeblossom: #4, 12(15%)
minecraft.dropped.red_banner: #3, 1(12%)
minecraft.crafted.cooked_chicken: #4, 140(9%)
minecraft.dropped.mangrove_button: #3, 4(9%)
minecraft.picked_up.string: #4, 4959(6%)
minecraft.dropped.soul_campfire: #3, 1(20%)
minecraft.used.light_gray_candle: #3, 16(10%)
minecraft.picked_up.crimson_hyphae: #4, 28(16%)
minecraft.picked_up.waxed_exposed_chiseled_copper: #3, 9(6%)
minecraft.picked_up.red_sandstone_slab: #3, 55(6%)
minecraft.picked_up.black_candle: #3, 9(10%)
minecraft.mined.red_concrete_powder: #3, 18(6%)
minecraft.mined.waxed_exposed_chiseled_copper: #3, 9(6%)
minecraft.dropped.mossy_cobblestone: #3, 79(3%)
minecraft.used.stripped_warped_hyphae: #4, 73(16%)
minecraft.picked_up.tropical_fish_bucket: #3, 5(9%)
minecraft.used.bamboo_chest_raft: #3, 4(9%)
minecraft.mined.blue_stained_glass_pane: #3, 2(9%)
minecraft.crafted.pale_oak_stairs: #4, 164(11%)
minecraft.dropped.purple_dye: #3, 12(4%)
minecraft.mined.heavy_core: #3, 2(11%)
minecraft.picked_up.podzol: #4, 1077(7%)
minecraft.dropped.oak_sign: #4, 32(7%)
minecraft.dropped.acacia_slab: #3, 7(7%)
minecraft.dropped.acacia_wood: #3, 5(10%)
minecraft.dropped.torchflower: #3, 9(5%)
minecraft.picked_up.acacia_hanging_sign: #4, 9(15%)
minecraft.dropped.pink_carpet: #3, 1(17%)
minecraft.dropped.stripped_oak_log: #3, 7(5%)
minecraft.dropped.mangrove_fence_gate: #3, 1(12%)
minecraft.dropped.carrot: #5, 3684(9%)
minecraft.dropped.copper_bulb: #3, 7(8%)
minecraft.picked_up.light_blue_candle: #3, 12(10%)
minecraft.mined.tinted_glass: #4, 218(8%)
minecraft.mined.gold_ore: #4, 228(6%)
minecraft.mined.acacia_wood: #5, 107(13%)
minecraft.used.red_mushroom_block: #3, 52(9%)
minecraft.mined.smoker: #4, 9(8%)
minecraft.mined.white_banner: #4, 9(8%)
minecraft.used.waxed_copper_door: #3, 1(11%)
minecraft.dropped.sea_pickle: #4, 157(10%)
minecraft.picked_up.stripped_spruce_log: #4, 1204(6%)
minecraft.dropped.filled_map: #4, 170(6%)
minecraft.picked_up.potato: #5, 4244(9%)
minecraft.used.end_stone_brick_slab: #3, 19(8%)
minecraft.mined.crimson_sign: #3, 1(10%)
minecraft.dropped.birch_boat: #3, 2(7%)
minecraft.used.beetroot: #4, 27(9%)
minecraft.used.exposed_chiseled_copper: #3, 1(12%)
minecraft.picked_up.deepslate_tile_wall: #4, 128(7%)
minecraft.dropped.popped_chorus_fruit: #3, 16(12%)
minecraft.mined.orange_concrete_powder: #3, 36(5%)
minecraft.used.stripped_spruce_log: #4, 845(5%)
minecraft.dropped.stone_brick_stairs: #4, 51(9%)
minecraft.used.big_dripleaf: #4, 134(10%)
minecraft.dropped.raw_iron_block: #3, 8(7%)
minecraft.dropped.copper_door: #3, 1(11%)
minecraft.picked_up.grass_block: #4, 64904(5%)
minecraft.dropped.polished_deepslate: #4, 60(9%)
minecraft.dropped.jungle_fence: #4, 35(11%)
minecraft.dropped.oak_fence: #4, 29(7%)
minecraft.picked_up.spider_eye: #5, 5172(9%)
minecraft.mined.cherry_fence: #4, 27(13%)
minecraft.dropped.lime_terracotta: #3, 19(5%)
minecraft.picked_up.chiseled_tuff: #4, 113(6%)
minecraft.crafted.dried_kelp_block: #3, 54(2%)
minecraft.picked_up.pink_banner: #4, 8(8%)
minecraft.mined.small_dripleaf: #4, 25(8%)
minecraft.crafted.polished_blackstone_brick_stairs: #3, 16(3%)
minecraft.dropped.cherry_slab: #3, 5(9%)
minecraft.picked_up.netherite_scrap: #3, 5(9%)
minecraft.dropped.pale_oak_sapling: #3, 3(5%)
minecraft.dropped.tuff: #4, 1121(5%)
minecraft.mined.prismarine_brick_slab: #3, 15(4%)
minecraft.used.pufferfish: #3, 1(3%)
minecraft.dropped.grass_block: #5, 4254(9%)
minecraft.picked_up.lapis_lazuli: #4, 5838(5%)
minecraft.crafted.light_gray_glazed_terracotta: #3, 24(4%)
minecraft.picked_up.coal_ore: #4, 4117(5%)
minecraft.dropped.red_sandstone_stairs: #3, 2(5%)
minecraft.mined.exposed_chiseled_copper: #3, 2(2%)
minecraft.dropped.green_concrete: #3, 4(3%)
minecraft.dropped.warped_button: #3, 3(5%)
minecraft.mined.green_stained_glass: #4, 69(8%)
minecraft.used.polished_blackstone_brick_stairs: #3, 20(2%)
minecraft.picked_up.player_head: #5, 2704(6%)
minecraft.dropped.nether_sprouts: #3, 3(4%)
minecraft.picked_up.sandstone_wall: #4, 44(9%)
minecraft.crafted.iron_shovel: #4, 27(5%)
minecraft.mined.warped_fence_gate: #4, 9(13%)
minecraft.picked_up.scrape_pottery_sherd: #4, 27(7%)
minecraft.mined.tuff_brick_stairs: #4, 90(5%)
minecraft.picked_up.bowl: #5, 58(10%)
minecraft.picked_up.birch_hanging_sign: #4, 9(13%)
minecraft.picked_up.netherite_boots: #5, 35(9%)
minecraft.picked_up.yellow_candle: #3, 4(2%)
minecraft.dropped.open_eyeblossom: #3, 1(5%)
minecraft.dropped.netherite_leggings: #4, 4(7%)
minecraft.dropped.dark_oak_planks: #4, 84(5%)
minecraft.mined.spruce_wall_hanging_sign: #4, 9(8%)
minecraft.custom.interact_with_campfire: #5, 1291(9%)
minecraft.crafted.gray_candle: #3, 18(3%)
minecraft.crafted.light_gray_candle: #3, 19(3%)
minecraft.picked_up.spruce_sapling: #4, 1739(5%)
minecraft.crafted.warped_slab: #4, 486(6%)
minecraft.picked_up.mossy_stone_bricks: #4, 343(5%)
minecraft.used.tall_dry_grass: #4, 29(10%)
minecraft.dropped.brick: #4, 325(5%)
minecraft.mined.prismarine_brick_stairs: #3, 20(2%)
minecraft.dropped.name_tag: #5, 30(9%)
minecraft.dropped.light_blue_dye: #4, 17(6%)
minecraft.dropped.brown_concrete: #3, 7(1%)
minecraft.mined.prismarine_stairs: #3, 2(3%)
minecraft.dropped.andesite_stairs: #3, 3(2%)
minecraft.mined.dark_prismarine: #5, 329(12%)
minecraft.picked_up.hay_block: #5, 698(9%)
minecraft.picked_up.prismarine_brick_stairs: #3, 11(1%)
minecraft.used.prismarine_stairs: #3, 10(1%)
minecraft.crafted.clay: #4, 262(7%)
minecraft.picked_up.bolt_armor_trim_smithing_template: #4, 5(9%)
minecraft.picked_up.prismarine_stairs: #3, 2(2%)
minecraft.picked_up.deepslate_diamond_ore: #4, 1271(4%)
minecraft.dropped.closed_eyeblossom: #3, 1(2%)
minecraft.dropped.prismarine_brick_slab: #3, 2(1%)
minecraft.picked_up.lapis_block: #4, 205(5%)
minecraft.used.lime_terracotta: #4, 620(7%)
minecraft.dropped.diamond_boots: #5, 16(7%)
minecraft.used.light_blue_candle: #3, 6(0%)
minecraft.picked_up.cut_red_sandstone_slab: #3, 4(0%)
minecraft.used.cut_red_sandstone_slab: #3, 2(0%)
minecraft.broken.iron_boots: #4, 1(20%)
minecraft.dropped.diamond_ore: #4, 1(14%)
minecraft.dropped.melon_slice: #5, 2064(8%)
minecraft.mined.glowstone: #5, 464(8%)
minecraft.used.black_concrete_powder: #5, 5437(9%)
minecraft.picked_up.black_concrete: #5, 1626(8%)
minecraft.crafted.chiseled_polished_blackstone: #4, 11(9%)
minecraft.dropped.azalea_leaves: #4, 337(6%)
minecraft.dropped.blackstone: #4, 454(5%)
minecraft.picked_up.jungle_planks: #5, 511(8%)
minecraft.used.spruce_fence: #5, 1587(8%)
minecraft.used.enchanted_golden_apple: #4, 6(11%)
minecraft.mined.light_gray_stained_glass: #4, 87(5%)
minecraft.dropped.red_terracotta: #4, 87(6%)
minecraft.dropped.dark_oak_trapdoor: #4, 45(7%)
minecraft.used.blackstone_wall: #4, 30(9%)
minecraft.mined.deepslate_iron_ore: #5, 1617(8%)
minecraft.dropped.chiseled_tuff: #4, 16(7%)
minecraft.dropped.deepslate_bricks: #4, 16(6%)
minecraft.used.gold_ingot: #4, 5(8%)
minecraft.used.brown_candle: #4, 45(9%)
minecraft.dropped.end_rod: #4, 52(8%)
minecraft.dropped.crafting_table: #5, 34(9%)
minecraft.dropped.cyan_dye: #4, 18(5%)
minecraft.mined.red_candle: #4, 7(7%)
minecraft.dropped.andesite_wall: #4, 24(10%)
minecraft.used.diamond_axe: #5, 73485(7%)
minecraft.mined.oak_wood: #4, 158(5%)
minecraft.used.cooked_mutton: #4, 117(4%)
minecraft.picked_up.spruce_stairs: #5, 452(7%)
minecraft.dropped.light_weighted_pressure_plate: #4, 8(10%)
minecraft.crafted.spruce_fence: #5, 1560(8%)
minecraft.dropped.acacia_sign: #4, 3(9%)
minecraft.used.conduit: #4, 3(9%)
minecraft.picked_up.music_disc_mall: #4, 6(11%)
minecraft.dropped.rooted_dirt: #4, 83(5%)
minecraft.used.dark_prismarine: #5, 806(12%)
minecraft.used.vine: #5, 90(9%)
minecraft.dropped.nether_wart: #4, 29(6%)
minecraft.crafted.diamond_shovel: #5, 17(7%)
minecraft.picked_up.leather_boots: #5, 39(6%)
minecraft.dropped.acacia_fence: #4, 15(11%)
minecraft.mined.warped_trapdoor: #5, 58(10%)
minecraft.mined.cocoa: #5, 161(8%)
minecraft.mined.red_sand: #5, 12847(8%)
minecraft.crafted.mangrove_boat: #4, 2(11%)
minecraft.mined.attached_melon_stem: #5, 15(8%)
minecraft.dropped.bamboo_raft: #4, 4(9%)
minecraft.dropped.painting: #4, 12(10%)
minecraft.crafted.conduit: #4, 2(10%)
minecraft.dropped.polished_blackstone_button: #4, 4(10%)
minecraft.used.red_sand: #4, 163(4%)
minecraft.dropped.conduit: #4, 1(12%)
minecraft.dropped.leather: #4, 227(3%)
minecraft.picked_up.red_dye: #5, 112(7%)
minecraft.used.red_mushroom: #4, 19(6%)
minecraft.crafted.black_concrete_powder: #5, 5088(8%)
minecraft.killed.horse: #4, 47(7%)
minecraft.mined.soul_campfire: #4, 4(6%)
minecraft.used.cherry_fence: #4, 40(5%)
minecraft.crafted.prismarine_stairs: #4, 8(13%)
minecraft.picked_up.polished_blackstone_wall: #4, 18(6%)
minecraft.dropped.wildflowers: #4, 4(11%)
minecraft.dropped.water_bucket: #5, 31(7%)
minecraft.picked_up.weeping_vines: #4, 164(3%)
minecraft.mined.mangrove_planks: #5, 195(8%)
minecraft.picked_up.polished_blackstone_brick_stairs: #4, 22(5%)
minecraft.used.hay_block: #5, 146(7%)
minecraft.picked_up.clay: #5, 1956(7%)
minecraft.dropped.jungle_button: #4, 5(9%)
minecraft.crafted.acacia_boat: #4, 3(10%)
minecraft.dropped.polished_blackstone: #4, 4(8%)
minecraft.mined.birch_door: #4, 2(6%)
minecraft.picked_up.dried_kelp_block: #4, 730(4%)
minecraft.mined.wheat: #5, 10864(6%)
minecraft.mined.waxed_copper_door: #4, 1(10%)
minecraft.picked_up.waxed_copper_door: #4, 1(10%)
minecraft.used.trident: #4, 695(3%)
minecraft.dropped.mushroom_stem: #4, 29(7%)
minecraft.picked_up.lime_stained_glass_pane: #4, 40(5%)
minecraft.used.mangrove_fence_gate: #4, 22(5%)
minecraft.crafted.spruce_slab: #5, 4116(6%)
minecraft.crafted.brown_candle: #4, 69(7%)
minecraft.mined.prismarine_bricks: #4, 584(3%)
minecraft.dropped.mangrove_stairs: #4, 15(9%)
minecraft.mined.polished_tuff_slab: #5, 178(6%)
minecraft.crafted.player_head: #5, 1112(8%)
minecraft.picked_up.popped_chorus_fruit: #4, 48(9%)
minecraft.crafted.copper_grate: #5, 152(12%)
minecraft.mined.smooth_red_sandstone: #4, 87(5%)
minecraft.crafted.cherry_stairs: #4, 40(5%)
minecraft.picked_up.sponge: #4, 374(3%)
minecraft.used.milk_bucket: #5, 12(8%)
minecraft.dropped.dirt: #5, 7526(6%)
minecraft.dropped.waxed_oxidized_copper_door: #4, 1(10%)
minecraft.picked_up.warped_trapdoor: #5, 83(8%)
minecraft.dropped.mud_bricks: #4, 12(3%)
minecraft.used.wooden_shovel: #4, 120(4%)
minecraft.crafted.stone_brick_slab: #4, 390(2%)
minecraft.mined.red_sandstone_slab: #4, 28(5%)
minecraft.mined.cut_copper_stairs: #4, 17(6%)
minecraft.mined.warped_wart_block: #5, 1607(7%)
minecraft.used.salmon_bucket: #4, 12(4%)
minecraft.crafted.rib_armor_trim_smithing_template: #4, 6(7%)
minecraft.used.bread: #4, 208(2%)
minecraft.picked_up.chiseled_bookshelf: #5, 55(8%)
minecraft.used.melon_slice: #5, 266(6%)
minecraft.dropped.jukebox: #4, 2(5%)
minecraft.picked_up.waxed_exposed_copper_trapdoor: #4, 14(3%)
minecraft.mined.waxed_exposed_copper_trapdoor: #4, 14(3%)
minecraft.picked_up.stone_bricks: #5, 2527(5%)
minecraft.picked_up.jukebox: #5, 34(6%)
minecraft.dropped.tipped_arrow: #5, 156(8%)
minecraft.picked_up.clay_ball: #5, 4289(6%)
minecraft.mined.gilded_blackstone: #4, 19(5%)
minecraft.mined.end_stone_brick_stairs: #4, 3(8%)
minecraft.dropped.stripped_oak_wood: #4, 1(5%)
minecraft.picked_up.netherite_shovel: #5, 22(7%)
minecraft.used.tuff_slab: #5, 369(6%)
minecraft.dropped.brick_slab: #4, 3(6%)
minecraft.dropped.string: #5, 862(5%)
minecraft.picked_up.smoker: #5, 9(7%)
minecraft.dropped.nether_brick_slab: #4, 4(8%)
minecraft.used.green_stained_glass: #5, 388(8%)
minecraft.dropped.spruce_sign: #5, 33(5%)
minecraft.picked_up.tuff_brick_stairs: #5, 141(6%)
minecraft.dropped.heart_of_the_sea: #4, 1(7%)
minecraft.dropped.mud_brick_slab: #4, 12(4%)
minecraft.broken.wooden_shovel: #4, 2(5%)
minecraft.dropped.phantom_membrane: #5, 16(7%)
minecraft.mined.spruce_door: #5, 9(6%)
minecraft.picked_up.mangrove_hanging_sign: #5, 8(12%)
minecraft.mined.cactus_flower: #5, 11(12%)
minecraft.used.mangrove_propagule: #4, 122(1%)
minecraft.dropped.hopper: #5, 62(6%)
minecraft.picked_up.light_blue_wool: #5, 503(6%)
minecraft.dropped.mossy_cobblestone_wall: #4, 1(6%)
minecraft.used.chorus_flower: #4, 19(2%)
minecraft.picked_up.mossy_cobblestone: #5, 489(5%)
minecraft.dropped.orange_bed: #4, 1(5%)
minecraft.mined.bamboo: #5, 2202(5%)
minecraft.crafted.mossy_stone_brick_stairs: #4, 27(3%)
minecraft.mined.waxed_oxidized_chiseled_copper: #4, 4(2%)
minecraft.mined.candle: #5, 10(9%)
minecraft.mined.warped_stem: #6, 1655(9%)
minecraft.dropped.polished_blackstone_pressure_plate: #4, 2(5%)
minecraft.mined.spruce_hanging_sign: #5, 5(9%)
minecraft.dropped.pink_wool: #4, 69(2%)
minecraft.picked_up.cut_red_sandstone: #4, 54(2%)
minecraft.picked_up.waxed_oxidized_cut_copper: #5, 257(6%)
minecraft.dropped.warped_sign: #4, 4(3%)
minecraft.dropped.deepslate_brick_stairs: #4, 2(2%)
minecraft.dropped.green_stained_glass: #4, 2(4%)
minecraft.dropped.polished_diorite_slab: #4, 5(4%)
minecraft.used.black_candle: #4, 13(3%)
minecraft.dropped.deepslate_brick_wall: #4, 7(3%)
minecraft.dropped.cyan_concrete: #4, 5(2%)
minecraft.picked_up.copper_block: #4, 539(1%)
minecraft.picked_up.pointed_dripstone: #5, 1513(4%)
minecraft.picked_up.writable_book: #5, 28(4%)
minecraft.mined.cut_red_sandstone: #4, 31(1%)
minecraft.dropped.iron_block: #5, 381(5%)
minecraft.picked_up.deepslate_bricks: #5, 498(5%)
minecraft.picked_up.red_mushroom: #5, 80(4%)
minecraft.mined.dirt: #5, 61932(4%)
minecraft.mined.cobbled_deepslate: #5, 858(4%)
minecraft.dropped.diorite_stairs: #4, 1(1%)
minecraft.mined.end_stone_brick_wall: #4, 1(1%)
minecraft.picked_up.salmon_bucket: #4, 1(1%)
minecraft.crafted.cyan_candle: #4, 6(1%)
minecraft.used.weathered_copper: #4, 84(0%)
minecraft.custom.horse_one_cm: #5, 31080669(4%)
minecraft.picked_up.smooth_stone: #5, 2514(4%)
minecraft.crafted.cut_red_sandstone: #4, 12(0%)
minecraft.crafted.cyan_glazed_terracotta: #5, 36(10%)
minecraft.crafted.pink_candle: #4, 3(0%)
minecraft.broken.iron_shovel: #5, 11(6%)
minecraft.crafted.light_blue_candle: #4, 4(0%)
minecraft.crafted.spruce_door: #5, 30(5%)
minecraft.mined.seagrass: #6, 654(8%)
minecraft.dropped.light_gray_terracotta: #5, 35(8%)
minecraft.picked_up.mace: #6, 23(8%)
minecraft.dropped.stone_bricks: #5, 208(4%)
minecraft.picked_up.birch_door: #5, 5(8%)
minecraft.mined.pale_oak_stairs: #5, 21(8%)
minecraft.crafted.acacia_hanging_sign: #5, 12(8%)
minecraft.picked_up.wheat_seeds: #6, 46806(7%)
minecraft.used.cooked_chicken: #5, 253(3%)
minecraft.dropped.spruce_sapling: #5, 107(4%)
minecraft.mined.sunflower: #6, 425(8%)
minecraft.picked_up.feather: #5, 517(4%)
minecraft.used.cartography_table: #5, 19(5%)
minecraft.crafted.firework_rocket: #5, 15600(4%)
minecraft.dropped.emerald: #5, 1605(4%)
minecraft.used.cactus_flower: #5, 9(8%)
