stat, rank, value, (percentage) 
minecraft.crafted.weathered_copper_grate: #2, 32(25%)
minecraft.dropped.nether_star: #2, 1(33%)
minecraft.dropped.acacia_boat: #2, 1(33%)
minecraft.dropped.smooth_stone: #2, 1261(5%)
minecraft.picked_up.detector_rail: #3, 59(10%)
minecraft.crafted.waxed_copper_block: #2, 613(12%)
minecraft.used.gunpowder: #3, 47(9%)
minecraft.picked_up.target: #4, 189(15%)
minecraft.dropped.cracked_polished_blackstone_bricks: #2, 38(12%)
minecraft.dropped.diamond_shovel: #3, 19(9%)
minecraft.used.chiseled_polished_blackstone: #3, 44(18%)
minecraft.picked_up.written_book: #3, 45(8%)
minecraft.dropped.torch: #3, 687(8%)
minecraft.mined.light_gray_stained_glass_pane: #3, 37(11%)
minecraft.mined.piston_head: #3, 19(10%)
minecraft.dropped.potato: #4, 2571(11%)
minecraft.picked_up.smoker: #3, 13(10%)
minecraft.mined.oxidized_copper: #2, 1060(4%)
minecraft.picked_up.purple_bundle: #2, 2(15%)
minecraft.dropped.sticky_piston: #3, 137(16%)
minecraft.picked_up.cut_copper_slab: #3, 109(16%)
minecraft.used.milk_bucket: #3, 15(10%)
minecraft.crafted.crimson_stairs: #3, 304(21%)
minecraft.crafted.waxed_oxidized_chiseled_copper: #2, 31(22%)
minecraft.custom.leave_game: #4, 1781(5%)
minecraft.dropped.dirt: #3, 9423(7%)
minecraft.used.oak_sign: #3, 180(7%)
minecraft.crafted.iron_ingot: #4, 96607(11%)
minecraft.used.polished_blackstone_brick_stairs: #2, 86(8%)
minecraft.crafted.comparator: #4, 762(12%)
minecraft.used.beetroot_soup: #2, 2(29%)
minecraft.used.crimson_trapdoor: #3, 263(11%)
minecraft.dropped.oak_sapling: #3, 352(8%)
minecraft.dropped.stick: #3, 5459(7%)
minecraft.picked_up.blackstone_slab: #3, 157(11%)
minecraft.custom.walk_one_cm: #4, 219046647(6%)
minecraft.picked_up.oxidized_cut_copper_slab: #2, 106(5%)
minecraft.crafted.polished_blackstone_brick_stairs: #2, 46(8%)
minecraft.picked_up.bamboo_pressure_plate: #3, 17(18%)
minecraft.used.bubble_coral_fan: #2, 12(7%)
minecraft.picked_up.sticky_piston: #4, 475(11%)
minecraft.mined.oxidized_cut_copper_slab: #2, 95(5%)
minecraft.picked_up.flower_banner_pattern: #2, 1(14%)
minecraft.dropped.candle: #3, 73(16%)
minecraft.crafted.copper_grate: #3, 168(13%)
minecraft.picked_up.bamboo_door: #3, 55(11%)
minecraft.picked_up.white_bed: #3, 411(6%)
minecraft.dropped.exposed_cut_copper_slab: #2, 1(33%)
minecraft.dropped.birch_button: #3, 12(17%)
minecraft.crafted.shears: #4, 1446(11%)
minecraft.crafted.weathered_cut_copper_slab: #2, 120(22%)
minecraft.mined.white_bed: #3, 396(6%)
minecraft.picked_up.item_frame: #4, 754(9%)
minecraft.picked_up.polished_blackstone_button: #3, 21(9%)
minecraft.dropped.cooked_cod: #3, 197(7%)
minecraft.used.potato: #4, 991(11%)
minecraft.used.white_bed: #3, 433(7%)
minecraft.picked_up.oxidized_copper_trapdoor: #3, 474(8%)
minecraft.mined.crimson_stem: #4, 1248(13%)
minecraft.dropped.lime_concrete: #2, 85(9%)
minecraft.dropped.bamboo_button: #2, 217(5%)
minecraft.dropped.pale_moss_carpet: #3, 101(12%)
minecraft.dropped.light_gray_shulker_box: #2, 2(9%)
minecraft.dropped.gold_nugget: #4, 1616(10%)
minecraft.dropped.spruce_sapling: #3, 180(7%)
minecraft.used.chest_minecart: #3, 41(12%)
minecraft.used.waxed_oxidized_cut_copper_slab: #3, 339(12%)
minecraft.dropped.polished_blackstone_pressure_plate: #2, 6(14%)
minecraft.mined.oxidized_copper_trapdoor: #3, 437(8%)
minecraft.picked_up.cobbled_deepslate_slab: #3, 447(8%)
minecraft.used.acacia_log: #4, 1942(11%)
minecraft.picked_up.waxed_oxidized_copper_bulb: #3, 17(10%)
minecraft.mined.exposed_cut_copper_slab: #3, 15(14%)
minecraft.mined.polished_deepslate_slab: #3, 150(7%)
minecraft.picked_up.calibrated_sculk_sensor: #4, 38(13%)
minecraft.used.light_blue_concrete: #4, 2836(15%)
minecraft.used.note_block: #4, 616(10%)
minecraft.killed_by.vex: #2, 4(6%)
minecraft.crafted.iron_pickaxe: #4, 35(10%)
minecraft.crafted.crimson_planks: #4, 2388(12%)
minecraft.picked_up.loom: #3, 22(7%)
minecraft.mined.waxed_weathered_copper_bulb: #3, 35(11%)
minecraft.picked_up.iron_pickaxe: #4, 26(10%)
minecraft.picked_up.sugar: #4, 989(13%)
minecraft.picked_up.granite_wall: #3, 42(11%)
minecraft.dropped.red_shulker_box: #3, 8(10%)
minecraft.crafted.mossy_stone_brick_stairs: #2, 60(6%)
minecraft.dropped.iron_nugget: #4, 1759(9%)
minecraft.picked_up.blast_furnace: #3, 37(7%)
minecraft.picked_up.beetroot_soup: #3, 46(13%)
minecraft.crafted.honeycomb_block: #3, 3232(13%)
minecraft.mined.acacia_wall_sign: #3, 13(9%)
minecraft.crafted.waxed_oxidized_cut_copper_slab: #3, 82(11%)
minecraft.picked_up.bowl: #4, 64(11%)
minecraft.crafted.hopper_minecart: #4, 103(10%)
minecraft.crafted.crimson_trapdoor: #4, 274(15%)
minecraft.crafted.stripped_warped_hyphae: #2, 18(13%)
minecraft.used.cracked_polished_blackstone_bricks: #3, 66(13%)
minecraft.crafted.cauldron: #3, 110(6%)
minecraft.mined.smithing_table: #4, 51(10%)
minecraft.used.music_disc_pigstep: #2, 1(8%)
minecraft.custom.interact_with_campfire: #4, 1436(10%)
minecraft.dropped.compass: #3, 12(10%)
minecraft.dropped.glowstone: #3, 354(10%)
minecraft.dropped.acacia_trapdoor: #3, 38(9%)
minecraft.picked_up.polished_granite_stairs: #3, 73(19%)
minecraft.mined.amethyst_cluster: #3, 614(6%)
minecraft.used.copper_block: #2, 1889(2%)
minecraft.used.mycelium: #2, 324(6%)
minecraft.used.rotten_flesh: #4, 201(10%)
minecraft.dropped.wither_skeleton_skull: #3, 8(17%)
minecraft.used.light_blue_wool: #3, 587(8%)
minecraft.mined.polished_blackstone_button: #3, 13(10%)
minecraft.picked_up.dark_oak_fence: #4, 414(9%)
minecraft.dropped.hopper_minecart: #2, 22(4%)
minecraft.dropped.bone_block: #2, 990(2%)
minecraft.used.waxed_cut_copper_stairs: #3, 86(19%)
minecraft.crafted.bamboo_button: #2, 359(2%)
minecraft.mined.andesite_slab: #4, 103(10%)
minecraft.mined.dark_oak_fence: #4, 315(9%)
minecraft.killed.drowned: #2, 36447(1%)
minecraft.picked_up.bone_meal: #4, 11690(8%)
minecraft.crafted.mossy_cobblestone_slab: #4, 132(12%)
minecraft.used.resin_block: #3, 487(8%)
minecraft.crafted.waxed_oxidized_copper_door: #2, 6(14%)
minecraft.dropped.diamond_pickaxe: #4, 41(9%)
minecraft.crafted.cobblestone_slab: #3, 865(6%)
minecraft.picked_up.player_head: #4, 2800(7%)
minecraft.crafted.purple_concrete_powder: #3, 800(8%)
minecraft.picked_up.sculk_shrieker: #4, 90(14%)
minecraft.picked_up.clay: #4, 2702(9%)
minecraft.mined.bamboo_pressure_plate: #3, 5(14%)
minecraft.dropped.crimson_button: #2, 1(8%)
minecraft.used.oxidized_copper_trapdoor: #4, 580(12%)
minecraft.picked_up.iron_hoe: #3, 4(9%)
minecraft.mined.crafter: #4, 147(9%)
minecraft.picked_up.diamond_helmet: #4, 41(7%)
minecraft.dropped.wheat: #4, 1651(9%)
minecraft.used.polished_granite_stairs: #3, 166(11%)
minecraft.crafted.snow_block: #3, 1398(6%)
minecraft.crafted.repeater: #4, 1015(9%)
minecraft.dropped.bamboo_mosaic: #2, 3(4%)
minecraft.dropped.leather: #3, 379(6%)
minecraft.mined.wither_skeleton_skull: #3, 4(12%)
minecraft.used.green_dye: #4, 188(12%)
minecraft.used.glistering_melon_slice: #3, 3(15%)
minecraft.crafted.birch_trapdoor: #4, 170(10%)
minecraft.crafted.oxidized_copper_trapdoor: #4, 144(14%)
minecraft.picked_up.tuff_wall: #3, 78(8%)
minecraft.dropped.carved_pumpkin: #4, 96(8%)
minecraft.used.granite_stairs: #3, 47(7%)
minecraft.picked_up.crimson_stem: #4, 1197(10%)
minecraft.mined.spruce_wall_sign: #4, 47(8%)
minecraft.used.detector_rail: #4, 62(11%)
minecraft.dropped.spruce_door: #3, 7(13%)
minecraft.crafted.lightning_rod: #4, 672(10%)
minecraft.used.brown_dye: #4, 33(11%)
minecraft.dropped.polished_granite_stairs: #2, 1(7%)
minecraft.used.pink_tulip: #3, 16(7%)
minecraft.used.powder_snow_bucket: #4, 367(13%)
minecraft.picked_up.spruce_stairs: #4, 518(8%)
minecraft.dropped.packed_ice: #3, 213(7%)
minecraft.picked_up.smithing_table: #4, 51(9%)
minecraft.picked_up.snowball: #4, 11700(7%)
minecraft.crafted.fire_charge: #2, 384(2%)
minecraft.used.polished_blackstone_pressure_plate: #3, 25(12%)
minecraft.used.crimson_stairs: #3, 293(14%)
minecraft.dropped.shroomlight: #3, 13(11%)
minecraft.used.gold_ingot: #3, 6(10%)
minecraft.used.bamboo_button: #2, 97(1%)
minecraft.used.stick: #3, 2(18%)
minecraft.used.crimson_fence: #3, 170(10%)
minecraft.used.cracked_deepslate_bricks: #3, 114(12%)
minecraft.mined.polished_blackstone_pressure_plate: #3, 9(13%)
minecraft.dropped.water_bucket: #4, 39(9%)
minecraft.picked_up.obsidian: #4, 1868(8%)
minecraft.dropped.smooth_red_sandstone: #2, 5(2%)
minecraft.picked_up.chiseled_bookshelf: #4, 79(11%)
minecraft.picked_up.scaffolding: #4, 15564(8%)
minecraft.dropped.totem_of_undying: #3, 50(5%)
minecraft.crafted.yellow_bed: #3, 8(9%)
minecraft.used.polished_deepslate_stairs: #4, 725(10%)
minecraft.dropped.oak_planks: #4, 230(8%)
minecraft.mined.tripwire_hook: #4, 13(10%)
minecraft.broken.diamond_pickaxe: #3, 2(8%)
minecraft.crafted.flower_banner_pattern: #3, 1(11%)
minecraft.picked_up.quartz: #4, 5705(8%)
minecraft.picked_up.lead: #4, 600(7%)
minecraft.dropped.cobblestone_slab: #4, 186(11%)
minecraft.dropped.saddle: #4, 10(9%)
minecraft.crafted.copper_ingot: #4, 12130(8%)
minecraft.picked_up.nether_brick_fence: #4, 57(9%)
minecraft.used.white_wool: #4, 1462(8%)
minecraft.mined.copper_grate: #4, 62(12%)
minecraft.picked_up.wooden_sword: #4, 41(11%)
minecraft.picked_up.lime_concrete: #4, 488(11%)
minecraft.used.purple_concrete_powder: #4, 800(13%)
minecraft.used.golden_axe: #3, 25(23%)
minecraft.crafted.birch_sign: #4, 114(8%)
minecraft.used.diamond_axe: #4, 75515(7%)
minecraft.mined.waxed_copper_grate: #4, 307(11%)
minecraft.dropped.snowball: #4, 339(7%)
minecraft.crafted.andesite_slab: #3, 264(4%)
minecraft.crafted.copper_block: #4, 2860(8%)
minecraft.dropped.chest_minecart: #3, 10(11%)
minecraft.used.scaffolding: #4, 14877(8%)
minecraft.crafted.stone_slab: #5, 3948(12%)
minecraft.mined.cobblestone_wall: #4, 77(10%)
minecraft.picked_up.emerald: #4, 3307(8%)
minecraft.mined.soul_soil: #5, 3178(12%)
minecraft.picked_up.milk_bucket: #4, 22(11%)
minecraft.mined.polished_blackstone_brick_stairs: #3, 20(7%)
minecraft.picked_up.oxidized_copper: #3, 1113(4%)
minecraft.dropped.diorite: #4, 1483(8%)
minecraft.picked_up.waxed_copper_grate: #4, 288(10%)
minecraft.used.red_mushroom: #3, 24(8%)
minecraft.dropped.diamond_axe: #4, 21(8%)
minecraft.used.red_sandstone_slab: #3, 132(10%)
minecraft.picked_up.mycelium: #3, 581(7%)
minecraft.crafted.red_bed: #3, 5(6%)
minecraft.dropped.lantern: #4, 48(10%)
minecraft.used.hopper_minecart: #4, 72(8%)
minecraft.mined.birch_wall_hanging_sign: #3, 1(17%)
minecraft.mined.tuff_slab: #4, 62(10%)
minecraft.picked_up.deepslate_brick_stairs: #3, 222(4%)
minecraft.mined.blast_furnace: #4, 41(8%)
minecraft.used.lime_stained_glass: #4, 950(11%)
minecraft.dropped.wildflowers: #3, 5(14%)
minecraft.picked_up.polished_blackstone_brick_stairs: #3, 28(7%)
minecraft.custom.interact_with_lectern: #5, 1090(7%)
minecraft.picked_up.diamond_leggings: #4, 49(6%)
minecraft.picked_up.weathered_copper_trapdoor: #4, 140(10%)
minecraft.killed.evoker: #4, 12993(11%)
minecraft.picked_up.shears: #4, 116(7%)
minecraft.dropped.iron_ingot: #4, 2049(7%)
minecraft.used.polished_deepslate: #4, 2045(8%)
minecraft.used.granite_wall: #4, 179(12%)
minecraft.used.wooden_shovel: #3, 187(7%)
minecraft.dropped.cut_sandstone: #3, 39(4%)
minecraft.used.snowball: #4, 362(5%)
minecraft.used.obsidian: #4, 1243(7%)
minecraft.crafted.white_bed: #4, 46(7%)
minecraft.crafted.oxidized_cut_copper_stairs: #4, 96(13%)
minecraft.mined.polished_andesite_slab: #3, 44(5%)
minecraft.picked_up.polished_deepslate: #4, 434(7%)
minecraft.used.waxed_chiseled_copper: #3, 189(5%)
minecraft.dropped.spruce_stairs: #4, 82(11%)
minecraft.mined.weathered_copper_trapdoor: #4, 141(10%)
minecraft.used.polished_tuff_slab: #4, 1234(7%)
minecraft.picked_up.heavy_weighted_pressure_plate: #4, 14(11%)
minecraft.mined.mycelium: #3, 550(7%)
minecraft.used.oxidized_cut_copper_stairs: #3, 163(4%)
minecraft.crafted.red_sandstone_wall: #3, 28(10%)
minecraft.used.music_disc_5: #3, 1(11%)
minecraft.dropped.music_disc_pigstep: #3, 1(11%)
minecraft.mined.mangrove_wall_hanging_sign: #3, 1(8%)
minecraft.dropped.tnt: #4, 241(9%)
minecraft.crafted.tuff_brick_wall: #4, 59(10%)
minecraft.used.brick_stairs: #4, 64(10%)
minecraft.dropped.jukebox: #3, 3(8%)
minecraft.picked_up.blue_shulker_box: #4, 504(8%)
minecraft.crafted.tinted_glass: #4, 1152(11%)
minecraft.mined.cut_copper_slab: #4, 63(15%)
minecraft.dropped.piston: #4, 171(12%)
minecraft.picked_up.waxed_exposed_copper_door: #3, 1(20%)
minecraft.mined.oak_button: #4, 18(8%)
minecraft.mined.peony: #4, 42(7%)
minecraft.crafted.brick_wall: #4, 57(12%)
minecraft.used.sculk_shrieker: #3, 4(11%)
minecraft.dropped.oak_trapdoor: #4, 24(8%)
minecraft.mined.nether_brick_fence: #4, 33(8%)
minecraft.mined.oxidized_copper_grate: #3, 53(3%)
minecraft.mined.tuff_wall: #4, 26(11%)
minecraft.used.blue_shulker_box: #4, 504(8%)
minecraft.mined.blue_shulker_box: #4, 501(8%)
minecraft.used.crimson_stem: #4, 236(9%)
minecraft.mined.resin_block: #3, 172(3%)
minecraft.crafted.polished_tuff_stairs: #4, 55(7%)
minecraft.used.oxidized_copper_door: #4, 8(10%)
minecraft.crafted.chiseled_red_sandstone: #3, 3(17%)
minecraft.mined.acacia_fence_gate: #4, 11(12%)
minecraft.crafted.crimson_door: #3, 3(10%)
minecraft.used.crimson_door: #3, 2(12%)
minecraft.picked_up.cobweb: #4, 595(8%)
minecraft.picked_up.birch_trapdoor: #4, 40(8%)
minecraft.dropped.fire_charge: #3, 73(4%)
minecraft.mined.orange_tulip: #4, 108(7%)
minecraft.mined.weathered_copper_bulb: #3, 6(6%)
minecraft.picked_up.weathered_copper_bulb: #3, 6(6%)
minecraft.dropped.bamboo_fence: #3, 6(6%)
minecraft.picked_up.exposed_cut_copper_slab: #4, 15(12%)
minecraft.used.brick_wall: #4, 76(10%)
minecraft.picked_up.beehive: #3, 163(3%)
minecraft.mined.cyan_stained_glass_pane: #4, 27(12%)
minecraft.dropped.potion: #4, 216(6%)
minecraft.used.purple_concrete: #4, 435(14%)
minecraft.mined.composter: #4, 138(6%)
minecraft.dropped.ominous_trial_key: #4, 10(9%)
minecraft.broken.wooden_shovel: #3, 3(7%)
minecraft.dropped.mangrove_hanging_sign: #3, 1(14%)
minecraft.dropped.oxidized_cut_copper_slab: #3, 1(14%)
minecraft.dropped.chain: #4, 103(7%)
minecraft.picked_up.crimson_fence_gate: #3, 2(6%)
minecraft.mined.copper_block: #4, 218(6%)
minecraft.picked_up.warped_roots: #4, 2083(6%)
minecraft.used.weeping_vines: #4, 62(12%)
minecraft.used.glass: #4, 10904(6%)
minecraft.custom.target_hit: #4, 334(5%)
minecraft.used.cut_copper_slab: #4, 119(14%)
minecraft.crafted.granite_slab: #4, 252(11%)
minecraft.mined.oxidized_copper_door: #4, 5(11%)
minecraft.dropped.light_gray_stained_glass_pane: #4, 31(11%)
minecraft.crafted.red_nether_brick_stairs: #4, 15(19%)
minecraft.dropped.oak_leaves: #4, 448(6%)
minecraft.used.blackstone_slab: #4, 483(7%)
minecraft.crafted.blackstone_stairs: #4, 24(10%)
minecraft.picked_up.ice: #3, 2713(2%)
minecraft.crafted.polished_blackstone_brick_wall: #3, 12(5%)
minecraft.mined.cobbled_deepslate_slab: #4, 191(7%)
minecraft.crafted.raw_copper: #4, 12834(6%)
minecraft.mined.polished_andesite_stairs: #4, 33(6%)
minecraft.dropped.deepslate_brick_wall: #3, 15(6%)
minecraft.crafted.leaf_litter: #3, 36(10%)
minecraft.used.redstone_block: #4, 734(5%)
minecraft.used.brown_mushroom: #4, 139(6%)
minecraft.dropped.spruce_hanging_sign: #3, 2(10%)
minecraft.crafted.calibrated_sculk_sensor: #4, 61(9%)
minecraft.crafted.diorite_stairs: #4, 36(13%)
minecraft.picked_up.cobblestone_wall: #4, 74(6%)
minecraft.picked_up.polished_deepslate_wall: #5, 161(10%)
minecraft.dropped.brick_wall: #3, 1(6%)
minecraft.picked_up.redstone: #4, 14021(5%)
minecraft.crafted.oxidized_copper_grate: #4, 64(8%)
minecraft.used.gold_nugget: #4, 100(7%)
minecraft.picked_up.birch_button: #4, 13(6%)
minecraft.picked_up.waxed_weathered_copper_bulb: #4, 35(11%)
minecraft.dropped.spruce_pressure_plate: #4, 4(11%)
minecraft.dropped.chainmail_chestplate: #4, 6(7%)
minecraft.dropped.gray_stained_glass_pane: #3, 4(6%)
minecraft.picked_up.honey_bottle: #5, 180(11%)
minecraft.mined.polished_deepslate_stairs: #4, 95(6%)
minecraft.used.waxed_exposed_copper: #4, 209(9%)
minecraft.picked_up.chiseled_polished_blackstone: #4, 15(9%)
minecraft.dropped.iron_ore: #4, 121(6%)
minecraft.crafted.weathered_copper_trapdoor: #3, 12(5%)
minecraft.used.acacia_fence: #4, 249(7%)
minecraft.mined.purple_wool: #4, 42(9%)
minecraft.used.polished_blackstone_wall: #4, 86(9%)
minecraft.picked_up.cake: #4, 10(12%)
minecraft.dropped.oak_chest_boat: #3, 1(5%)
minecraft.dropped.bricks: #4, 90(8%)
minecraft.crafted.diorite_wall: #3, 78(1%)
minecraft.picked_up.tnt_minecart: #4, 16(11%)
minecraft.crafted.acacia_fence: #4, 240(6%)
minecraft.picked_up.copper_block: #3, 576(1%)
minecraft.mined.acacia_stairs: #4, 35(8%)
minecraft.crafted.polished_blackstone_pressure_plate: #4, 18(11%)
minecraft.used.calibrated_sculk_sensor: #4, 35(7%)
minecraft.picked_up.exposed_copper: #3, 323(0%)
minecraft.dropped.honeycomb: #4, 763(7%)
minecraft.crafted.polished_granite_stairs: #4, 24(14%)
minecraft.crafted.oak_pressure_plate: #4, 11(7%)
minecraft.crafted.honey_block: #3, 96(2%)
minecraft.dropped.lime_stained_glass: #4, 66(18%)
minecraft.dropped.jungle_fence_gate: #3, 1(2%)
minecraft.used.target: #5, 306(10%)
minecraft.crafted.cyan_stained_glass_pane: #4, 272(7%)
minecraft.dropped.emerald: #4, 1807(5%)
minecraft.used.mossy_cobblestone_wall: #4, 53(6%)
minecraft.used.oxidized_cut_copper_slab: #4, 364(6%)
minecraft.dropped.chest: #4, 259(4%)
minecraft.picked_up.piston: #5, 615(8%)
minecraft.crafted.waxed_oxidized_copper: #3, 32(0%)
minecraft.used.sculk_vein: #3, 32(0%)
minecraft.dropped.bread: #5, 1477(9%)
minecraft.mined.birch_button: #4, 4(9%)
minecraft.dropped.lever: #5, 136(9%)
minecraft.picked_up.chest: #5, 2446(8%)
minecraft.picked_up.spruce_sign: #5, 165(7%)
minecraft.picked_up.oak_sign: #5, 138(7%)
minecraft.picked_up.totem_of_undying: #5, 61(8%)
minecraft.used.red_nether_brick_wall: #4, 76(11%)
minecraft.picked_up.bamboo_trapdoor: #5, 241(8%)
minecraft.killed_by.blaze: #4, 5(16%)
minecraft.used.polished_diorite_stairs: #4, 189(6%)
minecraft.mined.white_shulker_box: #5, 508(7%)
minecraft.picked_up.cobblestone_slab: #5, 521(8%)
minecraft.used.minecart: #5, 242(8%)
minecraft.dropped.composter: #4, 10(6%)
minecraft.used.acacia_button: #4, 24(6%)
minecraft.picked_up.tuff_brick_slab: #5, 347(9%)
minecraft.dropped.cooked_chicken: #4, 140(4%)
minecraft.mined.light_blue_wool: #5, 132(11%)
minecraft.picked_up.iron_ingot: #5, 8719(7%)
minecraft.dropped.crimson_sign: #4, 5(14%)
minecraft.used.gray_dye: #4, 3(8%)
minecraft.picked_up.music_disc_13: #5, 31(8%)
minecraft.used.birch_trapdoor: #5, 162(9%)
minecraft.dropped.light_gray_carpet: #4, 9(8%)
minecraft.picked_up.magenta_wool: #4, 206(5%)
minecraft.dropped.sugar: #4, 997(5%)
minecraft.crafted.lantern: #5, 579(7%)
minecraft.picked_up.bread: #5, 525(8%)
minecraft.picked_up.iron_nugget: #5, 701(6%)
minecraft.dropped.yellow_banner: #4, 1(20%)
minecraft.crafted.polished_blackstone_wall: #4, 46(9%)
minecraft.picked_up.baked_potato: #5, 716(7%)
minecraft.picked_up.polished_deepslate_stairs: #5, 202(9%)
minecraft.dropped.powered_rail: #4, 22(5%)
minecraft.mined.light_blue_stained_glass: #4, 132(4%)
minecraft.used.ender_chest: #5, 1163(6%)
minecraft.used.crying_obsidian: #4, 669(5%)
minecraft.crafted.spruce_wood: #5, 768(8%)
minecraft.mined.ender_chest: #5, 1163(7%)
minecraft.mined.loom: #5, 16(8%)
minecraft.dropped.stone: #5, 17878(6%)
minecraft.picked_up.diamond_boots: #5, 58(5%)
minecraft.used.item_frame: #5, 615(6%)
minecraft.mined.cracked_deepslate_bricks: #4, 16(8%)
minecraft.crafted.deepslate_brick_slab: #4, 238(4%)
minecraft.used.pale_moss_block: #4, 666(4%)
minecraft.picked_up.acacia_log: #5, 3060(7%)
minecraft.crafted.jukebox: #5, 20(7%)
minecraft.mined.acacia_log: #5, 2862(7%)
minecraft.used.polished_deepslate_wall: #5, 676(8%)
minecraft.picked_up.oxidized_copper_grate: #4, 58(3%)
minecraft.dropped.oak_door: #4, 10(5%)
minecraft.picked_up.waxed_cut_copper_slab: #5, 37(10%)
minecraft.picked_up.gray_banner: #4, 5(6%)
minecraft.mined.lime_bed: #4, 12(3%)
minecraft.crafted.stick: #5, 26825(6%)
minecraft.mined.oak_log: #5, 6300(6%)
minecraft.crafted.blaze_powder: #5, 1208(7%)
minecraft.used.tinted_glass: #5, 847(8%)
minecraft.dropped.dead_horn_coral_block: #4, 1(14%)
minecraft.crafted.smooth_red_sandstone_stairs: #4, 19(8%)
minecraft.dropped.sandstone_wall: #4, 8(8%)
minecraft.mined.gray_wall_banner: #4, 3(8%)
minecraft.used.spruce_wood: #5, 761(7%)
minecraft.crafted.crimson_slab: #4, 150(5%)
minecraft.picked_up.diamond_shovel: #5, 64(6%)
minecraft.dropped.bookshelf: #4, 7(6%)
minecraft.crafted.hopper: #5, 1810(6%)
minecraft.killed.villager: #4, 10(4%)
minecraft.used.cobbled_deepslate_slab: #5, 1328(8%)
minecraft.used.copper_ore: #5, 2361(6%)
minecraft.mined.water_cauldron: #5, 9(9%)
minecraft.killed.vex: #5, 26(9%)
minecraft.dropped.cherry_sign: #4, 1(12%)
minecraft.used.waxed_exposed_copper_door: #4, 1(12%)
minecraft.crafted.slime_ball: #4, 1683(2%)
minecraft.mined.waxed_copper_bulb: #5, 101(7%)
minecraft.dropped.birch_sign: #5, 13(7%)
minecraft.mined.warped_button: #4, 2(10%)
minecraft.mined.exposed_copper_bulb: #4, 2(5%)
minecraft.mined.waxed_cut_copper_slab: #5, 36(9%)
minecraft.used.polished_blackstone_brick_wall: #4, 8(9%)
minecraft.picked_up.diamond_axe: #5, 66(5%)
minecraft.picked_up.dispenser: #5, 234(6%)
minecraft.picked_up.waxed_copper_bulb: #5, 99(7%)
minecraft.dropped.tinted_glass: #4, 18(5%)
minecraft.dropped.guster_pottery_sherd: #4, 2(6%)
minecraft.crafted.cooked_porkchop: #4, 44(2%)
minecraft.dropped.birch_door: #4, 2(11%)
minecraft.picked_up.stripped_acacia_log: #4, 189(2%)
minecraft.crafted.writable_book: #5, 79(6%)
minecraft.used.crimson_roots: #5, 50(9%)
minecraft.dropped.ancient_debris: #4, 5(5%)
minecraft.mined.sculk: #4, 2862(2%)
minecraft.dropped.glass: #4, 528(2%)
minecraft.used.armor_stand: #5, 325(5%)
minecraft.used.acacia_stairs: #5, 196(8%)
minecraft.used.birch_sign: #5, 77(6%)
minecraft.mined.red_nether_brick_wall: #4, 4(5%)
minecraft.dropped.diamond_sword: #5, 14(6%)
minecraft.used.polished_andesite_slab: #5, 523(9%)
minecraft.used.iron_block: #5, 4401(5%)
minecraft.mined.yellow_wool: #4, 316(2%)
minecraft.dropped.polished_tuff_slab: #5, 63(8%)
minecraft.mined.stripped_acacia_log: #4, 159(2%)
minecraft.picked_up.tuff_slab: #5, 105(6%)
minecraft.dropped.birch_fence: #4, 5(4%)
minecraft.used.slime_block: #5, 785(6%)
minecraft.dropped.sculk_sensor: #4, 4(4%)
minecraft.used.blue_dye: #4, 2(4%)
minecraft.used.weathered_copper_bulb: #4, 3(8%)
minecraft.picked_up.cracked_deepslate_bricks: #4, 42(4%)
minecraft.crafted.red_sandstone_stairs: #4, 11(4%)
minecraft.dropped.furnace: #4, 6(2%)
minecraft.crafted.oak_boat: #4, 25(1%)
minecraft.picked_up.cyan_dye: #5, 67(5%)
minecraft.used.light_gray_stained_glass: #5, 1182(7%)
minecraft.picked_up.glowstone: #5, 477(6%)
minecraft.crafted.note_block: #5, 307(6%)
minecraft.dropped.bone_meal: #5, 4698(5%)
minecraft.dropped.stripped_oak_log: #4, 4(3%)
minecraft.mined.red_stained_glass: #5, 63(9%)
minecraft.crafted.oak_fence: #5, 258(6%)
minecraft.used.red_tulip: #5, 13(11%)
minecraft.mined.stone: #5, 345441(5%)
minecraft.crafted.green_wool: #5, 254(8%)
minecraft.dropped.tuff_brick_stairs: #4, 21(4%)
minecraft.used.stripped_spruce_log: #5, 772(5%)
minecraft.used.powered_rail: #5, 1247(5%)
minecraft.picked_up.lime_stained_glass: #5, 100(8%)
minecraft.picked_up.orange_wool: #5, 400(5%)
minecraft.mined.target: #5, 52(6%)
minecraft.dropped.orange_banner: #4, 1(6%)
minecraft.used.exposed_copper_grate: #4, 8(3%)
minecraft.dropped.black_shulker_box: #4, 1(3%)
minecraft.mined.cobblestone_slab: #5, 213(5%)
minecraft.mined.ice: #4, 2727(1%)
minecraft.used.brown_mushroom_block: #5, 578(7%)
minecraft.crafted.oak_chest_boat: #4, 1(4%)
minecraft.dropped.diorite_slab: #4, 10(3%)
minecraft.crafted.bamboo_trapdoor: #5, 682(6%)
minecraft.mined.polished_blackstone_brick_wall: #4, 1(5%)
minecraft.killed.creaking: #4, 4(2%)
minecraft.dropped.nether_sprouts: #4, 3(4%)
minecraft.custom.interact_with_beacon: #5, 68(5%)
minecraft.used.skeleton_skull: #4, 1(4%)
minecraft.used.stripped_acacia_wood: #5, 63(10%)
minecraft.dropped.cookie: #5, 251(6%)
