stat, rank, value, (percentage) 
minecraft.used.player_head: #1, 847(16%)
minecraft.picked_up.red_nether_bricks: #1, 26(63%)
minecraft.dropped.light_gray_wool: #2, 661(29%)
minecraft.custom.inspect_hopper: #1, 13603(18%)
minecraft.used.tuff_brick_slab: #1, 1921(20%)
minecraft.mined.redstone_lamp: #1, 146(20%)
minecraft.picked_up.cauldron: #1, 73(17%)
minecraft.picked_up.beetroot: #2, 5966(21%)
minecraft.used.comparator: #1, 1856(17%)
minecraft.mined.powder_snow: #1, 210(25%)
minecraft.mined.redstone_torch: #1, 343(17%)
minecraft.crafted.black_bed: #1, 43(38%)
minecraft.picked_up.cut_copper_stairs: #1, 197(53%)
minecraft.used.repeater: #1, 3543(17%)
minecraft.crafted.crimson_fence: #1, 180(38%)
minecraft.mined.red_nether_bricks: #1, 29(83%)
minecraft.picked_up.bamboo_planks: #2, 7229(21%)
minecraft.picked_up.nether_quartz_ore: #1, 2494(18%)
minecraft.used.deepslate_brick_wall: #1, 583(23%)
minecraft.picked_up.polished_deepslate_slab: #2, 939(24%)
minecraft.used.crimson_fence_gate: #1, 56(58%)
minecraft.dropped.white_banner: #2, 1220(24%)
minecraft.dropped.waxed_oxidized_cut_copper_stairs: #1, 58(34%)
minecraft.used.copper_bulb: #1, 197(22%)
minecraft.picked_up.cooked_porkchop: #2, 2960(18%)
minecraft.used.cobblestone_wall: #2, 885(24%)
minecraft.used.beetroot: #1, 78(27%)
minecraft.picked_up.polished_andesite_stairs: #2, 189(23%)
minecraft.mined.waxed_oxidized_cut_copper_stairs: #2, 287(27%)
minecraft.mined.cocoa: #1, 353(17%)
minecraft.crafted.red_sandstone_slab: #1, 222(36%)
minecraft.used.dried_kelp_block: #1, 93(35%)
minecraft.used.raw_copper_block: #1, 72(26%)
minecraft.crafted.mossy_cobblestone_wall: #1, 89(27%)
minecraft.dropped.polished_blackstone_button: #1, 20(48%)
minecraft.picked_up.leather_chestplate: #2, 100(15%)
minecraft.used.orange_tulip: #1, 50(32%)
minecraft.dropped.polished_deepslate: #1, 171(25%)
minecraft.crafted.waxed_exposed_chiseled_copper: #1, 116(31%)
minecraft.picked_up.polished_basalt: #1, 371(19%)
minecraft.picked_up.beetroot_seeds: #2, 5130(17%)
minecraft.dropped.oak_button: #1, 56(21%)
minecraft.dropped.item_frame: #1, 91(22%)
minecraft.dropped.beetroot: #2, 5406(22%)
minecraft.dropped.light_blue_wool: #1, 380(37%)
minecraft.picked_up.smooth_stone: #2, 11546(19%)
minecraft.picked_up.carrot: #1, 10012(13%)
minecraft.dropped.polished_blackstone: #1, 24(46%)
minecraft.picked_up.weathered_cut_copper_stairs: #1, 30(53%)
minecraft.mined.weathered_cut_copper_stairs: #1, 30(53%)
minecraft.dropped.honey_bottle: #2, 153(26%)
minecraft.mined.sculk_sensor: #2, 963(20%)
minecraft.picked_up.white_banner: #2, 614(19%)
minecraft.used.poppy: #3, 2796(27%)
minecraft.dropped.bamboo: #2, 12198(18%)
minecraft.picked_up.waxed_oxidized_cut_copper_stairs: #2, 338(26%)
minecraft.dropped.cobweb: #1, 383(33%)
minecraft.crafted.spruce_boat: #1, 42(16%)
minecraft.crafted.iron_door: #1, 60(17%)
minecraft.crafted.barrel: #1, 1409(14%)
minecraft.used.carrot: #1, 2176(13%)
minecraft.crafted.cut_copper_stairs: #1, 158(45%)
minecraft.custom.fill_cauldron: #1, 134(14%)
minecraft.dropped.bucket: #2, 380(18%)
minecraft.mined.blackstone_slab: #2, 172(25%)
minecraft.crafted.deepslate_brick_wall: #1, 105(32%)
minecraft.picked_up.rotten_flesh: #2, 24286(14%)
minecraft.dropped.observer: #1, 180(20%)
minecraft.picked_up.purple_concrete: #1, 1146(26%)
minecraft.dropped.spectral_arrow: #2, 5687(29%)
minecraft.used.soul_campfire: #1, 131(31%)
minecraft.dropped.acacia_sapling: #1, 154(20%)
minecraft.used.blast_furnace: #2, 497(18%)
minecraft.crafted.redstone_lamp: #2, 554(22%)
minecraft.dropped.wooden_sword: #1, 21(17%)
minecraft.dropped.polished_tuff_stairs: #1, 60(37%)
minecraft.dropped.bamboo_raft: #1, 17(36%)
minecraft.picked_up.red_nether_brick_stairs: #1, 48(65%)
minecraft.dropped.barrel: #2, 109(26%)
minecraft.crafted.polished_andesite_slab: #1, 294(21%)
minecraft.mined.red_nether_brick_stairs: #1, 49(64%)
minecraft.crafted.iron_sword: #2, 53(17%)
minecraft.picked_up.black_bed: #2, 174(26%)
minecraft.dropped.kelp: #3, 3964(21%)
minecraft.picked_up.chest_minecart: #2, 141(24%)
minecraft.dropped.lead: #2, 162(17%)
minecraft.dropped.copper_bulb: #1, 45(52%)
minecraft.custom.inspect_dropper: #3, 7536(14%)
minecraft.crafted.crafter: #2, 499(18%)
minecraft.used.black_glazed_terracotta: #1, 565(44%)
minecraft.crafted.blackstone_slab: #2, 430(27%)
minecraft.killed.hoglin: #1, 32(18%)
minecraft.crafted.wooden_sword: #2, 208(24%)
minecraft.dropped.scaffolding: #1, 1256(13%)
minecraft.mined.stone_slab: #2, 1278(16%)
minecraft.picked_up.clay_ball: #2, 12373(17%)
minecraft.mined.tuff_brick_slab: #2, 339(19%)
minecraft.used.red_mushroom_block: #1, 339(59%)
minecraft.crafted.waxed_chiseled_copper: #1, 173(33%)
minecraft.picked_up.dropper: #2, 561(17%)
minecraft.mined.copper_bulb: #2, 77(22%)
minecraft.mined.black_bed: #2, 172(26%)
minecraft.picked_up.polished_tuff_slab: #1, 557(11%)
minecraft.dropped.paper: #2, 643(15%)
