stat, rank, value, (percentage) 
minecraft.picked_up.polished_tuff: #2, 927(7%)
minecraft.dropped.polished_tuff_wall: #2, 50(14%)
minecraft.picked_up.red_mushroom: #3, 211(12%)
minecraft.crafted.birch_hanging_sign: #2, 30(15%)
minecraft.crafted.cut_sandstone_slab: #2, 132(20%)
minecraft.dropped.red_tulip: #3, 101(15%)
minecraft.used.mangrove_stairs: #3, 591(13%)
minecraft.picked_up.polished_diorite_slab: #2, 54(14%)
minecraft.used.crimson_nylium: #2, 265(10%)
minecraft.mined.lime_wool: #3, 279(16%)
minecraft.mined.acacia_wall_hanging_sign: #2, 4(24%)
minecraft.dropped.quartz: #2, 266(9%)
minecraft.used.mangrove_hanging_sign: #2, 30(16%)
minecraft.used.birch_pressure_plate: #2, 12(16%)
minecraft.used.diamond_sword: #4, 132193(12%)
minecraft.used.birch_button: #3, 37(13%)
minecraft.used.vine: #3, 128(12%)
minecraft.picked_up.birch_trapdoor: #3, 69(14%)
minecraft.dropped.pink_petals: #3, 487(14%)
minecraft.mined.nether_brick_wall: #2, 11(22%)
minecraft.broken.golden_helmet: #2, 5(19%)
minecraft.dropped.muddy_mangrove_roots: #3, 64(21%)
minecraft.used.loom: #3, 131(11%)
minecraft.mined.dark_oak_sign: #2, 3(25%)
minecraft.dropped.white_tulip: #3, 78(16%)
minecraft.crafted.birch_pressure_plate: #2, 9(16%)
minecraft.mined.orange_wool: #3, 274(13%)
minecraft.mined.waxed_exposed_copper: #3, 115(17%)
minecraft.used.furnace: #3, 499(9%)
minecraft.mined.mangrove_planks: #3, 280(11%)
minecraft.used.mangrove_sign: #3, 139(13%)
minecraft.mined.peony: #3, 61(10%)
minecraft.used.polished_tuff: #3, 4306(9%)
minecraft.used.nether_wart_block: #3, 586(19%)
minecraft.crafted.jungle_fence_gate: #3, 155(13%)
minecraft.used.allium: #3, 75(17%)
minecraft.crafted.waxed_exposed_copper_trapdoor: #2, 89(12%)
minecraft.broken.stone_axe: #3, 12(16%)
minecraft.picked_up.pale_oak_planks: #3, 182(12%)
minecraft.crafted.andesite_wall: #2, 198(7%)
minecraft.mined.acacia_hanging_sign: #2, 4(22%)
minecraft.dropped.warped_hanging_sign: #2, 5(28%)
minecraft.crafted.iron_bars: #3, 2848(9%)
minecraft.used.tuff: #3, 6269(8%)
