stat, rank, value, (percentage) 
minecraft.crafted.waxed_oxidized_cut_copper_stairs: #6, 48(8%)
minecraft.dropped.bamboo_door: #5, 1(1%)
minecraft.dropped.warped_slab: #5, 1(1%)
minecraft.dropped.dark_oak_fence_gate: #5, 1(1%)
minecraft.crafted.magma_cream: #5, 4(0%)
minecraft.dropped.andesite_stairs: #5, 1(1%)
minecraft.picked_up.red_mushroom_block: #6, 373(7%)
minecraft.crafted.jukebox: #6, 12(4%)
minecraft.used.warped_fence: #6, 130(6%)
minecraft.mined.andesite_stairs: #6, 17(5%)
minecraft.mined.weeping_vines_plant: #6, 43(5%)
minecraft.mined.deepslate_bricks: #6, 361(4%)
minecraft.dropped.wooden_sword: #6, 6(5%)
minecraft.dropped.purpur_slab: #6, 5(7%)
minecraft.crafted.bamboo_hanging_sign: #6, 12(7%)
minecraft.used.cartography_table: #6, 17(5%)
minecraft.crafted.brick_wall: #6, 30(6%)
minecraft.mined.pitcher_plant: #6, 7(5%)
minecraft.used.waxed_oxidized_copper_bulb: #6, 32(6%)
minecraft.crafted.light_gray_stained_glass_pane: #6, 424(5%)
minecraft.picked_up.muddy_mangrove_roots: #6, 564(4%)
minecraft.mined.warped_fence: #6, 25(5%)
minecraft.mined.birch_stairs: #6, 25(4%)
minecraft.picked_up.polished_andesite_stairs: #6, 29(3%)
minecraft.used.polished_blackstone_bricks: #6, 229(5%)
minecraft.mined.deepslate_brick_wall: #6, 19(5%)
minecraft.crafted.mud_brick_slab: #6, 138(4%)
minecraft.dropped.lilac: #6, 24(6%)
minecraft.crafted.cooked_salmon: #6, 175(3%)
minecraft.used.oak_stairs: #6, 106(3%)
minecraft.used.lime_wool: #6, 279(4%)
minecraft.crafted.birch_stairs: #6, 108(4%)
minecraft.crafted.lever: #7, 476(6%)
minecraft.used.cooked_beef: #7, 1063(4%)
minecraft.dropped.mangrove_leaves: #6, 252(4%)
minecraft.picked_up.orange_tulip: #6, 207(3%)
minecraft.dropped.deepslate_brick_slab: #6, 15(6%)
minecraft.used.warped_fence_gate: #6, 21(4%)
minecraft.picked_up.jungle_button: #6, 13(5%)
minecraft.picked_up.polished_diorite_stairs: #6, 21(4%)
minecraft.crafted.spruce_pressure_plate: #6, 13(3%)
minecraft.dropped.jungle_boat: #6, 3(6%)
minecraft.used.waxed_exposed_copper: #6, 95(4%)
minecraft.dropped.birch_button: #6, 4(6%)
minecraft.picked_up.birch_stairs: #6, 24(3%)
minecraft.used.tuff_brick_wall: #7, 161(7%)
minecraft.used.cherry_log: #6, 175(3%)
minecraft.picked_up.weeping_vines: #6, 139(2%)
minecraft.crafted.yellow_terracotta: #6, 408(3%)
minecraft.mined.warped_fence_gate: #6, 4(6%)
minecraft.picked_up.bamboo_hanging_sign: #6, 5(5%)
minecraft.dropped.jungle_button: #6, 4(7%)
minecraft.used.dark_oak_hanging_sign: #6, 14(5%)
minecraft.used.jungle_pressure_plate: #6, 3(5%)
minecraft.crafted.dark_oak_hanging_sign: #6, 12(5%)
minecraft.dropped.acacia_sapling: #7, 67(9%)
minecraft.crafted.furnace: #7, 432(6%)
minecraft.dropped.powered_rail: #6, 13(3%)
minecraft.picked_up.deepslate_emerald_ore: #6, 1(6%)
minecraft.used.deepslate_tiles: #6, 1578(2%)
minecraft.used.quartz_slab: #6, 260(2%)
minecraft.used.waxed_weathered_cut_copper_slab: #6, 54(4%)
minecraft.dropped.purpur_block: #6, 42(2%)
minecraft.crafted.acacia_boat: #6, 2(7%)
minecraft.used.wooden_pickaxe: #7, 31(6%)
minecraft.mined.diamond_ore: #7, 17(7%)
minecraft.picked_up.iron_sword: #7, 35(6%)
minecraft.mined.cut_copper: #6, 17(3%)
minecraft.picked_up.copper_door: #6, 5(3%)
minecraft.crafted.ender_chest: #7, 64(6%)
minecraft.dropped.acacia_leaves: #6, 34(3%)
minecraft.mined.lilac: #7, 57(7%)
minecraft.picked_up.cut_copper: #6, 17(3%)
minecraft.mined.spruce_fence_gate: #7, 67(7%)
minecraft.picked_up.waxed_weathered_chiseled_copper: #6, 5(5%)
minecraft.dropped.stripped_oak_wood: #6, 1(5%)
minecraft.crafted.leather_leggings: #7, 100(7%)
minecraft.crafted.leather_boots: #7, 87(6%)
minecraft.mined.bamboo_hanging_sign: #6, 2(6%)
minecraft.used.acacia_boat: #6, 3(6%)
minecraft.picked_up.tuff: #7, 17076(5%)
minecraft.used.oak_log: #7, 1014(5%)
minecraft.crafted.acacia_trapdoor: #7, 506(6%)
minecraft.used.tuff_brick_slab: #7, 580(6%)
minecraft.dropped.lime_shulker_box: #6, 1(3%)
minecraft.picked_up.exposed_cut_copper: #6, 4(2%)
minecraft.used.brain_coral_fan: #6, 8(2%)
minecraft.dropped.pale_oak_leaves: #6, 8(3%)
minecraft.mined.dark_oak_wall_hanging_sign: #6, 2(4%)
minecraft.crafted.packed_mud: #7, 5656(5%)
minecraft.dropped.pale_oak_trapdoor: #6, 3(4%)
minecraft.dropped.dried_kelp: #6, 39(2%)
minecraft.used.bubble_coral_fan: #6, 4(2%)
minecraft.used.waxed_oxidized_chiseled_copper: #6, 28(3%)
minecraft.mined.oak_button: #7, 14(7%)
minecraft.used.spruce_boat: #7, 30(5%)
minecraft.used.stripped_mangrove_log: #6, 139(1%)
minecraft.picked_up.waxed_weathered_cut_copper_slab: #6, 5(2%)
minecraft.dropped.acacia_slab: #6, 3(3%)
minecraft.dropped.guster_pottery_sherd: #6, 1(3%)
minecraft.crafted.hopper: #7, 1425(5%)
minecraft.crafted.suspicious_stew: #6, 3(3%)
minecraft.crafted.leather_chestplate: #7, 104(6%)
minecraft.crafted.deepslate_tile_stairs: #7, 38(6%)
minecraft.picked_up.raw_iron: #7, 3289(5%)
minecraft.crafted.light_weighted_pressure_plate: #6, 3(1%)
minecraft.crafted.hopper_minecart: #7, 50(5%)
minecraft.picked_up.iron_bars: #7, 356(5%)
minecraft.crafted.sandstone_slab: #6, 18(2%)
minecraft.picked_up.crimson_fence: #6, 3(1%)
minecraft.mined.waxed_weathered_cut_copper_slab: #6, 3(1%)
minecraft.mined.bamboo_planks: #7, 99(5%)
minecraft.crafted.deepslate_tile_wall: #7, 48(9%)
minecraft.crafted.crafting_table: #7, 232(4%)
minecraft.used.mangrove_log: #7, 752(4%)
minecraft.used.honeycomb: #7, 891(5%)
minecraft.used.tuff_bricks: #7, 2815(4%)
minecraft.used.horn_coral_fan: #6, 5(1%)
minecraft.dropped.birch_slab: #6, 4(1%)
minecraft.dropped.mangrove_stairs: #6, 3(2%)
minecraft.used.purple_glazed_terracotta: #6, 5(2%)
minecraft.mined.raw_iron_block: #6, 12(1%)
minecraft.dropped.gold_nugget: #7, 687(4%)
minecraft.dropped.nether_brick_fence: #6, 2(1%)
minecraft.crafted.terracotta: #6, 19(1%)
minecraft.crafted.cauldron: #7, 87(4%)
minecraft.used.warped_planks: #7, 674(6%)
minecraft.crafted.dispenser: #7, 76(5%)
minecraft.used.weathered_cut_copper_slab: #6, 3(1%)
minecraft.mined.deepslate_iron_ore: #7, 887(4%)
minecraft.crafted.dropper: #7, 412(4%)
minecraft.mined.purple_stained_glass_pane: #6, 3(1%)
minecraft.picked_up.gold_block: #7, 373(4%)
minecraft.dropped.mud_brick_slab: #6, 1(0%)
minecraft.used.redstone_lamp: #7, 104(4%)
minecraft.dropped.cobweb: #6, 2(0%)
minecraft.used.weathered_copper: #6, 43(0%)
minecraft.picked_up.pointed_dripstone: #7, 1369(4%)
minecraft.crafted.cooked_beef: #7, 514(4%)
minecraft.mined.infested_deepslate: #7, 12(6%)
minecraft.mined.cyan_terracotta: #7, 341(4%)
minecraft.used.cooked_salmon: #7, 173(4%)
minecraft.crafted.pale_oak_slab: #7, 186(6%)
minecraft.crafted.stone_stairs: #7, 136(4%)
minecraft.mined.kelp: #7, 159(4%)
minecraft.mined.azure_bluet: #7, 93(4%)
minecraft.used.diamond_pickaxe: #7, 175451(3%)
minecraft.used.glass: #7, 6584(3%)
minecraft.crafted.magenta_terracotta: #7, 224(5%)
minecraft.custom.open_shulker_box: #8, 44339(4%)
minecraft.used.target: #7, 117(4%)
minecraft.dropped.slime_ball: #7, 481(3%)
minecraft.crafted.redstone: #7, 10451(3%)
minecraft.picked_up.acacia_planks: #7, 61(4%)
minecraft.mined.dark_oak_fence_gate: #7, 12(5%)
minecraft.mined.twisting_vines_plant: #7, 18(5%)
minecraft.broken.shield: #7, 3(5%)
minecraft.picked_up.exposed_copper_grate: #7, 9(5%)
minecraft.used.pale_oak_slab: #7, 103(5%)
minecraft.picked_up.cartography_table: #7, 14(4%)
minecraft.crafted.gray_stained_glass_pane: #7, 304(5%)
minecraft.crafted.mangrove_hanging_sign: #7, 12(6%)
minecraft.crafted.oak_stairs: #7, 112(3%)
minecraft.mined.mangrove_wall_hanging_sign: #7, 1(8%)
minecraft.crafted.bamboo_fence_gate: #7, 66(5%)
minecraft.mined.red_tulip: #7, 61(3%)
minecraft.picked_up.chiseled_copper: #7, 14(5%)
minecraft.dropped.weeping_vines: #7, 5(5%)
minecraft.mined.wither_skeleton_skull: #7, 2(6%)
minecraft.picked_up.cobbled_deepslate_slab: #7, 173(3%)
minecraft.picked_up.diorite_wall: #7, 24(4%)
minecraft.used.polished_andesite_slab: #7, 214(4%)
minecraft.picked_up.cut_sandstone: #7, 77(3%)
minecraft.mined.crimson_roots: #7, 128(2%)
minecraft.mined.jungle_planks: #7, 83(2%)
minecraft.used.mud_brick_slab: #7, 141(3%)
minecraft.used.copper_door: #7, 10(4%)
minecraft.dropped.tuff_brick_slab: #7, 27(5%)
minecraft.used.warped_roots: #7, 31(3%)
minecraft.dropped.lily_pad: #7, 11(3%)
minecraft.used.acacia_planks: #7, 303(3%)
minecraft.picked_up.nether_brick: #7, 131(4%)
minecraft.crafted.granite_wall: #7, 42(4%)
minecraft.picked_up.poppy: #7, 1005(2%)
minecraft.crafted.stone_pressure_plate: #7, 76(2%)
minecraft.crafted.andesite_slab: #7, 146(2%)
minecraft.mined.stone_brick_slab: #7, 146(2%)
minecraft.used.music_disc_cat: #7, 3(3%)
minecraft.mined.deepslate_tiles: #7, 255(2%)
minecraft.dropped.allium: #7, 8(3%)
minecraft.crafted.waxed_weathered_cut_copper_slab: #7, 55(5%)
minecraft.crafted.polished_blackstone_bricks: #7, 96(4%)
minecraft.mined.quartz_slab: #7, 87(3%)
minecraft.picked_up.tuff_wall: #7, 28(3%)
minecraft.dropped.spruce_boat: #7, 2(4%)
minecraft.mined.smooth_sandstone_stairs: #7, 19(4%)
minecraft.used.warped_hyphae: #7, 86(3%)
minecraft.used.dried_kelp_block: #7, 10(4%)
minecraft.dropped.light_gray_dye: #7, 6(2%)
minecraft.used.lever: #8, 524(5%)
minecraft.dropped.polished_tuff_slab: #7, 18(2%)
minecraft.picked_up.fire_charge: #7, 57(2%)
minecraft.mined.mossy_stone_brick_wall: #7, 1(6%)
minecraft.used.acacia_door: #7, 3(5%)
minecraft.crafted.orange_bed: #7, 2(4%)
minecraft.picked_up.weathered_copper_grate: #7, 3(3%)
minecraft.picked_up.quartz_slab: #7, 93(2%)
minecraft.mined.weathered_copper_grate: #7, 3(3%)
minecraft.used.hopper_minecart: #8, 53(6%)
minecraft.crafted.wooden_shovel: #7, 18(2%)
minecraft.picked_up.allium: #7, 111(2%)
minecraft.picked_up.lime_bed: #7, 7(2%)
minecraft.crafted.bamboo_raft: #7, 7(2%)
minecraft.used.warped_button: #7, 5(2%)
minecraft.used.lime_stained_glass_pane: #7, 80(2%)
minecraft.mined.cherry_planks: #7, 15(2%)
minecraft.mined.lily_of_the_valley: #7, 16(2%)
minecraft.picked_up.polished_andesite_slab: #7, 33(2%)
minecraft.mined.jungle_log: #8, 2214(5%)
minecraft.used.crimson_fungus: #7, 19(2%)
minecraft.crafted.polished_granite_slab: #7, 8(4%)
minecraft.mined.jungle_button: #7, 3(4%)
minecraft.used.twisting_vines: #7, 21(3%)
minecraft.used.polished_diorite_stairs: #7, 55(2%)
minecraft.picked_up.vine: #8, 351(5%)
minecraft.dropped.mossy_stone_bricks: #7, 30(2%)
minecraft.picked_up.brown_concrete_powder: #7, 73(2%)
minecraft.dropped.scrape_pottery_sherd: #7, 1(3%)
minecraft.picked_up.twisting_vines: #7, 53(1%)
minecraft.custom.mob_kills: #8, 374889(4%)
minecraft.picked_up.mossy_stone_brick_wall: #7, 1(3%)
minecraft.dropped.gold_ore: #7, 2(2%)
minecraft.dropped.pale_moss_block: #7, 10(2%)
minecraft.dropped.purpur_pillar: #7, 12(1%)
minecraft.used.pink_carpet: #7, 16(1%)
minecraft.used.hay_block: #8, 108(5%)
minecraft.mined.mangrove_fence_gate: #7, 1(3%)
minecraft.crafted.cut_copper_slab: #7, 16(2%)
minecraft.used.cut_copper_slab: #7, 17(2%)
minecraft.dropped.flow_pottery_sherd: #7, 1(2%)
minecraft.mined.waxed_weathered_chiseled_copper: #7, 3(3%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #7, 3(2%)
minecraft.used.cherry_fence: #7, 11(1%)
minecraft.used.sandstone_wall: #7, 32(1%)
minecraft.picked_up.acacia_boat: #7, 1(2%)
minecraft.picked_up.oxidized_cut_copper_slab: #7, 20(1%)
minecraft.crafted.waxed_weathered_chiseled_copper: #7, 7(2%)
minecraft.used.iron_hoe: #8, 329(5%)
minecraft.mined.weathered_cut_copper: #7, 3(1%)
minecraft.picked_up.mangrove_stairs: #8, 66(6%)
minecraft.used.copper_block: #7, 772(1%)
minecraft.picked_up.weathered_cut_copper: #7, 3(1%)
minecraft.mined.polished_tuff_wall: #8, 78(5%)
minecraft.crafted.powered_rail: #8, 924(4%)
minecraft.crafted.magenta_stained_glass_pane: #7, 32(1%)
minecraft.crafted.jungle_fence: #8, 237(5%)
minecraft.mined.waxed_weathered_copper: #7, 7(1%)
minecraft.killed.cat: #7, 1(1%)
minecraft.dropped.stripped_jungle_log: #7, 3(1%)
minecraft.dropped.cracked_stone_bricks: #7, 42(1%)
minecraft.used.cut_copper_stairs: #7, 12(1%)
minecraft.used.yellow_glazed_terracotta: #7, 35(1%)
minecraft.used.waxed_weathered_chiseled_copper: #7, 10(1%)
minecraft.picked_up.raw_iron_block: #7, 12(0%)
minecraft.mined.red_carpet: #7, 25(0%)
minecraft.picked_up.spruce_boat: #8, 29(5%)
minecraft.crafted.diorite_wall: #7, 36(1%)
minecraft.dropped.chorus_fruit: #7, 14(1%)
minecraft.dropped.acacia_stairs: #7, 1(1%)
minecraft.used.lime_carpet: #7, 28(0%)
minecraft.crafted.lime_carpet: #7, 36(1%)
minecraft.crafted.pale_oak_planks: #8, 2028(5%)
minecraft.picked_up.waxed_weathered_copper: #7, 7(0%)
minecraft.dropped.target: #7, 1(0%)
minecraft.crafted.waxed_oxidized_copper_trapdoor: #7, 2(0%)
minecraft.crafted.magma_block: #7, 1(0%)
minecraft.used.deepslate_bricks: #8, 1701(5%)
minecraft.picked_up.waxed_exposed_copper_bulb: #8, 15(6%)
minecraft.crafted.oak_fence: #8, 195(4%)
minecraft.mined.wheat: #8, 6493(4%)
minecraft.picked_up.orange_wool: #8, 293(4%)
minecraft.mined.mud: #8, 9267(4%)
minecraft.mined.polished_diorite: #8, 28(4%)
minecraft.used.redstone_torch: #8, 510(4%)
minecraft.used.hopper: #8, 1441(4%)
minecraft.used.dropper: #8, 273(4%)
minecraft.used.redstone: #8, 2909(3%)
minecraft.killed.zombie_villager: #8, 9(3%)
minecraft.used.stone_brick_wall: #8, 157(4%)
minecraft.crafted.copper_trapdoor: #8, 614(4%)
minecraft.crafted.bamboo_block: #8, 1334(3%)
minecraft.crafted.acacia_planks: #8, 2060(3%)
minecraft.crafted.raw_copper_block: #8, 1332(3%)
minecraft.picked_up.mud_bricks: #8, 248(3%)
minecraft.used.bamboo_hanging_sign: #8, 8(5%)
minecraft.mined.bamboo_trapdoor: #8, 74(4%)
minecraft.crafted.oxidized_cut_copper_slab: #8, 84(6%)
minecraft.picked_up.polished_deepslate_stairs: #8, 88(4%)
minecraft.picked_up.acacia_trapdoor: #8, 106(4%)
minecraft.dropped.jungle_planks: #8, 26(4%)
minecraft.used.bamboo_planks: #8, 437(3%)
minecraft.picked_up.deepslate_bricks: #8, 317(3%)
minecraft.picked_up.spruce_fence_gate: #8, 64(3%)
minecraft.killed.cod: #8, 8(4%)
minecraft.used.dark_oak_sign: #8, 29(3%)
minecraft.used.waxed_oxidized_cut_copper_slab: #8, 122(4%)
minecraft.mined.copper_block: #8, 88(3%)
minecraft.crafted.lapis_block: #8, 275(2%)
minecraft.crafted.warped_door: #8, 3(6%)
minecraft.mined.target: #8, 23(3%)
minecraft.picked_up.spruce_hanging_sign: #8, 9(3%)
minecraft.mined.warped_nylium: #8, 168(2%)
minecraft.used.slime_block: #8, 315(2%)
minecraft.mined.cobbled_deepslate_slab: #8, 76(3%)
minecraft.dropped.oak_pressure_plate: #8, 2(5%)
minecraft.mined.birch_slab: #8, 29(3%)
minecraft.picked_up.acacia_wood: #8, 37(2%)
minecraft.mined.detector_rail: #8, 6(3%)
minecraft.mined.dried_kelp_block: #8, 3(5%)
minecraft.used.bamboo_raft: #8, 8(3%)
minecraft.dropped.smooth_sandstone: #8, 25(5%)
minecraft.mined.copper_door: #8, 3(4%)
minecraft.used.brick_wall: #8, 23(3%)
minecraft.crafted.deepslate_tile_slab: #8, 66(2%)
minecraft.picked_up.andesite_stairs: #8, 15(2%)
minecraft.crafted.acacia_door: #8, 3(4%)
minecraft.used.birch_fence: #8, 62(2%)
minecraft.used.waxed_copper_block: #8, 63(2%)
minecraft.used.terracotta: #8, 788(2%)
minecraft.crafted.warped_fence: #8, 90(3%)
minecraft.picked_up.bamboo_raft: #8, 7(3%)
minecraft.used.andesite_wall: #8, 151(2%)
minecraft.dropped.heavy_weighted_pressure_plate: #8, 2(4%)
minecraft.picked_up.grindstone: #9, 50(6%)
minecraft.crafted.mossy_stone_brick_wall: #8, 6(4%)
minecraft.dropped.pale_moss_carpet: #8, 23(3%)
minecraft.used.stripped_warped_hyphae: #8, 17(4%)
minecraft.mined.polished_blackstone_bricks: #8, 146(2%)
minecraft.picked_up.stripped_mangrove_log: #8, 183(2%)
minecraft.crafted.cracked_stone_bricks: #8, 128(2%)
minecraft.crafted.polished_deepslate_wall: #8, 18(2%)
minecraft.picked_up.polished_blackstone_bricks: #8, 132(2%)
minecraft.used.green_stained_glass: #8, 94(2%)
minecraft.dropped.stone_pressure_plate: #8, 6(2%)
minecraft.mined.green_stained_glass: #8, 18(2%)
minecraft.used.oxidized_cut_copper_slab: #8, 109(2%)
minecraft.mined.lime_bed: #8, 6(2%)
minecraft.used.granite_wall: #8, 30(2%)
minecraft.used.warped_door: #8, 2(3%)
minecraft.crafted.stone: #9, 721(5%)
minecraft.used.jungle_door: #8, 3(3%)
minecraft.crafted.chest_minecart: #8, 6(2%)
minecraft.used.beehive: #8, 136(1%)
minecraft.mined.bamboo_pressure_plate: #8, 1(3%)
minecraft.dropped.spruce_stairs: #8, 12(2%)
minecraft.used.stone_pressure_plate: #8, 35(1%)
minecraft.mined.waxed_weathered_cut_copper_stairs: #8, 3(2%)
minecraft.crafted.red_stained_glass_pane: #8, 64(2%)
minecraft.picked_up.cooked_beef: #9, 774(4%)
minecraft.crafted.waxed_exposed_chiseled_copper: #8, 7(2%)
minecraft.picked_up.mangrove_fence_gate: #8, 1(3%)
minecraft.dropped.packed_mud: #8, 36(1%)
minecraft.mined.stripped_pale_oak_log: #8, 38(1%)
minecraft.crafted.deepslate_brick_slab: #8, 70(1%)
minecraft.crafted.cherry_fence: #8, 15(2%)
minecraft.dropped.nether_wart_block: #8, 13(1%)
minecraft.used.bamboo_stairs: #8, 29(1%)
minecraft.mined.oxidized_chiseled_copper: #8, 2(2%)
minecraft.used.raw_iron_block: #8, 28(1%)
minecraft.dropped.dark_oak_leaves: #8, 8(1%)
minecraft.dropped.rose_bush: #8, 8(1%)
minecraft.used.mangrove_pressure_plate: #8, 3(1%)
minecraft.mined.pink_carpet: #8, 2(1%)
minecraft.used.chain: #9, 755(4%)
minecraft.mined.brick_wall: #8, 2(2%)
minecraft.mined.oak_hanging_sign: #8, 1(2%)
minecraft.picked_up.mangrove_pressure_plate: #8, 1(2%)
minecraft.dropped.cut_sandstone: #8, 8(1%)
minecraft.mined.beehive: #8, 33(1%)
minecraft.dropped.stripped_oak_log: #8, 2(1%)
minecraft.crafted.gold_nugget: #8, 1100(1%)
minecraft.picked_up.warped_fence_gate: #8, 2(1%)
minecraft.dropped.yellow_terracotta: #8, 5(1%)
minecraft.dropped.light_gray_stained_glass_pane: #8, 3(1%)
minecraft.used.stripped_pale_oak_log: #8, 24(1%)
minecraft.mined.oxidized_cut_copper_slab: #8, 17(1%)
minecraft.used.waxed_copper_trapdoor: #8, 20(1%)
minecraft.dropped.diamond_pickaxe: #9, 20(4%)
minecraft.used.light_blue_glazed_terracotta: #8, 3(1%)
minecraft.picked_up.raw_gold_block: #8, 6(1%)
minecraft.dropped.mangrove_fence: #8, 2(1%)
minecraft.crafted.stripped_birch_wood: #8, 9(1%)
minecraft.used.wooden_shovel: #8, 18(1%)
minecraft.dropped.bamboo_slab: #8, 10(1%)
minecraft.dropped.birch_fence: #8, 1(1%)
minecraft.used.magenta_concrete: #8, 21(0%)
minecraft.dropped.warped_planks: #8, 5(1%)
minecraft.mined.oxidized_cut_copper: #8, 13(0%)
minecraft.picked_up.purple_stained_glass_pane: #8, 3(1%)
minecraft.picked_up.oxidized_cut_copper: #8, 11(0%)
minecraft.picked_up.warped_planks: #9, 110(5%)
minecraft.crafted.quartz_bricks: #8, 2(0%)
minecraft.used.red_carpet: #8, 49(0%)
minecraft.picked_up.jungle_log: #9, 2096(4%)
minecraft.mined.tall_grass: #9, 974(4%)
minecraft.crafted.stick: #9, 17433(4%)
minecraft.crafted.waxed_exposed_cut_copper: #8, 2(0%)
minecraft.picked_up.red_carpet: #8, 25(0%)
minecraft.picked_up.lime_carpet: #8, 4(0%)
minecraft.used.sandstone_slab: #8, 7(0%)
minecraft.mined.furnace: #9, 120(4%)
minecraft.picked_up.cookie: #9, 195(5%)
minecraft.used.exposed_copper: #8, 23(0%)
minecraft.mined.waxed_exposed_copper_bulb: #9, 16(6%)
minecraft.picked_up.polished_diorite: #9, 61(4%)
minecraft.crafted.glass: #9, 6595(4%)
minecraft.used.polished_tuff_wall: #9, 495(4%)
minecraft.mined.mangrove_door: #9, 4(6%)
minecraft.crafted.polished_andesite: #9, 768(4%)
minecraft.crafted.bow: #9, 80(4%)
minecraft.used.granite: #9, 989(4%)
minecraft.crafted.polished_deepslate_slab: #9, 150(5%)
minecraft.mined.sticky_piston: #9, 105(3%)
minecraft.killed.cow: #9, 374(3%)
minecraft.used.birch_planks: #9, 484(3%)
minecraft.picked_up.wheat: #9, 6196(3%)
minecraft.picked_up.white_concrete: #9, 1785(3%)
minecraft.used.jungle_log: #9, 414(3%)
minecraft.dropped.wooden_axe: #9, 1(7%)
minecraft.mined.jungle_stairs: #9, 28(3%)
minecraft.used.soul_soil: #9, 288(3%)
minecraft.custom.interact_with_smoker: #9, 74(3%)
minecraft.killed.ghast: #9, 33(3%)
minecraft.used.pale_oak_log: #9, 365(3%)
minecraft.crafted.copper_block: #9, 1009(3%)
minecraft.killed.shulker: #9, 137(3%)
minecraft.dropped.brown_mushroom: #9, 22(3%)
minecraft.picked_up.lapis_lazuli: #9, 2980(3%)
minecraft.dropped.spruce_pressure_plate: #9, 2(5%)
minecraft.dropped.tuff: #9, 557(2%)
minecraft.mined.rose_bush: #9, 36(3%)
minecraft.picked_up.mangrove_sign: #9, 12(3%)
minecraft.picked_up.dropper: #9, 87(3%)
minecraft.crafted.wooden_axe: #9, 1(6%)
minecraft.picked_up.cyan_wool: #9, 250(3%)
minecraft.crafted.birch_fence: #9, 81(3%)
minecraft.used.packed_mud: #9, 3177(2%)
minecraft.crafted.crafter: #9, 73(3%)
minecraft.mined.stone_bricks: #9, 948(2%)
minecraft.mined.white_concrete: #9, 2110(2%)
minecraft.picked_up.diamond: #9, 1816(2%)
minecraft.used.jungle_trapdoor: #9, 143(3%)
minecraft.mined.crimson_fungus: #9, 23(3%)
minecraft.used.wooden_sword: #9, 61(3%)
minecraft.crafted.jungle_trapdoor: #9, 142(3%)
minecraft.picked_up.birch_slab: #9, 39(3%)
minecraft.mined.mangrove_propagule: #9, 49(2%)
minecraft.crafted.ender_eye: #9, 64(2%)
minecraft.picked_up.jungle_fence: #9, 32(3%)
minecraft.crafted.white_stained_glass_pane: #9, 432(2%)
minecraft.mined.light_gray_stained_glass_pane: #9, 9(3%)
minecraft.picked_up.pink_tulip: #9, 74(2%)
minecraft.used.stripped_jungle_log: #9, 69(3%)
minecraft.used.brown_mushroom: #9, 46(2%)
minecraft.used.jungle_stairs: #9, 66(2%)
minecraft.mined.gray_stained_glass_pane: #9, 6(3%)
minecraft.picked_up.slime_block: #9, 233(2%)
minecraft.crafted.smooth_stone_slab: #9, 588(2%)
minecraft.used.deepslate_tile_stairs: #9, 182(2%)
minecraft.mined.spruce_wall_hanging_sign: #9, 3(3%)
minecraft.used.white_stained_glass_pane: #9, 298(2%)
minecraft.custom.aviate_one_cm: #10, 582947986(3%)
minecraft.picked_up.lily_of_the_valley: #9, 24(2%)
minecraft.picked_up.deepslate_tiles: #9, 237(1%)
minecraft.used.spruce_pressure_plate: #9, 7(2%)
minecraft.used.bamboo_fence_gate: #9, 27(2%)
minecraft.picked_up.smooth_sandstone_stairs: #9, 19(3%)
minecraft.picked_up.peony: #9, 74(1%)
minecraft.picked_up.raw_gold: #9, 577(1%)
minecraft.dropped.oak_button: #9, 5(2%)
minecraft.used.dark_oak_fence_gate: #9, 22(2%)
minecraft.used.sea_lantern: #9, 79(2%)
minecraft.crafted.warped_button: #9, 5(2%)
minecraft.picked_up.pufferfish_bucket: #9, 1(4%)
minecraft.picked_up.red_tulip: #9, 119(1%)
minecraft.picked_up.stone_brick_slab: #9, 143(1%)
minecraft.used.acacia_slab: #9, 87(2%)
minecraft.dropped.soul_soil: #9, 16(2%)
minecraft.crafted.copper_door: #9, 6(2%)
minecraft.picked_up.waxed_weathered_cut_copper_stairs: #9, 3(2%)
minecraft.mined.bamboo_slab: #9, 24(1%)
minecraft.mined.mossy_stone_bricks: #9, 63(1%)
minecraft.used.chest_minecart: #9, 7(2%)
minecraft.used.cooked_cod: #9, 62(1%)
minecraft.dropped.yellow_dye: #9, 9(1%)
minecraft.picked_up.deepslate_brick_wall: #9, 18(1%)
minecraft.mined.yellow_stained_glass: #9, 13(2%)
minecraft.crafted.cobblestone_stairs: #9, 68(1%)
minecraft.crafted.bamboo_pressure_plate: #9, 2(2%)
minecraft.picked_up.deepslate_tile_wall: #9, 22(1%)
minecraft.used.cooked_mutton: #9, 32(1%)
minecraft.used.smooth_sandstone_stairs: #9, 40(2%)
minecraft.dropped.ice: #9, 23(1%)
minecraft.mined.jungle_wall_sign: #9, 3(2%)
minecraft.used.crimson_planks: #9, 56(1%)
minecraft.picked_up.magenta_stained_glass_pane: #9, 3(2%)
minecraft.used.bamboo_pressure_plate: #9, 2(2%)
minecraft.used.golden_helmet: #9, 1(2%)
minecraft.dropped.bamboo_raft: #9, 1(2%)
minecraft.dropped.birch_trapdoor: #9, 2(2%)
minecraft.picked_up.magenta_concrete: #9, 54(1%)
minecraft.mined.pale_oak_sapling: #9, 3(1%)
minecraft.dropped.cobblestone_slab: #9, 16(1%)
minecraft.dropped.amethyst_block: #9, 8(1%)
minecraft.crafted.acacia_pressure_plate: #9, 2(2%)
minecraft.dropped.cherry_leaves: #9, 14(1%)
minecraft.mined.magenta_concrete: #9, 54(1%)
minecraft.dropped.dark_oak_sign: #9, 1(2%)
