stat, rank, value, (percentage) 
minecraft.picked_up.emerald: #3, 5208(12%)
minecraft.dropped.rabbit_hide: #2, 16(18%)
minecraft.crafted.cauldron: #2, 150(8%)
minecraft.used.pink_tulip: #2, 26(12%)
minecraft.killed.ghast: #3, 129(12%)
minecraft.used.lectern: #3, 866(13%)
minecraft.picked_up.end_stone_brick_stairs: #2, 12(27%)
minecraft.used.oxidized_cut_copper_slab: #2, 569(9%)
minecraft.dropped.red_glazed_terracotta: #2, 26(23%)
minecraft.dropped.quartz_pillar: #2, 24(26%)
minecraft.dropped.glowstone_dust: #3, 668(18%)
minecraft.mined.dark_oak_stairs: #3, 170(11%)
minecraft.picked_up.minecart: #3, 384(11%)
minecraft.dropped.magenta_stained_glass: #2, 5(22%)
minecraft.mined.end_stone_brick_stairs: #2, 12(30%)
minecraft.crafted.arrow: #2, 384(16%)
minecraft.used.cherry_trapdoor: #3, 306(13%)
minecraft.picked_up.amethyst_cluster: #3, 578(12%)
minecraft.picked_up.blaze_rod: #3, 1468(10%)
minecraft.custom.interact_with_brewingstand: #3, 1475(10%)
minecraft.custom.raid_trigger: #3, 13097(19%)
minecraft.killed.vex: #3, 42(14%)
minecraft.crafted.minecart: #3, 382(10%)
minecraft.crafted.blaze_powder: #3, 1850(10%)
minecraft.used.magenta_glazed_terracotta: #2, 27(20%)
minecraft.crafted.anvil: #3, 515(10%)
minecraft.killed.ender_dragon: #2, 5(23%)
minecraft.dropped.spider_eye: #3, 9567(9%)
minecraft.crafted.netherite_block: #2, 2(33%)
minecraft.mined.spruce_log: #3, 18557(9%)
minecraft.crafted.netherite_upgrade_smithing_template: #3, 74(11%)
minecraft.mined.pumpkin: #3, 3704(9%)
minecraft.picked_up.magenta_glazed_terracotta: #2, 24(31%)
minecraft.used.quartz_stairs: #3, 837(11%)
minecraft.killed.iron_golem: #3, 49(12%)
minecraft.custom.raid_win: #3, 1101(14%)
minecraft.mined.netherrack: #3, 37259(9%)
minecraft.dropped.green_terracotta: #2, 7(23%)
minecraft.mined.powder_snow: #3, 102(12%)
minecraft.picked_up.jack_o_lantern: #3, 102(19%)
minecraft.crafted.diamond_helmet: #3, 9(8%)
minecraft.picked_up.cherry_trapdoor: #3, 88(11%)
minecraft.picked_up.dark_oak_stairs: #3, 170(9%)
minecraft.used.sculk_shrieker: #2, 7(20%)
minecraft.picked_up.potion: #3, 324(7%)
minecraft.dropped.green_glazed_terracotta: #2, 7(32%)
minecraft.dropped.acacia_fence: #2, 18(14%)
minecraft.crafted.suspicious_stew: #2, 14(13%)
minecraft.picked_up.blade_pottery_sherd: #2, 4(24%)
minecraft.picked_up.rabbit: #3, 34(11%)
minecraft.mined.magenta_glazed_terracotta: #2, 25(31%)
minecraft.crafted.moss_block: #2, 10(45%)
