stat, rank, value, (percentage) 
minecraft.mined.diorite_slab: #1, 182(38%)
minecraft.used.white_wool: #1, 4516(25%)
minecraft.picked_up.ochre_froglight: #2, 12448(29%)
minecraft.mined.sandstone_stairs: #1, 542(74%)
minecraft.dropped.warped_trapdoor: #1, 128(58%)
minecraft.picked_up.smooth_basalt: #1, 2794(24%)
minecraft.used.elytra: #1, 419(17%)
minecraft.used.sandstone_stairs: #1, 3394(82%)
minecraft.crafted.mangrove_slab: #1, 2993(25%)
minecraft.picked_up.lime_banner: #1, 109(71%)
minecraft.used.purple_stained_glass: #1, 9417(33%)
minecraft.picked_up.warped_stairs: #1, 244(40%)
minecraft.mined.beacon: #1, 113(23%)
minecraft.used.pale_oak_sapling: #1, 1127(30%)
minecraft.crafted.birch_sign: #1, 334(23%)
minecraft.mined.wall_torch: #1, 2534(23%)
minecraft.used.mangrove_slab: #1, 3014(27%)
minecraft.mined.black_shulker_box: #1, 1218(25%)
minecraft.mined.lily_pad: #2, 998(33%)
minecraft.crafted.smooth_sandstone: #1, 2883(33%)
minecraft.picked_up.black_shulker_box: #1, 1223(25%)
minecraft.dropped.snow: #1, 908(31%)
minecraft.used.spruce_planks: #1, 10911(21%)
minecraft.picked_up.charcoal: #1, 1852(31%)
minecraft.picked_up.copper_trapdoor: #1, 510(25%)
minecraft.crafted.copper_door: #1, 117(37%)
minecraft.picked_up.chicken: #2, 2248(25%)
minecraft.used.deepslate_tile_stairs: #2, 3054(29%)
minecraft.used.lime_shulker_box: #1, 816(22%)
minecraft.custom.enchant_item: #1, 784(22%)
minecraft.picked_up.lime_shulker_box: #1, 817(22%)
minecraft.used.copper_trapdoor: #1, 3381(24%)
minecraft.picked_up.beacon: #1, 113(21%)
minecraft.picked_up.trident: #1, 111(25%)
minecraft.used.netherite_pickaxe: #1, 1593625(25%)
minecraft.crafted.cut_sandstone_slab: #1, 384(59%)
minecraft.crafted.light_blue_bed: #1, 36(48%)
minecraft.crafted.cyan_bed: #1, 58(35%)
minecraft.used.netherite_shovel: #1, 693280(35%)
minecraft.mined.lime_shulker_box: #1, 811(22%)
minecraft.picked_up.sandstone_stairs: #1, 436(64%)
minecraft.used.crossbow: #1, 874(30%)
minecraft.used.snow: #2, 28303(34%)
minecraft.custom.sleep_in_bed: #1, 6492(15%)
minecraft.picked_up.purple_wool: #1, 2061(24%)
minecraft.used.bookshelf: #1, 758(21%)
minecraft.used.purple_bed: #1, 162(33%)
minecraft.used.ender_pearl: #2, 2501(19%)
minecraft.mined.green_wool: #1, 584(22%)
minecraft.picked_up.blue_carpet: #1, 407(56%)
minecraft.mined.iron_block: #1, 7959(20%)
minecraft.used.iron_block: #1, 15951(20%)
minecraft.used.beacon: #1, 146(20%)
minecraft.mined.sandstone: #2, 35099(24%)
minecraft.crafted.copper_trapdoor: #1, 3694(23%)
minecraft.mined.green_stained_glass_pane: #1, 132(38%)
minecraft.crafted.purple_stained_glass: #1, 9440(29%)
minecraft.mined.chiseled_bookshelf: #1, 135(26%)
minecraft.used.netherrack: #1, 12865(19%)
minecraft.picked_up.pale_oak_door: #1, 39(53%)
minecraft.picked_up.crimson_slab: #1, 205(43%)
minecraft.mined.red_stained_glass_pane: #1, 98(48%)
minecraft.used.cooked_beef: #2, 3763(15%)
minecraft.crafted.baked_potato: #2, 1228(36%)
minecraft.mined.cut_sandstone: #2, 825(26%)
minecraft.used.cut_sandstone_slab: #1, 819(67%)
minecraft.picked_up.lily_pad: #2, 924(23%)
minecraft.used.diamond_shovel: #2, 931435(22%)
minecraft.mined.pale_oak_wall_sign: #1, 35(38%)
minecraft.crafted.iron_ingot: #1, 155401(18%)
minecraft.used.blue_carpet: #1, 1363(46%)
minecraft.mined.lime_banner: #1, 63(91%)
minecraft.picked_up.daylight_detector: #1, 111(30%)
minecraft.used.black_shulker_box: #2, 1222(25%)
minecraft.used.lime_banner: #1, 277(56%)
minecraft.used.dead_fire_coral_block: #1, 346(56%)
minecraft.used.iron_helmet: #1, 11(41%)
minecraft.used.copper_door: #1, 82(30%)
minecraft.used.dead_brain_coral_block: #1, 284(34%)
minecraft.dropped.pink_shulker_box: #1, 19(63%)
minecraft.mined.andesite_slab: #1, 194(19%)
minecraft.mined.torch: #2, 8873(21%)
minecraft.crafted.black_stained_glass: #2, 13800(25%)
minecraft.picked_up.torch: #1, 20129(17%)
minecraft.picked_up.sandstone: #2, 34130(21%)
minecraft.picked_up.light_gray_banner: #1, 132(71%)
minecraft.crafted.spruce_slab: #1, 11014(16%)
minecraft.custom.eat_cake_slice: #1, 104(30%)
minecraft.picked_up.bread: #1, 1216(18%)
minecraft.picked_up.smooth_sandstone_stairs: #1, 228(32%)
minecraft.crafted.smooth_sandstone_stairs: #1, 276(46%)
minecraft.killed.chicken: #2, 1192(20%)
minecraft.dropped.coal_block: #1, 317(46%)
minecraft.dropped.map: #1, 81(51%)
minecraft.mined.copper_door: #1, 27(37%)
minecraft.used.cyan_carpet: #1, 335(24%)
minecraft.custom.sprint_one_cm: #1, 344756756(9%)
minecraft.picked_up.feather: #2, 2778(20%)
minecraft.mined.sweet_berry_bush: #1, 229(18%)
minecraft.picked_up.crimson_trapdoor: #1, 140(30%)
minecraft.picked_up.iron_block: #1, 9240(15%)
minecraft.picked_up.warped_trapdoor: #1, 212(20%)
minecraft.custom.animals_bred: #1, 2957(15%)
minecraft.picked_up.tropical_fish: #2, 239(21%)
minecraft.mined.chest: #1, 2546(15%)
minecraft.picked_up.pale_oak_planks: #1, 321(21%)
minecraft.crafted.leather_helmet: #1, 47(23%)
minecraft.used.golden_apple: #1, 137(26%)
minecraft.mined.gray_wall_banner: #1, 20(53%)
minecraft.mined.iron_bars: #1, 619(15%)
minecraft.picked_up.smooth_sandstone: #2, 1673(23%)
minecraft.used.light_blue_wool: #2, 2057(27%)
minecraft.used.grass_block: #2, 87231(19%)
minecraft.mined.cyan_carpet: #2, 191(29%)
minecraft.picked_up.sandstone_wall: #1, 134(28%)
minecraft.killed.cave_spider: #2, 16073(21%)
minecraft.picked_up.magenta_carpet: #1, 126(91%)
minecraft.used.chiseled_bookshelf: #1, 377(17%)
minecraft.picked_up.mangrove_stairs: #1, 208(18%)
minecraft.crafted.blue_terracotta: #2, 2352(24%)
minecraft.mined.bubble_coral_block: #1, 687(30%)
minecraft.dropped.mangrove_slab: #1, 102(25%)
minecraft.picked_up.spruce_log: #1, 31765(14%)
minecraft.picked_up.melon_slice: #2, 10523(16%)
minecraft.used.spruce_boat: #1, 86(15%)
minecraft.picked_up.light_gray_terracotta: #2, 5017(20%)
minecraft.used.spruce_slab: #1, 7245(14%)
minecraft.used.torch: #1, 26624(14%)
minecraft.picked_up.pearlescent_froglight: #2, 6178(21%)
minecraft.mined.spruce_log: #1, 27902(13%)
minecraft.dropped.horn_coral_block: #1, 18(58%)
minecraft.picked_up.beef: #2, 5537(18%)
minecraft.picked_up.mangrove_slab: #2, 660(19%)
minecraft.used.chorus_fruit: #1, 60(35%)
minecraft.used.light_gray_terracotta: #2, 1454(21%)
minecraft.custom.walk_one_cm: #2, 346927427(10%)
minecraft.used.spruce_sign: #1, 853(13%)
minecraft.picked_up.spruce_wood: #2, 380(23%)
minecraft.custom.walk_under_water_one_cm: #2, 26474893(9%)
minecraft.mined.calcite: #2, 6164(18%)
minecraft.mined.blue_carpet: #1, 144(38%)
minecraft.used.chest: #1, 5079(14%)
minecraft.picked_up.gray_banner: #1, 28(34%)
minecraft.picked_up.granite: #1, 29878(13%)
minecraft.used.dead_tube_coral_block: #1, 371(48%)
minecraft.mined.pale_oak_door: #1, 21(48%)
minecraft.dropped.raw_copper_block: #1, 316(42%)
minecraft.mined.birch_sign: #2, 28(21%)
minecraft.picked_up.anvil: #2, 233(15%)
minecraft.mined.polished_diorite_stairs: #1, 99(25%)
minecraft.picked_up.dead_tube_coral_block: #2, 473(36%)
minecraft.used.sandstone_slab: #1, 1419(41%)
minecraft.mined.red_terracotta: #2, 7247(19%)
minecraft.picked_up.andesite: #1, 33962(13%)
minecraft.used.leather_chestplate: #2, 31(14%)
minecraft.crafted.andesite: #1, 30494(81%)
minecraft.used.pale_oak_log: #2, 2270(20%)
minecraft.custom.crouch_one_cm: #2, 57115699(10%)
