stat, rank, value, (percentage) 
minecraft.picked_up.smooth_sandstone_slab: #2, 179(11%)
minecraft.used.gray_banner: #3, 51(20%)
minecraft.mined.yellow_banner: #2, 6(22%)
minecraft.mined.cobblestone_slab: #3, 476(11%)
minecraft.picked_up.black_stained_glass: #2, 478(8%)
minecraft.picked_up.basalt: #3, 3335(11%)
minecraft.crafted.polished_diorite_stairs: #2, 31(17%)
minecraft.mined.black_stained_glass: #2, 452(8%)
minecraft.mined.spruce_slab: #3, 1114(10%)
minecraft.crafted.bucket: #3, 778(11%)
minecraft.mined.red_stained_glass: #3, 132(18%)
minecraft.picked_up.green_banner: #2, 23(17%)
minecraft.crafted.sandstone: #3, 792(14%)
minecraft.mined.stone_slab: #3, 853(11%)
minecraft.mined.white_stained_glass: #3, 449(13%)
minecraft.crafted.lime_bed: #3, 159(21%)
minecraft.crafted.mangrove_door: #2, 12(9%)
minecraft.used.green_banner: #3, 27(16%)
minecraft.mined.lime_wall_banner: #2, 21(39%)
minecraft.custom.sneak_time: #4, 7825479(6%)
minecraft.used.powered_rail: #3, 2548(10%)
minecraft.used.acacia_door: #2, 12(19%)
minecraft.picked_up.netherrack: #3, 30313(10%)
minecraft.used.warped_stairs: #3, 427(16%)
minecraft.picked_up.horn_coral_block: #3, 429(19%)
minecraft.mined.bamboo_sign: #3, 31(12%)
minecraft.mined.yellow_shulker_box: #3, 535(10%)
minecraft.mined.white_concrete: #3, 9549(10%)
minecraft.crafted.spruce_wood: #3, 1125(11%)
minecraft.used.glass_pane: #3, 390(11%)
minecraft.picked_up.chest: #3, 3107(10%)
minecraft.picked_up.string: #3, 7737(9%)
minecraft.custom.aviate_one_cm: #4, 1478388561(9%)
minecraft.crafted.powered_rail: #3, 2046(10%)
minecraft.used.cooked_mutton: #3, 337(11%)
minecraft.crafted.copper_ingot: #3, 15144(10%)
minecraft.picked_up.bubble_coral_block: #3, 402(19%)
minecraft.used.raw_copper_block: #3, 46(16%)
minecraft.picked_up.iron_ore: #3, 1807(9%)
minecraft.picked_up.raw_copper: #3, 52291(10%)
minecraft.killed_by.player: #4, 242(9%)
minecraft.dropped.name_tag: #3, 35(11%)
minecraft.mined.spruce_fence: #3, 419(10%)
minecraft.crafted.mangrove_trapdoor: #3, 482(10%)
minecraft.mined.oak_wall_hanging_sign: #2, 12(17%)
minecraft.crafted.writable_book: #3, 133(10%)
minecraft.mined.spruce_leaves: #3, 7575(10%)
minecraft.used.cactus: #3, 424(10%)
minecraft.crafted.light_blue_carpet: #3, 2049(18%)
minecraft.mined.glass_pane: #3, 126(10%)
minecraft.used.scaffolding: #3, 18363(9%)
minecraft.picked_up.wheat: #4, 24814(12%)
minecraft.crafted.blue_ice: #3, 712(15%)
minecraft.picked_up.cooked_beef: #3, 1466(7%)
minecraft.custom.damage_absorbed: #3, 3443(14%)
minecraft.picked_up.pale_oak_log: #3, 4548(11%)
minecraft.picked_up.tube_coral_block: #3, 617(15%)
minecraft.crafted.torch: #3, 11778(9%)
minecraft.picked_up.oak_hanging_sign: #2, 17(8%)
minecraft.mined.dead_horn_coral_block: #2, 83(13%)
minecraft.mined.chiseled_copper: #3, 26(16%)
minecraft.picked_up.enchanted_book: #3, 128(9%)
minecraft.picked_up.diorite: #3, 23699(9%)
minecraft.crafted.saddle: #2, 37(31%)
minecraft.dropped.oak_fence_gate: #2, 18(16%)
minecraft.used.green_wool: #3, 1185(10%)
minecraft.custom.clean_banner: #2, 108(31%)
minecraft.picked_up.spruce_slab: #3, 1365(9%)
minecraft.mined.terracotta: #3, 15419(9%)
minecraft.mined.pale_oak_log: #3, 4396(11%)
minecraft.picked_up.scaffolding: #3, 16705(8%)
minecraft.crafted.ender_chest: #3, 102(10%)
minecraft.picked_up.oak_fence_gate: #3, 43(10%)
minecraft.mined.acacia_door: #2, 3(15%)
minecraft.picked_up.stone_brick_slab: #3, 1017(10%)
minecraft.custom.open_shulker_box: #4, 78686(8%)
minecraft.mined.dirt_path: #3, 1881(9%)
minecraft.used.white_carpet: #3, 653(9%)
minecraft.used.amethyst_block: #2, 464(6%)
minecraft.picked_up.ender_pearl: #4, 30858(9%)
minecraft.crafted.light_blue_stained_glass: #3, 4448(13%)
minecraft.used.golden_sword: #2, 2(29%)
minecraft.mined.dead_tube_coral_block: #2, 75(11%)
minecraft.used.golden_boots: #2, 8(22%)
minecraft.mined.mangrove_stairs: #3, 79(11%)
minecraft.mined.brown_terracotta: #3, 2852(11%)
minecraft.crafted.crimson_slab: #2, 300(9%)
minecraft.picked_up.terracotta: #3, 15076(8%)
minecraft.killed_by.wither: #2, 2(18%)
minecraft.mined.green_concrete_powder: #3, 90(15%)
minecraft.crafted.charcoal: #3, 1239(9%)
minecraft.picked_up.granite_slab: #3, 82(16%)
minecraft.picked_up.brown_terracotta: #3, 2761(11%)
minecraft.used.blue_stained_glass: #2, 306(9%)
minecraft.mined.white_terracotta: #4, 2987(13%)
minecraft.picked_up.white_terracotta: #4, 3201(13%)
minecraft.picked_up.andesite_wall: #3, 128(10%)
minecraft.crafted.flower_banner_pattern: #2, 1(11%)
minecraft.broken.iron_chestplate: #2, 1(33%)
minecraft.crafted.birch_slab: #3, 1128(9%)
minecraft.mined.diorite_wall: #3, 52(15%)
minecraft.picked_up.yellow_banner: #3, 14(16%)
minecraft.mined.light_gray_wall_banner: #2, 6(19%)
minecraft.used.blue_ice: #3, 429(11%)
minecraft.crafted.black_stained_glass_pane: #3, 1024(10%)
minecraft.picked_up.yellow_carpet: #3, 159(13%)
minecraft.mined.bell: #3, 21(11%)
minecraft.mined.yellow_carpet: #3, 100(13%)
minecraft.crafted.gray_banner: #3, 52(14%)
minecraft.mined.black_wool: #3, 999(9%)
minecraft.killed.endermite: #3, 20(9%)
minecraft.picked_up.spider_eye: #4, 6413(11%)
minecraft.crafted.yellow_banner: #3, 64(14%)
minecraft.picked_up.crimson_stairs: #2, 104(12%)
minecraft.picked_up.iron_leggings: #3, 16(7%)
minecraft.picked_up.lime_stained_glass: #3, 148(12%)
minecraft.mined.white_stained_glass_pane: #3, 92(9%)
minecraft.used.pearlescent_froglight: #4, 3604(14%)
minecraft.used.golden_leggings: #2, 6(17%)
minecraft.picked_up.light_gray_concrete: #4, 1326(12%)
minecraft.mined.dead_fire_coral_block: #2, 55(8%)
minecraft.picked_up.pale_oak_stairs: #3, 45(14%)
minecraft.dropped.lime_banner: #2, 1(20%)
minecraft.picked_up.snow_block: #3, 9407(9%)
minecraft.used.lapis_ore: #3, 109(9%)
minecraft.picked_up.lightning_rod: #3, 182(8%)
minecraft.mined.light_blue_stained_glass: #3, 310(9%)
minecraft.mined.nether_gold_ore: #3, 321(8%)
minecraft.dropped.pale_oak_fence_gate: #2, 5(38%)
minecraft.crafted.blue_stained_glass: #2, 304(5%)
minecraft.mined.pearlescent_froglight: #3, 460(9%)
minecraft.used.shulker_box: #4, 6780(8%)
minecraft.picked_up.acacia_door: #2, 3(11%)
minecraft.dropped.blue_bed: #2, 1(25%)
minecraft.mined.nether_quartz_ore: #3, 3269(7%)
minecraft.picked_up.birch_door: #3, 9(15%)
minecraft.used.fire_coral_block: #3, 158(12%)
minecraft.crafted.cooked_mutton: #3, 296(9%)
minecraft.crafted.golden_axe: #2, 2(18%)
minecraft.mined.green_stained_glass: #3, 99(11%)
minecraft.crafted.cut_sandstone: #3, 452(14%)
minecraft.used.oxidized_copper_door: #3, 9(11%)
minecraft.picked_up.tuff: #3, 21778(7%)
minecraft.picked_up.oxidized_copper_door: #3, 11(11%)
minecraft.used.diorite: #3, 3479(7%)
minecraft.dropped.sandstone_slab: #2, 15(11%)
minecraft.picked_up.leather: #4, 4012(11%)
minecraft.used.chainmail_helmet: #2, 1(33%)
minecraft.killed_by.endermite: #2, 1(33%)
minecraft.mined.blue_banner: #2, 1(33%)
minecraft.mined.redstone_ore: #3, 200(7%)
minecraft.used.anvil: #3, 291(6%)
minecraft.mined.packed_ice: #3, 17072(7%)
minecraft.mined.purple_stained_glass_pane: #2, 51(9%)
minecraft.custom.climb_one_cm: #4, 5804083(7%)
minecraft.picked_up.stone_slab: #4, 1487(10%)
minecraft.used.gray_carpet: #3, 861(8%)
minecraft.mined.pale_oak_slab: #3, 56(12%)
minecraft.used.dried_kelp: #3, 27(20%)
minecraft.picked_up.dead_tube_coral_fan: #2, 3(30%)
minecraft.crafted.chiseled_sandstone: #3, 20(26%)
minecraft.custom.fall_one_cm: #4, 23621426(6%)
minecraft.picked_up.white_stained_glass: #3, 361(7%)
minecraft.picked_up.tuff_brick_stairs: #3, 168(7%)
minecraft.used.mangrove_stairs: #4, 545(12%)
minecraft.picked_up.gray_carpet: #4, 607(11%)
minecraft.mined.birch_button: #3, 6(14%)
minecraft.mined.deepslate_redstone_ore: #3, 3210(6%)
minecraft.mined.scaffolding: #4, 7579(10%)
minecraft.dropped.raw_iron: #3, 135(7%)
minecraft.used.white_terracotta: #4, 1193(10%)
minecraft.picked_up.crimson_planks: #3, 119(9%)
minecraft.mined.purple_wool: #3, 51(11%)
minecraft.picked_up.filled_map: #4, 1680(9%)
minecraft.mined.pale_oak_planks: #3, 68(9%)
minecraft.used.honey_bottle: #4, 727(12%)
minecraft.picked_up.pointed_dripstone: #3, 1943(6%)
minecraft.crafted.golden_helmet: #4, 12(12%)
minecraft.mined.lime_concrete_powder: #2, 21(7%)
minecraft.used.spruce_wood: #4, 1179(11%)
minecraft.picked_up.light_gray_carpet: #4, 156(10%)
minecraft.killed_by.evoker: #2, 1(20%)
minecraft.picked_up.elytra: #4, 121(6%)
minecraft.crafted.deepslate_tile_stairs: #4, 76(13%)
minecraft.mined.mangrove_door: #3, 6(9%)
minecraft.mined.warped_door: #2, 2(10%)
minecraft.crafted.chiseled_tuff_bricks: #4, 93(11%)
minecraft.used.crimson_nylium: #3, 213(8%)
minecraft.crafted.golden_shovel: #2, 1(9%)
minecraft.used.cooked_salmon: #4, 432(10%)
minecraft.crafted.dark_oak_wood: #3, 864(7%)
minecraft.picked_up.stripped_spruce_wood: #4, 360(11%)
minecraft.mined.cactus_flower: #3, 12(13%)
minecraft.used.polished_diorite_stairs: #3, 270(9%)
minecraft.crafted.apple: #3, 640(9%)
minecraft.mined.potted_cactus: #2, 1(11%)
minecraft.mined.purple_stained_glass: #3, 175(11%)
minecraft.crafted.acacia_door: #3, 9(13%)
minecraft.mined.dead_bubble_coral_block: #2, 20(5%)
minecraft.picked_up.bell: #4, 28(11%)
minecraft.crafted.polished_granite_stairs: #3, 28(16%)
minecraft.killed.glow_squid: #4, 60(10%)
minecraft.mined.hopper: #4, 943(9%)
minecraft.picked_up.pale_moss_carpet: #3, 624(5%)
minecraft.crafted.chiseled_bookshelf: #4, 331(11%)
minecraft.mined.attached_melon_stem: #4, 19(11%)
minecraft.picked_up.netherite_pickaxe: #4, 56(8%)
minecraft.used.sandstone_wall: #3, 247(9%)
minecraft.mined.pumpkin: #4, 3658(9%)
minecraft.used.copper_grate: #3, 315(8%)
minecraft.mined.large_fern: #4, 682(10%)
minecraft.mined.brain_coral_wall_fan: #3, 162(6%)
minecraft.crafted.glass: #4, 15050(9%)
minecraft.picked_up.orange_banner: #3, 11(7%)
minecraft.mined.orange_banner: #3, 4(17%)
minecraft.mined.tube_coral_wall_fan: #3, 124(6%)
minecraft.crafted.smooth_basalt: #3, 1536(11%)
minecraft.picked_up.diamond_pickaxe: #4, 129(7%)
minecraft.crafted.purple_dye: #3, 798(5%)
minecraft.used.spruce_stairs: #4, 1422(8%)
minecraft.mined.bookshelf: #4, 369(9%)
minecraft.picked_up.closed_eyeblossom: #3, 124(7%)
minecraft.mined.stripped_spruce_wood: #4, 314(10%)
minecraft.mined.green_wall_banner: #3, 5(14%)
minecraft.mined.quartz_slab: #3, 217(7%)
minecraft.crafted.chest_minecart: #3, 25(10%)
minecraft.crafted.gray_bed: #3, 11(9%)
minecraft.picked_up.diamond_axe: #4, 94(8%)
minecraft.picked_up.iron_helmet: #4, 15(9%)
minecraft.picked_up.magenta_banner: #2, 1(1%)
minecraft.used.pale_oak_stairs: #4, 133(14%)
minecraft.crafted.diorite: #2, 128(1%)
minecraft.picked_up.damaged_anvil: #4, 20(10%)
minecraft.used.damaged_anvil: #4, 17(10%)
minecraft.mined.diorite: #4, 20247(8%)
minecraft.broken.iron_boots: #3, 1(20%)
minecraft.crafted.gray_carpet: #3, 642(5%)
minecraft.mined.chiseled_sandstone: #3, 32(6%)
minecraft.picked_up.light_gray_bed: #3, 90(6%)
minecraft.picked_up.purple_stained_glass_pane: #3, 53(9%)
minecraft.picked_up.purple_shulker_box: #4, 281(8%)
minecraft.picked_up.chest_minecart: #3, 33(6%)
minecraft.mined.purple_shulker_box: #4, 277(8%)
minecraft.used.tube_coral_fan: #3, 18(10%)
minecraft.mined.fire_coral_wall_fan: #3, 148(6%)
minecraft.used.wooden_pickaxe: #4, 43(8%)
minecraft.used.wheat_seeds: #5, 25465(11%)
minecraft.picked_up.iron_bars: #4, 599(8%)
minecraft.picked_up.light_gray_wool: #4, 510(8%)
minecraft.used.purple_shulker_box: #4, 286(8%)
minecraft.picked_up.purple_stained_glass: #3, 150(8%)
minecraft.used.bamboo_sign: #4, 353(8%)
minecraft.mined.damaged_anvil: #4, 18(9%)
minecraft.used.blue_bed: #3, 48(8%)
minecraft.used.pink_shulker_box: #4, 283(9%)
minecraft.crafted.cooked_beef: #4, 1014(8%)
minecraft.picked_up.spruce_fence: #4, 473(8%)
minecraft.used.mangrove_trapdoor: #4, 417(8%)
minecraft.mined.bubble_coral_wall_fan: #3, 138(6%)
minecraft.crafted.yellow_shulker_box: #4, 23(9%)
minecraft.dropped.damaged_anvil: #3, 2(22%)
minecraft.mined.oak_fence_gate: #4, 23(9%)
minecraft.picked_up.iron_nugget: #4, 727(6%)
minecraft.custom.play_noteblock: #4, 362(7%)
minecraft.used.warped_door: #3, 6(10%)
minecraft.picked_up.leather_boots: #4, 40(6%)
minecraft.picked_up.diamond_shovel: #4, 76(7%)
minecraft.broken.netherite_pickaxe: #3, 1(17%)
minecraft.mined.oak_fence: #4, 314(8%)
minecraft.custom.swim_one_cm: #5, 12591982(7%)
minecraft.crafted.warped_pressure_plate: #3, 6(16%)
minecraft.dropped.blaze_rod: #3, 145(5%)
minecraft.crafted.pale_oak_planks: #4, 3508(8%)
minecraft.used.item_frame: #4, 656(6%)
minecraft.mined.purple_bed: #4, 39(11%)
minecraft.crafted.sandstone_stairs: #3, 44(11%)
minecraft.broken.iron_helmet: #3, 1(20%)
minecraft.mined.barrel: #4, 276(7%)
minecraft.crafted.tuff_brick_stairs: #3, 70(4%)
minecraft.mined.orange_carpet: #4, 45(11%)
minecraft.mined.furnace: #4, 210(7%)
minecraft.used.golden_helmet: #3, 4(8%)
minecraft.picked_up.wheat_seeds: #5, 66146(10%)
minecraft.used.cyan_terracotta: #4, 6184(8%)
minecraft.crafted.green_bed: #3, 21(11%)
minecraft.killed_by.spider: #3, 1(12%)
minecraft.picked_up.pale_moss_block: #4, 1817(9%)
minecraft.picked_up.copper_ingot: #4, 1426(8%)
minecraft.dropped.yellow_shulker_box: #3, 2(8%)
minecraft.dropped.basalt: #4, 121(9%)
minecraft.crafted.brown_shulker_box: #3, 18(4%)
minecraft.used.warped_pressure_plate: #3, 6(14%)
minecraft.picked_up.orange_shulker_box: #4, 348(6%)
minecraft.dropped.polished_andesite: #4, 107(10%)
minecraft.used.lime_concrete_powder: #4, 1169(10%)
minecraft.mined.gray_banner: #3, 5(14%)
minecraft.mined.sand: #4, 88941(7%)
minecraft.mined.black_carpet: #3, 217(4%)
minecraft.picked_up.barrel: #4, 368(7%)
minecraft.picked_up.purple_bed: #4, 38(10%)
minecraft.mined.granite_slab: #4, 29(13%)
minecraft.picked_up.composter: #4, 181(7%)
minecraft.used.black_bed: #4, 69(10%)
minecraft.crafted.mangrove_stairs: #5, 576(12%)
minecraft.crafted.cyan_terracotta: #4, 6400(7%)
minecraft.picked_up.birch_sign: #4, 61(7%)
minecraft.picked_up.glass_pane: #4, 201(7%)
minecraft.crafted.turtle_helmet: #3, 2(15%)
minecraft.custom.damage_resisted: #5, 27483(7%)
minecraft.crafted.purple_stained_glass_pane: #3, 224(5%)
minecraft.dropped.pumpkin_pie: #3, 28(9%)
minecraft.used.ladder: #4, 789(6%)
minecraft.crafted.chest: #4, 4425(6%)
minecraft.crafted.pale_oak_slab: #4, 312(10%)
minecraft.picked_up.lapis_ore: #4, 190(7%)
minecraft.mined.orange_shulker_box: #4, 344(7%)
minecraft.crafted.warped_door: #3, 3(6%)
minecraft.killed_by.creaking: #3, 1(11%)
minecraft.crafted.black_carpet: #4, 1116(9%)
minecraft.picked_up.light_blue_stained_glass: #4, 550(7%)
minecraft.picked_up.light_blue_terracotta: #4, 192(8%)
minecraft.picked_up.warped_door: #3, 3(11%)
minecraft.crafted.light_gray_shulker_box: #4, 29(8%)
minecraft.crafted.coal: #4, 4417(6%)
minecraft.mined.crimson_planks: #3, 39(3%)
minecraft.used.purple_wool: #4, 147(9%)
minecraft.used.pale_oak_fence: #3, 199(4%)
minecraft.picked_up.bamboo_sign: #4, 105(6%)
minecraft.mined.warped_slab: #4, 90(8%)
minecraft.crafted.magenta_shulker_box: #4, 5(9%)
minecraft.mined.oak_hanging_sign: #3, 3(6%)
minecraft.dropped.brown_bed: #3, 2(12%)
minecraft.mined.dark_oak_wood: #4, 46(9%)
minecraft.picked_up.blue_banner: #3, 2(8%)
minecraft.used.jungle_leaves: #4, 677(8%)
minecraft.crafted.cooked_salmon: #4, 366(7%)
minecraft.crafted.iron_door: #4, 24(7%)
minecraft.picked_up.diorite_wall: #4, 58(10%)
minecraft.used.birch_door: #4, 12(13%)
minecraft.crafted.bowl: #3, 36(7%)
minecraft.picked_up.shulker_box: #5, 6594(8%)
minecraft.crafted.lectern: #4, 136(7%)
minecraft.crafted.cyan_wool: #4, 190(9%)
minecraft.picked_up.mangrove_door: #4, 9(9%)
minecraft.picked_up.leather_horse_armor: #3, 2(10%)
minecraft.mined.pale_oak_button: #3, 5(5%)
minecraft.used.exposed_copper_door: #3, 1(12%)
minecraft.used.oak_hanging_sign: #3, 18(3%)
minecraft.used.iron_trapdoor: #5, 942(9%)
minecraft.crafted.raw_copper_block: #5, 3924(10%)
minecraft.picked_up.red_stained_glass: #4, 223(10%)
minecraft.mined.magenta_carpet: #3, 1(9%)
minecraft.dropped.spruce_planks: #4, 214(5%)
minecraft.mined.shulker_box: #5, 6464(8%)
minecraft.used.waxed_oxidized_copper_grate: #4, 233(7%)
minecraft.picked_up.tripwire_hook: #4, 37(6%)
minecraft.picked_up.blue_stained_glass: #3, 48(4%)
minecraft.mined.dead_horn_coral_wall_fan: #3, 1(8%)
minecraft.broken.diamond_shovel: #4, 5(11%)
minecraft.used.experience_bottle: #4, 939(6%)
minecraft.crafted.crimson_fence_gate: #3, 4(5%)
minecraft.dropped.lime_shulker_box: #3, 1(3%)
minecraft.picked_up.black_carpet: #3, 450(2%)
minecraft.used.firework_rocket: #5, 39674(6%)
minecraft.picked_up.spruce_leaves: #4, 2549(5%)
minecraft.used.magenta_carpet: #3, 5(5%)
minecraft.used.sculk: #3, 1653(2%)
minecraft.mined.dark_prismarine_stairs: #4, 20(13%)
minecraft.mined.light_gray_concrete: #5, 1135(10%)
minecraft.dropped.purple_carpet: #3, 3(5%)
minecraft.crafted.bolt_armor_trim_smithing_template: #3, 4(9%)
minecraft.crafted.lime_concrete_powder: #4, 1232(7%)
minecraft.crafted.lime_shulker_box: #4, 8(6%)
minecraft.used.light_blue_dye: #4, 11(10%)
minecraft.crafted.orange_shulker_box: #4, 22(6%)
minecraft.killed.silverfish: #4, 5108(5%)
minecraft.mined.light_blue_bed: #4, 29(7%)
minecraft.used.yellow_terracotta: #4, 494(6%)
minecraft.used.cooked_rabbit: #3, 1(5%)
minecraft.crafted.iron_trapdoor: #5, 947(9%)
minecraft.mined.warped_pressure_plate: #3, 1(6%)
minecraft.dropped.green_banner: #3, 1(4%)
minecraft.picked_up.chiseled_copper: #4, 26(8%)
minecraft.crafted.sandstone_wall: #4, 48(15%)
minecraft.mined.spruce_stairs: #5, 397(8%)
minecraft.mined.light_gray_carpet: #5, 107(10%)
minecraft.picked_up.chiseled_quartz_block: #3, 26(2%)
minecraft.crafted.coast_armor_trim_smithing_template: #3, 2(5%)
minecraft.picked_up.paper: #5, 785(8%)
minecraft.mined.chiseled_quartz_block: #3, 23(2%)
minecraft.crafted.magenta_banner: #3, 3(2%)
minecraft.used.pale_oak_planks: #4, 383(7%)
minecraft.picked_up.light_blue_bed: #4, 28(6%)
minecraft.used.stripped_pale_oak_log: #4, 200(7%)
minecraft.crafted.horn_coral_block: #3, 1(3%)
minecraft.used.cactus_flower: #4, 11(10%)
minecraft.mined.bamboo_button: #3, 12(1%)
minecraft.mined.yellow_concrete_powder: #4, 27(7%)
minecraft.used.gold_ore: #4, 68(6%)
minecraft.killed.magma_cube: #4, 284(5%)
minecraft.mined.crimson_trapdoor: #4, 25(9%)
minecraft.mined.iron_trapdoor: #5, 113(8%)
minecraft.crafted.lime_wool: #4, 257(7%)
minecraft.picked_up.amethyst_block: #5, 1374(8%)
minecraft.used.white_concrete_powder: #5, 8481(8%)
minecraft.mined.poppy: #4, 275(4%)
minecraft.crafted.cyan_carpet: #4, 246(6%)
minecraft.used.granite_slab: #4, 288(6%)
minecraft.used.quartz_slab: #4, 577(5%)
minecraft.used.orange_terracotta: #5, 1722(9%)
minecraft.picked_up.brown_bed: #4, 4(8%)
minecraft.picked_up.quartz_slab: #4, 244(6%)
minecraft.mined.fire_coral_fan: #4, 25(5%)
minecraft.mined.red_carpet: #4, 270(5%)
minecraft.mined.melon: #5, 2208(7%)
minecraft.mined.sea_lantern: #4, 63(5%)
minecraft.crafted.yellow_bed: #4, 7(8%)
minecraft.mined.horn_coral_wall_fan: #4, 126(5%)
minecraft.picked_up.gray_dye: #4, 78(4%)
minecraft.used.cobblestone: #5, 7126(8%)
minecraft.used.crimson_slab: #4, 237(7%)
minecraft.picked_up.lava_bucket: #5, 60(8%)
minecraft.used.waxed_copper_grate: #4, 250(5%)
minecraft.mined.pink_shulker_box: #5, 255(8%)
minecraft.used.tropical_fish: #4, 3(9%)
minecraft.used.lantern: #5, 515(7%)
minecraft.picked_up.pink_shulker_box: #5, 257(8%)
minecraft.used.nether_quartz_ore: #5, 908(8%)
minecraft.mined.polished_diorite: #5, 55(8%)
minecraft.picked_up.dark_prismarine_stairs: #4, 20(8%)
minecraft.used.granite: #5, 1965(7%)
minecraft.mined.rail: #5, 2390(7%)
minecraft.mined.cyan_stained_glass: #4, 49(5%)
minecraft.killed.sheep: #4, 128(3%)
minecraft.mined.lightning_rod: #5, 131(8%)
minecraft.mined.black_stained_glass_pane: #5, 37(8%)
minecraft.used.white_concrete: #5, 7467(8%)
minecraft.crafted.quartz_stairs: #4, 77(5%)
minecraft.picked_up.spruce_pressure_plate: #4, 10(5%)
minecraft.crafted.light_blue_terracotta: #4, 640(4%)
minecraft.picked_up.yellow_terracotta: #5, 1242(7%)
minecraft.mined.coarse_dirt: #5, 1487(7%)
minecraft.dropped.chipped_anvil: #4, 4(10%)
minecraft.crafted.melon: #4, 1960(4%)
minecraft.dropped.cobbled_deepslate_stairs: #4, 22(6%)
minecraft.broken.stone_pickaxe: #4, 3(5%)
minecraft.used.stonecutter: #5, 110(6%)
minecraft.custom.interact_with_crafting_table: #5, 4998(6%)
minecraft.used.iron_leggings: #4, 1(7%)
minecraft.mined.respawn_anchor: #4, 3(8%)
minecraft.crafted.bordure_indented_banner_pattern: #4, 1(11%)
minecraft.mined.amethyst_block: #5, 997(7%)
minecraft.dropped.anvil: #4, 6(4%)
minecraft.crafted.chiseled_quartz_block: #4, 9(11%)
minecraft.used.magenta_wool: #4, 55(5%)
minecraft.crafted.white_concrete_powder: #5, 8480(7%)
minecraft.used.black_carpet: #4, 999(3%)
minecraft.used.bucket: #5, 4932(6%)
minecraft.dropped.gray_dye: #5, 38(10%)
minecraft.picked_up.furnace: #5, 221(6%)
minecraft.crafted.light_gray_carpet: #4, 390(3%)
minecraft.used.golden_axe: #4, 16(15%)
minecraft.crafted.cake: #5, 24(11%)
minecraft.picked_up.leather_chestplate: #5, 33(5%)
minecraft.used.yellow_carpet: #5, 356(9%)
minecraft.mined.yellow_terracotta: #5, 1076(7%)
minecraft.mined.brain_coral: #4, 26(4%)
minecraft.crafted.golden_apple: #4, 106(4%)
minecraft.crafted.pale_oak_pressure_plate: #4, 5(9%)
minecraft.used.iron_boots: #4, 1(6%)
minecraft.used.bell: #5, 24(12%)
minecraft.mined.tube_coral: #4, 26(4%)
minecraft.custom.clean_armor: #4, 4(14%)
minecraft.dropped.lime_stained_glass_pane: #4, 3(14%)
minecraft.mined.tube_coral_fan: #4, 18(4%)
minecraft.mined.lapis_ore: #5, 316(6%)
minecraft.picked_up.black_stained_glass_pane: #5, 56(7%)
minecraft.used.orange_shulker_box: #5, 351(6%)
minecraft.mined.farmland: #5, 274(6%)
minecraft.used.red_concrete: #4, 321(3%)
minecraft.picked_up.dripstone_block: #5, 2533(6%)
minecraft.mined.bubble_coral: #4, 22(3%)
minecraft.mined.pale_hanging_moss: #5, 203(8%)
minecraft.mined.magenta_wool: #4, 33(5%)
minecraft.used.light_gray_concrete: #5, 711(7%)
minecraft.picked_up.powered_rail: #5, 744(6%)
minecraft.mined.gold_ore: #5, 227(6%)
minecraft.used.blue_banner: #4, 3(4%)
minecraft.used.pale_oak_pressure_plate: #4, 4(9%)
minecraft.mined.fire_coral: #4, 22(3%)
minecraft.picked_up.clock: #5, 8(8%)
minecraft.crafted.light_blue_shulker_box: #4, 10(2%)
minecraft.mined.wither_skeleton_wall_skull: #4, 1(8%)
minecraft.mined.composter: #5, 135(6%)
minecraft.picked_up.mutton: #4, 246(1%)
minecraft.picked_up.honeycomb_block: #4, 190(4%)
minecraft.mined.pale_oak_pressure_plate: #4, 1(10%)
minecraft.used.purple_terracotta: #4, 151(3%)
minecraft.used.stone_pickaxe: #5, 588(6%)
minecraft.mined.crimson_stairs: #4, 48(6%)
minecraft.crafted.dark_prismarine_slab: #4, 22(6%)
minecraft.mined.dripstone_block: #5, 2581(6%)
minecraft.used.black_glazed_terracotta: #4, 70(5%)
minecraft.mined.brain_coral_fan: #4, 15(3%)
minecraft.mined.pink_bed: #5, 49(12%)
minecraft.mined.attached_pumpkin_stem: #5, 20(7%)
minecraft.picked_up.green_concrete_powder: #5, 89(9%)
minecraft.picked_up.quartz_stairs: #5, 188(6%)
minecraft.mined.pink_wall_banner: #4, 1(7%)
minecraft.used.warped_slab: #5, 616(8%)
minecraft.mined.bubble_coral_fan: #4, 14(3%)
minecraft.used.resin_clump: #4, 282(2%)
minecraft.picked_up.purple_banner: #4, 1(6%)
minecraft.used.nether_gold_ore: #4, 18(4%)
minecraft.mined.red_mushroom: #5, 43(7%)
minecraft.custom.interact_with_brewingstand: #5, 798(6%)
minecraft.picked_up.golden_helmet: #5, 21(5%)
minecraft.crafted.white_carpet: #5, 507(5%)
minecraft.picked_up.wither_rose: #5, 508(7%)
minecraft.picked_up.red_carpet: #4, 358(2%)
minecraft.picked_up.dark_oak_wood: #5, 35(8%)
minecraft.mined.quartz_stairs: #5, 147(6%)
minecraft.picked_up.sand: #5, 87841(5%)
minecraft.crafted.copper_block: #5, 1901(5%)
minecraft.picked_up.warped_pressure_plate: #4, 1(7%)
minecraft.used.pale_oak_slab: #5, 179(8%)
minecraft.picked_up.green_wool: #5, 1609(5%)
minecraft.picked_up.brown_carpet: #5, 116(6%)
minecraft.custom.interact_with_loom: #6, 213(7%)
minecraft.crafted.leather_horse_armor: #4, 2(5%)
minecraft.used.gray_bed: #4, 17(2%)
