stat, rank, value, (percentage) 
minecraft.dropped.cobbled_deepslate_stairs: #1, 148(42%)
minecraft.used.jungle_fence_gate: #1, 245(26%)
minecraft.mined.bamboo_trapdoor: #1, 427(21%)
minecraft.crafted.waxed_exposed_cut_copper_stairs: #1, 216(57%)
minecraft.used.stripped_jungle_wood: #1, 630(38%)
minecraft.crafted.bow: #1, 402(18%)
minecraft.broken.diamond_shovel: #1, 17(38%)
minecraft.mined.dark_oak_leaves: #2, 9004(22%)
minecraft.used.bee_nest: #1, 136(32%)
minecraft.crafted.waxed_weathered_copper_trapdoor: #1, 528(49%)
minecraft.used.rooted_dirt: #1, 3123(24%)
minecraft.used.deepslate: #1, 13893(17%)
minecraft.crafted.gray_candle: #1, 576(86%)
minecraft.crafted.dispenser: #2, 369(22%)
minecraft.mined.snow_block: #2, 6191(23%)
minecraft.crafted.polished_tuff_stairs: #1, 152(19%)
minecraft.crafted.suspicious_stew: #1, 62(60%)
minecraft.dropped.grass_block: #1, 7875(17%)
minecraft.used.bamboo: #2, 4406(21%)
minecraft.used.stripped_dark_oak_wood: #2, 742(27%)
minecraft.mined.bamboo_mosaic: #1, 110(34%)
minecraft.used.andesite_wall: #1, 1504(23%)
minecraft.crafted.light_gray_candle: #1, 608(82%)
minecraft.mined.white_concrete: #2, 19218(20%)
minecraft.picked_up.bamboo_trapdoor: #1, 502(18%)
minecraft.crafted.emerald_block: #2, 6856(25%)
minecraft.dropped.tuff_stairs: #1, 50(79%)
minecraft.dropped.bamboo_stairs: #1, 92(65%)
minecraft.crafted.orange_candle: #1, 640(98%)
minecraft.crafted.lime_candle: #1, 576(97%)
minecraft.crafted.lime_dye: #2, 3558(23%)
minecraft.dropped.white_carpet: #2, 172(30%)
minecraft.used.coarse_dirt: #2, 16044(19%)
minecraft.dropped.red_dye: #1, 170(18%)
minecraft.picked_up.small_dripleaf: #1, 99(35%)
minecraft.mined.spruce_sapling: #1, 96(16%)
minecraft.crafted.green_candle: #1, 1013(93%)
minecraft.mined.weathered_copper: #2, 952(25%)
minecraft.crafted.diamond_sword: #1, 25(15%)
minecraft.mined.andesite_wall: #2, 194(24%)
minecraft.used.cyan_banner: #1, 45(28%)
minecraft.used.gray_banner: #1, 66(26%)
minecraft.dropped.spruce_leaves: #2, 1575(24%)
minecraft.crafted.jungle_stairs: #2, 680(22%)
minecraft.picked_up.exposed_cut_copper_stairs: #1, 148(60%)
minecraft.mined.exposed_cut_copper_stairs: #1, 148(59%)
minecraft.crafted.mossy_cobblestone_slab: #1, 204(19%)
minecraft.mined.blue_orchid: #1, 149(30%)
minecraft.dropped.cobbled_deepslate_slab: #1, 280(24%)
minecraft.mined.bamboo: #2, 8253(18%)
minecraft.crafted.smoker: #1, 96(17%)
minecraft.crafted.black_candle: #1, 661(70%)
minecraft.crafted.white_candle: #1, 2544(58%)
minecraft.crafted.oxidized_cut_copper: #1, 224(20%)
minecraft.mined.jungle_sapling: #1, 36(23%)
minecraft.used.white_concrete_powder: #2, 18806(19%)
minecraft.crafted.polished_deepslate_slab: #1, 588(18%)
minecraft.crafted.oxidized_cut_copper_stairs: #1, 188(26%)
minecraft.crafted.weathered_copper_trapdoor: #1, 202(85%)
minecraft.killed.evoker: #2, 32253(27%)
minecraft.crafted.copper_door: #2, 93(29%)
minecraft.dropped.stripped_jungle_wood: #1, 65(68%)
minecraft.crafted.spruce_trapdoor: #1, 6961(14%)
minecraft.crafted.lime_banner: #1, 369(48%)
minecraft.crafted.red_candle: #1, 1147(56%)
minecraft.crafted.heavy_weighted_pressure_plate: #2, 95(21%)
minecraft.dropped.birch_slab: #1, 117(42%)
minecraft.crafted.waxed_oxidized_cut_copper_stairs: #1, 152(24%)
minecraft.crafted.mud_brick_slab: #2, 834(23%)
minecraft.crafted.iron_trapdoor: #2, 1855(17%)
minecraft.picked_up.bamboo_chest_raft: #1, 22(55%)
minecraft.crafted.stone_stairs: #2, 644(19%)
minecraft.dropped.warped_button: #1, 47(81%)
minecraft.dropped.nether_gold_ore: #1, 18(27%)
minecraft.mined.birch_log: #1, 6375(13%)
minecraft.used.tuff_slab: #2, 1136(19%)
minecraft.crafted.diamond_shovel: #1, 30(13%)
minecraft.mined.bookshelf: #2, 722(18%)
minecraft.picked_up.pumpkin_pie: #1, 144(21%)
minecraft.used.jungle_stairs: #2, 646(20%)
minecraft.used.bamboo_chest_raft: #1, 23(52%)
minecraft.picked_up.spider_eye: #2, 9250(16%)
minecraft.dropped.netherite_hoe: #1, 5(28%)
minecraft.dropped.muddy_mangrove_roots: #1, 77(25%)
minecraft.mined.tuff_wall: #1, 51(22%)
minecraft.crafted.chiseled_quartz_block: #1, 42(51%)
minecraft.dropped.chainmail_leggings: #1, 15(17%)
minecraft.mined.leaf_litter: #2, 335(19%)
minecraft.crafted.dark_oak_door: #2, 72(22%)
minecraft.dropped.waxed_oxidized_copper_trapdoor: #1, 15(75%)
minecraft.crafted.jungle_hanging_sign: #1, 54(33%)
minecraft.crafted.magenta_candle: #1, 449(99%)
minecraft.mined.tripwire: #2, 274(15%)
minecraft.mined.andesite_stairs: #2, 69(21%)
minecraft.dropped.oak_stairs: #1, 108(28%)
minecraft.dropped.black_stained_glass_pane: #1, 41(35%)
minecraft.mined.fletching_table: #1, 25(31%)
minecraft.crafted.smooth_red_sandstone_stairs: #1, 96(40%)
minecraft.dropped.cherry_button: #1, 51(93%)
minecraft.picked_up.suspicious_stew: #1, 20(56%)
minecraft.used.copper_door: #2, 69(25%)
minecraft.dropped.oak_leaves: #2, 1230(16%)
minecraft.crafted.bamboo_block: #2, 6139(16%)
minecraft.used.stripped_spruce_wood: #2, 599(21%)
minecraft.crafted.waxed_oxidized_cut_copper_slab: #1, 156(21%)
minecraft.picked_up.cyan_banner: #1, 19(22%)
minecraft.crafted.light_gray_shulker_box: #2, 69(18%)
minecraft.used.stripped_oak_wood: #2, 654(26%)
minecraft.picked_up.andesite_stairs: #2, 123(19%)
minecraft.picked_up.saddle: #2, 115(13%)
minecraft.mined.cyan_wall_banner: #1, 18(33%)
minecraft.dropped.heavy_weighted_pressure_plate: #1, 13(26%)
minecraft.crafted.dark_oak_fence: #2, 1125(15%)
minecraft.picked_up.jungle_stairs: #2, 190(17%)
minecraft.picked_up.andesite_wall: #2, 228(18%)
minecraft.crafted.stone_slab: #2, 4830(14%)
minecraft.mined.spruce_trapdoor: #2, 1512(14%)
minecraft.crafted.polished_diorite_stairs: #1, 46(25%)
minecraft.crafted.mud_brick_wall: #2, 564(20%)
minecraft.dropped.leaf_litter: #1, 52(21%)
minecraft.dropped.peony: #2, 66(18%)
minecraft.used.waxed_oxidized_copper_door: #1, 15(50%)
minecraft.crafted.waxed_oxidized_copper_trapdoor: #1, 254(36%)
minecraft.used.big_dripleaf: #2, 350(27%)
minecraft.dropped.smithing_table: #1, 6(35%)
