stat, rank, value, (percentage) 
minecraft.used.crimson_slab: #1, 2139(65%)
minecraft.mined.deepslate_tiles: #2, 4592(35%)
minecraft.mined.light_blue_concrete_powder: #1, 248(56%)
minecraft.dropped.poppy: #2, 18089(38%)
minecraft.crafted.redstone_block: #1, 10624(31%)
minecraft.picked_up.red_dye: #1, 506(30%)
minecraft.used.cobbled_deepslate: #1, 29717(31%)
minecraft.custom.open_enderchest: #1, 23975(20%)
minecraft.mined.birch_wall_sign: #1, 127(45%)
minecraft.used.writable_book: #1, 1998(25%)
minecraft.used.slime_block: #1, 4432(32%)
minecraft.used.leather_chestplate: #1, 55(25%)
minecraft.picked_up.large_amethyst_bud: #1, 1228(84%)
minecraft.used.cherry_log: #1, 2415(38%)
minecraft.killed.chicken: #1, 1734(30%)
minecraft.custom.interact_with_brewingstand: #1, 4461(31%)
minecraft.dropped.oak_trapdoor: #1, 114(39%)
minecraft.used.calibrated_sculk_sensor: #1, 236(46%)
minecraft.mined.cobbled_deepslate_stairs: #1, 355(35%)
minecraft.mined.honeycomb_block: #1, 1005(92%)
minecraft.picked_up.fire_charge: #1, 1072(41%)
minecraft.used.raw_gold_block: #1, 2237(81%)
minecraft.mined.dispenser: #1, 546(29%)
minecraft.picked_up.chiseled_tuff: #1, 634(33%)
minecraft.mined.deepslate_redstone_ore: #1, 15531(29%)
minecraft.used.honey_block: #1, 5114(31%)
minecraft.used.pale_oak_log: #1, 3864(34%)
minecraft.crafted.orange_stained_glass: #1, 10480(42%)
minecraft.dropped.chiseled_tuff: #1, 122(55%)
minecraft.crafted.written_book: #1, 183(60%)
minecraft.mined.quartz_pillar: #1, 232(48%)
minecraft.dropped.iron_chestplate: #1, 48(31%)
minecraft.custom.inspect_dispenser: #1, 7771(26%)
minecraft.used.egg: #1, 10519(25%)
minecraft.picked_up.medium_amethyst_bud: #1, 1355(79%)
minecraft.used.crimson_nylium: #1, 1108(42%)
minecraft.dropped.azure_bluet: #1, 423(32%)
minecraft.dropped.filled_map: #1, 839(28%)
minecraft.picked_up.birch_sign: #1, 265(29%)
minecraft.mined.red_concrete_powder: #1, 220(71%)
minecraft.dropped.firework_rocket: #1, 8225(22%)
minecraft.used.sculk_vein: #1, 49641(100%)
minecraft.used.ender_chest: #1, 4645(26%)
minecraft.picked_up.polished_deepslate: #1, 1767(30%)
minecraft.picked_up.cobbled_deepslate: #1, 224755(28%)
minecraft.picked_up.cornflower: #2, 5098(29%)
minecraft.picked_up.orange_banner: #1, 65(43%)
minecraft.crafted.polished_deepslate_stairs: #1, 472(36%)
minecraft.mined.chiseled_deepslate: #1, 305(38%)
minecraft.picked_up.peony: #1, 1513(25%)
minecraft.crafted.firework_rocket: #1, 115680(31%)
minecraft.mined.deepslate: #1, 218523(28%)
minecraft.picked_up.chicken: #1, 2407(26%)
minecraft.crafted.chiseled_tuff: #1, 213(36%)
minecraft.mined.waxed_oxidized_cut_copper_stairs: #1, 397(38%)
minecraft.mined.ender_chest: #1, 4632(26%)
minecraft.mined.cobblestone_wall: #1, 277(36%)
minecraft.used.cyan_dye: #1, 141(43%)
minecraft.used.polished_deepslate: #1, 7896(31%)
minecraft.mined.spawner: #1, 73(52%)
minecraft.picked_up.cocoa_beans: #1, 10849(27%)
minecraft.used.red_concrete: #1, 4351(35%)
minecraft.mined.sculk_catalyst: #1, 501(42%)
minecraft.crafted.yellow_stained_glass: #1, 12144(48%)
minecraft.dropped.polished_tuff_wall: #1, 181(51%)
minecraft.used.orange_banner: #1, 128(41%)
minecraft.used.leather_boots: #1, 56(23%)
minecraft.mined.raw_gold_block: #1, 127(73%)
minecraft.used.deepslate_tile_stairs: #1, 3124(30%)
minecraft.picked_up.birch_button: #1, 67(33%)
minecraft.mined.stone_stairs: #1, 471(26%)
minecraft.used.twisting_vines: #1, 482(59%)
minecraft.used.netherite_boots: #1, 164(49%)
minecraft.mined.twisting_vines_plant: #1, 154(43%)
minecraft.used.flint_and_steel: #1, 1908(25%)
minecraft.used.dead_bush: #1, 431(36%)
minecraft.used.waxed_copper_grate: #1, 1892(40%)
minecraft.dropped.flower_pot: #1, 116(40%)
minecraft.used.netherite_helmet: #1, 157(58%)
minecraft.custom.fly_one_cm: #1, 286462092(11%)
minecraft.used.netherite_leggings: #1, 158(48%)
minecraft.picked_up.gray_concrete: #1, 8298(27%)
minecraft.crafted.tuff_bricks: #1, 4441(30%)
minecraft.custom.interact_with_loom: #1, 595(20%)
minecraft.picked_up.crimson_fence: #1, 130(52%)
minecraft.used.dispenser: #1, 1277(25%)
minecraft.picked_up.azure_bluet: #2, 4720(30%)
minecraft.picked_up.sea_lantern: #1, 494(31%)
minecraft.picked_up.deepslate_tiles: #2, 4732(29%)
minecraft.picked_up.dark_oak_button: #1, 249(52%)
minecraft.picked_up.bookshelf: #1, 506(29%)
minecraft.crafted.firework_star: #1, 29952(88%)
minecraft.killed_by.slime: #1, 103(20%)
minecraft.used.red_stained_glass: #1, 5730(44%)
minecraft.picked_up.sculk_shrieker: #1, 242(38%)
minecraft.mined.orange_wall_banner: #1, 57(61%)
minecraft.mined.polished_deepslate_stairs: #1, 461(30%)
minecraft.crafted.warped_stairs: #1, 884(36%)
minecraft.used.polished_tuff_wall: #1, 3227(27%)
minecraft.mined.polished_tuff_wall: #1, 417(27%)
minecraft.mined.sculk_shrieker: #1, 233(35%)
minecraft.killed.bogged: #1, 1155(37%)
minecraft.mined.crafting_table: #1, 1548(21%)
minecraft.used.mangrove_pressure_plate: #1, 110(54%)
minecraft.crafted.smooth_quartz_slab: #1, 946(31%)
minecraft.mined.anvil: #1, 220(23%)
minecraft.mined.cracked_deepslate_tiles: #1, 268(66%)
minecraft.crafted.red_dye: #2, 17412(28%)
minecraft.crafted.bundle: #1, 231(42%)
minecraft.used.cocoa_beans: #2, 7017(28%)
minecraft.custom.play_noteblock: #1, 1131(21%)
minecraft.crafted.fire_charge: #1, 18437(96%)
minecraft.picked_up.crafting_table: #1, 1593(20%)
minecraft.used.glass_pane: #1, 894(25%)
minecraft.used.trial_key: #1, 244(27%)
minecraft.crafted.red_stained_glass: #1, 7000(32%)
minecraft.picked_up.cobblestone_wall: #1, 327(28%)
minecraft.crafted.honeycomb_block: #1, 12808(52%)
minecraft.picked_up.ender_chest: #1, 4686(21%)
minecraft.killed.evoker: #1, 41549(35%)
minecraft.mined.andesite_wall: #1, 236(30%)
minecraft.mined.oak_hanging_sign: #1, 36(71%)
minecraft.used.tripwire_hook: #1, 163(25%)
minecraft.custom.open_barrel: #1, 37771(14%)
minecraft.picked_up.waxed_oxidized_cut_copper_stairs: #1, 406(31%)
minecraft.used.crafting_table: #1, 1618(19%)
minecraft.killed.turtle: #1, 142(46%)
minecraft.crafted.orange_wool: #1, 819(29%)
minecraft.dropped.big_dripleaf: #1, 87(42%)
minecraft.crafted.writable_book: #1, 308(23%)
minecraft.crafted.blue_wool: #1, 316(37%)
minecraft.custom.fall_one_cm: #1, 50450346(14%)
minecraft.picked_up.oak_fence_gate: #1, 107(26%)
minecraft.used.cobbled_deepslate_stairs: #1, 1645(27%)
minecraft.picked_up.lapis_block: #1, 1079(29%)
minecraft.picked_up.chiseled_deepslate: #1, 305(32%)
minecraft.crafted.tuff_brick_slab: #1, 638(26%)
minecraft.mined.oak_wall_hanging_sign: #1, 47(68%)
minecraft.mined.gray_shulker_box: #1, 1284(23%)
minecraft.mined.decorated_pot: #1, 1275(22%)
minecraft.custom.happy_ghast_one_cm: #1, 4646283(19%)
minecraft.crafted.mangrove_pressure_plate: #1, 99(60%)
minecraft.used.gray_shulker_box: #1, 1286(22%)
minecraft.picked_up.pale_moss_block: #1, 5568(27%)
minecraft.mined.sea_lantern: #2, 439(33%)
minecraft.used.poppy: #2, 3127(30%)
minecraft.dropped.waxed_cut_copper: #1, 66(76%)
minecraft.crafted.soul_lantern: #1, 1146(33%)
minecraft.used.powder_snow_bucket: #1, 909(31%)
minecraft.picked_up.gray_shulker_box: #1, 1299(22%)
minecraft.mined.crimson_slab: #1, 139(48%)
minecraft.mined.crimson_fence: #1, 125(66%)
minecraft.used.end_stone_brick_stairs: #1, 79(65%)
minecraft.mined.cyan_terracotta: #1, 1870(24%)
minecraft.used.warped_stairs: #1, 875(32%)
minecraft.mined.pale_hanging_moss: #1, 716(29%)
minecraft.custom.interact_with_anvil: #1, 2443(18%)
minecraft.mined.glowstone: #1, 1200(21%)
minecraft.dropped.paper: #1, 862(20%)
minecraft.broken.brush: #1, 93(85%)
minecraft.custom.sneak_time: #1, 11148127(9%)
minecraft.custom.jump: #1, 1340088(11%)
minecraft.used.crimson_roots: #1, 179(32%)
minecraft.custom.interact_with_smithing_table: #1, 254(19%)
minecraft.used.warped_wart_block: #1, 619(27%)
minecraft.used.shulker_box: #1, 12404(15%)
minecraft.crafted.lapis_lazuli: #1, 4410(21%)
minecraft.used.shield: #1, 1179(22%)
minecraft.mined.green_shulker_box: #1, 810(20%)
minecraft.custom.pot_flower: #1, 377(19%)
minecraft.used.waxed_oxidized_chiseled_copper: #1, 569(55%)
minecraft.picked_up.green_shulker_box: #1, 813(20%)
minecraft.dropped.oak_fence_gate: #1, 71(62%)
minecraft.mined.waxed_oxidized_copper: #1, 3455(22%)
minecraft.mined.cobblestone: #1, 10289(19%)
minecraft.dropped.iron_axe: #2, 254(30%)
minecraft.killed.zombie_villager: #1, 53(19%)
minecraft.mined.black_concrete_powder: #2, 1892(35%)
minecraft.crafted.amethyst_block: #1, 4996(98%)
minecraft.used.redstone_lamp: #1, 499(20%)
minecraft.mined.yellow_stained_glass: #1, 254(41%)
minecraft.custom.swim_one_cm: #1, 21901316(12%)
minecraft.custom.damage_resisted: #2, 61851(15%)
minecraft.mined.gray_concrete: #1, 8302(21%)
minecraft.used.damaged_anvil: #1, 41(24%)
minecraft.picked_up.waxed_oxidized_copper: #1, 3517(22%)
minecraft.used.green_shulker_box: #1, 811(19%)
minecraft.crafted.deepslate_tiles: #1, 1675(30%)
minecraft.picked_up.totem_of_undying: #2, 182(22%)
minecraft.crafted.waxed_copper_grate: #1, 895(69%)
minecraft.custom.deaths: #2, 3385(14%)
minecraft.used.bamboo_hanging_sign: #1, 48(32%)
minecraft.picked_up.angler_pottery_sherd: #1, 32(53%)
minecraft.mined.birch_sign: #1, 31(23%)
minecraft.used.cracked_deepslate_tiles: #1, 1098(53%)
minecraft.custom.walk_one_cm: #1, 374679707(11%)
minecraft.used.trapped_chest: #1, 37(60%)
minecraft.mined.glass_pane: #1, 255(21%)
minecraft.mined.deepslate_tile_stairs: #2, 656(29%)
minecraft.used.small_amethyst_bud: #1, 1413(95%)
minecraft.crafted.orange_banner: #1, 218(43%)
minecraft.picked_up.yellow_wool: #2, 7515(25%)
minecraft.mined.bookshelf: #1, 812(20%)
minecraft.mined.gray_wool: #2, 2455(28%)
minecraft.picked_up.damaged_anvil: #1, 46(22%)
minecraft.picked_up.cracked_deepslate_tiles: #1, 320(51%)
minecraft.killed.husk: #1, 507(24%)
minecraft.used.elytra: #2, 409(16%)
minecraft.mined.damaged_anvil: #1, 43(22%)
minecraft.used.purple_stained_glass: #2, 9292(33%)
minecraft.picked_up.paper: #1, 1681(16%)
minecraft.crafted.end_stone_brick_stairs: #1, 68(65%)
minecraft.picked_up.cyan_harness: #1, 17(65%)
minecraft.picked_up.shulker_box: #1, 12423(15%)
minecraft.dropped.acacia_trapdoor: #1, 125(30%)
minecraft.mined.warped_trapdoor: #1, 146(25%)
minecraft.picked_up.filled_map: #1, 3091(17%)
minecraft.mined.shulker_box: #1, 12355(15%)
minecraft.picked_up.blaze_rod: #2, 3251(23%)
minecraft.used.waxed_oxidized_copper: #1, 1979(20%)
minecraft.crafted.raw_gold: #1, 2999(49%)
minecraft.used.honey_bottle: #2, 1618(27%)
minecraft.dropped.dark_oak_button: #1, 43(55%)
minecraft.used.large_amethyst_bud: #1, 1010(88%)
minecraft.mined.white_wool: #1, 621(18%)
minecraft.used.pale_hanging_moss: #1, 606(40%)
minecraft.picked_up.shelter_pottery_sherd: #1, 21(36%)
minecraft.picked_up.waxed_copper_grate: #1, 667(24%)
minecraft.used.golden_carrot: #2, 11985(14%)
minecraft.dropped.small_amethyst_bud: #1, 93(62%)
minecraft.picked_up.tuff_bricks: #1, 5533(17%)
minecraft.custom.total_world_time: #1, 174084700(8%)
minecraft.custom.play_time: #1, 174084700(8%)
minecraft.used.waxed_oxidized_copper_grate: #2, 917(28%)
minecraft.picked_up.breeze_rod: #1, 3165(23%)
minecraft.crafted.cobblestone_slab: #2, 3578(24%)
minecraft.dropped.sea_pickle: #1, 465(31%)
minecraft.used.splash_potion: #2, 400(21%)
minecraft.picked_up.iron_axe: #2, 105(23%)
minecraft.used.warped_hanging_sign: #1, 75(43%)
minecraft.used.red_dye: #1, 85(24%)
minecraft.mined.tuff_brick_slab: #1, 362(20%)
minecraft.mined.gray_candle: #1, 28(85%)
minecraft.mined.crimson_button: #1, 65(71%)
minecraft.killed.vex: #1, 73(25%)
minecraft.dropped.ink_sac: #1, 163(18%)
minecraft.used.bow: #1, 14068(16%)
minecraft.dropped.written_book: #1, 49(18%)
minecraft.crafted.golden_chestplate: #1, 26(35%)
minecraft.mined.light_gray_concrete_powder: #2, 524(23%)
minecraft.used.glow_ink_sac: #1, 803(15%)
minecraft.killed.pillager: #2, 275614(21%)
minecraft.dropped.diamond_chestplate: #1, 17(21%)
minecraft.used.end_stone_bricks: #2, 138(29%)
minecraft.dropped.golden_leggings: #1, 45(19%)
minecraft.picked_up.brick: #2, 4508(21%)
minecraft.picked_up.cyan_terracotta: #1, 1858(19%)
minecraft.picked_up.crossbow: #1, 219(17%)
minecraft.used.crimson_stem: #2, 784(28%)
minecraft.mined.amethyst_block: #1, 2460(17%)
minecraft.dropped.nether_sprouts: #1, 62(82%)
minecraft.used.netherite_hoe: #1, 159883(37%)
minecraft.crafted.birch_sign: #2, 300(20%)
minecraft.killed.spider: #1, 1050(16%)
minecraft.used.decorated_pot: #2, 794(19%)
minecraft.picked_up.trial_key: #1, 252(20%)
minecraft.used.light_blue_dye: #1, 36(34%)
minecraft.picked_up.lilac: #2, 1623(19%)
minecraft.crafted.tnt_minecart: #1, 132(31%)
minecraft.mined.dead_bush: #1, 1048(18%)
minecraft.dropped.iron_leggings: #1, 28(17%)
minecraft.mined.waxed_copper_grate: #1, 635(22%)
minecraft.crafted.waxed_exposed_cut_copper_slab: #1, 186(39%)
minecraft.mined.twisting_vines: #1, 75(28%)
minecraft.picked_up.tuff: #1, 50103(16%)
minecraft.dropped.copper_trapdoor: #1, 49(65%)
minecraft.mined.waxed_oxidized_chiseled_copper: #2, 98(38%)
minecraft.crafted.polished_tuff_slab: #1, 570(16%)
minecraft.crafted.iron_axe: #1, 23(17%)
minecraft.killed.vindicator: #2, 189059(26%)
minecraft.custom.raid_win: #2, 2474(30%)
minecraft.used.dragon_head: #1, 10(32%)
minecraft.picked_up.calibrated_sculk_sensor: #1, 58(19%)
minecraft.picked_up.andesite_wall: #1, 244(19%)
minecraft.picked_up.flower_pot: #1, 174(15%)
minecraft.picked_up.red_concrete: #2, 2502(23%)
minecraft.used.bamboo_block: #1, 1807(17%)
minecraft.crafted.iron_nugget: #1, 25761(15%)
minecraft.crafted.golden_boots: #1, 25(27%)
minecraft.crafted.calibrated_sculk_sensor: #2, 226(32%)
minecraft.dropped.sculk: #2, 1155(34%)
minecraft.dropped.bone: #1, 2728(15%)
minecraft.mined.budding_amethyst: #2, 93(23%)
minecraft.picked_up.crimson_button: #1, 67(63%)
minecraft.mined.red_concrete: #2, 2507(23%)
minecraft.crafted.deepslate_tile_slab: #2, 706(26%)
minecraft.used.purpur_pillar: #2, 108(30%)
minecraft.mined.calibrated_sculk_sensor: #1, 34(19%)
minecraft.killed.squid: #2, 1282(19%)
minecraft.picked_up.turtle_scute: #1, 171(62%)
minecraft.dropped.cyan_bed: #1, 6(29%)
minecraft.crafted.cartography_table: #2, 72(25%)
minecraft.used.medium_amethyst_bud: #1, 1060(92%)
minecraft.picked_up.deepslate_tile_stairs: #2, 647(22%)
minecraft.picked_up.oak_button: #1, 108(17%)
minecraft.picked_up.amethyst_block: #1, 2498(15%)
minecraft.picked_up.iron_chestplate: #1, 37(15%)
minecraft.custom.play_record: #1, 163(15%)
minecraft.used.deepslate_tile_slab: #2, 8719(20%)
minecraft.mined.shroomlight: #1, 415(15%)
minecraft.crafted.light_gray_stained_glass: #2, 8112(29%)
minecraft.used.green_dye: #1, 310(20%)
minecraft.broken.flint_and_steel: #1, 17(36%)
minecraft.dropped.tipped_arrow: #1, 407(21%)
minecraft.mined.big_dripleaf_stem: #1, 41(23%)
minecraft.picked_up.item_frame: #1, 1028(13%)
minecraft.used.glow_berries: #1, 340(17%)
minecraft.used.lodestone: #1, 305(51%)
minecraft.used.flower_pot: #1, 377(14%)
minecraft.used.goat_horn: #2, 113(30%)
minecraft.picked_up.stone_stairs: #2, 464(18%)
minecraft.dropped.waxed_copper_grate: #1, 77(22%)
minecraft.dropped.birch_fence: #1, 51(39%)
minecraft.dropped.bundle: #2, 28(19%)
minecraft.mined.orange_shulker_box: #2, 983(19%)
minecraft.used.turtle_egg: #1, 176(25%)
minecraft.used.music_disc_pigstep: #1, 9(69%)
minecraft.picked_up.dispenser: #2, 720(18%)
minecraft.picked_up.painting: #1, 668(14%)
minecraft.used.iron_block: #2, 14259(18%)
minecraft.used.painting: #1, 787(14%)
