stat, rank, value, (percentage) 
minecraft.killed.glow_squid: #3, 68(11%)
minecraft.killed.creeper: #2, 1330(6%)
minecraft.mined.copper_bulb: #3, 50(14%)
minecraft.used.pale_oak_hanging_sign: #2, 5(31%)
minecraft.custom.player_kills: #3, 106(9%)
minecraft.used.chain: #3, 1665(10%)
minecraft.mined.oak_slab: #3, 230(10%)
minecraft.crafted.polished_blackstone: #3, 1161(12%)
minecraft.used.crimson_pressure_plate: #2, 12(39%)
minecraft.picked_up.light_weighted_pressure_plate: #2, 37(19%)
minecraft.picked_up.gray_candle: #2, 25(30%)
minecraft.used.polished_blackstone_pressure_plate: #2, 34(17%)
minecraft.picked_up.nether_brick: #2, 374(13%)
minecraft.used.ominous_trial_key: #3, 110(15%)
minecraft.picked_up.white_shulker_box: #3, 693(9%)
minecraft.picked_up.stone_brick_stairs: #3, 523(11%)
minecraft.used.tube_coral_fan: #2, 28(15%)
minecraft.picked_up.music_disc_otherside: #3, 33(16%)
minecraft.picked_up.music_disc_relic: #2, 7(17%)
minecraft.used.cyan_terracotta: #3, 8743(11%)
minecraft.used.fire_coral_fan: #3, 39(18%)
minecraft.used.white_banner: #3, 118(10%)
minecraft.mined.stripped_oak_log: #3, 855(11%)
minecraft.used.deepslate_brick_stairs: #2, 926(7%)
minecraft.picked_up.oak_trapdoor: #3, 264(10%)
minecraft.mined.redstone_wall_torch: #3, 141(10%)
minecraft.picked_up.bell: #3, 30(12%)
minecraft.dropped.dark_oak_stairs: #2, 21(14%)
minecraft.mined.crying_obsidian: #2, 103(8%)
minecraft.crafted.stone_bricks: #3, 14572(10%)
minecraft.dropped.ward_armor_trim_smithing_template: #2, 2(29%)
minecraft.picked_up.white_concrete: #3, 5166(10%)
minecraft.crafted.glass: #3, 16640(10%)
minecraft.custom.clean_shulker_box: #2, 13(20%)
minecraft.picked_up.iron_block: #3, 5792(9%)
minecraft.used.warped_fence: #3, 321(16%)
minecraft.used.blackstone: #3, 2810(10%)
minecraft.used.magenta_candle: #2, 30(28%)
minecraft.mined.pitcher_crop: #2, 151(12%)
minecraft.picked_up.crafter: #3, 174(10%)
minecraft.mined.purple_glazed_terracotta: #2, 21(23%)
minecraft.crafted.crimson_pressure_plate: #2, 9(35%)
minecraft.picked_up.leather_helmet: #3, 26(8%)
minecraft.used.magenta_wool: #3, 202(20%)
minecraft.crafted.redstone_lamp: #3, 304(12%)
minecraft.picked_up.golden_leggings: #3, 37(10%)
minecraft.used.cake: #3, 14(15%)
minecraft.picked_up.oak_log: #3, 11199(9%)
minecraft.used.copper_trapdoor: #3, 1475(11%)
minecraft.broken.iron_axe: #3, 8(12%)
minecraft.picked_up.stone_button: #3, 275(10%)
minecraft.picked_up.cyan_concrete: #3, 373(12%)
minecraft.mined.respawn_anchor: #2, 6(17%)
minecraft.killed.piglin_brute: #3, 39(19%)
minecraft.crafted.chain: #3, 1819(9%)
minecraft.picked_up.lantern: #3, 405(9%)
minecraft.dropped.poisonous_potato: #3, 16(15%)
minecraft.mined.jungle_door: #2, 5(16%)
minecraft.crafted.baked_potato: #3, 490(14%)
minecraft.used.pink_candle: #2, 49(14%)
minecraft.used.white_shulker_box: #3, 743(8%)
minecraft.crafted.pale_oak_fence: #2, 528(8%)
minecraft.used.suspicious_stew: #2, 6(32%)
minecraft.crafted.podzol: #2, 18(32%)
minecraft.used.cyan_banner: #3, 28(17%)
minecraft.used.pitcher_pod: #2, 175(13%)
minecraft.dropped.birch_log: #3, 246(11%)
minecraft.used.big_dripleaf: #3, 226(17%)
minecraft.picked_up.white_candle: #2, 102(12%)
minecraft.picked_up.mangrove_fence: #3, 207(12%)
minecraft.picked_up.cyan_banner: #3, 16(19%)
minecraft.crafted.detector_rail: #3, 252(12%)
minecraft.used.leaf_litter: #2, 733(6%)
minecraft.crafted.lantern: #3, 711(9%)
minecraft.picked_up.waxed_chiseled_copper: #3, 81(12%)
minecraft.mined.end_rod: #3, 540(9%)
minecraft.used.cartography_table: #3, 45(12%)
minecraft.mined.cartography_table: #3, 38(13%)
minecraft.mined.ochre_froglight: #3, 318(9%)
minecraft.picked_up.wind_charge: #3, 1483(8%)
minecraft.mined.warped_fence: #3, 72(16%)
minecraft.used.purple_candle: #2, 45(30%)
minecraft.mined.player_head: #3, 265(8%)
minecraft.crafted.blue_banner: #2, 23(11%)
minecraft.picked_up.copper_door: #2, 15(10%)
minecraft.mined.waxed_copper_bulb: #3, 146(11%)
minecraft.mined.warped_wall_sign: #2, 9(13%)
minecraft.picked_up.blue_banner: #2, 5(19%)
minecraft.mined.cut_copper: #2, 50(9%)
minecraft.crafted.coal_block: #3, 2122(9%)
minecraft.used.music_disc_strad: #2, 4(29%)
minecraft.dropped.light_weighted_pressure_plate: #3, 20(24%)
minecraft.used.jungle_wood: #3, 1003(18%)
minecraft.used.pink_wool: #3, 240(12%)
minecraft.dropped.mangrove_fence: #3, 54(21%)
minecraft.crafted.pale_oak_pressure_plate: #2, 10(19%)
minecraft.crafted.leather_chestplate: #3, 185(10%)
minecraft.dropped.stone_sword: #2, 141(5%)
minecraft.used.respawn_anchor: #2, 10(10%)
minecraft.picked_up.magenta_dye: #3, 88(8%)
minecraft.picked_up.plenty_pottery_sherd: #2, 7(28%)
minecraft.picked_up.cut_copper: #2, 50(9%)
minecraft.mined.purple_concrete_powder: #2, 8(19%)
minecraft.mined.iron_bars: #3, 356(8%)
minecraft.mined.tinted_glass: #3, 313(11%)
minecraft.picked_up.lead: #3, 637(7%)
minecraft.crafted.copper_bulb: #3, 148(12%)
minecraft.picked_up.twisting_vines: #3, 461(12%)
minecraft.custom.pig_one_cm: #4, 404317105(19%)
minecraft.picked_up.purple_bed: #3, 48(13%)
minecraft.used.waxed_weathered_chiseled_copper: #2, 124(12%)
minecraft.used.cyan_bed: #3, 128(10%)
minecraft.crafted.dune_armor_trim_smithing_template: #2, 10(22%)
minecraft.picked_up.stonecutter: #3, 131(8%)
minecraft.mined.purple_bed: #3, 45(13%)
minecraft.picked_up.light_gray_concrete_powder: #3, 664(9%)
minecraft.used.shears: #3, 18810(8%)
minecraft.picked_up.waxed_oxidized_copper_door: #2, 5(12%)
minecraft.mined.stonecutter: #3, 126(8%)
minecraft.dropped.magenta_stained_glass_pane: #2, 9(18%)
minecraft.dropped.gray_concrete_powder: #2, 195(15%)
minecraft.picked_up.tuff_brick_slab: #3, 378(9%)
minecraft.mined.bamboo_wall_hanging_sign: #2, 4(21%)
minecraft.mined.blue_wall_banner: #2, 5(26%)
minecraft.mined.torchflower_crop: #2, 8(35%)
minecraft.mined.tuff_wall: #3, 34(14%)
minecraft.picked_up.golden_helmet: #3, 32(8%)
minecraft.used.smooth_quartz_stairs: #4, 809(13%)
minecraft.crafted.jungle_wood: #3, 996(17%)
minecraft.picked_up.light_gray_bed: #2, 92(6%)
minecraft.mined.powered_rail: #3, 564(8%)
minecraft.dropped.dune_armor_trim_smithing_template: #2, 2(50%)
minecraft.picked_up.eye_armor_trim_smithing_template: #2, 1(50%)
minecraft.mined.potted_oxeye_daisy: #2, 1(50%)
minecraft.dropped.netherite_shovel: #3, 6(14%)
minecraft.dropped.exposed_cut_copper: #2, 1(50%)
minecraft.crafted.black_harness: #2, 1(50%)
minecraft.dropped.mangrove_fence_gate: #2, 2(25%)
minecraft.dropped.music_disc_11: #2, 1(50%)
minecraft.crafted.mojang_banner_pattern: #2, 1(25%)
minecraft.crafted.lily_pad: #2, 20(50%)
minecraft.dropped.trapped_chest: #2, 1(50%)
minecraft.dropped.cyan_banner: #2, 2(50%)
minecraft.used.armadillo_scute: #2, 1(33%)
minecraft.used.ink_sac: #2, 2(33%)
minecraft.dropped.golden_pickaxe: #2, 2(33%)
minecraft.used.music_disc_11: #2, 1(33%)
minecraft.crafted.lime_bundle: #2, 1(33%)
minecraft.dropped.sculk_shrieker: #2, 6(33%)
minecraft.used.rabbit: #2, 2(33%)
minecraft.dropped.slime_ball: #3, 1246(9%)
minecraft.crafted.cyan_terracotta: #3, 7816(9%)
minecraft.used.lava_bucket: #3, 396(8%)
minecraft.mined.orange_stained_glass: #3, 169(14%)
minecraft.used.lever: #3, 745(8%)
minecraft.picked_up.book: #4, 1371(13%)
minecraft.used.orange_candle: #2, 42(25%)
minecraft.killed.skeleton: #3, 4934(8%)
minecraft.custom.interact_with_cartography_table: #3, 57(11%)
minecraft.mined.light_weighted_pressure_plate: #2, 19(24%)
minecraft.used.pale_oak_fence: #2, 387(7%)
minecraft.killed.shulker: #3, 405(9%)
minecraft.crafted.tide_armor_trim_smithing_template: #2, 18(32%)
minecraft.dropped.diamond_axe: #3, 22(9%)
minecraft.used.ochre_froglight: #3, 1994(8%)
minecraft.picked_up.soul_lantern: #3, 207(13%)
minecraft.picked_up.waxed_cut_copper_slab: #3, 45(12%)
minecraft.used.light_weighted_pressure_plate: #2, 22(16%)
minecraft.crafted.tropical_fish_bucket: #2, 5(31%)
minecraft.picked_up.cartography_table: #3, 38(11%)
minecraft.dropped.chainmail_helmet: #3, 10(14%)
minecraft.crafted.pale_oak_stairs: #3, 204(14%)
minecraft.dropped.cactus_flower: #2, 10(45%)
minecraft.picked_up.golden_boots: #3, 51(8%)
minecraft.mined.mangrove_wall_sign: #3, 16(13%)
minecraft.dropped.sniffer_egg: #2, 3(30%)
minecraft.mined.purple_candle: #2, 3(30%)
minecraft.used.cyan_candle: #3, 74(14%)
minecraft.mined.chain: #3, 324(8%)
minecraft.picked_up.gunpowder: #2, 5968(3%)
minecraft.picked_up.pale_oak_sapling: #3, 719(9%)
minecraft.picked_up.raw_iron_block: #3, 260(10%)
minecraft.crafted.note_block: #3, 442(8%)
minecraft.mined.acacia_fence: #3, 40(10%)
minecraft.picked_up.gray_wool: #3, 2421(8%)
minecraft.picked_up.copper_bulb: #3, 51(10%)
minecraft.picked_up.warped_sign: #3, 33(15%)
minecraft.used.creaking_heart: #3, 172(17%)
minecraft.used.brain_coral: #3, 22(18%)
minecraft.picked_up.waxed_cut_copper: #2, 94(6%)
minecraft.mined.resin_bricks: #2, 8(12%)
minecraft.used.netherrack: #3, 4892(7%)
minecraft.picked_up.heart_of_the_sea: #3, 8(23%)
minecraft.mined.coal_block: #2, 88(6%)
minecraft.picked_up.magenta_concrete: #3, 558(12%)
minecraft.mined.white_candle: #2, 62(9%)
minecraft.crafted.light_gray_harness: #2, 2(40%)
minecraft.picked_up.bamboo_hanging_sign: #3, 18(16%)
minecraft.picked_up.suspicious_sand: #2, 2(40%)
minecraft.dropped.bamboo_slab: #3, 262(14%)
minecraft.used.copper_door: #3, 33(12%)
minecraft.crafted.blackstone_stairs: #3, 32(13%)
minecraft.dropped.stripped_jungle_wood: #2, 15(16%)
minecraft.mined.black_banner: #3, 16(20%)
minecraft.crafted.white_bed: #3, 47(7%)
minecraft.dropped.trident: #3, 14(10%)
minecraft.mined.waxed_oxidized_cut_copper_slab: #3, 59(14%)
minecraft.picked_up.dark_oak_door: #3, 16(10%)
minecraft.picked_up.music_disc_creator_music_box: #3, 14(13%)
minecraft.used.mutton: #2, 12(15%)
minecraft.custom.target_hit: #3, 420(7%)
minecraft.crafted.light_gray_bed: #2, 14(7%)
minecraft.used.exposed_chiseled_copper: #2, 2(25%)
minecraft.picked_up.warped_fungus_on_a_stick: #2, 1(25%)
minecraft.crafted.dispenser: #3, 122(7%)
minecraft.used.nether_brick_fence: #3, 91(12%)
minecraft.picked_up.brown_banner: #3, 46(13%)
minecraft.used.brown_banner: #3, 56(12%)
minecraft.used.light_gray_concrete_powder: #4, 2852(11%)
minecraft.picked_up.birch_fence_gate: #3, 72(16%)
minecraft.mined.magenta_carpet: #2, 2(18%)
minecraft.dropped.birch_sapling: #3, 61(9%)
minecraft.used.purple_concrete: #3, 515(17%)
minecraft.dropped.polished_granite_slab: #2, 5(36%)
minecraft.dropped.acacia_wood: #2, 7(14%)
minecraft.used.blue_stained_glass_pane: #2, 25(8%)
minecraft.crafted.waxed_oxidized_copper_grate: #3, 64(14%)
minecraft.crafted.resin_brick_slab: #2, 30(18%)
minecraft.crafted.end_stone_bricks: #3, 164(19%)
minecraft.killed.trader_llama: #3, 28(7%)
minecraft.crafted.heavy_weighted_pressure_plate: #3, 37(8%)
minecraft.mined.light_blue_banner: #3, 8(21%)
minecraft.used.closed_eyeblossom: #3, 13(13%)
minecraft.picked_up.sentry_armor_trim_smithing_template: #2, 2(22%)
minecraft.dropped.coast_armor_trim_smithing_template: #2, 2(33%)
minecraft.used.light_gray_dye: #3, 12(17%)
minecraft.mined.end_stone: #4, 1717(11%)
minecraft.mined.oxidized_copper_door: #3, 6(13%)
minecraft.mined.crimson_stairs: #2, 80(9%)
minecraft.mined.deepslate_tile_wall: #3, 88(9%)
minecraft.mined.magenta_concrete: #3, 561(11%)
minecraft.used.dried_ghast: #3, 171(21%)
minecraft.crafted.waxed_weathered_cut_copper_slab: #3, 192(18%)
minecraft.dropped.gunpowder: #3, 1935(6%)
minecraft.picked_up.golden_chestplate: #3, 31(7%)
minecraft.mined.potted_warped_roots: #2, 2(12%)
minecraft.crafted.polished_deepslate: #4, 4628(12%)
minecraft.crafted.blue_carpet: #3, 806(16%)
minecraft.dropped.red_concrete: #2, 16(12%)
minecraft.crafted.lime_wool: #3, 403(12%)
minecraft.picked_up.torchflower: #3, 132(6%)
minecraft.mined.dark_prismarine_stairs: #3, 25(16%)
minecraft.dropped.ochre_froglight: #2, 658(5%)
minecraft.crafted.enchanted_book: #3, 334(7%)
minecraft.picked_up.blue_stained_glass_pane: #2, 7(9%)
minecraft.used.tnt: #4, 1674(10%)
minecraft.mined.suspicious_gravel: #3, 78(13%)
minecraft.used.oak_fence_gate: #4, 109(11%)
minecraft.used.gray_concrete_powder: #4, 8406(11%)
minecraft.picked_up.crimson_sign: #3, 16(12%)
minecraft.used.magenta_carpet: #2, 10(10%)
minecraft.crafted.waxed_exposed_cut_copper: #3, 96(20%)
minecraft.dropped.terracotta: #4, 223(12%)
minecraft.picked_up.blue_dye: #4, 102(10%)
minecraft.mined.chiseled_resin_bricks: #2, 6(14%)
minecraft.crafted.purpur_slab: #2, 12(14%)
minecraft.mined.warped_pressure_plate: #2, 3(19%)
minecraft.picked_up.crimson_pressure_plate: #2, 3(19%)
minecraft.used.compass: #2, 16(28%)
minecraft.mined.orange_bed: #3, 17(9%)
minecraft.crafted.deepslate_tile_wall: #3, 66(12%)
minecraft.crafted.cyan_candle: #2, 95(9%)
minecraft.used.red_bed: #3, 39(8%)
minecraft.dropped.tinted_glass: #3, 63(19%)
minecraft.used.red_candle: #2, 110(8%)
minecraft.used.smooth_quartz_slab: #4, 1289(11%)
minecraft.mined.note_block: #4, 195(11%)
minecraft.crafted.sentry_armor_trim_smithing_template: #2, 32(17%)
minecraft.picked_up.waxed_oxidized_copper_grate: #3, 142(8%)
minecraft.used.waxed_copper_bulb: #3, 199(9%)
minecraft.used.waxed_copper_block: #4, 369(13%)
minecraft.dropped.iron_helmet: #4, 20(14%)
minecraft.mined.pale_oak_wall_hanging_sign: #2, 1(25%)
minecraft.dropped.lime_candle: #2, 1(25%)
minecraft.dropped.snort_pottery_sherd: #2, 1(25%)
minecraft.picked_up.crimson_hanging_sign: #2, 2(25%)
minecraft.picked_up.brown_dye: #4, 134(10%)
minecraft.used.birch_pressure_plate: #3, 11(15%)
minecraft.mined.tnt: #3, 171(7%)
minecraft.used.repeater: #4, 2106(10%)
minecraft.dropped.acacia_stairs: #3, 27(21%)
minecraft.dropped.stone_pressure_plate: #3, 28(8%)
minecraft.picked_up.gray_stained_glass_pane: #3, 44(12%)
minecraft.picked_up.chiseled_polished_blackstone: #3, 18(11%)
minecraft.dropped.deepslate_tile_stairs: #2, 9(6%)
minecraft.mined.soul_torch: #3, 7(24%)
minecraft.crafted.purple_wool: #3, 45(12%)
minecraft.picked_up.powder_snow_bucket: #3, 41(13%)
minecraft.picked_up.quartz_block: #3, 856(6%)
minecraft.crafted.golden_pickaxe: #2, 2(22%)
minecraft.picked_up.stripped_crimson_hyphae: #2, 31(4%)
minecraft.mined.orange_concrete_powder: #2, 43(6%)
minecraft.picked_up.birch_log: #4, 5579(9%)
minecraft.crafted.waxed_weathered_cut_copper: #3, 96(13%)
minecraft.mined.red_shulker_box: #4, 1316(9%)
minecraft.crafted.tipped_arrow: #2, 24(14%)
minecraft.dropped.chiseled_polished_blackstone: #2, 6(8%)
minecraft.picked_up.birch_pressure_plate: #3, 11(14%)
minecraft.mined.pale_moss_carpet: #4, 224(10%)
minecraft.used.white_tulip: #3, 15(11%)
minecraft.used.red_glazed_terracotta: #3, 136(12%)
minecraft.mined.cactus: #4, 227(10%)
minecraft.used.turtle_helmet: #2, 1(20%)
minecraft.mined.stripped_crimson_hyphae: #2, 31(4%)
minecraft.dropped.magenta_dye: #3, 64(7%)
minecraft.crafted.pink_wool: #3, 142(9%)
minecraft.dropped.smooth_sandstone_stairs: #2, 5(13%)
minecraft.picked_up.white_dye: #4, 368(9%)
minecraft.dropped.granite_wall: #3, 36(23%)
minecraft.used.green_bundle: #2, 3(19%)
minecraft.mined.dropper: #4, 178(10%)
minecraft.used.netherite_sword: #3, 64081(11%)
minecraft.used.pufferfish_bucket: #3, 16(10%)
minecraft.used.lime_carpet: #3, 731(12%)
minecraft.used.deepslate_gold_ore: #3, 397(7%)
minecraft.crafted.sticky_piston: #4, 769(10%)
minecraft.crafted.cyan_banner: #3, 31(10%)
minecraft.used.mushroom_stew: #2, 2(17%)
minecraft.crafted.bordure_indented_banner_pattern: #3, 2(22%)
minecraft.crafted.honey_bottle: #2, 708(16%)
minecraft.crafted.tuff_slab: #3, 236(7%)
minecraft.dropped.clay_ball: #3, 388(8%)
minecraft.used.bee_nest: #3, 40(9%)
minecraft.used.small_dripleaf: #3, 29(12%)
minecraft.picked_up.chiseled_resin_bricks: #2, 6(8%)
minecraft.crafted.smooth_red_sandstone_slab: #3, 48(13%)
minecraft.picked_up.comparator: #4, 443(9%)
minecraft.crafted.light_blue_dye: #4, 2557(9%)
minecraft.picked_up.slime_ball: #4, 3276(9%)
minecraft.mined.pale_oak_sapling: #3, 22(9%)
minecraft.picked_up.mushroom_stew: #2, 1(14%)
minecraft.crafted.decorated_pot: #3, 575(6%)
minecraft.used.red_sand: #3, 274(6%)
minecraft.dropped.diamond_boots: #4, 18(8%)
minecraft.used.gravel: #3, 6250(5%)
minecraft.mined.iron_trapdoor: #4, 126(9%)
minecraft.used.nether_sprouts: #3, 274(16%)
minecraft.used.cobblestone_wall: #4, 399(11%)
minecraft.used.filled_map: #3, 15(18%)
minecraft.picked_up.cherry_sapling: #3, 546(5%)
minecraft.mined.crimson_trapdoor: #3, 30(10%)
minecraft.picked_up.mace: #4, 26(9%)
minecraft.custom.mob_kills: #4, 676556(7%)
minecraft.mined.bamboo_fence: #4, 148(12%)
minecraft.picked_up.decorated_pot: #4, 228(9%)
minecraft.dropped.bell: #3, 8(21%)
minecraft.mined.quartz_stairs: #4, 256(11%)
minecraft.mined.kelp: #4, 401(9%)
minecraft.dropped.honeycomb_block: #2, 66(4%)
minecraft.mined.light_blue_wool: #4, 156(13%)
minecraft.used.warped_planks: #4, 1364(12%)
minecraft.picked_up.end_stone: #4, 1722(9%)
minecraft.used.mangrove_sign: #4, 131(12%)
minecraft.crafted.andesite_stairs: #3, 82(9%)
minecraft.crafted.quartz_stairs: #3, 124(8%)
minecraft.crafted.dark_prismarine_stairs: #3, 37(15%)
minecraft.picked_up.pearlescent_froglight: #4, 3012(10%)
minecraft.picked_up.pale_oak_sign: #3, 16(7%)
minecraft.mined.infested_stone_bricks: #2, 21(3%)
minecraft.picked_up.nether_sprouts: #3, 458(12%)
minecraft.crafted.mangrove_propagule: #3, 8(20%)
minecraft.picked_up.pale_hanging_moss: #4, 219(13%)
minecraft.used.cherry_sapling: #4, 215(11%)
minecraft.crafted.netherite_upgrade_smithing_template: #4, 70(11%)
minecraft.picked_up.big_dripleaf: #4, 422(11%)
minecraft.crafted.leather: #2, 2(8%)
minecraft.crafted.firefly_bush: #2, 1(8%)
minecraft.used.polished_andesite: #4, 1755(9%)
minecraft.dropped.pink_bed: #2, 2(7%)
minecraft.used.netherite_pickaxe: #4, 643304(10%)
minecraft.picked_up.conduit: #3, 4(14%)
minecraft.picked_up.golden_axe: #3, 3(14%)
minecraft.mined.cracked_stone_bricks: #3, 208(6%)
minecraft.dropped.cut_copper_slab: #2, 5(5%)
minecraft.crafted.copper_door: #3, 24(8%)
minecraft.used.cobblestone: #4, 8066(9%)
minecraft.mined.jungle_button: #3, 12(14%)
minecraft.crafted.jukebox: #4, 26(10%)
minecraft.dropped.gray_carpet: #3, 42(9%)
minecraft.dropped.light_gray_dye: #4, 32(12%)
minecraft.crafted.stone_sword: #4, 35(9%)
minecraft.picked_up.raw_copper: #4, 45571(8%)
minecraft.dropped.lodestone: #2, 5(6%)
minecraft.killed.axolotl: #2, 2(3%)
minecraft.used.gray_dye: #3, 4(11%)
minecraft.used.brush: #3, 169(8%)
minecraft.picked_up.polished_basalt: #4, 209(11%)
minecraft.dropped.amethyst_cluster: #3, 6(12%)
minecraft.mined.dead_fire_coral: #2, 1(5%)
minecraft.picked_up.dead_fire_coral: #2, 1(5%)
minecraft.custom.fill_cauldron: #4, 79(8%)
minecraft.picked_up.dune_armor_trim_smithing_template: #3, 2(18%)
minecraft.mined.potted_torchflower: #3, 2(18%)
minecraft.crafted.stone_brick_stairs: #4, 295(10%)
minecraft.used.yellow_banner: #4, 30(15%)
minecraft.dropped.bamboo_pressure_plate: #3, 22(22%)
minecraft.crafted.andesite_wall: #3, 191(6%)
minecraft.crafted.spruce_trapdoor: #4, 4256(8%)
minecraft.used.waxed_exposed_chiseled_copper: #3, 78(8%)
minecraft.used.glow_lichen: #4, 2991(8%)
minecraft.dropped.polished_blackstone_brick_wall: #2, 1(3%)
minecraft.used.crafter: #4, 251(9%)
minecraft.crafted.chiseled_polished_blackstone: #3, 12(10%)
minecraft.mined.purple_concrete: #4, 532(16%)
minecraft.crafted.crimson_button: #3, 5(15%)
minecraft.crafted.lime_candle: #2, 8(1%)
minecraft.used.tinted_glass: #4, 1103(11%)
minecraft.mined.white_carpet: #4, 198(10%)
minecraft.dropped.ender_eye: #3, 3(12%)
minecraft.picked_up.lingering_potion: #3, 9(17%)
minecraft.picked_up.dark_oak_hanging_sign: #3, 16(12%)
minecraft.used.acacia_sign: #4, 84(10%)
minecraft.picked_up.howl_pottery_sherd: #3, 4(13%)
minecraft.dropped.firework_star: #2, 1(2%)
minecraft.dropped.copper_grate: #2, 1(1%)
minecraft.crafted.magenta_candle: #2, 3(1%)
minecraft.used.blue_glazed_terracotta: #3, 105(20%)
minecraft.dropped.warped_fence: #3, 18(17%)
minecraft.used.blue_dye: #3, 6(11%)
minecraft.mined.light_blue_glazed_terracotta: #3, 11(17%)
minecraft.dropped.magenta_concrete: #2, 10(0%)
minecraft.used.bricks: #4, 1450(9%)
minecraft.used.lime_concrete: #4, 641(13%)
minecraft.picked_up.coal: #4, 20780(8%)
minecraft.crafted.pink_banner: #3, 32(8%)
minecraft.picked_up.cyan_bed: #4, 105(9%)
minecraft.dropped.waxed_oxidized_copper_door: #3, 2(20%)
minecraft.picked_up.soul_campfire: #3, 7(11%)
minecraft.mined.potted_dark_oak_sapling: #3, 1(25%)
minecraft.crafted.cyan_harness: #3, 3(20%)
minecraft.crafted.pink_harness: #3, 1(25%)
minecraft.picked_up.creeper_banner_pattern: #3, 1(33%)
minecraft.dropped.dark_oak_fence: #3, 28(7%)
minecraft.dropped.yellow_stained_glass_pane: #3, 32(20%)
minecraft.mined.jungle_wood: #3, 70(10%)
minecraft.picked_up.oxidized_copper_bulb: #4, 53(12%)
minecraft.used.stonecutter: #4, 130(8%)
minecraft.picked_up.lime_bed: #3, 20(6%)
minecraft.picked_up.dark_prismarine_stairs: #3, 25(10%)
minecraft.picked_up.black_concrete_powder: #4, 1939(10%)
minecraft.mined.yellow_candle: #3, 3(16%)
minecraft.dropped.dragon_head: #3, 6(11%)
minecraft.crafted.cut_copper: #4, 132(15%)
minecraft.used.deepslate_tile_wall: #3, 217(6%)
minecraft.picked_up.music_disc_chirp: #3, 7(16%)
minecraft.picked_up.baked_potato: #4, 773(7%)
minecraft.crafted.crimson_hyphae: #3, 69(7%)
minecraft.used.purple_glazed_terracotta: #3, 41(15%)
minecraft.dropped.dark_oak_slab: #3, 66(8%)
minecraft.mined.spruce_sapling: #4, 49(8%)
minecraft.dropped.diamond_helmet: #4, 7(8%)
minecraft.crafted.leather_leggings: #4, 141(10%)
minecraft.mined.cyan_bed: #4, 98(8%)
minecraft.picked_up.leather_chestplate: #4, 40(6%)
minecraft.crafted.leather_boots: #4, 123(9%)
minecraft.used.yellow_candle: #3, 43(8%)
minecraft.dropped.amethyst_block: #3, 43(7%)
minecraft.picked_up.host_armor_trim_smithing_template: #3, 3(13%)
minecraft.crafted.bamboo_mosaic_slab: #3, 66(8%)
minecraft.killed.ghast: #4, 88(8%)
minecraft.used.oak_slab: #4, 659(8%)
minecraft.picked_up.archer_pottery_sherd: #3, 7(23%)
minecraft.dropped.blue_shulker_box: #3, 3(10%)
minecraft.crafted.acacia_sign: #4, 81(9%)
minecraft.used.spruce_trapdoor: #4, 4424(8%)
minecraft.mined.lightning_rod: #4, 141(9%)
minecraft.picked_up.light_gray_stained_glass_pane: #4, 116(10%)
minecraft.crafted.golden_apple: #3, 165(6%)
minecraft.used.coal_ore: #4, 3902(8%)
minecraft.dropped.lapis_lazuli: #4, 387(9%)
minecraft.picked_up.oxidized_cut_copper_stairs: #3, 76(7%)
minecraft.dropped.black_concrete_powder: #3, 47(13%)
minecraft.used.gray_wool: #4, 2102(9%)
minecraft.used.raw_iron_block: #3, 138(6%)
minecraft.picked_up.bow: #4, 346(7%)
minecraft.picked_up.brown_shulker_box: #4, 333(8%)
minecraft.mined.dirt_path: #4, 1593(7%)
minecraft.custom.interact_with_furnace: #4, 3453(6%)
minecraft.used.oak_sign: #4, 177(7%)
minecraft.picked_up.quartz_stairs: #4, 254(9%)
minecraft.mined.piston_head: #4, 18(9%)
minecraft.used.wildflowers: #4, 176(17%)
minecraft.used.grindstone: #4, 184(8%)
minecraft.mined.soul_campfire: #3, 5(8%)
minecraft.used.golden_boots: #3, 6(17%)
minecraft.custom.clean_armor: #3, 6(21%)
minecraft.dropped.spruce_fence_gate: #3, 10(8%)
minecraft.crafted.waxed_cut_copper: #3, 64(16%)
minecraft.picked_up.orange_stained_glass: #4, 168(11%)
minecraft.dropped.warped_trapdoor: #3, 18(8%)
minecraft.used.azure_bluet: #3, 46(5%)
minecraft.crafted.redstone: #4, 24712(7%)
minecraft.mined.light_gray_bed: #3, 86(6%)
minecraft.mined.blue_bed: #3, 32(5%)
minecraft.picked_up.polished_tuff: #4, 910(7%)
minecraft.crafted.blue_stained_glass_pane: #3, 48(8%)
minecraft.used.poisonous_potato: #3, 1(20%)
minecraft.mined.potted_blue_orchid: #3, 2(20%)
minecraft.mined.pale_oak_pressure_plate: #3, 2(20%)
minecraft.dropped.prismarine_slab: #3, 64(20%)
minecraft.used.red_carpet: #3, 1028(4%)
minecraft.crafted.gray_dye: #4, 2640(7%)
minecraft.crafted.bell: #3, 16(11%)
minecraft.used.apple: #3, 38(4%)
minecraft.used.pale_oak_slab: #4, 254(11%)
minecraft.used.fire_coral: #3, 20(9%)
minecraft.custom.clean_banner: #3, 66(19%)
minecraft.mined.cyan_concrete: #4, 394(9%)
minecraft.crafted.mangrove_sign: #4, 120(10%)
minecraft.crafted.purple_bundle: #3, 1(25%)
minecraft.mined.potted_warped_fungus: #3, 1(25%)
minecraft.crafted.open_eyeblossom: #3, 7(25%)
minecraft.crafted.green_bundle: #3, 1(25%)
