stat, rank, value, (percentage) 
minecraft.custom.open_barrel: #33, 25(0%)
minecraft.custom.open_chest: #33, 28(0%)
minecraft.custom.sprint_one_cm: #34, 961416(0%)
minecraft.custom.aviate_one_cm: #34, 3099626(0%)
minecraft.custom.crouch_one_cm: #35, 30736(0%)
minecraft.picked_up.player_head: #35, 1(0%)
minecraft.used.cooked_beef: #36, 11(0%)
minecraft.custom.walk_one_cm: #36, 602786(0%)
minecraft.custom.fly_one_cm: #39, 1236427(0%)
minecraft.custom.walk_on_water_one_cm: #40, 15023(0%)
minecraft.custom.total_world_time: #42, 238725(0%)
minecraft.custom.play_time: #42, 238725(0%)
minecraft.custom.sneak_time: #43, 10615(0%)
minecraft.custom.leave_game: #45, 3(0%)
minecraft.custom.time_since_rest: #46, 4005(0%)
minecraft.custom.time_since_death: #47, 3989(0%)
