stat, rank, value, (percentage) 
minecraft.mined.magenta_candle: #1, 10(53%)
minecraft.crafted.magenta_terracotta: #2, 840(18%)
minecraft.picked_up.smooth_basalt: #2, 1500(13%)
minecraft.picked_up.crimson_fence: #2, 64(26%)
minecraft.dropped.spruce_wood: #2, 59(38%)
minecraft.used.music_disc_5: #1, 3(33%)
minecraft.used.salmon_bucket: #2, 79(27%)
minecraft.picked_up.black_concrete_powder: #2, 2903(15%)
minecraft.crafted.recovery_compass: #1, 4(27%)
minecraft.dropped.cyan_candle: #1, 20(91%)
minecraft.used.green_wool: #2, 1468(12%)
minecraft.dropped.dead_brain_coral_block: #1, 2(29%)
minecraft.mined.ladder: #2, 280(11%)
minecraft.used.cyan_wool: #2, 794(13%)
minecraft.used.hay_block: #2, 241(12%)
minecraft.dropped.emerald_block: #2, 448(19%)
minecraft.broken.stone_axe: #2, 15(21%)
minecraft.dropped.green_candle: #1, 5(83%)
minecraft.dropped.bubble_coral_fan: #1, 4(33%)
minecraft.mined.jungle_planks: #2, 393(11%)
minecraft.broken.wooden_axe: #1, 4(80%)
minecraft.dropped.purple_candle: #1, 4(40%)
minecraft.dropped.pink_candle: #1, 32(80%)
minecraft.picked_up.smithing_table: #3, 86(16%)
minecraft.used.lime_terracotta: #2, 1535(17%)
minecraft.used.lime_concrete_powder: #2, 1734(15%)
minecraft.mined.light_blue_concrete: #3, 3333(19%)
minecraft.crafted.waxed_oxidized_copper_grate: #2, 92(20%)
minecraft.picked_up.magenta_bed: #2, 21(30%)
minecraft.picked_up.cyan_shulker_box: #3, 567(11%)
minecraft.used.wooden_shovel: #2, 607(22%)
minecraft.picked_up.armor_stand: #2, 476(8%)
minecraft.used.birch_door: #2, 20(22%)
minecraft.used.golden_axe: #1, 35(32%)
minecraft.mined.cyan_shulker_box: #3, 550(11%)
minecraft.picked_up.diamond_horse_armor: #2, 7(23%)
minecraft.used.crimson_fungus: #2, 146(16%)
minecraft.dropped.armor_stand: #2, 39(11%)
minecraft.picked_up.pink_concrete: #3, 1833(19%)
minecraft.crafted.bookshelf: #3, 791(13%)
minecraft.picked_up.tripwire_hook: #3, 88(14%)
minecraft.crafted.mossy_stone_brick_wall: #2, 35(24%)
minecraft.used.wheat_seeds: #3, 27332(12%)
minecraft.dropped.red_terracotta: #2, 196(14%)
minecraft.used.mossy_stone_brick_wall: #2, 20(18%)
minecraft.mined.magenta_bed: #2, 21(31%)
minecraft.mined.green_wool: #3, 365(14%)
minecraft.picked_up.crimson_hyphae: #2, 37(21%)
minecraft.mined.diorite_stairs: #2, 34(19%)
minecraft.picked_up.jungle_planks: #2, 545(9%)
minecraft.crafted.pink_concrete_powder: #2, 1600(12%)
minecraft.used.pink_concrete_powder: #3, 1405(17%)
minecraft.dropped.disc_fragment_5: #1, 8(53%)
minecraft.used.white_candle: #2, 693(26%)
minecraft.used.cyan_shulker_box: #3, 557(11%)
minecraft.mined.diorite_slab: #2, 60(13%)
minecraft.picked_up.music_disc_5: #2, 4(22%)
minecraft.dropped.brewing_stand: #2, 5(20%)
minecraft.used.dead_bubble_coral_fan: #1, 1(50%)
minecraft.dropped.weathered_cut_copper: #1, 3(100%)
minecraft.dropped.magenta_candle: #1, 21(100%)
minecraft.dropped.enchanting_table: #1, 7(100%)
minecraft.mined.dead_bubble_coral_fan: #1, 1(50%)
minecraft.picked_up.dead_bubble_coral_fan: #1, 1(50%)
minecraft.used.blue_wool: #2, 453(13%)
minecraft.mined.purple_stained_glass: #2, 262(16%)
minecraft.dropped.wooden_pickaxe: #2, 4(11%)
minecraft.picked_up.resin_clump: #4, 7967(21%)
minecraft.mined.light_blue_banner: #2, 9(24%)
minecraft.used.stone_shovel: #3, 4169(13%)
minecraft.crafted.stone_axe: #3, 17(11%)
minecraft.crafted.resin_brick: #2, 63(31%)
minecraft.crafted.smoker: #3, 78(14%)
minecraft.picked_up.daylight_detector: #3, 69(19%)
minecraft.mined.pink_concrete_powder: #2, 39(20%)
minecraft.picked_up.orange_carpet: #3, 152(16%)
minecraft.used.magenta_bed: #2, 21(29%)
minecraft.mined.stripped_cherry_wood: #2, 70(22%)
minecraft.mined.budding_amethyst: #3, 53(13%)
minecraft.used.brown_terracotta: #3, 533(15%)
minecraft.mined.crimson_stem: #3, 1285(13%)
minecraft.crafted.emerald: #3, 57304(11%)
minecraft.picked_up.stripped_cherry_wood: #2, 71(21%)
minecraft.picked_up.pink_candle: #2, 32(19%)
minecraft.picked_up.stripped_birch_log: #3, 788(12%)
minecraft.used.sandstone: #3, 2444(11%)
minecraft.picked_up.purple_stained_glass: #2, 254(13%)
minecraft.picked_up.blue_egg: #2, 32(16%)
minecraft.picked_up.crimson_stem: #3, 1390(12%)
minecraft.mined.blue_stained_glass: #2, 38(19%)
minecraft.mined.stripped_birch_log: #3, 726(11%)
minecraft.mined.cyan_candle: #2, 13(14%)
minecraft.picked_up.heartbreak_pottery_sherd: #2, 5(19%)
minecraft.picked_up.enchanting_table: #2, 6(11%)
minecraft.used.smithing_table: #3, 423(10%)
minecraft.dropped.gray_bed: #2, 2(13%)
minecraft.mined.oak_planks: #3, 766(10%)
minecraft.used.stripped_birch_log: #3, 529(12%)
minecraft.picked_up.friend_pottery_sherd: #2, 5(18%)
minecraft.mined.pink_candle: #2, 11(17%)
minecraft.picked_up.turtle_scute: #2, 64(23%)
minecraft.picked_up.amethyst_block: #3, 1603(10%)
minecraft.crafted.stone_brick_stairs: #3, 332(11%)
minecraft.dropped.echo_shard: #2, 17(45%)
minecraft.mined.farmland: #3, 422(9%)
minecraft.broken.wooden_shovel: #2, 9(21%)
minecraft.crafted.cyan_carpet: #2, 321(8%)
minecraft.used.wooden_hoe: #2, 109(18%)
minecraft.mined.weathered_cut_copper: #2, 27(10%)
minecraft.crafted.turtle_helmet: #2, 4(31%)
minecraft.picked_up.weathered_cut_copper: #2, 28(10%)
minecraft.dropped.rabbit_foot: #2, 2(20%)
minecraft.crafted.music_disc_5: #2, 3(19%)
minecraft.dropped.mangrove_door: #2, 3(19%)
minecraft.mined.smooth_sandstone: #3, 357(11%)
minecraft.picked_up.blue_concrete_powder: #2, 128(14%)
minecraft.crafted.leaf_litter: #2, 128(36%)
minecraft.used.white_wool: #3, 1545(9%)
minecraft.used.dark_oak_boat: #3, 19(19%)
minecraft.crafted.leather_leggings: #3, 151(10%)
minecraft.broken.stone_shovel: #3, 30(13%)
minecraft.picked_up.sculk_vein: #2, 2809(5%)
minecraft.mined.copper_grate: #3, 64(13%)
minecraft.crafted.weathered_cut_copper_stairs: #2, 4(50%)
minecraft.dropped.diamond_horse_armor: #2, 2(33%)
minecraft.killed_by.hoglin: #2, 1(33%)
minecraft.mined.smooth_basalt: #3, 842(8%)
minecraft.picked_up.carved_pumpkin: #4, 906(8%)
minecraft.mined.oak_fence_gate: #3, 24(9%)
minecraft.crafted.leather_boots: #3, 126(9%)
